NaN,"Foreign direct investment, net (BoP, current US$)","Net capital account (BoP, current US$)","Net trade in goods and services (BoP, current US$)","Exports of goods and services (BoP, current US$)","Charges for the use of intellectual property, payments (BoP, current US$)","Net secondary income (BoP, current US$)","Grants, excluding technical cooperation (BoP, current US$)","Total reserves (includes gold, current US$)","External debt stocks, long-term (DOD, current US$)",Total debt service (% of GNI),"Debt service on external debt, total (TDS, current US$)","Net financial flows, bilateral (NFL, current US$)","Commercial banks and other lending (PPG + PNG) (NFL, current US$)",Adjusted net national income (current US$),"GNI, Atlas method (current US$)",Exports of goods and services (annual % growth),GDP growth (annual %),GNI growth (annual %),GDP (constant LCU),GNI (constant LCU),Gross national expenditure (constant LCU),Gross domestic income (constant LCU),"Industry (including construction), value added (constant LCU)","Manufacturing, value added (constant LCU)","Services, value added (constant LCU)",GDP (current LCU),GNI (current LCU),Exports of goods and services (current LCU),"Industry (including construction), value added (current LCU)","Services, value added (current LCU)",Gross savings (% of GDP),Gross savings (% of GNI),Exports of goods and services (% of GDP),Trade (% of GDP),Imports of goods and services (constant 2010 US$),Exports of goods and services (constant 2010 US$),GDP (current US$),GNI (current US$),Exports of goods and services (current US$),Imports of goods and services (current US$),"Services, value added (current US$)","Net ODA provided, total (% of GNI)",Net ODA received (% of central government expense),Net ODA received (% of GNI),Net official aid received (current US$),"GDP per capita, PPP (current international $)","GDP per capita, PPP (current international $)","GNI, PPP (current international $)","Households and NPISHs Final consumption expenditure, PPP (current international $)","Gross intake ratio in first grade of primary education, total (% of relevant age group)","Over-age students, primary (% of enrollment)","Persistence to grade 5, total (% of cohort)","Government expenditure on education, total (% of government expenditure)","Compulsory education, duration (years)","Adjusted net enrollment rate, primary (% of primary school age children)","Primary education, pupils",Aquaculture production (metric tons),Cereal production (metric tons),"Plant species (higher), threatened",Rural population,Urban population,Electricity production from coal sources (% of total),Access to electricity (% of population),GDP per unit of energy use (PPP $ per kg of oil equivalent),"Annual freshwater withdrawals, total (% of internal resources)",Arable land (hectares),Land area (sq. km),Urban land area (sq. km),Rural land area (sq. km),Total natural resources rents (% of GDP),"Depositors with commercial banks (per 1,000 adults)",Bank liquid reserves to bank assets ratio (%),"Claims on central government, etc. (% GDP)",Net domestic credit (current LCU),Net foreign assets (current LCU),"Listed domestic companies, total","Stocks traded, total value (current US$)",Consumer price index (2010 = 100),"Inflation, GDP deflator (annual %)",Deposit interest rate (%),Real interest rate (%),Broad money (% of GDP),"Domestic general government health expenditure per capita, PPP (current international $)",Current health expenditure (% of GDP),Current health expenditure per capita (current US$),"External health expenditure per capita, PPP (current international $)","Mortality rate, infant (per 1,000 live births)",Number of infant deaths,"Population, total","ICT service exports (BoP, current US$)","Patent applications, residents","Trademark applications, total",Rail lines (total route-km),Gini index (World Bank estimate),Multidimensional poverty headcount ratio (% of total population),Poverty headcount ratio at national poverty lines (% of population),Start-up procedures to register a business (number),Cost of business start-up procedures (% of GNI per capita),Profit tax (% of commercial profits),Merchandise exports to high-income economies (% of total merchandise exports),Fuel exports (% of merchandise exports),Ores and metals exports (% of merchandise exports),Merchandise imports (current US$),Food imports (% of merchandise imports),Fuel imports (% of merchandise imports),Ores and metals imports (% of merchandise imports),"Bound rate, simple mean, all products (%)","Share of tariff lines with international peaks, all products (%)","Binding coverage, all products (%)",Export value index (2000 = 100),"Armed forces personnel, total","Armed forces personnel, total",Military expenditure (% of GDP),"Central government debt, total (% of GDP)",Expense (% of GDP),Tax revenue (% of GDP),Taxes on goods and services (% of revenue),"Revenue, excluding grants (% of GDP)",Social contributions (current LCU),IDA resource allocation index (1=low to 6=high),"Employers, total (% of total employment) (modeled ILO estimate)","Labor force participation rate for ages 15-24, female (%) (national estimate)",Benefit incidence of social protection and labor programs to poorest quintile (% of total SPL benefits),"Unemployment, total (% of total labor force) (modeled ILO estimate)",Increase in poverty gap at $3.20 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),Increase in poverty gap at $1.90 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),Number of people pushed below the $3.20 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure
1960 [YR1960],NaN,NaN,NaN,NaN,NaN,NaN,930000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22032963700,NaN,NaN,NaN,NaN,NaN,NaN,499100,447300,NaN,310200,NaN,NaN,NaN,NaN,NaN,331773363.1,273387296.5,713000000,639000000,NaN,NaN,NaN,NaN,NaN,0.143974963,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2513584,557192,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,121.7,17928,3070776,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,210000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1961 [YR1961],NaN,NaN,NaN,NaN,NaN,NaN,1260000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-2.568400162,1.361381991,NaN,22332916500,NaN,NaN,NaN,NaN,NaN,NaN,487400,441400,NaN,289600,NaN,NaN,NaN,NaN,NaN,312287903.1,266365616.7,696285714.3,630571428.6,NaN,NaN,NaN,NaN,NaN,0.144313552,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,766608,NaN,2564657,599672,NaN,NaN,NaN,NaN,2549000,743390,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-3.655831752,NaN,NaN,NaN,NaN,NaN,NaN,NaN,119.8,18238,3164329,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,228000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1962 [YR1962],NaN,NaN,NaN,NaN,NaN,NaN,2650000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,633167600.9,0.095509212,-2.490839475,NaN,21776639400,NaN,NaN,NaN,NaN,NaN,NaN,485200,436200,NaN,281600,NaN,NaN,NaN,NaN,NaN,331536907.7,266620020.4,693142857.1,623142857.1,NaN,NaN,NaN,NaN,NaN,0.94360387,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,748934,NaN,2615530,645120,NaN,NaN,NaN,NaN,2552000,743390,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.091562293,NaN,NaN,NaN,NaN,NaN,NaN,NaN,117.9,18540,3260650,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,175000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1963 [YR1963],NaN,NaN,NaN,NaN,NaN,NaN,1380000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,653596368,6.469469303,3.272392893,NaN,22489256600,NaN,NaN,NaN,NaN,NaN,NaN,503100,454500,NaN,290500,NaN,NaN,NaN,NaN,NaN,311342019.1,283868920.8,718714285.7,649285714.3,NaN,NaN,NaN,NaN,NaN,0.828602878,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,676717,NaN,2664159,695945,NaN,NaN,NaN,NaN,2576000,743390,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.403600057,NaN,NaN,NaN,NaN,NaN,NaN,NaN,116.2,18853,3360104,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,164000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1964 [YR1964],NaN,NaN,NaN,NaN,NaN,NaN,14470000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,731768932.9,17.58379453,12.21404802,NaN,25236105200,NaN,NaN,NaN,NaN,NaN,NaN,587600,518500,NaN,341600,NaN,NaN,NaN,NaN,NaN,302639740.7,333783848.6,839428571.4,740714285.7,NaN,NaN,NaN,NaN,NaN,2.833751175,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,773214,NaN,2700787,762426,NaN,NaN,NaN,NaN,2601000,743390,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.083105187,NaN,NaN,NaN,NaN,NaN,NaN,NaN,114.8,19185,3463213,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,82.49186992,NaN,NaN,219000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1965 [YR1965],NaN,NaN,NaN,NaN,NaN,NaN,12030000,203871760,NaN,NaN,NaN,NaN,NaN,NaN,960584572.1,-5.594510848,16.64745596,NaN,29437274700,NaN,NaN,NaN,9330814600,1125114200,13386081100,758000,712500,NaN,407900,NaN,NaN,NaN,NaN,NaN,367953930.5,315110275,1082857143,1017857143,NaN,NaN,NaN,NaN,NaN,1.066947335,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,816214,NaN,2735975,834489,NaN,NaN,NaN,NaN,2604000,743390,NaN,NaN,NaN,NaN,NaN,-11.70768953,-46064.28664,148594.2866,NaN,NaN,NaN,10.58905503,NaN,NaN,14.18601583,NaN,NaN,NaN,NaN,113.8,19570,3570464,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86.81835276,NaN,NaN,299000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1966 [YR1966],NaN,NaN,NaN,NaN,NaN,NaN,19900000,217613970,NaN,NaN,NaN,NaN,NaN,NaN,1016610065,-14.56484801,-5.570309809,NaN,27797527300,NaN,NaN,NaN,9024050600,1347936400,12136108500,885000,827000,NaN,520800,NaN,NaN,NaN,NaN,NaN,457955973.4,269214942.4,1264285714,1181428571,NaN,NaN,NaN,NaN,NaN,2.470737651,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,892081,NaN,2769235,912720,NaN,NaN,NaN,NaN,2658000,743390,NaN,NaN,NaN,NaN,NaN,-9.689749902,-18004.28664,157984.2866,NaN,NaN,NaN,23.6418516,NaN,NaN,16.41920904,NaN,NaN,NaN,NaN,113,20006,3681955,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88.43813387,0.016166168,97.90832512,345000000,10.31707861,7.973522912,0.93767994,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1967 [YR1967],NaN,NaN,NaN,NaN,NaN,NaN,27760000,187327600,NaN,NaN,NaN,NaN,NaN,NaN,1239854672,1.096208838,7.919696512,NaN,29999007100,NaN,NaN,NaN,9447968500,1579698800,13705461400,957600,907000,NaN,499300,NaN,NaN,NaN,NaN,NaN,548289133,272166100.4,1368000000,1295714286,NaN,NaN,NaN,NaN,NaN,4.710143235,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,893199,NaN,2800514,997359,NaN,NaN,NaN,NaN,2672000,743390,NaN,NaN,NaN,NaN,NaN,-7.063939797,29185.71251,134394.2875,NaN,NaN,NaN,0.262874459,NaN,NaN,17.69110276,NaN,NaN,NaN,NaN,112.4,20487,3797873,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88.03224212,0.008418498,96.65708372,440000000,8.409688398,10.2005681,0.66929851,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1968 [YR1968],NaN,NaN,NaN,NaN,NaN,NaN,2830000,201207700,NaN,NaN,NaN,NaN,NaN,NaN,1445283140,7.309789768,1.248329982,NaN,30373493700,NaN,NaN,NaN,9389390500,1762633100,14085804800,1124100,1072000,NaN,613700,NaN,NaN,NaN,NaN,NaN,588253257.2,292060870.1,1605857143,1531428571,NaN,NaN,NaN,NaN,NaN,1.978544726,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,823391,NaN,2829778,1089094,NaN,NaN,NaN,NaN,2705000,743390,NaN,NaN,NaN,NaN,NaN,-3.223023026,56319.99817,140230.0018,NaN,NaN,NaN,15.93990544,NaN,NaN,19.45734365,NaN,NaN,NaN,NaN,111.5,20945,3918872,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,93.32194032,NaN,NaN,457000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1969 [YR1969],NaN,NaN,NaN,NaN,NaN,NaN,1920000,369381600,NaN,NaN,NaN,NaN,NaN,NaN,1643108522,25.55745525,-0.436915823,NaN,30240787100,NaN,NaN,NaN,9993666000,1781201500,13251799300,1376000,1328500,NaN,858700,NaN,NaN,NaN,NaN,NaN,546160826.3,366704196.3,1965714286,1897857143,NaN,NaN,NaN,NaN,NaN,1.066992849,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,830637,NaN,2857506,1188234,NaN,NaN,NaN,NaN,2734000,743390,NaN,NaN,NaN,NaN,NaN,-8.621055002,-4375.716831,267845.7168,NaN,NaN,NaN,22.94620979,NaN,NaN,20.46075581,NaN,NaN,NaN,NaN,110.1,21358,4045740,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,92.9622209,NaN,NaN,437000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.699999809,NaN,NaN,NaN,NaN,NaN
