NaN,"Foreign direct investment, net (BoP, current US$)","Net capital account (BoP, current US$)","Net trade in goods and services (BoP, current US$)","Exports of goods and services (BoP, current US$)","Charges for the use of intellectual property, payments (BoP, current US$)","Net secondary income (BoP, current US$)","Grants, excluding technical cooperation (BoP, current US$)","Total reserves (includes gold, current US$)","External debt stocks, long-term (DOD, current US$)",Total debt service (% of GNI),"Debt service on external debt, total (TDS, current US$)","Net financial flows, bilateral (NFL, current US$)","Commercial banks and other lending (PPG + PNG) (NFL, current US$)",Adjusted net national income (current US$),"GNI, Atlas method (current US$)",Exports of goods and services (annual % growth),GDP growth (annual %),GNI growth (annual %),GDP (constant LCU),GNI (constant LCU),Gross national expenditure (constant LCU),Gross domestic income (constant LCU),"Industry (including construction), value added (constant LCU)","Manufacturing, value added (constant LCU)","Services, value added (constant LCU)",GDP (current LCU),GNI (current LCU),Exports of goods and services (current LCU),"Industry (including construction), value added (current LCU)","Services, value added (current LCU)",Gross savings (% of GDP),Gross savings (% of GNI),Exports of goods and services (% of GDP),Trade (% of GDP),Imports of goods and services (constant 2010 US$),Exports of goods and services (constant 2010 US$),GDP (current US$),GNI (current US$),Exports of goods and services (current US$),Imports of goods and services (current US$),"Services, value added (current US$)","Net ODA provided, total (% of GNI)",Net ODA received (% of central government expense),Net ODA received (% of GNI),Net official aid received (current US$),"GDP per capita, PPP (current international $)","GDP per capita, PPP (current international $)","GNI, PPP (current international $)","Households and NPISHs Final consumption expenditure, PPP (current international $)","Gross intake ratio in first grade of primary education, total (% of relevant age group)","Over-age students, primary (% of enrollment)","Persistence to grade 5, total (% of cohort)","Government expenditure on education, total (% of government expenditure)","Compulsory education, duration (years)","Adjusted net enrollment rate, primary (% of primary school age children)","Primary education, pupils",Aquaculture production (metric tons),Cereal production (metric tons),"Plant species (higher), threatened",Rural population,Urban population,Electricity production from coal sources (% of total),Access to electricity (% of population),GDP per unit of energy use (PPP $ per kg of oil equivalent),"Annual freshwater withdrawals, total (% of internal resources)",Arable land (hectares),Land area (sq. km),Urban land area (sq. km),Rural land area (sq. km),Total natural resources rents (% of GDP),"Depositors with commercial banks (per 1,000 adults)",Bank liquid reserves to bank assets ratio (%),"Claims on central government, etc. (% GDP)",Net domestic credit (current LCU),Net foreign assets (current LCU),"Listed domestic companies, total","Stocks traded, total value (current US$)",Consumer price index (2010 = 100),"Inflation, GDP deflator (annual %)",Deposit interest rate (%),Real interest rate (%),Broad money (% of GDP),"Domestic general government health expenditure per capita, PPP (current international $)",Current health expenditure (% of GDP),Current health expenditure per capita (current US$),"External health expenditure per capita, PPP (current international $)","Mortality rate, infant (per 1,000 live births)",Number of infant deaths,"Population, total","ICT service exports (BoP, current US$)","Patent applications, residents","Trademark applications, total",Rail lines (total route-km),Gini index (World Bank estimate),Multidimensional poverty headcount ratio (% of total population),Poverty headcount ratio at national poverty lines (% of population),Start-up procedures to register a business (number),Cost of business start-up procedures (% of GNI per capita),Profit tax (% of commercial profits),Merchandise exports to high-income economies (% of total merchandise exports),Fuel exports (% of merchandise exports),Ores and metals exports (% of merchandise exports),Merchandise imports (current US$),Food imports (% of merchandise imports),Fuel imports (% of merchandise imports),Ores and metals imports (% of merchandise imports),"Bound rate, simple mean, all products (%)","Share of tariff lines with international peaks, all products (%)","Binding coverage, all products (%)",Export value index (2000 = 100),"Armed forces personnel, total","Armed forces personnel, total",Military expenditure (% of GDP),"Central government debt, total (% of GDP)",Expense (% of GDP),Tax revenue (% of GDP),Taxes on goods and services (% of revenue),"Revenue, excluding grants (% of GDP)",Social contributions (current LCU),IDA resource allocation index (1=low to 6=high),"Employers, total (% of total employment) (modeled ILO estimate)","Labor force participation rate for ages 15-24, female (%) (national estimate)",Benefit incidence of social protection and labor programs to poorest quintile (% of total SPL benefits),"Unemployment, total (% of total labor force) (modeled ILO estimate)",Increase in poverty gap at $3.20 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),Increase in poverty gap at $1.90 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),Number of people pushed below the $3.20 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure
1960 [YR1960],NaN,NaN,NaN,NaN,NaN,NaN,14350000,50690800,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24200001500,24699998200,1000000500,NaN,NaN,NaN,NaN,4.132233215,11.15702658,NaN,NaN,537777811.1,548888848.9,22222233.33,37777780,NaN,NaN,NaN,3.129959798,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8241137,755836,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.016528615,3806000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.45041239,NaN,NaN,NaN,NaN,NaN,NaN,8996973,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,46.49298597,NaN,NaN,87000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1961 [YR1961],NaN,NaN,NaN,NaN,NaN,NaN,32730000,42444500,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24700000300,25200001000,1100000500,NaN,NaN,NaN,NaN,4.453443266,12.55060956,NaN,NaN,548888895.6,560000022.2,24444455.56,44444446.67,NaN,NaN,NaN,6.191070856,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3695000,NaN,8373138,796272,NaN,NaN,NaN,NaN,7650000,652860,NaN,NaN,NaN,NaN,NaN,9.388663854,4958000000,817000000,NaN,NaN,NaN,NaN,NaN,NaN,14.53441278,NaN,NaN,NaN,NaN,NaN,NaN,9169410,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,45.50561798,NaN,NaN,99000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1962 [YR1962],NaN,NaN,NaN,NaN,NaN,NaN,16080000,40592100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24600000500,25100001300,1200000600,NaN,NaN,NaN,NaN,4.87805112,14.22764443,NaN,NaN,546666677.8,557777806.7,26666680,51111111.11,NaN,NaN,NaN,3.035258862,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3696000,NaN,8512056,839385,NaN,NaN,NaN,NaN,7700000,652860,NaN,NaN,NaN,NaN,NaN,12.09349569,5234000000,682000000,NaN,NaN,NaN,NaN,NaN,NaN,17.1951216,NaN,NaN,NaN,NaN,232,NaN,9351441,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,35.31409168,NaN,NaN,116000000,7.835266799,6.109927824,0.039774952,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1963 [YR1963],NaN,NaN,NaN,NaN,NaN,NaN,34470000,45547800,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,33800003600,34500001800,3100001500,NaN,NaN,NaN,NaN,9.171601094,26.03551143,NaN,NaN,751111191.1,766666706.7,68888922.22,126666717.8,NaN,NaN,NaN,4.78304299,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3378000,NaN,8657977,885228,NaN,NaN,NaN,NaN,7750000,652860,NaN,NaN,NaN,NaN,NaN,10.85798701,5748000000,1901000000,NaN,NaN,NaN,NaN,NaN,NaN,14.4644955,NaN,NaN,NaN,NaN,227.8,106871,9543205,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,35.37803138,NaN,NaN,125000000,13.11986389,8.363834615,0.227884455,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1964 [YR1964],NaN,NaN,NaN,NaN,NaN,NaN,39890000,44619680,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,36000002000,36700000300,3200001500,NaN,NaN,NaN,NaN,8.888892562,26.94444795,NaN,NaN,800000044.4,815555562.2,71111144.44,144444451.1,NaN,NaN,NaN,5.661171391,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3732000,NaN,8810646,934135,NaN,NaN,NaN,NaN,7800000,652860,NaN,NaN,NaN,NaN,NaN,13.89999923,7353000000,1648000000,NaN,NaN,NaN,NaN,NaN,NaN,16.68888796,NaN,NaN,NaN,NaN,223.9,107406,9744781,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30.31609195,NaN,NaN,124000000,17.3358408,6.565626136,0.162912597,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1965 [YR1965],NaN,NaN,NaN,NaN,NaN,NaN,36900000,45434560,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,45299998700,46200000500,5100000300,NaN,NaN,NaN,NaN,11.25827913,32.67108262,NaN,NaN,1006666638,1026666678,113333340,215555548.9,NaN,NaN,NaN,5.252922051,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3785000,NaN,8970246,986074,NaN,NaN,NaN,NaN,7800000,652860,NaN,NaN,NaN,NaN,NaN,10.1236206,6957000000,1881000000,NaN,NaN,NaN,NaN,NaN,NaN,15.57395188,NaN,NaN,NaN,NaN,219.9,107973,9956320,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,41.43884892,NaN,NaN,121000000,17.09985058,4.189548144,0.126047621,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1966 [YR1966],NaN,NaN,NaN,NaN,NaN,NaN,16030000,47114050,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,62999998500,64299999200,5400000000,NaN,NaN,NaN,NaN,8.571428776,27.14285731,NaN,NaN,1399999967,1428888871,120000000,259999993.3,NaN,NaN,NaN,3.558009386,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3489000,NaN,9133645,1041191,NaN,NaN,NaN,NaN,7835000,652860,NaN,NaN,NaN,NaN,NaN,6.892063656,6825000000,1641000000,NaN,NaN,NaN,NaN,NaN,NaN,11.20793677,NaN,NaN,NaN,NaN,216.1,108594,10174836,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.2849162,NaN,0.072123099,128000000,20.80067679,3.674589707,0.069250564,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1967 [YR1967],NaN,NaN,NaN,NaN,NaN,NaN,6710000,38528800,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,75300003800,76899999700,5100000300,NaN,NaN,NaN,NaN,6.772908423,20.98273546,NaN,NaN,1673333418,1708888882,113333340,237777784.4,NaN,NaN,NaN,2.403901287,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3826000,NaN,9300654,1099272,NaN,NaN,NaN,NaN,7844000,652860,NaN,NaN,NaN,NaN,NaN,6.476759301,7468000000,1498000000,NaN,NaN,NaN,NaN,NaN,NaN,9.342629011,NaN,NaN,NaN,NaN,212.4,109332,10399926,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,33.68319605,4.409574696,0.074926261,126000000,20.8816634,3.868878149,0.086343481,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1968 [YR1968],NaN,NaN,NaN,NaN,NaN,NaN,9980000,45589800,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,61800001500,63099998200,5500000300,NaN,NaN,NaN,NaN,8.899676645,24.11003307,NaN,NaN,1373333367,1402222182,122222228.9,208888900,NaN,NaN,NaN,2.085261533,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3916000,NaN,9475708,1161355,NaN,NaN,NaN,NaN,7844000,652860,NaN,NaN,NaN,NaN,NaN,10.03398034,8949000000,1077000000,NaN,NaN,NaN,NaN,NaN,NaN,13.29045275,NaN,NaN,NaN,NaN,208.6,110025,10637063,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18.74208057,12.57896735,NaN,114000000,16.00906678,5.149299099,0.053141439,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1969 [YR1969],NaN,NaN,NaN,NaN,NaN,NaN,4940000,41373600,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,63400001500,64699998200,6400000000,NaN,NaN,NaN,NaN,10.09463699,25.07886423,NaN,NaN,1408888922,1437777738,142222222.2,211111117.8,NaN,NaN,NaN,1.895285988,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60,4038000,NaN,9665503,1228273,NaN,NaN,NaN,NaN,7860000,652860,NaN,NaN,NaN,NaN,NaN,10.14675088,9698740212,1143092305,NaN,NaN,NaN,NaN,NaN,NaN,15.28706588,NaN,NaN,NaN,NaN,204.7,110613,10893776,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.07649846,14.8661727,NaN,126000000,20.58064447,5.987168327,0.141624,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
