NaN,"Foreign direct investment, net (BoP, current US$)","Net capital account (BoP, current US$)","Net trade in goods and services (BoP, current US$)","Exports of goods and services (BoP, current US$)","Charges for the use of intellectual property, payments (BoP, current US$)","Net secondary income (BoP, current US$)","Grants, excluding technical cooperation (BoP, current US$)","Total reserves (includes gold, current US$)","External debt stocks, long-term (DOD, current US$)",Total debt service (% of GNI),"Debt service on external debt, total (TDS, current US$)","Net financial flows, bilateral (NFL, current US$)","Commercial banks and other lending (PPG + PNG) (NFL, current US$)",Adjusted net national income (current US$),"GNI, Atlas method (current US$)",Exports of goods and services (annual % growth),GDP growth (annual %),GNI growth (annual %),GDP (constant LCU),GNI (constant LCU),Gross national expenditure (constant LCU),Gross domestic income (constant LCU),"Industry (including construction), value added (constant LCU)","Manufacturing, value added (constant LCU)","Services, value added (constant LCU)",GDP (current LCU),GNI (current LCU),Exports of goods and services (current LCU),"Industry (including construction), value added (current LCU)","Services, value added (current LCU)",Gross savings (% of GDP),Gross savings (% of GNI),Exports of goods and services (% of GDP),Trade (% of GDP),Imports of goods and services (constant 2010 US$),Exports of goods and services (constant 2010 US$),GDP (current US$),GNI (current US$),Exports of goods and services (current US$),Imports of goods and services (current US$),"Services, value added (current US$)","Net ODA provided, total (% of GNI)",Net ODA received (% of central government expense),Net ODA received (% of GNI),Net official aid received (current US$),"GDP per capita, PPP (current international $)","GDP per capita, PPP (current international $)","GNI, PPP (current international $)","Households and NPISHs Final consumption expenditure, PPP (current international $)","Gross intake ratio in first grade of primary education, total (% of relevant age group)","Over-age students, primary (% of enrollment)","Persistence to grade 5, total (% of cohort)","Government expenditure on education, total (% of government expenditure)","Compulsory education, duration (years)","Adjusted net enrollment rate, primary (% of primary school age children)","Primary education, pupils",Aquaculture production (metric tons),Cereal production (metric tons),"Plant species (higher), threatened",Rural population,Urban population,Electricity production from coal sources (% of total),Access to electricity (% of population),GDP per unit of energy use (PPP $ per kg of oil equivalent),"Annual freshwater withdrawals, total (% of internal resources)",Arable land (hectares),Land area (sq. km),Urban land area (sq. km),Rural land area (sq. km),Total natural resources rents (% of GDP),"Depositors with commercial banks (per 1,000 adults)",Bank liquid reserves to bank assets ratio (%),"Claims on central government, etc. (% GDP)",Net domestic credit (current LCU),Net foreign assets (current LCU),"Listed domestic companies, total","Stocks traded, total value (current US$)",Consumer price index (2010 = 100),"Inflation, GDP deflator (annual %)",Deposit interest rate (%),Real interest rate (%),Broad money (% of GDP),"Domestic general government health expenditure per capita, PPP (current international $)",Current health expenditure (% of GDP),Current health expenditure per capita (current US$),"External health expenditure per capita, PPP (current international $)","Mortality rate, infant (per 1,000 live births)",Number of infant deaths,"Population, total","ICT service exports (BoP, current US$)","Patent applications, residents","Trademark applications, total",Rail lines (total route-km),Gini index (World Bank estimate),Multidimensional poverty headcount ratio (% of total population),Poverty headcount ratio at national poverty lines (% of population),Start-up procedures to register a business (number),Cost of business start-up procedures (% of GNI per capita),Profit tax (% of commercial profits),Merchandise exports to high-income economies (% of total merchandise exports),Fuel exports (% of merchandise exports),Ores and metals exports (% of merchandise exports),Merchandise imports (current US$),Food imports (% of merchandise imports),Fuel imports (% of merchandise imports),Ores and metals imports (% of merchandise imports),"Bound rate, simple mean, all products (%)","Share of tariff lines with international peaks, all products (%)","Binding coverage, all products (%)",Export value index (2000 = 100),"Armed forces personnel, total","Armed forces personnel, total",Military expenditure (% of GDP),"Central government debt, total (% of GDP)",Expense (% of GDP),Tax revenue (% of GDP),Taxes on goods and services (% of revenue),"Revenue, excluding grants (% of GDP)",Social contributions (current LCU),IDA resource allocation index (1=low to 6=high),"Employers, total (% of total employment) (modeled ILO estimate)","Labor force participation rate for ages 15-24, female (%) (national estimate)",Benefit incidence of social protection and labor programs to poorest quintile (% of total SPL benefits),"Unemployment, total (% of total labor force) (modeled ILO estimate)",Increase in poverty gap at $3.20 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),Increase in poverty gap at $1.90 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),Number of people pushed below the $3.20 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure
1960 [YR1960],NaN,NaN,NaN,NaN,NaN,NaN,1060000,527233600,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.82932E+11,1.87405E+11,1.77159E+11,1.86371E+11,NaN,NaN,NaN,0.131508917,0.134912476,0.010000003,NaN,NaN,NaN,NaN,7.604049108,15.20809609,6275715029,5743773673,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,5404937,15076842,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.060289959,0.0283,0.0022,NaN,NaN,NaN,NaN,NaN,NaN,21.13925102,NaN,NaN,NaN,NaN,NaN,NaN,20481779,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,81.03048837,NaN,NaN,1249000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.55,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,36.63000107,NaN,NaN,NaN,NaN,NaN
1961 [YR1961],NaN,NaN,NaN,NaN,NaN,NaN,1020000,386407550,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-10.63859173,5.42784288,5.653577248,1.92861E+11,1.98E+11,1.94348E+11,2.00126E+11,NaN,NaN,NaN,0.16680719,0.171123281,0.010000003,NaN,NaN,NaN,NaN,5.994946995,11.98989231,7416445025,5132717042,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,14512100,NaN,5367316,15449950,NaN,NaN,NaN,NaN,18597000,2736690,NaN,NaN,NaN,NaN,NaN,4.67605744,0.0311,0.0006,NaN,NaN,NaN,20.31069753,NaN,NaN,16.60599886,NaN,NaN,NaN,NaN,NaN,NaN,20817266,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,82.69031321,NaN,NaN,1460000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.14,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1962 [YR1962],NaN,NaN,NaN,NaN,NaN,NaN,2020000,114741240,NaN,NaN,NaN,NaN,NaN,NaN,NaN,45.23846323,-0.852021523,-1.009857589,1.91218E+11,1.96E+11,1.86575E+11,1.85398E+11,NaN,NaN,NaN,0.213135928,0.21865207,0.010000003,NaN,NaN,NaN,NaN,4.691842759,14.07552565,7416445025,7454679354,24450604878,25083407627,1147183934,2294367227,NaN,NaN,NaN,0.219906325,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,13961600,NaN,5337550,15815502,NaN,NaN,NaN,NaN,19180000,2736690,NaN,NaN,NaN,NaN,NaN,5.254862524,0.0366,-0.0029,NaN,NaN,NaN,28.87184165,NaN,NaN,14.31011669,NaN,NaN,NaN,NaN,NaN,NaN,21153052,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,79.31459566,1.080846673,0.813335466,1357000000,3.893525052,6.68857357,2.74088407,NaN,NaN,NaN,NaN,NaN,NaN,2.66,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1963 [YR1963],NaN,NaN,NaN,NaN,NaN,NaN,5480000,269807440,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,-5.308196827,-5.3145537,1.81068E+11,1.85584E+11,1.75006E+11,1.79875E+11,NaN,NaN,NaN,0.253470898,0.260029972,0.020000005,NaN,NaN,NaN,NaN,7.890454203,15.78090624,5704477583,7454679354,18272123664,18744951948,1441753550,1441753153,NaN,NaN,NaN,0.148680034,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,17331100,NaN,5305827,16183085,NaN,NaN,NaN,NaN,19600000,2736690,NaN,NaN,NaN,NaN,NaN,6.430718535,0.0451,-0.0009,NaN,NaN,NaN,25.59115435,NaN,NaN,16.01761795,NaN,NaN,NaN,NaN,NaN,NaN,21488912,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80.40897098,0.822615007,0.833818569,981000000,4.136595077,5.869688853,3.964149398,NaN,NaN,NaN,NaN,NaN,NaN,1.68,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1964 [YR1964],NaN,NaN,NaN,NaN,NaN,NaN,4990000,153293600,NaN,NaN,NaN,NaN,NaN,NaN,24436915654,-8.196661333,10.13029766,10.30972795,1.99411E+11,2.04717E+11,1.99662E+11,2.02045E+11,NaN,NaN,NaN,0.359472096,0.368774504,0.020000005,NaN,NaN,NaN,NaN,5.563715605,11.12742968,6846080048,6843644534,25605249382,26267861213,1424603255,1424602864,NaN,NaN,NaN,-0.020138678,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,20821300,NaN,5271908,16552517,NaN,NaN,NaN,NaN,20000000,2736690,NaN,NaN,NaN,NaN,NaN,6.815549878,0.0622,-0.0007,NaN,NaN,NaN,28.77461732,NaN,NaN,15.96785971,NaN,NaN,NaN,NaN,NaN,NaN,21824425,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,73.03625914,0.432268863,0.500304019,1077000000,5.905130597,7.779623498,7.317897962,NaN,NaN,NaN,NaN,NaN,NaN,1.15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1965 [YR1965],NaN,NaN,NaN,NaN,NaN,NaN,7360000,236095840,NaN,NaN,NaN,NaN,NaN,NaN,27307536017,8.928500262,10.56943334,10.47617851,2.20487E+11,2.26163E+11,2.14781E+11,2.29874E+11,74919076649,56148447439,90988369136,0.481860012,0.494329989,0.029999999,0.233290002,0.186389998,NaN,NaN,6.225874438,10.37645741,6846080048,7454679354,28344705967,29078234021,1764705803,1176470539,10964117270,NaN,NaN,-0.196538763,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,13843800,NaN,5236547,16923103,NaN,NaN,NaN,NaN,20461000,2736690,NaN,NaN,NaN,NaN,NaN,6.080604176,0.0764,0.0012,NaN,NaN,NaN,21.23293492,NaN,NaN,15.12887524,NaN,NaN,NaN,NaN,NaN,NaN,22159650,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,70.50938338,0.615568721,0.268986497,1199000000,6.506880909,9.660914203,8.47181378,NaN,NaN,NaN,NaN,NaN,NaN,1.07,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1966 [YR1966],NaN,NaN,NaN,NaN,NaN,NaN,2780000,216174480,NaN,NaN,NaN,NaN,NaN,NaN,30359663534,16.39343134,-0.659726172,0.714711038,2.19032E+11,2.2778E+11,2.11259E+11,2.21649E+11,75750477383,56638990737,89597980546,0.601239979,0.625720024,0.039999999,0.29824999,0.2412,NaN,NaN,6.652917384,11.64260542,6275723237,8676757096,28630474728,29796191128,1904761830,1428571371,11485714099,NaN,NaN,-0.031144919,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,17317600,NaN,5198821,17295214,NaN,NaN,NaN,NaN,21608000,2736690,NaN,NaN,NaN,NaN,NaN,6.619652946,0.1022,0.0029,NaN,NaN,NaN,25.60346243,NaN,NaN,15.95036979,NaN,NaN,NaN,NaN,NaN,NaN,22494035,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,71.58641472,0.878622057,0.286643987,1124000000,6.657727595,9.651260389,7.56401858,NaN,NaN,NaN,NaN,NaN,NaN,1.168,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1967 [YR1967],NaN,NaN,NaN,NaN,NaN,NaN,3060000,727208400,NaN,NaN,NaN,NaN,NaN,NaN,28316034886,0,3.191996623,-0.416292289,2.26024E+11,2.26831E+11,2.18036E+11,2.31065E+11,78955540733,59778457057,91874749132,0.800469995,0.803359985,0.059999999,0.379290015,0.341289997,NaN,NaN,7.495596226,12.49266037,6275723237,8676757096,24256667553,24344243039,1818181858,1212121237,10342121573,NaN,NaN,0.036887569,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,19575100,NaN,5159781,17669088,NaN,NaN,NaN,NaN,22341000,2736690,NaN,NaN,NaN,NaN,NaN,7.70797162,0.1429,0.0147,NaN,NaN,NaN,29.01826294,NaN,NaN,18.42667446,NaN,NaN,NaN,NaN,NaN,NaN,22828869,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,77.43102977,0.525258658,0.468486611,1096000000,6.582883768,8.572367449,6.468648917,NaN,NaN,NaN,NaN,NaN,NaN,1.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1968 [YR1968],NaN,NaN,NaN,NaN,NaN,NaN,15510000,780833300,NaN,NaN,NaN,NaN,NaN,NaN,28110535228,-7.04215599,4.822500782,2.927953576,2.36924E+11,2.33473E+11,2.30065E+11,2.40369E+11,86435953214,63146582649,93565683659,0.925289989,0.911559999,0.059999999,0.435220003,0.40011999,NaN,NaN,6.484453463,11.88816489,6846080048,8065726326,26436857247,26044571827,1714285705,1428571475,11431999904,NaN,NaN,0.010443635,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11,16296600,NaN,5119955,18048312,NaN,NaN,NaN,NaN,23851000,2736690,NaN,NaN,NaN,NaN,NaN,7.284202881,0.1846,0.0181,NaN,NaN,NaN,10.27531056,NaN,NaN,20.41522143,NaN,NaN,NaN,NaN,NaN,NaN,23168267,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,73.63679643,0.905895163,0.645334988,1169000000,5.508639814,7.246942926,6.678963557,NaN,NaN,NaN,NaN,NaN,NaN,1.685714286,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1969 [YR1969],NaN,NaN,NaN,NaN,NaN,NaN,-910000,538310000,NaN,NaN,NaN,NaN,NaN,NaN,30585419212,21.21207238,9.679526008,10.53907642,2.59857E+11,2.58079E+11,2.5299E+11,2.60786E+11,96415995143,70439038133,1.01826E+11,1.093969941,1.086279988,0.07,0.51839,0.475080013,NaN,NaN,6.398713317,12.79742663,8557161752,9776634032,31256284544,31036571603,2000000041,2000000041,13573714888,NaN,NaN,0.056642854,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15,18477000,NaN,5081215,18436396,NaN,NaN,NaN,NaN,25897000,2736690,NaN,NaN,NaN,NaN,NaN,6.252456985,0.2164,0.016044,NaN,NaN,NaN,7.795830037,NaN,NaN,20.87808736,NaN,NaN,NaN,NaN,59.5,NaN,23517611,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,76.07810269,0.358795438,0.515775152,1576000000,6.818122915,6.718627086,6.799956082,NaN,NaN,NaN,NaN,NaN,NaN,1.9375,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
