,"Foreign direct investment, net (BoP, current US$)","Net capital account (BoP, current US$)","Net trade in goods and services (BoP, current US$)","Exports of goods and services (BoP, current US$)","Charges for the use of intellectual property, payments (BoP, current US$)","Net secondary income (BoP, current US$)","Grants, excluding technical cooperation (BoP, current US$)","Total reserves (includes gold, current US$)","External debt stocks, long-term (DOD, current US$)",Total debt service (% of GNI),"Debt service on external debt, total (TDS, current US$)","Net financial flows, bilateral (NFL, current US$)","Commercial banks and other lending (PPG + PNG) (NFL, current US$)",Adjusted net national income (current US$),"GNI, Atlas method (current US$)",Exports of goods and services (annual % growth),GDP growth (annual %),GNI growth (annual %),GDP (constant LCU),GNI (constant LCU),Gross national expenditure (constant LCU),Gross domestic income (constant LCU),"Industry (including construction), value added (constant LCU)","Manufacturing, value added (constant LCU)","Services, value added (constant LCU)",GDP (current LCU),GNI (current LCU),Exports of goods and services (current LCU),"Industry (including construction), value added (current LCU)","Services, value added (current LCU)",Gross savings (% of GDP),Gross savings (% of GNI),Exports of goods and services (% of GDP),Trade (% of GDP),Imports of goods and services (constant 2010 US$),Exports of goods and services (constant 2010 US$),GDP (current US$),GNI (current US$),Exports of goods and services (current US$),Imports of goods and services (current US$),"Services, value added (current US$)","Net ODA provided, total (% of GNI)",Net ODA received (% of central government expense),Net ODA received (% of GNI),Net official aid received (current US$),"GDP per capita, PPP (current international $)","GDP per capita, PPP (current international $)","GNI, PPP (current international $)","Households and NPISHs Final consumption expenditure, PPP (current international $)","Gross intake ratio in first grade of primary education, total (% of relevant age group)","Over-age students, primary (% of enrollment)","Persistence to grade 5, total (% of cohort)","Government expenditure on education, total (% of government expenditure)","Compulsory education, duration (years)","Adjusted net enrollment rate, primary (% of primary school age children)","Primary education, pupils",Aquaculture production (metric tons),Cereal production (metric tons),"Plant species (higher), threatened",Rural population,Urban population,Electricity production from coal sources (% of total),Access to electricity (% of population),GDP per unit of energy use (PPP $ per kg of oil equivalent),"Annual freshwater withdrawals, total (% of internal resources)",Arable land (hectares),Land area (sq. km),Urban land area (sq. km),Rural land area (sq. km),Total natural resources rents (% of GDP),"Depositors with commercial banks (per 1,000 adults)",Bank liquid reserves to bank assets ratio (%),"Claims on central government, etc. (% GDP)",Net domestic credit (current LCU),Net foreign assets (current LCU),"Listed domestic companies, total","Stocks traded, total value (current US$)",Consumer price index (2010 = 100),"Inflation, GDP deflator (annual %)",Deposit interest rate (%),Real interest rate (%),Broad money (% of GDP),"Domestic general government health expenditure per capita, PPP (current international $)",Current health expenditure (% of GDP),Current health expenditure per capita (current US$),"External health expenditure per capita, PPP (current international $)","Mortality rate, infant (per 1,000 live births)",Number of infant deaths,"Population, total","ICT service exports (BoP, current US$)","Patent applications, residents","Trademark applications, total",Rail lines (total route-km),Gini index (World Bank estimate),Multidimensional poverty headcount ratio (% of total population),Poverty headcount ratio at national poverty lines (% of population),Start-up procedures to register a business (number),Cost of business start-up procedures (% of GNI per capita),Profit tax (% of commercial profits),Merchandise exports to high-income economies (% of total merchandise exports),Fuel exports (% of merchandise exports),Ores and metals exports (% of merchandise exports),Merchandise imports (current US$),Food imports (% of merchandise imports),Fuel imports (% of merchandise imports),Ores and metals imports (% of merchandise imports),"Bound rate, simple mean, all products (%)","Share of tariff lines with international peaks, all products (%)","Binding coverage, all products (%)",Export value index (2000 = 100),"Armed forces personnel, total","Armed forces personnel, total",Military expenditure (% of GDP),"Central government debt, total (% of GDP)",Expense (% of GDP),Tax revenue (% of GDP),Taxes on goods and services (% of revenue),"Revenue, excluding grants (% of GDP)",Social contributions (current LCU),IDA resource allocation index (1=low to 6=high),"Employers, total (% of total employment) (modeled ILO estimate)","Labor force participation rate for ages 15-24, female (%) (national estimate)",Benefit incidence of social protection and labor programs to poorest quintile (% of total SPL benefits),"Unemployment, total (% of total labor force) (modeled ILO estimate)",Increase in poverty gap at $3.20 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),Increase in poverty gap at $1.90 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),Number of people pushed below the $3.20 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure
1960 [YR1960],NaN,NaN,NaN,NaN,NaN,NaN,NaN,892782000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.68086E+11,2.68369E+11,2.24657E+11,2.61364E+11,NaN,NaN,NaN,16588000000,16609000000,2155000000,NaN,NaN,NaN,NaN,12.99131903,27.04967446,11672353936,15289328587,18577668272,18601187143,2413484153,2611714638,NaN,0.37,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5700,NaN,NaN,1898168,8378309,74.42305003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.27009419,6983323225,828000000,NaN,NaN,7.960457856,NaN,NaN,NaN,44.61538462,NaN,NaN,NaN,NaN,20.3,4573,10276477,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,79.23278462,NaN,NaN,2662000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.36954514,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1961 [YR1961],NaN,NaN,NaN,NaN,NaN,NaN,NaN,1320041500,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.990561015,2.485769492,2.248215382,2.7475E+11,2.74403E+11,2.31483E+11,2.67068E+11,NaN,NaN,NaN,17548000000,17521000000,2176000000,NaN,NaN,NaN,NaN,12.40027354,27.42192842,13132752549,16052351859,19652816665,19622578116,2437003024,2952178295,NaN,0.439,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6500,9149882,NaN,1893125,8589875,72.99852546,NaN,NaN,NaN,14378586.3,7682300,NaN,NaN,NaN,NaN,NaN,19.09365935,7118855342,1049544658,NaN,NaN,8.142559834,3.221468363,NaN,2.207420291,44.18224299,NaN,NaN,NaN,NaN,19.9,4518,10483000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,76.57045114,NaN,NaN,2369000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.415139854,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,58.15999985,NaN,NaN,NaN,NaN,NaN
1962 [YR1962],NaN,NaN,NaN,NaN,NaN,NaN,NaN,1358960800,NaN,NaN,NaN,NaN,NaN,NaN,20091589025,13.54080221,1.296087352,1.639718385,2.78311E+11,2.78902E+11,2.37527E+11,2.69745E+11,NaN,NaN,NaN,17762000000,17806000000,2476000000,NaN,NaN,NaN,NaN,13.93987164,26.56795406,11260625234,18225969075,19892485161,19941762795,2772986897,2512039422,NaN,0.426,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5800,11143648,NaN,1909068,8832932,75.57537985,NaN,NaN,NaN,15515793.3,7682300,NaN,NaN,NaN,NaN,NaN,19.73689825,7628067868,1210000000,NaN,NaN,8.116545265,-0.075595375,NaN,5.579813456,47.10674474,NaN,NaN,NaN,NaN,19.5,4458,10742000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,78.60863576,NaN,NaN,2540000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.36369537,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1963 [YR1963],NaN,NaN,NaN,NaN,NaN,NaN,NaN,1842726000,NaN,NaN,NaN,NaN,NaN,NaN,21534103746,-2.225199984,6.214630395,5.693120422,2.95607E+11,2.9478E+11,2.50393E+11,2.87577E+11,NaN,NaN,NaN,19204000000,19140000000,2497000000,NaN,NaN,NaN,NaN,13.00249948,26.83295147,13211693015,17820404814,21507447643,21435771083,2796505768,2974577220,NaN,0.508,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5900,11812267,NaN,1915045,9034955,71.85788359,NaN,NaN,NaN,15383456.4,7682300,NaN,NaN,NaN,NaN,NaN,18.7664773,8232614300,1618000000,NaN,NaN,8.168574402,1.792431727,NaN,3.2738861,48.12643199,NaN,NaN,NaN,NaN,19.1,4398,10950000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,75.9326677,3.090529041,6.052374499,2776000000,6.423563138,10.84838742,2.681713277,NaN,NaN,NaN,NaN,NaN,NaN,2.446634639,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1964 [YR1964],NaN,NaN,NaN,NaN,NaN,NaN,NaN,1906895200,NaN,NaN,NaN,NaN,NaN,NaN,23475985937,16.49154865,6.978522159,7.222582429,3.16236E+11,3.16071E+11,2.67805E+11,3.08794E+11,NaN,NaN,NaN,21219000000,21206000000,3169000000,NaN,NaN,NaN,NaN,14.93472831,28.69598002,14696083338,20759265544,23764139321,23749580020,3549109643,3270243028,NaN,0.482,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5800,13001568,NaN,1921617,9245383,72.70755275,NaN,NaN,NaN,16296054.9,7682300,NaN,NaN,NaN,NaN,NaN,18.52630399,9250296443,1731000000,NaN,NaN,8.402705515,3.284849591,NaN,1.731199767,48.60266742,NaN,NaN,NaN,NaN,18.7,4348,11167000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,74.29550264,2.792618398,7.704116144,3318000000,5.927025995,9.346097064,2.702007665,NaN,NaN,NaN,NaN,NaN,NaN,2.648242797,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1965 [YR1965],NaN,NaN,NaN,NaN,NaN,NaN,NaN,1565328400,NaN,NaN,NaN,NaN,NaN,NaN,25820201796,-0.263814617,5.983505989,6.258310417,3.35158E+11,3.35852E+11,2.83956E+11,3.26763E+11,NaN,NaN,NaN,23159000000,23217000000,3061000000,NaN,NaN,NaN,NaN,13.21732372,28.48136793,17500791643,20704499567,25936835032,26001791914,3428155449,3959009968,NaN,0.529,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6600,9684056,NaN,1928216,9459784,70.74803503,NaN,NaN,NaN,17327635.2,7682300,NaN,NaN,NaN,NaN,NaN,17.53546146,10131037519,1341000000,NaN,NaN,8.688865765,2.98088217,NaN,2.264126875,46.82931042,NaN,NaN,NaN,NaN,18.5,4319,11388000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,74.00512383,3.14492325,9.540160365,3762000000,5.712271152,8.454591699,3.435907372,NaN,NaN,NaN,NaN,NaN,NaN,2.952292962,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1966 [YR1966],NaN,NaN,NaN,NaN,NaN,NaN,NaN,1569256000,NaN,NaN,NaN,NaN,NaN,NaN,27277805034,1.454818416,2.382458423,1.95210873,3.43143E+11,3.42408E+11,2.97997E+11,3.3462E+11,NaN,NaN,NaN,24348000000,24286000000,3148000000,NaN,NaN,NaN,NaN,12.92919336,28.05569246,17982173698,21005712440,27268451114,27199014447,3525590772,4124762011,NaN,0.556,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6800,16585035,NaN,1941057,9709943,75.76161886,NaN,NaN,NaN,18785364.6,7682300,NaN,NaN,NaN,NaN,NaN,17.40380563,10988578596,1408000000,NaN,NaN,8.975026015,2.687584149,NaN,2.617079634,47.99737145,NaN,NaN,NaN,NaN,18.3,4317,11651000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,77.31818899,3.473815246,10.22802324,3612000000,5.657640121,8.538795401,2.606540943,NaN,NaN,NaN,NaN,NaN,NaN,3.451382904,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60.70999908,NaN,NaN,NaN,NaN,NaN
1967 [YR1967],NaN,NaN,NaN,NaN,NaN,NaN,NaN,1365680000,NaN,NaN,NaN,NaN,NaN,NaN,29901424957,10.96430962,6.30262019,5.858460644,3.6477E+11,3.62468E+11,3.13329E+11,3.55185E+11,NaN,NaN,NaN,27142000000,26939000000,3496000000,NaN,NaN,NaN,NaN,12.88040675,26.77031906,18285552742,23308843790,30397580916,30170231829,3915332064,4222197335,NaN,0.615,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7300,9873734,NaN,1946009,9852991,75.66734322,NaN,NaN,NaN,19273837.5,7682300,NaN,NaN,NaN,NaN,NaN,16.4337296,12196642887,1285000000,NaN,NaN,9.287200832,4.865971297,NaN,0.485408848,46.93427161,NaN,NaN,NaN,NaN,18.2,4342,11799000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,71.77248526,3.708591856,11.4818313,3924000000,5.705679639,7.817731636,2.997257026,NaN,NaN,NaN,NaN,NaN,NaN,3.793763967,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1968 [YR1968],NaN,NaN,NaN,NaN,NaN,NaN,NaN,1493121700,NaN,NaN,NaN,NaN,NaN,NaN,32731207088,4.800762026,5.0958138,4.906404248,3.83358E+11,3.80252E+11,3.32342E+11,3.72393E+11,NaN,NaN,NaN,29167000000,28885000000,3586000000,NaN,NaN,NaN,NaN,12.29471663,26.77683684,20093444189,24427845911,32665472057,32349647217,4016127226,4730652929,NaN,0.565,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7500,18905065,NaN,1960830,10048170,76.72046358,NaN,NaN,NaN,21411462.9,7682300,NaN,NaN,NaN,NaN,NaN,15.54023273,13146619680,1365000000,NaN,NaN,9.521331946,2.250278135,NaN,3.259702819,46.74803717,NaN,NaN,NaN,NaN,18.1,4385,12009000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,78.02044874,4.643527251,15.58468365,4366000000,5.555018832,7.152454569,3.287601778,NaN,NaN,NaN,NaN,NaN,NaN,3.837273585,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1969 [YR1969],NaN,NaN,NaN,NaN,NaN,NaN,NaN,1262842800,NaN,NaN,NaN,NaN,NaN,NaN,36442407339,6.522858788,7.044329321,6.566339476,4.10363E+11,4.05221E+11,3.49681E+11,3.99284E+11,NaN,NaN,NaN,32706000000,32216000000,3909000000,NaN,NaN,NaN,NaN,11.95193542,25.28282272,20786882004,26021239805,36628961810,36080188151,4377869862,4882965618,NaN,0.599,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7500,14250318,NaN,1982191,10280809,76.13962769,NaN,NaN,NaN,19636044,7682300,NaN,NaN,NaN,NaN,NaN,14.99983086,14812044680,1330000000,NaN,NaN,9.833506764,4.754335262,NaN,1.06980273,45.66134654,NaN,NaN,NaN,NaN,18,4419,12263000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,77.79109484,4.846593543,17.85810929,4538000000,5.681695939,7.380033734,2.485390089,NaN,NaN,NaN,NaN,NaN,NaN,3.38591988,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
