,"Foreign direct investment, net (BoP, current US$)","Net capital account (BoP, current US$)","Net trade in goods and services (BoP, current US$)","Exports of goods and services (BoP, current US$)","Charges for the use of intellectual property, payments (BoP, current US$)","Net secondary income (BoP, current US$)","Grants, excluding technical cooperation (BoP, current US$)","Total reserves (includes gold, current US$)","External debt stocks, long-term (DOD, current US$)",Total debt service (% of GNI),"Debt service on external debt, total (TDS, current US$)","Net financial flows, bilateral (NFL, current US$)","Commercial banks and other lending (PPG + PNG) (NFL, current US$)",Adjusted net national income (current US$),"GNI, Atlas method (current US$)",Exports of goods and services (annual % growth),GDP growth (annual %),GNI growth (annual %),GDP (constant LCU),GNI (constant LCU),Gross national expenditure (constant LCU),Gross domestic income (constant LCU),"Industry (including construction), value added (constant LCU)","Manufacturing, value added (constant LCU)","Services, value added (constant LCU)",GDP (current LCU),GNI (current LCU),Exports of goods and services (current LCU),"Industry (including construction), value added (current LCU)","Services, value added (current LCU)",Gross savings (% of GDP),Gross savings (% of GNI),Exports of goods and services (% of GDP),Trade (% of GDP),Imports of goods and services (constant 2010 US$),Exports of goods and services (constant 2010 US$),GDP (current US$),GNI (current US$),Exports of goods and services (current US$),Imports of goods and services (current US$),"Services, value added (current US$)","Net ODA provided, total (% of GNI)",Net ODA received (% of central government expense),Net ODA received (% of GNI),Net official aid received (current US$),"GDP per capita, PPP (current international $)","GDP per capita, PPP (current international $)","GNI, PPP (current international $)","Households and NPISHs Final consumption expenditure, PPP (current international $)","Gross intake ratio in first grade of primary education, total (% of relevant age group)","Over-age students, primary (% of enrollment)","Persistence to grade 5, total (% of cohort)","Government expenditure on education, total (% of government expenditure)","Compulsory education, duration (years)","Adjusted net enrollment rate, primary (% of primary school age children)","Primary education, pupils",Aquaculture production (metric tons),Cereal production (metric tons),"Plant species (higher), threatened",Rural population,Urban population,Electricity production from coal sources (% of total),Access to electricity (% of population),GDP per unit of energy use (PPP $ per kg of oil equivalent),"Annual freshwater withdrawals, total (% of internal resources)",Arable land (hectares),Land area (sq. km),Urban land area (sq. km),Rural land area (sq. km),Total natural resources rents (% of GDP),"Depositors with commercial banks (per 1,000 adults)",Bank liquid reserves to bank assets ratio (%),"Claims on central government, etc. (% GDP)",Net domestic credit (current LCU),Net foreign assets (current LCU),"Listed domestic companies, total","Stocks traded, total value (current US$)",Consumer price index (2010 = 100),"Inflation, GDP deflator (annual %)",Deposit interest rate (%),Real interest rate (%),Broad money (% of GDP),"Domestic general government health expenditure per capita, PPP (current international $)",Current health expenditure (% of GDP),Current health expenditure per capita (current US$),"External health expenditure per capita, PPP (current international $)","Mortality rate, infant (per 1,000 live births)",Number of infant deaths,"Population, total","ICT service exports (BoP, current US$)","Patent applications, residents","Trademark applications, total",Rail lines (total route-km),Gini index (World Bank estimate),Multidimensional poverty headcount ratio (% of total population),Poverty headcount ratio at national poverty lines (% of population),Start-up procedures to register a business (number),Cost of business start-up procedures (% of GNI per capita),Profit tax (% of commercial profits),Merchandise exports to high-income economies (% of total merchandise exports),Fuel exports (% of merchandise exports),Ores and metals exports (% of merchandise exports),Merchandise imports (current US$),Food imports (% of merchandise imports),Fuel imports (% of merchandise imports),Ores and metals imports (% of merchandise imports),"Bound rate, simple mean, all products (%)","Share of tariff lines with international peaks, all products (%)","Binding coverage, all products (%)",Export value index (2000 = 100),"Armed forces personnel, total","Armed forces personnel, total",Military expenditure (% of GDP),"Central government debt, total (% of GDP)",Expense (% of GDP),Tax revenue (% of GDP),Taxes on goods and services (% of revenue),"Revenue, excluding grants (% of GDP)",Social contributions (current LCU),IDA resource allocation index (1=low to 6=high),"Employers, total (% of total employment) (modeled ILO estimate)","Labor force participation rate for ages 15-24, female (%) (national estimate)",Benefit incidence of social protection and labor programs to poorest quintile (% of total SPL benefits),"Unemployment, total (% of total labor force) (modeled ILO estimate)",Increase in poverty gap at $3.20 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),Increase in poverty gap at $1.90 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),Number of people pushed below the $3.20 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure
1960 [YR1960],NaN,NaN,NaN,NaN,NaN,NaN,NaN,720945600,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,76547968558,NaN,NaN,NaN,NaN,NaN,NaN,12456853504,12371337216,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6592693841,6547435004,NaN,NaN,NaN,0.002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,650,NaN,NaN,2486372,4561167,13.86478435,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17.82416598,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,37.2,4749,7047539,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,75.84234516,NaN,NaN,1416000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.458185699,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1961 [YR1961],NaN,NaN,NaN,NaN,NaN,NaN,NaN,847058100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.537979317,NaN,80787179224,NaN,NaN,NaN,NaN,NaN,NaN,13815504896,13720662016,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7311749633,7261554769,NaN,NaN,NaN,0.042,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,660,2274011,NaN,2493385,4592914,17.37597427,NaN,NaN,NaN,1689000,82580,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18.45554374,5.087153717,NaN,NaN,NaN,NaN,NaN,NaN,NaN,35,4542,7086299,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,77.06666667,NaN,NaN,1485000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.309337523,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,75.33000183,NaN,NaN,NaN,NaN,NaN
1962 [YR1962],NaN,NaN,NaN,NaN,NaN,NaN,NaN,1081957340,NaN,NaN,NaN,NaN,NaN,NaN,7542193505,NaN,2.648675113,NaN,82926969134,NaN,NaN,NaN,NaN,NaN,NaN,14655121408,14554514432,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7756110210,7702864742,NaN,NaN,NaN,0.031,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,670,2305937,NaN,2505220,4624644,16.66473587,NaN,NaN,NaN,1681000,82580,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.26422522,3.340203214,NaN,NaN,NaN,NaN,NaN,NaN,NaN,32.9,4337,7129864,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,79.04542932,NaN,NaN,1552000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.352071859,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1963 [YR1963],NaN,NaN,NaN,NaN,NaN,NaN,NaN,1229910840,NaN,NaN,NaN,NaN,NaN,NaN,8160812050,NaN,4.138267582,NaN,86358709014,NaN,NaN,NaN,NaN,NaN,NaN,15822951424,15714327552,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8374175258,8316686910,NaN,NaN,NaN,0.053,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,600,2229471,NaN,2517777,4658034,17.70208952,NaN,NaN,NaN,1656000,82580,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.7860498,3.678266121,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.1,4141,7175811,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,79.39196854,2.352345715,4.741179948,1675000000,14.47854226,9.830963611,5.605779485,NaN,NaN,NaN,NaN,NaN,NaN,1.579667758,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1964 [YR1964],NaN,NaN,NaN,NaN,NaN,NaN,NaN,1319442160,NaN,NaN,NaN,NaN,NaN,NaN,8952334692,NaN,6.124353738,NaN,91647621838,NaN,NaN,NaN,NaN,NaN,NaN,17326626816,17207681024,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9169983886,9107032741,NaN,NaN,NaN,0.076,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,680,2349312,NaN,2531075,4692726,16.84258142,NaN,NaN,NaN,1657000,82580,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.55148793,3.183788219,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.6,3956,7223801,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80.20015289,2.996829695,5.219715703,1863000000,13.87401409,8.857919015,6.173886552,NaN,NaN,NaN,NaN,NaN,NaN,1.887300243,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1965 [YR1965],NaN,NaN,NaN,NaN,NaN,NaN,NaN,1314046080,NaN,NaN,NaN,NaN,NaN,NaN,9711756127,NaN,3.480174918,NaN,94837119386,NaN,NaN,NaN,NaN,NaN,NaN,18883733504,18754099200,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9994070616,9925462658,NaN,NaN,NaN,0.114,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,730,2019628,NaN,2544011,4726878,12.0446641,NaN,NaN,NaN,1660000,82580,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.56486258,5.321415449,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28.3,3776,7270889,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,79.05490098,3.321868921,5.05060138,2101000000,15.16254183,7.406493776,6.071833819,NaN,NaN,NaN,NaN,NaN,NaN,1.507213387,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1966 [YR1966],NaN,NaN,NaN,NaN,NaN,NaN,NaN,1336543420,NaN,NaN,NaN,NaN,NaN,NaN,10733894519,NaN,5.642861411,NaN,1.00189E+11,NaN,NaN,NaN,NaN,NaN,NaN,20572207104,20433893376,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10887682273,10814480797,NaN,NaN,NaN,0.122,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,750,2648957,NaN,2558257,4763809,12.46652782,NaN,NaN,NaN,1616000,82580,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.00798122,3.122366081,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27.3,3597,7322066,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,79.27017711,3.416796377,5.288633688,2328000000,15.16254183,7.080993044,6.137217484,NaN,NaN,NaN,NaN,NaN,NaN,1.624405132,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1967 [YR1967],NaN,NaN,NaN,NaN,NaN,NaN,NaN,1488335600,NaN,NaN,NaN,NaN,NaN,NaN,11490052086,NaN,3.008047798,NaN,1.03202E+11,NaN,NaN,NaN,NaN,NaN,NaN,21879263232,21709682688,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11579431669,11489682471,NaN,NaN,NaN,0.139,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,790,2934871,NaN,2573835,4803163,12.54973475,NaN,NaN,NaN,1600000,82580,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.88272628,3.247762568,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.3,3416,7376998,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,78.5169632,3.191946821,4.419528492,2309000000,12.76657895,7.015985886,5.652468043,NaN,NaN,NaN,NaN,NaN,NaN,1.609166416,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1968 [YR1968],NaN,NaN,NaN,NaN,NaN,NaN,NaN,1650819000,NaN,NaN,NaN,NaN,NaN,NaN,12488031184,NaN,4.472312782,NaN,1.07818E+11,NaN,NaN,NaN,NaN,NaN,NaN,23506483200,23288920064,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12440625313,12325481698,NaN,NaN,NaN,0.141,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,740,3046205,NaN,2583601,4831802,13.0179381,NaN,NaN,NaN,1601000,82580,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.51540177,2.838031951,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.7,3248,7415403,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,79.11955375,3.002992346,4.342510588,2496000000,11.34882936,7.535830406,6.091725069,NaN,NaN,NaN,NaN,NaN,NaN,1.542674749,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1969 [YR1969],NaN,NaN,NaN,NaN,NaN,NaN,NaN,1541024000,NaN,NaN,NaN,NaN,NaN,NaN,13757221942,NaN,6.275867166,NaN,1.14584E+11,NaN,NaN,NaN,NaN,NaN,NaN,25664612352,25454002176,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13582798556,13471334742,NaN,NaN,NaN,0.113,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,800,3406075,NaN,2588892,4852163,15.58631859,NaN,NaN,NaN,1585000,82580,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24.23976956,2.733572877,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.3,3102,7441055,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,81.03155189,2.518273458,4.315310418,2825000000,10.23461264,7.256589128,7.016128252,NaN,NaN,NaN,NaN,NaN,NaN,1.499256567,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
