NaN,"Foreign direct investment, net (BoP, current US$)","Net capital account (BoP, current US$)","Net trade in goods and services (BoP, current US$)","Exports of goods and services (BoP, current US$)","Charges for the use of intellectual property, payments (BoP, current US$)","Net secondary income (BoP, current US$)","Grants, excluding technical cooperation (BoP, current US$)","Total reserves (includes gold, current US$)","External debt stocks, long-term (DOD, current US$)",Total debt service (% of GNI),"Debt service on external debt, total (TDS, current US$)","Net financial flows, bilateral (NFL, current US$)","Commercial banks and other lending (PPG + PNG) (NFL, current US$)",Adjusted net national income (current US$),"GNI, Atlas method (current US$)",Exports of goods and services (annual % growth),GDP growth (annual %),GNI growth (annual %),GDP (constant LCU),GNI (constant LCU),Gross national expenditure (constant LCU),Gross domestic income (constant LCU),"Industry (including construction), value added (constant LCU)","Manufacturing, value added (constant LCU)","Services, value added (constant LCU)",GDP (current LCU),GNI (current LCU),Exports of goods and services (current LCU),"Industry (including construction), value added (current LCU)","Services, value added (current LCU)",Gross savings (% of GDP),Gross savings (% of GNI),Exports of goods and services (% of GDP),Trade (% of GDP),Imports of goods and services (constant 2010 US$),Exports of goods and services (constant 2010 US$),GDP (current US$),GNI (current US$),Exports of goods and services (current US$),Imports of goods and services (current US$),"Services, value added (current US$)","Net ODA provided, total (% of GNI)",Net ODA received (% of central government expense),Net ODA received (% of GNI),Net official aid received (current US$),"GDP per capita, PPP (current international $)","GDP per capita, PPP (current international $)","GNI, PPP (current international $)","Households and NPISHs Final consumption expenditure, PPP (current international $)","Gross intake ratio in first grade of primary education, total (% of relevant age group)","Over-age students, primary (% of enrollment)","Persistence to grade 5, total (% of cohort)","Government expenditure on education, total (% of government expenditure)","Compulsory education, duration (years)","Adjusted net enrollment rate, primary (% of primary school age children)","Primary education, pupils",Aquaculture production (metric tons),Cereal production (metric tons),"Plant species (higher), threatened",Rural population,Urban population,Electricity production from coal sources (% of total),Access to electricity (% of population),GDP per unit of energy use (PPP $ per kg of oil equivalent),"Annual freshwater withdrawals, total (% of internal resources)",Arable land (hectares),Land area (sq. km),Urban land area (sq. km),Rural land area (sq. km),Total natural resources rents (% of GDP),"Depositors with commercial banks (per 1,000 adults)",Bank liquid reserves to bank assets ratio (%),"Claims on central government, etc. (% GDP)",Net domestic credit (current LCU),Net foreign assets (current LCU),"Listed domestic companies, total","Stocks traded, total value (current US$)",Consumer price index (2010 = 100),"Inflation, GDP deflator (annual %)",Deposit interest rate (%),Real interest rate (%),Broad money (% of GDP),"Domestic general government health expenditure per capita, PPP (current international $)",Current health expenditure (% of GDP),Current health expenditure per capita (current US$),"External health expenditure per capita, PPP (current international $)","Mortality rate, infant (per 1,000 live births)",Number of infant deaths,"Population, total","ICT service exports (BoP, current US$)","Patent applications, residents","Trademark applications, total",Rail lines (total route-km),Gini index (World Bank estimate),Multidimensional poverty headcount ratio (% of total population),Poverty headcount ratio at national poverty lines (% of population),Start-up procedures to register a business (number),Cost of business start-up procedures (% of GNI per capita),Profit tax (% of commercial profits),Merchandise exports to high-income economies (% of total merchandise exports),Fuel exports (% of merchandise exports),Ores and metals exports (% of merchandise exports),Merchandise imports (current US$),Food imports (% of merchandise imports),Fuel imports (% of merchandise imports),Ores and metals imports (% of merchandise imports),"Bound rate, simple mean, all products (%)","Share of tariff lines with international peaks, all products (%)","Binding coverage, all products (%)",Export value index (2000 = 100),"Armed forces personnel, total","Armed forces personnel, total",Military expenditure (% of GDP),"Central government debt, total (% of GDP)",Expense (% of GDP),Tax revenue (% of GDP),Taxes on goods and services (% of revenue),"Revenue, excluding grants (% of GDP)",Social contributions (current LCU),IDA resource allocation index (1=low to 6=high),"Employers, total (% of total employment) (modeled ILO estimate)","Labor force participation rate for ages 15-24, female (%) (national estimate)",Benefit incidence of social protection and labor programs to poorest quintile (% of total SPL benefits),"Unemployment, total (% of total labor force) (modeled ILO estimate)",Increase in poverty gap at $3.20 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),Increase in poverty gap at $1.90 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),Number of people pushed below the $3.20 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure
1960 [YR1960],NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1988791845,NaN,NaN,NaN,NaN,NaN,NaN,173200000,152599800,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,169803921.6,149607647.1,NaN,NaN,NaN,NaN,NaN,-0.026736601,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,44129,65405,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,109534,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,66000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1961 [YR1961],NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.66709743,NaN,2200938209,NaN,NaN,NaN,NaN,NaN,NaN,193900000,170799800,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,190098039.2,167450784.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,100,NaN,45526,69595,NaN,NaN,NaN,NaN,7000,10010,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.160601259,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,115121,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1962 [YR1962],NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,188281882.4,NaN,10.45197189,NaN,2430979652,NaN,NaN,NaN,NaN,NaN,NaN,216500000,190799700,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,212254902,187058529.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,150,NaN,46992,74099,NaN,NaN,NaN,NaN,7000,10010,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.089632544,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,121091,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,100,NaN,NaN,69000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1963 [YR1963],NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,210284029.5,NaN,10.5240552,NaN,2686817292,NaN,NaN,NaN,NaN,NaN,NaN,242500000,213699700,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,237745098,209509509.8,NaN,NaN,NaN,NaN,NaN,0.009546106,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,200,NaN,48483,78856,NaN,NaN,NaN,NaN,7000,10010,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.343764187,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,127339,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,98.95833333,NaN,NaN,79000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,54.43999863,NaN,NaN,NaN,NaN,NaN
1964 [YR1964],NaN,NaN,NaN,NaN,NaN,NaN,50000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,235353815.9,NaN,10.5015672,NaN,2968975216,NaN,NaN,NaN,NaN,NaN,NaN,272000000,239699600,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,266666666.7,234999607.8,NaN,NaN,NaN,NaN,NaN,0.025531957,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,250,NaN,49951,83758,NaN,NaN,NaN,NaN,7000,10010,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.50530105,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,133709,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,98.72611465,NaN,NaN,100000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1965 [YR1965],NaN,NaN,NaN,NaN,NaN,NaN,60000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,266062954.5,NaN,10.42559649,NaN,3278508592,NaN,NaN,NaN,NaN,NaN,NaN,306400000,270000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,300392156.9,264705882.4,NaN,NaN,NaN,NaN,NaN,0.026444445,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,300,NaN,51341,88718,NaN,NaN,NaN,NaN,7000,10010,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.011727721,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,140059,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,97.2972973,NaN,NaN,105000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1966 [YR1966],NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,299223721.1,NaN,9.071928711,NaN,3575932554,NaN,NaN,NaN,NaN,NaN,NaN,346800000,305500000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,340000000,299509803.9,NaN,NaN,NaN,NaN,NaN,0.016693945,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,430,NaN,52639,93743,NaN,NaN,NaN,NaN,7000,10010,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.9623369,3.771318548,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,146382,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,98.17351598,NaN,NaN,139000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1967 [YR1967],NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,339896179.5,NaN,9.598113867,NaN,3919154632,NaN,NaN,NaN,NaN,NaN,NaN,398000000,350700000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,390196078.4,343823529.4,NaN,NaN,NaN,NaN,NaN,0.200684345,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,450,NaN,53829,98791,NaN,NaN,NaN,NaN,7000,10010,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.72157478,4.713072544,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,152620,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,96.04680582,NaN,NaN,163000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1968 [YR1968],NaN,NaN,NaN,NaN,NaN,NaN,10000,44400000,NaN,NaN,NaN,NaN,NaN,NaN,389425886.3,NaN,8.421763564,NaN,4249216569,NaN,NaN,NaN,NaN,NaN,NaN,453800000,399800000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,444901960.8,391960784.3,NaN,NaN,NaN,NaN,NaN,0.012756378,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,470,NaN,54867,103781,NaN,NaN,NaN,NaN,7000,10010,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.39008612,5.163480795,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24.8,NaN,158648,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,94.91425192,NaN,NaN,176000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1969 [YR1969],NaN,NaN,NaN,NaN,NaN,NaN,0,26070000,NaN,NaN,NaN,NaN,NaN,NaN,453681723.3,NaN,8.981662578,NaN,4630866864,NaN,NaN,NaN,NaN,NaN,NaN,538700000,474700000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,528137254.9,465392156.9,NaN,NaN,NaN,NaN,NaN,0.015041079,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,490,NaN,55698,108570,NaN,NaN,NaN,NaN,7000,10010,NaN,NaN,NaN,NaN,NaN,0.16706887,323900000,25700000,NaN,NaN,16.76530945,8.925372793,NaN,NaN,37.27492111,NaN,NaN,NaN,NaN,25.3,108,164268,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,95.51342219,NaN,NaN,296000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
