NaN,"Foreign direct investment, net (BoP, current US$)","Net capital account (BoP, current US$)","Net trade in goods and services (BoP, current US$)","Exports of goods and services (BoP, current US$)","Charges for the use of intellectual property, payments (BoP, current US$)","Net secondary income (BoP, current US$)","Grants, excluding technical cooperation (BoP, current US$)","Total reserves (includes gold, current US$)","External debt stocks, long-term (DOD, current US$)",Total debt service (% of GNI),"Debt service on external debt, total (TDS, current US$)","Net financial flows, bilateral (NFL, current US$)","Commercial banks and other lending (PPG + PNG) (NFL, current US$)",Adjusted net national income (current US$),"GNI, Atlas method (current US$)",Exports of goods and services (annual % growth),GDP growth (annual %),GNI growth (annual %),GDP (constant LCU),GNI (constant LCU),Gross national expenditure (constant LCU),Gross domestic income (constant LCU),"Industry (including construction), value added (constant LCU)","Manufacturing, value added (constant LCU)","Services, value added (constant LCU)",GDP (current LCU),GNI (current LCU),Exports of goods and services (current LCU),"Industry (including construction), value added (current LCU)","Services, value added (current LCU)",Gross savings (% of GDP),Gross savings (% of GNI),Exports of goods and services (% of GDP),Trade (% of GDP),Imports of goods and services (constant 2010 US$),Exports of goods and services (constant 2010 US$),GDP (current US$),GNI (current US$),Exports of goods and services (current US$),Imports of goods and services (current US$),"Services, value added (current US$)","Net ODA provided, total (% of GNI)",Net ODA received (% of central government expense),Net ODA received (% of GNI),Net official aid received (current US$),"GDP per capita, PPP (current international $)","GDP per capita, PPP (current international $)","GNI, PPP (current international $)","Households and NPISHs Final consumption expenditure, PPP (current international $)","Gross intake ratio in first grade of primary education, total (% of relevant age group)","Over-age students, primary (% of enrollment)","Persistence to grade 5, total (% of cohort)","Government expenditure on education, total (% of government expenditure)","Compulsory education, duration (years)","Adjusted net enrollment rate, primary (% of primary school age children)","Primary education, pupils",Aquaculture production (metric tons),Cereal production (metric tons),"Plant species (higher), threatened",Rural population,Urban population,Electricity production from coal sources (% of total),Access to electricity (% of population),GDP per unit of energy use (PPP $ per kg of oil equivalent),"Annual freshwater withdrawals, total (% of internal resources)",Arable land (hectares),Land area (sq. km),Urban land area (sq. km),Rural land area (sq. km),Total natural resources rents (% of GDP),"Depositors with commercial banks (per 1,000 adults)",Bank liquid reserves to bank assets ratio (%),"Claims on central government, etc. (% GDP)",Net domestic credit (current LCU),Net foreign assets (current LCU),"Listed domestic companies, total","Stocks traded, total value (current US$)",Consumer price index (2010 = 100),"Inflation, GDP deflator (annual %)",Deposit interest rate (%),Real interest rate (%),Broad money (% of GDP),"Domestic general government health expenditure per capita, PPP (current international $)",Current health expenditure (% of GDP),Current health expenditure per capita (current US$),"External health expenditure per capita, PPP (current international $)","Mortality rate, infant (per 1,000 live births)",Number of infant deaths,"Population, total","ICT service exports (BoP, current US$)","Patent applications, residents","Trademark applications, total",Rail lines (total route-km),Gini index (World Bank estimate),Multidimensional poverty headcount ratio (% of total population),Poverty headcount ratio at national poverty lines (% of population),Start-up procedures to register a business (number),Cost of business start-up procedures (% of GNI per capita),Profit tax (% of commercial profits),Merchandise exports to high-income economies (% of total merchandise exports),Fuel exports (% of merchandise exports),Ores and metals exports (% of merchandise exports),Merchandise imports (current US$),Food imports (% of merchandise imports),Fuel imports (% of merchandise imports),Ores and metals imports (% of merchandise imports),"Bound rate, simple mean, all products (%)","Share of tariff lines with international peaks, all products (%)","Binding coverage, all products (%)",Export value index (2000 = 100),"Armed forces personnel, total","Armed forces personnel, total",Military expenditure (% of GDP),"Central government debt, total (% of GDP)",Expense (% of GDP),Tax revenue (% of GDP),Taxes on goods and services (% of revenue),"Revenue, excluding grants (% of GDP)",Social contributions (current LCU),IDA resource allocation index (1=low to 6=high),"Employers, total (% of total employment) (modeled ILO estimate)","Labor force participation rate for ages 15-24, female (%) (national estimate)",Benefit incidence of social protection and labor programs to poorest quintile (% of total SPL benefits),"Unemployment, total (% of total labor force) (modeled ILO estimate)",Increase in poverty gap at $3.20 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),Increase in poverty gap at $1.90 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),Number of people pushed below the $3.20 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure
1960 [YR1960],NaN,NaN,NaN,NaN,NaN,NaN,NaN,1526945821,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,96808106841,NaN,NaN,NaN,NaN,NaN,NaN,14450609152,14635200512,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11658722591,11807650531,NaN,NaN,NaN,0.883,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,690173,8463316,85.35506864,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.59608125,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.3,4635,9153489,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.397347867,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1961 [YR1961],NaN,NaN,NaN,NaN,NaN,NaN,NaN,1819222318,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.978423063,NaN,1.01628E+11,NaN,NaN,NaN,NaN,NaN,NaN,15369578496,15525971968,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12400145222,12526323162,NaN,NaN,NaN,0.759,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1885559,NaN,683837,8500111,83.26782706,NaN,NaN,NaN,1007000,32820,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.75089984,1.315468694,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28.1,4462,9183948,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.259070074,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,46.18000031,NaN,NaN,NaN,NaN,NaN
1962 [YR1962],NaN,NaN,NaN,NaN,NaN,NaN,NaN,1756067570,NaN,NaN,NaN,NaN,NaN,NaN,13405546016,NaN,5.212003509,NaN,1.06924E+11,NaN,NaN,NaN,NaN,NaN,NaN,16440317952,16578953216,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13264015675,13375866329,NaN,NaN,NaN,0.539,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2063184,NaN,675039,8545539,83.55656882,NaN,NaN,NaN,1004000,32820,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.97213809,1.667691946,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27,4295,9220578,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.810327816,9.733424366,NaN,13.77965044,9.866973575,13.12196164,NaN,NaN,NaN,NaN,NaN,NaN,3.284752167,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1963 [YR1963],NaN,NaN,NaN,NaN,NaN,NaN,NaN,1973351171,NaN,NaN,NaN,NaN,NaN,NaN,14226174725,NaN,4.351584282,NaN,1.11577E+11,NaN,NaN,NaN,NaN,NaN,NaN,17674829824,17795770368,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14260017387,14357591976,NaN,NaN,NaN,0.573,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1959365,NaN,665612,8624158,79.2313417,NaN,NaN,NaN,1001000,32820,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.31522016,3.0257967,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.9,4117,9289770,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.493404592,9.838071608,NaN,13.22325894,10.91067307,11.42916871,NaN,NaN,NaN,NaN,NaN,NaN,3.216630963,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1964 [YR1964],NaN,NaN,NaN,NaN,NaN,NaN,NaN,2227003947,NaN,NaN,NaN,NaN,NaN,NaN,15668565679,NaN,6.956684733,NaN,1.19339E+11,NaN,NaN,NaN,NaN,NaN,NaN,19782035456,19901181952,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15960106681,16056233836,NaN,NaN,NaN,0.458,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2091825,NaN,657593,8720520,74.31755146,NaN,NaN,NaN,998000,32820,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.99536263,4.642426558,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24.9,3926,9378113,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.929072966,9.826782918,NaN,13.44590861,9.819097567,12.10597306,NaN,NaN,NaN,NaN,NaN,NaN,3.213471659,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1965 [YR1965],NaN,NaN,NaN,NaN,NaN,NaN,NaN,2339311318,NaN,NaN,NaN,NaN,NaN,NaN,17067196863,NaN,3.56065984,NaN,1.23589E+11,NaN,NaN,NaN,NaN,NaN,NaN,21531359232,21692700672,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17371457608,17501627559,NaN,NaN,NaN,0.598,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1974178,NaN,649491,8814176,72.38370737,NaN,NaN,NaN,996000,32820,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17.68625834,5.100712937,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24,3734,9463667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.241171439,10.11964251,NaN,14.31928874,9.190622653,12.53201366,NaN,NaN,NaN,NaN,NaN,NaN,2.973063602,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1966 [YR1966],NaN,NaN,NaN,NaN,NaN,NaN,NaN,2357973398,NaN,NaN,NaN,NaN,NaN,NaN,18553179286,NaN,3.155894982,NaN,1.27489E+11,NaN,NaN,NaN,NaN,NaN,NaN,23118405632,23296983040,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18651883472,18795959368,NaN,NaN,NaN,0.417,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1610763,NaN,639888,8887919,69.06128576,NaN,NaN,NaN,994000,32820,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18.42454425,4.086014933,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.2,3547,9527807,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.772784161,11.76006694,NaN,13.71713165,7.81078503,13.68384564,NaN,NaN,NaN,NaN,NaN,NaN,3.112586029,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1967 [YR1967],NaN,NaN,NaN,NaN,NaN,NaN,NaN,2597706014,NaN,NaN,NaN,NaN,NaN,NaN,20097046130,NaN,3.868146947,NaN,1.32421E+11,NaN,NaN,NaN,NaN,NaN,NaN,24779487232,24977586176,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19992040788,20151866621,NaN,NaN,NaN,0.454,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2193351,NaN,629663,8951328,63.27297286,NaN,NaN,NaN,990000,32820,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18.92759007,3.193430937,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.5,3372,9580991,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.775064801,10.88232577,NaN,14.95276237,8.576936485,12.89812896,NaN,NaN,NaN,NaN,NaN,NaN,3.134581624,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1968 [YR1968],NaN,NaN,NaN,NaN,NaN,NaN,NaN,2486675902,NaN,NaN,NaN,NaN,NaN,NaN,21872541388,NaN,4.194129625,NaN,1.37974E+11,NaN,NaN,NaN,NaN,NaN,NaN,26495297536,26715252736,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21376353113,21553812529,NaN,NaN,NaN,0.421,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2060519,NaN,618582,9000174,57.96296296,NaN,NaN,NaN,989000,32820,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.43890942,2.620289277,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.9,3211,9618756,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.1194529,11.18461541,NaN,13.32034106,9.520390738,14.68107898,NaN,NaN,NaN,NaN,NaN,NaN,3.115090011,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1969 [YR1969],NaN,NaN,NaN,NaN,NaN,NaN,NaN,2395121264,NaN,NaN,NaN,NaN,NaN,NaN,24221708059,NaN,6.629799795,NaN,1.47122E+11,NaN,NaN,NaN,NaN,NaN,NaN,29388689408,29621094400,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23710735895,23898239778,NaN,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1936803,NaN,607025,9039007,46.88839362,NaN,NaN,NaN,988000,32820,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.16864458,4.023826311,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.3,3055,9646032,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.30144183,10.60963077,NaN,12.60783903,8.937835351,13.31921498,NaN,NaN,NaN,NaN,NaN,NaN,2.931814996,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
