NaN,"Foreign direct investment, net (BoP, current US$)","Net capital account (BoP, current US$)","Net trade in goods and services (BoP, current US$)","Exports of goods and services (BoP, current US$)","Charges for the use of intellectual property, payments (BoP, current US$)","Net secondary income (BoP, current US$)","Grants, excluding technical cooperation (BoP, current US$)","Total reserves (includes gold, current US$)","External debt stocks, long-term (DOD, current US$)",Total debt service (% of GNI),"Debt service on external debt, total (TDS, current US$)","Net financial flows, bilateral (NFL, current US$)","Commercial banks and other lending (PPG + PNG) (NFL, current US$)",Adjusted net national income (current US$),"GNI, Atlas method (current US$)",Exports of goods and services (annual % growth),GDP growth (annual %),GNI growth (annual %),GDP (constant LCU),GNI (constant LCU),Gross national expenditure (constant LCU),Gross domestic income (constant LCU),"Industry (including construction), value added (constant LCU)","Manufacturing, value added (constant LCU)","Services, value added (constant LCU)",GDP (current LCU),GNI (current LCU),Exports of goods and services (current LCU),"Industry (including construction), value added (current LCU)","Services, value added (current LCU)",Gross savings (% of GDP),Gross savings (% of GNI),Exports of goods and services (% of GDP),Trade (% of GDP),Imports of goods and services (constant 2010 US$),Exports of goods and services (constant 2010 US$),GDP (current US$),GNI (current US$),Exports of goods and services (current US$),Imports of goods and services (current US$),"Services, value added (current US$)","Net ODA provided, total (% of GNI)",Net ODA received (% of central government expense),Net ODA received (% of GNI),Net official aid received (current US$),"GDP per capita, PPP (current international $)","GDP per capita, PPP (current international $)","GNI, PPP (current international $)","Households and NPISHs Final consumption expenditure, PPP (current international $)","Gross intake ratio in first grade of primary education, total (% of relevant age group)","Over-age students, primary (% of enrollment)","Persistence to grade 5, total (% of cohort)","Government expenditure on education, total (% of government expenditure)","Compulsory education, duration (years)","Adjusted net enrollment rate, primary (% of primary school age children)","Primary education, pupils",Aquaculture production (metric tons),Cereal production (metric tons),"Plant species (higher), threatened",Rural population,Urban population,Electricity production from coal sources (% of total),Access to electricity (% of population),GDP per unit of energy use (PPP $ per kg of oil equivalent),"Annual freshwater withdrawals, total (% of internal resources)",Arable land (hectares),Land area (sq. km),Urban land area (sq. km),Rural land area (sq. km),Total natural resources rents (% of GDP),"Depositors with commercial banks (per 1,000 adults)",Bank liquid reserves to bank assets ratio (%),"Claims on central government, etc. (% GDP)",Net domestic credit (current LCU),Net foreign assets (current LCU),"Listed domestic companies, total","Stocks traded, total value (current US$)",Consumer price index (2010 = 100),"Inflation, GDP deflator (annual %)",Deposit interest rate (%),Real interest rate (%),Broad money (% of GDP),"Domestic general government health expenditure per capita, PPP (current international $)",Current health expenditure (% of GDP),Current health expenditure per capita (current US$),"External health expenditure per capita, PPP (current international $)","Mortality rate, infant (per 1,000 live births)",Number of infant deaths,"Population, total","ICT service exports (BoP, current US$)","Patent applications, residents","Trademark applications, total",Rail lines (total route-km),Gini index (World Bank estimate),Multidimensional poverty headcount ratio (% of total population),Poverty headcount ratio at national poverty lines (% of population),Start-up procedures to register a business (number),Cost of business start-up procedures (% of GNI per capita),Profit tax (% of commercial profits),Merchandise exports to high-income economies (% of total merchandise exports),Fuel exports (% of merchandise exports),Ores and metals exports (% of merchandise exports),Merchandise imports (current US$),Food imports (% of merchandise imports),Fuel imports (% of merchandise imports),Ores and metals imports (% of merchandise imports),"Bound rate, simple mean, all products (%)","Share of tariff lines with international peaks, all products (%)","Binding coverage, all products (%)",Export value index (2000 = 100),"Armed forces personnel, total","Armed forces personnel, total",Military expenditure (% of GDP),"Central government debt, total (% of GDP)",Expense (% of GDP),Tax revenue (% of GDP),Taxes on goods and services (% of revenue),"Revenue, excluding grants (% of GDP)",Social contributions (current LCU),IDA resource allocation index (1=low to 6=high),"Employers, total (% of total employment) (modeled ILO estimate)","Labor force participation rate for ages 15-24, female (%) (national estimate)",Benefit incidence of social protection and labor programs to poorest quintile (% of total SPL benefits),"Unemployment, total (% of total labor force) (modeled ILO estimate)",Increase in poverty gap at $3.20 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),Increase in poverty gap at $1.90 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),Number of people pushed below the $3.20 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure
1960 [YR1960],NaN,NaN,NaN,NaN,NaN,NaN,1880000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,173064600,NaN,NaN,NaN,NaN,NaN,NaN,40103500,39901700,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28071888.56,27930631.39,NaN,NaN,NaN,NaN,NaN,6.51614361,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,42324,49740,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,92064,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.82999992,NaN,NaN,NaN,NaN,NaN
1961 [YR1961],NaN,NaN,NaN,NaN,NaN,NaN,2820000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.892277219,NaN,181531400,NaN,NaN,NaN,NaN,NaN,NaN,42807100,42508600,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29964370.71,29755424.89,NaN,NaN,NaN,NaN,NaN,9.4772632,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4848,NaN,43829,50874,NaN,NaN,NaN,NaN,36000,22810,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.763026844,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,94703,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1962 [YR1962],NaN,NaN,NaN,NaN,NaN,NaN,5750000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31789828.63,NaN,4.89265218,NaN,190413100,NaN,NaN,NaN,NaN,NaN,NaN,45510800,45288700,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31856922.86,31701455.97,NaN,NaN,NaN,NaN,NaN,17.4124494,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3245,NaN,45371,52013,NaN,NaN,NaN,NaN,36000,22810,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.356964588,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,97384,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1963 [YR1963],NaN,NaN,NaN,NaN,NaN,NaN,3940000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,33772556.58,NaN,4.956434195,NaN,199850800,NaN,NaN,NaN,NaN,NaN,NaN,48214400,47983500,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,33749405.01,33587778.24,NaN,NaN,NaN,NaN,NaN,12.08772999,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3856,NaN,46976,53188,NaN,NaN,NaN,NaN,37000,22810,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.937659292,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,100164,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87.35511064,NaN,NaN,19000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1964 [YR1964],NaN,NaN,NaN,NaN,NaN,NaN,1370000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,35977587.1,NaN,4.99987991,NaN,209843100,NaN,NaN,NaN,NaN,NaN,NaN,51706500,51463800,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,36193826.12,36023939.52,NaN,NaN,NaN,NaN,NaN,4.302694189,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5084,NaN,48659,54410,NaN,NaN,NaN,NaN,37000,22810,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.13617101,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,103069,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85.64877462,NaN,NaN,22000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1965 [YR1965],NaN,NaN,NaN,NaN,NaN,NaN,1980000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,39090352.13,NaN,4.930540961,NaN,220189500,NaN,NaN,NaN,NaN,NaN,NaN,57300000,57000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,40069930.07,39860139.86,NaN,NaN,NaN,NaN,NaN,5.343684498,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5819,NaN,50427,55692,NaN,NaN,NaN,NaN,37000,22810,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.61061427,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,106119,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,83.89415224,NaN,NaN,24000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1966 [YR1966],NaN,NaN,NaN,NaN,NaN,NaN,1620000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,43098505.63,NaN,4.770845113,NaN,230694400,NaN,NaN,NaN,NaN,NaN,NaN,63500000,63200000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,44405594.41,44195804.2,NaN,NaN,NaN,NaN,NaN,5.837658055,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4478,NaN,52301,57046,NaN,NaN,NaN,NaN,38000,22810,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.773933778,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,109347,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,76.60609529,NaN,NaN,27000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1967 [YR1967],NaN,NaN,NaN,NaN,NaN,NaN,4320000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,47247511.07,NaN,4.913123162,NaN,242028700,NaN,NaN,NaN,NaN,NaN,NaN,68700000,68400000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,47379310.34,47172413.79,NaN,NaN,NaN,NaN,NaN,12.38011728,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8328,NaN,54250,58442,NaN,NaN,NaN,NaN,38000,22810,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.122443711,NaN,NaN,NaN,NaN,NaN,NaN,NaN,78.4,NaN,112692,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,78.79020979,NaN,NaN,26000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1968 [YR1968],NaN,NaN,NaN,NaN,NaN,NaN,4350000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,48696673.24,NaN,7.367225457,NaN,259859500,NaN,NaN,NaN,NaN,NaN,NaN,75000000,72400000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,44910179.64,43353293.41,NaN,NaN,NaN,NaN,NaN,12.73259664,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9893,NaN,56233,59828,NaN,NaN,NaN,NaN,38000,22810,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.679358121,NaN,NaN,NaN,NaN,NaN,NaN,NaN,75.5,359,116061,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,77.63445128,NaN,NaN,27000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1969 [YR1969],NaN,NaN,NaN,NaN,NaN,NaN,5940000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,49636626.13,NaN,5.106374791,NaN,273128900,NaN,NaN,NaN,NaN,NaN,NaN,79000000,76200000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,47305389.22,45628742.51,NaN,NaN,NaN,NaN,NaN,14.99055152,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11181,NaN,58154,61107,NaN,NaN,NaN,NaN,39000,22810,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.215932233,NaN,NaN,NaN,NaN,NaN,NaN,NaN,72.6,353,119261,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,72.33764692,NaN,NaN,30000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
