NaN,"Foreign direct investment, net (BoP, current US$)","Net capital account (BoP, current US$)","Net trade in goods and services (BoP, current US$)","Exports of goods and services (BoP, current US$)","Charges for the use of intellectual property, payments (BoP, current US$)","Net secondary income (BoP, current US$)","Grants, excluding technical cooperation (BoP, current US$)","Total reserves (includes gold, current US$)","External debt stocks, long-term (DOD, current US$)",Total debt service (% of GNI),"Debt service on external debt, total (TDS, current US$)","Net financial flows, bilateral (NFL, current US$)","Commercial banks and other lending (PPG + PNG) (NFL, current US$)",Adjusted net national income (current US$),"GNI, Atlas method (current US$)",Exports of goods and services (annual % growth),GDP growth (annual %),GNI growth (annual %),GDP (constant LCU),GNI (constant LCU),Gross national expenditure (constant LCU),Gross domestic income (constant LCU),"Industry (including construction), value added (constant LCU)","Manufacturing, value added (constant LCU)","Services, value added (constant LCU)",GDP (current LCU),GNI (current LCU),Exports of goods and services (current LCU),"Industry (including construction), value added (current LCU)","Services, value added (current LCU)",Gross savings (% of GDP),Gross savings (% of GNI),Exports of goods and services (% of GDP),Trade (% of GDP),Imports of goods and services (constant 2010 US$),Exports of goods and services (constant 2010 US$),GDP (current US$),GNI (current US$),Exports of goods and services (current US$),Imports of goods and services (current US$),"Services, value added (current US$)","Net ODA provided, total (% of GNI)",Net ODA received (% of central government expense),Net ODA received (% of GNI),Net official aid received (current US$),"GDP per capita, PPP (current international $)","GDP per capita, PPP (current international $)","GNI, PPP (current international $)","Households and NPISHs Final consumption expenditure, PPP (current international $)","Gross intake ratio in first grade of primary education, total (% of relevant age group)","Over-age students, primary (% of enrollment)","Persistence to grade 5, total (% of cohort)","Government expenditure on education, total (% of government expenditure)","Compulsory education, duration (years)","Adjusted net enrollment rate, primary (% of primary school age children)","Primary education, pupils",Aquaculture production (metric tons),Cereal production (metric tons),"Plant species (higher), threatened",Rural population,Urban population,Electricity production from coal sources (% of total),Access to electricity (% of population),GDP per unit of energy use (PPP $ per kg of oil equivalent),"Annual freshwater withdrawals, total (% of internal resources)",Arable land (hectares),Land area (sq. km),Urban land area (sq. km),Rural land area (sq. km),Total natural resources rents (% of GDP),"Depositors with commercial banks (per 1,000 adults)",Bank liquid reserves to bank assets ratio (%),"Claims on central government, etc. (% GDP)",Net domestic credit (current LCU),Net foreign assets (current LCU),"Listed domestic companies, total","Stocks traded, total value (current US$)",Consumer price index (2010 = 100),"Inflation, GDP deflator (annual %)",Deposit interest rate (%),Real interest rate (%),Broad money (% of GDP),"Domestic general government health expenditure per capita, PPP (current international $)",Current health expenditure (% of GDP),Current health expenditure per capita (current US$),"External health expenditure per capita, PPP (current international $)","Mortality rate, infant (per 1,000 live births)",Number of infant deaths,"Population, total","ICT service exports (BoP, current US$)","Patent applications, residents","Trademark applications, total",Rail lines (total route-km),Gini index (World Bank estimate),Multidimensional poverty headcount ratio (% of total population),Poverty headcount ratio at national poverty lines (% of population),Start-up procedures to register a business (number),Cost of business start-up procedures (% of GNI per capita),Profit tax (% of commercial profits),Merchandise exports to high-income economies (% of total merchandise exports),Fuel exports (% of merchandise exports),Ores and metals exports (% of merchandise exports),NaN,NaN,NaN,NaN,NaN,Merchandise imports (current US$),Food imports (% of merchandise imports),Fuel imports (% of merchandise imports),Ores and metals imports (% of merchandise imports),"Bound rate, simple mean, all products (%)","Share of tariff lines with international peaks, all products (%)","Binding coverage, all products (%)",Export value index (2000 = 100),"Armed forces personnel, total","Armed forces personnel, total",Military expenditure (% of GDP),"Central government debt, total (% of GDP)",Expense (% of GDP),Tax revenue (% of GDP),Taxes on goods and services (% of revenue),"Revenue, excluding grants (% of GDP)",Social contributions (current LCU),IDA resource allocation index (1=low to 6=high),"Employers, total (% of total employment) (modeled ILO estimate)","Labor force participation rate for ages 15-24, female (%) (national estimate)",Benefit incidence of social protection and labor programs to poorest quintile (% of total SPL benefits),"Unemployment, total (% of total labor force) (modeled ILO estimate)",Increase in poverty gap at $3.20 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),Increase in poverty gap at $1.90 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),Number of people pushed below the $3.20 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure
1960 [YR1960],NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.76162E+11,9.73035E+11,1.05104E+12,9.80645E+11,NaN,NaN,NaN,55462047700,55287144400,3396448000,5672089600,24189939700,NaN,NaN,6.123913813,18.23419982,221241813.7,94452146.13,226195579.4,225482256.4,13852022.33,27392931.59,98655885.46,NaN,NaN,0.008869877,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2206089,225533,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,185,19139,2431622,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.871584699,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1961 [YR1961],NaN,NaN,NaN,NaN,NaN,NaN,1000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-21.69824816,3.141280459,3.150981116,1.00683E+12,1.00369E+12,1.06958E+12,1.00959E+12,NaN,NaN,NaN,57800011800,57621942300,2649257500,5672089600,25427908600,NaN,NaN,4.583489549,14.11812169,179165457.3,73957685.07,235668222.4,234942178.9,10801828.34,22470098.07,103677314.8,NaN,NaN,0.629942238,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,290434,NaN,2222831,243036,NaN,NaN,NaN,NaN,920000,112760,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.041435672,NaN,NaN,NaN,NaN,NaN,NaN,NaN,182,19285,2465867,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,72.54901961,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.395287958,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1962 [YR1962],NaN,NaN,NaN,NaN,NaN,NaN,2040000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,233081229.7,-26.50603504,-3.426409823,-3.429455252,9.72328E+11,9.69274E+11,1.06504E+12,9.75806E+11,NaN,NaN,NaN,57929838600,57751588900,2037869300,5672089600,26357739500,NaN,NaN,3.517823197,13.47712766,187308237.2,54354435.15,236434906.8,235707398.2,8317361.995,23547272.22,107576506.9,NaN,NaN,1.590955578,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,286798,NaN,2240843,262053,NaN,NaN,NaN,NaN,940000,112760,NaN,NaN,NaN,NaN,NaN,0.431556528,4120000000,2390000000,NaN,NaN,NaN,3.780561136,NaN,NaN,10.09842275,NaN,NaN,NaN,NaN,178.8,19418,2502896,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,82.35294118,0.117962927,0.188999196,NaN,NaN,NaN,NaN,NaN,27000000,26.36640428,7.955175064,1.30333724,NaN,NaN,NaN,NaN,NaN,NaN,1.751633987,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1963 [YR1963],NaN,NaN,NaN,NaN,NaN,NaN,1060000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,249823244.2,9.836378175,4.730027975,4.739119883,1.01832E+12,1.01521E+12,1.14402E+12,1.0242E+12,NaN,NaN,NaN,62216437800,62032384000,2377514200,7135864300,27880561200,NaN,NaN,3.821360213,15.44725902,233456803.3,59700942.94,253927646.5,253176456.8,9703490.052,29521371.22,113790592,NaN,NaN,1.682621,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,278549,NaN,2260144,282715,NaN,NaN,NaN,NaN,960000,112760,NaN,NaN,NaN,NaN,NaN,0.353604301,4660000000,2190000000,NaN,NaN,NaN,2.549041132,NaN,NaN,9.740191201,NaN,NaN,NaN,NaN,175.6,19545,2542859,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88.70967742,0.105524532,0.228890809,NaN,NaN,NaN,NaN,NaN,33000000,22.63416313,6.094218761,1.32962651,NaN,NaN,NaN,NaN,NaN,NaN,1.736842105,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1964 [YR1964],NaN,NaN,NaN,NaN,NaN,NaN,12660000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,271737292.7,49.25334778,6.650759119,6.664133163,1.08605E+12,1.08286E+12,1.19573E+12,1.09105E+12,NaN,NaN,NaN,66112991200,65923657700,3396448000,7135864300,28877103600,NaN,NaN,5.137338272,17.38050343,255173837.5,89105656,269818988.3,269046284.2,13861514.15,33034384.35,117852644.9,NaN,NaN,6.716316393,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,294532,NaN,2280795,305170,NaN,NaN,NaN,NaN,980000,112760,NaN,NaN,NaN,NaN,NaN,0.302512405,5060000000,2060000000,NaN,NaN,NaN,-0.363671983,NaN,NaN,9.272005227,NaN,NaN,NaN,NaN,172.4,19662,2585965,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,93.12977099,0.127987683,0.007894553,NaN,NaN,NaN,NaN,NaN,31000000,24.37111208,6.001046848,1.531667153,NaN,NaN,NaN,NaN,NaN,NaN,2.18169901,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1965 [YR1965],NaN,NaN,NaN,NaN,NaN,NaN,14060000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,292322660,48.00473175,5.293862834,5.304410369,1.14354E+12,1.1403E+12,1.26222E+12,1.15079E+12,NaN,NaN,NaN,71045292000,70849241100,5163261400,5670728200,33674563000,NaN,NaN,7.267563064,22.17327364,324394632.8,131880587.1,289908720.6,289108711.8,21069299.1,43212954.82,137413039,NaN,NaN,6.184524518,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,286772,NaN,2302811,329545,NaN,NaN,NaN,NaN,1000000,112760,NaN,NaN,NaN,NaN,NaN,0.50671901,4880000000,2320000000,NaN,NaN,NaN,2.057620458,NaN,NaN,8.656449748,NaN,NaN,NaN,NaN,169.3,19774,2632356,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87.59124088,0.134450674,0.609783723,NaN,NaN,NaN,NaN,NaN,34000000,22.79519987,5.535820442,1.363487583,NaN,NaN,NaN,NaN,NaN,NaN,2.106508876,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1966 [YR1966],NaN,NaN,NaN,NaN,NaN,NaN,6810000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,308228097.9,10.13541911,3.575862733,3.83380105,1.18443E+12,1.18402E+12,1.35942E+12,1.1934E+12,NaN,NaN,NaN,74422198300,74397630500,5095349200,8414629900,32407568400,NaN,NaN,6.84654487,23.04260784,416691013.8,145247237.4,302925280.8,302825280.9,20739915.27,49061969.22,131910531.8,NaN,NaN,4.926933455,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,262408,NaN,2326102,356057,NaN,NaN,NaN,NaN,1030000,112760,NaN,NaN,NaN,NaN,NaN,1.048074389,5040000000,2580000000,NaN,NaN,NaN,1.136665599,NaN,NaN,8.680205836,NaN,NaN,NaN,NaN,166.2,19885,2682159,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,78.45707331,0.208814319,0.383987073,NaN,NaN,NaN,NaN,NaN,33000000,24.69255462,4.47074669,1.123245101,NaN,NaN,NaN,NaN,NaN,NaN,1.900232597,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1967 [YR1967],NaN,NaN,NaN,NaN,NaN,NaN,9220000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,314614257.9,10.42935499,1.078398666,0.972164281,1.1972E+12,1.19553E+12,1.43551E+12,1.21066E+12,NaN,NaN,NaN,75330887700,75232485400,5774731800,8597561300,35033325600,NaN,NaN,7.66582205,27.43808832,519845511.4,160395587.4,306222000.4,305821992.5,23474433.63,60547029.3,142411371.7,NaN,NaN,5.320088436,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,313677,NaN,2350477,384830,NaN,NaN,NaN,NaN,1070000,112760,NaN,NaN,NaN,NaN,NaN,0.849585103,5210000000,1860000000,NaN,NaN,NaN,0.141072431,NaN,NaN,8.389652894,NaN,NaN,NaN,NaN,163.2,20003,2735307,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,79.34991666,0.067484708,13.75576023,NaN,NaN,NaN,NaN,NaN,48000000,21.83835018,4.351572336,1.286817499,NaN,NaN,NaN,NaN,NaN,NaN,1.976252106,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1968 [YR1968],NaN,NaN,NaN,NaN,NaN,NaN,8010000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,333126836.9,12.22220762,3.842335636,3.501631207,1.2432E+12,1.23739E+12,1.48622E+12,1.2796E+12,NaN,NaN,NaN,80786079700,80439492600,7541091800,8780488700,40605601800,NaN,NaN,9.334642587,28.41122937,548347487.8,179999469.1,326323097.4,324923111.4,30461094.82,62251308.85,164020160.4,NaN,NaN,4.044033767,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,291772,NaN,2375559,416031,NaN,NaN,NaN,NaN,1100000,112760,NaN,NaN,NaN,NaN,NaN,0.594161769,5617000000,2380000000,NaN,NaN,NaN,3.273524952,NaN,NaN,9.034972395,NaN,NaN,NaN,NaN,160.4,20129,2791590,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80.30532988,0.077720656,2.957475243,NaN,NaN,NaN,NaN,NaN,50000000,21.80343125,4.685237994,1.141927539,NaN,NaN,NaN,NaN,NaN,NaN,2.072124756,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1969 [YR1969],NaN,NaN,NaN,NaN,NaN,NaN,6380000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,344766354.4,40.09911307,2.877497976,2.52560812,1.27898E+12,1.26865E+12,1.49883E+12,1.30543E+12,NaN,NaN,NaN,85981503500,85331599400,10122790900,9512190000,43369304000,NaN,NaN,11.77321922,33.20172495,595852401.5,252177659.7,330748211.5,328248201.5,38939712.02,70874399.43,166830296.6,NaN,NaN,4.003068497,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,274553,NaN,2400941,449720,NaN,NaN,NaN,NaN,1180000,112760,NaN,NaN,NaN,NaN,NaN,1.301442699,7677000000,1630000000,NaN,NaN,NaN,3.454195522,NaN,NaN,9.947488299,NaN,NaN,NaN,NaN,157.7,20263,2850661,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,74.9263623,0.081371818,0.670467317,NaN,NaN,NaN,NaN,NaN,55000000,19.56422649,3.488181807,1.078276427,NaN,NaN,NaN,NaN,NaN,NaN,1.894736842,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1970 [YR1970],NaN,NaN,NaN,NaN,NaN,NaN,9230000,NaN,42326414.5,0.527508182,1746726.1,1847939.8,NaN,NaN,352437258.2,13.42724568,2.097757578,2.100121605,1.30581E+12,1.29529E+12,1.53402E+12,1.3503E+12,2.29026E+11,NaN,5.63935E+11,92215746600,91524743200,13995196400,10792699900,47923046400,NaN,NaN,15.17657983,39.63790345,644718170.2,286038173.6,333627758.2,331127773.9,50633283.06,81609765.59,173381001.9,NaN,NaN,4.451453769,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,284987,NaN,2426241,486099,NaN,NaN,NaN,NaN,1200000,112760,NaN,NaN,6.707341246,NaN,NaN,-0.159408784,7252000000,4008552800,NaN,NaN,NaN,5.04704694,NaN,NaN,10.87449852,NaN,NaN,NaN,NaN,155.1,20406,2912340,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,79.21659975,0.152456259,0.120669906,NaN,NaN,NaN,NaN,NaN,64000000,17.8162044,3.802335689,0.857352986,NaN,NaN,NaN,NaN,NaN,NaN,1.625281519,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1971 [YR1971],NaN,NaN,NaN,NaN,NaN,NaN,9040000,NaN,49825705.9,1.10908649,3681838,4007659.1,-1206000,316699096.8,347345806.7,28.03719328,-1.496841828,-1.699510165,1.28626E+12,1.27327E+12,1.54334E+12,1.33351E+12,2.12429E+11,1.91514E+11,5.71765E+11,92264521700,91410186200,16409982000,12437999600,48126521300,NaN,NaN,17.78579859,45.61841272,771350383.6,366235249.2,335072975.2,331970322.8,59595404.5,93259568.23,174778954.9,NaN,NaN,8.729695864,NaN,NaN,NaN,NaN,NaN,44.68191,NaN,66.2931366,NaN,NaN,NaN,155255,NaN,238061,NaN,2451296,525276,NaN,NaN,NaN,NaN,1250000,112760,NaN,NaN,5.793022975,NaN,NaN,-0.885497464,7718000000,6150097700,NaN,NaN,NaN,1.573283774,NaN,NaN,13.29113268,NaN,NaN,NaN,NaN,152.6,20561,2976572,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,82.85578409,0.013171839,0.126441549,NaN,NaN,NaN,NaN,NaN,77000000,17.15797146,3.630081794,0.824301425,NaN,NaN,NaN,NaN,NaN,NaN,1.601042034,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1972 [YR1972],NaN,NaN,NaN,NaN,NaN,NaN,17320000,NaN,45300101.9,0.730215857,2980974,1258086.6,NaN,389366244.3,397398713.2,4.672397639,6.426367544,6.919592288,1.36892E+12,1.36138E+12,1.6563E+12,1.38343E+12,2.42283E+11,2.00922E+11,6.0935E+11,1.03415E+11,1.02886E+11,14875624400,14362399700,53652565000,NaN,NaN,14.38440221,41.18455161,832422025.2,383347216.3,410331901,408231890.9,59023791.05,109969562.5,212883688.1,NaN,NaN,4.908974865,NaN,NaN,NaN,NaN,NaN,48.90789,NaN,61.89712143,NaN,NaN,NaN,173897,NaN,271788,NaN,2476003,567564,NaN,NaN,NaN,NaN,1280000,112760,NaN,NaN,5.340842757,NaN,NaN,-0.491224847,9907000000,6057551415,NaN,NaN,NaN,5.317226078,NaN,NaN,13.4380939,NaN,NaN,NaN,NaN,149.9,20700,3043567,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,81.92160088,0.019950042,0.310373605,NaN,NaN,NaN,NaN,NaN,92000000,20.94113797,4.314163101,0.514333183,NaN,NaN,NaN,NaN,NaN,NaN,1.487794309,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
