NaN,"Foreign direct investment, net (BoP, current US$)","Net capital account (BoP, current US$)","Net trade in goods and services (BoP, current US$)","Exports of goods and services (BoP, current US$)","Charges for the use of intellectual property, payments (BoP, current US$)","Net secondary income (BoP, current US$)","Grants, excluding technical cooperation (BoP, current US$)","Total reserves (includes gold, current US$)","External debt stocks, long-term (DOD, current US$)",Total debt service (% of GNI),"Debt service on external debt, total (TDS, current US$)","Net financial flows, bilateral (NFL, current US$)","Commercial banks and other lending (PPG + PNG) (NFL, current US$)",Adjusted net national income (current US$),"GNI, Atlas method (current US$)",Exports of goods and services (annual % growth),GDP growth (annual %),GNI growth (annual %),GDP (constant LCU),GNI (constant LCU),Gross national expenditure (constant LCU),Gross domestic income (constant LCU),"Industry (including construction), value added (constant LCU)","Manufacturing, value added (constant LCU)","Services, value added (constant LCU)",GDP (current LCU),GNI (current LCU),Exports of goods and services (current LCU),"Industry (including construction), value added (current LCU)","Services, value added (current LCU)",Gross savings (% of GDP),Gross savings (% of GNI),Exports of goods and services (% of GDP),Trade (% of GDP),Imports of goods and services (constant 2010 US$),Exports of goods and services (constant 2010 US$),GDP (current US$),GNI (current US$),Exports of goods and services (current US$),Imports of goods and services (current US$),"Services, value added (current US$)","Net ODA provided, total (% of GNI)",Net ODA received (% of central government expense),Net ODA received (% of GNI),Net official aid received (current US$),"GDP per capita, PPP (current international $)","GDP per capita, PPP (current international $)","GNI, PPP (current international $)","Households and NPISHs Final consumption expenditure, PPP (current international $)","Gross intake ratio in first grade of primary education, total (% of relevant age group)","Over-age students, primary (% of enrollment)","Persistence to grade 5, total (% of cohort)","Government expenditure on education, total (% of government expenditure)","Compulsory education, duration (years)","Adjusted net enrollment rate, primary (% of primary school age children)","Primary education, pupils",Aquaculture production (metric tons),Cereal production (metric tons),"Plant species (higher), threatened",Rural population,Urban population,Electricity production from coal sources (% of total),Access to electricity (% of population),GDP per unit of energy use (PPP $ per kg of oil equivalent),"Annual freshwater withdrawals, total (% of internal resources)",Arable land (hectares),Land area (sq. km),Urban land area (sq. km),Rural land area (sq. km),Total natural resources rents (% of GDP),"Depositors with commercial banks (per 1,000 adults)",Bank liquid reserves to bank assets ratio (%),"Claims on central government, etc. (% GDP)",Net domestic credit (current LCU),Net foreign assets (current LCU),"Listed domestic companies, total","Stocks traded, total value (current US$)",Consumer price index (2010 = 100),"Inflation, GDP deflator (annual %)",Deposit interest rate (%),Real interest rate (%),Broad money (% of GDP),"Domestic general government health expenditure per capita, PPP (current international $)",Current health expenditure (% of GDP),Current health expenditure per capita (current US$),"External health expenditure per capita, PPP (current international $)","Mortality rate, infant (per 1,000 live births)",Number of infant deaths,"Population, total","ICT service exports (BoP, current US$)","Patent applications, residents","Trademark applications, total",Rail lines (total route-km),Gini index (World Bank estimate),Multidimensional poverty headcount ratio (% of total population),Poverty headcount ratio at national poverty lines (% of population),Start-up procedures to register a business (number),Cost of business start-up procedures (% of GNI per capita),Profit tax (% of commercial profits),Merchandise exports to high-income economies (% of total merchandise exports),Fuel exports (% of merchandise exports),Ores and metals exports (% of merchandise exports),Merchandise imports (current US$),Food imports (% of merchandise imports),Fuel imports (% of merchandise imports),Ores and metals imports (% of merchandise imports),"Bound rate, simple mean, all products (%)","Share of tariff lines with international peaks, all products (%)","Binding coverage, all products (%)",Export value index (2000 = 100),"Armed forces personnel, total","Armed forces personnel, total",Military expenditure (% of GDP),"Central government debt, total (% of GDP)",Expense (% of GDP),Tax revenue (% of GDP),Taxes on goods and services (% of revenue),"Revenue, excluding grants (% of GDP)",Social contributions (current LCU),IDA resource allocation index (1=low to 6=high),"Employers, total (% of total employment) (modeled ILO estimate)","Labor force participation rate for ages 15-24, female (%) (national estimate)",Benefit incidence of social protection and labor programs to poorest quintile (% of total SPL benefits),"Unemployment, total (% of total labor force) (modeled ILO estimate)",Increase in poverty gap at $3.20 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),Increase in poverty gap at $1.90 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),Number of people pushed below the $3.20 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure
1960 [YR1960],NaN,NaN,NaN,NaN,NaN,NaN,13050000,6715418.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6097257474,NaN,6101064360,5761633543,1986726606,966949730.4,2390934816,4479,NaN,726,NaN,NaN,NaN,NaN,16.20897522,40.14288904,829712489.4,925264969.6,373879363.6,NaN,60602013.39,89483964.67,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2312585,1344370,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.18374637,665.7,-143.2,NaN,NaN,2.24E-05,NaN,NaN,NaN,9.700826077,NaN,NaN,NaN,NaN,173.8,NaN,3656955,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88.07069219,NaN,NaN,71000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1961 [YR1961],NaN,NaN,NaN,NaN,NaN,NaN,23090000,7404270.65,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.587371512,2.089295936,NaN,6224647227,NaN,6378985751,5964400927,1957624166,968976878.7,2451311957,4872,NaN,799,NaN,NaN,NaN,NaN,16.3998358,39.73727422,878292309.9,930699712.4,406684585.7,NaN,66695604.27,94909764.77,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,411470,NaN,2347047,1381917,NaN,NaN,NaN,NaN,1294000,1083300,NaN,NaN,NaN,NaN,NaN,13.03366174,743.4,-113.1,NaN,NaN,2.41E-05,6.548173318,NaN,NaN,10.5316092,NaN,NaN,NaN,NaN,170.7,26829,3728964,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90.5511811,NaN,NaN,78000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.203463986,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1962 [YR1962],NaN,NaN,NaN,NaN,NaN,NaN,26480000,4005989.98,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.883211679,5.578917858,NaN,6571915183,NaN,6806092734,6216142996,2155520761,1072361441,2637618567,5327,NaN,807,NaN,NaN,NaN,NaN,15.14923972,40.75464614,1040225045,1004068741,444665186.4,NaN,67363395.05,113858328.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,418321,NaN,2382307,1420683,NaN,NaN,NaN,NaN,1296000,1083300,NaN,NaN,NaN,NaN,NaN,12.47606533,798.5,-156.5,NaN,NaN,2.55E-05,3.561471057,NaN,NaN,10.97803642,NaN,NaN,NaN,NaN,167.6,26822,3802990,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,96.31578947,1.939678559,88.79389425,97000000,25.18383998,3.688904103,0.598979324,NaN,NaN,NaN,NaN,NaN,NaN,1.158699993,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1963 [YR1963],NaN,NaN,NaN,NaN,NaN,NaN,32750000,10404576.44,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18.96869245,6.797625777,NaN,7018649383,NaN,7162717559,6580617264,2370856420,1143457227,2782981326,5736,NaN,974,NaN,NaN,NaN,NaN,16.9804742,43.32287308,1120455168,1194527452,478805990.1,NaN,81303527.6,126128983.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,449507,NaN,2418443,1460749,NaN,NaN,NaN,NaN,1304000,1083300,NaN,NaN,NaN,NaN,NaN,11.89156206,982.8,-81,NaN,NaN,2.54E-05,0.824214662,NaN,NaN,12.23152022,NaN,NaN,NaN,NaN,164.5,26795,3879192,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,96.17612978,2.200444492,87.5701628,103000000,26.49264439,1.797585574,0.475801101,NaN,NaN,NaN,NaN,NaN,NaN,1.326412016,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1964 [YR1964],NaN,NaN,NaN,NaN,NaN,NaN,25710000,22546124.32,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.656346749,3.956596533,NaN,7296349021,NaN,7291165189,7062525800,2529923464,1245361187,2871855966,6463,NaN,1312,NaN,NaN,NaN,NaN,20.3001702,43.77224199,1072040438,1274039342,539491477.3,NaN,109517688.1,126629826.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,381392,NaN,2455511,1502246,NaN,NaN,NaN,NaN,1341000,1083300,NaN,NaN,NaN,NaN,NaN,10.91288875,1125.7,86.6,NaN,NaN,2.79E-05,8.385943052,NaN,NaN,13.19511063,NaN,NaN,NaN,NaN,161.5,26759,3957757,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,95.87357331,0.642442449,91.01721635,103000000,23.91037011,1.605730898,0.422165108,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1965 [YR1965],NaN,NaN,NaN,NaN,NaN,NaN,24990000,36572986.48,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.846153846,4.913441955,NaN,7654850895,NaN,8041205964,7673692194,2789624760,1360299375,2910267887,7180,NaN,1541,NaN,NaN,NaN,NaN,21.46239554,48.14763231,1415785018,1323040855,604377104.4,NaN,129713804.7,161279461.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,455106,NaN,2493721,1545151,NaN,NaN,NaN,NaN,1375000,1083300,NaN,NaN,NaN,NaN,NaN,11.07381616,1252.3,219.55,NaN,NaN,2.87E-05,5.891025175,NaN,NaN,13.85793872,NaN,NaN,NaN,NaN,158.3,26696,4038872,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,96.51250948,0.575444257,92.00006874,134000000,19.89885669,1.213569656,0.526364942,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1966 [YR1966],NaN,NaN,NaN,NaN,NaN,NaN,11780000,41219613.49,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.20754717,7.170589663,NaN,8203748842,NaN,8576222481,8151972294,3039587258,1528559402,3131701313,7950,NaN,1690,NaN,NaN,NaN,NaN,21.25786164,47.73584906,1544429870,1497782100,669191919.2,NaN,142255892.3,177188552.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,434564,NaN,2532916,1589601,NaN,NaN,NaN,NaN,1414000,1083300,NaN,NaN,NaN,NaN,NaN,10.87798742,1410.7,276.0344,NaN,NaN,3.07E-05,3.315876428,NaN,NaN,15.76352201,NaN,NaN,NaN,NaN,155.2,26615,4122517,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,95.21276596,4.407186206,84.58513485,138000000,18.63623709,1.463880021,0.903526902,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1967 [YR1967],NaN,NaN,NaN,NaN,NaN,NaN,5120000,37943132.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.82716049,6.317219518,NaN,8721997665,NaN,8914145719,8533117438,3403169073,1591360680,3340330766,8979,NaN,2020,NaN,NaN,NaN,NaN,22.4969373,48.51319746,1678607835,1854661044,755808080.8,NaN,170033670,196632996.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,429601,NaN,2573100,1635576,NaN,NaN,NaN,NaN,1448000,1083300,NaN,NaN,NaN,NaN,NaN,11.5280098,1633.9,164.6532,NaN,NaN,3.42E-05,6.232458617,NaN,NaN,14.95155363,NaN,NaN,NaN,NaN,152,26528,4208676,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,91.98361615,13.75621485,76.34978821,151000000,20.5548953,1.106230347,0.719313788,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1968 [YR1968],NaN,NaN,NaN,NaN,NaN,NaN,10770000,41648875.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.498504487,8.529443084,NaN,9465935492,NaN,9638593282,9180251607,3607683844,1631648292,3718424575,10192,NaN,2016,NaN,NaN,NaN,NaN,19.78021978,43.81868132,1694515532,1863906613,857912457.9,NaN,169696969.7,206228956.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,480710,NaN,2614351,1683166,NaN,NaN,NaN,NaN,1488000,1083300,NaN,NaN,NaN,NaN,NaN,10.27374411,1814.8,128.0308,NaN,NaN,3.61E-05,4.588484241,NaN,NaN,14.84007064,NaN,NaN,NaN,NaN,148.9,26435,4297517,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,92.5993425,14.23490873,81.39313328,153000000,17.64429766,1.270839384,0.88699508,NaN,NaN,NaN,NaN,NaN,NaN,1.350152185,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1969 [YR1969],NaN,NaN,NaN,NaN,NaN,NaN,1750000,42066867.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.678571429,4.474097331,NaN,9889450659,NaN,10039327464,9708781628,3866303052,1758435777,4017435018,11044,NaN,2255,NaN,NaN,NaN,NaN,20.41832669,43.67077146,1716647979,1913832683,929629629.6,NaN,189814814.8,216161616.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,503075,NaN,2656811,1732435,NaN,NaN,NaN,NaN,1527000,1083300,NaN,NaN,NaN,NaN,NaN,9.514668598,1921.5,123.7096,NaN,NaN,3.69E-05,3.719008264,NaN,NaN,15.09507425,NaN,NaN,NaN,NaN,145.6,26320,4389246,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,91.09545842,11.69943716,84.14270044,165000000,17.30910008,1.076939354,0.726052055,NaN,NaN,NaN,NaN,NaN,NaN,1.318224897,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
