NaN,"Foreign direct investment, net (BoP, current US$)","Net capital account (BoP, current US$)","Net trade in goods and services (BoP, current US$)","Exports of goods and services (BoP, current US$)","Charges for the use of intellectual property, payments (BoP, current US$)","Net secondary income (BoP, current US$)","Grants, excluding technical cooperation (BoP, current US$)","Total reserves (includes gold, current US$)","External debt stocks, long-term (DOD, current US$)",Total debt service (% of GNI),"Debt service on external debt, total (TDS, current US$)","Net financial flows, bilateral (NFL, current US$)","Commercial banks and other lending (PPG + PNG) (NFL, current US$)",Adjusted net national income (current US$),"GNI, Atlas method (current US$)",Exports of goods and services (annual % growth),GDP growth (annual %),GNI growth (annual %),GDP (constant LCU),GNI (constant LCU),Gross national expenditure (constant LCU),Gross domestic income (constant LCU),"Industry (including construction), value added (constant LCU)","Manufacturing, value added (constant LCU)","Services, value added (constant LCU)",GDP (current LCU),GNI (current LCU),Exports of goods and services (current LCU),"Industry (including construction), value added (current LCU)","Services, value added (current LCU)",Gross savings (% of GDP),Gross savings (% of GNI),Exports of goods and services (% of GDP),Trade (% of GDP),Imports of goods and services (constant 2010 US$),Exports of goods and services (constant 2010 US$),GDP (current US$),GNI (current US$),Exports of goods and services (current US$),Imports of goods and services (current US$),"Services, value added (current US$)","Net ODA provided, total (% of GNI)",Net ODA received (% of central government expense),Net ODA received (% of GNI),Net official aid received (current US$),"GDP per capita, PPP (current international $)","GDP per capita, PPP (current international $)","GNI, PPP (current international $)","Households and NPISHs Final consumption expenditure, PPP (current international $)","Gross intake ratio in first grade of primary education, total (% of relevant age group)","Over-age students, primary (% of enrollment)","Persistence to grade 5, total (% of cohort)","Government expenditure on education, total (% of government expenditure)","Compulsory education, duration (years)","Adjusted net enrollment rate, primary (% of primary school age children)","Primary education, pupils",Aquaculture production (metric tons),Cereal production (metric tons),"Plant species (higher), threatened",Rural population,Urban population,Electricity production from coal sources (% of total),Access to electricity (% of population),GDP per unit of energy use (PPP $ per kg of oil equivalent),"Annual freshwater withdrawals, total (% of internal resources)",Arable land (hectares),Land area (sq. km),Urban land area (sq. km),Rural land area (sq. km),Total natural resources rents (% of GDP),"Depositors with commercial banks (per 1,000 adults)",Bank liquid reserves to bank assets ratio (%),"Claims on central government, etc. (% GDP)",Net domestic credit (current LCU),Net foreign assets (current LCU),"Listed domestic companies, total","Stocks traded, total value (current US$)",Consumer price index (2010 = 100),"Inflation, GDP deflator (annual %)",Deposit interest rate (%),Real interest rate (%),Broad money (% of GDP),"Domestic general government health expenditure per capita, PPP (current international $)",Current health expenditure (% of GDP),Current health expenditure per capita (current US$),"External health expenditure per capita, PPP (current international $)","Mortality rate, infant (per 1,000 live births)",Number of infant deaths,"Population, total","ICT service exports (BoP, current US$)","Patent applications, residents","Trademark applications, total",Rail lines (total route-km),Gini index (World Bank estimate),Multidimensional poverty headcount ratio (% of total population),Poverty headcount ratio at national poverty lines (% of population),Start-up procedures to register a business (number),Cost of business start-up procedures (% of GNI per capita),Profit tax (% of commercial profits),Merchandise exports to high-income economies (% of total merchandise exports),Fuel exports (% of merchandise exports),Ores and metals exports (% of merchandise exports),Merchandise imports (current US$),Food imports (% of merchandise imports),Fuel imports (% of merchandise imports),Ores and metals imports (% of merchandise imports),"Bound rate, simple mean, all products (%)","Share of tariff lines with international peaks, all products (%)","Binding coverage, all products (%)",Export value index (2000 = 100),"Armed forces personnel, total","Armed forces personnel, total",Military expenditure (% of GDP),"Central government debt, total (% of GDP)",Expense (% of GDP),Tax revenue (% of GDP),Taxes on goods and services (% of revenue),"Revenue, excluding grants (% of GDP)",Social contributions (current LCU),IDA resource allocation index (1=low to 6=high),"Employers, total (% of total employment) (modeled ILO estimate)","Labor force participation rate for ages 15-24, female (%) (national estimate)",Benefit incidence of social protection and labor programs to poorest quintile (% of total SPL benefits),"Unemployment, total (% of total labor force) (modeled ILO estimate)",Increase in poverty gap at $3.20 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),Increase in poverty gap at $1.90 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),Number of people pushed below the $3.20 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure
1960 [YR1960],NaN,NaN,NaN,NaN,NaN,NaN,2990000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1092982800,NaN,NaN,NaN,110157300,NaN,589433979.6,21693100,24399300,5700000,2891800,9354100,NaN,NaN,26.27563603,65.91957811,NaN,NaN,30412308.99,34206224.59,7991027.618,12056638.16,13113837.1,NaN,NaN,10.02741492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,487361,15384,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,114.3,2660,502745,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1961 [YR1961],NaN,NaN,NaN,NaN,NaN,NaN,4770000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.343283719,NaN,1162313800,NaN,NaN,NaN,107775500,NaN,649097657.9,23515300,26407500,6400000,2891800,10795600,NaN,NaN,27.21632299,69.74182766,NaN,NaN,32902336.64,36949069.54,8954806.212,13991884.71,15105079.05,NaN,NaN,14.77709752,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,62161,NaN,496807,15878,NaN,NaN,NaN,NaN,399000,566730,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.933946527,NaN,NaN,NaN,NaN,NaN,NaN,NaN,111.3,2631,512685,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1962 [YR1962],NaN,NaN,NaN,NaN,NaN,NaN,4790000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,40039628.27,NaN,6.666667814,NaN,1239801400,NaN,NaN,NaN,111348200,NaN,705070203,25424300,28516100,7100000,2891800,12328600,NaN,NaN,27.92603926,72.76503188,NaN,NaN,35643207.63,39977709.24,9953736.156,15982055.24,17283891.77,NaN,NaN,13.10730372,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16900,NaN,507363,16415,NaN,NaN,NaN,NaN,399000,566730,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.360735324,NaN,NaN,NaN,NaN,NaN,NaN,NaN,108.3,2597,523778,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1963 [YR1963],NaN,NaN,NaN,NaN,NaN,NaN,5040000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,43033223.07,NaN,5.921045096,NaN,1313210600,NaN,NaN,NaN,103012000,NaN,773306472.7,27246600,30624700,7900000,2891800,13770000,NaN,NaN,28.99444334,76.3398002,NaN,NaN,38091150.57,42813784.43,11044317.07,18034391.16,19250664.06,NaN,NaN,12.44926137,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18550,NaN,518698,16987,NaN,NaN,NaN,NaN,399000,566730,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.176826763,NaN,NaN,NaN,NaN,NaN,NaN,NaN,105.5,2568,535685,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1964 [YR1964],NaN,NaN,NaN,NaN,NaN,NaN,7800000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,46662157.15,NaN,6.832300927,NaN,1402933100,NaN,NaN,NaN,154594500,NaN,775265895.6,29849700,33536500,8600000,4027900,14418200,NaN,NaN,28.81100983,77.38771244,NaN,NaN,41613969.05,46753798.97,11989404.71,20214693.99,20100655.23,NaN,NaN,18.97172012,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11506,NaN,529695,18178,NaN,NaN,NaN,NaN,399000,566730,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.547498874,NaN,NaN,NaN,NaN,NaN,NaN,NaN,102.7,2541,547873,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1965 [YR1965],NaN,NaN,NaN,NaN,NaN,NaN,9710000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50923125.37,NaN,5.813955063,NaN,1484499000,NaN,NaN,NaN,256595200,109369300,765647934.2,32800000,36850000,10400000,6300000,15400000,NaN,NaN,31.70731707,82.31707317,NaN,NaN,45790869.75,51444925.31,14519056.26,23174647.49,21499371.77,NaN,NaN,20.0214115,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11599,NaN,538496,21498,NaN,NaN,NaN,NaN,400000,566730,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.846275629,NaN,NaN,NaN,NaN,NaN,NaN,NaN,100.2,2522,559994,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1966 [YR1966],NaN,NaN,NaN,NaN,NaN,NaN,13190000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,55864808.82,NaN,6.344019093,NaN,1578675900,NaN,NaN,NaN,245111600,99041500,796519925.8,36900000,40850000,10800000,5300000,17100000,NaN,NaN,29.26829268,80.21680217,NaN,NaN,51464435.15,56973500.7,15062761.51,26220362.62,23849372.38,NaN,NaN,31.38300954,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,35466,NaN,546586,25378,NaN,NaN,NaN,NaN,400000,566730,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.788742008,NaN,NaN,NaN,NaN,NaN,NaN,NaN,97.7,2504,571964,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1967 [YR1967],NaN,NaN,NaN,NaN,NaN,NaN,13480000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60076058.44,NaN,5.924559943,NaN,1672205500,NaN,NaN,NaN,259278100,108045300,824503253.7,42049500,44650000,10350000,6300000,18399500,NaN,NaN,24.61384796,75.38734111,NaN,NaN,58646443.51,62273361.23,14435146.44,29776847.98,25661785.22,NaN,NaN,29.32232959,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,65529,NaN,554163,29929,NaN,NaN,NaN,NaN,400000,566730,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.581551072,NaN,NaN,NaN,NaN,NaN,NaN,NaN,95.3,2488,584092,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1968 [YR1968],NaN,NaN,NaN,NaN,NaN,NaN,14760000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,70620628.28,NaN,10.5670565,NaN,1848908400,NaN,NaN,NaN,237756800,97982200,924913629.8,47500000,50450000,10950000,5900000,20850000,NaN,NaN,23.05263158,86,NaN,NaN,66248256.62,70362622.04,15271966.53,41701534.17,29079497.91,NaN,NaN,23.79104031,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25943,NaN,561655,35292,NaN,NaN,NaN,NaN,400000,566730,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.166149449,NaN,NaN,NaN,NaN,NaN,NaN,NaN,92.8,2470,596947,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,33000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1969 [YR1969],NaN,NaN,NaN,NaN,NaN,NaN,9800000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85153108.92,NaN,15.12340471,NaN,2128526300,NaN,NaN,NaN,508886600,93480300,885156510.4,55550000,59250000,12650000,10850000,23200000,NaN,NaN,22.77227723,75.33753375,NaN,NaN,77356914.08,82509399.81,17615930.93,40662860.33,32307478.07,NaN,NaN,16.1920941,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50075,NaN,569670,41630,NaN,NaN,NaN,NaN,400000,566730,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.584355256,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89.9,2447,611300,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,46000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
