NaN,"Foreign direct investment, net (BoP, current US$)","Net capital account (BoP, current US$)","Net trade in goods and services (BoP, current US$)","Exports of goods and services (BoP, current US$)","Charges for the use of intellectual property, payments (BoP, current US$)","Net secondary income (BoP, current US$)","Grants, excluding technical cooperation (BoP, current US$)","Total reserves (includes gold, current US$)","External debt stocks, long-term (DOD, current US$)",Total debt service (% of GNI),"Debt service on external debt, total (TDS, current US$)","Net financial flows, bilateral (NFL, current US$)","Commercial banks and other lending (PPG + PNG) (NFL, current US$)",Adjusted net national income (current US$),"GNI, Atlas method (current US$)",Exports of goods and services (annual % growth),GDP growth (annual %),GNI growth (annual %),GDP (constant LCU),GNI (constant LCU),Gross national expenditure (constant LCU),Gross domestic income (constant LCU),"Industry (including construction), value added (constant LCU)","Manufacturing, value added (constant LCU)","Services, value added (constant LCU)",GDP (current LCU),GNI (current LCU),Exports of goods and services (current LCU),"Industry (including construction), value added (current LCU)","Services, value added (current LCU)",Gross savings (% of GDP),Gross savings (% of GNI),Exports of goods and services (% of GDP),Trade (% of GDP),Imports of goods and services (constant 2010 US$),Exports of goods and services (constant 2010 US$),GDP (current US$),GNI (current US$),Exports of goods and services (current US$),Imports of goods and services (current US$),"Services, value added (current US$)","Net ODA provided, total (% of GNI)",Net ODA received (% of central government expense),Net ODA received (% of GNI),Net official aid received (current US$),"GDP per capita, PPP (current international $)","GDP per capita, PPP (current international $)","GNI, PPP (current international $)","Households and NPISHs Final consumption expenditure, PPP (current international $)","Gross intake ratio in first grade of primary education, total (% of relevant age group)","Over-age students, primary (% of enrollment)","Persistence to grade 5, total (% of cohort)","Government expenditure on education, total (% of government expenditure)","Compulsory education, duration (years)","Adjusted net enrollment rate, primary (% of primary school age children)","Primary education, pupils",Aquaculture production (metric tons),Cereal production (metric tons),"Plant species (higher), threatened",Rural population,Urban population,Electricity production from coal sources (% of total),Access to electricity (% of population),GDP per unit of energy use (PPP $ per kg of oil equivalent),"Annual freshwater withdrawals, total (% of internal resources)",Arable land (hectares),Land area (sq. km),Urban land area (sq. km),Rural land area (sq. km),Total natural resources rents (% of GDP),"Depositors with commercial banks (per 1,000 adults)",Bank liquid reserves to bank assets ratio (%),"Claims on central government, etc. (% GDP)",Net domestic credit (current LCU),Net foreign assets (current LCU),"Listed domestic companies, total","Stocks traded, total value (current US$)",Consumer price index (2010 = 100),"Inflation, GDP deflator (annual %)",Deposit interest rate (%),Real interest rate (%),Broad money (% of GDP),"Domestic general government health expenditure per capita, PPP (current international $)",Current health expenditure (% of GDP),Current health expenditure per capita (current US$),"External health expenditure per capita, PPP (current international $)","Mortality rate, infant (per 1,000 live births)",Number of infant deaths,"Population, total","ICT service exports (BoP, current US$)","Patent applications, residents","Trademark applications, total",Rail lines (total route-km),Gini index (World Bank estimate),Multidimensional poverty headcount ratio (% of total population),Poverty headcount ratio at national poverty lines (% of population),Start-up procedures to register a business (number),Cost of business start-up procedures (% of GNI per capita),Profit tax (% of commercial profits),Merchandise exports to high-income economies (% of total merchandise exports),Fuel exports (% of merchandise exports),Ores and metals exports (% of merchandise exports),Merchandise imports (current US$),Food imports (% of merchandise imports),Fuel imports (% of merchandise imports),Ores and metals imports (% of merchandise imports),"Bound rate, simple mean, all products (%)","Share of tariff lines with international peaks, all products (%)","Binding coverage, all products (%)",Export value index (2000 = 100),"Armed forces personnel, total","Armed forces personnel, total",Military expenditure (% of GDP),"Central government debt, total (% of GDP)",Expense (% of GDP),Tax revenue (% of GDP),Taxes on goods and services (% of revenue),"Revenue, excluding grants (% of GDP)",Social contributions (current LCU),IDA resource allocation index (1=low to 6=high),"Employers, total (% of total employment) (modeled ILO estimate)","Labor force participation rate for ages 15-24, female (%) (national estimate)",Benefit incidence of social protection and labor programs to poorest quintile (% of total SPL benefits),"Unemployment, total (% of total labor force) (modeled ILO estimate)",Increase in poverty gap at $3.20 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),Increase in poverty gap at $1.90 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),Number of people pushed below the $3.20 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure
1960 [YR1960],NaN,NaN,NaN,NaN,NaN,NaN,10000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,46243,35459,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,83.9,302,81702,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,93.93939394,NaN,NaN,17000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.31999969,NaN,NaN,NaN,NaN,NaN
1961 [YR1961],NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4908,NaN,46864,38698,NaN,NaN,NaN,NaN,4000,5270,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,75.9,280,85562,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,100,NaN,NaN,16000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1962 [YR1962],NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5245,NaN,47362,42119,NaN,NaN,NaN,NaN,4000,5270,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,68.2,257,89481,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,100,98.1962784,0.000699816,16000000,35.14836886,3.405224361,1.876167023,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1963 [YR1963],NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3868,NaN,47780,45760,NaN,NaN,NaN,NaN,4000,5270,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,61.3,236,93540,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,100,98.64924038,0.002150687,21000000,31.98231394,2.408887836,2.233411342,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1964 [YR1964],NaN,NaN,NaN,NaN,NaN,NaN,20000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3441,NaN,48147,49665,NaN,NaN,NaN,NaN,4000,5270,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,55.6,218,97812,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,100,98.72202034,0.003000991,31000000,25.36853681,1.775426548,2.010713396,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1965 [YR1965],NaN,NaN,NaN,NaN,NaN,NaN,30000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,349100000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,114040245.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2946,NaN,48505,53881,NaN,NaN,NaN,NaN,4000,5270,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,51.2,205,102386,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,100,99.01582682,0.050422965,36000000,23.52607441,1.523203175,1.494881666,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1966 [YR1966],NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,406400000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,132758395.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3408,NaN,48843,58431,NaN,NaN,NaN,NaN,6000,5270,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,47.9,195,107274,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,99.20986543,0.056266759,51000000,21.17581633,2.106717887,1.775532284,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1967 [YR1967],NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,425600000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,139030445.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5523,NaN,49140,63308,NaN,NaN,NaN,NaN,6000,5270,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,45.3,190,112448,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.528976572,99.45899574,0.070186812,45000000,26.31565654,2.459819483,1.929154991,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1968 [YR1968],NaN,NaN,NaN,NaN,NaN,NaN,10000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,492300000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,160819286.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5522,NaN,49378,68520,NaN,NaN,NaN,NaN,6000,5270,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,43.1,186,117898,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.35973023,99.44470716,0.056195817,69000000,19.1310427,1.893455804,1.819406768,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1969 [YR1969],NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,493500000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,161211289.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6782,NaN,49554,74046,NaN,NaN,NaN,NaN,6000,5270,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,41,184,123600,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.198300283,99.25106098,0.072924751,73000000,19.40012695,2.436648971,2.770821316,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
