NaN,"Foreign direct investment, net (BoP, current US$)","Net capital account (BoP, current US$)","Net trade in goods and services (BoP, current US$)","Exports of goods and services (BoP, current US$)","Charges for the use of intellectual property, payments (BoP, current US$)","Net secondary income (BoP, current US$)","Grants, excluding technical cooperation (BoP, current US$)","Total reserves (includes gold, current US$)","External debt stocks, long-term (DOD, current US$)",Total debt service (% of GNI),"Debt service on external debt, total (TDS, current US$)","Net financial flows, bilateral (NFL, current US$)","Commercial banks and other lending (PPG + PNG) (NFL, current US$)",Adjusted net national income (current US$),"GNI, Atlas method (current US$)",Exports of goods and services (annual % growth),GDP growth (annual %),GNI growth (annual %),GDP (constant LCU),GNI (constant LCU),Gross national expenditure (constant LCU),Gross domestic income (constant LCU),"Industry (including construction), value added (constant LCU)","Manufacturing, value added (constant LCU)","Services, value added (constant LCU)",GDP (current LCU),GNI (current LCU),Exports of goods and services (current LCU),"Industry (including construction), value added (current LCU)","Services, value added (current LCU)",Gross savings (% of GDP),Gross savings (% of GNI),Exports of goods and services (% of GDP),Trade (% of GDP),Imports of goods and services (constant 2010 US$),Exports of goods and services (constant 2010 US$),GDP (current US$),GNI (current US$),Exports of goods and services (current US$),Imports of goods and services (current US$),"Services, value added (current US$)","Net ODA provided, total (% of GNI)",Net ODA received (% of central government expense),Net ODA received (% of GNI),Net official aid received (current US$),"GDP per capita, PPP (current international $)","GDP per capita, PPP (current international $)","GNI, PPP (current international $)","Households and NPISHs Final consumption expenditure, PPP (current international $)","Gross intake ratio in first grade of primary education, total (% of relevant age group)","Over-age students, primary (% of enrollment)","Persistence to grade 5, total (% of cohort)","Government expenditure on education, total (% of government expenditure)","Compulsory education, duration (years)","Adjusted net enrollment rate, primary (% of primary school age children)","Primary education, pupils",Aquaculture production (metric tons),Cereal production (metric tons),"Plant species (higher), threatened",Rural population,Urban population,Electricity production from coal sources (% of total),Access to electricity (% of population),GDP per unit of energy use (PPP $ per kg of oil equivalent),"Annual freshwater withdrawals, total (% of internal resources)",Arable land (hectares),Land area (sq. km),Urban land area (sq. km),Rural land area (sq. km),Total natural resources rents (% of GDP),"Depositors with commercial banks (per 1,000 adults)",Bank liquid reserves to bank assets ratio (%),"Claims on central government, etc. (% GDP)",Net domestic credit (current LCU),Net foreign assets (current LCU),"Listed domestic companies, total","Stocks traded, total value (current US$)",Consumer price index (2010 = 100),"Inflation, GDP deflator (annual %)",Deposit interest rate (%),Real interest rate (%),Broad money (% of GDP),"Domestic general government health expenditure per capita, PPP (current international $)",Current health expenditure (% of GDP),Current health expenditure per capita (current US$),"External health expenditure per capita, PPP (current international $)","Mortality rate, infant (per 1,000 live births)",Number of infant deaths,"Population, total","ICT service exports (BoP, current US$)","Patent applications, residents","Trademark applications, total",Rail lines (total route-km),Gini index (World Bank estimate),Multidimensional poverty headcount ratio (% of total population),Poverty headcount ratio at national poverty lines (% of population),Start-up procedures to register a business (number),Cost of business start-up procedures (% of GNI per capita),Profit tax (% of commercial profits),Merchandise exports to high-income economies (% of total merchandise exports),Fuel exports (% of merchandise exports),Ores and metals exports (% of merchandise exports),Merchandise imports (current US$),Food imports (% of merchandise imports),Fuel imports (% of merchandise imports),Ores and metals imports (% of merchandise imports),"Bound rate, simple mean, all products (%)","Share of tariff lines with international peaks, all products (%)","Binding coverage, all products (%)",Export value index (2000 = 100),"Armed forces personnel, total","Armed forces personnel, total",Military expenditure (% of GDP),"Central government debt, total (% of GDP)",Expense (% of GDP),Tax revenue (% of GDP),Taxes on goods and services (% of revenue),"Revenue, excluding grants (% of GDP)",Social contributions (current LCU),IDA resource allocation index (1=low to 6=high),"Employers, total (% of total employment) (modeled ILO estimate)","Labor force participation rate for ages 15-24, female (%) (national estimate)",Benefit incidence of social protection and labor programs to poorest quintile (% of total SPL benefits),"Unemployment, total (% of total labor force) (modeled ILO estimate)",Increase in poverty gap at $3.20 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),Increase in poverty gap at $1.90 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),Number of people pushed below the $3.20 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure
1960 [YR1960],NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.89816E+11,NaN,NaN,NaN,NaN,NaN,NaN,81022959600,82114535400,3939308300,16134785000,31004251400,NaN,NaN,4.861965447,20.70137006,NaN,NaN,330442817.2,334894683.5,16066015.59,52340174.82,126447271.6,NaN,NaN,0.059720268,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4602311,226977,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.71330051,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,155.6,34338,4829288,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.682017544,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1961 [YR1961],NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.043927977,NaN,7.17711E+11,NaN,NaN,NaN,NaN,NaN,NaN,85901672400,86684090400,4663503900,17089730600,33053122300,NaN,NaN,5.428886039,21.21886244,NaN,NaN,350247237.1,353437393.2,19014523.36,55303956.09,134767629.5,NaN,NaN,0.381962987,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,726079,NaN,4659836,234744,NaN,NaN,NaN,NaN,2124000,273600,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.70191821,1.900608242,NaN,NaN,NaN,NaN,NaN,NaN,NaN,154.1,34456,4894580,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18.91891892,NaN,NaN,28000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.83436853,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1962 [YR1962],NaN,NaN,NaN,NaN,NaN,NaN,1000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,387079262.3,NaN,6.128798781,NaN,7.61698E+11,NaN,NaN,NaN,NaN,NaN,NaN,92999196700,95080292400,5144700400,18011754500,35945410800,NaN,NaN,5.531983697,21.23794839,NaN,NaN,379567178.3,388060968,20997594.42,59614687.01,146707698.9,NaN,NaN,1.141573153,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,895048,NaN,4717617,242709,NaN,NaN,NaN,NaN,2134000,273600,NaN,NaN,NaN,NaN,NaN,-0.064516686,2230000000,3630000000,NaN,NaN,12.91479087,2.010371569,NaN,NaN,5.93553514,NaN,NaN,NaN,NaN,152.5,34595,4960326,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24.67532468,0.205041138,3.872190178,35000000,20.72059211,3.426032123,1.373904466,NaN,NaN,NaN,NaN,NaN,NaN,2.345703125,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1963 [YR1963],NaN,NaN,NaN,NaN,NaN,NaN,1080000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,387900834.2,NaN,-1.268016373,NaN,7.5204E+11,NaN,NaN,NaN,NaN,NaN,NaN,96546406400,97385513000,5386799100,19911409700,35607118600,NaN,NaN,5.579492081,21.24850128,NaN,NaN,394040749.1,397465446.2,21985472.4,61742281.23,145325509.4,NaN,NaN,1.041599944,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,918153,NaN,4776782,251039,NaN,NaN,NaN,NaN,2144000,273600,NaN,NaN,NaN,NaN,NaN,0.010357713,3320000000,3180000000,NaN,NaN,13.63468751,5.147524754,NaN,NaN,6.328562841,NaN,NaN,NaN,NaN,151,34764,5027821,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.52173913,0.18511853,3.467596899,37000000,24.9128905,3.498932827,1.542526704,NaN,NaN,NaN,NaN,NaN,NaN,2.38305709,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1964 [YR1964],NaN,NaN,NaN,NaN,NaN,NaN,10460000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,408452328.6,NaN,2.282819223,NaN,7.69208E+11,NaN,NaN,NaN,NaN,NaN,NaN,1.0054E+11,1.01382E+11,2813948700,20189874200,36847019000,NaN,NaN,2.798836183,14.31727564,NaN,NaN,410321785.6,413758334.1,11484234.6,47262666.46,150379362.1,NaN,NaN,3.721979317,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1010600,NaN,4839102,259788,NaN,NaN,NaN,NaN,2149000,273600,NaN,NaN,NaN,NaN,NaN,0.009946294,4020000000,2810000000,NaN,NaN,13.88626429,1.812216582,NaN,NaN,6.236326506,NaN,NaN,NaN,NaN,149.7,35005,5098890,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.110452375,1.955266568,40000000,27.09173699,3.544658026,1.409265996,NaN,NaN,NaN,NaN,NaN,NaN,2.60515873,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1965 [YR1965],NaN,NaN,NaN,NaN,NaN,NaN,10770000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,428515857.7,NaN,3.764545381,NaN,7.98165E+11,7.90027E+11,9.48743E+11,8.21497E+11,NaN,NaN,NaN,1.0364E+11,1.02751E+11,4821968900,19376957400,42651187300,NaN,NaN,4.652596543,16.02921712,447694144.5,122294619.2,422916848.4,419289066.1,19676614.67,48113645.22,174043216.6,NaN,NaN,4.118876893,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,953407,NaN,4905880,268990,NaN,NaN,NaN,NaN,2159000,273600,NaN,NaN,NaN,NaN,NaN,0.125433731,4210000000,2963000000,NaN,NaN,13.7848595,-0.656072018,NaN,NaN,6.18484782,NaN,NaN,NaN,NaN,148.6,35307,5174870,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18.49315068,0.005970015,1.348950126,37000000,24.8465508,4.257478202,1.608134712,NaN,NaN,NaN,NaN,NaN,NaN,1.524822695,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1966 [YR1966],NaN,NaN,NaN,NaN,NaN,NaN,4610000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,440441378.3,3.336678519,0.537613083,1.098803501,8.02456E+11,7.98707E+11,9.53697E+11,8.3093E+11,NaN,NaN,NaN,1.06597E+11,1.06179E+11,5385011700,20276486100,43400724500,NaN,NaN,5.05173085,16.70021919,456580705.7,126375197.5,433889831.6,432185731.8,21918946.48,50541606.43,176656655.6,NaN,NaN,3.9011007,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1000000,NaN,4977618,278745,NaN,NaN,NaN,NaN,2170000,273600,NaN,NaN,NaN,NaN,NaN,0.281432862,3920000000,3806000000,NaN,NaN,14.11074819,2.303116945,NaN,NaN,6.210285156,NaN,NaN,NaN,NaN,147.7,35695,5256363,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.41509434,0.089027602,1.457816613,38000000,28.34576617,5.879495077,2.145844341,NaN,NaN,NaN,NaN,NaN,NaN,1.649484536,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1967 [YR1967],NaN,NaN,NaN,NaN,NaN,NaN,15300000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,474418549.3,0,8.823314975,8.836392077,8.73259E+11,8.69284E+11,1.06637E+12,8.99277E+11,NaN,NaN,NaN,1.10886E+11,1.10463E+11,5465017900,24492822500,46768377900,NaN,NaN,4.928506232,18.85581328,545534275.1,126375197.5,450753993.2,449034466.1,22215438.64,62777892.68,190114661.8,NaN,NaN,4.369375253,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1035155,NaN,5053908,289111,NaN,NaN,NaN,NaN,2180000,273600,NaN,NaN,NaN,NaN,NaN,-0.315639804,3390000000,4191000000,NaN,NaN,13.49922309,-4.411008405,NaN,NaN,5.997156284,NaN,NaN,NaN,NaN,146.7,36052,5343019,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.11494253,0.015953289,0.196106684,36000000,26.98249357,6.530172017,2.505157648,NaN,NaN,NaN,NaN,NaN,NaN,1.325072886,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1968 [YR1968],NaN,NaN,NaN,NaN,NaN,NaN,13380000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,488390708.9,29.02927095,3.070773938,3.109083997,9.00075E+11,8.96311E+11,1.11024E+12,9.35433E+11,NaN,NaN,NaN,1.13989E+11,1.13594E+11,7072740900,25897353200,49395048400,NaN,NaN,6.204738147,21.49212882,622614134.3,163060996,460442864.2,458847463.2,28569274.04,70389699.5,199523875.4,NaN,NaN,4.971150827,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1084696,NaN,5134082,299959,NaN,NaN,NaN,NaN,2190000,273600,NaN,NaN,NaN,NaN,NaN,-0.803583819,3140000000,5449000000,NaN,NaN,13.46051897,-0.263878695,NaN,NaN,6.662902953,NaN,NaN,NaN,NaN,145.9,36447,5434041,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24.40191388,0.015988703,0.13267728,44000000,21.52583929,6.735809221,2.338885244,NaN,NaN,NaN,NaN,NaN,NaN,1.178481013,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1969 [YR1969],NaN,NaN,NaN,NaN,NaN,NaN,12910000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,495557800.1,-5.00218841,2.026081041,2.042758116,9.18311E+11,9.14621E+11,1.1461E+12,9.47711E+11,NaN,NaN,NaN,1.24339E+11,1.23923E+11,7233053200,27906918400,53660743700,NaN,NaN,5.817213741,22.34960836,658200456.4,154904377.8,478298781.5,476700323.3,27823662.44,79074242.05,206418835.6,NaN,NaN,5.034609549,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1037041,NaN,5216827,311347,NaN,NaN,NaN,NaN,2202000,273600,NaN,NaN,NaN,NaN,NaN,-1.801529509,3447000000,6625000000,NaN,NaN,14.76020333,6.913154193,NaN,NaN,7.003445966,NaN,NaN,NaN,NaN,145,36847,5528174,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.7691203,0.006441547,0.067747642,54000000,19.35323481,6.622826059,1.525276308,NaN,NaN,NaN,NaN,NaN,NaN,1.246722288,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
