NaN,"Foreign direct investment, net (BoP, current US$)","Net capital account (BoP, current US$)","Net trade in goods and services (BoP, current US$)","Exports of goods and services (BoP, current US$)","Charges for the use of intellectual property, payments (BoP, current US$)","Net secondary income (BoP, current US$)","Grants, excluding technical cooperation (BoP, current US$)","Total reserves (includes gold, current US$)","External debt stocks, long-term (DOD, current US$)",Total debt service (% of GNI),"Debt service on external debt, total (TDS, current US$)","Net financial flows, bilateral (NFL, current US$)","Commercial banks and other lending (PPG + PNG) (NFL, current US$)",Adjusted net national income (current US$),"GNI, Atlas method (current US$)",Exports of goods and services (annual % growth),GDP growth (annual %),GNI growth (annual %),GDP (constant LCU),GNI (constant LCU),Gross national expenditure (constant LCU),Gross domestic income (constant LCU),"Industry (including construction), value added (constant LCU)","Manufacturing, value added (constant LCU)","Services, value added (constant LCU)",GDP (current LCU),GNI (current LCU),Exports of goods and services (current LCU),"Industry (including construction), value added (current LCU)","Services, value added (current LCU)",Gross savings (% of GDP),Gross savings (% of GNI),Exports of goods and services (% of GDP),Trade (% of GDP),Imports of goods and services (constant 2010 US$),Exports of goods and services (constant 2010 US$),GDP (current US$),GNI (current US$),Exports of goods and services (current US$),Imports of goods and services (current US$),"Services, value added (current US$)","Net ODA provided, total (% of GNI)",Net ODA received (% of central government expense),Net ODA received (% of GNI),Net official aid received (current US$),"GDP per capita, PPP (current international $)","GDP per capita, PPP (current international $)","GNI, PPP (current international $)","Households and NPISHs Final consumption expenditure, PPP (current international $)","Gross intake ratio in first grade of primary education, total (% of relevant age group)","Over-age students, primary (% of enrollment)","Persistence to grade 5, total (% of cohort)","Government expenditure on education, total (% of government expenditure)","Compulsory education, duration (years)","Adjusted net enrollment rate, primary (% of primary school age children)","Primary education, pupils",Aquaculture production (metric tons),Cereal production (metric tons),"Plant species (higher), threatened",Rural population,Urban population,Electricity production from coal sources (% of total),Access to electricity (% of population),GDP per unit of energy use (PPP $ per kg of oil equivalent),"Annual freshwater withdrawals, total (% of internal resources)",Arable land (hectares),Land area (sq. km),Urban land area (sq. km),Rural land area (sq. km),Total natural resources rents (% of GDP),"Depositors with commercial banks (per 1,000 adults)",Bank liquid reserves to bank assets ratio (%),"Claims on central government, etc. (% GDP)",Net domestic credit (current LCU),Net foreign assets (current LCU),"Listed domestic companies, total","Stocks traded, total value (current US$)",Consumer price index (2010 = 100),"Inflation, GDP deflator (annual %)",Deposit interest rate (%),Real interest rate (%),Broad money (% of GDP),"Domestic general government health expenditure per capita, PPP (current international $)",Current health expenditure (% of GDP),Current health expenditure per capita (current US$),"External health expenditure per capita, PPP (current international $)","Mortality rate, infant (per 1,000 live births)",Number of infant deaths,"Population, total","ICT service exports (BoP, current US$)","Patent applications, residents","Trademark applications, total",Rail lines (total route-km),Gini index (World Bank estimate),Multidimensional poverty headcount ratio (% of total population),Poverty headcount ratio at national poverty lines (% of population),Start-up procedures to register a business (number),Cost of business start-up procedures (% of GNI per capita),Profit tax (% of commercial profits),Merchandise exports to high-income economies (% of total merchandise exports),Fuel exports (% of merchandise exports),Ores and metals exports (% of merchandise exports),Merchandise imports (current US$),Food imports (% of merchandise imports),Fuel imports (% of merchandise imports),Ores and metals imports (% of merchandise imports),"Bound rate, simple mean, all products (%)","Share of tariff lines with international peaks, all products (%)","Binding coverage, all products (%)",Export value index (2000 = 100),"Armed forces personnel, total","Armed forces personnel, total",Military expenditure (% of GDP),"Central government debt, total (% of GDP)",Expense (% of GDP),Tax revenue (% of GDP),Taxes on goods and services (% of revenue),"Revenue, excluding grants (% of GDP)",Social contributions (current LCU),IDA resource allocation index (1=low to 6=high),"Employers, total (% of total employment) (modeled ILO estimate)","Labor force participation rate for ages 15-24, female (%) (national estimate)",Benefit incidence of social protection and labor programs to poorest quintile (% of total SPL benefits),"Unemployment, total (% of total labor force) (modeled ILO estimate)",Increase in poverty gap at $3.20 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),Increase in poverty gap at $1.90 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),Number of people pushed below the $3.20 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure
1960 [YR1960],NaN,NaN,NaN,NaN,NaN,NaN,7500000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.43031E+11,NaN,NaN,NaN,NaN,NaN,NaN,9799999500,9694600200,1224999900,NaN,NaN,NaN,NaN,12.49999962,25.89285744,NaN,NaN,195999990,193892004,24499998,26250000,NaN,NaN,NaN,3.883605334,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2739819,58113,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2797932,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1961 [YR1961],NaN,NaN,NaN,NaN,NaN,NaN,6700000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-13.74613505,NaN,3.82131E+11,NaN,NaN,NaN,NaN,NaN,NaN,10149999600,10040999900,1312500000,NaN,NaN,NaN,NaN,12.93103499,27.58620798,NaN,NaN,202999992,200819998,26250000,29750000,NaN,NaN,NaN,3.580320749,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,130000,NaN,2792109,60329,NaN,NaN,NaN,NaN,675000,25680,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.07743634,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2852438,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1962 [YR1962],NaN,NaN,NaN,NaN,NaN,NaN,10060000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,206666179.6,NaN,9.063157935,NaN,4.16764E+11,NaN,NaN,NaN,NaN,NaN,NaN,10675000300,10560600100,1400000000,NaN,NaN,NaN,NaN,13.11475373,29.50819589,NaN,NaN,213500006,211212002,28000000,35000000,NaN,NaN,NaN,5.241179284,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,129150,NaN,2844697,62624,NaN,NaN,NaN,NaN,700000,25680,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-3.567416454,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2907321,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.943793911,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1963 [YR1963],NaN,NaN,NaN,NaN,NaN,NaN,5290000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,229705021.3,NaN,4.13540742,NaN,4.33999E+11,NaN,NaN,NaN,NaN,NaN,NaN,11637499900,11513900000,875000000,NaN,NaN,NaN,NaN,7.518797057,21.80451147,NaN,NaN,232749998,230278000,17500000,33250000,NaN,NaN,NaN,2.675027509,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,130080,NaN,2899417,65010,NaN,NaN,NaN,NaN,724000,25680,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.687149302,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2964427,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.434782609,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1964 [YR1964],NaN,NaN,NaN,NaN,NaN,NaN,3650000,12678000,NaN,NaN,NaN,NaN,NaN,NaN,249136186.9,NaN,6.273037903,NaN,4.61224E+11,NaN,NaN,NaN,NaN,NaN,NaN,13037500400,12899300400,1837500000,NaN,NaN,NaN,NaN,14.0939593,26.17449661,NaN,NaN,260750008,257986008,36750000,31500002,NaN,NaN,NaN,3.135829038,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,148680,NaN,2958713,67577,NaN,NaN,NaN,NaN,744000,25680,NaN,NaN,NaN,NaN,NaN,0.19942473,996000000,575000000,NaN,NaN,NaN,5.417217573,NaN,NaN,10.27804379,NaN,NaN,NaN,NaN,141.7,NaN,3026290,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.445620494,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1965 [YR1965],NaN,NaN,NaN,NaN,NaN,NaN,2760000,9220000,NaN,NaN,NaN,NaN,NaN,NaN,218415484.9,NaN,3.967225609,NaN,4.79522E+11,NaN,NaN,NaN,NaN,NaN,NaN,13415200000,13287300000,1388200000,NaN,NaN,NaN,NaN,10.3479635,22.88225297,NaN,NaN,158994963,157479111.1,16452740.74,19928888.89,NaN,NaN,NaN,3.086123676,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,148278,NaN,3023394,70985,NaN,NaN,NaN,NaN,756000,25680,NaN,NaN,NaN,NaN,NaN,1.796469676,556000000,801000000,NaN,NaN,1.468451155,-1.029363778,NaN,NaN,10.33901843,NaN,NaN,NaN,NaN,142.8,20727,3094379,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.005551244,0.418374716,18000000,17.51923434,5.636744338,2.857904228,NaN,NaN,NaN,NaN,NaN,NaN,1.352337005,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1966 [YR1966],NaN,NaN,NaN,NaN,NaN,NaN,2680000,7040000,NaN,NaN,NaN,NaN,NaN,NaN,186278497.8,NaN,4.612992896,NaN,5.01642E+11,NaN,NaN,NaN,NaN,NaN,NaN,14476400000,13654200000,1560000000,NaN,NaN,NaN,NaN,10.77615982,23.7683402,NaN,NaN,165444571.4,156048000,17828571.43,21494857.14,NaN,NaN,NaN,5.72259837,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,152037,NaN,3094557,75933,NaN,NaN,NaN,NaN,753000,25680,NaN,NaN,NaN,NaN,NaN,3.053245282,809000000,531000000,NaN,NaN,1.533604277,3.152033961,NaN,NaN,9.47058661,NaN,NaN,NaN,NaN,143.9,21299,3170490,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.382287925,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1967 [YR1967],NaN,NaN,NaN,NaN,NaN,NaN,2690000,5050000,NaN,NaN,NaN,NaN,NaN,NaN,178801235.6,NaN,13.8215186,NaN,5.70977E+11,NaN,NaN,NaN,NaN,NaN,NaN,15601000000,14610000000,1685000000,NaN,NaN,NaN,NaN,10.80058971,22.68636626,NaN,NaN,178297142.9,166971428.6,19257142.86,21192000,NaN,NaN,NaN,6.234599498,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,154700,NaN,3171855,81363,NaN,NaN,NaN,NaN,788000,25680,NaN,NaN,NaN,NaN,NaN,3.927953336,1196200000,346975000,NaN,NaN,1.516898349,-5.317986172,NaN,NaN,10.49355811,NaN,NaN,NaN,NaN,145,21860,3253218,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.332606884,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1968 [YR1968],NaN,NaN,NaN,NaN,NaN,NaN,5710000,2950265.9,NaN,NaN,NaN,NaN,NaN,NaN,176530724.1,NaN,-0.297883673,NaN,5.69276E+11,NaN,NaN,NaN,NaN,NaN,NaN,16030000000,14847000000,1650400000,NaN,NaN,NaN,NaN,10.29569557,23.6625078,NaN,NaN,183200000,169680000,18861714.29,24488000,NaN,NaN,NaN,7.643800252,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,164900,NaN,3249800,87127,NaN,NaN,NaN,NaN,800000,25680,NaN,NaN,NaN,NaN,NaN,5.07922645,1455400000,-85724999.78,NaN,NaN,1.608780958,3.05681315,NaN,NaN,10.53212726,NaN,NaN,NaN,NaN,145.8,22374,3336927,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.414223331,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1969 [YR1969],NaN,NaN,NaN,NaN,NaN,NaN,4680000,7453827.2,NaN,NaN,NaN,NaN,NaN,NaN,178807837,NaN,-1.459541143,NaN,5.60967E+11,NaN,NaN,NaN,NaN,NaN,NaN,16643000000,15590000000,1607500000,NaN,NaN,NaN,NaN,9.658715376,21.75328967,NaN,NaN,190205714.3,178171428.6,18371428.57,23004571.43,NaN,NaN,NaN,8.379570409,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,162233,NaN,3320841,93063,NaN,NaN,NaN,NaN,992000,25680,NaN,NaN,NaN,NaN,NaN,5.572312684,1495100000,-52949999.49,NaN,NaN,1.673516432,5.361879836,NaN,NaN,10.54857898,NaN,NaN,NaN,NaN,146.4,22839,3413904,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,81.1965812,NaN,NaN,21000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.754491378,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
