NaN,"Foreign direct investment, net (BoP, current US$)","Net capital account (BoP, current US$)","Net trade in goods and services (BoP, current US$)","Exports of goods and services (BoP, current US$)","Charges for the use of intellectual property, payments (BoP, current US$)","Net secondary income (BoP, current US$)","Grants, excluding technical cooperation (BoP, current US$)","Total reserves (includes gold, current US$)","External debt stocks, long-term (DOD, current US$)",Total debt service (% of GNI),"Debt service on external debt, total (TDS, current US$)","Net financial flows, bilateral (NFL, current US$)","Commercial banks and other lending (PPG + PNG) (NFL, current US$)",Adjusted net national income (current US$),"GNI, Atlas method (current US$)",Exports of goods and services (annual % growth),GDP growth (annual %),GNI growth (annual %),GDP (constant LCU),GNI (constant LCU),Gross national expenditure (constant LCU),Gross domestic income (constant LCU),"Industry (including construction), value added (constant LCU)","Manufacturing, value added (constant LCU)","Services, value added (constant LCU)",GDP (current LCU),GNI (current LCU),Exports of goods and services (current LCU),"Industry (including construction), value added (current LCU)","Services, value added (current LCU)",Gross savings (% of GDP),Gross savings (% of GNI),Exports of goods and services (% of GDP),Trade (% of GDP),Imports of goods and services (constant 2010 US$),Exports of goods and services (constant 2010 US$),GDP (current US$),GNI (current US$),Exports of goods and services (current US$),Imports of goods and services (current US$),"Services, value added (current US$)","Net ODA provided, total (% of GNI)",Net ODA received (% of central government expense),Net ODA received (% of GNI),Net official aid received (current US$),"GDP per capita, PPP (current international $)","GDP per capita, PPP (current international $)","GNI, PPP (current international $)","Households and NPISHs Final consumption expenditure, PPP (current international $)","Gross intake ratio in first grade of primary education, total (% of relevant age group)","Over-age students, primary (% of enrollment)","Persistence to grade 5, total (% of cohort)","Government expenditure on education, total (% of government expenditure)","Compulsory education, duration (years)","Adjusted net enrollment rate, primary (% of primary school age children)","Primary education, pupils",Aquaculture production (metric tons),Cereal production (metric tons),"Plant species (higher), threatened",Rural population,Urban population,Electricity production from coal sources (% of total),Access to electricity (% of population),GDP per unit of energy use (PPP $ per kg of oil equivalent),"Annual freshwater withdrawals, total (% of internal resources)",Arable land (hectares),Land area (sq. km),Urban land area (sq. km),Rural land area (sq. km),Total natural resources rents (% of GDP),"Depositors with commercial banks (per 1,000 adults)",Bank liquid reserves to bank assets ratio (%),"Claims on central government, etc. (% GDP)",Net domestic credit (current LCU),Net foreign assets (current LCU),"Listed domestic companies, total","Stocks traded, total value (current US$)",Consumer price index (2010 = 100),"Inflation, GDP deflator (annual %)",Deposit interest rate (%),Real interest rate (%),Broad money (% of GDP),"Domestic general government health expenditure per capita, PPP (current international $)",Current health expenditure (% of GDP),Current health expenditure per capita (current US$),"External health expenditure per capita, PPP (current international $)","Mortality rate, infant (per 1,000 live births)",Number of infant deaths,"Population, total","ICT service exports (BoP, current US$)","Patent applications, residents","Trademark applications, total",Rail lines (total route-km),Gini index (World Bank estimate),Multidimensional poverty headcount ratio (% of total population),Poverty headcount ratio at national poverty lines (% of population),Start-up procedures to register a business (number),Cost of business start-up procedures (% of GNI per capita),Profit tax (% of commercial profits),Merchandise exports to high-income economies (% of total merchandise exports),Fuel exports (% of merchandise exports),Ores and metals exports (% of merchandise exports),Merchandise imports (current US$),Food imports (% of merchandise imports),Fuel imports (% of merchandise imports),Ores and metals imports (% of merchandise imports),"Bound rate, simple mean, all products (%)","Share of tariff lines with international peaks, all products (%)","Binding coverage, all products (%)",Export value index (2000 = 100),"Armed forces personnel, total","Armed forces personnel, total",Military expenditure (% of GDP),"Central government debt, total (% of GDP)",Expense (% of GDP),Tax revenue (% of GDP),Taxes on goods and services (% of revenue),"Revenue, excluding grants (% of GDP)",Social contributions (current LCU),IDA resource allocation index (1=low to 6=high),"Employers, total (% of total employment) (modeled ILO estimate)","Labor force participation rate for ages 15-24, female (%) (national estimate)",Benefit incidence of social protection and labor programs to poorest quintile (% of total SPL benefits),"Unemployment, total (% of total labor force) (modeled ILO estimate)",Increase in poverty gap at $3.20 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),Increase in poverty gap at $1.90 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),Number of people pushed below the $3.20 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure
1960 [YR1960],NaN,NaN,NaN,NaN,NaN,NaN,20000,19240000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.1278E+12,NaN,1.90455E+12,NaN,NaN,NaN,NaN,1.506E+11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,612014441.6,834487558.9,618740988,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4455411,721507,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1.620182491,12170000000,3560000000,NaN,NaN,NaN,NaN,NaN,NaN,9.937496333,NaN,NaN,NaN,NaN,163.6,34693,5176918,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90.60887513,NaN,NaN,84000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1961 [YR1961],NaN,NaN,NaN,NaN,NaN,NaN,4230000,20300000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-4.260246527,1.183680812,NaN,2.15299E+12,NaN,1.93594E+12,NaN,NaN,NaN,NaN,1.601E+11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,600485868,798936331.7,657597382.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,703583,NaN,4519324,765693,NaN,NaN,NaN,NaN,5000000,472710,NaN,NaN,NaN,NaN,NaN,-2.161145194,12250000000,3420000000,NaN,NaN,NaN,5.064449087,NaN,NaN,9.36667458,NaN,NaN,NaN,NaN,160,34860,5285017,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89.88764045,NaN,NaN,96000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1962 [YR1962],NaN,NaN,NaN,NaN,NaN,NaN,3770000,27710000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-2.912625097,3.041559051,NaN,2.21847E+12,NaN,2.0051E+12,NaN,NaN,NaN,NaN,1.701E+11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,598982219.1,775666311.6,699373701.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,689048,NaN,4585788,812941,NaN,NaN,NaN,NaN,5050000,472710,NaN,NaN,NaN,NaN,NaN,-2.245733276,15890000000,5710000000,NaN,NaN,NaN,3.109959068,NaN,NaN,11.51226305,NaN,NaN,NaN,NaN,157,35181,5398729,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89.78174603,0.034514558,21.16691044,102000000,18.54370217,6.950342165,1.320684625,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1963 [YR1963],NaN,NaN,NaN,NaN,NaN,NaN,3240000,34880000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-11.5833437,3.74255032,NaN,2.3015E+12,NaN,2.07186E+12,NaN,NaN,NaN,NaN,1.76E+11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,537830956.4,685818216.8,723624365.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,700750,NaN,4654686,863418,NaN,NaN,NaN,NaN,5100000,472710,NaN,NaN,NaN,NaN,NaN,-4.482945572,15520000000,5540000000,NaN,NaN,NaN,-0.264119025,NaN,NaN,11.80066443,NaN,NaN,NaN,NaN,154.3,35568,5518104,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,92.69328802,0.007530421,19.03073024,128000000,14.26175705,6.622024951,1.47331917,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1964 [YR1964],NaN,NaN,NaN,NaN,NaN,NaN,21740000,35890000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.880339573,3.547159696,NaN,2.38314E+12,NaN,2.14368E+12,NaN,NaN,NaN,NaN,1.903E+11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,560887904.3,733004838.9,782384527.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,694099,NaN,4725760,917276,NaN,NaN,NaN,NaN,5150000,472710,NaN,NaN,NaN,NaN,NaN,-4.939558568,17370000000,7020000000,NaN,NaN,NaN,4.421033326,NaN,NaN,12.17706719,NaN,NaN,NaN,NaN,151.3,35907,5643036,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90.4,0.015211717,15.32734437,116000000,14.83544524,6.437835333,2.085029002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1965 [YR1965],NaN,NaN,NaN,NaN,NaN,NaN,19070000,26700000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.755119034,2.026053715,NaN,2.43142E+12,NaN,2.27186E+12,2.37368E+12,3.92299E+11,2.06088E+11,2.24091E+12,1.995E+11,NaN,47399989200,40499990500,93700014100,NaN,NaN,23.75939244,48.0200388,622809896.3,760530043.2,814139855.8,NaN,193434683.3,197515591.3,382380520.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,673250,NaN,4798969,974574,NaN,NaN,NaN,NaN,5200000,472710,NaN,NaN,NaN,NaN,NaN,-3.799498644,19750000000,5120000000,NaN,NaN,NaN,2.752431713,NaN,NaN,11.65587443,NaN,NaN,NaN,NaN,148,36133,5773543,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,91.22362869,0.055865216,17.3867667,134000000,12.49407672,4.981336649,2.111434634,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1966 [YR1966],NaN,NaN,NaN,NaN,NaN,NaN,6640000,33700000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.338989516,4.614955621,NaN,2.54363E+12,NaN,2.41204E+12,2.46698E+12,4.12967E+11,2.16578E+11,2.34813E+12,2.091E+11,NaN,43899990000,43200000000,99299987500,NaN,NaN,20.99473486,44.57197133,633833037.1,757951926,853268771.1,NaN,179141516.1,201177195.9,405210805.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,725794,NaN,4874175,1035707,NaN,NaN,NaN,NaN,5250000,472710,NaN,NaN,NaN,NaN,NaN,-3.476805403,22660000000,7597000000,NaN,NaN,NaN,0.188376712,NaN,NaN,13.0495552,NaN,NaN,NaN,NaN,144,36174,5909882,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86.58536585,0.020136667,16.19848661,131000000,11.91119911,5.385365496,2.860790503,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1967 [YR1967],NaN,NaN,NaN,NaN,NaN,NaN,18480000,24350000,NaN,NaN,NaN,NaN,NaN,NaN,695972723.5,0.540000881,-10.91206559,NaN,2.26607E+12,1.91358E+12,2.1276E+12,2.17625E+12,4.18331E+11,2.20787E+11,1.79444E+12,2.303E+11,1.914E+11,47500001300,46300000300,1.123E+11,NaN,NaN,20.62527266,43.20451703,589428413.4,762044873.1,934079050.3,776303647.9,192656351,210907991.4,455480173.8,NaN,NaN,4.87695771,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,631191,NaN,4951485,1100935,NaN,NaN,NaN,NaN,5300000,472710,NaN,NaN,NaN,NaN,NaN,-2.709509429,27940000000,4073000000,NaN,NaN,NaN,23.62918508,NaN,NaN,12.8178187,NaN,NaN,NaN,NaN,139.3,36022,6052420,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88.16521048,0.022201972,14.99903419,177000000,12.17758906,5.643544724,3.345609498,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1968 [YR1968],NaN,NaN,NaN,NaN,NaN,NaN,21770000,40850759.32,NaN,NaN,NaN,NaN,NaN,NaN,831603404.9,4.329350932,6.346323856,7.825302174,2.40988E+12,2.06333E+12,2.30602E+12,2.339E+12,4.68701E+11,2.50923E+11,1.03626E+12,2.59E+11,2.191E+11,57300000800,50499989500,1.269E+11,NaN,NaN,22.12355169,46.75675569,683314629.3,795036469.9,1053077155,890846354.4,232978068.8,259406643.9,515967257.4,NaN,NaN,5.372419203,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,643847,NaN,5030896,1170517,NaN,NaN,NaN,NaN,5350000,472710,NaN,NaN,NaN,NaN,NaN,-1.773359014,30228000000,7826132500,NaN,NaN,7.524800838,5.750729915,NaN,NaN,13.64472672,NaN,NaN,NaN,NaN,134.2,35723,6201413,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,83.97435897,0.013153464,11.76486514,188000000,14.56301069,6.180597986,1.542242468,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1969 [YR1969],NaN,NaN,NaN,NaN,NaN,NaN,8140000,48085555.72,NaN,NaN,NaN,NaN,NaN,NaN,1003768564,10.98430917,4.901479523,7.710866693,2.528E+12,2.22243E+12,2.34411E+12,2.45584E+12,4.99327E+11,2.84748E+11,9.9316E+11,2.861E+11,2.49E+11,66899988500,55600009200,1.426E+11,NaN,NaN,23.38342862,46.24256492,680301665.8,882365733.8,1152418515,1002978716,269474960.8,263432919.1,574396749,NaN,NaN,3.743848065,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,788129,NaN,5112564,1244528,NaN,NaN,NaN,NaN,5400000,472710,NaN,NaN,NaN,NaN,NaN,-2.035302365,33723000000,11945815650,NaN,NaN,7.441908296,5.301961404,NaN,NaN,14.6710668,NaN,NaN,NaN,NaN,129.3,35407,6357092,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84.52218415,0.032958272,11.02481605,204000000,11.90578224,5.759928747,0.768665788,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
