NaN,"Foreign direct investment, net (BoP, current US$)","Net capital account (BoP, current US$)","Net trade in goods and services (BoP, current US$)","Exports of goods and services (BoP, current US$)","Charges for the use of intellectual property, payments (BoP, current US$)","Net secondary income (BoP, current US$)","Grants, excluding technical cooperation (BoP, current US$)","Total reserves (includes gold, current US$)","External debt stocks, long-term (DOD, current US$)",Total debt service (% of GNI),"Debt service on external debt, total (TDS, current US$)","Net financial flows, bilateral (NFL, current US$)","Commercial banks and other lending (PPG + PNG) (NFL, current US$)",Adjusted net national income (current US$),"GNI, Atlas method (current US$)",Exports of goods and services (annual % growth),GDP growth (annual %),GNI growth (annual %),GDP (constant LCU),GNI (constant LCU),Gross national expenditure (constant LCU),Gross domestic income (constant LCU),"Industry (including construction), value added (constant LCU)","Manufacturing, value added (constant LCU)","Services, value added (constant LCU)",GDP (current LCU),GNI (current LCU),Exports of goods and services (current LCU),"Industry (including construction), value added (current LCU)","Services, value added (current LCU)",Gross savings (% of GDP),Gross savings (% of GNI),Exports of goods and services (% of GDP),Trade (% of GDP),Imports of goods and services (constant 2010 US$),Exports of goods and services (constant 2010 US$),GDP (current US$),GNI (current US$),Exports of goods and services (current US$),Imports of goods and services (current US$),"Services, value added (current US$)","Net ODA provided, total (% of GNI)",Net ODA received (% of central government expense),Net ODA received (% of GNI),Net official aid received (current US$),"GDP per capita, PPP (current international $)","GDP per capita, PPP (current international $)","GNI, PPP (current international $)","Households and NPISHs Final consumption expenditure, PPP (current international $)","Gross intake ratio in first grade of primary education, total (% of relevant age group)","Over-age students, primary (% of enrollment)","Persistence to grade 5, total (% of cohort)","Government expenditure on education, total (% of government expenditure)","Compulsory education, duration (years)","Adjusted net enrollment rate, primary (% of primary school age children)","Primary education, pupils",Aquaculture production (metric tons),Cereal production (metric tons),"Plant species (higher), threatened",Rural population,Urban population,Electricity production from coal sources (% of total),Access to electricity (% of population),GDP per unit of energy use (PPP $ per kg of oil equivalent),"Annual freshwater withdrawals, total (% of internal resources)",Arable land (hectares),Land area (sq. km),Urban land area (sq. km),Rural land area (sq. km),Total natural resources rents (% of GDP),"Depositors with commercial banks (per 1,000 adults)",Bank liquid reserves to bank assets ratio (%),"Claims on central government, etc. (% GDP)",Net domestic credit (current LCU),Net foreign assets (current LCU),"Listed domestic companies, total","Stocks traded, total value (current US$)",Consumer price index (2010 = 100),"Inflation, GDP deflator (annual %)",Deposit interest rate (%),Real interest rate (%),Broad money (% of GDP),"Domestic general government health expenditure per capita, PPP (current international $)",Current health expenditure (% of GDP),Current health expenditure per capita (current US$),"External health expenditure per capita, PPP (current international $)","Mortality rate, infant (per 1,000 live births)",Number of infant deaths,"Population, total","ICT service exports (BoP, current US$)","Patent applications, residents","Trademark applications, total",Rail lines (total route-km),Gini index (World Bank estimate),Multidimensional poverty headcount ratio (% of total population),Poverty headcount ratio at national poverty lines (% of population),Start-up procedures to register a business (number),Cost of business start-up procedures (% of GNI per capita),Profit tax (% of commercial profits),Merchandise exports to high-income economies (% of total merchandise exports),Fuel exports (% of merchandise exports),Ores and metals exports (% of merchandise exports),Merchandise imports (current US$),Food imports (% of merchandise imports),Fuel imports (% of merchandise imports),Ores and metals imports (% of merchandise imports),"Bound rate, simple mean, all products (%)","Share of tariff lines with international peaks, all products (%)","Binding coverage, all products (%)",Export value index (2000 = 100),"Armed forces personnel, total","Armed forces personnel, total",Military expenditure (% of GDP),"Central government debt, total (% of GDP)",Expense (% of GDP),Tax revenue (% of GDP),Taxes on goods and services (% of revenue),"Revenue, excluding grants (% of GDP)",Social contributions (current LCU),IDA resource allocation index (1=low to 6=high),"Employers, total (% of total employment) (modeled ILO estimate)","Labor force participation rate for ages 15-24, female (%) (national estimate)",Benefit incidence of social protection and labor programs to poorest quintile (% of total SPL benefits),"Unemployment, total (% of total labor force) (modeled ILO estimate)",Increase in poverty gap at $3.20 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),Increase in poverty gap at $1.90 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),Number of people pushed below the $3.20 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure
1960 [YR1960],-640621218.7,-84550557.8,-506965097.1,6935226179,NaN,-45198954.17,NaN,2012986400,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.25895E+11,NaN,NaN,NaN,NaN,NaN,NaN,39239090176,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,40461721693,NaN,NaN,NaN,NaN,0.164,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2975,NaN,NaN,5540868,12368141,3.377714158,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.21119956,11219000000,127609919.7,NaN,NaN,13.34430452,NaN,NaN,NaN,37.0625311,NaN,NaN,NaN,NaN,27.8,13013,17909009,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85.92714663,NaN,NaN,6073000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.18525654,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1961 [YR1961],-639517888.3,-71358214.48,-212120980.7,7178149310,NaN,-16123712.33,NaN,2296085100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.163291684,NaN,3.36204E+11,NaN,NaN,3.30327E+11,NaN,NaN,NaN,41469849373,NaN,7310000000,NaN,NaN,NaN,NaN,17.62726441,35.90078147,35463386513,41727507726,40934952064,NaN,7215712237,7480255449,NaN,0.155,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2990,16730306,NaN,5541960,12729040,4.053948567,NaN,NaN,NaN,36610000,8965590,NaN,NaN,NaN,NaN,NaN,8.519442567,11631000000,198946875.6,NaN,NaN,13.48025186,2.44442708,NaN,3.084345022,38.03968483,NaN,NaN,NaN,NaN,26.9,12600,18271000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85.02851711,NaN,NaN,6062000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.128312243,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,41.18999863,NaN,NaN,NaN,NaN,NaN
1962 [YR1962],-645713817.3,-47477663.49,-95384130.62,7403799579,NaN,7864504.353,NaN,2561922010,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.63532505,7.425384774,NaN,3.61168E+11,NaN,NaN,3.54696E+11,NaN,NaN,NaN,45131300479,NaN,7951000000,NaN,NaN,NaN,NaN,17.6174848,35.60278527,36262161918,43661713345,42227447632,NaN,7439414166,7594733340,NaN,0.104,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3100,29261250,NaN,5492247,13121753,7.098920622,NaN,NaN,NaN,36935000,8965590,NaN,NaN,NaN,NaN,NaN,8.111886786,12648000000,-157815179.7,NaN,NaN,13.62335432,1.306770807,NaN,4.34478613,35.95065914,NaN,NaN,NaN,NaN,26,12070,18614000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86.22703296,8.787815877,24.07158931,6220000000,11.66132637,7.7979651,4.539089923,NaN,NaN,NaN,NaN,NaN,NaN,3.999216389,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1963 [YR1963],-466340464.1,-31630676.69,309278759.9,8059529298,NaN,-33282622.68,NaN,2615182920,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.807474357,5.349546457,NaN,3.80489E+11,NaN,NaN,3.72718E+11,NaN,NaN,NaN,48565203777,NaN,8730000000,NaN,NaN,NaN,NaN,17.97583315,35.41836266,36902301988,47507207551,45029988561,NaN,8094515611,7854369043,NaN,0.152,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3215,34122307,NaN,5441341,13522659,10.91687621,NaN,NaN,NaN,37260000,8965590,NaN,NaN,NaN,NaN,NaN,7.295346718,13402000000,444784900.1,NaN,NaN,13.84516314,2.144431819,NaN,3.529872473,37.29007312,NaN,NaN,NaN,NaN,25,11428,18964000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,83.75270122,5.024692448,23.70589317,6445000000,12.92239464,8.228680102,4.971315431,NaN,NaN,NaN,NaN,NaN,NaN,3.620650112,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1964 [YR1964],-318267102.7,-30155743.32,563628154.5,9358940623,NaN,-19141609.56,NaN,2893026720,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.58031841,6.642894415,NaN,4.05765E+11,NaN,NaN,3.97639E+11,NaN,NaN,NaN,53258992994,NaN,10137000000,NaN,NaN,NaN,NaN,19.03340531,37.09608254,41556848073,53958837606,49377522897,NaN,9398224064,8918902585,NaN,0.167,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3230,28504578,NaN,5390322,13934678,11.89309091,NaN,NaN,NaN,37585000,8965590,NaN,NaN,NaN,NaN,NaN,6.832648902,14860000000,1078075500,NaN,NaN,14.10990269,2.833782707,NaN,2.835855315,37.38335797,NaN,NaN,NaN,NaN,24,10698,19325000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,81.05079898,4.961415174,22.73751881,7402000000,11.61627213,7.34886813,5.060157804,NaN,NaN,NaN,NaN,NaN,NaN,3.402062837,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1965 [YR1965],-1011075310,4232946.027,-72914365.29,9955956044,NaN,-32986895.18,NaN,3040845600,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.503677942,6.316714176,NaN,4.31396E+11,NaN,NaN,4.23564E+11,NaN,NaN,NaN,58766438013,NaN,10776000000,NaN,NaN,NaN,NaN,18.33699704,36.98539632,47109083341,56388969873,54515179581,NaN,9996446867,10166208353,NaN,0.188,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3242,32228771,NaN,5334312,14343688,13.42499813,NaN,NaN,NaN,37910000,8965590,NaN,NaN,NaN,NaN,NaN,6.757258283,17811000000,763904999.3,NaN,NaN,14.43903835,3.785067302,NaN,1.913344648,37.35975966,NaN,NaN,NaN,NaN,23.1,9921,19678000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,83.41880746,5.088761337,23.2273393,8622000000,9.811348134,7.255945922,5.017400159,NaN,NaN,NaN,NaN,NaN,NaN,2.930260659,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1966 [YR1966],-1207977811,64639896.25,14746027.03,11636361003,NaN,-75206352.23,NaN,2707536060,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.13034427,6.704991764,NaN,4.60321E+11,NaN,NaN,4.52E+11,NaN,NaN,NaN,65811554589,NaN,12578000000,NaN,NaN,NaN,NaN,19.1121454,38.40814908,53371444859,63793035750,61088384037,NaN,11675300777,11787616836,NaN,0.337,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3258,38663261,NaN,5284252,14763748,12.35289741,NaN,NaN,NaN,38230000,8965590,NaN,NaN,NaN,NaN,NaN,7.220616546,24861000000,1520051785,NaN,NaN,14.98998283,4.951353868,NaN,0.999173516,42.95294371,NaN,NaN,NaN,NaN,22.1,9146,20048000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,83.00914297,4.838013237,21.34568802,10062000000,9.012312959,6.449252338,5.073291204,NaN,NaN,NaN,NaN,NaN,NaN,2.683282422,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1967 [YR1967],-1211663929,107781608.2,659237891.7,13092657710,NaN,-101533760.9,NaN,2722684400,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.7327097,3.091205962,NaN,4.7455E+11,NaN,NaN,4.65306E+11,NaN,NaN,NaN,70837307492,NaN,14165000000,NaN,NaN,NaN,NaN,19.99652514,39.23638685,56296866383,70639757088,65668655501,NaN,13131449205,12634558505,NaN,0.317,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3275,30080426,NaN,5275481,15136519,13.55978309,NaN,NaN,NaN,38298000,8965590,NaN,NaN,NaN,NaN,NaN,12.09814475,32379000000,1744321234,NaN,NaN,15.52661706,4.409081595,NaN,1.443921399,45.75272713,NaN,NaN,NaN,NaN,21.2,8416,20412000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86.80680845,5.287258946,21.33692123,10819000000,8.621593559,6.499768952,4.074669667,NaN,NaN,NaN,NaN,NaN,NaN,2.74792677,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1968 [YR1968],-1012517433,149661002.1,863477545.4,14963456301,NaN,-38591847.11,NaN,3215954000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.29431623,4.995666605,NaN,4.98257E+11,NaN,NaN,4.86918E+11,NaN,NaN,NaN,77394821621,NaN,16165000000,NaN,NaN,NaN,NaN,20.88641031,40.85157035,62028266234,79324432212,71829810520,NaN,15002668948,14340936627,NaN,0.289,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3394,34413439,NaN,5256115,15487885,15.10833615,NaN,NaN,NaN,38366000,8965590,NaN,NaN,NaN,NaN,NaN,12.24500529,36248000000,1883211360,NaN,NaN,16.15626789,4.058720858,NaN,2.746474092,47.78097452,NaN,NaN,NaN,NaN,20.3,7749,20744000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87.5761332,5.134353535,21.23638113,12280000000,7.881618732,6.386263983,4.274429086,NaN,NaN,NaN,NaN,NaN,NaN,2.54364188,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1969 [YR1969],-1199987250,150011140.2,91577097.89,16486589183,NaN,-78492188.34,NaN,3111279600,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.988767378,5.045456367,NaN,5.23397E+11,NaN,NaN,5.10635E+11,NaN,NaN,NaN,85225027390,NaN,17822000000,NaN,NaN,NaN,NaN,20.91169759,42.02169374,70296897581,85661476575,79148411662,NaN,16551276495,16708226654,NaN,0.291,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3405,35922333,NaN,5223145,15804855,15.07849599,NaN,NaN,NaN,38434000,8965590,NaN,NaN,NaN,NaN,NaN,10.17072128,39048000000,2729894951,NaN,NaN,16.89324556,4.8281626,NaN,2.986001715,47.06363991,NaN,NaN,NaN,NaN,19.4,7157,21028000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89.05036454,5.406911253,18.2640813,14019000000,7.995706388,5.047043396,3.74724466,NaN,NaN,NaN,NaN,NaN,NaN,2.27378467,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
