NaN,"Foreign direct investment, net (BoP, current US$)","Net capital account (BoP, current US$)","Net trade in goods and services (BoP, current US$)","Exports of goods and services (BoP, current US$)","Charges for the use of intellectual property, payments (BoP, current US$)","Net secondary income (BoP, current US$)","Grants, excluding technical cooperation (BoP, current US$)","Total reserves (includes gold, current US$)","External debt stocks, long-term (DOD, current US$)",Total debt service (% of GNI),"Debt service on external debt, total (TDS, current US$)","Net financial flows, bilateral (NFL, current US$)","Commercial banks and other lending (PPG + PNG) (NFL, current US$)",Adjusted net national income (current US$),"GNI, Atlas method (current US$)",Exports of goods and services (annual % growth),GDP growth (annual %),GNI growth (annual %),GDP (constant LCU),GNI (constant LCU),Gross national expenditure (constant LCU),Gross domestic income (constant LCU),"Industry (including construction), value added (constant LCU)","Manufacturing, value added (constant LCU)","Services, value added (constant LCU)",GDP (current LCU),GNI (current LCU),Exports of goods and services (current LCU),"Industry (including construction), value added (current LCU)","Services, value added (current LCU)",Gross savings (% of GDP),Gross savings (% of GNI),Exports of goods and services (% of GDP),Trade (% of GDP),Imports of goods and services (constant 2010 US$),Exports of goods and services (constant 2010 US$),GDP (current US$),GNI (current US$),Exports of goods and services (current US$),Imports of goods and services (current US$),"Services, value added (current US$)","Net ODA provided, total (% of GNI)",Net ODA received (% of central government expense),Net ODA received (% of GNI),Net official aid received (current US$),"GDP per capita, PPP (current international $)","GDP per capita, PPP (current international $)","GNI, PPP (current international $)","Households and NPISHs Final consumption expenditure, PPP (current international $)","Gross intake ratio in first grade of primary education, total (% of relevant age group)","Over-age students, primary (% of enrollment)","Persistence to grade 5, total (% of cohort)","Government expenditure on education, total (% of government expenditure)","Compulsory education, duration (years)","Adjusted net enrollment rate, primary (% of primary school age children)","Primary education, pupils",Aquaculture production (metric tons),Cereal production (metric tons),"Plant species (higher), threatened",Rural population,Urban population,Electricity production from coal sources (% of total),Access to electricity (% of population),GDP per unit of energy use (PPP $ per kg of oil equivalent),"Annual freshwater withdrawals, total (% of internal resources)",Arable land (hectares),Land area (sq. km),Urban land area (sq. km),Rural land area (sq. km),Total natural resources rents (% of GDP),"Depositors with commercial banks (per 1,000 adults)",Bank liquid reserves to bank assets ratio (%),"Claims on central government, etc. (% GDP)",Net domestic credit (current LCU),Net foreign assets (current LCU),"Listed domestic companies, total","Stocks traded, total value (current US$)",Consumer price index (2010 = 100),"Inflation, GDP deflator (annual %)",Deposit interest rate (%),Real interest rate (%),Broad money (% of GDP),"Domestic general government health expenditure per capita, PPP (current international $)",Current health expenditure (% of GDP),Current health expenditure per capita (current US$),"External health expenditure per capita, PPP (current international $)","Mortality rate, infant (per 1,000 live births)",Number of infant deaths,"Population, total","ICT service exports (BoP, current US$)","Patent applications, residents","Trademark applications, total",Rail lines (total route-km),Gini index (World Bank estimate),Multidimensional poverty headcount ratio (% of total population),Poverty headcount ratio at national poverty lines (% of population),Start-up procedures to register a business (number),Cost of business start-up procedures (% of GNI per capita),Profit tax (% of commercial profits),Merchandise exports to high-income economies (% of total merchandise exports),Fuel exports (% of merchandise exports),Ores and metals exports (% of merchandise exports),Merchandise imports (current US$),Food imports (% of merchandise imports),Fuel imports (% of merchandise imports),Ores and metals imports (% of merchandise imports),"Bound rate, simple mean, all products (%)","Share of tariff lines with international peaks, all products (%)","Binding coverage, all products (%)",Export value index (2000 = 100),"Armed forces personnel, total","Armed forces personnel, total",Military expenditure (% of GDP),"Central government debt, total (% of GDP)",Expense (% of GDP),Tax revenue (% of GDP),Taxes on goods and services (% of revenue),"Revenue, excluding grants (% of GDP)",Social contributions (current LCU),IDA resource allocation index (1=low to 6=high),"Employers, total (% of total employment) (modeled ILO estimate)","Labor force participation rate for ages 15-24, female (%) (national estimate)",Benefit incidence of social protection and labor programs to poorest quintile (% of total SPL benefits),"Unemployment, total (% of total labor force) (modeled ILO estimate)",Increase in poverty gap at $3.20 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),Increase in poverty gap at $1.90 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),Number of people pushed below the $3.20 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure
1960 [YR1960],NaN,NaN,NaN,NaN,NaN,NaN,0,12240000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.71455E+11,NaN,NaN,1.11296E+12,NaN,NaN,NaN,76888948700,76368846800,10295157800,7069798900,37012020700,NaN,NaN,13.38964568,30.42721431,NaN,NaN,313582727.6,311461551.9,41987616.15,53426872.42,150949266.5,NaN,NaN,0.009632007,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2800651,200958,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.02601154,2670000000,2860000000,NaN,NaN,NaN,NaN,NaN,NaN,6.971092843,NaN,NaN,NaN,NaN,NaN,NaN,3001609,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,71.96969697,NaN,NaN,25000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1961 [YR1961],NaN,NaN,NaN,NaN,NaN,NaN,0,7690000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.680705372,1.397743671,NaN,8.83636E+11,NaN,NaN,1.18551E+12,NaN,NaN,NaN,81910825000,81154272100,11394641900,8008492500,39848913500,NaN,NaN,13.911033,32.46780886,NaN,NaN,333975336.6,330890640.4,46459419.3,61975054.64,162476135.5,NaN,NaN,0.985219765,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,755600,NaN,2847305,213063,NaN,NaN,NaN,NaN,2897000,1260000,NaN,NaN,NaN,NaN,NaN,0.048833594,4300000000,1630000000,NaN,NaN,NaN,5.062827901,NaN,NaN,6.909953599,NaN,NaN,NaN,NaN,NaN,NaN,3060368,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,79.81220657,NaN,NaN,25000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1962 [YR1962],NaN,NaN,NaN,NaN,NaN,NaN,40000,10300000,NaN,NaN,NaN,NaN,NaN,NaN,350761456.4,9.91735712,5.360116109,NaN,9.31E+11,NaN,NaN,1.26475E+12,NaN,NaN,NaN,87625703400,86782824300,12294221800,7775164900,43192053300,NaN,NaN,14.03038301,33.65933722,NaN,NaN,357635713.9,354195585.5,50177660.43,70200150.53,176284129.2,NaN,NaN,1.558460977,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,695100,NaN,2895290,225946,NaN,NaN,NaN,NaN,2897000,1260000,NaN,NaN,NaN,NaN,NaN,-0.068473059,3970000000,2280000000,NaN,NaN,NaN,1.53457996,NaN,NaN,6.790245064,NaN,NaN,NaN,NaN,NaN,NaN,3121236,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,63.47305389,3.950351835,0.90020648,29000000,16.36776988,14.09324786,1.127005142,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1963 [YR1963],NaN,NaN,NaN,NaN,NaN,NaN,80000,11260000,NaN,NaN,NaN,NaN,NaN,NaN,359030800.7,-7.518820273,-1.599454015,NaN,9.16109E+11,NaN,NaN,1.20784E+12,NaN,NaN,NaN,91088994300,90281028200,11794453500,8543969300,44009889800,NaN,NaN,12.94827503,32.16026944,NaN,NaN,371767002.7,368469401.9,48137413.96,71423855.8,179620215.9,NaN,NaN,1.508944817,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,950000,NaN,2943945,239627,NaN,NaN,NaN,NaN,2897000,1260000,NaN,NaN,NaN,NaN,NaN,-0.977066447,4020000000,2740000000,NaN,NaN,NaN,5.642064979,NaN,NaN,7.201748192,NaN,NaN,NaN,NaN,NaN,NaN,3183572,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,66.66666667,0.45927599,1.016183416,29000000,16.24094516,15.51191186,1.078837302,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1964 [YR1964],NaN,NaN,NaN,NaN,NaN,NaN,11370000,14893000,NaN,NaN,NaN,NaN,NaN,NaN,367969997.4,9.756553023,-2.510939603,NaN,8.93106E+11,NaN,NaN,1.20681E+12,NaN,NaN,NaN,96111304700,95353432900,13193796600,9482667000,46784494600,NaN,NaN,13.72762199,35.05707451,NaN,NaN,392247517.6,389154506.5,53846256.49,83664248.02,190935935.4,NaN,NaN,4.25280935,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,770100,NaN,2990794,255729,NaN,NaN,NaN,NaN,2897000,1260000,NaN,NaN,NaN,NaN,NaN,-1.123697159,5030000000,2800000000,NaN,NaN,NaN,8.231251673,NaN,NaN,6.867038191,NaN,NaN,NaN,NaN,NaN,NaN,3246523,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,71.32075472,2.556464458,0.712757781,35000000,14.85340566,13.93469709,1.110804027,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1965 [YR1965],NaN,NaN,NaN,NaN,NaN,NaN,12570000,13623000,NaN,NaN,NaN,NaN,NaN,NaN,397148756,2.962582896,0.606227786,NaN,8.9852E+11,NaN,NaN,1.22828E+12,NaN,NaN,NaN,1.02172E+11,1.01332E+11,13793527700,11410592700,48991625700,NaN,NaN,13.500255,31.31329359,NaN,NaN,416926303,413496540.1,56286114.08,74267243.2,199916097.8,NaN,NaN,4.418416767,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,664000,NaN,3031382,278204,NaN,NaN,NaN,NaN,2897000,1260000,NaN,NaN,NaN,NaN,NaN,-0.675329485,5810000000,2580000000,NaN,NaN,NaN,5.665701633,NaN,NaN,6.665208392,NaN,NaN,NaN,NaN,NaN,NaN,3309586,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,57.93357934,3.534373281,1.00639438,31000000,13.24819102,20.49896948,1.444667136,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1966 [YR1966],NaN,NaN,NaN,NaN,NaN,NaN,3980000,7373000,NaN,NaN,NaN,NaN,NaN,NaN,418837497.7,5.036176725,-1.807092392,NaN,8.82283E+11,NaN,NaN,1.22056E+12,NaN,NaN,NaN,1.06328E+11,1.0553E+11,14793058700,13180460400,48913579600,NaN,NaN,13.91261553,31.87583478,NaN,NaN,432794922.5,429544067.4,60213093.62,77743900.8,199095941.4,NaN,NaN,4.425622811,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,703855,NaN,3069771,302418,NaN,NaN,NaN,NaN,2897000,1260000,NaN,NaN,NaN,NaN,NaN,0.17869171,7760000000,1443000000,NaN,NaN,NaN,5.982875145,NaN,NaN,6.160161573,NaN,NaN,NaN,NaN,NaN,NaN,3372189,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,63.02521008,0.638577901,0.745506342,32000000,12.92067099,14.93822237,0.670441342,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1967 [YR1967],NaN,NaN,NaN,NaN,NaN,NaN,10350000,983000,NaN,NaN,NaN,NaN,NaN,NaN,448567082.1,8.903923324,0.767201382,NaN,8.89052E+11,NaN,NaN,1.2429E+12,NaN,NaN,NaN,1.10658E+11,1.11194E+11,15892542800,14125608400,46652576600,NaN,NaN,14.36189546,32.52602727,NaN,NaN,449826323,452006359.8,64603586.24,81707046.24,189643897.4,NaN,NaN,4.387106397,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,725205,NaN,3106318,328507,NaN,NaN,NaN,NaN,2897000,1260000,NaN,NaN,NaN,NaN,NaN,0.478954481,10280000000,-548000000,NaN,NaN,NaN,3.279287919,NaN,NaN,6.054707592,NaN,NaN,NaN,NaN,NaN,NaN,3434825,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,68.40148699,0.484662529,0.606208598,59000000,15.55400663,14.72986196,0.566929959,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1968 [YR1968],NaN,NaN,NaN,NaN,NaN,NaN,6570000,-2246152.083,NaN,NaN,NaN,NaN,NaN,NaN,465155862.8,1.887000924,-0.457218867,NaN,8.84987E+11,NaN,NaN,1.2303E+12,NaN,NaN,NaN,1.12389E+11,1.12558E+11,16792120700,15607308100,47390262300,NaN,NaN,14.9410124,33.62604128,NaN,NaN,453980096.7,454660196.1,67829222.52,84826312.19,191425770.7,NaN,NaN,4.777193936,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,721400,NaN,3142567,356795,NaN,NaN,NaN,NaN,2897000,1260000,NaN,NaN,NaN,NaN,NaN,0.072070826,10877000000,-845469381.1,NaN,NaN,NaN,2.031464939,NaN,NaN,6.589586853,NaN,NaN,NaN,NaN,NaN,NaN,3499362,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,69.83606557,0.001960642,0.121816651,54000000,13.28581262,16.51580883,1.144280373,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1969 [YR1969],NaN,NaN,NaN,NaN,NaN,NaN,13110000,-4810495.809,NaN,NaN,NaN,NaN,NaN,NaN,504090479.3,-6.790289066,6.881310224,NaN,9.45886E+11,NaN,NaN,1.23432E+12,NaN,NaN,NaN,1.22607E+11,1.23203E+11,16192402100,15714833500,52433367700,NaN,NaN,13.20678762,30.90566203,NaN,NaN,471635620.9,473927700,62287914.77,83474196.25,201697383.7,NaN,NaN,5.011312907,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,715350,NaN,3180799,387599,NaN,NaN,NaN,NaN,2897000,1260000,NaN,NaN,NaN,NaN,NaN,0.274862704,12811000000,-1767920388,NaN,NaN,NaN,2.067339827,NaN,NaN,6.546952301,NaN,NaN,NaN,NaN,NaN,NaN,3568398,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,82.98151425,0.006980793,0.703119343,54000000,20.872659,16.45493155,0.797908057,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
