NaN,"Foreign direct investment, net (BoP, current US$)","Net capital account (BoP, current US$)","Net trade in goods and services (BoP, current US$)","Exports of goods and services (BoP, current US$)","Charges for the use of intellectual property, payments (BoP, current US$)","Net secondary income (BoP, current US$)","Grants, excluding technical cooperation (BoP, current US$)","Total reserves (includes gold, current US$)","External debt stocks, long-term (DOD, current US$)",Total debt service (% of GNI),"Debt service on external debt, total (TDS, current US$)","Net financial flows, bilateral (NFL, current US$)","Commercial banks and other lending (PPG + PNG) (NFL, current US$)",Adjusted net national income (current US$),"GNI, Atlas method (current US$)",Exports of goods and services (annual % growth),GDP growth (annual %),GNI growth (annual %),GDP (constant LCU),GNI (constant LCU),Gross national expenditure (constant LCU),Gross domestic income (constant LCU),"Industry (including construction), value added (constant LCU)","Manufacturing, value added (constant LCU)","Services, value added (constant LCU)",GDP (current LCU),GNI (current LCU),Exports of goods and services (current LCU),"Industry (including construction), value added (current LCU)","Services, value added (current LCU)",Gross savings (% of GDP),Gross savings (% of GNI),Exports of goods and services (% of GDP),Trade (% of GDP),Imports of goods and services (constant 2010 US$),Exports of goods and services (constant 2010 US$),GDP (current US$),GNI (current US$),Exports of goods and services (current US$),Imports of goods and services (current US$),"Services, value added (current US$)","Net ODA provided, total (% of GNI)",Net ODA received (% of central government expense),Net ODA received (% of GNI),Net official aid received (current US$),"GDP per capita, PPP (current international $)","GDP per capita, PPP (current international $)","GNI, PPP (current international $)","Households and NPISHs Final consumption expenditure, PPP (current international $)","Gross intake ratio in first grade of primary education, total (% of relevant age group)","Over-age students, primary (% of enrollment)","Persistence to grade 5, total (% of cohort)","Government expenditure on education, total (% of government expenditure)","Compulsory education, duration (years)","Adjusted net enrollment rate, primary (% of primary school age children)","Primary education, pupils",Aquaculture production (metric tons),Cereal production (metric tons),"Plant species (higher), threatened",Rural population,Urban population,Electricity production from coal sources (% of total),Access to electricity (% of population),GDP per unit of energy use (PPP $ per kg of oil equivalent),"Annual freshwater withdrawals, total (% of internal resources)",Arable land (hectares),Land area (sq. km),Urban land area (sq. km),Rural land area (sq. km),Total natural resources rents (% of GDP),"Depositors with commercial banks (per 1,000 adults)",Bank liquid reserves to bank assets ratio (%),"Claims on central government, etc. (% GDP)",Net domestic credit (current LCU),Net foreign assets (current LCU),"Listed domestic companies, total","Stocks traded, total value (current US$)",Consumer price index (2010 = 100),"Inflation, GDP deflator (annual %)",Deposit interest rate (%),Real interest rate (%),Broad money (% of GDP),"Domestic general government health expenditure per capita, PPP (current international $)",Current health expenditure (% of GDP),Current health expenditure per capita (current US$),"External health expenditure per capita, PPP (current international $)","Mortality rate, infant (per 1,000 live births)",Number of infant deaths,"Population, total","ICT service exports (BoP, current US$)","Patent applications, residents","Trademark applications, total",Rail lines (total route-km),Gini index (World Bank estimate),Multidimensional poverty headcount ratio (% of total population),Poverty headcount ratio at national poverty lines (% of population),Start-up procedures to register a business (number),Cost of business start-up procedures (% of GNI per capita),Profit tax (% of commercial profits),Merchandise exports to high-income economies (% of total merchandise exports),Fuel exports (% of merchandise exports),Ores and metals exports (% of merchandise exports),Merchandise imports (current US$),Food imports (% of merchandise imports),Fuel imports (% of merchandise imports),Ores and metals imports (% of merchandise imports),"Bound rate, simple mean, all products (%)","Share of tariff lines with international peaks, all products (%)","Binding coverage, all products (%)",Export value index (2000 = 100),"Armed forces personnel, total","Armed forces personnel, total",Military expenditure (% of GDP),"Central government debt, total (% of GDP)",Expense (% of GDP),Tax revenue (% of GDP),Taxes on goods and services (% of revenue),"Revenue, excluding grants (% of GDP)",Social contributions (current LCU),IDA resource allocation index (1=low to 6=high),"Employers, total (% of total employment) (modeled ILO estimate)","Labor force participation rate for ages 15-24, female (%) (national estimate)",Benefit incidence of social protection and labor programs to poorest quintile (% of total SPL benefits),"Unemployment, total (% of total labor force) (modeled ILO estimate)",Increase in poverty gap at $3.20 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),Increase in poverty gap at $1.90 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),Number of people pushed below the $3.20 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure
1960 [YR1960],NaN,NaN,NaN,NaN,NaN,NaN,15940000,111888400,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.59391E+13,1.56775E+13,1.54299E+13,1.56257E+13,7.61884E+12,2.824E+12,7.19436E+12,4521000,4442000,590269.8385,1620775.85,2356432.122,NaN,NaN,13.05617869,28.88948808,2999730329,3320620520,4110000000,4038181818,536608944.1,650749016.1,1968181818,NaN,NaN,0.427420087,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80,NaN,NaN,2615895,5517095,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,1000000,0,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,131,36893,8132990,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,91.99509904,NaN,NaN,625000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.118405627,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27.60000038,NaN,NaN,NaN,NaN,NaN
1961 [YR1961],NaN,NaN,NaN,NaN,NaN,NaN,45050000,74114900,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.944576185,5.245271886,5.426412757,1.67752E+13,1.65282E+13,1.61182E+13,1.63755E+13,7.98968E+12,3.03379E+12,7.49409E+12,5070700,4989500,578288.7669,1815122.208,2665001.586,NaN,NaN,11.40451549,26.92919556,3353496119,3484811131,4609727273,4535909091,525717060.8,715645411.3,2227272727,NaN,NaN,2.729993026,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80,1476591,NaN,2602414,5701397,NaN,NaN,NaN,NaN,3640000,743532,NaN,NaN,NaN,NaN,NaN,5.719131481,954000,-173000,NaN,NaN,NaN,6.568981591,NaN,NaN,13.72591555,NaN,NaN,NaN,NaN,123.8,35217,8303811,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90.71962249,NaN,NaN,711000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.527447297,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1962 [YR1962],NaN,NaN,NaN,NaN,NaN,NaN,18180000,78890610,NaN,NaN,NaN,NaN,NaN,NaN,4886472637,2.609283584,4.026685625,3.96553573,1.74507E+13,1.71836E+13,1.69696E+13,1.7159E+13,8.97852E+12,3.32019E+12,7.63077E+12,5957900,5862500,676293.6872,2245678.11,3068039.108,NaN,NaN,11.3512091,24.14915499,3099893028,3575739736,5416272727,5329545455,614812442.9,693171652.5,2575454545,NaN,NaN,2.53136041,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,1389968,NaN,2590964,5885933,NaN,NaN,NaN,NaN,3660000,743532,NaN,NaN,NaN,NaN,NaN,10.99380654,1510000,-376000,NaN,NaN,NaN,12.94851643,NaN,NaN,24.42135652,NaN,NaN,NaN,NaN,118.5,33941,8476897,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89.15209626,0.007005698,87.05513405,680000000,19.38295531,6.481773393,1.634771149,NaN,NaN,NaN,NaN,NaN,NaN,3.043709078,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1963 [YR1963],NaN,NaN,NaN,NaN,NaN,NaN,13090000,77083480,NaN,NaN,NaN,NaN,NaN,NaN,5478801317,5.26926592,5.840140137,5.860276879,1.84698E+13,1.81906E+13,1.78554E+13,1.80307E+13,9.66029E+12,3.45092E+12,8.04541E+12,9069100,8923200,1115305.563,3582582.657,4623092.917,NaN,NaN,12.29786377,27.0672236,3179155130,3764154971,5668187500,5577000000,697065976.8,837155008.1,2695000000,NaN,NaN,2.371346602,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,100,1561408,NaN,2577815,6072572,NaN,NaN,NaN,NaN,3680000,743532,NaN,NaN,NaN,NaN,NaN,2.458898898,1302000,-528000,NaN,NaN,NaN,43.82042735,NaN,NaN,13.27584876,NaN,NaN,NaN,NaN,113.3,32591,8650387,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88.5155096,0.007084787,87.28195358,663000000,21.43705481,4.909639018,1.923771899,NaN,NaN,NaN,NaN,NaN,NaN,2.865395725,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1964 [YR1964],NaN,NaN,NaN,NaN,NaN,NaN,17710000,88838080,NaN,NaN,NaN,NaN,NaN,NaN,5881557693,9.228659756,2.557220542,2.468603911,1.89421E+13,1.86397E+13,1.76843E+13,1.86579E+13,9.79564E+12,3.62613E+12,8.24631E+12,13759400,13520800,1685408.685,5541485.697,6893323.168,NaN,NaN,12.24914375,25.47595798,3516926243,4111536027,5982347826,5878608696,732786384.7,791274033.8,2791739130,NaN,NaN,1.896537151,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,110,1656255,NaN,2562309,6259549,NaN,NaN,NaN,NaN,3700000,743532,NaN,NaN,NaN,NaN,NaN,8.866665698,2745000,-641000,NaN,NaN,NaN,47.93436207,NaN,NaN,12.64590026,NaN,NaN,NaN,NaN,106.1,30567,8821858,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87.328,0.008932182,87.09781211,723000000,20.71222697,5.287014737,2.433783848,NaN,NaN,NaN,NaN,NaN,NaN,2.635186596,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1965 [YR1965],NaN,NaN,NaN,NaN,NaN,NaN,33930000,137640480,NaN,NaN,NaN,NaN,NaN,NaN,5992120669,-0.844559145,0.950272505,0.622398933,1.91221E+13,1.87557E+13,1.76862E+13,1.90449E+13,9.80106E+12,3.78615E+12,8.41801E+12,19285100,18886700,2560579.979,7689515.717,9690236.107,NaN,NaN,13.27750428,25.93150634,3442681304,4076811673,6026593750,5902093750,800181243.4,762605297.2,2809375000,NaN,NaN,1.78885674,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,120,1620504,NaN,2544422,6445199,NaN,NaN,NaN,NaN,3720000,743532,NaN,NaN,NaN,NaN,NaN,10.36551535,3997000,-628000,NaN,NaN,NaN,38.84009537,NaN,NaN,11.04998159,NaN,NaN,NaN,NaN,96.6,27812,8989621,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88.52864205,0.006759488,88.83545895,718000000,20.07385086,5.752962348,2.527657549,NaN,NaN,NaN,NaN,NaN,NaN,2.885712733,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1966 [YR1966],NaN,NaN,NaN,NaN,NaN,NaN,21860000,172330290,NaN,NaN,NaN,NaN,NaN,NaN,6857700632,4.010021609,11.23624245,10.71308368,2.12707E+13,2.0765E+13,1.94743E+13,2.18623E+13,1.05506E+13,4.26268E+12,9.2706E+12,27583300,26871600,3955514.216,10815004.69,13726575.24,NaN,NaN,14.34025014,27.74484488,4687409430,4240292702,7072641026,6890153846,1014234414,948058867.4,3262564103,NaN,NaN,1.791977421,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,230,1914918,NaN,2523714,6629130,NaN,NaN,NaN,NaN,3740000,743532,NaN,NaN,NaN,NaN,NaN,9.589135455,5329000,-282000,NaN,NaN,NaN,28.58136081,NaN,NaN,13.62418565,NaN,NaN,NaN,NaN,86.9,24954,9152844,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89.76717774,0.005517419,87.68683551,892000000,18.50564707,6.024875533,2.265394995,NaN,NaN,NaN,NaN,NaN,NaN,2.735920852,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1967 [YR1967],NaN,NaN,NaN,NaN,NaN,NaN,6190000,126672800,NaN,NaN,NaN,NaN,NaN,NaN,7097401108,3.27059192,3.615999855,3.203059722,2.20399E+13,2.14301E+13,2.00664E+13,2.23597E+13,1.08338E+13,4.38486E+12,9.69657E+12,35767300,34689300,5024484.642,14216149.63,17786171.42,NaN,NaN,14.04770458,26.95417374,4257333974,4378975373,7013196078,6801823529,985193067.1,905155989,3236078431,NaN,NaN,1.366104218,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,144,1890890,NaN,2500670,6811425,NaN,NaN,NaN,NaN,3760000,743532,NaN,NaN,NaN,NaN,NaN,10.73606339,7323000,-521000,NaN,NaN,NaN,25.14488754,NaN,NaN,13.48438378,NaN,NaN,NaN,NaN,78.7,22501,9312095,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86.13154668,0.130004738,89.21236099,819000000,16.77496847,8.439805875,2.597337356,NaN,NaN,NaN,NaN,NaN,NaN,2.713632634,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1968 [YR1968],NaN,NaN,NaN,NaN,NaN,NaN,23710000,217559400,NaN,NaN,NaN,NaN,NaN,NaN,7416617930,2.031684931,3.592013329,3.603648977,2.28316E+13,2.22024E+13,2.09886E+13,2.32263E+13,1.12739E+13,4.52685E+12,1.00169E+13,49452900,47973100,6774553.487,20362405.17,24574811.73,NaN,NaN,13.69900145,26.79748546,4643148393,4467942355,7167086957,6952623188,981819346,938779738.8,3307826087,NaN,NaN,1.091098979,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,183,1961730,NaN,2475724,6993121,NaN,NaN,NaN,NaN,3780000,743532,NaN,NaN,NaN,NaN,NaN,9.057102819,9227000,285146.7,NaN,NaN,NaN,33.46867015,NaN,NaN,13.89807271,NaN,NaN,NaN,NaN,72.6,20634,9468845,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88.73086735,0.096766082,88.69323742,852000000,17.20892481,6.256321714,2.06737964,NaN,NaN,NaN,NaN,NaN,NaN,2.527068178,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1969 [YR1969],NaN,NaN,NaN,NaN,NaN,NaN,7750000,343766400,NaN,NaN,NaN,NaN,NaN,NaN,7941283957,3.565401186,3.937983279,4.114580011,2.37307E+13,2.31159E+13,2.21259E+13,2.46879E+13,1.17019E+13,4.64835E+12,1.06438E+13,72043000,70076500,11584471.26,30813161.08,35586202.8,NaN,NaN,16.07994012,30.14406746,5296242554,4627242425,8377093023,8148430233,1347031542,1178165030,3804069767,NaN,NaN,0.91575924,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,201,1590124,NaN,2449931,7175381,NaN,NaN,NaN,NaN,3800000,743532,NaN,NaN,NaN,NaN,NaN,7.412239912,11440000,2176239.8,NaN,NaN,NaN,40.16053256,NaN,NaN,13.18518107,NaN,NaN,NaN,NaN,68.8,19409,9625312,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87.05912984,0.064735434,88.35946469,1028000000,16.97142843,7.275155264,2.142025824,NaN,NaN,NaN,NaN,NaN,NaN,2.260899987,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
