NaN,"Foreign direct investment, net (BoP, current US$)","Net capital account (BoP, current US$)","Net trade in goods and services (BoP, current US$)","Exports of goods and services (BoP, current US$)","Charges for the use of intellectual property, payments (BoP, current US$)","Net secondary income (BoP, current US$)","Grants, excluding technical cooperation (BoP, current US$)","Total reserves (includes gold, current US$)","External debt stocks, long-term (DOD, current US$)",Total debt service (% of GNI),"Debt service on external debt, total (TDS, current US$)","Net financial flows, bilateral (NFL, current US$)","Commercial banks and other lending (PPG + PNG) (NFL, current US$)",Adjusted net national income (current US$),"GNI, Atlas method (current US$)",Exports of goods and services (annual % growth),GDP growth (annual %),GNI growth (annual %),GDP (constant LCU),GNI (constant LCU),Gross national expenditure (constant LCU),Gross domestic income (constant LCU),"Industry (including construction), value added (constant LCU)","Manufacturing, value added (constant LCU)","Services, value added (constant LCU)",GDP (current LCU),GNI (current LCU),Exports of goods and services (current LCU),"Industry (including construction), value added (current LCU)","Services, value added (current LCU)",Gross savings (% of GDP),Gross savings (% of GNI),Exports of goods and services (% of GDP),Trade (% of GDP),Imports of goods and services (constant 2010 US$),Exports of goods and services (constant 2010 US$),GDP (current US$),GNI (current US$),Exports of goods and services (current US$),Imports of goods and services (current US$),"Services, value added (current US$)","Net ODA provided, total (% of GNI)",Net ODA received (% of central government expense),Net ODA received (% of GNI),Net official aid received (current US$),"GDP per capita, PPP (current international $)","GDP per capita, PPP (current international $)","GNI, PPP (current international $)","Households and NPISHs Final consumption expenditure, PPP (current international $)","Gross intake ratio in first grade of primary education, total (% of relevant age group)","Over-age students, primary (% of enrollment)","Persistence to grade 5, total (% of cohort)","Government expenditure on education, total (% of government expenditure)","Compulsory education, duration (years)","Adjusted net enrollment rate, primary (% of primary school age children)","Primary education, pupils",Aquaculture production (metric tons),Cereal production (metric tons),"Plant species (higher), threatened",Rural population,Urban population,Electricity production from coal sources (% of total),Access to electricity (% of population),GDP per unit of energy use (PPP $ per kg of oil equivalent),"Annual freshwater withdrawals, total (% of internal resources)",Arable land (hectares),Land area (sq. km),Urban land area (sq. km),Rural land area (sq. km),Total natural resources rents (% of GDP),"Depositors with commercial banks (per 1,000 adults)",Bank liquid reserves to bank assets ratio (%),"Claims on central government, etc. (% GDP)",Net domestic credit (current LCU),Net foreign assets (current LCU),"Listed domestic companies, total","Stocks traded, total value (current US$)",Consumer price index (2010 = 100),"Inflation, GDP deflator (annual %)",Deposit interest rate (%),Real interest rate (%),Broad money (% of GDP),"Domestic general government health expenditure per capita, PPP (current international $)",Current health expenditure (% of GDP),Current health expenditure per capita (current US$),"External health expenditure per capita, PPP (current international $)","Mortality rate, infant (per 1,000 live births)",Number of infant deaths,"Population, total","ICT service exports (BoP, current US$)","Patent applications, residents","Trademark applications, total",Rail lines (total route-km),Gini index (World Bank estimate),Multidimensional poverty headcount ratio (% of total population),Poverty headcount ratio at national poverty lines (% of population),Start-up procedures to register a business (number),Cost of business start-up procedures (% of GNI per capita),Profit tax (% of commercial profits),Merchandise exports to high-income economies (% of total merchandise exports),Fuel exports (% of merchandise exports),Ores and metals exports (% of merchandise exports),Merchandise imports (current US$),Food imports (% of merchandise imports),Fuel imports (% of merchandise imports),Ores and metals imports (% of merchandise imports),"Bound rate, simple mean, all products (%)","Share of tariff lines with international peaks, all products (%)","Binding coverage, all products (%)",Export value index (2000 = 100),"Armed forces personnel, total","Armed forces personnel, total",Military expenditure (% of GDP),"Central government debt, total (% of GDP)",Expense (% of GDP),Tax revenue (% of GDP),Taxes on goods and services (% of revenue),"Revenue, excluding grants (% of GDP)",Social contributions (current LCU),IDA resource allocation index (1=low to 6=high),"Employers, total (% of total employment) (modeled ILO estimate)","Labor force participation rate for ages 15-24, female (%) (national estimate)",Benefit incidence of social protection and labor programs to poorest quintile (% of total SPL benefits),"Unemployment, total (% of total labor force) (modeled ILO estimate)",Increase in poverty gap at $3.20 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),Increase in poverty gap at $1.90 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),Number of people pushed below the $3.20 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure
1960 [YR1960],NaN,NaN,NaN,NaN,NaN,NaN,13010000,171352400,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.39187E+13,NaN,7.73197E+13,8.14028E+13,NaN,NaN,NaN,26746700000,26666073500,4197782000,NaN,NaN,NaN,NaN,15.69457914,30.45201202,2356980721,3876880771,4031152977,4019001281,632672494.3,594894694.8,NaN,NaN,NaN,-0.178651345,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8628131,7429583,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.213603921,7265000000,52000000,NaN,NaN,0.057595104,NaN,NaN,NaN,20.43616596,NaN,NaN,NaN,NaN,94.3,68118,16057714,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,95.03652772,NaN,NaN,517000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.884323476,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1961 [YR1961],NaN,NaN,NaN,NaN,NaN,NaN,16010000,140367100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-6.667605314,5.089216984,NaN,8.81895E+13,NaN,8.28888E+13,8.57631E+13,NaN,NaN,NaN,30421000000,30315933800,3952099100,NaN,NaN,NaN,NaN,12.9913517,26.82114888,2454909243,3618385663,4540447761,4524766239,589865537.3,627934716.4,NaN,NaN,NaN,1.160059966,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1476921,NaN,8664637,7903180,NaN,NaN,NaN,NaN,3532000,1109500,NaN,NaN,NaN,NaN,NaN,4.385128694,8718000000,-120000000,NaN,NaN,0.062365816,8.229368251,NaN,NaN,22.14259886,NaN,NaN,NaN,NaN,91.4,67688,16567817,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,95.656171,NaN,NaN,557000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.143256303,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1962 [YR1962],NaN,NaN,NaN,NaN,NaN,NaN,21130000,85129030,NaN,NaN,NaN,NaN,NaN,NaN,4792219090,8.100064223,5.411889614,NaN,9.29622E+13,NaN,8.75631E+13,9.04488E+13,NaN,NaN,NaN,34199200000,34051664400,4180341200,NaN,NaN,NaN,NaN,12.22350581,24.45081756,2540477258,3911477225,4955543963,4934165710,605741204.4,605929809.3,NaN,NaN,NaN,0.992873052,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1616500,NaN,8692946,8399973,NaN,NaN,NaN,NaN,3532000,1109500,NaN,NaN,NaN,NaN,NaN,7.219467122,10789000000,-828000000,NaN,NaN,0.065295197,6.64803608,NaN,NaN,23.50639781,NaN,NaN,NaN,NaN,88.7,67133,17092919,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,94.44564047,14.656862,0.258359128,541000000,7.663493228,3.143407853,2.701371774,NaN,NaN,NaN,NaN,NaN,NaN,3.099415205,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1963 [YR1963],NaN,NaN,NaN,NaN,NaN,NaN,24220000,87126680,NaN,NaN,NaN,NaN,NaN,NaN,5002019498,-2.414264656,3.286707554,NaN,9.60176E+13,NaN,9.0918E+13,9.35239E+13,NaN,NaN,NaN,43525500000,43167949800,5215597600,NaN,NaN,NaN,NaN,11.98285511,24.33324947,2536357001,3817043813,4836166667,4796438867,579510844.4,597285655.6,NaN,NaN,NaN,1.482349728,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1551280,NaN,8712030,8917948,NaN,NaN,NaN,NaN,3550000,1109500,NaN,NaN,NaN,NaN,NaN,6.30205282,12576000000,-1132000000,NaN,NaN,0.082504031,23.22061954,NaN,NaN,21.32542992,NaN,NaN,NaN,NaN,86.2,66355,17629978,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,94.72153881,18.31541185,0.365102308,508000000,5.500268811,2.646032598,3.625613778,NaN,NaN,NaN,NaN,NaN,NaN,3.515140376,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1964 [YR1964],NaN,NaN,NaN,NaN,NaN,NaN,20480000,104193840,NaN,NaN,NaN,NaN,NaN,NaN,5561268755,5.823001105,6.166941324,NaN,1.01939E+14,NaN,9.95224E+13,1.00201E+14,NaN,NaN,NaN,53760300000,53550789200,6428386300,NaN,NaN,NaN,NaN,11.95749707,24.60911788,3163070184,4039310316,5973366667,5950087689,714265144.4,755727700,NaN,NaN,NaN,0.708224846,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1826649,NaN,8719182,9456005,NaN,NaN,NaN,NaN,3550000,1109500,NaN,NaN,NaN,NaN,NaN,6.460157402,14503000000,-1242000000,NaN,NaN,0.096589478,16.33987941,NaN,NaN,20.36818991,NaN,NaN,NaN,NaN,83.7,65385,18175187,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,93.32603939,15.12297546,0.302189408,586000000,9.052704652,1.856400355,3.056161979,NaN,NaN,NaN,NaN,NaN,NaN,3.180803571,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.80999947,NaN,NaN,NaN,NaN,NaN
1965 [YR1965],NaN,NaN,NaN,NaN,NaN,NaN,20760000,96120000,NaN,NaN,NaN,NaN,NaN,NaN,5804678121,6.410399731,3.600011392,NaN,1.05609E+14,NaN,9.80015E+13,1.03898E+14,3.4194E+13,1.85645E+13,4.83735E+13,60488000000,59797600000,7340000000,16561000000,28104000000,NaN,NaN,12.13463828,21.84400212,2592495474,4298246254,5760761905,5695009524,699047619,559333333.3,2534647619,NaN,NaN,0.698857466,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1812755,NaN,8834569,9890673,NaN,NaN,NaN,NaN,3560000,1109500,NaN,NaN,NaN,NaN,NaN,8.193360667,17442000000,-840000000,NaN,NaN,0.10392128,8.60447945,NaN,NaN,20.80247322,NaN,NaN,NaN,NaN,81.5,64222,18725242,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,91.30273183,17.82110473,0.230000291,454000000,8.347192875,1.334587027,3.111177651,NaN,NaN,NaN,NaN,NaN,NaN,3.190946922,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1966 [YR1966],NaN,NaN,NaN,NaN,NaN,NaN,8070000,77125660,NaN,NaN,NaN,NaN,NaN,NaN,6082349861,-0.732978608,5.236735857,NaN,1.11139E+14,NaN,1.0747E+14,1.07796E+14,3.52647E+13,1.91635E+13,5.11814E+13,73285000000,72612300000,7315000000,19144000000,34283000000,NaN,NaN,9.981578768,24.32830729,3612304252,4266741028,5428518519,5378688889,541851851.9,778814814.8,2461074074,NaN,NaN,1.55112151,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1810000,NaN,8948303,10331431,NaN,NaN,NaN,NaN,3570000,1109500,NaN,NaN,NaN,NaN,NaN,6.41604694,20308000000,-1482000000,NaN,NaN,0.121305407,15.12734732,NaN,NaN,19.68342771,NaN,NaN,NaN,NaN,79.3,62798,19279734,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88.72684273,16.03239653,0.139722151,675000000,10.72024758,1.156893245,3.958814696,NaN,NaN,NaN,NaN,NaN,NaN,3.165244797,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1967 [YR1967],NaN,NaN,NaN,NaN,NaN,NaN,16180000,83187200,NaN,NaN,NaN,NaN,NaN,NaN,5853350170,5.543400974,4.134864166,NaN,1.15735E+14,NaN,1.07979E+14,1.13276E+14,3.78873E+13,2.04176E+13,5.26498E+13,84504000000,81082700000,9475000000,23655000000,38818000000,NaN,NaN,11.21248698,21.55400928,2868392749,4503263592,5825170438,5589327690,653146477.1,602411299.6,2572204568,NaN,NaN,1.705213987,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1776700,NaN,9055426,10782082,NaN,NaN,NaN,NaN,3570000,1109500,NaN,NaN,NaN,NaN,NaN,6.809145129,23980000000,-1646000000,NaN,NaN,0.131407953,10.73018353,NaN,NaN,20.47003692,NaN,NaN,NaN,NaN,77.2,61089,19837508,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89.78231026,14.64726342,0.478580041,497000000,7.352386419,1.422911295,3.290177931,NaN,NaN,NaN,NaN,NaN,NaN,3.117364563,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1968 [YR1968],-48000000,0,-95000000,763000000,8000000,31000000,43770000,179123400,NaN,NaN,NaN,NaN,NaN,NaN,6190448195,8.897986682,5.933118002,NaN,1.22601E+14,1.20676E+14,1.15972E+14,1.19629E+14,3.97954E+13,2.17325E+13,5.54737E+13,97102000000,95472933333,11432000000,26629000000,44856000000,16.89458099,17.18285535,11.77318696,24.58445758,3548114800,4903963387,5960212869,5860219212,701707004.2,763579000.3,2671335711,NaN,NaN,2.005385676,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1952100,NaN,9153306,11240398,NaN,NaN,NaN,NaN,3570000,1109500,NaN,NaN,NaN,NaN,NaN,5.965891537,28639000000,-1956000000,NaN,NaN,0.141194611,8.472375962,NaN,NaN,20.70812136,NaN,NaN,NaN,NaN,75,59140,20393704,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85.94017094,9.092789229,0.948853732,643000000,7.701312342,0.806964769,3.229802941,NaN,NaN,NaN,NaN,NaN,NaN,2.385372481,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1969 [YR1969],-50000000,0,-81000000,850000000,7000000,38000000,12600000,221153600,NaN,NaN,NaN,NaN,NaN,NaN,6613883700,15.91833821,6.102517307,5.722779706,1.30083E+14,1.27582E+14,1.22818E+14,1.26798E+14,4.28992E+13,2.32488E+13,5.92511E+13,1.11728E+11,1.09442E+11,14010000000,30744000000,52676000000,15.95031317,16.28351823,12.53938135,25.54865387,3992294969,5684592864,6450175214,6318187089,808812068.1,839120871.5,2917138618,NaN,NaN,1.683077675,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1839285,NaN,9240439,11702014,NaN,NaN,NaN,NaN,3572000,1109500,NaN,NaN,NaN,NaN,NaN,5.339753688,34584000000,-2177000000,NaN,NaN,0.151052343,8.444657588,NaN,NaN,21.89334813,NaN,NaN,NaN,NaN,72.8,56965,20942453,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,82.89313754,12.77359243,0.936168845,685000000,7.960410475,1.185893869,3.585027356,NaN,NaN,NaN,NaN,NaN,NaN,2.054924157,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
