NaN,"Foreign direct investment, net (BoP, current US$)","Net capital account (BoP, current US$)","Net trade in goods and services (BoP, current US$)","Exports of goods and services (BoP, current US$)","Charges for the use of intellectual property, payments (BoP, current US$)","Net secondary income (BoP, current US$)","Grants, excluding technical cooperation (BoP, current US$)","Total reserves (includes gold, current US$)","External debt stocks, long-term (DOD, current US$)",Total debt service (% of GNI),"Debt service on external debt, total (TDS, current US$)","Net financial flows, bilateral (NFL, current US$)","Commercial banks and other lending (PPG + PNG) (NFL, current US$)",Adjusted net national income (current US$),"GNI, Atlas method (current US$)",Exports of goods and services (annual % growth),GDP growth (annual %),GNI growth (annual %),GDP (constant LCU),GNI (constant LCU),Gross national expenditure (constant LCU),Gross domestic income (constant LCU),"Industry (including construction), value added (constant LCU)","Manufacturing, value added (constant LCU)","Services, value added (constant LCU)",GDP (current LCU),GNI (current LCU),Exports of goods and services (current LCU),"Industry (including construction), value added (current LCU)","Services, value added (current LCU)",Gross savings (% of GDP),Gross savings (% of GNI),Exports of goods and services (% of GDP),Trade (% of GDP),Imports of goods and services (constant 2010 US$),Exports of goods and services (constant 2010 US$),GDP (current US$),GNI (current US$),Exports of goods and services (current US$),Imports of goods and services (current US$),"Services, value added (current US$)","Net ODA provided, total (% of GNI)",Net ODA received (% of central government expense),Net ODA received (% of GNI),Net official aid received (current US$),"GDP per capita, PPP (current international $)","GDP per capita, PPP (current international $)","GNI, PPP (current international $)","Households and NPISHs Final consumption expenditure, PPP (current international $)","Gross intake ratio in first grade of primary education, total (% of relevant age group)","Over-age students, primary (% of enrollment)","Persistence to grade 5, total (% of cohort)","Government expenditure on education, total (% of government expenditure)","Compulsory education, duration (years)","Adjusted net enrollment rate, primary (% of primary school age children)","Primary education, pupils",Aquaculture production (metric tons),Cereal production (metric tons),"Plant species (higher), threatened",Rural population,Urban population,Electricity production from coal sources (% of total),Access to electricity (% of population),GDP per unit of energy use (PPP $ per kg of oil equivalent),"Annual freshwater withdrawals, total (% of internal resources)",Arable land (hectares),Land area (sq. km),Urban land area (sq. km),Rural land area (sq. km),Total natural resources rents (% of GDP),"Depositors with commercial banks (per 1,000 adults)",Bank liquid reserves to bank assets ratio (%),"Claims on central government, etc. (% GDP)",Net domestic credit (current LCU),Net foreign assets (current LCU),"Listed domestic companies, total","Stocks traded, total value (current US$)",Consumer price index (2010 = 100),"Inflation, GDP deflator (annual %)",Deposit interest rate (%),Real interest rate (%),Broad money (% of GDP),"Domestic general government health expenditure per capita, PPP (current international $)",Current health expenditure (% of GDP),Current health expenditure per capita (current US$),"External health expenditure per capita, PPP (current international $)","Mortality rate, infant (per 1,000 live births)",Number of infant deaths,"Population, total","ICT service exports (BoP, current US$)","Patent applications, residents","Trademark applications, total",Rail lines (total route-km),Gini index (World Bank estimate),Multidimensional poverty headcount ratio (% of total population),Poverty headcount ratio at national poverty lines (% of population),Start-up procedures to register a business (number),Cost of business start-up procedures (% of GNI per capita),Profit tax (% of commercial profits),Merchandise exports to high-income economies (% of total merchandise exports),Fuel exports (% of merchandise exports),Ores and metals exports (% of merchandise exports),Merchandise imports (current US$),Food imports (% of merchandise imports),Fuel imports (% of merchandise imports),Ores and metals imports (% of merchandise imports),"Bound rate, simple mean, all products (%)","Share of tariff lines with international peaks, all products (%)","Binding coverage, all products (%)",Export value index (2000 = 100),"Armed forces personnel, total","Armed forces personnel, total",Military expenditure (% of GDP),"Central government debt, total (% of GDP)",Expense (% of GDP),Tax revenue (% of GDP),Taxes on goods and services (% of revenue),"Revenue, excluding grants (% of GDP)",Social contributions (current LCU),IDA resource allocation index (1=low to 6=high),"Employers, total (% of total employment) (modeled ILO estimate)","Labor force participation rate for ages 15-24, female (%) (national estimate)",Benefit incidence of social protection and labor programs to poorest quintile (% of total SPL benefits),"Unemployment, total (% of total labor force) (modeled ILO estimate)",Increase in poverty gap at $3.20 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),Increase in poverty gap at $1.90 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),Number of people pushed below the $3.20 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure
1960 [YR1960],NaN,NaN,NaN,NaN,NaN,NaN,4010000,13460727.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.22247E+12,2.19835E+12,2.70045E+12,2.28405E+12,4.1543E+11,2.83145E+11,1.49317E+12,2860500200,2833696000,606000000,576000000,1530700000,NaN,NaN,21.18510602,47.26096506,607318486.9,380197324.1,507513830,502758192.4,107517342.9,132338590.9,275499742.7,NaN,NaN,0.837380693,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,874936,455846,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.360076884,842100000,40700000,NaN,NaN,0.249245925,NaN,NaN,NaN,19.6469135,NaN,NaN,NaN,NaN,67.3,4029,1330782,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,91.78240741,NaN,NaN,110000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1961 [YR1961],NaN,NaN,NaN,NaN,NaN,NaN,6000000,6263920.65,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1.044932079,1.879276559,1.631193455,2.26424E+12,2.23421E+12,2.89264E+12,2.33194E+12,4.11056E+11,2.68403E+11,1.4478E+12,2929300700,2897612500,611100000,596600000,1575000000,NaN,NaN,20.86163431,45.91880922,601509831.4,376224520.3,490325181.6,485021007,102289846.3,122861638.4,265056308.8,NaN,NaN,1.461792386,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,118813,NaN,907037,474146,NaN,NaN,NaN,NaN,285000,51060,NaN,NaN,NaN,NaN,NaN,0.846618444,887600000,-48400000,NaN,NaN,0.25530458,0.516213592,NaN,NaN,18.63584712,NaN,NaN,NaN,NaN,65.1,3999,1381183,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,91.76029963,NaN,NaN,107000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1962 [YR1962],NaN,NaN,NaN,NaN,NaN,NaN,9000000,12599154.97,NaN,NaN,NaN,NaN,NaN,NaN,510661788.4,11.40443506,5.442391373,4.297331,2.38747E+12,2.33022E+12,2.96928E+12,2.4466E+12,4.45772E+11,2.89029E+11,1.57849E+12,3186600400,3123117500,724100000,650700000,1712900000,NaN,NaN,22.72327588,48.77298076,604963626.6,419130801.3,479180824.3,469634667.1,108885580.7,124825190.6,257574908.6,NaN,NaN,1.958969483,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,131894,NaN,940210,493125,NaN,NaN,NaN,NaN,285000,51060,NaN,NaN,NaN,NaN,NaN,0.834745392,909400000,136500000,NaN,NaN,0.262141278,3.16880592,NaN,NaN,19.37174175,NaN,NaN,NaN,NaN,66.4,4155,1433335,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,93.11163895,NaN,NaN,113000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1963 [YR1963],NaN,NaN,NaN,NaN,NaN,NaN,7030000,15619750.68,NaN,NaN,NaN,NaN,NaN,NaN,524044373.8,28.95057549,6.898923445,7.330454683,2.55218E+12,2.50104E+12,3.12753E+12,2.55711E+12,4.88689E+11,3.27702E+11,1.66452E+12,3404200400,3345726900,751900000,727000000,1844400000,NaN,NaN,22.08741883,49.21566897,673411567.7,540471580.4,511902136.8,503109261.5,113065968.9,138870092.2,277349062.4,NaN,NaN,1.611975823,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,134717,NaN,972116,514437,NaN,NaN,NaN,NaN,285000,51060,NaN,NaN,NaN,NaN,NaN,2.714293788,1079100000,119200000,NaN,NaN,0.26982626,-0.065790711,NaN,NaN,20.03994829,NaN,NaN,NaN,NaN,68.9,4362,1486553,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,92.13114754,NaN,NaN,124000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.75,NaN,NaN,NaN,NaN,NaN
1964 [YR1964],NaN,NaN,NaN,NaN,NaN,NaN,7120000,18612133.52,NaN,NaN,NaN,NaN,NaN,NaN,531840913.3,-10.28037383,3.659048312,3.066171559,2.64556E+12,2.57772E+12,3.35816E+12,2.73275E+12,5.19099E+11,3.64988E+11,1.71898E+12,3608200400,3532282300,881100000,783800000,1937900000,NaN,NaN,24.41937538,52.98763339,754968231.5,484909081.5,542578367.2,531162283.3,132494248.2,155005187.9,291408986.3,NaN,NaN,2.168828778,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,150324,NaN,997928,542013,NaN,NaN,NaN,NaN,285000,51060,NaN,NaN,NaN,NaN,NaN,3.090183128,1249800000,114800000,NaN,NaN,0.278795374,2.25117672,NaN,NaN,20.31483617,NaN,NaN,NaN,NaN,70.8,4504,1539941,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84.36944938,NaN,NaN,139000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1965 [YR1965],NaN,NaN,NaN,NaN,NaN,NaN,5660000,19822133.52,NaN,NaN,NaN,NaN,NaN,NaN,584229834.4,2.200374532,8.190527594,7.786054475,2.86225E+12,2.77842E+12,3.89987E+12,2.95179E+12,6.20787E+11,4.38964E+11,1.88395E+12,3928500200,3835087700,886400000,904900000,2099600000,NaN,NaN,22.56331818,55.75155628,971301403.3,495578897.4,592981162.3,578881162.3,133796226.4,196800000,316920754.7,NaN,NaN,2.60329765,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,169085,NaN,1022747,570094,NaN,NaN,NaN,NaN,285000,51060,NaN,NaN,NaN,NaN,NaN,3.451698946,1411600000,-234600000,NaN,NaN,0.276941385,0.634499413,NaN,NaN,19.89054245,NaN,NaN,NaN,NaN,70.6,4486,1592841,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,78.44364937,0.00098369,0.172368346,178000000,9.462641789,4.900105536,1.58617237,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1966 [YR1966],NaN,NaN,NaN,NaN,NaN,NaN,3310000,17096303.49,NaN,NaN,NaN,NaN,NaN,NaN,640333688.5,21.70178653,6.969319032,6.938264057,3.06173E+12,2.9712E+12,4.00727E+12,3.18717E+12,6.69854E+11,4.83191E+11,2.02303E+12,4288399800,4185712300,1062700000,980200000,2314100000,NaN,NaN,24.78080519,55.55452176,1035903073,603128371.8,647305630.2,631805630.2,160407547.2,199200000,349298113.2,NaN,NaN,2.0164429,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,176991,NaN,1046437,598646,NaN,NaN,NaN,NaN,285000,51060,NaN,NaN,NaN,NaN,NaN,4.698722353,1494100000,-290700000,NaN,NaN,0.277447863,2.049118211,NaN,NaN,18.79955316,NaN,NaN,NaN,NaN,67.6,4262,1645083,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,76.33477633,0.000433181,0.085898278,179000000,10.52491259,4.948411234,1.319698551,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1967 [YR1967],NaN,NaN,NaN,NaN,NaN,NaN,4100000,18166899.2,NaN,NaN,NaN,NaN,NaN,NaN,688555356.4,7.452714783,5.650125921,5.516993526,3.23472E+12,3.13512E+12,4.20921E+12,3.35561E+12,7.17076E+11,5.14923E+11,2.10609E+12,4633900100,4517300100,1153000000,1069600000,2489200000,NaN,NaN,24.88184845,56.10177052,1092341226,648077809.1,699456618.9,681856618.9,174037735.8,218369811.3,375728301.9,NaN,NaN,1.888960195,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,188871,NaN,1069060,627672,NaN,NaN,NaN,NaN,285000,51060,NaN,NaN,NaN,NaN,NaN,5.44681574,1624200000,-144700000,NaN,NaN,0.280800378,2.277800696,NaN,NaN,23.22449722,NaN,NaN,NaN,NaN,63.4,3952,1696732,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,74.10776767,0.01701008,0.055964184,191000000,11.94210489,4.59162615,1.390881848,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1968 [YR1968],NaN,NaN,NaN,NaN,NaN,NaN,3170000,20946024.9,NaN,NaN,NaN,NaN,NaN,NaN,771172923.2,30.76451528,8.473304346,8.588723355,3.50881E+12,3.40439E+12,4.406E+12,3.61917E+12,8.107E+11,5.84668E+11,2.23381E+12,5126699900,4999499900,1423500000,1229800000,2703500000,NaN,NaN,27.76639998,60.22197632,1227274724,847455805.8,773841494.3,754641494.3,214867924.5,251154717,408075471.7,NaN,NaN,1.578232835,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,198847,NaN,1090544,657150,NaN,NaN,NaN,NaN,285000,51060,NaN,NaN,NaN,NaN,NaN,4.650164914,1669700000,-125300000,NaN,NaN,0.29229604,1.99252867,NaN,NaN,20.85162036,NaN,NaN,NaN,NaN,61.2,3759,1747694,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,72.71669575,0.16630685,0.053042265,214000000,12.81693197,4.563139201,1.455504796,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1969 [YR1969],NaN,NaN,NaN,NaN,NaN,NaN,4130000,29156899.2,NaN,NaN,NaN,NaN,NaN,NaN,847838888.2,9.884811144,5.491799943,6.306694718,3.7015E+12,3.61909E+12,4.6616E+12,3.82087E+12,8.6086E+11,6.26052E+11,2.30287E+12,5655300100,5549962600,1504100000,1353300000,2992800000,NaN,NaN,26.59628974,58.54861708,1381832059,931225211.7,853630203.8,837730203.8,227033962.3,272754717,451743396.2,NaN,NaN,1.652083223,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,179050,NaN,1110882,687011,NaN,NaN,NaN,NaN,285000,51060,NaN,NaN,NaN,NaN,NaN,3.207610503,1710000000,-46897300.02,NaN,NaN,0.2999815,4.568061555,NaN,NaN,21.14122998,NaN,NaN,NaN,NaN,61.6,3723,1797893,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,75.26883382,0.084011618,0.041830011,245000000,10.34292787,4.313326744,1.623270929,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
