NaN,"Foreign direct investment, net (BoP, current US$)","Net capital account (BoP, current US$)","Net trade in goods and services (BoP, current US$)","Exports of goods and services (BoP, current US$)","Charges for the use of intellectual property, payments (BoP, current US$)","Net secondary income (BoP, current US$)","Grants, excluding technical cooperation (BoP, current US$)","Total reserves (includes gold, current US$)","External debt stocks, long-term (DOD, current US$)",Total debt service (% of GNI),"Debt service on external debt, total (TDS, current US$)","Net financial flows, bilateral (NFL, current US$)","Commercial banks and other lending (PPG + PNG) (NFL, current US$)",Adjusted net national income (current US$),"GNI, Atlas method (current US$)",Exports of goods and services (annual % growth),GDP growth (annual %),GNI growth (annual %),GDP (constant LCU),GNI (constant LCU),Gross national expenditure (constant LCU),Gross domestic income (constant LCU),"Industry (including construction), value added (constant LCU)","Manufacturing, value added (constant LCU)","Services, value added (constant LCU)",GDP (current LCU),GNI (current LCU),Exports of goods and services (current LCU),"Industry (including construction), value added (current LCU)","Services, value added (current LCU)",Gross savings (% of GDP),Gross savings (% of GNI),Exports of goods and services (% of GDP),Trade (% of GDP),Imports of goods and services (constant 2010 US$),Exports of goods and services (constant 2010 US$),GDP (current US$),GNI (current US$),Exports of goods and services (current US$),Imports of goods and services (current US$),"Services, value added (current US$)","Net ODA provided, total (% of GNI)",Net ODA received (% of central government expense),Net ODA received (% of GNI),Net official aid received (current US$),"GDP per capita, PPP (current international $)","GDP per capita, PPP (current international $)","GNI, PPP (current international $)","Households and NPISHs Final consumption expenditure, PPP (current international $)","Gross intake ratio in first grade of primary education, total (% of relevant age group)","Over-age students, primary (% of enrollment)","Persistence to grade 5, total (% of cohort)","Government expenditure on education, total (% of government expenditure)","Compulsory education, duration (years)","Adjusted net enrollment rate, primary (% of primary school age children)","Primary education, pupils",Aquaculture production (metric tons),Cereal production (metric tons),"Plant species (higher), threatened",Rural population,Urban population,Electricity production from coal sources (% of total),Access to electricity (% of population),GDP per unit of energy use (PPP $ per kg of oil equivalent),"Annual freshwater withdrawals, total (% of internal resources)",Arable land (hectares),Land area (sq. km),Urban land area (sq. km),Rural land area (sq. km),Total natural resources rents (% of GDP),"Depositors with commercial banks (per 1,000 adults)",Bank liquid reserves to bank assets ratio (%),"Claims on central government, etc. (% GDP)",Net domestic credit (current LCU),Net foreign assets (current LCU),"Listed domestic companies, total","Stocks traded, total value (current US$)",Consumer price index (2010 = 100),"Inflation, GDP deflator (annual %)",Deposit interest rate (%),Real interest rate (%),Broad money (% of GDP),"Domestic general government health expenditure per capita, PPP (current international $)",Current health expenditure (% of GDP),Current health expenditure per capita (current US$),"External health expenditure per capita, PPP (current international $)","Mortality rate, infant (per 1,000 live births)",Number of infant deaths,"Population, total","ICT service exports (BoP, current US$)","Patent applications, residents","Trademark applications, total",Rail lines (total route-km),Gini index (World Bank estimate),Multidimensional poverty headcount ratio (% of total population),Poverty headcount ratio at national poverty lines (% of population),Start-up procedures to register a business (number),Cost of business start-up procedures (% of GNI per capita),Profit tax (% of commercial profits),Merchandise exports to high-income economies (% of total merchandise exports),Fuel exports (% of merchandise exports),Ores and metals exports (% of merchandise exports),Merchandise imports (current US$),Food imports (% of merchandise imports),Fuel imports (% of merchandise imports),Ores and metals imports (% of merchandise imports),"Bound rate, simple mean, all products (%)","Share of tariff lines with international peaks, all products (%)","Binding coverage, all products (%)",Export value index (2000 = 100),"Armed forces personnel, total","Armed forces personnel, total",Military expenditure (% of GDP),"Central government debt, total (% of GDP)",Expense (% of GDP),Tax revenue (% of GDP),Taxes on goods and services (% of revenue),"Revenue, excluding grants (% of GDP)",Social contributions (current LCU),IDA resource allocation index (1=low to 6=high),"Employers, total (% of total employment) (modeled ILO estimate)","Labor force participation rate for ages 15-24, female (%) (national estimate)",Benefit incidence of social protection and labor programs to poorest quintile (% of total SPL benefits),"Unemployment, total (% of total labor force) (modeled ILO estimate)",Increase in poverty gap at $3.20 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),Increase in poverty gap at $1.90 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),Number of people pushed below the $3.20 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure
1960 [YR1960],NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.42094E+12,NaN,NaN,NaN,NaN,NaN,NaN,1.33926E+11,1.36442E+11,45855805400,17596305400,52168757300,NaN,NaN,34.23954707,57.14406757,NaN,NaN,546203561.6,556461974.6,187017625.6,125105306.8,212764273.4,NaN,NaN,0.023361883,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2884160,619393,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.558836943,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,212.2,38844,3503553,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,83.79522455,NaN,NaN,131000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1961 [YR1961],NaN,NaN,NaN,NaN,NaN,NaN,1000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.932555156,NaN,3.76073E+12,NaN,NaN,NaN,NaN,NaN,NaN,1.51631E+11,1.49801E+11,53514395600,21044826100,60219019300,NaN,NaN,35.29251939,63.39605592,NaN,NaN,618245639.2,610784462.3,218194462.1,173748889,245531251.5,NaN,NaN,0.551749446,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,294000,NaN,2944790,686763,NaN,NaN,NaN,NaN,1680000,318000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.2045788,2.990063464,NaN,NaN,NaN,NaN,NaN,NaN,NaN,206.7,38871,3631553,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85.89094997,NaN,NaN,169000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1962 [YR1962],NaN,NaN,NaN,NaN,NaN,NaN,2020000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,620762575.9,NaN,1.22699449,NaN,3.80688E+12,NaN,NaN,NaN,NaN,NaN,NaN,1.58104E+11,1.54025E+11,54375989200,22105909200,63421749300,NaN,NaN,34.39262455,60.1395535,NaN,NaN,645284344.7,628637607.1,221930221.9,166140901.8,258849597.1,NaN,NaN,1.43166745,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,451000,NaN,3008694,762072,NaN,NaN,NaN,NaN,1680000,318000,NaN,NaN,NaN,NaN,NaN,-0.271973508,29150000000,6190000000,NaN,NaN,6.121359955,3.004819815,NaN,NaN,20.10073976,NaN,NaN,NaN,NaN,201.3,38914,3770766,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,81.77110306,0.003123898,1.992653858,156000000,18.85974343,5.813068482,0.516622019,NaN,NaN,NaN,NaN,NaN,NaN,1.275534442,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1963 [YR1963],NaN,NaN,NaN,NaN,NaN,NaN,2110000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,721613488.8,NaN,14.49035586,NaN,4.3585E+12,NaN,NaN,NaN,NaN,NaN,NaN,1.86469E+11,1.7927E+11,63279099900,27411329000,76699717700,NaN,NaN,33.93545168,57.45531759,NaN,NaN,761047045.8,731665746,258264752.5,178997244.7,313039117.8,NaN,NaN,1.182233782,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,440600,NaN,3073184,845444,NaN,NaN,NaN,NaN,1680000,318000,NaN,NaN,NaN,NaN,NaN,-3.373214717,30250000000,10280000000,NaN,NaN,6.179112924,3.013917156,NaN,NaN,19.47776765,NaN,NaN,NaN,NaN,196.1,38998,3918628,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86.57688966,0.076678309,1.186892979,170000000,17.68360673,5.148549716,0.871422076,NaN,NaN,NaN,NaN,NaN,NaN,0.998988878,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1964 [YR1964],NaN,NaN,NaN,NaN,NaN,NaN,27200000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,885121480.4,NaN,17.61308783,NaN,5.12617E+12,NaN,NaN,NaN,NaN,NaN,NaN,2.25686E+11,2.19741E+11,80989585400,36253691900,99605942300,NaN,NaN,35.88603003,60.60880001,NaN,NaN,921063266.4,896802258.7,330533040.4,227712352.8,406509735.7,NaN,NaN,4.349899651,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,478900,NaN,3134701,936710,NaN,NaN,NaN,NaN,1680000,318000,NaN,NaN,NaN,NaN,NaN,-2.769339868,41080000000,14380000000,NaN,NaN,6.217311738,2.906177951,NaN,NaN,21.92874081,NaN,NaN,NaN,NaN,191.1,39128,4071411,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85.74270557,0.0031676,0.960835938,235000000,17.71338536,4.505105582,0.838196994,NaN,NaN,NaN,NaN,NaN,NaN,1.143929912,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1965 [YR1965],NaN,NaN,NaN,NaN,NaN,NaN,20260000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,887461965.7,NaN,-3.109654273,NaN,4.96677E+12,NaN,NaN,NaN,NaN,NaN,NaN,2.254E+11,2.18857E+11,82999967700,35899998200,1.002E+11,NaN,NaN,36.82341128,66.94763093,NaN,NaN,919771356.4,893071404.7,338691189.4,277073943.7,408877912.4,NaN,NaN,4.324402139,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,481500,NaN,3191267,1035577,NaN,NaN,NaN,NaN,1680000,318000,NaN,NaN,NaN,NaN,NaN,-2.763975199,38500000000,18420000000,NaN,NaN,6.379656698,3.078867804,NaN,NaN,21.67701898,NaN,NaN,NaN,NaN,186.2,39302,4226844,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84.79595522,0.010113976,1.654406501,236000000,18.34423852,5.5714368,1.127559244,NaN,NaN,NaN,NaN,NaN,NaN,1.319699499,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1966 [YR1966],NaN,NaN,NaN,NaN,NaN,NaN,4060000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1011605629,NaN,11.57735969,NaN,5.54179E+12,NaN,NaN,NaN,NaN,NaN,NaN,2.516E+11,2.43222E+11,91599986700,44999991300,1.124E+11,NaN,NaN,36.40699068,65.10334587,NaN,NaN,1024103034,990003045.4,372845096.3,293880244.3,457508707.3,NaN,NaN,3.631302038,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,524600,NaN,3278766,1104962,NaN,NaN,NaN,NaN,1680000,318000,NaN,NaN,NaN,NaN,NaN,-2.905405464,40860000000,22290000000,NaN,NaN,6.647048396,0.041603225,NaN,NaN,21.44276673,NaN,NaN,NaN,NaN,181.4,39530,4383728,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86.99291693,0.012060123,1.932769698,254000000,20.6999939,5.274960701,1.492295411,NaN,NaN,NaN,NaN,NaN,NaN,1.263565891,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1967 [YR1967],NaN,NaN,NaN,NaN,NaN,NaN,21520000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1072952884,NaN,4.598151785,NaN,5.79661E+12,NaN,NaN,NaN,NaN,NaN,NaN,2.664E+11,2.57489E+11,96499990500,50299998200,1.235E+11,NaN,NaN,36.22371933,65.01500699,NaN,NaN,1082922892,1046698267,392274949,311787445.1,502030680.4,NaN,NaN,3.250220385,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,620600,NaN,3366044,1178120,NaN,NaN,NaN,NaN,1700000,318000,NaN,NaN,NaN,NaN,NaN,-1.332582552,51220000000,18080000000,NaN,NaN,6.799388905,1.227751834,NaN,NaN,21.85810761,NaN,NaN,NaN,NaN,176.6,39794,4544164,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,81.19103774,1.145254661,1.503953239,264000000,15.837202,5.467816098,1.598983331,NaN,NaN,NaN,NaN,NaN,NaN,1.312658687,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1968 [YR1968],NaN,NaN,NaN,NaN,NaN,NaN,7830000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1250499289,NaN,12.54824864,NaN,6.52398E+12,NaN,NaN,NaN,NaN,NaN,NaN,3.172E+11,3.07894E+11,1.291E+11,51699998700,1.527E+11,NaN,NaN,40.69987209,68.6948357,NaN,NaN,1281281246,1243690090,521479828.1,358694218.5,616808496.9,NaN,NaN,3.60539981,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,625600,NaN,3456660,1256475,NaN,NaN,NaN,NaN,1700000,318000,NaN,NaN,NaN,NaN,NaN,-3.25977294,55170000000,26080000000,NaN,NaN,7.163187134,5.793799978,NaN,NaN,22.86885194,NaN,NaN,NaN,NaN,171.8,40112,4713135,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85.58579882,0.904788128,1.134933766,307000000,16.62645751,5.462689741,1.482721312,NaN,NaN,NaN,NaN,NaN,NaN,1.160490046,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1969 [YR1969],NaN,NaN,NaN,NaN,NaN,NaN,13170000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1389035179,NaN,9.539218771,NaN,7.14631E+12,NaN,NaN,NaN,NaN,NaN,NaN,3.539E+11,3.42992E+11,1.301E+11,54599999500,1.805E+11,NaN,NaN,36.76179757,63.83159118,NaN,NaN,1361360157,1319400676,500460465.2,368517384.9,694336006.3,NaN,NaN,3.763830104,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,617800,NaN,3555369,1342103,NaN,NaN,NaN,NaN,1700000,318000,NaN,NaN,NaN,NaN,NaN,-2.489403763,70240000000,33060000000,NaN,NaN,7.481965333,1.853917847,NaN,NaN,25.97343858,NaN,NaN,NaN,NaN,167.1,40487,4897472,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85.21404165,0.891384166,0.977171605,333000000,14.82922055,5.216820874,1.129526394,NaN,NaN,NaN,NaN,NaN,NaN,1.148796499,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
