NaN,"Foreign direct investment, net (BoP, current US$)","Net capital account (BoP, current US$)","Net trade in goods and services (BoP, current US$)","Exports of goods and services (BoP, current US$)","Charges for the use of intellectual property, payments (BoP, current US$)","Net secondary income (BoP, current US$)","Grants, excluding technical cooperation (BoP, current US$)","Total reserves (includes gold, current US$)","External debt stocks, long-term (DOD, current US$)",Total debt service (% of GNI),"Debt service on external debt, total (TDS, current US$)","Net financial flows, bilateral (NFL, current US$)","Commercial banks and other lending (PPG + PNG) (NFL, current US$)",Adjusted net national income (current US$),"GNI, Atlas method (current US$)",Exports of goods and services (annual % growth),GDP growth (annual %),GNI growth (annual %),GDP (constant LCU),GNI (constant LCU),Gross national expenditure (constant LCU),Gross domestic income (constant LCU),"Industry (including construction), value added (constant LCU)","Manufacturing, value added (constant LCU)","Services, value added (constant LCU)",GDP (current LCU),GNI (current LCU),Exports of goods and services (current LCU),"Industry (including construction), value added (current LCU)","Services, value added (current LCU)",Gross savings (% of GDP),Gross savings (% of GNI),Exports of goods and services (% of GDP),Trade (% of GDP),Imports of goods and services (constant 2010 US$),Exports of goods and services (constant 2010 US$),GDP (current US$),GNI (current US$),Exports of goods and services (current US$),Imports of goods and services (current US$),"Services, value added (current US$)","Net ODA provided, total (% of GNI)",Net ODA received (% of central government expense),Net ODA received (% of GNI),Net official aid received (current US$),"GDP per capita, PPP (current international $)","GDP per capita, PPP (current international $)","GNI, PPP (current international $)","Households and NPISHs Final consumption expenditure, PPP (current international $)","Gross intake ratio in first grade of primary education, total (% of relevant age group)","Over-age students, primary (% of enrollment)","Persistence to grade 5, total (% of cohort)","Government expenditure on education, total (% of government expenditure)","Compulsory education, duration (years)","Adjusted net enrollment rate, primary (% of primary school age children)","Primary education, pupils",Aquaculture production (metric tons),Cereal production (metric tons),"Plant species (higher), threatened",Rural population,Urban population,Electricity production from coal sources (% of total),Access to electricity (% of population),GDP per unit of energy use (PPP $ per kg of oil equivalent),"Annual freshwater withdrawals, total (% of internal resources)",Arable land (hectares),Land area (sq. km),Urban land area (sq. km),Rural land area (sq. km),Total natural resources rents (% of GDP),"Depositors with commercial banks (per 1,000 adults)",Bank liquid reserves to bank assets ratio (%),"Claims on central government, etc. (% GDP)",Net domestic credit (current LCU),Net foreign assets (current LCU),"Listed domestic companies, total","Stocks traded, total value (current US$)",Consumer price index (2010 = 100),"Inflation, GDP deflator (annual %)",Deposit interest rate (%),Real interest rate (%),Broad money (% of GDP),"Domestic general government health expenditure per capita, PPP (current international $)",Current health expenditure (% of GDP),Current health expenditure per capita (current US$),"External health expenditure per capita, PPP (current international $)","Mortality rate, infant (per 1,000 live births)",Number of infant deaths,"Population, total","ICT service exports (BoP, current US$)","Patent applications, residents","Trademark applications, total",Rail lines (total route-km),Gini index (World Bank estimate),Multidimensional poverty headcount ratio (% of total population),Poverty headcount ratio at national poverty lines (% of population),Start-up procedures to register a business (number),Cost of business start-up procedures (% of GNI per capita),Profit tax (% of commercial profits),Merchandise exports to high-income economies (% of total merchandise exports),Fuel exports (% of merchandise exports),Ores and metals exports (% of merchandise exports),Merchandise imports (current US$),Food imports (% of merchandise imports),Fuel imports (% of merchandise imports),Ores and metals imports (% of merchandise imports),"Bound rate, simple mean, all products (%)","Share of tariff lines with international peaks, all products (%)","Binding coverage, all products (%)",Export value index (2000 = 100),"Armed forces personnel, total","Armed forces personnel, total",Military expenditure (% of GDP),"Central government debt, total (% of GDP)",Expense (% of GDP),Tax revenue (% of GDP),Taxes on goods and services (% of revenue),"Revenue, excluding grants (% of GDP)",Social contributions (current LCU),IDA resource allocation index (1=low to 6=high),"Employers, total (% of total employment) (modeled ILO estimate)","Labor force participation rate for ages 15-24, female (%) (national estimate)",Benefit incidence of social protection and labor programs to poorest quintile (% of total SPL benefits),"Unemployment, total (% of total labor force) (modeled ILO estimate)",Increase in poverty gap at $3.20 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),Increase in poverty gap at $1.90 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),Number of people pushed below the $3.20 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure
1960 [YR1960],NaN,NaN,NaN,NaN,NaN,NaN,NaN,287547600,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.57909E+11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.089,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6045,NaN,NaN,1205031,3374572,71.62454874,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21920000000,1780038860,NaN,NaN,8.245702104,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.3,1660,4579603,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86.60099852,NaN,NaN,1807000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.728877556,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,63.25999832,NaN,NaN,NaN,NaN,NaN
1961 [YR1961],NaN,NaN,NaN,NaN,NaN,NaN,NaN,282882350,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.378832476,NaN,5.93497E+11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.123,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7538,5198900,NaN,1179808,3431879,69.86455982,NaN,NaN,NaN,2807000,42370,NaN,NaN,NaN,NaN,NaN,NaN,24303000000,1643372660,NaN,NaN,8.530313115,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.8,1640,4611687,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87.89833822,NaN,NaN,1873000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.586811645,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1962 [YR1962],NaN,NaN,NaN,NaN,NaN,NaN,NaN,255803820,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.666822173,NaN,6.27129E+11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.101,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7700,5783409,NaN,1157609,3490118,72.30046948,NaN,NaN,NaN,2773000,42370,NaN,NaN,NaN,NaN,NaN,NaN,27211000000,1077905620,NaN,NaN,9.159664223,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.2,1610,4647727,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88.78081199,0.8331702,1.997489845,2130000000,16.42655544,12.21912928,3.245090609,NaN,NaN,NaN,NaN,NaN,NaN,3.018273104,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1963 [YR1963],NaN,NaN,NaN,NaN,NaN,NaN,NaN,470635320,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.637021234,NaN,6.31124E+11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7824,5502930,NaN,1135659,3548824,68.16053512,NaN,NaN,NaN,2744000,42370,NaN,NaN,NaN,NaN,NaN,NaN,29099000000,2706205410,NaN,NaN,9.718864731,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.5,1567,4684483,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89.44681299,0.62024503,1.219575376,2129000000,16.18820213,12.95772523,3.087656846,NaN,NaN,NaN,NaN,NaN,NaN,3.041523894,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1964 [YR1964],NaN,NaN,NaN,NaN,NaN,NaN,NaN,645440720,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.269938215,NaN,6.89629E+11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.112,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8263,6213090,NaN,1113984,3608088,64.83656793,NaN,NaN,NaN,2726000,42370,NaN,NaN,NaN,NaN,NaN,NaN,31253000000,3485746140,NaN,NaN,10.01944818,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18.8,1509,4722072,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89.24125527,0.858935018,1.254281178,2617000000,15.71830665,11.41885007,3.224213053,NaN,NaN,NaN,NaN,NaN,NaN,2.842914471,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1965 [YR1965],NaN,NaN,NaN,NaN,NaN,NaN,NaN,587293840,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.555254814,NaN,7.21044E+11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.128,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10809,6213087,NaN,1092288,3666724,63.97263745,NaN,NaN,NaN,2693000,42370,NaN,NaN,NaN,NaN,NaN,NaN,34582000000,3677365490,NaN,NaN,10.5655081,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17.9,1437,4759012,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88.83801296,1.086784114,1.251248901,2823000000,15.45392481,10.54168293,3.63794092,NaN,NaN,NaN,NaN,NaN,NaN,2.832137733,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,61.31999969,NaN,NaN,NaN,NaN,NaN
1966 [YR1966],NaN,NaN,NaN,NaN,NaN,NaN,NaN,597676340,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.740910109,NaN,7.40807E+11,7.462E+11,7.08488E+11,7.20855E+11,1.8804E+11,99738928100,4.45161E+11,82414195000,81813028100,23110073000,23526162000,44515628000,NaN,NaN,28.04137443,57.6554039,19944791061,21975880640,11931739859,11844704281,3345823849,3533468959,NaN,0.189,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10135,5960293,NaN,1073702,3723679,51.41078422,NaN,NaN,NaN,2686000,42370,NaN,NaN,NaN,NaN,NaN,-1.073844136,39274000000,3893850479,NaN,NaN,11.31195699,NaN,NaN,NaN,46.12676251,NaN,NaN,NaN,NaN,16.9,1353,4797381,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89.86613338,1.312727431,1.295001461,3003000000,14.78156867,10.76101784,3.219007899,NaN,NaN,NaN,NaN,NaN,NaN,2.636749699,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1967 [YR1967],NaN,NaN,NaN,NaN,NaN,NaN,NaN,535507200,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.712197148,5.530370008,5.418615281,7.81776E+11,7.86634E+11,7.55276E+11,7.62362E+11,1.9874E+11,1.03695E+11,4.6127E+11,90845930000,90018750300,24289495000,25565140000,49744976000,NaN,NaN,26.73702058,55.54582908,21341782751,22791668654,13059064375,12940157639,3491604729,3762160847,NaN,0.215,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10638,6152779,NaN,1055896,3779458,61.43758627,NaN,NaN,NaN,2685000,42370,NaN,NaN,NaN,NaN,NaN,-0.150804775,43447000000,3844748559,NaN,NaN,12.24042585,4.454220736,NaN,NaN,45.80172166,NaN,NaN,NaN,NaN,16,1268,4835354,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88.36363636,1.329116775,1.3122164,3153000000,13.53902651,10.58467923,3.118594165,NaN,NaN,NaN,NaN,NaN,NaN,2.588210924,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1968 [YR1968],NaN,NaN,NaN,NaN,NaN,NaN,NaN,471330200,NaN,NaN,NaN,NaN,NaN,NaN,13938046552,9.801492274,5.553076576,5.354442105,8.25189E+11,8.28754E+11,7.89523E+11,8.02966E+11,2.14855E+11,1.13829E+11,4.79351E+11,1.01292E+11,1.00092E+11,27320091000,27979945000,55328320000,NaN,NaN,26.97166989,55.32776768,22700601412,25025592297,13505573867,13345633733,3642678800,3829653733,NaN,0.232,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12178,6785257,NaN,1036317,3828566,54.72878999,NaN,NaN,NaN,2694000,42370,NaN,NaN,NaN,NaN,NaN,1.636855041,50668000000,3790985319,NaN,NaN,13.22029729,5.632591484,NaN,NaN,46.32260276,NaN,NaN,NaN,NaN,15.2,1192,4864883,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88.37120924,1.510724619,1.390959603,3236000000,12.10610748,11.57563632,3.35936417,NaN,NaN,NaN,NaN,NaN,NaN,2.67593415,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1969 [YR1969],NaN,NaN,NaN,NaN,NaN,NaN,NaN,446662400,NaN,NaN,NaN,NaN,NaN,NaN,15354584954,5.995002033,6.509248385,6.571856515,8.78902E+11,8.83219E+11,8.51512E+11,8.60424E+11,2.28497E+11,1.22225E+11,5.12204E+11,1.15612E+11,1.14158E+11,30888578000,31125858000,63664340000,NaN,NaN,26.71750359,55.51080886,25607958996,26525877064,15414902267,15221015960,4118477067,4438459867,NaN,0.383,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11147,6775161,NaN,1016431,3875429,38.77899045,NaN,NaN,NaN,2678000,42370,NaN,NaN,NaN,NaN,NaN,0.3183067,56498000000,3234192320,NaN,NaN,13.68141059,7.161901952,NaN,NaN,44.87691984,NaN,NaN,NaN,NaN,14.6,1127,4891860,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88.19152077,1.900982335,1.391380672,3813000000,10.47591589,10.116522,3.614597175,NaN,NaN,NaN,NaN,NaN,NaN,2.391607631,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
