NaN,"Foreign direct investment, net (BoP, current US$)","Net capital account (BoP, current US$)","Net trade in goods and services (BoP, current US$)","Exports of goods and services (BoP, current US$)","Charges for the use of intellectual property, payments (BoP, current US$)","Net secondary income (BoP, current US$)","Grants, excluding technical cooperation (BoP, current US$)","Total reserves (includes gold, current US$)","External debt stocks, long-term (DOD, current US$)",Total debt service (% of GNI),"Debt service on external debt, total (TDS, current US$)","Net financial flows, bilateral (NFL, current US$)","Commercial banks and other lending (PPG + PNG) (NFL, current US$)",Adjusted net national income (current US$),"GNI, Atlas method (current US$)",Exports of goods and services (annual % growth),GDP growth (annual %),GNI growth (annual %),GDP (constant LCU),GNI (constant LCU),Gross national expenditure (constant LCU),Gross domestic income (constant LCU),"Industry (including construction), value added (constant LCU)","Manufacturing, value added (constant LCU)","Services, value added (constant LCU)",GDP (current LCU),GNI (current LCU),Exports of goods and services (current LCU),"Industry (including construction), value added (current LCU)","Services, value added (current LCU)",Gross savings (% of GDP),Gross savings (% of GNI),Exports of goods and services (% of GDP),Trade (% of GDP),Imports of goods and services (constant 2010 US$),Exports of goods and services (constant 2010 US$),GDP (current US$),GNI (current US$),Exports of goods and services (current US$),Imports of goods and services (current US$),"Services, value added (current US$)","Net ODA provided, total (% of GNI)",Net ODA received (% of central government expense),Net ODA received (% of GNI),Net official aid received (current US$),"GDP per capita, PPP (current international $)","GDP per capita, PPP (current international $)","GNI, PPP (current international $)","Households and NPISHs Final consumption expenditure, PPP (current international $)","Gross intake ratio in first grade of primary education, total (% of relevant age group)","Over-age students, primary (% of enrollment)","Persistence to grade 5, total (% of cohort)","Government expenditure on education, total (% of government expenditure)","Compulsory education, duration (years)","Adjusted net enrollment rate, primary (% of primary school age children)","Primary education, pupils",Aquaculture production (metric tons),Cereal production (metric tons),"Plant species (higher), threatened",Rural population,Urban population,Electricity production from coal sources (% of total),Access to electricity (% of population),GDP per unit of energy use (PPP $ per kg of oil equivalent),"Annual freshwater withdrawals, total (% of internal resources)",Arable land (hectares),Land area (sq. km),Urban land area (sq. km),Rural land area (sq. km),Total natural resources rents (% of GDP),"Depositors with commercial banks (per 1,000 adults)",Bank liquid reserves to bank assets ratio (%),"Claims on central government, etc. (% GDP)",Net domestic credit (current LCU),Net foreign assets (current LCU),"Listed domestic companies, total","Stocks traded, total value (current US$)",Consumer price index (2010 = 100),"Inflation, GDP deflator (annual %)",Deposit interest rate (%),Real interest rate (%),Broad money (% of GDP),"Domestic general government health expenditure per capita, PPP (current international $)",Current health expenditure (% of GDP),Current health expenditure per capita (current US$),"External health expenditure per capita, PPP (current international $)","Mortality rate, infant (per 1,000 live births)",Number of infant deaths,"Population, total","ICT service exports (BoP, current US$)","Patent applications, residents","Trademark applications, total",Rail lines (total route-km),Gini index (World Bank estimate),Multidimensional poverty headcount ratio (% of total population),Poverty headcount ratio at national poverty lines (% of population),Start-up procedures to register a business (number),Cost of business start-up procedures (% of GNI per capita),Profit tax (% of commercial profits),Merchandise exports to high-income economies (% of total merchandise exports),Fuel exports (% of merchandise exports),Ores and metals exports (% of merchandise exports),Merchandise imports (current US$),Food imports (% of merchandise imports),Fuel imports (% of merchandise imports),Ores and metals imports (% of merchandise imports),"Bound rate, simple mean, all products (%)","Share of tariff lines with international peaks, all products (%)","Binding coverage, all products (%)",Export value index (2000 = 100),"Armed forces personnel, total","Armed forces personnel, total",Military expenditure (% of GDP),"Central government debt, total (% of GDP)",Expense (% of GDP),Tax revenue (% of GDP),Taxes on goods and services (% of revenue),"Revenue, excluding grants (% of GDP)",Social contributions (current LCU),IDA resource allocation index (1=low to 6=high),"Employers, total (% of total employment) (modeled ILO estimate)","Labor force participation rate for ages 15-24, female (%) (national estimate)",Benefit incidence of social protection and labor programs to poorest quintile (% of total SPL benefits),"Unemployment, total (% of total labor force) (modeled ILO estimate)",Increase in poverty gap at $3.20 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),Increase in poverty gap at $1.90 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),Number of people pushed below the $3.20 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure
1960 [YR1960],NaN,NaN,NaN,NaN,NaN,NaN,NaN,25973200,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.33288E+11,1.31358E+11,1.23415E+11,1.25515E+11,NaN,NaN,NaN,672399700,662300300,172100000,NaN,575999900,NaN,NaN,25.59489542,44.40811024,1435007919,2171177106,672399700,662300300,172100000,126500000,575999900,NaN,NaN,0.027178005,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2299665,994559,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.562167859,76700000,13300000,NaN,NaN,0.454580671,NaN,NaN,NaN,19.19988959,NaN,NaN,NaN,NaN,102.1,17045,3294224,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,94.10127991,NaN,NaN,100000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.231525748,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.5,NaN,NaN,NaN,NaN,NaN
1961 [YR1961],NaN,NaN,NaN,NaN,NaN,NaN,0,9022900,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-7.044076858,-2.31324875,-3.6090103,1.30205E+11,1.26617E+11,1.21106E+11,1.22371E+11,NaN,NaN,NaN,654100200,635500100,152100000,NaN,568499900,NaN,NaN,23.25331807,39.59637988,1262115381,2018237722,654100200,635500100,152100000,106900000,568499900,NaN,NaN,0.023603459,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,164089,NaN,2346518,1059762,NaN,NaN,NaN,NaN,720000,48310,NaN,NaN,NaN,NaN,NaN,11.22152233,105100000,-21700000,NaN,NaN,0.436852025,-0.417940394,NaN,NaN,19.32425644,NaN,NaN,NaN,NaN,101.3,17212,3406280,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,97.16914367,NaN,NaN,80000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.229793978,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1962 [YR1962],NaN,NaN,NaN,NaN,NaN,NaN,7000000,19716020,NaN,NaN,NaN,NaN,NaN,NaN,778525998.7,12.1338898,17.04724093,17.21900385,1.52401E+11,1.4842E+11,1.55708E+11,1.54952E+11,NaN,NaN,NaN,824100000,802500200,196700000,NaN,714500000,NaN,NaN,23.86846257,48.05242082,2398883638,2263128463,824100000,802500200,196700000,199300000,714500000,NaN,NaN,2.752647308,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,162764,NaN,2391687,1129331,NaN,NaN,NaN,NaN,730000,48310,NaN,NaN,NaN,NaN,NaN,7.559762165,119000000,-19900000,NaN,NaN,0.476855124,7.640188931,NaN,NaN,16.98822958,NaN,NaN,NaN,NaN,100.3,17306,3521018,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,98.11255211,NaN,NaN,148000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.319654428,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1963 [YR1963],NaN,NaN,NaN,NaN,NaN,NaN,30000000,41966880,NaN,NaN,NaN,NaN,NaN,NaN,870722009.3,-12.10613353,6.50290263,6.971731656,1.62312E+11,1.58767E+11,1.76223E+11,1.70887E+11,NaN,NaN,NaN,940799900,920500100,195000000,NaN,821599900,NaN,NaN,20.72704302,46.70493694,2855968852,1989151109,940799900,920500100,195000000,244400000,821599900,NaN,NaN,5.151547313,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,168432,NaN,2435641,1202468,NaN,NaN,NaN,NaN,740000,48310,NaN,NaN,NaN,NaN,NaN,12.48937208,177200000,4100000,NaN,NaN,0.517767384,7.190403125,NaN,NaN,16.74107321,NaN,NaN,NaN,NaN,99,17323,3638109,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,95.60338905,NaN,NaN,184000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.865213082,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1964 [YR1964],NaN,NaN,NaN,NaN,NaN,NaN,13030000,41420320,NaN,NaN,NaN,NaN,NaN,NaN,985094769.1,1.603770516,6.764865116,7.099760872,1.73292E+11,1.70039E+11,1.92462E+11,1.81944E+11,NaN,NaN,NaN,1025599900,1006500200,202000000,NaN,893099900,NaN,NaN,19.69578975,47.72816378,3292520848,2021052528,1025599900,1006500200,202000000,287500000,893099900,NaN,NaN,2.335816747,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,192256,NaN,2477979,1279153,NaN,NaN,NaN,NaN,750000,48310,NaN,NaN,NaN,NaN,NaN,13.28978289,208900000,-38300000,NaN,NaN,0.52867732,2.106255913,NaN,NaN,14.37207628,NaN,NaN,NaN,NaN,97.5,17264,3757132,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,94.15565516,NaN,NaN,221000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.783495059,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1965 [YR1965],NaN,NaN,NaN,NaN,NaN,NaN,65080000,50820320,NaN,NaN,NaN,NaN,NaN,NaN,897126699.5,-18.10584882,-12.48183392,-11.98199201,1.51662E+11,1.49665E+11,1.61163E+11,1.50272E+11,NaN,NaN,NaN,888100000,876400000,144800000,194700000,402500000,NaN,NaN,16.30447022,36.57245806,2026084170,1655123813,888100000,876400000,144800000,180000000,402500000,NaN,NaN,9.022135976,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,211946,NaN,2518531,1359234,NaN,NaN,NaN,NaN,760000,48310,NaN,NaN,NaN,NaN,NaN,15.82029051,208800000,-4380000,NaN,NaN,0.518676546,-1.05685934,NaN,NaN,22.04256277,NaN,NaN,NaN,NaN,95.9,17140,3877765,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,94.74319755,NaN,NaN,97000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.212070411,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1966 [YR1966],NaN,NaN,NaN,NaN,NaN,NaN,30470000,43626340,NaN,NaN,NaN,NaN,NaN,NaN,1013967734,9.100857713,13.46334483,12.83375945,1.72081E+11,1.68873E+11,1.89251E+11,1.70564E+11,42408278864,32596478743,1.34905E+11,983900000,965400000,160800000,246500000,405000000,NaN,NaN,16.3431243,41.68106515,2756880384,1805754276,983900000,965400000,160800000,249300000,405000000,NaN,NaN,5.418479529,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,228412,NaN,2556950,1442846,NaN,NaN,NaN,NaN,770000,48310,NaN,NaN,NaN,NaN,NaN,14.35105194,213300000,-32680000,NaN,NaN,0.520040288,-2.35871004,NaN,NaN,16.81471694,NaN,NaN,NaN,NaN,94.1,16972,3999796,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,96.52293844,NaN,NaN,181000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.462719911,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1967 [YR1967],NaN,NaN,NaN,NaN,NaN,NaN,7990000,32427200,NaN,NaN,NaN,NaN,NaN,NaN,1043388519,11.8455161,3.327542288,3.32633418,1.77807E+11,1.7449E+11,1.91775E+11,1.76111E+11,46668261918,34892338273,97400660556,1034800000,1015300000,187100000,282200000,422300000,NaN,NaN,18.08078856,43.09045226,2751001304,2019655190,1034800000,1015300000,187100000,258800000,422300000,NaN,NaN,5.767753509,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,214000,NaN,2593177,1529915,NaN,NaN,NaN,NaN,780000,48310,NaN,NaN,NaN,NaN,NaN,10.15075377,196460000,-38389999.97,NaN,NaN,0.52648018,1.786307542,NaN,NaN,15.63200618,NaN,NaN,NaN,NaN,92.4,16783,4123092,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,96.25470554,NaN,NaN,197000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.191868759,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1968 [YR1968],-23000000,0,-66200000,199500000,0,10000000,29050000,36203400,NaN,NaN,NaN,NaN,NaN,NaN,1071023353,3.692479959,0.238860485,0.368742479,1.78231E+11,1.75133E+11,1.94585E+11,1.76473E+11,44708236932,32226780997,97155481621,1079100000,1060200000,199500000,278000000,444000000,4.540821055,4.621769477,18.48762858,45.13020109,2971956817,2094230553,1079100000,1060200000,199500000,287500000,444000000,NaN,NaN,4.079418978,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,231406,NaN,2626987,1620571,NaN,NaN,NaN,NaN,780000,48310,NaN,NaN,NaN,NaN,NaN,10.52636456,242780000,-38369999.98,NaN,NaN,0.526669589,4.032527887,NaN,NaN,18.87684181,NaN,NaN,NaN,NaN,90.6,16569,4247558,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,97.04741118,NaN,NaN,222000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.245171394,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1969 [YR1969],-40900000,0,-69700000,227000000,0,8400000,8800000,39827200,NaN,NaN,NaN,NaN,NaN,NaN,1227498065,11.63522248,10.89144583,10.75643443,1.97643E+11,1.93971E+11,2.13571E+11,1.9568E+11,51520131156,38359223036,1.03602E+11,1230500000,1207300000,227400000,327100000,490300000,7.265339293,7.404953201,18.48029256,44.59162942,3252887425,2337898937,1230500000,1207300000,227400000,321300000,490300000,NaN,NaN,2.849333349,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,250000,NaN,2658553,1714571,NaN,NaN,NaN,NaN,815000,48310,NaN,NaN,NaN,NaN,NaN,9.062982527,280830000,-21799999.97,NaN,NaN,0.531707858,2.830483906,NaN,NaN,19.2100772,NaN,NaN,NaN,NaN,88.8,16326,4373124,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,96.04600219,NaN,NaN,246000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.64782447,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
