NaN,"Foreign direct investment, net (BoP, current US$)","Net capital account (BoP, current US$)","Net trade in goods and services (BoP, current US$)","Exports of goods and services (BoP, current US$)","Charges for the use of intellectual property, payments (BoP, current US$)","Net secondary income (BoP, current US$)","Grants, excluding technical cooperation (BoP, current US$)","Total reserves (includes gold, current US$)","External debt stocks, long-term (DOD, current US$)",Total debt service (% of GNI),"Debt service on external debt, total (TDS, current US$)","Net financial flows, bilateral (NFL, current US$)","Commercial banks and other lending (PPG + PNG) (NFL, current US$)",Adjusted net national income (current US$),"GNI, Atlas method (current US$)",Exports of goods and services (annual % growth),GDP growth (annual %),GNI growth (annual %),GDP (constant LCU),GNI (constant LCU),Gross national expenditure (constant LCU),Gross domestic income (constant LCU),"Industry (including construction), value added (constant LCU)","Manufacturing, value added (constant LCU)","Services, value added (constant LCU)",GDP (current LCU),GNI (current LCU),Exports of goods and services (current LCU),"Industry (including construction), value added (current LCU)","Services, value added (current LCU)",Gross savings (% of GDP),Gross savings (% of GNI),Exports of goods and services (% of GDP),Trade (% of GDP),Imports of goods and services (constant 2010 US$),Exports of goods and services (constant 2010 US$),GDP (current US$),GNI (current US$),Exports of goods and services (current US$),Imports of goods and services (current US$),"Services, value added (current US$)","Net ODA provided, total (% of GNI)",Net ODA received (% of central government expense),Net ODA received (% of GNI),Net official aid received (current US$),"GDP per capita, PPP (current international $)","GDP per capita, PPP (current international $)","GNI, PPP (current international $)","Households and NPISHs Final consumption expenditure, PPP (current international $)","Gross intake ratio in first grade of primary education, total (% of relevant age group)","Over-age students, primary (% of enrollment)","Persistence to grade 5, total (% of cohort)","Government expenditure on education, total (% of government expenditure)","Compulsory education, duration (years)","Adjusted net enrollment rate, primary (% of primary school age children)","Primary education, pupils",Aquaculture production (metric tons),Cereal production (metric tons),"Plant species (higher), threatened",Rural population,Urban population,Electricity production from coal sources (% of total),Access to electricity (% of population),GDP per unit of energy use (PPP $ per kg of oil equivalent),"Annual freshwater withdrawals, total (% of internal resources)",Arable land (hectares),Land area (sq. km),Urban land area (sq. km),Rural land area (sq. km),Total natural resources rents (% of GDP),"Depositors with commercial banks (per 1,000 adults)",Bank liquid reserves to bank assets ratio (%),"Claims on central government, etc. (% GDP)",Net domestic credit (current LCU),Net foreign assets (current LCU),"Listed domestic companies, total","Stocks traded, total value (current US$)",Consumer price index (2010 = 100),"Inflation, GDP deflator (annual %)",Deposit interest rate (%),Real interest rate (%),Broad money (% of GDP),"Domestic general government health expenditure per capita, PPP (current international $)",Current health expenditure (% of GDP),Current health expenditure per capita (current US$),"External health expenditure per capita, PPP (current international $)","Mortality rate, infant (per 1,000 live births)",Number of infant deaths,"Population, total","ICT service exports (BoP, current US$)","Patent applications, residents","Trademark applications, total",Rail lines (total route-km),Gini index (World Bank estimate),Multidimensional poverty headcount ratio (% of total population),Poverty headcount ratio at national poverty lines (% of population),Start-up procedures to register a business (number),Cost of business start-up procedures (% of GNI per capita),Profit tax (% of commercial profits),Merchandise exports to high-income economies (% of total merchandise exports),Fuel exports (% of merchandise exports),Ores and metals exports (% of merchandise exports),Merchandise imports (current US$),Food imports (% of merchandise imports),Fuel imports (% of merchandise imports),Ores and metals imports (% of merchandise imports),"Bound rate, simple mean, all products (%)","Share of tariff lines with international peaks, all products (%)","Binding coverage, all products (%)",Export value index (2000 = 100),"Armed forces personnel, total","Armed forces personnel, total",Military expenditure (% of GDP),"Central government debt, total (% of GDP)",Expense (% of GDP),Tax revenue (% of GDP),Taxes on goods and services (% of revenue),"Revenue, excluding grants (% of GDP)",Social contributions (current LCU),IDA resource allocation index (1=low to 6=high),"Employers, total (% of total employment) (modeled ILO estimate)","Labor force participation rate for ages 15-24, female (%) (national estimate)",Benefit incidence of social protection and labor programs to poorest quintile (% of total SPL benefits),"Unemployment, total (% of total labor force) (modeled ILO estimate)",Increase in poverty gap at $3.20 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),Increase in poverty gap at $1.90 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),Number of people pushed below the $3.20 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure
1960 [YR1960],NaN,NaN,NaN,NaN,NaN,NaN,5020000,41077600,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8257345712,8144836587,9006659321,8773089827,2106859466,735951341.8,4223541644,1723727707,1702108407,164574188.8,379577957.6,706252090.2,NaN,NaN,9.5475746,19.91164659,1658336064,899501810,2069465326,2043509724,197583745.9,214480876.3,404867328.7,NaN,NaN,0.327867283,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,3004363,1539303,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.580138032,239666666.7,36133333.33,NaN,NaN,0.011758973,NaN,NaN,NaN,8.717540828,NaN,NaN,NaN,NaN,119.2,23296,4543666,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87.67416935,NaN,NaN,114000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.376236784,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1961 [YR1961],NaN,NaN,NaN,NaN,NaN,NaN,9000000,38397350,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-4.065399912,5.124414881,4.752607789,8680486364,8531928725,9458587276,9164982602,2275880842,764078839.5,4409991550,1606925599,1581445599,143940248.4,348192403.1,660971972.1,NaN,NaN,8.957493023,19.10915839,1646778013,862933464.2,1753850417,1726040723,157101028.7,178045025.4,387953412.1,NaN,NaN,0.68190746,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,509910,NaN,3063172,1611000,NaN,NaN,NaN,NaN,1705000,276840,NaN,NaN,NaN,NaN,NaN,1.161638515,219500000,22722222.22,NaN,NaN,0.012227641,-11.32044297,NaN,NaN,8.397678433,NaN,NaN,NaN,NaN,116,23220,4674172,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89.32642487,NaN,NaN,107000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.046766984,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1962 [YR1962],NaN,NaN,NaN,NaN,NaN,NaN,6080000,43348220,NaN,NaN,NaN,NaN,NaN,NaN,1828160460,21.11162291,4.919146942,4.9464326,9107492244,8953954829,9722604352,9674609225,2288169532,823115675.4,4536784900,1517480482,1493637582,155412755.7,329191297.7,608238636.6,NaN,NaN,10.24149948,21.0358891,1829590559,1045112723,1518208221,1494353887,155487287,163881310.7,376968896.5,NaN,NaN,0.897377787,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,525400,NaN,3123095,1686106,NaN,NaN,NaN,NaN,1705000,276840,NaN,NaN,NaN,NaN,NaN,1.270380608,226888888.9,34888888.89,NaN,NaN,0.012578683,-9.993765308,NaN,NaN,10.02392537,NaN,NaN,NaN,NaN,113,23158,4809201,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,92.12328767,0.139913777,0.165803128,97000000,13.19895567,2.333935417,1.393671802,NaN,NaN,NaN,NaN,NaN,NaN,2.045453783,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.62999916,NaN,NaN,NaN,NaN,NaN
1963 [YR1963],NaN,NaN,NaN,NaN,NaN,NaN,9160000,51632720,NaN,NaN,NaN,NaN,NaN,NaN,1749123863,-8.176977688,2.106368246,2.768127551,9299329568,9201811720,9955912418,9852822733,2406871322,885707085.2,4689570930,1823470010,1805659810,168366851.7,404070257.2,727436013.1,NaN,NaN,9.233321676,19.19029712,1761870150,959654088.9,1824344492,1806525751,168447595.4,181649533.1,403401166.6,NaN,NaN,0.898409532,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,589936,NaN,3186850,1762136,NaN,NaN,NaN,NaN,1710000,276840,NaN,NaN,NaN,NaN,NaN,0.877447938,232944444.4,45611111.11,NaN,NaN,0.013325795,17.68542543,NaN,NaN,8.683078553,NaN,NaN,NaN,NaN,110.1,23117,4948986,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,92.06471495,0.134780228,0.319211425,128000000,9.791184151,13.12747587,1.756294895,NaN,NaN,NaN,NaN,NaN,NaN,1.765212311,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1964 [YR1964],NaN,NaN,NaN,NaN,NaN,NaN,13080000,51638400,NaN,NaN,NaN,NaN,NaN,NaN,1944553377,3.741543559,7.407245362,7.56942211,9988153726,9898335691,10781491781,10564265804,2758565245,1030362788,5073197231,2243071157,2224136957,199634541.8,533014185.8,900018187.5,NaN,NaN,8.90005389,19.04451204,1934589750,995559964.7,2244146868,2225203588,199730280.6,227656539.8,450583783.1,NaN,NaN,0.853854457,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,500193,NaN,3253852,1840002,NaN,NaN,NaN,NaN,1710000,276840,NaN,NaN,NaN,NaN,NaN,0.725691547,255316666.7,48005555.56,NaN,NaN,0.013863385,14.52778133,NaN,NaN,8.104463753,NaN,NaN,NaN,NaN,107.4,23091,5093854,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88.58905166,0.400088201,0.375688055,151000000,12.16719495,3.296654083,1.62306655,NaN,NaN,NaN,NaN,NaN,NaN,1.909954013,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1965 [YR1965],NaN,NaN,NaN,NaN,NaN,NaN,14040000,46038400,NaN,NaN,NaN,NaN,NaN,NaN,2262322169,8.62390205,3.275082488,3.053379167,10315274000,10200569410,11090461000,10878597558,3049445000,1193255000,5211206000,2385904000,2360904000,214246000,568408000,980207000,NaN,NaN,8.979657187,19.27013828,2025589049,1081416081,2387048255,2362036266,214348750.2,245638749.4,1192629699,NaN,NaN,0.885676498,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,614488,NaN,3322584,1921393,NaN,NaN,NaN,NaN,1715000,276840,NaN,NaN,NaN,NaN,NaN,1.522134447,278066666.7,32472222.22,NaN,NaN,0.014288862,2.9945783,NaN,NaN,7.798348597,NaN,NaN,NaN,NaN,104.9,23092,5243977,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86.04228234,1.626699754,0.291748165,165000000,10.35270707,8.594144824,1.481436614,NaN,NaN,NaN,NaN,NaN,NaN,2.069565217,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1966 [YR1966],NaN,NaN,NaN,NaN,NaN,NaN,8840000,61158146.51,NaN,NaN,NaN,NaN,NaN,NaN,2419903706,3.781767159,-0.339525639,-0.338677917,10280251000,10166022334,11075693000,10978570454,2983981000,1222674000,5244800000,2428145000,2402945000,254608000,614858000,1030538000,NaN,NaN,10.48569999,21.60006919,2091157196,1122312719,2429309514,2404097428,254730107.4,270002428.4,1257805942,NaN,NaN,1.056945511,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,595943,NaN,3392889,2006533,NaN,NaN,NaN,NaN,1715000,276840,NaN,NaN,NaN,NaN,NaN,1.76453859,290727777.8,44943333.33,NaN,NaN,0.015068137,2.117153971,NaN,NaN,9.247479958,NaN,NaN,NaN,NaN,102.7,23123,5399422,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,83.05181792,NaN,0.242778419,174000000,13.28867413,3.122654796,1.039212019,NaN,NaN,NaN,NaN,NaN,NaN,1.824221519,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1967 [YR1967],NaN,NaN,NaN,NaN,NaN,NaN,4870000,69213239.67,NaN,NaN,NaN,NaN,NaN,NaN,2583205316,7.285534941,4.621073941,4.682219496,10755309000,10642017814,11836381000,11505320936,3243013000,1284657000,5363944000,2552372000,2527472000,257973000,628698000,1075055000,NaN,NaN,10.10718657,22.13877914,2520793094,1204079204,2553596092,2528684150,258096721.2,307238277.7,1312326077,NaN,NaN,1.076053689,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,631063,NaN,3464666,2095346,NaN,NaN,NaN,NaN,1720000,276840,NaN,NaN,NaN,NaN,NaN,1.295439867,316726666.7,54905555.56,NaN,NaN,0.015643459,0.47318746,NaN,NaN,10.17014761,NaN,NaN,NaN,NaN,100.8,23177,5560012,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,81.03611867,NaN,0.322242051,214000000,11.01227614,10.12941685,1.205270924,NaN,NaN,NaN,NaN,NaN,NaN,1.804423333,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1968 [YR1968],NaN,NaN,NaN,NaN,NaN,NaN,4250000,62499909.98,NaN,NaN,NaN,NaN,NaN,NaN,2673951705,2.654257745,1.909438399,1.81718964,10960675000,10835403459,12273708000,11792647064,3279094000,1303255000,5546983000,2580943000,2553843000,284992000,646347000,1050325000,NaN,NaN,11.0421656,24.96037301,2835255432,1236038570,2582180794,2555067797,285128679.3,359393278.8,1264892339,NaN,NaN,0.883342498,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,483296,NaN,3537475,2187984,NaN,NaN,NaN,NaN,1715000,276840,NaN,NaN,NaN,NaN,NaN,2.531503666,400835555.6,45776666.67,NaN,NaN,0.01631889,-0.775245445,NaN,NaN,12.55975045,NaN,NaN,NaN,NaN,99,23225,5725459,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,78.72329525,0.552637848,0.239121161,255000000,9.267142419,3.977719999,1.29709477,NaN,NaN,NaN,NaN,NaN,NaN,1.923973498,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1969 [YR1969],NaN,NaN,NaN,NaN,NaN,NaN,2490000,65130089.86,NaN,NaN,NaN,NaN,NaN,NaN,2952248351,-12.1987793,4.66923798,4.844157732,11472455000,11360287494,12909843000,12217294634,3480732000,1417217000,5808086000,3110675000,3082675000,264499000,798214000,1360759000,NaN,NaN,8.502945502,20.60530271,2835910651,1085256953,3112166848,3084153420,264625851,376645548.8,1615347333,NaN,NaN,0.570334797,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10,660427,NaN,3611266,2284101,NaN,NaN,NaN,NaN,1720000,276840,NaN,NaN,NaN,NaN,NaN,3.255527784,475148888.9,45137777.78,NaN,NaN,0.017351334,15.14820258,NaN,NaN,11.78590213,NaN,NaN,NaN,NaN,97.2,23251,5895367,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80.72684335,0.403206434,0.494074085,242000000,8.099189498,6.911857595,1.282998817,NaN,NaN,NaN,NaN,NaN,NaN,2.370616301,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
