NaN,"Foreign direct investment, net (BoP, current US$)","Net capital account (BoP, current US$)","Net trade in goods and services (BoP, current US$)","Exports of goods and services (BoP, current US$)","Charges for the use of intellectual property, payments (BoP, current US$)","Net secondary income (BoP, current US$)","Grants, excluding technical cooperation (BoP, current US$)","Total reserves (includes gold, current US$)","External debt stocks, long-term (DOD, current US$)",Total debt service (% of GNI),"Debt service on external debt, total (TDS, current US$)","Net financial flows, bilateral (NFL, current US$)","Commercial banks and other lending (PPG + PNG) (NFL, current US$)",Adjusted net national income (current US$),"GNI, Atlas method (current US$)",Exports of goods and services (annual % growth),GDP growth (annual %),GNI growth (annual %),GDP (constant LCU),GNI (constant LCU),Gross national expenditure (constant LCU),Gross domestic income (constant LCU),"Industry (including construction), value added (constant LCU)","Manufacturing, value added (constant LCU)","Services, value added (constant LCU)",GDP (current LCU),GNI (current LCU),Exports of goods and services (current LCU),"Industry (including construction), value added (current LCU)","Services, value added (current LCU)",Gross savings (% of GDP),Gross savings (% of GNI),Exports of goods and services (% of GDP),Trade (% of GDP),Imports of goods and services (constant 2010 US$),Exports of goods and services (constant 2010 US$),GDP (current US$),GNI (current US$),Exports of goods and services (current US$),Imports of goods and services (current US$),"Services, value added (current US$)","Net ODA provided, total (% of GNI)",Net ODA received (% of central government expense),Net ODA received (% of GNI),Net official aid received (current US$),"GDP per capita, PPP (current international $)","GDP per capita, PPP (current international $)","GNI, PPP (current international $)","Households and NPISHs Final consumption expenditure, PPP (current international $)","Gross intake ratio in first grade of primary education, total (% of relevant age group)","Over-age students, primary (% of enrollment)","Persistence to grade 5, total (% of cohort)","Government expenditure on education, total (% of government expenditure)","Compulsory education, duration (years)","Adjusted net enrollment rate, primary (% of primary school age children)","Primary education, pupils",Aquaculture production (metric tons),Cereal production (metric tons),"Plant species (higher), threatened",Rural population,Urban population,Electricity production from coal sources (% of total),Access to electricity (% of population),GDP per unit of energy use (PPP $ per kg of oil equivalent),"Annual freshwater withdrawals, total (% of internal resources)",Arable land (hectares),Land area (sq. km),Urban land area (sq. km),Rural land area (sq. km),Total natural resources rents (% of GDP),"Depositors with commercial banks (per 1,000 adults)",Bank liquid reserves to bank assets ratio (%),"Claims on central government, etc. (% GDP)",Net domestic credit (current LCU),Net foreign assets (current LCU),"Listed domestic companies, total","Stocks traded, total value (current US$)",Consumer price index (2010 = 100),"Inflation, GDP deflator (annual %)",Deposit interest rate (%),Real interest rate (%),Broad money (% of GDP),"Domestic general government health expenditure per capita, PPP (current international $)",Current health expenditure (% of GDP),Current health expenditure per capita (current US$),"External health expenditure per capita, PPP (current international $)","Mortality rate, infant (per 1,000 live births)",Number of infant deaths,"Population, total","ICT service exports (BoP, current US$)","Patent applications, residents","Trademark applications, total",Rail lines (total route-km),Gini index (World Bank estimate),Multidimensional poverty headcount ratio (% of total population),Poverty headcount ratio at national poverty lines (% of population),Start-up procedures to register a business (number),Cost of business start-up procedures (% of GNI per capita),Profit tax (% of commercial profits),Merchandise exports to high-income economies (% of total merchandise exports),Fuel exports (% of merchandise exports),Ores and metals exports (% of merchandise exports),Merchandise imports (current US$),Food imports (% of merchandise imports),Fuel imports (% of merchandise imports),Ores and metals imports (% of merchandise imports),"Bound rate, simple mean, all products (%)","Share of tariff lines with international peaks, all products (%)","Binding coverage, all products (%)",Export value index (2000 = 100),"Armed forces personnel, total","Armed forces personnel, total",Military expenditure (% of GDP),"Central government debt, total (% of GDP)",Expense (% of GDP),Tax revenue (% of GDP),Taxes on goods and services (% of revenue),"Revenue, excluding grants (% of GDP)",Social contributions (current LCU),IDA resource allocation index (1=low to 6=high),"Employers, total (% of total employment) (modeled ILO estimate)","Labor force participation rate for ages 15-24, female (%) (national estimate)",Benefit incidence of social protection and labor programs to poorest quintile (% of total SPL benefits),"Unemployment, total (% of total labor force) (modeled ILO estimate)",Increase in poverty gap at $3.20 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),Increase in poverty gap at $1.90 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),Number of people pushed below the $3.20 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure
1960 [YR1960],NaN,NaN,NaN,NaN,NaN,NaN,110660000,266967600,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.96712E+11,NaN,3.60264E+11,2.32479E+11,NaN,NaN,NaN,1464800000,NaN,291000000,315800000,603400000,NaN,NaN,19.86619334,41.69169853,5701342896,1737903082,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4600,NaN,NaN,16548615,10084279,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17.79082469,569600000,52900000,NaN,NaN,1.208720709,NaN,NaN,NaN,33.11032223,NaN,NaN,NaN,NaN,211.8,253772,26632894,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,36.25617502,NaN,NaN,668000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.020000458,NaN,NaN,NaN,NaN,NaN
1961 [YR1961],NaN,NaN,NaN,NaN,NaN,NaN,103320000,203625200,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-6.735395189,5.161114145,NaN,2.06865E+11,NaN,3.76927E+11,2.41778E+11,44566541197,NaN,79864841533,1565200000,NaN,276200000,345200000,640800000,NaN,NaN,17.64630718,37.3881932,5596125745,1620848442,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5200,5008966,NaN,16892631,10473606,NaN,NaN,NaN,NaN,2499000,995450,NaN,NaN,NaN,NaN,NaN,18.98798876,633600000,27200000,NaN,NaN,1.217104477,1.609971436,NaN,NaN,34.58982878,NaN,NaN,NaN,NaN,205,249229,27366237,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,37.99297956,NaN,NaN,700000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1962 [YR1962],NaN,NaN,NaN,NaN,NaN,NaN,170870000,223227760,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-8.106116433,3.875616723,NaN,2.14882E+11,NaN,3.97822E+11,2.446E+11,48715547882,NaN,84815032241,1632300000,NaN,245700000,404100000,664500000,NaN,NaN,15.05238008,34.57085095,5640709284,1489460580,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5200,6439933,NaN,17254178,10858078,NaN,NaN,NaN,NaN,2433000,995450,NaN,NaN,NaN,NaN,NaN,21.08681002,740400000,-29700000,NaN,NaN,1.180553898,0.396026871,NaN,NaN,35.3733995,NaN,NaN,NaN,NaN,198.1,244508,28112256,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,43.01932367,NaN,NaN,743000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.67547918,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1963 [YR1963],NaN,NaN,NaN,NaN,NaN,NaN,142090000,216277440,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.01523657,10.51809262,NaN,2.37484E+11,NaN,4.28566E+11,2.71484E+11,57027673520,NaN,87951917797,1820500000,NaN,323300000,456000000,729600000,NaN,NaN,17.75885746,41.34578413,6753514403,1832263456,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6000,6442362,NaN,17618184,11253199,NaN,NaN,NaN,NaN,2413000,995450,NaN,NaN,NaN,NaN,NaN,25.5369404,891800000,-28800000,NaN,NaN,1.189368453,0.915371107,NaN,NaN,37.83575941,NaN,NaN,NaN,NaN,191.3,239888,28871383,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,39.30214724,NaN,NaN,916000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.664688427,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1964 [YR1964],NaN,NaN,NaN,NaN,NaN,NaN,173990000,223742480,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.48239896,11.50757747,NaN,2.64812E+11,NaN,4.61221E+11,3.00575E+11,61529486897,NaN,95443382879,2047500000,NaN,376700000,512700000,809400000,NaN,NaN,18.3980464,43.27228327,7445450920,2115941794,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7000,6351907,NaN,17985249,11659626,NaN,NaN,NaN,NaN,2422000,995450,NaN,NaN,NaN,NaN,NaN,27.21643781,1011156564,-53756564.22,NaN,NaN,1.232911029,0.862295142,NaN,NaN,39.09157509,NaN,NaN,NaN,NaN,185,235819,29644875,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,39.01486989,NaN,NaN,953000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.32838983,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1965 [YR1965],NaN,NaN,NaN,NaN,NaN,NaN,76650000,193777600,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.056449337,4.914042294,NaN,2.77825E+11,2.74062E+11,4.82496E+11,3.16125E+11,69023101012,NaN,1.04391E+11,2265500000,2247300000,388100000,545300000,869900000,NaN,NaN,17.13087619,37.26329729,6783831210,2117136229,4948667540,4908912189,847750109.2,996286588,NaN,NaN,NaN,2.500757753,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6200,6137606,NaN,18355373,12077649,NaN,NaN,NaN,NaN,2582000,995450,NaN,NaN,NaN,NaN,NaN,27.56067066,1085486994,-64186993.73,NaN,NaN,1.415862751,5.464557677,NaN,NaN,37.60317811,NaN,NaN,NaN,NaN,179.4,232501,30433022,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,35.62458691,6.584850899,1.087571433,934000000,28.47762544,7.352520413,2.486993644,NaN,NaN,NaN,NaN,NaN,NaN,10.11743451,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1966 [YR1966],NaN,NaN,NaN,NaN,NaN,NaN,40080000,156816540,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.456981664,5.046403712,5.150231475,2.91846E+11,2.88177E+11,5.10527E+11,3.29077E+11,71238727031,NaN,1.11445E+11,2445300000,2427000000,399400000,586700000,952800000,NaN,NaN,16.33337423,36.8175684,7199349788,2211496603,5278005612,5238506367,862076408.4,1081156918,NaN,NaN,NaN,1.856254265,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5900,6480148,NaN,18729440,12508160,NaN,NaN,NaN,NaN,2683000,995450,NaN,NaN,NaN,NaN,NaN,30.07259824,1175065245,-108265244.9,NaN,NaN,1.543806349,2.751197621,NaN,NaN,35.37398274,NaN,NaN,NaN,NaN,174.8,230168,31237600,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,33.40485229,5.812453365,1.160720673,1071000000,28.57634076,6.87606822,3.00226366,NaN,NaN,NaN,NaN,NaN,NaN,8.718268831,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1967 [YR1967],NaN,NaN,NaN,NaN,NaN,NaN,-210000,196019200,NaN,NaN,NaN,NaN,NaN,NaN,5534350991,6.805293006,0.805264127,1.308098766,2.94196E+11,2.91947E+11,5.16006E+11,3.3454E+11,73087434091,NaN,1.19877E+11,2534800000,2523500000,426500000,603500000,1003200000,NaN,NaN,16.82578507,35.93971911,7033499025,2361995426,5605484299,5580495356,943166740.4,1071428571,NaN,NaN,NaN,0.591345354,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5600,6738727,NaN,19106001,12950509,NaN,NaN,NaN,NaN,2694000,995450,NaN,NaN,NaN,NaN,NaN,32.25809886,1264278290,-134178289.9,NaN,NaN,1.554642287,2.832013294,NaN,NaN,36.15669875,NaN,NaN,NaN,NaN,171.1,228809,32056510,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,36.25132369,3.708829045,2.481516503,792000000,41.98782528,7.112629399,2.269810653,NaN,NaN,NaN,NaN,NaN,NaN,8.907698509,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1968 [YR1968],NaN,NaN,NaN,NaN,NaN,NaN,3750000,187040600,NaN,NaN,NaN,NaN,NaN,NaN,5771048919,-34.56384324,-1.606792349,-1.513642538,2.89469E+11,2.87528E+11,5.313E+11,3.19599E+11,72706402865,NaN,1.24297E+11,2539000000,2529200000,299600000,577100000,966400000,NaN,NaN,11.79992123,29.26348956,6571613567,1545599030,5932242991,5909345794,700000000,1035981308,NaN,NaN,NaN,0.43490433,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5600,7450000,NaN,19479864,13401984,NaN,NaN,NaN,NaN,2687000,995450,NaN,NaN,NaN,NaN,NaN,33.43750646,1332278289,-137178288.9,NaN,NaN,1.528590222,1.801431153,NaN,NaN,37.19968492,NaN,NaN,NaN,NaN,168.1,227987,32881848,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.13212333,2.903877612,0.848407496,666000000,33.9620323,7.836621045,3.285487926,NaN,NaN,NaN,NaN,NaN,NaN,11.13304382,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1969 [YR1969],NaN,NaN,NaN,NaN,NaN,NaN,12900000,145124800,NaN,NaN,NaN,NaN,NaN,NaN,6432952424,15.34003091,5.279517513,4.31124659,3.04751E+11,2.99924E+11,5.49521E+11,3.43591E+11,69079550082,NaN,1.18778E+11,2694600000,2670200000,362500000,649900000,1001100000,NaN,NaN,13.45283159,29.98589772,6817714699,1782694399,6524455206,6465375303,877723970.9,1078692494,NaN,NaN,NaN,0.153123356,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5900,7136015,NaN,19845419,13857720,NaN,NaN,NaN,NaN,2725000,995450,NaN,NaN,NaN,NaN,NaN,32.50300997,1393926107,-144726106.8,NaN,NaN,1.580712401,0.806310205,NaN,NaN,37.06301492,NaN,NaN,NaN,NaN,165.7,227707,33703139,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.8673057,2.97955265,0.60596857,638000000,26.14146654,8.859032493,2.942767288,NaN,NaN,NaN,NaN,NaN,NaN,14.33605341,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
