NaN,"Foreign direct investment, net (BoP, current US$)","Net capital account (BoP, current US$)","Net trade in goods and services (BoP, current US$)","Exports of goods and services (BoP, current US$)","Charges for the use of intellectual property, payments (BoP, current US$)","Net secondary income (BoP, current US$)","Grants, excluding technical cooperation (BoP, current US$)","Total reserves (includes gold, current US$)","External debt stocks, long-term (DOD, current US$)",Total debt service (% of GNI),"Debt service on external debt, total (TDS, current US$)","Net financial flows, bilateral (NFL, current US$)","Commercial banks and other lending (PPG + PNG) (NFL, current US$)",Adjusted net national income (current US$),"GNI, Atlas method (current US$)",Exports of goods and services (annual % growth),GDP growth (annual %),GNI growth (annual %),GDP (constant LCU),GNI (constant LCU),Gross national expenditure (constant LCU),Gross domestic income (constant LCU),"Industry (including construction), value added (constant LCU)","Manufacturing, value added (constant LCU)","Services, value added (constant LCU)",GDP (current LCU),GNI (current LCU),Exports of goods and services (current LCU),"Industry (including construction), value added (current LCU)","Services, value added (current LCU)",Gross savings (% of GDP),Gross savings (% of GNI),Exports of goods and services (% of GDP),Trade (% of GDP),Imports of goods and services (constant 2010 US$),Exports of goods and services (constant 2010 US$),GDP (current US$),GNI (current US$),Exports of goods and services (current US$),Imports of goods and services (current US$),"Services, value added (current US$)","Net ODA provided, total (% of GNI)",Net ODA received (% of central government expense),Net ODA received (% of GNI),Net official aid received (current US$),"GDP per capita, PPP (current international $)","GDP per capita, PPP (current international $)","GNI, PPP (current international $)","Households and NPISHs Final consumption expenditure, PPP (current international $)","Gross intake ratio in first grade of primary education, total (% of relevant age group)","Over-age students, primary (% of enrollment)","Persistence to grade 5, total (% of cohort)","Government expenditure on education, total (% of government expenditure)","Compulsory education, duration (years)","Adjusted net enrollment rate, primary (% of primary school age children)","Primary education, pupils",Aquaculture production (metric tons),Cereal production (metric tons),"Plant species (higher), threatened",Rural population,Urban population,Electricity production from coal sources (% of total),Access to electricity (% of population),GDP per unit of energy use (PPP $ per kg of oil equivalent),"Annual freshwater withdrawals, total (% of internal resources)",Arable land (hectares),Land area (sq. km),Urban land area (sq. km),Rural land area (sq. km),Total natural resources rents (% of GDP),"Depositors with commercial banks (per 1,000 adults)",Bank liquid reserves to bank assets ratio (%),"Claims on central government, etc. (% GDP)",Net domestic credit (current LCU),Net foreign assets (current LCU),"Listed domestic companies, total","Stocks traded, total value (current US$)",Consumer price index (2010 = 100),"Inflation, GDP deflator (annual %)",Deposit interest rate (%),Real interest rate (%),Broad money (% of GDP),"Domestic general government health expenditure per capita, PPP (current international $)",Current health expenditure (% of GDP),Current health expenditure per capita (current US$),"External health expenditure per capita, PPP (current international $)","Mortality rate, infant (per 1,000 live births)",Number of infant deaths,"Population, total","ICT service exports (BoP, current US$)","Patent applications, residents","Trademark applications, total",Rail lines (total route-km),Gini index (World Bank estimate),Multidimensional poverty headcount ratio (% of total population),Poverty headcount ratio at national poverty lines (% of population),Start-up procedures to register a business (number),Cost of business start-up procedures (% of GNI per capita),Profit tax (% of commercial profits),Merchandise exports to high-income economies (% of total merchandise exports),Fuel exports (% of merchandise exports),Ores and metals exports (% of merchandise exports),Merchandise imports (current US$),Food imports (% of merchandise imports),Fuel imports (% of merchandise imports),Ores and metals imports (% of merchandise imports),"Bound rate, simple mean, all products (%)","Share of tariff lines with international peaks, all products (%)","Binding coverage, all products (%)",Export value index (2000 = 100),"Armed forces personnel, total","Armed forces personnel, total",Military expenditure (% of GDP),"Central government debt, total (% of GDP)",Expense (% of GDP),Tax revenue (% of GDP),Taxes on goods and services (% of revenue),"Revenue, excluding grants (% of GDP)",Social contributions (current LCU),IDA resource allocation index (1=low to 6=high),"Employers, total (% of total employment) (modeled ILO estimate)","Labor force participation rate for ages 15-24, female (%) (national estimate)",Benefit incidence of social protection and labor programs to poorest quintile (% of total SPL benefits),"Unemployment, total (% of total labor force) (modeled ILO estimate)",Increase in poverty gap at $3.20 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),Increase in poverty gap at $1.90 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),Number of people pushed below the $3.20 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure
1960 [YR1960],NaN,NaN,NaN,NaN,NaN,NaN,1010000,33573600,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1705328,1060996,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,146760000.1,15120000.01,NaN,NaN,1.927769934,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,124.8,15873,2766324,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87.31790917,NaN,NaN,123000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1961 [YR1961],NaN,NaN,NaN,NaN,NaN,NaN,1010000,24551105,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,278612,NaN,1749890,1096710,NaN,NaN,NaN,NaN,488000,20850,NaN,NaN,NaN,NaN,NaN,NaN,144012000.1,10054000.01,NaN,NaN,1.876058077,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,122.4,15950,2846600,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86.15771812,NaN,NaN,109000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.52000046,NaN,NaN,NaN,NaN,NaN
1962 [YR1962],NaN,NaN,NaN,NaN,NaN,NaN,5060000,26364137,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,327834,NaN,1798931,1132261,NaN,NaN,NaN,NaN,488000,20850,NaN,NaN,NaN,NaN,NaN,NaN,145248000.1,15372000.01,NaN,NaN,1.877861979,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,120.1,16009,2931192,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85.54658841,NaN,NaN,125000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1963 [YR1963],NaN,NaN,NaN,NaN,NaN,NaN,10050000,44455720,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,319014,NaN,1849909,1169315,NaN,NaN,NaN,NaN,488000,20850,NaN,NaN,NaN,NaN,NaN,NaN,159860000.1,27760000.02,NaN,NaN,1.907325711,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,117.8,16042,3019224,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,78.83116883,3.121752719,0.080108865,152000000,16.43603962,8.253676571,1.079567189,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1964 [YR1964],NaN,NaN,NaN,NaN,NaN,NaN,9090000,53500664,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,312431,NaN,1902120,1207443,NaN,NaN,NaN,NaN,485000,20850,NaN,NaN,NaN,NaN,NaN,NaN,178784000.1,28812000.01,NaN,NaN,1.940848224,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,115.7,16075,3109563,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,77.54070747,2.877260883,0.100375638,191000000,14.78618456,6.547475084,1.39146598,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1965 [YR1965],NaN,NaN,NaN,NaN,NaN,NaN,6440000,56514896,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8328081549,NaN,NaN,8848239442,2534568973,1729260623,4519335915,877720000,869920000,231600000,203120000,311440000,NaN,NaN,26.38654696,55.19755731,1722893673,1173250721,877720000,869920000,231600000,252880000,311440000,NaN,NaN,1.667969495,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,343492,NaN,1955010,1246303,NaN,NaN,NaN,NaN,480000,20850,NaN,NaN,NaN,NaN,NaN,0.819395707,183208000.1,34672000.01,NaN,NaN,1.949717408,NaN,NaN,NaN,19.9858725,NaN,NaN,NaN,NaN,113.6,16082,3201313,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,73.3014862,1.96664318,0.16304104,201000000,15.65722206,5.125540095,1.498142522,NaN,NaN,NaN,NaN,NaN,NaN,0.738683897,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1966 [YR1966],NaN,NaN,NaN,NaN,NaN,NaN,6050000,56991179,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.702980227,7.16113774,NaN,8924466940,NaN,NaN,9445207938,2864672810,1925629265,4774454246,929520000,922120000,229240000,230920000,339000000,NaN,NaN,24.66219124,54.44100181,1896241246,1165003000,929520000,922120000,229240000,276800000,339000000,NaN,NaN,2.273022935,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,431021,NaN,2008224,1285728,NaN,NaN,NaN,NaN,470000,20850,NaN,NaN,NaN,NaN,NaN,1.92185214,213252000.1,21752000.01,NaN,NaN,1.926567333,-1.175317359,NaN,NaN,20.59213358,NaN,NaN,NaN,NaN,111.6,16072,3293952,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,68.19364914,1.596591675,0.169312953,221000000,16.31867604,4.933622417,2.129648751,NaN,NaN,NaN,NaN,NaN,NaN,0.709079836,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1967 [YR1967],NaN,NaN,NaN,NaN,NaN,NaN,4870000,54871040,NaN,NaN,NaN,NaN,NaN,NaN,1004209162,15.76864701,5.436848851,NaN,9409676718,NaN,NaN,9905186975,3039868048,2086647931,5007719084,976200000,967120000,250280000,240640000,359680000,NaN,NaN,25.6381889,54.29625077,1930076377,1348708211,976200000,967120000,250280000,279760000,359680000,NaN,NaN,1.503432869,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,394787,NaN,2061765,1325618,NaN,NaN,NaN,NaN,460000,20850,NaN,NaN,NaN,NaN,NaN,2.215939358,221088000.1,20314000,NaN,NaN,1.954828464,-0.393507625,NaN,NaN,20.03196067,NaN,NaN,NaN,NaN,109.7,16056,3387383,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60.44487427,2.034820204,0.415024893,224000000,14.75810971,4.889740534,2.171001679,NaN,NaN,NaN,NaN,NaN,NaN,0.694253983,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1968 [YR1968],NaN,NaN,NaN,NaN,NaN,NaN,4680000,65447490,NaN,NaN,NaN,NaN,NaN,NaN,1043600822,10.70325826,3.236692384,NaN,9714239008,NaN,NaN,9924650423,3106282020,2178601012,5230239810,1009760100,1000760100,255960000,248680000,383440000,NaN,NaN,25.34859518,52.45206262,1736096981,1493063934,1009760100,1000760100,255960000,273680000,383440000,NaN,NaN,1.080178998,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,461375,NaN,2115574,1366050,NaN,NaN,NaN,NaN,458000,20850,NaN,NaN,NaN,NaN,NaN,2.662414569,231568000.1,22648000.01,NaN,NaN,2.004435769,0.19483187,NaN,NaN,20.18261566,NaN,NaN,NaN,NaN,107.7,16031,3481624,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,54.22602089,1.776928164,0.621608472,214000000,17.62842418,5.658656136,2.088964921,NaN,NaN,NaN,NaN,NaN,NaN,0.655571183,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1969 [YR1969],NaN,NaN,NaN,NaN,NaN,NaN,2030000,63874720,NaN,NaN,NaN,NaN,NaN,NaN,1087098228,-4.050499155,3.485418819,NaN,10052820922,NaN,NaN,10207847072,3177457134,2194708235,5448155628,1049400000,1040000000,243320000,262560000,406440000,NaN,NaN,23.18658281,48.98036974,1688727913,1432587392,1049400000,1040000000,243320000,270680000,406440000,NaN,NaN,1.221153828,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,442718,NaN,2169817,1407021,NaN,NaN,NaN,NaN,455000,20850,NaN,NaN,NaN,NaN,NaN,3.645511722,270256000.1,9978000.004,NaN,NaN,2.000527315,0.425428244,NaN,NaN,21.41642844,NaN,NaN,NaN,NaN,105.7,15993,3576838,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60.71912791,1.408316185,0.918532109,208000000,15.44744773,4.216198935,2.033410608,NaN,NaN,NaN,NaN,NaN,NaN,0.715461501,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
