NaN,"Foreign direct investment, net (BoP, current US$)","Net capital account (BoP, current US$)","Net trade in goods and services (BoP, current US$)","Exports of goods and services (BoP, current US$)","Charges for the use of intellectual property, payments (BoP, current US$)","Net secondary income (BoP, current US$)","Grants, excluding technical cooperation (BoP, current US$)","Total reserves (includes gold, current US$)","External debt stocks, long-term (DOD, current US$)",Total debt service (% of GNI),"Debt service on external debt, total (TDS, current US$)","Net financial flows, bilateral (NFL, current US$)","Commercial banks and other lending (PPG + PNG) (NFL, current US$)",Adjusted net national income (current US$),"GNI, Atlas method (current US$)",Exports of goods and services (annual % growth),GDP growth (annual %),GNI growth (annual %),GDP (constant LCU),GNI (constant LCU),Gross national expenditure (constant LCU),Gross domestic income (constant LCU),"Industry (including construction), value added (constant LCU)","Manufacturing, value added (constant LCU)","Services, value added (constant LCU)",GDP (current LCU),GNI (current LCU),Exports of goods and services (current LCU),"Industry (including construction), value added (current LCU)","Services, value added (current LCU)",Gross savings (% of GDP),Gross savings (% of GNI),Exports of goods and services (% of GDP),Trade (% of GDP),Imports of goods and services (constant 2010 US$),Exports of goods and services (constant 2010 US$),GDP (current US$),GNI (current US$),Exports of goods and services (current US$),Imports of goods and services (current US$),"Services, value added (current US$)","Net ODA provided, total (% of GNI)",Net ODA received (% of central government expense),Net ODA received (% of GNI),Net official aid received (current US$),"GDP per capita, PPP (current international $)","GDP per capita, PPP (current international $)","GNI, PPP (current international $)","Households and NPISHs Final consumption expenditure, PPP (current international $)","Gross intake ratio in first grade of primary education, total (% of relevant age group)","Over-age students, primary (% of enrollment)","Persistence to grade 5, total (% of cohort)","Government expenditure on education, total (% of government expenditure)","Compulsory education, duration (years)","Adjusted net enrollment rate, primary (% of primary school age children)","Primary education, pupils",Aquaculture production (metric tons),Cereal production (metric tons),"Plant species (higher), threatened",Rural population,Urban population,Electricity production from coal sources (% of total),Access to electricity (% of population),GDP per unit of energy use (PPP $ per kg of oil equivalent),"Annual freshwater withdrawals, total (% of internal resources)",Arable land (hectares),Land area (sq. km),Urban land area (sq. km),Rural land area (sq. km),Total natural resources rents (% of GDP),"Depositors with commercial banks (per 1,000 adults)",Bank liquid reserves to bank assets ratio (%),"Claims on central government, etc. (% GDP)",Net domestic credit (current LCU),Net foreign assets (current LCU),"Listed domestic companies, total","Stocks traded, total value (current US$)",Consumer price index (2010 = 100),"Inflation, GDP deflator (annual %)",Deposit interest rate (%),Real interest rate (%),Broad money (% of GDP),"Domestic general government health expenditure per capita, PPP (current international $)",Current health expenditure (% of GDP),Current health expenditure per capita (current US$),"External health expenditure per capita, PPP (current international $)","Mortality rate, infant (per 1,000 live births)",Number of infant deaths,"Population, total","ICT service exports (BoP, current US$)","Patent applications, residents","Trademark applications, total",Rail lines (total route-km),Gini index (World Bank estimate),Multidimensional poverty headcount ratio (% of total population),Poverty headcount ratio at national poverty lines (% of population),Start-up procedures to register a business (number),Cost of business start-up procedures (% of GNI per capita),Profit tax (% of commercial profits),Merchandise exports to high-income economies (% of total merchandise exports),Fuel exports (% of merchandise exports),Ores and metals exports (% of merchandise exports),Merchandise imports (current US$),Food imports (% of merchandise imports),Fuel imports (% of merchandise imports),Ores and metals imports (% of merchandise imports),"Bound rate, simple mean, all products (%)","Share of tariff lines with international peaks, all products (%)","Binding coverage, all products (%)",Export value index (2000 = 100),"Armed forces personnel, total","Armed forces personnel, total",Military expenditure (% of GDP),"Central government debt, total (% of GDP)",Expense (% of GDP),Tax revenue (% of GDP),Taxes on goods and services (% of revenue),"Revenue, excluding grants (% of GDP)",Social contributions (current LCU),IDA resource allocation index (1=low to 6=high),"Employers, total (% of total employment) (modeled ILO estimate)","Labor force participation rate for ages 15-24, female (%) (national estimate)",Benefit incidence of social protection and labor programs to poorest quintile (% of total SPL benefits),"Unemployment, total (% of total labor force) (modeled ILO estimate)",Increase in poverty gap at $3.20 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),Increase in poverty gap at $1.90 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),Number of people pushed below the $3.20 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure
1960 [YR1960],NaN,NaN,NaN,NaN,NaN,NaN,1290000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25054900,21255700,12100000,NaN,NaN,NaN,NaN,48.29394649,82.61856962,92268901.19,93512312.68,35076158.48,29757384.85,16939661.21,12039759.2,NaN,NaN,NaN,28.53073216,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,323413,13170,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,140.3,2166,336583,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1961 [YR1961],NaN,NaN,NaN,NaN,NaN,NaN,3100000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.323193383,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30732900,26126800,12900000,NaN,NaN,NaN,NaN,41.97456146,76.79067058,113239094.3,98490153.92,43025199.5,36576788.46,18059638.81,14979700.41,NaN,NaN,NaN,31.27666496,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50164,NaN,328461,14884,NaN,NaN,NaN,NaN,124000,17200,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,138.1,2181,343345,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1962 [YR1962],NaN,NaN,NaN,NaN,NaN,NaN,2210000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.3970862,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,32805700,27809600,15700000,NaN,NaN,NaN,NaN,47.85753695,93.58129837,156647439.9,118579275.5,45927061.46,38932661.35,21979560.41,20999580.01,NaN,NaN,NaN,17.44036941,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50627,NaN,333349,16807,NaN,NaN,NaN,NaN,134000,17200,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,135.8,2198,350156,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1963 [YR1963],NaN,NaN,NaN,NaN,NaN,NaN,2650000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,41.97902653,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,38663900,32857800,22900000,NaN,NaN,NaN,NaN,59.22837582,112.7666893,210960273,168357701,54128377.43,46000000,32059358.81,28979420.41,NaN,NaN,NaN,14.10869515,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,45460,NaN,338313,18979,NaN,NaN,NaN,NaN,129000,17200,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,133.7,2218,357292,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1964 [YR1964],NaN,NaN,NaN,NaN,NaN,NaN,6140000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.963033977,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,46414700,39411600,25000000,NaN,NaN,NaN,NaN,53.86224623,99.968329,209282641.9,176713350.9,64979280.41,55175136.5,34999300.01,29959400.81,NaN,NaN,NaN,23.10823463,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,39795,NaN,343667,21455,NaN,NaN,NaN,NaN,132000,17200,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,131.3,2238,365122,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1965 [YR1965],NaN,NaN,NaN,NaN,NaN,NaN,7800000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27.56540712,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50200000,42600000,33100000,15800000,15500000,NaN,NaN,65.93625498,118.5258964,249755109.4,225425105.6,70278594.43,59638807.22,46339073.22,36959260.81,21699566.01,NaN,NaN,25.52029622,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,40324,NaN,349637,24282,NaN,NaN,NaN,NaN,140000,17200,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.558133589,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,128.7,2259,373919,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,37000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1966 [YR1966],NaN,NaN,NaN,NaN,NaN,NaN,6370000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.58360658,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,54900000,48500000,40200000,16500000,16300000,NaN,NaN,73.22404372,146.9945355,386900126.5,271825722.4,76858462.83,67898642.03,56278874.42,56698866.02,22819543.61,NaN,NaN,15.59677754,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,44125,NaN,356356,27470,NaN,NaN,NaN,NaN,149000,17200,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.607643611,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,126,2281,383826,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,48.43000031,NaN,NaN,NaN,NaN,NaN
1967 [YR1967],NaN,NaN,NaN,NaN,NaN,NaN,6930000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-3.270350604,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,53400000,47000000,39300000,18100000,17800000,NaN,NaN,73.59550562,157.8651685,425694679.3,262936068.3,74758504.83,65798684.03,55018899.62,62998740.03,24919501.61,NaN,NaN,14.5291666,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,70768,NaN,364246,30511,NaN,NaN,NaN,NaN,153000,17200,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.636967729,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,123.4,2308,394757,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,49000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1968 [YR1968],NaN,NaN,NaN,NaN,NaN,NaN,5740000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.63318195,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,57000000,50200000,43100000,18600000,22800000,NaN,NaN,75.61403509,147.7192982,439744959.8,306670702.9,79798404.03,70278594.43,60338793.22,57538849.22,31919361.61,NaN,NaN,11.22674682,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,59334,NaN,372587,33919,NaN,NaN,NaN,NaN,153000,17200,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.693433704,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,120.8,2339,406506,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,48000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1969 [YR1969],NaN,NaN,NaN,NaN,NaN,NaN,6920000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.89843627,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,75300000,65600000,48900000,20700000,24700000,NaN,NaN,64.94023904,119.123506,476022262.5,340093014,105417891.6,91838163.24,68458630.83,57118857.62,34579308.41,NaN,NaN,10.66005636,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,68499,NaN,381056,37691,NaN,NaN,NaN,NaN,149000,17200,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.74771742,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,118.1,2370,418747,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
