NaN,"Foreign direct investment, net (BoP, current US$)","Net capital account (BoP, current US$)","Net trade in goods and services (BoP, current US$)","Exports of goods and services (BoP, current US$)","Charges for the use of intellectual property, payments (BoP, current US$)","Net secondary income (BoP, current US$)","Grants, excluding technical cooperation (BoP, current US$)","Total reserves (includes gold, current US$)","External debt stocks, long-term (DOD, current US$)",Total debt service (% of GNI),"Debt service on external debt, total (TDS, current US$)","Net financial flows, bilateral (NFL, current US$)","Commercial banks and other lending (PPG + PNG) (NFL, current US$)",Adjusted net national income (current US$),"GNI, Atlas method (current US$)",Exports of goods and services (annual % growth),GDP growth (annual %),GNI growth (annual %),GDP (constant LCU),GNI (constant LCU),Gross national expenditure (constant LCU),Gross domestic income (constant LCU),"Industry (including construction), value added (constant LCU)","Manufacturing, value added (constant LCU)","Services, value added (constant LCU)",GDP (current LCU),GNI (current LCU),Exports of goods and services (current LCU),"Industry (including construction), value added (current LCU)","Services, value added (current LCU)",Gross savings (% of GDP),Gross savings (% of GNI),Exports of goods and services (% of GDP),Trade (% of GDP),Imports of goods and services (constant 2010 US$),Exports of goods and services (constant 2010 US$),GDP (current US$),GNI (current US$),Exports of goods and services (current US$),Imports of goods and services (current US$),"Services, value added (current US$)","Net ODA provided, total (% of GNI)",Net ODA received (% of central government expense),Net ODA received (% of GNI),Net official aid received (current US$),"GDP per capita, PPP (current international $)","GDP per capita, PPP (current international $)","GNI, PPP (current international $)","Households and NPISHs Final consumption expenditure, PPP (current international $)","Gross intake ratio in first grade of primary education, total (% of relevant age group)","Over-age students, primary (% of enrollment)","Persistence to grade 5, total (% of cohort)","Government expenditure on education, total (% of government expenditure)","Compulsory education, duration (years)","Adjusted net enrollment rate, primary (% of primary school age children)","Primary education, pupils",Aquaculture production (metric tons),Cereal production (metric tons),"Plant species (higher), threatened",Rural population,Urban population,Electricity production from coal sources (% of total),Access to electricity (% of population),GDP per unit of energy use (PPP $ per kg of oil equivalent),"Annual freshwater withdrawals, total (% of internal resources)",Arable land (hectares),Land area (sq. km),Urban land area (sq. km),Rural land area (sq. km),Total natural resources rents (% of GDP),"Depositors with commercial banks (per 1,000 adults)",Bank liquid reserves to bank assets ratio (%),"Claims on central government, etc. (% GDP)",Net domestic credit (current LCU),Net foreign assets (current LCU),"Listed domestic companies, total","Stocks traded, total value (current US$)",Consumer price index (2010 = 100),"Inflation, GDP deflator (annual %)",Deposit interest rate (%),Real interest rate (%),Broad money (% of GDP),"Domestic general government health expenditure per capita, PPP (current international $)",Current health expenditure (% of GDP),Current health expenditure per capita (current US$),"External health expenditure per capita, PPP (current international $)","Mortality rate, infant (per 1,000 live births)",Number of infant deaths,"Population, total","ICT service exports (BoP, current US$)","Patent applications, residents","Trademark applications, total",Rail lines (total route-km),Gini index (World Bank estimate),Multidimensional poverty headcount ratio (% of total population),Poverty headcount ratio at national poverty lines (% of population),Start-up procedures to register a business (number),Cost of business start-up procedures (% of GNI per capita),Profit tax (% of commercial profits),Merchandise exports to high-income economies (% of total merchandise exports),Fuel exports (% of merchandise exports),Ores and metals exports (% of merchandise exports),NaN,NaN,NaN,NaN,NaN,Merchandise imports (current US$),Food imports (% of merchandise imports),Fuel imports (% of merchandise imports),Ores and metals imports (% of merchandise imports),"Bound rate, simple mean, all products (%)","Share of tariff lines with international peaks, all products (%)","Binding coverage, all products (%)",Export value index (2000 = 100),"Armed forces personnel, total","Armed forces personnel, total",Military expenditure (% of GDP),"Central government debt, total (% of GDP)",Expense (% of GDP),Tax revenue (% of GDP),Taxes on goods and services (% of revenue),"Revenue, excluding grants (% of GDP)",Social contributions (current LCU),IDA resource allocation index (1=low to 6=high),"Employers, total (% of total employment) (modeled ILO estimate)","Labor force participation rate for ages 15-24, female (%) (national estimate)",Benefit incidence of social protection and labor programs to poorest quintile (% of total SPL benefits),"Unemployment, total (% of total labor force) (modeled ILO estimate)",Increase in poverty gap at $3.20 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),Increase in poverty gap at $1.90 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),Number of people pushed below the $3.20 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure
1960 [YR1960],NaN,NaN,NaN,NaN,NaN,NaN,14710000,55049600,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20726286,1424992,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,49100000,236100000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22151278,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,73.34235453,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1961 [YR1961],NaN,NaN,NaN,NaN,NaN,NaN,20660000,57280450,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4203000,NaN,21163557,1507634,NaN,NaN,NaN,NaN,11000000,1101000,NaN,NaN,NaN,NaN,NaN,NaN,45900000,251100000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22671191,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,77.65957447,NaN,NaN,NaN,NaN,NaN,NaN,NaN,95000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.855877617,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1962 [YR1962],NaN,NaN,NaN,NaN,NaN,NaN,24520000,65001370,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4279000,NaN,21625151,1596238,NaN,NaN,NaN,NaN,11459000,1101000,NaN,NaN,NaN,NaN,NaN,NaN,31100000,293700000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23221389,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,104000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.932190329,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1963 [YR1963],NaN,NaN,NaN,NaN,NaN,NaN,21460000,66080520,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4304000,NaN,22107790,1690640,NaN,NaN,NaN,NaN,11631000,1101000,NaN,NaN,NaN,NaN,NaN,NaN,153300000,320900000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23798430,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,76.30700779,NaN,NaN,NaN,NaN,NaN,NaN,NaN,111000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.428366762,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1964 [YR1964],NaN,NaN,NaN,NaN,NaN,NaN,12320000,61174240,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4453700,NaN,22605793,1791229,NaN,NaN,NaN,NaN,11631000,1101000,NaN,NaN,NaN,NaN,NaN,NaN,203200000,328790000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24397022,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,81.41086749,NaN,NaN,NaN,NaN,NaN,NaN,NaN,123000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.921584479,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1965 [YR1965],NaN,NaN,NaN,NaN,NaN,NaN,15730000,77165920,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4561100,NaN,23115842,1897784,NaN,NaN,NaN,NaN,11995000,1101000,NaN,NaN,NaN,NaN,NaN,NaN,232580000,317140000,NaN,NaN,4.375615524,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25013626,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86.50519031,NaN,NaN,NaN,NaN,NaN,NaN,NaN,150000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.229935251,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1966 [YR1966],NaN,NaN,NaN,NaN,NaN,NaN,4170000,78676090,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4661400,NaN,23630786,2010258,NaN,NaN,NaN,NaN,12070000,1101000,NaN,NaN,NaN,NaN,NaN,NaN,267580000,199645000,NaN,NaN,4.31602543,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,145.5,NaN,25641044,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85.08137432,NaN,NaN,NaN,NaN,NaN,NaN,NaN,162000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.107199084,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1967 [YR1967],NaN,NaN,NaN,NaN,NaN,NaN,2730000,64681200,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4726200,NaN,24151441,2128691,NaN,NaN,NaN,NaN,12150000,1101000,NaN,NaN,NaN,NaN,NaN,NaN,316760000,154015000,NaN,NaN,4.350928199,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,145.3,176316,26280132,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,83.86138614,NaN,NaN,NaN,NaN,NaN,NaN,NaN,143000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.48622497,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1968 [YR1968],NaN,NaN,NaN,NaN,NaN,NaN,3140000,67958900,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4653200,NaN,24718783,2225607,NaN,NaN,NaN,NaN,12250000,1101000,NaN,NaN,NaN,NaN,NaN,NaN,381840000,152950000,NaN,NaN,4.358873545,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,145,180861,26944390,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,83.15889629,NaN,NaN,NaN,NaN,NaN,NaN,NaN,173000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.195616369,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1969 [YR1969],NaN,NaN,NaN,NaN,NaN,NaN,1980000,71858800,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4950400,NaN,25323798,2328911,NaN,NaN,NaN,NaN,12530000,1101000,NaN,NaN,NaN,NaN,NaN,NaN,442510000,159955000,NaN,NaN,4.421017501,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,144.8,185943,27652709,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,82.47035656,NaN,NaN,NaN,NaN,NaN,NaN,NaN,155000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.020664553,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
