NaN,"Foreign direct investment, net (BoP, current US$)","Net capital account (BoP, current US$)","Net trade in goods and services (BoP, current US$)","Exports of goods and services (BoP, current US$)","Charges for the use of intellectual property, payments (BoP, current US$)","Net secondary income (BoP, current US$)","Grants, excluding technical cooperation (BoP, current US$)","Total reserves (includes gold, current US$)","External debt stocks, long-term (DOD, current US$)",Total debt service (% of GNI),"Debt service on external debt, total (TDS, current US$)","Net financial flows, bilateral (NFL, current US$)","Commercial banks and other lending (PPG + PNG) (NFL, current US$)",Adjusted net national income (current US$),"GNI, Atlas method (current US$)",Exports of goods and services (annual % growth),GDP growth (annual %),GNI growth (annual %),GDP (constant LCU),GNI (constant LCU),Gross national expenditure (constant LCU),Gross domestic income (constant LCU),"Industry (including construction), value added (constant LCU)","Manufacturing, value added (constant LCU)","Services, value added (constant LCU)",GDP (current LCU),GNI (current LCU),Exports of goods and services (current LCU),"Industry (including construction), value added (current LCU)","Services, value added (current LCU)",Gross savings (% of GDP),Gross savings (% of GNI),Exports of goods and services (% of GDP),Trade (% of GDP),Imports of goods and services (constant 2010 US$),Exports of goods and services (constant 2010 US$),GDP (current US$),GNI (current US$),Exports of goods and services (current US$),Imports of goods and services (current US$),"Services, value added (current US$)","Net ODA provided, total (% of GNI)",Net ODA received (% of central government expense),Net ODA received (% of GNI),Net official aid received (current US$),"GDP per capita, PPP (current international $)","GDP per capita, PPP (current international $)","GNI, PPP (current international $)","Households and NPISHs Final consumption expenditure, PPP (current international $)","Gross intake ratio in first grade of primary education, total (% of relevant age group)","Over-age students, primary (% of enrollment)","Persistence to grade 5, total (% of cohort)","Government expenditure on education, total (% of government expenditure)","Compulsory education, duration (years)","Adjusted net enrollment rate, primary (% of primary school age children)","Primary education, pupils",Aquaculture production (metric tons),Cereal production (metric tons),"Plant species (higher), threatened",Rural population,Urban population,Electricity production from coal sources (% of total),Access to electricity (% of population),GDP per unit of energy use (PPP $ per kg of oil equivalent),"Annual freshwater withdrawals, total (% of internal resources)",Arable land (hectares),Land area (sq. km),Urban land area (sq. km),Rural land area (sq. km),Total natural resources rents (% of GDP),"Depositors with commercial banks (per 1,000 adults)",Bank liquid reserves to bank assets ratio (%),"Claims on central government, etc. (% GDP)",Net domestic credit (current LCU),Net foreign assets (current LCU),"Listed domestic companies, total","Stocks traded, total value (current US$)",Consumer price index (2010 = 100),"Inflation, GDP deflator (annual %)",Deposit interest rate (%),Real interest rate (%),Broad money (% of GDP),"Domestic general government health expenditure per capita, PPP (current international $)",Current health expenditure (% of GDP),Current health expenditure per capita (current US$),"External health expenditure per capita, PPP (current international $)","Mortality rate, infant (per 1,000 live births)",Number of infant deaths,"Population, total","ICT service exports (BoP, current US$)","Patent applications, residents","Trademark applications, total",Rail lines (total route-km),Gini index (World Bank estimate),Multidimensional poverty headcount ratio (% of total population),Poverty headcount ratio at national poverty lines (% of population),Start-up procedures to register a business (number),Cost of business start-up procedures (% of GNI per capita),Profit tax (% of commercial profits),Merchandise exports to high-income economies (% of total merchandise exports),Fuel exports (% of merchandise exports),Ores and metals exports (% of merchandise exports),Merchandise imports (current US$),Food imports (% of merchandise imports),Fuel imports (% of merchandise imports),Ores and metals imports (% of merchandise imports),"Bound rate, simple mean, all products (%)","Share of tariff lines with international peaks, all products (%)","Binding coverage, all products (%)",Export value index (2000 = 100),"Armed forces personnel, total","Armed forces personnel, total",Military expenditure (% of GDP),"Central government debt, total (% of GDP)",Expense (% of GDP),Tax revenue (% of GDP),Taxes on goods and services (% of revenue),"Revenue, excluding grants (% of GDP)",Social contributions (current LCU),IDA resource allocation index (1=low to 6=high),"Employers, total (% of total employment) (modeled ILO estimate)","Labor force participation rate for ages 15-24, female (%) (national estimate)",Benefit incidence of social protection and labor programs to poorest quintile (% of total SPL benefits),"Unemployment, total (% of total labor force) (modeled ILO estimate)",Increase in poverty gap at $3.20 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),Increase in poverty gap at $1.90 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),Number of people pushed below the $3.20 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure
1960 [YR1960],NaN,NaN,NaN,NaN,NaN,NaN,1080000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1768504022,NaN,NaN,NaN,NaN,NaN,NaN,89200000,85800000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,112328422.1,108046845.5,NaN,NaN,NaN,NaN,NaN,0.999566473,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,276692,116789,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,57.4,1015,393481,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86.32911392,NaN,NaN,41000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1961 [YR1961],NaN,NaN,NaN,NaN,NaN,NaN,970000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.517582004,NaN,1830712601,NaN,NaN,NaN,NaN,NaN,NaN,92900000,89400000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,116987784.9,112580279.6,NaN,NaN,NaN,NaN,NaN,0.897137575,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,23000,NaN,284064,123185,NaN,NaN,NaN,NaN,89000,18270,NaN,NaN,NaN,NaN,NaN,0.83853606,12028000,16355000,NaN,NaN,NaN,0.608978732,NaN,NaN,29.44348762,NaN,NaN,NaN,NaN,55.3,987,407249,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,100,NaN,NaN,43000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1962 [YR1962],NaN,NaN,NaN,NaN,NaN,NaN,4980000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,118865283.5,NaN,3.606102141,NaN,1896729968,NaN,NaN,NaN,NaN,NaN,NaN,97600000,93800000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,122906435,118121143.4,NaN,NaN,NaN,NaN,NaN,9.160087162,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,22695,NaN,291695,129970,NaN,NaN,NaN,NaN,89000,18270,NaN,NaN,NaN,NaN,NaN,0.75204918,10994000,18503000,NaN,NaN,NaN,1.402524826,NaN,NaN,28.27356557,NaN,NaN,NaN,NaN,53.4,957,421665,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,81.86397985,NaN,NaN,44000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1963 [YR1963],NaN,NaN,NaN,NaN,NaN,NaN,4200000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,125007821.9,NaN,6.358771974,NaN,2017338701,NaN,NaN,NaN,NaN,NaN,NaN,102800000,97500000,NaN,23500000,31500000,NaN,NaN,NaN,NaN,NaN,NaN,129454728.6,122780506.2,NaN,NaN,39667548.17,NaN,NaN,3.608064476,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,22217,NaN,299284,137009,NaN,NaN,NaN,NaN,86000,18270,NaN,NaN,NaN,NaN,NaN,1.309338521,11490000,26659000,NaN,NaN,NaN,-0.969269485,NaN,NaN,33.90953307,NaN,NaN,NaN,NaN,51.7,927,436293,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88.64864865,NaN,NaN,51000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1964 [YR1964],NaN,NaN,NaN,NaN,NaN,NaN,3390000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,135673486.2,NaN,4.877280731,NaN,2115729973,NaN,NaN,NaN,NaN,NaN,NaN,111200000,107900000,NaN,26300000,36600000,NaN,NaN,NaN,NaN,NaN,NaN,140032741.5,135877093.6,NaN,NaN,46089913.11,NaN,NaN,2.531699764,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,18424,NaN,306409,144133,NaN,NaN,NaN,NaN,86000,18270,NaN,NaN,NaN,NaN,NaN,2.221223022,13065000,33119000,NaN,NaN,NaN,3.140742658,NaN,NaN,37.38399281,NaN,NaN,NaN,NaN,50.2,898,450542,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86.645469,NaN,NaN,70000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1965 [YR1965],NaN,NaN,NaN,NaN,NaN,NaN,4410000,21820000,NaN,NaN,NaN,NaN,NaN,NaN,135618288.9,NaN,-2.70026696,NaN,2058599616,NaN,NaN,NaN,341970571.5,199925729,685052668.8,116800000,111900000,NaN,26500000,42800000,NaN,NaN,NaN,NaN,NaN,NaN,147084750,140914242.5,NaN,NaN,53897494.02,NaN,NaN,3.094080524,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,14776,NaN,312798,151170,NaN,NaN,NaN,NaN,81000,18270,NaN,NaN,NaN,NaN,NaN,2.319349315,14860000,29681000,NaN,NaN,NaN,7.950934644,NaN,NaN,32.64554795,NaN,NaN,NaN,NaN,48.8,870,463968,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,82.56029685,NaN,NaN,73000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1966 [YR1966],NaN,NaN,NaN,NaN,NaN,NaN,2970000,18040000,NaN,NaN,NaN,NaN,NaN,NaN,145203293.5,NaN,0,NaN,2058599616,NaN,NaN,NaN,385050383,166819838.1,636032869,119700000,116700000,NaN,26900000,47100000,NaN,NaN,NaN,NaN,NaN,NaN,150603925.5,146829391,NaN,NaN,59260191.24,NaN,NaN,2.799167186,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,14796,NaN,318333,158071,NaN,NaN,NaN,NaN,81000,18270,NaN,NaN,NaN,NaN,NaN,2.786967419,16502000,27313000,NaN,NaN,NaN,2.482876712,NaN,NaN,33.94486216,NaN,NaN,NaN,NaN,47.7,844,476404,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,81.35245902,NaN,NaN,64000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.600000381,NaN,NaN,NaN,NaN,NaN
1967 [YR1967],NaN,NaN,NaN,NaN,NaN,NaN,1640000,18370000,NaN,NaN,NaN,NaN,NaN,NaN,166346894.7,NaN,13.35182833,NaN,2333460302,NaN,NaN,NaN,435699496.3,256678914.8,773616011.9,130800000,126600000,NaN,30200000,52400000,NaN,NaN,NaN,NaN,NaN,NaN,162625885.9,157403953.7,NaN,NaN,65149819.72,NaN,NaN,1.797921752,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,17249,NaN,324000,163981,NaN,NaN,NaN,NaN,79000,18270,NaN,NaN,NaN,NaN,NaN,2.147553517,16671000,28547000,NaN,NaN,NaN,-3.598217539,NaN,NaN,32.76681957,NaN,NaN,NaN,NaN,46.7,822,487981,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88.61788618,0,0.743616259,71000000,25.62701998,11.01767893,0.658613318,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1968 [YR1968],NaN,NaN,NaN,NaN,NaN,NaN,2950000,18490000,NaN,NaN,NaN,NaN,NaN,NaN,174028044.8,NaN,7.916221558,NaN,2518182190,NaN,NaN,NaN,478387694.7,267857485.5,806432868.7,145800000,139000000,NaN,33100000,58000000,NaN,NaN,NaN,NaN,NaN,NaN,166952937.1,159166380.4,NaN,NaN,66414748.65,NaN,NaN,3.901577722,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,22240,NaN,329365,169575,NaN,NaN,NaN,NaN,67000,18270,NaN,NaN,NaN,NaN,NaN,2.596707819,21512000,29923000,NaN,NaN,NaN,3.291134826,NaN,NaN,32.32716049,NaN,NaN,NaN,NaN,45.8,804,498940,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87.92756539,0,2.463077248,79000000,22.70896362,10.71584672,0.773947212,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1969 [YR1969],NaN,NaN,NaN,NaN,NaN,NaN,5380000,26810000,NaN,NaN,NaN,NaN,NaN,NaN,177185059.3,NaN,2.596410512,NaN,2583564537,NaN,NaN,NaN,431059378.9,214973955.3,928870234.3,159300000,151400000,NaN,33700000,68000000,NaN,NaN,NaN,NaN,NaN,NaN,182182067.7,173147301,NaN,NaN,77767612.08,NaN,NaN,5.053500661,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,19913,NaN,334514,175190,NaN,NaN,NaN,NaN,67000,18270,NaN,NaN,NaN,NaN,NaN,4.507219083,26635000,40967000,NaN,NaN,8.317706988,6.494231829,NaN,NaN,34.66792216,NaN,NaN,NaN,NaN,45.2,791,509704,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,81.74860171,0,1.353120303,89000000,22.90800969,10.75202364,0.64239622,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
