NaN,"Foreign direct investment, net (BoP, current US$)","Net capital account (BoP, current US$)","Net trade in goods and services (BoP, current US$)","Exports of goods and services (BoP, current US$)","Charges for the use of intellectual property, payments (BoP, current US$)","Net secondary income (BoP, current US$)","Grants, excluding technical cooperation (BoP, current US$)","Total reserves (includes gold, current US$)","External debt stocks, long-term (DOD, current US$)",Total debt service (% of GNI),"Debt service on external debt, total (TDS, current US$)","Net financial flows, bilateral (NFL, current US$)","Commercial banks and other lending (PPG + PNG) (NFL, current US$)",Adjusted net national income (current US$),"GNI, Atlas method (current US$)",Exports of goods and services (annual % growth),GDP growth (annual %),GNI growth (annual %),GDP (constant LCU),GNI (constant LCU),Gross national expenditure (constant LCU),Gross domestic income (constant LCU),"Industry (including construction), value added (constant LCU)","Manufacturing, value added (constant LCU)","Services, value added (constant LCU)",GDP (current LCU),GNI (current LCU),Exports of goods and services (current LCU),"Industry (including construction), value added (current LCU)","Services, value added (current LCU)",Gross savings (% of GDP),Gross savings (% of GNI),Exports of goods and services (% of GDP),Trade (% of GDP),Imports of goods and services (constant 2010 US$),Exports of goods and services (constant 2010 US$),GDP (current US$),GNI (current US$),Exports of goods and services (current US$),Imports of goods and services (current US$),"Services, value added (current US$)","Net ODA provided, total (% of GNI)",Net ODA received (% of central government expense),Net ODA received (% of GNI),Net official aid received (current US$),"GDP per capita, PPP (current international $)","GDP per capita, PPP (current international $)","GNI, PPP (current international $)","Households and NPISHs Final consumption expenditure, PPP (current international $)","Gross intake ratio in first grade of primary education, total (% of relevant age group)","Over-age students, primary (% of enrollment)","Persistence to grade 5, total (% of cohort)","Government expenditure on education, total (% of government expenditure)","Compulsory education, duration (years)","Adjusted net enrollment rate, primary (% of primary school age children)","Primary education, pupils",Aquaculture production (metric tons),Cereal production (metric tons),"Plant species (higher), threatened",Rural population,Urban population,Electricity production from coal sources (% of total),Access to electricity (% of population),GDP per unit of energy use (PPP $ per kg of oil equivalent),"Annual freshwater withdrawals, total (% of internal resources)",Arable land (hectares),Land area (sq. km),Urban land area (sq. km),Rural land area (sq. km),Total natural resources rents (% of GDP),"Depositors with commercial banks (per 1,000 adults)",Bank liquid reserves to bank assets ratio (%),"Claims on central government, etc. (% GDP)",Net domestic credit (current LCU),Net foreign assets (current LCU),"Listed domestic companies, total","Stocks traded, total value (current US$)",Consumer price index (2010 = 100),"Inflation, GDP deflator (annual %)",Deposit interest rate (%),Real interest rate (%),Broad money (% of GDP),"Domestic general government health expenditure per capita, PPP (current international $)",Current health expenditure (% of GDP),Current health expenditure per capita (current US$),"External health expenditure per capita, PPP (current international $)","Mortality rate, infant (per 1,000 live births)",Number of infant deaths,"Population, total","ICT service exports (BoP, current US$)","Patent applications, residents","Trademark applications, total",Rail lines (total route-km),Gini index (World Bank estimate),Multidimensional poverty headcount ratio (% of total population),Poverty headcount ratio at national poverty lines (% of population),Start-up procedures to register a business (number),Cost of business start-up procedures (% of GNI per capita),Profit tax (% of commercial profits),Merchandise exports to high-income economies (% of total merchandise exports),Fuel exports (% of merchandise exports),Ores and metals exports (% of merchandise exports),Merchandise imports (current US$),Food imports (% of merchandise imports),Fuel imports (% of merchandise imports),Ores and metals imports (% of merchandise imports),"Bound rate, simple mean, all products (%)","Share of tariff lines with international peaks, all products (%)","Binding coverage, all products (%)",Export value index (2000 = 100),"Armed forces personnel, total","Armed forces personnel, total",Military expenditure (% of GDP),"Central government debt, total (% of GDP)",Expense (% of GDP),Tax revenue (% of GDP),Taxes on goods and services (% of revenue),"Revenue, excluding grants (% of GDP)",Social contributions (current LCU),IDA resource allocation index (1=low to 6=high),"Employers, total (% of total employment) (modeled ILO estimate)","Labor force participation rate for ages 15-24, female (%) (national estimate)",Benefit incidence of social protection and labor programs to poorest quintile (% of total SPL benefits),"Unemployment, total (% of total labor force) (modeled ILO estimate)",Increase in poverty gap at $3.20 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),Increase in poverty gap at $1.90 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),Number of people pushed below the $3.20 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure
1960 [YR1960],NaN,NaN,NaN,NaN,NaN,NaN,NaN,327964400,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,45614493247,NaN,NaN,NaN,NaN,NaN,NaN,2811619072,2810801408,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5224102196,5222582943,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,1980489,2449145,29.68041836,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.136875458,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.9,1821,4429634,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,69.97267483,NaN,NaN,1064000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.769041048,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50.36999893,NaN,NaN,NaN,NaN,NaN
1961 [YR1961],NaN,NaN,NaN,NaN,NaN,NaN,NaN,342971000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.604670479,NaN,49083325149,NaN,NaN,NaN,NaN,NaN,NaN,3187045376,3184137984,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5921659485,5916257433,NaN,NaN,NaN,0.035,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,1939548,NaN,1948522,2512483,17.25883477,NaN,NaN,NaN,2664700,304590,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.274470178,5.341778022,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.6,1703,4461005,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,72.60208927,NaN,NaN,1154000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.83618152,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1962 [YR1962],NaN,NaN,NaN,NaN,NaN,NaN,NaN,304091800,NaN,NaN,NaN,NaN,NaN,NaN,6166011017,NaN,2.981945536,NaN,50546963172,NaN,NaN,NaN,NaN,NaN,NaN,3412509440,3406088960,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6340580854,6328651342,NaN,NaN,NaN,0.037,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,1444361,NaN,1924044,2567399,11.52720386,NaN,NaN,NaN,2679100,304590,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.637221526,3.973944989,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.4,1596,4491443,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,69.45325959,NaN,NaN,1228000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.513178309,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1963 [YR1963],NaN,NaN,NaN,NaN,NaN,NaN,NaN,337893480,NaN,NaN,NaN,NaN,NaN,NaN,6659535608,NaN,3.285099636,NaN,52207481275,NaN,NaN,NaN,NaN,NaN,NaN,3706011904,3695129088,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6885920329,6865699615,NaN,NaN,NaN,0.044,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,1900700,NaN,1899880,2623429,19.0359408,NaN,NaN,NaN,2695500,304590,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.068770098,5.146610108,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18.4,1495,4523309,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,70.78690808,0.048050299,2.456420038,1208000000,15.60927278,9.99347998,3.720349266,NaN,NaN,NaN,NaN,NaN,NaN,1.927141787,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1964 [YR1964],NaN,NaN,NaN,NaN,NaN,NaN,NaN,384130412.3,NaN,NaN,NaN,NaN,NaN,NaN,7377415819,NaN,5.238686598,NaN,54942467600,NaN,NaN,NaN,NaN,NaN,NaN,4180024576,4164406784,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7766655086,7737636595,NaN,NaN,NaN,0.035,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,1778500,NaN,1872544,2675999,21.81105449,NaN,NaN,NaN,2709600,304590,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.00066428,7.17576839,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17.4,1398,4548543,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,75.67274137,0.048728027,2.951571462,1505000000,12.51029251,10.5972814,3.880173353,NaN,NaN,NaN,NaN,NaN,NaN,1.859273032,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1965 [YR1965],NaN,NaN,NaN,NaN,NaN,NaN,NaN,289463318.6,NaN,NaN,NaN,NaN,NaN,NaN,8275717549,NaN,5.302857802,NaN,57855988530,NaN,NaN,NaN,NaN,NaN,NaN,4622794752,4602921984,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8589340019,8552415611,NaN,NaN,NaN,0.025,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50,2270902,NaN,1841101,2722631,20.91235632,NaN,NaN,NaN,2720500,304590,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.49475591,5.02328994,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.5,1305,4563732,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,72.60677467,0.043085823,3.089863389,1646000000,10.37158234,9.678966408,5.050096801,NaN,NaN,NaN,NaN,NaN,NaN,1.797340383,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1966 [YR1966],NaN,NaN,NaN,NaN,NaN,NaN,NaN,188909152.8,NaN,NaN,NaN,NaN,NaN,NaN,9012167272,NaN,2.372823015,NaN,59228808742,NaN,NaN,NaN,NaN,NaN,NaN,4956040704,4932798976,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9208524505,9165340432,NaN,NaN,NaN,0.039,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,190,2015406,NaN,1810359,2770510,20.13101537,NaN,NaN,NaN,2733400,304590,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.90128644,4.723843626,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.8,1214,4580869,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,73.72965792,0.091885879,3.976568778,1726000000,11.09880386,10.42471735,5.391618163,NaN,NaN,NaN,NaN,NaN,NaN,1.713951314,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1967 [YR1967],NaN,NaN,NaN,NaN,NaN,NaN,NaN,184204841.9,NaN,NaN,NaN,NaN,NaN,NaN,9488694557,NaN,2.168828883,NaN,60513380253,NaN,NaN,NaN,NaN,NaN,NaN,5436308992,5402779136,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9368954010,9311168539,NaN,NaN,NaN,0.047,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,390,2350567,NaN,1782653,2823091,19.20047733,NaN,NaN,NaN,2742400,304590,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.48753385,7.362064371,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.1,1125,4605744,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,71.63536776,0.415920999,3.415777196,1676000000,11.23211112,11.25107532,4.69108849,NaN,NaN,NaN,NaN,NaN,NaN,1.615521153,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1968 [YR1968],NaN,NaN,NaN,NaN,NaN,NaN,NaN,346987405.3,NaN,NaN,NaN,NaN,NaN,NaN,9646755513,NaN,2.303289984,NaN,61907178879,NaN,NaN,NaN,NaN,NaN,NaN,6232452096,6187687936,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8823033880,8759663044,NaN,NaN,NaN,0.057,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,600,2481600,NaN,1753154,2873315,23.84770663,NaN,NaN,NaN,2745100,304590,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.54342982,12.06376651,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.4,1041,4626469,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,74.2598483,0.290342491,3.565783602,1592000000,10.94965658,13.03310774,4.915358709,NaN,NaN,NaN,NaN,NaN,NaN,1.7550744,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1969 [YR1969],NaN,NaN,NaN,NaN,NaN,NaN,NaN,327209700.2,NaN,NaN,NaN,NaN,NaN,NaN,10474257505,NaN,9.593287785,NaN,67846112708,NaN,NaN,NaN,NaN,NaN,NaN,7113830912,7059502080,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10070766721,9993855560,NaN,NaN,NaN,0.144,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,800,2645000,NaN,1715054,2908731,33.3750438,NaN,NaN,NaN,2611500,304590,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.82008908,4.150325901,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.8,960,4623785,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,75.55356451,0.589002606,3.654163098,2025000000,9.964748568,11.3263823,4.937857694,NaN,NaN,NaN,NaN,NaN,NaN,1.437477698,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
