NaN,"Foreign direct investment, net (BoP, current US$)","Net capital account (BoP, current US$)","Net trade in goods and services (BoP, current US$)","Exports of goods and services (BoP, current US$)","Charges for the use of intellectual property, payments (BoP, current US$)","Net secondary income (BoP, current US$)","Grants, excluding technical cooperation (BoP, current US$)","Total reserves (includes gold, current US$)","External debt stocks, long-term (DOD, current US$)",Total debt service (% of GNI),"Debt service on external debt, total (TDS, current US$)","Net financial flows, bilateral (NFL, current US$)","Commercial banks and other lending (PPG + PNG) (NFL, current US$)",Adjusted net national income (current US$),"GNI, Atlas method (current US$)",Exports of goods and services (annual % growth),GDP growth (annual %),GNI growth (annual %),GDP (constant LCU),GNI (constant LCU),Gross national expenditure (constant LCU),Gross domestic income (constant LCU),"Industry (including construction), value added (constant LCU)","Manufacturing, value added (constant LCU)","Services, value added (constant LCU)",GDP (current LCU),GNI (current LCU),Exports of goods and services (current LCU),"Industry (including construction), value added (current LCU)","Services, value added (current LCU)",Gross savings (% of GDP),Gross savings (% of GNI),Exports of goods and services (% of GDP),Trade (% of GDP),Imports of goods and services (constant 2010 US$),Exports of goods and services (constant 2010 US$),GDP (current US$),GNI (current US$),Exports of goods and services (current US$),Imports of goods and services (current US$),"Services, value added (current US$)","Net ODA provided, total (% of GNI)",Net ODA received (% of central government expense),Net ODA received (% of GNI),Net official aid received (current US$),"GDP per capita, PPP (current international $)","GDP per capita, PPP (current international $)","GNI, PPP (current international $)","Households and NPISHs Final consumption expenditure, PPP (current international $)","Gross intake ratio in first grade of primary education, total (% of relevant age group)","Over-age students, primary (% of enrollment)","Persistence to grade 5, total (% of cohort)","Government expenditure on education, total (% of government expenditure)","Compulsory education, duration (years)","Adjusted net enrollment rate, primary (% of primary school age children)","Primary education, pupils",Aquaculture production (metric tons),Cereal production (metric tons),"Plant species (higher), threatened",Rural population,Urban population,Electricity production from coal sources (% of total),Access to electricity (% of population),GDP per unit of energy use (PPP $ per kg of oil equivalent),"Annual freshwater withdrawals, total (% of internal resources)",Arable land (hectares),Land area (sq. km),Urban land area (sq. km),Rural land area (sq. km),Total natural resources rents (% of GDP),"Depositors with commercial banks (per 1,000 adults)",Bank liquid reserves to bank assets ratio (%),"Claims on central government, etc. (% GDP)",Net domestic credit (current LCU),Net foreign assets (current LCU),"Listed domestic companies, total","Stocks traded, total value (current US$)",Consumer price index (2010 = 100),"Inflation, GDP deflator (annual %)",Deposit interest rate (%),Real interest rate (%),Broad money (% of GDP),"Domestic general government health expenditure per capita, PPP (current international $)",Current health expenditure (% of GDP),Current health expenditure per capita (current US$),"External health expenditure per capita, PPP (current international $)","Mortality rate, infant (per 1,000 live births)",Number of infant deaths,"Population, total","ICT service exports (BoP, current US$)","Patent applications, residents","Trademark applications, total",Rail lines (total route-km),Gini index (World Bank estimate),Multidimensional poverty headcount ratio (% of total population),Poverty headcount ratio at national poverty lines (% of population),Start-up procedures to register a business (number),Cost of business start-up procedures (% of GNI per capita),Profit tax (% of commercial profits),Merchandise exports to high-income economies (% of total merchandise exports),Fuel exports (% of merchandise exports),Ores and metals exports (% of merchandise exports),Merchandise imports (current US$),Food imports (% of merchandise imports),Fuel imports (% of merchandise imports),Ores and metals imports (% of merchandise imports),"Bound rate, simple mean, all products (%)","Share of tariff lines with international peaks, all products (%)","Binding coverage, all products (%)",Export value index (2000 = 100),"Armed forces personnel, total","Armed forces personnel, total",Military expenditure (% of GDP),"Central government debt, total (% of GDP)",Expense (% of GDP),Tax revenue (% of GDP),Taxes on goods and services (% of revenue),"Revenue, excluding grants (% of GDP)",Social contributions (current LCU),IDA resource allocation index (1=low to 6=high),"Employers, total (% of total employment) (modeled ILO estimate)","Labor force participation rate for ages 15-24, female (%) (national estimate)",Benefit incidence of social protection and labor programs to poorest quintile (% of total SPL benefits),"Unemployment, total (% of total labor force) (modeled ILO estimate)",Increase in poverty gap at $3.20 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),Increase in poverty gap at $1.90 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),Number of people pushed below the $3.20 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure
1960 [YR1960],NaN,NaN,NaN,NaN,NaN,NaN,NaN,2300194000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.69632E+11,NaN,4.66864E+11,4.72515E+11,1.08498E+11,51734576100,2.96676E+11,46834000000,47107000000,6938000000,14179000000,21960000000,NaN,NaN,14.814024,27.19391895,38010638038,40565411590,62225478001,62588196442,9218097245,7703448807,NaN,1.348,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,111100,NaN,NaN,17772180,28849489,36.46864467,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.43359341,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.7,19640,46621669,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50.77141757,NaN,NaN,6282000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.428485885,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1961 [YR1961],NaN,NaN,NaN,NaN,NaN,NaN,NaN,3374550000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.313674071,4.980111849,NaN,4.93021E+11,NaN,4.91609E+11,4.96129E+11,1.1711E+11,54786337700,3.08975E+11,50775000000,51047000000,7317000000,15571000000,24347000000,NaN,NaN,14.41063516,26.67454456,40845385840,42720925347,67461644222,67823034025,9721651418,8273434930,NaN,1.358,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,116700,20802475,NaN,17664656,29575887,40.03429973,NaN,NaN,NaN,19606000,547566,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.68404776,3.27177684,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.4,18814,47240543,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,54.85456722,NaN,NaN,6683000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.295607539,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1962 [YR1962],NaN,NaN,NaN,NaN,NaN,NaN,NaN,4053563700,NaN,NaN,NaN,NaN,NaN,NaN,74257719232,1.166206949,6.843469985,NaN,5.2676E+11,NaN,5.29274E+11,5.2964E+11,1.24887E+11,58597946700,3.28274E+11,56906000000,57316000000,7497000000,17064000000,27250000000,NaN,NaN,13.17435771,25.13443222,43765648394,43219139747,75607529810,76152271792,9960806435,9042716900,NaN,1.271,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,106900,25305105,NaN,17490550,30414327,44.77706129,NaN,NaN,NaN,19530000,547566,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.25364427,4.896293611,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.3,18066,47904877,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,59.94879247,3.776152865,4.762338372,7378000000,23.01163316,15.42227641,7.05983699,NaN,NaN,NaN,NaN,NaN,NaN,5.15887135,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,47.18999863,NaN,NaN,NaN,NaN,NaN
1963 [YR1963],NaN,NaN,NaN,NaN,NaN,NaN,NaN,4914646800,NaN,NaN,NaN,NaN,NaN,NaN,82402900008,8.389390941,6.233679952,NaN,5.59597E+11,NaN,5.65018E+11,5.62711E+11,1.3407E+11,64371549700,3.46618E+11,63794000000,64291000000,8247000000,18927000000,31251000000,NaN,NaN,12.92754805,25.15910587,49431315201,46844962342,84759195106,85419528679,10957285670,10367369963,NaN,0.983,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,110000,25367307,NaN,17148690,31433921,38.21049209,NaN,NaN,NaN,19455000,547566,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.81623115,5.526017589,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.3,17348,48582611,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,61.24820226,3.669093788,4.475193641,8744000000,20.85970118,16.53795194,6.542044891,NaN,NaN,NaN,NaN,NaN,NaN,4.740085717,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1964 [YR1964],NaN,NaN,NaN,NaN,NaN,NaN,NaN,5736854800,NaN,NaN,NaN,NaN,NaN,NaN,92046177890,8.28685494,6.652099508,NaN,5.96822E+11,NaN,6.06249E+11,6.01126E+11,1.47181E+11,68418226800,3.64503E+11,70755000000,71278000000,9265000000,21345000000,34773000000,NaN,NaN,13.09448096,26.00522931,56980857665,50726936418,94007851047,94702729234,12309840152,12137117085,NaN,0.895,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,98220,26050470,NaN,16788618,32441977,45.94646601,NaN,NaN,NaN,19078000,547566,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.19567298,3.993906352,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.3,16639,49230595,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,62.72389628,3.425113178,4.656254688,10101000000,20.54117714,15.14342022,7.255104894,NaN,NaN,NaN,NaN,NaN,NaN,4.540250267,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1965 [YR1965],NaN,NaN,NaN,NaN,NaN,NaN,NaN,6359615200,NaN,NaN,NaN,NaN,NaN,NaN,1.01291E+11,10.80617049,4.861507696,NaN,6.25836E+11,NaN,6.29339E+11,6.30586E+11,1.56881E+11,72603058000,3.80078E+11,76422000000,76961000000,10370000000,23142000000,37808000000,NaN,NaN,13.56939101,25.95456806,58424396511,56208575654,1.01537E+11,1.02253E+11,13777986225,12575567948,NaN,0.758,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,111650,29130754,NaN,16404578,33413450,40.35884581,NaN,NaN,NaN,18796000,547566,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.52533478,3.001883471,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18.5,15949,49818028,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,64.45008374,3.240699729,5.083669019,10384000000,19.94362059,15.47713715,7.695250073,NaN,NaN,NaN,NaN,NaN,NaN,4.395319514,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1966 [YR1966],NaN,NaN,NaN,NaN,NaN,NaN,NaN,6761305400,NaN,NaN,NaN,NaN,NaN,NaN,1.10847E+11,6.913209035,5.251837046,NaN,6.58704E+11,NaN,6.65032E+11,6.6355E+11,1.66113E+11,77893121800,3.98949E+11,82826000000,83347000000,11259000000,24895000000,41378000000,NaN,NaN,13.59355758,26.58343998,65107305188,60094391985,1.10046E+11,1.10738E+11,14959146279,14294826788,NaN,0.691,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,102700,26737646,NaN,15992441,34337821,38.16700207,NaN,NaN,NaN,18463000,547566,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.85124408,2.971871055,3,NaN,NaN,NaN,NaN,NaN,NaN,17.7,15289,50330262,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,65.00602539,3.40526764,5.075496962,11859000000,18.81079468,13.54814023,8.823972869,NaN,NaN,NaN,NaN,NaN,NaN,4.290103274,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1967 [YR1967],NaN,NaN,NaN,NaN,NaN,NaN,NaN,7023698000,NaN,NaN,NaN,NaN,NaN,NaN,1.19951E+11,7.472134052,4.921148915,NaN,6.9112E+11,NaN,6.99487E+11,6.96544E+11,1.74277E+11,80602591200,4.19318E+11,89545000000,90114000000,12079000000,26606000000,45359000000,NaN,NaN,13.48930705,26.60673404,71480063450,64584725512,1.18973E+11,1.19729E+11,16048630242,15606193462,NaN,0.709,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,115255,32345675,NaN,15559227,35216567,42.6843249,NaN,NaN,NaN,18076000,547566,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.21002217,3.041367839,3,NaN,NaN,NaN,NaN,NaN,NaN,17.1,14671,50775794,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,65.09276687,3.053839507,4.84928221,12443000000,17.37262344,14.5075284,7.426221128,NaN,NaN,NaN,NaN,NaN,NaN,4.295245947,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1968 [YR1968],NaN,NaN,NaN,NaN,NaN,NaN,NaN,4965133000,NaN,NaN,NaN,NaN,NaN,NaN,1.30916E+11,10.47454719,4.491308886,NaN,7.2216E+11,NaN,7.31872E+11,7.28037E+11,1.79956E+11,85389526700,4.48126E+11,97683000000,98164000000,13242000000,28653000000,51039000000,NaN,NaN,13.55609471,26.94532314,80057058430,71349683064,1.29785E+11,1.30425E+11,17593837376,17377269223,NaN,0.669,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,108610,33237542,NaN,15230855,35944653,40.76624809,NaN,NaN,NaN,17579000,547566,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.81018054,4.399274086,3,NaN,NaN,NaN,NaN,NaN,NaN,16.4,14086,51175508,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,64.91092984,2.567675804,4.932510921,14019000000,15.58083019,13.65801886,7.677601338,NaN,NaN,NaN,NaN,NaN,NaN,4.136846038,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,45.93999863,NaN,NaN,NaN,NaN,NaN
1969 [YR1969],NaN,NaN,NaN,NaN,NaN,NaN,NaN,3853168000,NaN,NaN,NaN,NaN,NaN,NaN,1.45298E+11,15.48223817,7.109475345,NaN,7.73502E+11,NaN,7.87875E+11,7.80413E+11,1.92756E+11,93238533800,4.79074E+11,1.12366E+11,1.12745E+11,16065000000,32354000000,58662000000,NaN,NaN,14.29702935,28.99275582,96380151997,82396210933,1.41903E+11,1.42382E+11,20287923379,20853686819,NaN,0.674,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,104725,33115628,NaN,15134430,36427406,38.47468723,NaN,NaN,NaN,17565000,547566,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.64513893,7.395983654,3.791666667,NaN,NaN,NaN,NaN,NaN,NaN,15.8,13481,51561836,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,66.04471407,2.329571533,4.314154859,17371000000,14.96110698,11.40400186,8.060486758,NaN,NaN,NaN,NaN,NaN,NaN,3.679751727,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
