NaN,"Foreign direct investment, net (BoP, current US$)","Net capital account (BoP, current US$)","Net trade in goods and services (BoP, current US$)","Exports of goods and services (BoP, current US$)","Charges for the use of intellectual property, payments (BoP, current US$)","Net secondary income (BoP, current US$)","Grants, excluding technical cooperation (BoP, current US$)","Total reserves (includes gold, current US$)","External debt stocks, long-term (DOD, current US$)",Total debt service (% of GNI),"Debt service on external debt, total (TDS, current US$)","Net financial flows, bilateral (NFL, current US$)","Commercial banks and other lending (PPG + PNG) (NFL, current US$)",Adjusted net national income (current US$),"GNI, Atlas method (current US$)",Exports of goods and services (annual % growth),GDP growth (annual %),GNI growth (annual %),GDP (constant LCU),GNI (constant LCU),Gross national expenditure (constant LCU),Gross domestic income (constant LCU),"Industry (including construction), value added (constant LCU)","Manufacturing, value added (constant LCU)","Services, value added (constant LCU)",GDP (current LCU),GNI (current LCU),Exports of goods and services (current LCU),"Industry (including construction), value added (current LCU)","Services, value added (current LCU)",Gross savings (% of GDP),Gross savings (% of GNI),Exports of goods and services (% of GDP),Trade (% of GDP),Imports of goods and services (constant 2010 US$),Exports of goods and services (constant 2010 US$),GDP (current US$),GNI (current US$),Exports of goods and services (current US$),Imports of goods and services (current US$),"Services, value added (current US$)","Net ODA provided, total (% of GNI)",Net ODA received (% of central government expense),Net ODA received (% of GNI),Net official aid received (current US$),"GDP per capita, PPP (current international $)","GDP per capita, PPP (current international $)","GNI, PPP (current international $)","Households and NPISHs Final consumption expenditure, PPP (current international $)","Gross intake ratio in first grade of primary education, total (% of relevant age group)","Over-age students, primary (% of enrollment)","Persistence to grade 5, total (% of cohort)","Government expenditure on education, total (% of government expenditure)","Compulsory education, duration (years)","Adjusted net enrollment rate, primary (% of primary school age children)","Primary education, pupils",Aquaculture production (metric tons),Cereal production (metric tons),"Plant species (higher), threatened",Rural population,Urban population,Electricity production from coal sources (% of total),Access to electricity (% of population),GDP per unit of energy use (PPP $ per kg of oil equivalent),"Annual freshwater withdrawals, total (% of internal resources)",Arable land (hectares),Land area (sq. km),Urban land area (sq. km),Rural land area (sq. km),Total natural resources rents (% of GDP),"Depositors with commercial banks (per 1,000 adults)",Bank liquid reserves to bank assets ratio (%),"Claims on central government, etc. (% GDP)",Net domestic credit (current LCU),Net foreign assets (current LCU),"Listed domestic companies, total","Stocks traded, total value (current US$)",Consumer price index (2010 = 100),"Inflation, GDP deflator (annual %)",Deposit interest rate (%),Real interest rate (%),Broad money (% of GDP),"Domestic general government health expenditure per capita, PPP (current international $)",Current health expenditure (% of GDP),Current health expenditure per capita (current US$),"External health expenditure per capita, PPP (current international $)","Mortality rate, infant (per 1,000 live births)",Number of infant deaths,"Population, total","ICT service exports (BoP, current US$)","Patent applications, residents","Trademark applications, total",Rail lines (total route-km),Gini index (World Bank estimate),Multidimensional poverty headcount ratio (% of total population),Poverty headcount ratio at national poverty lines (% of population),Start-up procedures to register a business (number),Cost of business start-up procedures (% of GNI per capita),Profit tax (% of commercial profits),Merchandise exports to high-income economies (% of total merchandise exports),Fuel exports (% of merchandise exports),Ores and metals exports (% of merchandise exports),Merchandise imports (current US$),Food imports (% of merchandise imports),Fuel imports (% of merchandise imports),Ores and metals imports (% of merchandise imports),"Bound rate, simple mean, all products (%)","Share of tariff lines with international peaks, all products (%)","Binding coverage, all products (%)",Export value index (2000 = 100),"Armed forces personnel, total","Armed forces personnel, total",Military expenditure (% of GDP),"Central government debt, total (% of GDP)",Expense (% of GDP),Tax revenue (% of GDP),Taxes on goods and services (% of revenue),"Revenue, excluding grants (% of GDP)",Social contributions (current LCU),IDA resource allocation index (1=low to 6=high),"Employers, total (% of total employment) (modeled ILO estimate)","Labor force participation rate for ages 15-24, female (%) (national estimate)",Benefit incidence of social protection and labor programs to poorest quintile (% of total SPL benefits),"Unemployment, total (% of total labor force) (modeled ILO estimate)",Increase in poverty gap at $3.20 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),Increase in poverty gap at $1.90 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),Number of people pushed below the $3.20 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure
1960 [YR1960],NaN,NaN,NaN,NaN,NaN,NaN,0,9500000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.30664E+11,NaN,5.60304E+11,5.82373E+11,NaN,NaN,NaN,34687500300,33050812400,11853061100,11765161000,11757633500,NaN,NaN,34.17098666,66.79819618,263140345,694281785.6,141468977.6,134793934.3,48341345.45,46157379.72,47952154.97,NaN,NaN,0.014837463,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,413777,87151,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.317117114,2740000000,3020000000,NaN,NaN,NaN,NaN,NaN,NaN,15.56756743,NaN,NaN,NaN,NaN,NaN,NaN,500928,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89.74895397,NaN,NaN,32000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1961 [YR1961],NaN,NaN,NaN,NaN,NaN,NaN,0,10700000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.264464241,14.76684319,NaN,7.23793E+11,NaN,6.63039E+11,6.71512E+11,NaN,NaN,NaN,41114890200,39004065800,12832653300,12978064400,13659514800,NaN,NaN,31.21169298,62.87450501,302679565.8,751660455.5,167637907.4,159031434.6,52322628.98,53078875.5,55693994.7,NaN,NaN,0.352131642,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9285,NaN,413086,92713,NaN,NaN,NaN,NaN,90000,257670,NaN,NaN,NaN,NaN,NaN,-0.656696391,4140000000,2640000000,NaN,NaN,NaN,3.278445998,NaN,NaN,15.17698325,NaN,NaN,NaN,NaN,NaN,NaN,505799,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89.3115942,NaN,NaN,36000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1962 [YR1962],NaN,NaN,NaN,NaN,NaN,NaN,20000,11250000,NaN,NaN,NaN,NaN,NaN,NaN,170841076,10.68701757,7.449211597,NaN,7.7771E+11,NaN,6.95516E+11,7.19841E+11,NaN,NaN,NaN,44787683300,41980690400,14204081200,13705806800,15009607700,NaN,NaN,31.71425748,62.48265715,320404025.6,831990540.5,182796536.5,171340070.3,57972564.25,56243568.93,61260241.65,NaN,NaN,1.540795507,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9053,NaN,411105,100182,NaN,NaN,NaN,NaN,100000,257670,NaN,NaN,NaN,NaN,NaN,-0.379568639,5460000000,2650000000,NaN,NaN,9.317640118,1.380920604,NaN,NaN,16.45541688,NaN,NaN,NaN,NaN,NaN,NaN,511287,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89.93174061,17.44068617,17.64802083,41000000,21.67611419,5.34765126,0.772503685,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1963 [YR1963],NaN,NaN,NaN,NaN,NaN,NaN,1010000,7660000,NaN,NaN,NaN,NaN,NaN,NaN,212043824.9,25.51724894,6.092435284,NaN,8.25091E+11,NaN,7.19438E+11,7.52456E+11,NaN,NaN,NaN,37850185700,44444106800,17828571100,14433548300,6730923000,NaN,NaN,47.10299506,92.49665716,399482467.2,1044291638,154480244.2,181392411.9,72764821.81,70124240.08,27471321.73,NaN,NaN,2.238241336,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9173,NaN,409287,108293,NaN,NaN,NaN,NaN,110000,257670,NaN,NaN,NaN,NaN,NaN,1.505937129,8240000000,480000000,NaN,NaN,9.984627856,-20.34280717,NaN,NaN,21.26805946,NaN,NaN,NaN,NaN,NaN,NaN,517580,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89.91825613,14.51283215,28.62688152,48000000,18.32625652,5.577205199,0.697221044,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1964 [YR1964],NaN,NaN,NaN,NaN,NaN,NaN,8730000,9293000,NaN,NaN,NaN,NaN,NaN,NaN,176613129,24.17582283,4.554453634,NaN,8.6267E+11,NaN,7.16134E+11,7.72474E+11,NaN,NaN,NaN,52847427600,48241868800,22138775600,16252903400,20644943900,NaN,NaN,41.89186987,77.84335145,441748541.7,1296757734,215679855.3,196883741.6,90352324.31,77540103.44,84255728.51,NaN,NaN,7.547601206,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9397,NaN,407749,117146,NaN,NaN,NaN,NaN,120000,257670,NaN,NaN,NaN,NaN,NaN,2.800514741,9920000000,-40000000,NaN,NaN,10.31695702,33.54059317,NaN,NaN,16.33002852,NaN,NaN,NaN,NaN,NaN,NaN,524895,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,92.29144667,14.07027535,30.77026212,56000000,18.12000583,5.452093244,0.784150818,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1965 [YR1965],NaN,NaN,NaN,NaN,NaN,NaN,7770000,17633000,NaN,NaN,NaN,NaN,NaN,NaN,194223375,8.407078219,8.33333566,NaN,9.34559E+11,NaN,7.66129E+11,8.36781E+11,NaN,NaN,NaN,55500000000,50500000000,24000000000,18800000000,22100000000,NaN,NaN,43.24324324,80.54054054,481287762.5,1405777171,226474285.6,206071196.8,97934826.2,84468787.6,90181652.46,NaN,NaN,6.318204902,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9417,NaN,406554,126807,NaN,NaN,NaN,NaN,130000,257670,NaN,NaN,NaN,NaN,NaN,1.459459459,8550000000,2450000000,NaN,NaN,10.5685333,-3.059107213,NaN,NaN,16.57657658,NaN,NaN,NaN,NaN,NaN,NaN,533361,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90.57142857,15.33946658,36.9766339,62000000,15.95946295,4.994450038,1.093115723,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1966 [YR1966],NaN,NaN,NaN,NaN,NaN,NaN,2210000,11563000,NaN,NaN,NaN,NaN,NaN,NaN,228929496.4,-3.616653204,4.508004567,NaN,9.76689E+11,NaN,8.37662E+11,8.80835E+11,NaN,NaN,NaN,60399990000,55399990000,24000000000,21100010000,24099980000,NaN,NaN,39.73510592,79.30463234,532145910.4,1354935086,245849781.7,225497975.2,97688671.16,97281594.33,98095625.88,NaN,NaN,5.977880524,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8850,NaN,405721,137391,NaN,NaN,NaN,NaN,140000,257670,NaN,NaN,NaN,NaN,NaN,3.062914414,10590000000,765000000,NaN,NaN,10.95366243,4.134426126,NaN,NaN,14.93377731,NaN,NaN,NaN,NaN,NaN,NaN,543112,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90.16881827,15.67209404,40.14252963,66000000,15.27149161,5.508713193,0.867048889,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1967 [YR1967],NaN,NaN,NaN,NaN,NaN,NaN,6770000,9433000,NaN,NaN,NaN,NaN,NaN,NaN,241325786,28.79843012,4.115152854,NaN,1.01688E+12,NaN,8.47275E+11,8.86511E+11,NaN,NaN,NaN,66800000000,60600000000,32100010000,25300000000,25399990000,NaN,NaN,48.05390719,96.10781437,673425934.1,1745135120,271543680.3,246340524.3,130487348.1,130487348.1,103251598.3,NaN,NaN,6.089132124,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8862,NaN,405111,148948,NaN,NaN,NaN,NaN,150000,257670,NaN,NaN,NaN,NaN,NaN,1.27245509,10330000000,2006000000,NaN,NaN,11.17029756,6.224734603,NaN,NaN,14.20658683,NaN,NaN,NaN,NaN,NaN,NaN,554059,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85.15429525,30.22707233,33.90278772,67000000,15.62715826,6.054442277,1.227774683,NaN,NaN,NaN,NaN,NaN,NaN,1.107784431,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1968 [YR1968],NaN,NaN,NaN,NaN,NaN,NaN,4430000,5466940.316,NaN,NaN,NaN,NaN,NaN,NaN,262662268.5,5.899803668,2.508800881,NaN,1.04239E+12,NaN,8.7046E+11,9.03876E+11,NaN,NaN,NaN,72900020000,66000000000,35300000000,33200000000,26300020000,NaN,NaN,48.42248329,97.6679979,724285681.1,1848094666,294468564.5,266596981.2,142588991.4,145012560,106234938.4,NaN,NaN,4.985052683,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8796,NaN,404336,161430,NaN,NaN,NaN,NaN,160000,257670,NaN,NaN,NaN,NaN,NaN,2.92318164,12881000000,714095135.7,NaN,NaN,11.43119148,6.460875095,NaN,NaN,14.66117568,NaN,NaN,NaN,NaN,NaN,NaN,565766,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,67.58675079,34.88263169,26.87174259,65000000,16.90041713,1.757987275,1.161478766,NaN,NaN,NaN,NaN,NaN,NaN,1.015088885,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1969 [YR1969],NaN,NaN,NaN,NaN,NaN,NaN,7760000,8286353.371,NaN,NaN,NaN,NaN,NaN,NaN,304356269.2,15.54310511,8.082910434,NaN,1.12665E+12,NaN,9.25176E+11,9.62604E+11,NaN,NaN,NaN,82699880000,76800000000,45200000000,37700000000,29599880000,NaN,NaN,54.6554602,108.7063246,805285520.4,2135345962,318124701,295429413.4,173872519.4,171949150.8,113862958.2,NaN,NaN,6.333153787,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8458,NaN,402983,174663,NaN,NaN,NaN,NaN,170000,257670,NaN,NaN,NaN,NaN,NaN,2.703752412,15172000000,1718435768,NaN,NaN,11.77128535,4.959124912,NaN,NaN,15.32529431,NaN,NaN,NaN,NaN,NaN,NaN,577646,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,72.5891544,35.3045429,25.42769901,77000000,14.38206274,1.506000598,0.984098819,NaN,NaN,NaN,NaN,NaN,NaN,1.367595697,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
