NaN,"Foreign direct investment, net (BoP, current US$)","Net capital account (BoP, current US$)","Net trade in goods and services (BoP, current US$)","Exports of goods and services (BoP, current US$)","Charges for the use of intellectual property, payments (BoP, current US$)","Net secondary income (BoP, current US$)","Grants, excluding technical cooperation (BoP, current US$)","Total reserves (includes gold, current US$)","External debt stocks, long-term (DOD, current US$)",Total debt service (% of GNI),"Debt service on external debt, total (TDS, current US$)","Net financial flows, bilateral (NFL, current US$)","Commercial banks and other lending (PPG + PNG) (NFL, current US$)",Adjusted net national income (current US$),"GNI, Atlas method (current US$)",Exports of goods and services (annual % growth),GDP growth (annual %),GNI growth (annual %),GDP (constant LCU),GNI (constant LCU),Gross national expenditure (constant LCU),Gross domestic income (constant LCU),"Industry (including construction), value added (constant LCU)","Manufacturing, value added (constant LCU)","Services, value added (constant LCU)",GDP (current LCU),GNI (current LCU),Exports of goods and services (current LCU),"Industry (including construction), value added (current LCU)","Services, value added (current LCU)",Gross savings (% of GDP),Gross savings (% of GNI),Exports of goods and services (% of GDP),Trade (% of GDP),Imports of goods and services (constant 2010 US$),Exports of goods and services (constant 2010 US$),GDP (current US$),GNI (current US$),Exports of goods and services (current US$),Imports of goods and services (current US$),"Services, value added (current US$)","Net ODA provided, total (% of GNI)",Net ODA received (% of central government expense),Net ODA received (% of GNI),Net official aid received (current US$),"GDP per capita, PPP (current international $)","GDP per capita, PPP (current international $)","GNI, PPP (current international $)","Households and NPISHs Final consumption expenditure, PPP (current international $)","Gross intake ratio in first grade of primary education, total (% of relevant age group)","Over-age students, primary (% of enrollment)","Persistence to grade 5, total (% of cohort)","Government expenditure on education, total (% of government expenditure)","Compulsory education, duration (years)","Adjusted net enrollment rate, primary (% of primary school age children)","Primary education, pupils",Aquaculture production (metric tons),Cereal production (metric tons),"Plant species (higher), threatened",Rural population,Urban population,Electricity production from coal sources (% of total),Access to electricity (% of population),GDP per unit of energy use (PPP $ per kg of oil equivalent),"Annual freshwater withdrawals, total (% of internal resources)",Arable land (hectares),Land area (sq. km),Urban land area (sq. km),Rural land area (sq. km),Total natural resources rents (% of GDP),"Depositors with commercial banks (per 1,000 adults)",Bank liquid reserves to bank assets ratio (%),"Claims on central government, etc. (% GDP)",Net domestic credit (current LCU),Net foreign assets (current LCU),"Listed domestic companies, total","Stocks traded, total value (current US$)",Consumer price index (2010 = 100),"Inflation, GDP deflator (annual %)",Deposit interest rate (%),Real interest rate (%),Broad money (% of GDP),"Domestic general government health expenditure per capita, PPP (current international $)",Current health expenditure (% of GDP),Current health expenditure per capita (current US$),"External health expenditure per capita, PPP (current international $)","Mortality rate, infant (per 1,000 live births)",Number of infant deaths,"Population, total","ICT service exports (BoP, current US$)","Patent applications, residents","Trademark applications, total",Rail lines (total route-km),Gini index (World Bank estimate),Multidimensional poverty headcount ratio (% of total population),Poverty headcount ratio at national poverty lines (% of population),Start-up procedures to register a business (number),Cost of business start-up procedures (% of GNI per capita),Profit tax (% of commercial profits),Merchandise exports to high-income economies (% of total merchandise exports),Fuel exports (% of merchandise exports),Ores and metals exports (% of merchandise exports),Merchandise imports (current US$),Food imports (% of merchandise imports),Fuel imports (% of merchandise imports),Ores and metals imports (% of merchandise imports),"Bound rate, simple mean, all products (%)","Share of tariff lines with international peaks, all products (%)","Binding coverage, all products (%)",Export value index (2000 = 100),"Armed forces personnel, total","Armed forces personnel, total",Military expenditure (% of GDP),"Central government debt, total (% of GDP)",Expense (% of GDP),Tax revenue (% of GDP),Taxes on goods and services (% of revenue),"Revenue, excluding grants (% of GDP)",Social contributions (current LCU),IDA resource allocation index (1=low to 6=high),"Employers, total (% of total employment) (modeled ILO estimate)","Labor force participation rate for ages 15-24, female (%) (national estimate)",Benefit incidence of social protection and labor programs to poorest quintile (% of total SPL benefits),"Unemployment, total (% of total labor force) (modeled ILO estimate)",Increase in poverty gap at $3.20 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),Increase in poverty gap at $1.90 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),Number of people pushed below the $3.20 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure
1960 [YR1960],NaN,NaN,NaN,NaN,NaN,NaN,NaN,7083840800,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.31,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19810,NaN,NaN,20836712,51978188,87.02877131,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24.64607426,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,72814900,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,71.487567,NaN,NaN,10172000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.830652394,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1961 [YR1961],NaN,NaN,NaN,NaN,NaN,NaN,NaN,7180500800,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.446,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16670,17257340,NaN,20768071,52609561,86.72576879,NaN,NaN,NaN,12220000,349130,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.2113753,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,73377632,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,73.0313093,NaN,NaN,11011000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.800212754,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1962 [YR1962],NaN,NaN,NaN,NaN,NaN,NaN,NaN,6964883190,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.449,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12520,21166661,NaN,20903401,53122383,86.9091068,NaN,NaN,NaN,12185000,349130,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.92820531,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,74025784,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,74.98299962,5.404979047,2.680237316,12375000000,25.58961016,12.62253487,10.29706353,NaN,NaN,NaN,NaN,NaN,NaN,4.56846528,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1963 [YR1963],NaN,NaN,NaN,NaN,NaN,NaN,NaN,7659475440,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.407,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12680,20970320,NaN,21050022,53664331,85.74242566,NaN,NaN,NaN,12165000,349130,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.69748502,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,74714353,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,76.2665387,5.380397718,2.506184998,13070000000,21.87920145,13.47037032,9.946193881,NaN,NaN,NaN,NaN,NaN,NaN,4.97828557,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1964 [YR1964],NaN,NaN,NaN,NaN,NaN,NaN,NaN,7895954160,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.437,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13830,22737326,NaN,21171231,54147106,84.4487515,NaN,NaN,NaN,12161000,349130,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27.32106568,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,75318337,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,75.57492582,4.566180523,2.559779318,14710000000,20.21293272,15.12085443,12.45202053,NaN,NaN,NaN,NaN,NaN,NaN,4.454997126,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1965 [YR1965],NaN,NaN,NaN,NaN,NaN,NaN,NaN,7445164400,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.398,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14490,20620142,NaN,21304018,54659677,80.18256584,NaN,NaN,NaN,12153000,349130,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28.20690462,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,75963695,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,74.99579997,4.814581658,3.012920728,17612000000,20.75121294,13.11716788,12.58651452,NaN,NaN,NaN,NaN,NaN,NaN,4.157041529,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1966 [YR1966],NaN,NaN,NaN,NaN,NaN,NaN,NaN,8052102610,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.344,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19950,20742474,NaN,21433533,55166778,76.85119678,NaN,NaN,NaN,12155000,349130,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.20347108,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,76600311,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,74.61160471,4.154347122,3.599099476,18167000000,21.8186153,11.96722687,12.02393511,NaN,NaN,NaN,NaN,NaN,NaN,3.97233476,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1967 [YR1967],NaN,NaN,NaN,NaN,NaN,NaN,NaN,8176362000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.412,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20600,25380099,NaN,21482504,55468832,77.08996555,NaN,NaN,NaN,12049000,349130,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.72797871,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,76951336,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,74.80115857,3.03455301,3.322151693,17546000000,20.37034041,14.50796256,11.8843638,NaN,NaN,NaN,NaN,NaN,NaN,4.143429357,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1968 [YR1968],NaN,NaN,NaN,NaN,NaN,NaN,NaN,10843279100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.417,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22160,26898318,NaN,21528785,55765529,76.24578883,NaN,NaN,NaN,12032000,349130,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30.16507049,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.4,NaN,77294314,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,75.63308948,4.90494594,3.199960229,20295000000,19.23128999,9.413784031,13.25546237,NaN,NaN,NaN,NaN,NaN,NaN,3.461315731,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1969 [YR1969],NaN,NaN,NaN,NaN,NaN,NaN,NaN,7152711600,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.38,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19814,25853039,NaN,21650322,56259360,74.72714886,NaN,NaN,NaN,12001000,349130,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30.74202692,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.7,26319,77909682,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,75.49646121,4.147283331,2.946518979,24876000000,18.65017391,8.178211504,12.50435735,NaN,NaN,NaN,NaN,NaN,NaN,3.453426133,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1970 [YR1970],NaN,NaN,NaN,NaN,NaN,NaN,NaN,13878868480,NaN,NaN,NaN,NaN,NaN,1.89198E+11,NaN,NaN,NaN,NaN,1.26072E+12,1.26737E+12,1.30441E+12,1.25552E+12,NaN,NaN,NaN,4.03898E+11,4.05955E+11,61103814000,NaN,NaN,NaN,NaN,15.12850774,31.71070871,1.88394E+11,1.75241E+11,2.15838E+11,2.16937E+11,32653136322,35790765243,NaN,0.324,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23477,23753864,NaN,21673217,56496072,74.46359924,NaN,NaN,NaN,11952000,349130,NaN,NaN,0.232732624,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.80270114,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.1,24112,78169289,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,75.39455226,4.447658082,2.75771655,29947000000,16.94116508,12.46761241,10.72006357,NaN,NaN,NaN,NaN,NaN,NaN,3.061209707,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1971 [YR1971],96932867.62,-13307980.43,3129299820,44180571190,423474020.1,-2662839426,NaN,19312523395,NaN,NaN,NaN,NaN,NaN,2.17825E+11,NaN,2.35401604,3.132699738,3.063546912,1.30021E+12,1.30619E+12,1.35876E+12,1.29872E+12,NaN,NaN,NaN,4.48298E+11,4.49959E+11,65273045000,NaN,NaN,26.14331578,26.04684752,14.56018449,30.84376047,2.02278E+11,1.79366E+11,2.49985E+11,2.50911E+11,36398285284,40706506441,NaN,0.341,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20636,28685065,NaN,21667597,56645245,74.98938117,NaN,NaN,NaN,11965000,349130,NaN,NaN,0.240503133,NaN,NaN,NaN,NaN,NaN,NaN,NaN,33.46947249,7.621336524,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.4,21926,78312842,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,75.07060334,4.914864807,2.665738392,34293000000,20.78976793,16.6205439,9.12152656,NaN,NaN,NaN,NaN,NaN,NaN,3.109559906,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1972 [YR1972],-92717507.51,-31595051.73,4172810495,52901057667,493347292.3,-3458592770,NaN,26942103304,NaN,NaN,NaN,NaN,NaN,2.60508E+11,2.83276E+11,6.182798824,4.300341334,4.214511655,1.35613E+12,1.36124E+12,1.41773E+12,1.35584E+12,NaN,NaN,NaN,4.88766E+11,4.90123E+11,71130578000,NaN,NaN,24.97912064,24.90998513,14.55308101,30.73271371,2.15381E+11,1.90456E+11,2.99802E+11,3.00634E+11,43630361283,48506788321,NaN,0.316,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25103,28780064,NaN,21726668,56961784,72.37980693,NaN,NaN,NaN,12004000,349130,NaN,NaN,0.195826041,NaN,NaN,NaN,NaN,NaN,NaN,NaN,35.30525188,4.5318571,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.6,19836,78688452,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,76.02791036,2.396719922,2.506925751,40378000000,17.56307268,14.51405368,6.890005442,NaN,NaN,NaN,NaN,NaN,NaN,3.21858404,NaN,20.16854346,10.78410345,28.33061185,21.545193,49636215827,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1973 [YR1973],-138757334.4,-32787103.31,9331485330,75072689962,624130653.4,-4805505339,NaN,41407633837,NaN,NaN,NaN,NaN,NaN,3.46431E+11,3.68876E+11,10.71730076,4.777486892,4.813137926,1.42092E+12,1.42676E+12,1.4648E+12,1.41687E+12,NaN,NaN,NaN,5.44378E+11,5.45812E+11,83590715000,NaN,NaN,24.70176697,24.63686667,15.35526775,31.70321688,2.23233E+11,2.10868E+11,3.98374E+11,3.99423E+11,61171397731,65125982437,NaN,0.32,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29169,29680306,NaN,21750209,57186457,69.00350472,NaN,NaN,NaN,11990000,349130,NaN,NaN,0.218961969,NaN,NaN,NaN,NaN,NaN,NaN,NaN,37.78792627,6.299513718,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.7,17930,78936666,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,75.48308821,2.324325772,2.765165845,54891000000,17.19103796,17.79683781,7.346240768,NaN,NaN,NaN,NaN,NaN,NaN,3.210566576,NaN,20.58586749,10.91939481,26.59126558,22.57326121,58905937633,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1974 [YR1974],-54769412.25,-33833940.57,15082233733,99169754105,669979669.5,-5325485059,NaN,49293767750,NaN,NaN,NaN,NaN,NaN,3.84365E+11,4.57649E+11,11.78861613,0.890068741,0.898763661,1.43356E+12,1.43959E+12,1.44004E+12,1.41672E+12,NaN,NaN,NaN,5.89181E+11,5.90736E+11,1.07449E+11,NaN,NaN,23.54198477,23.48001045,18.23698621,36.95292096,2.24221E+11,2.35726E+11,4.45303E+11,4.46479E+11,81209935001,83342709546,NaN,0.377,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,35783,32357236,NaN,21713675,57253758,67.20836331,NaN,NaN,NaN,12020000,349130,NaN,NaN,0.354528363,NaN,NaN,NaN,NaN,NaN,NaN,NaN,40.4279542,7.275290303,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18.8,16230,78967433,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,72.73878924,4.145493731,3.755817711,69661000000,13.95425092,28.05421483,7.96693863,NaN,NaN,NaN,NaN,NaN,NaN,3.313727661,NaN,22.19400995,10.47522557,24.60439392,22.420506,65077230639,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1975 [YR1975],1490736257,-26501953.38,9359034255,1.02629E+11,836978364.6,-6293753871,NaN,42710976245,NaN,NaN,NaN,NaN,NaN,4.20565E+11,5.28903E+11,-6.136363504,-0.866738894,-0.782551123,1.42114E+12,1.42832E+12,1.45937E+12,1.4092E+12,NaN,NaN,NaN,6.17172E+11,6.19664E+11,1.05602E+11,NaN,NaN,20.020196,19.93967408,17.11064235,35.9068478,2.30773E+11,2.21261E+11,4.90637E+11,4.92618E+11,83951059703,92221047778,NaN,0.404,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,39380,30164053,NaN,21588023,57085531,63.27461761,NaN,NaN,NaN,12041000,349130,NaN,NaN,0.728844237,NaN,NaN,NaN,NaN,NaN,471,10495060000,42.81737924,5.666623539,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17.7,14749,78673554,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,69.0991841,3.711896769,2.762916867,74931000000,14.60685638,25.63471517,6.103344067,NaN,NaN,NaN,NaN,NaN,NaN,3.336158451,NaN,24.48216321,10.0448778,24.53936042,22.43093702,71171829863,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
