NaN,"Foreign direct investment, net (BoP, current US$)","Net capital account (BoP, current US$)","Net trade in goods and services (BoP, current US$)","Exports of goods and services (BoP, current US$)","Charges for the use of intellectual property, payments (BoP, current US$)","Net secondary income (BoP, current US$)","Grants, excluding technical cooperation (BoP, current US$)","Total reserves (includes gold, current US$)","External debt stocks, long-term (DOD, current US$)",Total debt service (% of GNI),"Debt service on external debt, total (TDS, current US$)","Net financial flows, bilateral (NFL, current US$)","Commercial banks and other lending (PPG + PNG) (NFL, current US$)",Adjusted net national income (current US$),"GNI, Atlas method (current US$)",Exports of goods and services (annual % growth),GDP growth (annual %),GNI growth (annual %),GDP (constant LCU),GNI (constant LCU),Gross national expenditure (constant LCU),Gross domestic income (constant LCU),"Industry (including construction), value added (constant LCU)","Manufacturing, value added (constant LCU)","Services, value added (constant LCU)",GDP (current LCU),GNI (current LCU),Exports of goods and services (current LCU),"Industry (including construction), value added (current LCU)","Services, value added (current LCU)",Gross savings (% of GDP),Gross savings (% of GNI),Exports of goods and services (% of GDP),Trade (% of GDP),Imports of goods and services (constant 2010 US$),Exports of goods and services (constant 2010 US$),GDP (current US$),GNI (current US$),Exports of goods and services (current US$),Imports of goods and services (current US$),"Services, value added (current US$)","Net ODA provided, total (% of GNI)",Net ODA received (% of central government expense),Net ODA received (% of GNI),Net official aid received (current US$),"GDP per capita, PPP (current international $)","GDP per capita, PPP (current international $)","GNI, PPP (current international $)","Households and NPISHs Final consumption expenditure, PPP (current international $)","Gross intake ratio in first grade of primary education, total (% of relevant age group)","Over-age students, primary (% of enrollment)","Persistence to grade 5, total (% of cohort)","Government expenditure on education, total (% of government expenditure)","Compulsory education, duration (years)","Adjusted net enrollment rate, primary (% of primary school age children)","Primary education, pupils",Aquaculture production (metric tons),Cereal production (metric tons),"Plant species (higher), threatened",Rural population,Urban population,Electricity production from coal sources (% of total),Access to electricity (% of population),GDP per unit of energy use (PPP $ per kg of oil equivalent),"Annual freshwater withdrawals, total (% of internal resources)",Arable land (hectares),Land area (sq. km),Urban land area (sq. km),Rural land area (sq. km),Total natural resources rents (% of GDP),"Depositors with commercial banks (per 1,000 adults)",Bank liquid reserves to bank assets ratio (%),"Claims on central government, etc. (% GDP)",Net domestic credit (current LCU),Net foreign assets (current LCU),"Listed domestic companies, total","Stocks traded, total value (current US$)",Consumer price index (2010 = 100),"Inflation, GDP deflator (annual %)",Deposit interest rate (%),Real interest rate (%),Broad money (% of GDP),"Domestic general government health expenditure per capita, PPP (current international $)",Current health expenditure (% of GDP),Current health expenditure per capita (current US$),"External health expenditure per capita, PPP (current international $)","Mortality rate, infant (per 1,000 live births)",Number of infant deaths,"Population, total","ICT service exports (BoP, current US$)","Patent applications, residents","Trademark applications, total",Rail lines (total route-km),Gini index (World Bank estimate),Multidimensional poverty headcount ratio (% of total population),Poverty headcount ratio at national poverty lines (% of population),Start-up procedures to register a business (number),Cost of business start-up procedures (% of GNI per capita),Profit tax (% of commercial profits),Merchandise exports to high-income economies (% of total merchandise exports),Fuel exports (% of merchandise exports),Ores and metals exports (% of merchandise exports),Merchandise imports (current US$),Food imports (% of merchandise imports),Fuel imports (% of merchandise imports),Ores and metals imports (% of merchandise imports),"Bound rate, simple mean, all products (%)","Share of tariff lines with international peaks, all products (%)","Binding coverage, all products (%)",Export value index (2000 = 100),"Armed forces personnel, total","Armed forces personnel, total",Military expenditure (% of GDP),"Central government debt, total (% of GDP)",Expense (% of GDP),Tax revenue (% of GDP),Taxes on goods and services (% of revenue),"Revenue, excluding grants (% of GDP)",Social contributions (current LCU),IDA resource allocation index (1=low to 6=high),"Employers, total (% of total employment) (modeled ILO estimate)","Labor force participation rate for ages 15-24, female (%) (national estimate)",Benefit incidence of social protection and labor programs to poorest quintile (% of total SPL benefits),"Unemployment, total (% of total labor force) (modeled ILO estimate)",Increase in poverty gap at $3.20 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),Increase in poverty gap at $1.90 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),Number of people pushed below the $3.20 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure
1960 [YR1960],NaN,NaN,NaN,NaN,NaN,NaN,2530000,277926000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20131091356,NaN,NaN,NaN,NaN,NaN,NaN,86900,85900,24500,NaN,NaN,NaN,NaN,28.19332566,63.63636364,NaN,NaN,1217230038,1203222788,343177628.7,431423304.7,NaN,NaN,NaN,0.244343781,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5092406,1542824,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-10.39125432,-5060,21140,NaN,NaN,NaN,NaN,NaN,NaN,18.4004603,NaN,NaN,NaN,NaN,123.9,37647,6635230,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85.85485855,NaN,NaN,363000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.706659013,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,52.95999908,NaN,NaN,NaN,NaN,NaN
1961 [YR1961],NaN,NaN,NaN,NaN,NaN,NaN,2610000,155954000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.429674012,NaN,20821522165,NaN,NaN,NaN,NaN,NaN,NaN,93000,91600,24300,NaN,NaN,NaN,NaN,26.12903226,62.58064516,NaN,NaN,1302674264,1283064114,340376178.7,474845780.2,NaN,NaN,NaN,0.231477133,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,436400,NaN,5218606,1629689,NaN,NaN,NaN,NaN,1700000,227540,NaN,NaN,NaN,NaN,NaN,4.129032258,9260,12170,NaN,NaN,NaN,3.470849868,NaN,NaN,18.70967742,NaN,NaN,NaN,NaN,122.8,38633,6848295,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,91.93298169,NaN,NaN,400000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.103004292,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1962 [YR1962],NaN,NaN,NaN,NaN,NaN,NaN,3100000,159611200,NaN,NaN,NaN,NaN,NaN,NaN,1359451952,NaN,4.109158606,NaN,21677111535,NaN,NaN,NaN,NaN,NaN,NaN,98700,97700,23900,NaN,NaN,NaN,NaN,24.2147923,52.68490375,NaN,NaN,1382515590,1368508340,334773278.6,393603729.3,NaN,NaN,NaN,0.4099354,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,421000,NaN,5349805,1722166,NaN,NaN,NaN,NaN,1700000,227540,NaN,NaN,NaN,NaN,NaN,3.941236069,9990,10960,NaN,NaN,NaN,1.940149819,NaN,NaN,20.30395137,NaN,NaN,NaN,NaN,121.9,39654,7071971,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87.81773094,0,13.82032781,333000000,20.82732426,6.148206281,1.624002859,NaN,NaN,NaN,NaN,NaN,NaN,2.001003009,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1963 [YR1963],NaN,NaN,NaN,NaN,NaN,NaN,3900000,122112800,NaN,NaN,NaN,NaN,NaN,NaN,1464929848,NaN,4.405974201,NaN,22632199476,NaN,NaN,NaN,NaN,NaN,NaN,110000,108200,23300,NaN,NaN,NaN,NaN,21.18181818,48.63636364,NaN,NaN,1540797517,1515584467,326368928.6,423018954.6,NaN,NaN,NaN,1.188320455,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,392348,NaN,5481292,1818824,NaN,NaN,NaN,NaN,1700000,227540,NaN,NaN,NaN,NaN,NaN,4.8,16520,7070,NaN,NaN,NaN,6.745649094,NaN,NaN,19.54545455,NaN,NaN,NaN,NaN,121.2,40696,7300116,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84.01181878,0.066003065,8.305722566,365000000,15.73150489,5.860213627,1.967155916,NaN,NaN,NaN,NaN,NaN,NaN,2.016348774,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1964 [YR1964],NaN,NaN,NaN,NaN,NaN,NaN,6390000,122719200,NaN,NaN,NaN,NaN,NaN,NaN,1597950909,NaN,2.209327505,NaN,23132218884,NaN,NaN,NaN,NaN,NaN,NaN,123600,122400,24600,NaN,NaN,NaN,NaN,19.90291262,43.77022654,NaN,NaN,1731296119,1714487419,344578353.8,413213879.5,NaN,NaN,NaN,1.179361195,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,400221,NaN,5606635,1917837,NaN,NaN,NaN,NaN,1700000,227540,NaN,NaN,NaN,NaN,NaN,9.838187702,27450,5280,NaN,NaN,0.001310109,9.934816231,NaN,NaN,23.85113269,NaN,NaN,NaN,NaN,120.8,41757,7524472,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85.1494396,1.009922984,10.89451594,340000000,18.29664038,5.823475839,1.566261616,NaN,NaN,NaN,NaN,NaN,NaN,1.921988682,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1965 [YR1965],NaN,NaN,NaN,NaN,NaN,NaN,6960000,132509200,NaN,NaN,NaN,NaN,NaN,NaN,1803856784,NaN,1.36899887,NaN,23448898700,NaN,NaN,NaN,NaN,NaN,NaN,146600,144700,25100,27300,NaN,NaN,NaN,17.12141883,43.86084584,NaN,NaN,2053462872,2026849097,351581978.8,549084206,NaN,NaN,NaN,2.280386896,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,388943,NaN,5722025,2017448,NaN,NaN,NaN,NaN,1700000,227540,NaN,NaN,NaN,NaN,NaN,12.14188267,30290,-410,NaN,NaN,0.001656565,17.00659527,NaN,NaN,20.49795362,NaN,NaN,NaN,NaN,120.6,42828,7739473,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,76.80201448,1.029941347,12.03405892,448000000,12.78499638,4.139477713,1.805551859,NaN,NaN,NaN,NaN,NaN,NaN,1.73260573,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1966 [YR1966],NaN,NaN,NaN,NaN,NaN,NaN,9890000,111130400,NaN,NaN,NaN,NaN,NaN,NaN,1950437606,NaN,-4.258290372,NaN,22450376504,NaN,NaN,NaN,NaN,NaN,NaN,151800,150400,22200,27900,NaN,NaN,NaN,14.62450593,34.25559947,NaN,NaN,2126300573,2106690423,310960953.4,417416054.5,NaN,NaN,NaN,2.952023608,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,646900,NaN,5824549,2116863,NaN,NaN,NaN,NaN,1700000,227540,NaN,NaN,NaN,NaN,NaN,13.48484848,40600,-2390,NaN,NaN,0.001875859,8.152514982,NaN,NaN,20.77075099,NaN,NaN,NaN,NaN,120.6,43901,7941412,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,74.89742633,0.561036275,14.96114437,352000000,17.67386678,4.209978089,2.41817281,NaN,NaN,NaN,NaN,NaN,NaN,2.226613966,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1967 [YR1967],NaN,NaN,NaN,NaN,NaN,NaN,9600000,82732000,NaN,NaN,NaN,NaN,NaN,NaN,1987018198,NaN,3.075364052,NaN,23140807312,NaN,NaN,NaN,NaN,NaN,NaN,150400,147200,26200,30800,NaN,NaN,NaN,17.42021277,37.36702128,NaN,NaN,1747187539,1710013336,304363786.8,348508152.8,NaN,NaN,NaN,2.647932494,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10,585651,NaN,5916289,2216514,NaN,NaN,NaN,NaN,1700000,227540,NaN,NaN,NaN,NaN,NaN,17.67241098,48119.30612,-5051.306116,NaN,NaN,0.001717865,-3.878356607,NaN,NaN,21.22273936,NaN,NaN,NaN,NaN,120.7,44926,8132803,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,83.3497214,0.683041385,13.78014788,307000000,19.34177609,5.979235063,1.574909851,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1968 [YR1968],NaN,NaN,NaN,NaN,NaN,NaN,3570000,97004000,NaN,NaN,NaN,NaN,NaN,NaN,1860280374,NaN,0.368860329,NaN,23226164570,NaN,NaN,NaN,NaN,NaN,NaN,170000,164800,34600,34600,NaN,NaN,NaN,20.35294118,41.17647059,NaN,NaN,1666910166,1615922326,339265245.6,347109528.7,NaN,NaN,NaN,3.849194962,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20,522656,NaN,6003325,2318445,NaN,NaN,NaN,NaN,1700000,227540,NaN,NaN,NaN,NaN,NaN,18.5485114,53674.46938,-6360.46938,NaN,NaN,0.001853486,12.61651724,NaN,NaN,20.69,NaN,NaN,NaN,NaN,120.7,45907,8321770,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88.86877828,0.546169428,18.29462756,308000000,19.12067773,6.844859221,1.325804894,NaN,NaN,NaN,NaN,NaN,NaN,2.655882353,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1969 [YR1969],NaN,NaN,NaN,NaN,NaN,NaN,3920000,71832000,NaN,NaN,NaN,NaN,NaN,NaN,1903972570,NaN,6.006174964,NaN,24621168652,NaN,NaN,NaN,NaN,NaN,NaN,200100,195200,39500,38300,NaN,NaN,NaN,19.74012994,40.07996002,NaN,NaN,1962051319,1914005085,387311479.8,399077904.5,NaN,NaN,NaN,3.723605397,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,46,535463,NaN,6094111,2425904,NaN,NaN,NaN,NaN,1700000,227540,NaN,NaN,NaN,NaN,NaN,14.90025395,56165.40816,-8218.408156,NaN,NaN,0.001989107,11.03681686,NaN,NaN,19.4137931,NaN,NaN,NaN,NaN,120.7,46783,8520015,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90.49453508,0.687928941,22.14788282,347000000,17.67855706,6.453655486,1.665783824,NaN,NaN,NaN,NaN,NaN,NaN,2.501250625,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
