NaN,"Foreign direct investment, net (BoP, current US$)","Net capital account (BoP, current US$)","Net trade in goods and services (BoP, current US$)","Exports of goods and services (BoP, current US$)","Charges for the use of intellectual property, payments (BoP, current US$)","Net secondary income (BoP, current US$)","Grants, excluding technical cooperation (BoP, current US$)","Total reserves (includes gold, current US$)","External debt stocks, long-term (DOD, current US$)",Total debt service (% of GNI),"Debt service on external debt, total (TDS, current US$)","Net financial flows, bilateral (NFL, current US$)","Commercial banks and other lending (PPG + PNG) (NFL, current US$)",Adjusted net national income (current US$),"GNI, Atlas method (current US$)",Exports of goods and services (annual % growth),GDP growth (annual %),GNI growth (annual %),GDP (constant LCU),GNI (constant LCU),Gross national expenditure (constant LCU),Gross domestic income (constant LCU),"Industry (including construction), value added (constant LCU)","Manufacturing, value added (constant LCU)","Services, value added (constant LCU)",GDP (current LCU),GNI (current LCU),Exports of goods and services (current LCU),"Industry (including construction), value added (current LCU)","Services, value added (current LCU)",Gross savings (% of GDP),Gross savings (% of GNI),Exports of goods and services (% of GDP),Trade (% of GDP),Imports of goods and services (constant 2010 US$),Exports of goods and services (constant 2010 US$),GDP (current US$),GNI (current US$),Exports of goods and services (current US$),Imports of goods and services (current US$),"Services, value added (current US$)","Net ODA provided, total (% of GNI)",Net ODA received (% of central government expense),Net ODA received (% of GNI),Net official aid received (current US$),"GDP per capita, PPP (current international $)","GDP per capita, PPP (current international $)","GNI, PPP (current international $)","Households and NPISHs Final consumption expenditure, PPP (current international $)","Gross intake ratio in first grade of primary education, total (% of relevant age group)","Over-age students, primary (% of enrollment)","Persistence to grade 5, total (% of cohort)","Government expenditure on education, total (% of government expenditure)","Compulsory education, duration (years)","Adjusted net enrollment rate, primary (% of primary school age children)","Primary education, pupils",Aquaculture production (metric tons),Cereal production (metric tons),"Plant species (higher), threatened",Rural population,Urban population,Electricity production from coal sources (% of total),Access to electricity (% of population),GDP per unit of energy use (PPP $ per kg of oil equivalent),"Annual freshwater withdrawals, total (% of internal resources)",Arable land (hectares),Land area (sq. km),Urban land area (sq. km),Rural land area (sq. km),Total natural resources rents (% of GDP),"Depositors with commercial banks (per 1,000 adults)",Bank liquid reserves to bank assets ratio (%),"Claims on central government, etc. (% GDP)",Net domestic credit (current LCU),Net foreign assets (current LCU),"Listed domestic companies, total","Stocks traded, total value (current US$)",Consumer price index (2010 = 100),"Inflation, GDP deflator (annual %)",Deposit interest rate (%),Real interest rate (%),Broad money (% of GDP),"Domestic general government health expenditure per capita, PPP (current international $)",Current health expenditure (% of GDP),Current health expenditure per capita (current US$),"External health expenditure per capita, PPP (current international $)","Mortality rate, infant (per 1,000 live births)",Number of infant deaths,"Population, total","ICT service exports (BoP, current US$)","Patent applications, residents","Trademark applications, total",Rail lines (total route-km),Gini index (World Bank estimate),Multidimensional poverty headcount ratio (% of total population),Poverty headcount ratio at national poverty lines (% of population),Start-up procedures to register a business (number),Cost of business start-up procedures (% of GNI per capita),Profit tax (% of commercial profits),Merchandise exports to high-income economies (% of total merchandise exports),Fuel exports (% of merchandise exports),Ores and metals exports (% of merchandise exports),Merchandise imports (current US$),Food imports (% of merchandise imports),Fuel imports (% of merchandise imports),Ores and metals imports (% of merchandise imports),"Bound rate, simple mean, all products (%)","Share of tariff lines with international peaks, all products (%)","Binding coverage, all products (%)",Export value index (2000 = 100),"Armed forces personnel, total","Armed forces personnel, total",Military expenditure (% of GDP),"Central government debt, total (% of GDP)",Expense (% of GDP),Tax revenue (% of GDP),Taxes on goods and services (% of revenue),"Revenue, excluding grants (% of GDP)",Social contributions (current LCU),IDA resource allocation index (1=low to 6=high),"Employers, total (% of total employment) (modeled ILO estimate)","Labor force participation rate for ages 15-24, female (%) (national estimate)",Benefit incidence of social protection and labor programs to poorest quintile (% of total SPL benefits),"Unemployment, total (% of total labor force) (modeled ILO estimate)",Increase in poverty gap at $3.20 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),Increase in poverty gap at $1.90 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),Number of people pushed below the $3.20 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure
1960 [YR1960],NaN,NaN,NaN,NaN,NaN,NaN,13010000,54465080,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,55742433457,55113652076,64293514393,60599751371,12696659617,8776294281,27838301327,1043599900,1033200000,131900000,NaN,NaN,NaN,NaN,12.63894333,27.1751655,2238494647,1494070659,1043599900,1033200000,131900000,151700000,NaN,NaN,NaN,1.609562443,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2843931,1284949,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.140283743,117100000,48400000,NaN,NaN,1.755258964,NaN,NaN,NaN,12.88808096,NaN,NaN,NaN,NaN,147.6,29113,4128880,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,92.37588652,NaN,NaN,121000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.157922234,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1961 [YR1961],NaN,NaN,NaN,NaN,NaN,NaN,14000000,54861645,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.352938352,4.298518348,4.121745846,58138532187,57385296741,66412818856,61792766401,13822101927,9281497937,29083323465,1076699900,1064300000,128700000,NaN,NaN,NaN,NaN,11.95319141,25.4481309,2071827238,1529225221,1076699900,1064300000,128700000,145300000,NaN,NaN,NaN,1.453537561,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,571369,NaN,2901164,1350747,NaN,NaN,NaN,NaN,1100000,107160,NaN,NaN,NaN,NaN,NaN,1.458159326,128800000,44500000,NaN,NaN,1.745546496,-1.080365054,NaN,NaN,13.0212699,NaN,NaN,NaN,NaN,144.2,28980,4251911,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90.19963702,NaN,NaN,121000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.122221065,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1962 [YR1962],NaN,NaN,NaN,NaN,NaN,NaN,7010000,45845998,NaN,NaN,NaN,NaN,NaN,NaN,1136418615,3.831418939,3.536501264,3.669444845,60194602112,59491018554,68720602454,64455340651,14019853996,9786701593,30254530062,1143600000,1131700000,134800000,NaN,NaN,NaN,NaN,11.78733823,25.20986359,2233074698,1587816246,1143600000,1131700000,134800000,153500000,NaN,NaN,NaN,0.88185911,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,623498,NaN,2958885,1419719,NaN,NaN,NaN,NaN,1100000,107160,NaN,NaN,NaN,NaN,NaN,1.993704092,139900000,31200000,NaN,NaN,1.781374714,2.585502208,NaN,NaN,13.16019587,NaN,NaN,NaN,NaN,141.1,28889,4378604,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,94.50549451,NaN,NaN,119000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.045307811,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1963 [YR1963],NaN,NaN,NaN,NaN,NaN,NaN,6110000,56752800,NaN,NaN,NaN,NaN,NaN,NaN,1251542612,37.14637376,9.541043929,9.44699277,65937795543,65111130776,74725311405,70968926517,15042208302,10745293145,32439470099,1262800000,1248599900,180400000,NaN,NaN,NaN,NaN,14.28571429,30.21856193,2891614904,2177632403,1262800000,1248599900,180400000,201200000,NaN,NaN,NaN,0.848150008,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,666711,NaN,3016780,1491664,NaN,NaN,NaN,NaN,1100000,107160,NaN,NaN,NaN,NaN,NaN,1.924295217,158400000,42400000,NaN,NaN,1.784072622,0.805342859,NaN,NaN,13.28001267,NaN,NaN,NaN,NaN,137.9,28812,4508444,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86.22516556,NaN,NaN,171000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.173007511,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1964 [YR1964],NaN,NaN,NaN,NaN,NaN,NaN,9450000,59627352,NaN,NaN,NaN,NaN,NaN,NaN,1313752328,-3.856506025,4.632992432,4.382095539,68992688620,67964362733,80705909955,75564890870,16374563527,11425374990,34378358330,1299099900,1282100000,199900000,NaN,NaN,NaN,NaN,15.3875772,33.47702513,3173459248,2093651878,1299099900,1282100000,199900000,235000000,NaN,NaN,NaN,0.948443947,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,726280,NaN,3077682,1563113,NaN,NaN,NaN,NaN,1100000,107160,NaN,NaN,NaN,NaN,NaN,2.278500676,183000000,38900000,NaN,NaN,1.7806193,-1.68057498,NaN,NaN,14.79485912,NaN,NaN,NaN,NaN,134.8,28760,4640795,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,79.26015767,NaN,NaN,202000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.003834253,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.85000038,NaN,NaN,NaN,NaN,NaN
1965 [YR1965],NaN,NaN,NaN,NaN,NaN,NaN,9080000,67884400,NaN,NaN,NaN,NaN,NaN,NaN,1374380381,13.07929391,4.361769315,4.891565811,72001990542,71288884264,83439529441,77859494748,17493732597,12358058663,36159773405,1331399900,1319700000,223500000,226943200,721895400,NaN,NaN,16.78684218,36.39777951,3346901935,2367486761,1331399900,1319700000,223500000,261100000,721895400,NaN,NaN,1.053269654,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,729666,NaN,3152015,1622969,NaN,NaN,NaN,NaN,1100000,107160,NaN,NaN,NaN,NaN,NaN,2.395974342,202400000,34000000,NaN,NaN,1.766374346,-1.797049285,NaN,NaN,15.61514313,NaN,NaN,NaN,NaN,131.7,28718,4774984,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,75.36309844,0.003474823,0.145602958,229000000,10.96575693,6.931387563,1.00554329,NaN,NaN,NaN,NaN,NaN,NaN,1.395590485,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1966 [YR1966],NaN,NaN,NaN,NaN,NaN,NaN,4880000,60807566,NaN,NaN,NaN,NaN,NaN,NaN,1434175233,22.93729357,5.512103989,5.181198568,75970815135,74982502915,85007052350,81878516101,19288829507,13646975682,37759110144,1390700000,1374500000,263400000,248009300,746167600,NaN,NaN,18.94010211,38.07435105,3402457808,2910524149,1390700000,1374500000,263400000,266100000,746167600,NaN,NaN,0.753001119,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,674105,NaN,3226487,1684303,NaN,NaN,NaN,NaN,1100000,107160,NaN,NaN,NaN,NaN,NaN,3.473071115,232100000,24000000,NaN,NaN,1.778460973,-1.002859259,NaN,NaN,16.70381822,NaN,NaN,NaN,NaN,128.5,28697,4910790,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,71.35278515,0.030061544,0.361705717,207000000,11.48920885,5.312571864,0.872656981,NaN,NaN,NaN,NaN,NaN,NaN,1.373454875,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1967 [YR1967],NaN,NaN,NaN,NaN,NaN,NaN,7550000,65213280,NaN,NaN,NaN,NaN,NaN,NaN,1480672815,-6.409395841,4.112175617,3.919550535,79094868471,77921480009,90816637971,83404004686,20924484963,14793399363,39574972472,1453500000,1434100000,235600000,269766900,785282500,NaN,NaN,16.20915033,35.72067423,3619261162,2723977135,1453500000,1434100000,235600000,283600000,785282500,NaN,NaN,1.055017092,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,691683,NaN,3300619,1746816,NaN,NaN,NaN,NaN,1110000,107160,NaN,NaN,NaN,NaN,NaN,3.212934297,256600000,19600000,NaN,NaN,1.787094279,0.387597217,NaN,NaN,17.92225662,NaN,NaN,NaN,NaN,125.3,28688,5047435,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,66.80182463,0.053006647,0.981878649,247000000,12.69383326,3.809972803,1.378652403,NaN,NaN,NaN,NaN,NaN,NaN,1.45714605,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1968 [YR1968],NaN,NaN,NaN,NaN,NaN,NaN,5850000,69463170,NaN,NaN,NaN,NaN,NaN,NaN,1624809199,12.4775901,8.766035054,8.007202161,86028352368,84160810440,97397664358,91187550759,22805224439,16503319430,42557120360,1610500000,1579100000,269500000,300476800,860252900,NaN,NaN,16.73393356,35.15057436,3762893403,3063863836,1610500000,1579100000,269500000,296600000,860252900,NaN,NaN,1.052498312,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,789024,NaN,3373861,1810234,NaN,NaN,NaN,NaN,1110000,107160,NaN,NaN,NaN,NaN,NaN,2.458863707,259100000,24300000,NaN,NaN,1.821519586,1.871428459,NaN,NaN,17.42936976,NaN,NaN,NaN,NaN,122.2,28672,5184095,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,63.87907325,0.037686465,0.570609366,249000000,11.00538692,2.399809453,1.498150258,NaN,NaN,NaN,NaN,NaN,NaN,1.266687364,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1969 [YR1969],NaN,NaN,NaN,NaN,NaN,NaN,5020000,74213280,NaN,NaN,NaN,NaN,NaN,NaN,1732144510,12.81479137,4.736909015,4.577772164,90103437147,88013500593,1.00048E+11,95122814468,24373486886,17701558871,44766665578,1715399900,1679700000,305400000,327017400,920160000,NaN,NaN,17.80342881,35.23376677,3682947159,3456491595,1715399900,1679700000,305400000,299000000,920160000,NaN,NaN,0.805500966,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,818758,NaN,3445722,1874378,NaN,NaN,NaN,NaN,1100000,107160,NaN,NaN,NaN,NaN,NaN,2.605806378,280200000,35100000,NaN,NaN,1.859721963,1.696240528,NaN,NaN,18.36889462,NaN,NaN,NaN,NaN,119.1,28669,5320100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,62.76963558,0.04181966,0.29204642,250000000,9.730636117,2.133594445,1.900066197,NaN,NaN,NaN,NaN,NaN,NaN,1.025999767,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
