NaN,"Foreign direct investment, net (BoP, current US$)","Net capital account (BoP, current US$)","Net trade in goods and services (BoP, current US$)","Exports of goods and services (BoP, current US$)","Charges for the use of intellectual property, payments (BoP, current US$)","Net secondary income (BoP, current US$)","Grants, excluding technical cooperation (BoP, current US$)","Total reserves (includes gold, current US$)","External debt stocks, long-term (DOD, current US$)",Total debt service (% of GNI),"Debt service on external debt, total (TDS, current US$)","Net financial flows, bilateral (NFL, current US$)","Commercial banks and other lending (PPG + PNG) (NFL, current US$)",Adjusted net national income (current US$),"GNI, Atlas method (current US$)",Exports of goods and services (annual % growth),GDP growth (annual %),GNI growth (annual %),GDP (constant LCU),GNI (constant LCU),Gross national expenditure (constant LCU),Gross domestic income (constant LCU),"Industry (including construction), value added (constant LCU)","Manufacturing, value added (constant LCU)","Services, value added (constant LCU)",GDP (current LCU),GNI (current LCU),Exports of goods and services (current LCU),"Industry (including construction), value added (current LCU)","Services, value added (current LCU)",Gross savings (% of GDP),Gross savings (% of GNI),Exports of goods and services (% of GDP),Trade (% of GDP),Imports of goods and services (constant 2010 US$),Exports of goods and services (constant 2010 US$),GDP (current US$),GNI (current US$),Exports of goods and services (current US$),Imports of goods and services (current US$),"Services, value added (current US$)","Net ODA provided, total (% of GNI)",Net ODA received (% of central government expense),Net ODA received (% of GNI),Net official aid received (current US$),"GDP per capita, PPP (current international $)","GDP per capita, PPP (current international $)","GNI, PPP (current international $)","Households and NPISHs Final consumption expenditure, PPP (current international $)","Gross intake ratio in first grade of primary education, total (% of relevant age group)","Over-age students, primary (% of enrollment)","Persistence to grade 5, total (% of cohort)","Government expenditure on education, total (% of government expenditure)","Compulsory education, duration (years)","Adjusted net enrollment rate, primary (% of primary school age children)","Primary education, pupils",Aquaculture production (metric tons),Cereal production (metric tons),"Plant species (higher), threatened",Rural population,Urban population,Electricity production from coal sources (% of total),Access to electricity (% of population),GDP per unit of energy use (PPP $ per kg of oil equivalent),"Annual freshwater withdrawals, total (% of internal resources)",Arable land (hectares),Land area (sq. km),Urban land area (sq. km),Rural land area (sq. km),Total natural resources rents (% of GDP),"Depositors with commercial banks (per 1,000 adults)",Bank liquid reserves to bank assets ratio (%),"Claims on central government, etc. (% GDP)",Net domestic credit (current LCU),Net foreign assets (current LCU),"Listed domestic companies, total","Stocks traded, total value (current US$)",Consumer price index (2010 = 100),"Inflation, GDP deflator (annual %)",Deposit interest rate (%),Real interest rate (%),Broad money (% of GDP),"Domestic general government health expenditure per capita, PPP (current international $)",Current health expenditure (% of GDP),Current health expenditure per capita (current US$),"External health expenditure per capita, PPP (current international $)","Mortality rate, infant (per 1,000 live births)",Number of infant deaths,"Population, total","ICT service exports (BoP, current US$)","Patent applications, residents","Trademark applications, total",Rail lines (total route-km),Gini index (World Bank estimate),Multidimensional poverty headcount ratio (% of total population),Poverty headcount ratio at national poverty lines (% of population),Start-up procedures to register a business (number),Cost of business start-up procedures (% of GNI per capita),Profit tax (% of commercial profits),Merchandise exports to high-income economies (% of total merchandise exports),Fuel exports (% of merchandise exports),Ores and metals exports (% of merchandise exports),Merchandise imports (current US$),Food imports (% of merchandise imports),Fuel imports (% of merchandise imports),Ores and metals imports (% of merchandise imports),"Bound rate, simple mean, all products (%)","Share of tariff lines with international peaks, all products (%)","Binding coverage, all products (%)",Export value index (2000 = 100),"Armed forces personnel, total","Armed forces personnel, total",Military expenditure (% of GDP),"Central government debt, total (% of GDP)",Expense (% of GDP),Tax revenue (% of GDP),Taxes on goods and services (% of revenue),"Revenue, excluding grants (% of GDP)",Social contributions (current LCU),IDA resource allocation index (1=low to 6=high),"Employers, total (% of total employment) (modeled ILO estimate)","Labor force participation rate for ages 15-24, female (%) (national estimate)",Benefit incidence of social protection and labor programs to poorest quintile (% of total SPL benefits),"Unemployment, total (% of total labor force) (modeled ILO estimate)",Increase in poverty gap at $3.20 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),Increase in poverty gap at $1.90 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),Number of people pushed below the $3.20 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure
1960 [YR1960],NaN,NaN,NaN,NaN,NaN,NaN,3200000,14740000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.2034E+11,NaN,NaN,NaN,1.03373E+11,26388472069,1.13692E+11,291800000,267900600,142200000,81300000,112300000,NaN,NaN,48.73200822,105.688828,NaN,NaN,170215248.2,156274047.7,82949308.76,96949192.09,65507787.44,NaN,NaN,4.844054584,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,405940,165879,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.822481151,35200000,26800000,NaN,NaN,NaN,NaN,NaN,NaN,21.31596984,NaN,NaN,NaN,NaN,67,1616,571819,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,91.52086137,NaN,NaN,86000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1961 [YR1961],NaN,NaN,NaN,NaN,NaN,NaN,4800000,15090000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.689524309,NaN,3.35362E+11,NaN,NaN,NaN,1.10068E+11,29970688407,1.18677E+11,318600000,296700500,165900000,89600000,122300000,NaN,NaN,52.07156309,105.0533584,NaN,NaN,185848451.3,173073849.4,96774193.55,98465846.12,71341072.16,NaN,NaN,5.41965187,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,216403,NaN,418096,171178,NaN,NaN,NaN,NaN,350000,196710,NaN,NaN,NaN,NaN,NaN,1.004394225,32600000,26900000,NaN,NaN,NaN,4.293503651,NaN,NaN,19.08349027,NaN,NaN,NaN,NaN,64.5,1571,589274,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87.11162255,NaN,NaN,86000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1962 [YR1962],NaN,NaN,NaN,NaN,NaN,NaN,3730000,15090000,NaN,NaN,NaN,NaN,NaN,NaN,170366409.3,NaN,1.104925811,NaN,3.39067E+11,NaN,NaN,NaN,1.25182E+11,32558563304,1.1366E+11,334200000,298301200,189300000,106300000,120500000,NaN,NaN,56.6427289,101.5260323,NaN,NaN,194948375.4,174007583.3,110424079.8,87499270.84,70291080.91,NaN,NaN,4.781400637,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,221848,NaN,429923,176362,NaN,NaN,NaN,NaN,350000,196710,NaN,NaN,NaN,NaN,NaN,1.406343507,33500000,37100000,NaN,NaN,NaN,3.750060647,NaN,NaN,21.48414123,NaN,NaN,NaN,NaN,62.4,1530,606285,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,74000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1963 [YR1963],NaN,NaN,NaN,NaN,NaN,NaN,2580000,16900000,NaN,NaN,NaN,NaN,NaN,NaN,157435794.1,NaN,-12.27865726,NaN,2.97434E+11,NaN,NaN,NaN,1.02308E+11,35213299056,1.00577E+11,301300000,273800700,189600000,89300000,110100000,NaN,NaN,62.92731497,109.0607368,NaN,NaN,175756868.7,159715744,110599078.3,81082657.64,64224464.8,NaN,NaN,3.850591019,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,164495,NaN,441225,181350,NaN,NaN,NaN,NaN,350000,196710,NaN,NaN,NaN,NaN,NaN,1.062064388,31900000,54000000,NaN,NaN,NaN,2.774983415,NaN,NaN,27.91237969,NaN,NaN,NaN,NaN,60.6,1494,622575,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,69000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1964 [YR1964],NaN,NaN,NaN,NaN,NaN,NaN,3080000,16550000,NaN,NaN,NaN,NaN,NaN,NaN,179820766.8,NaN,11.36028238,NaN,3.31224E+11,NaN,NaN,NaN,1.22286E+11,32688962615,1.11031E+11,333900000,305200700,190700000,105600000,121300000,NaN,NaN,57.11290806,110.6319257,NaN,NaN,194773376.9,178032258.1,111240739.7,104240798,70757743.69,NaN,NaN,2.847798611,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,300741,NaN,451792,186053,NaN,NaN,NaN,NaN,350000,196710,NaN,NaN,NaN,NaN,NaN,1.138065289,35600000,59600000,NaN,NaN,NaN,-0.485362841,NaN,NaN,28.63132674,NaN,NaN,NaN,NaN,59.2,1465,637845,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89.4625922,NaN,NaN,87000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1965 [YR1965],NaN,NaN,NaN,NaN,NaN,NaN,4920000,20120000,NaN,NaN,NaN,NaN,NaN,NaN,204811233.3,NaN,10.54101876,NaN,3.66138E+11,NaN,NaN,NaN,1.33764E+11,38639460859,1.24129E+11,362500000,337500000,200300000,113800000,133100000,NaN,NaN,55.25517241,112.9103448,NaN,NaN,213235294.1,198529411.8,117823529.4,122941176.5,78294117.65,NaN,NaN,3.520888774,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,247434,NaN,461464,190404,NaN,NaN,NaN,NaN,350000,196710,NaN,NaN,NaN,NaN,NaN,3.006896552,53600000,46800000,NaN,NaN,NaN,-1.787191786,NaN,NaN,28.02758621,NaN,NaN,NaN,NaN,58,1441,651868,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87.56423433,NaN,NaN,104000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1966 [YR1966],NaN,NaN,NaN,NaN,NaN,NaN,7070000,16900000,NaN,NaN,NaN,NaN,NaN,NaN,213847707.9,NaN,5.233273894,NaN,3.85299E+11,NaN,NaN,NaN,1.41726E+11,37943801272,1.32892E+11,388800000,356100000,213800000,123200000,144700000,NaN,NaN,54.98971193,115.149177,NaN,NaN,228705882.4,209470588.2,125764705.9,137588235.3,85117647.06,NaN,NaN,4.139005934,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,280984,NaN,470155,194366,NaN,NaN,NaN,NaN,355000,196710,NaN,NaN,NaN,NaN,NaN,4.449588477,70700000,34900000,NaN,NaN,NaN,1.92134906,NaN,NaN,28.08641975,NaN,NaN,NaN,NaN,57.1,1423,664521,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87.07607699,NaN,NaN,118000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1967 [YR1967],NaN,NaN,NaN,NaN,NaN,NaN,4510000,18850000,NaN,NaN,NaN,NaN,NaN,NaN,229866590.2,NaN,4.31362183,NaN,4.0192E+11,NaN,NaN,NaN,1.51819E+11,39597924305,1.37383E+11,425300000,393300000,244300000,138300000,156500000,NaN,NaN,57.44180578,117.234893,NaN,NaN,250176470.6,231352941.2,143705882.4,149588235.3,92058823.53,NaN,NaN,4.905924396,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,223890,NaN,477915,197956,NaN,NaN,NaN,NaN,355000,196710,NaN,NaN,NaN,NaN,NaN,4.159887138,73314000,48616716.49,NaN,NaN,NaN,4.864406166,NaN,NaN,30.12109099,NaN,NaN,NaN,NaN,56.4,1409,675871,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,83.52626892,NaN,NaN,130000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1968 [YR1968],NaN,NaN,NaN,NaN,NaN,NaN,4210000,23550000,NaN,NaN,NaN,NaN,NaN,NaN,227979650.1,NaN,1.024827553,NaN,4.06039E+11,NaN,NaN,NaN,1.62241E+11,38532613240,1.36398E+11,459500000,417500000,267600000,158400000,167000000,NaN,NaN,58.23721436,113.3841132,NaN,NaN,229750000,208750000,133800000,126700000,83500000,NaN,NaN,7.262275376,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,177356,NaN,484906,201240,NaN,NaN,NaN,NaN,355000,196710,NaN,NaN,NaN,NaN,NaN,5.606528836,95801000,46959832.91,NaN,NaN,NaN,6.945376865,NaN,NaN,31.35016322,NaN,NaN,NaN,NaN,55.9,1400,686146,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90.99264706,NaN,NaN,110000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1969 [YR1969],NaN,NaN,NaN,NaN,NaN,NaN,-230000,20550000,NaN,NaN,NaN,NaN,NaN,NaN,244886955.4,NaN,6.994386657,NaN,4.34439E+11,NaN,NaN,NaN,1.76227E+11,41108043878,1.40977E+11,498600000,457600000,295400000,173900000,174600000,NaN,NaN,59.24588849,114.6811071,NaN,NaN,249300000,228800000,147700000,138200000,87300000,NaN,NaN,7.910839328,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,192874,NaN,491412,204333,NaN,NaN,NaN,NaN,355000,196710,NaN,NaN,NaN,NaN,NaN,7.42860008,121886000,37719294.37,NaN,NaN,NaN,1.415833647,NaN,NaN,31.43922984,NaN,NaN,NaN,NaN,55.5,1394,695745,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,92.83828465,NaN,NaN,118000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
