NaN,"Foreign direct investment, net (BoP, current US$)","Net capital account (BoP, current US$)","Net trade in goods and services (BoP, current US$)","Exports of goods and services (BoP, current US$)","Charges for the use of intellectual property, payments (BoP, current US$)","Net secondary income (BoP, current US$)","Grants, excluding technical cooperation (BoP, current US$)","Total reserves (includes gold, current US$)","External debt stocks, long-term (DOD, current US$)",Total debt service (% of GNI),"Debt service on external debt, total (TDS, current US$)","Net financial flows, bilateral (NFL, current US$)","Commercial banks and other lending (PPG + PNG) (NFL, current US$)",Adjusted net national income (current US$),"GNI, Atlas method (current US$)",Exports of goods and services (annual % growth),GDP growth (annual %),GNI growth (annual %),GDP (constant LCU),GNI (constant LCU),Gross national expenditure (constant LCU),Gross domestic income (constant LCU),"Industry (including construction), value added (constant LCU)","Manufacturing, value added (constant LCU)","Services, value added (constant LCU)",GDP (current LCU),GNI (current LCU),Exports of goods and services (current LCU),"Industry (including construction), value added (current LCU)","Services, value added (current LCU)",Gross savings (% of GDP),Gross savings (% of GNI),Exports of goods and services (% of GDP),Trade (% of GDP),Imports of goods and services (constant 2010 US$),Exports of goods and services (constant 2010 US$),GDP (current US$),GNI (current US$),Exports of goods and services (current US$),Imports of goods and services (current US$),"Services, value added (current US$)","Net ODA provided, total (% of GNI)",Net ODA received (% of central government expense),Net ODA received (% of GNI),Net official aid received (current US$),"GDP per capita, PPP (current international $)","GDP per capita, PPP (current international $)","GNI, PPP (current international $)","Households and NPISHs Final consumption expenditure, PPP (current international $)","Gross intake ratio in first grade of primary education, total (% of relevant age group)","Over-age students, primary (% of enrollment)","Persistence to grade 5, total (% of cohort)","Government expenditure on education, total (% of government expenditure)","Compulsory education, duration (years)","Adjusted net enrollment rate, primary (% of primary school age children)","Primary education, pupils",Aquaculture production (metric tons),Cereal production (metric tons),"Plant species (higher), threatened",Rural population,Urban population,Electricity production from coal sources (% of total),Access to electricity (% of population),GDP per unit of energy use (PPP $ per kg of oil equivalent),"Annual freshwater withdrawals, total (% of internal resources)",Arable land (hectares),Land area (sq. km),Urban land area (sq. km),Rural land area (sq. km),Total natural resources rents (% of GDP),"Depositors with commercial banks (per 1,000 adults)",Bank liquid reserves to bank assets ratio (%),"Claims on central government, etc. (% GDP)",Net domestic credit (current LCU),Net foreign assets (current LCU),"Listed domestic companies, total","Stocks traded, total value (current US$)",Consumer price index (2010 = 100),"Inflation, GDP deflator (annual %)",Deposit interest rate (%),Real interest rate (%),Broad money (% of GDP),"Domestic general government health expenditure per capita, PPP (current international $)",Current health expenditure (% of GDP),Current health expenditure per capita (current US$),"External health expenditure per capita, PPP (current international $)","Mortality rate, infant (per 1,000 live births)",Number of infant deaths,"Population, total","ICT service exports (BoP, current US$)","Patent applications, residents","Trademark applications, total",Rail lines (total route-km),Gini index (World Bank estimate),Multidimensional poverty headcount ratio (% of total population),Poverty headcount ratio at national poverty lines (% of population),Start-up procedures to register a business (number),Cost of business start-up procedures (% of GNI per capita),Profit tax (% of commercial profits),Merchandise exports to high-income economies (% of total merchandise exports),Fuel exports (% of merchandise exports),Ores and metals exports (% of merchandise exports),Merchandise imports (current US$),Food imports (% of merchandise imports),Fuel imports (% of merchandise imports),Ores and metals imports (% of merchandise imports),"Bound rate, simple mean, all products (%)","Share of tariff lines with international peaks, all products (%)","Binding coverage, all products (%)",Export value index (2000 = 100),"Armed forces personnel, total","Armed forces personnel, total",Military expenditure (% of GDP),"Central government debt, total (% of GDP)",Expense (% of GDP),Tax revenue (% of GDP),Taxes on goods and services (% of revenue),"Revenue, excluding grants (% of GDP)",Social contributions (current LCU),IDA resource allocation index (1=low to 6=high),"Employers, total (% of total employment) (modeled ILO estimate)","Labor force participation rate for ages 15-24, female (%) (national estimate)",Benefit incidence of social protection and labor programs to poorest quintile (% of total SPL benefits),"Unemployment, total (% of total labor force) (modeled ILO estimate)",Increase in poverty gap at $3.20 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),Increase in poverty gap at $1.90 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),Number of people pushed below the $3.20 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure
1960 [YR1960],NaN,NaN,NaN,NaN,NaN,NaN,10000000,4300000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.67677E+11,NaN,NaN,NaN,NaN,NaN,NaN,1365936000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,273187200,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3263309,602850,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.299024259,151300000,19600000,NaN,NaN,0.85297117,NaN,NaN,NaN,10.13224631,NaN,NaN,NaN,NaN,190.6,31376,3866159,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84.8781898,NaN,NaN,40000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1961 [YR1961],NaN,NaN,NaN,NaN,NaN,NaN,14000000,3000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-2.93198029,NaN,2.59829E+11,NaN,NaN,NaN,NaN,NaN,NaN,1355330000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,271066000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,466000,NaN,3312218,629726,NaN,NaN,NaN,NaN,900000,27560,NaN,NaN,NaN,NaN,NaN,7.570112076,159700000,19300000,NaN,NaN,0.885210976,2.220624663,NaN,NaN,11.48059882,NaN,NaN,NaN,NaN,187.7,31349,3941944,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84.62651236,NaN,NaN,33000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1962 [YR1962],NaN,NaN,NaN,NaN,NaN,NaN,5010000,2200000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.887575894,NaN,2.80323E+11,NaN,NaN,NaN,NaN,NaN,NaN,1409484000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,281896800,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,472500,NaN,3361435,657738,NaN,NaN,NaN,NaN,900000,27560,NaN,NaN,NaN,NaN,NaN,8.336384095,177500000,-2600000,NaN,NaN,0.880298902,-3.607406879,NaN,NaN,11.37295634,NaN,NaN,NaN,NaN,184.7,31275,4019173,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,82.87496942,NaN,NaN,37000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1963 [YR1963],NaN,NaN,NaN,NaN,NaN,NaN,2030000,2600000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1.892792551,NaN,2.75017E+11,NaN,NaN,NaN,NaN,NaN,NaN,1474417000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,294883400,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,478000,NaN,3410889,686866,NaN,NaN,NaN,NaN,900000,27560,NaN,NaN,NaN,NaN,NaN,8.722091511,193300000,-13900000,NaN,NaN,0.918211807,6.625054306,NaN,NaN,11.49606929,NaN,NaN,NaN,NaN,181.9,31171,4097755,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86.37413395,NaN,NaN,39000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1964 [YR1964],NaN,NaN,NaN,NaN,NaN,NaN,3280000,2100000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1.64735737,NaN,2.70487E+11,NaN,NaN,NaN,NaN,NaN,NaN,1626406000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,325281200,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,485000,NaN,3460420,717217,NaN,NaN,NaN,NaN,900000,27560,NaN,NaN,NaN,NaN,NaN,8.374292766,205000000,-25100000,NaN,NaN,1.002339712,12.15602395,NaN,NaN,10.52627696,NaN,NaN,NaN,NaN,179,30987,4177637,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85.22427441,NaN,NaN,41000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1965 [YR1965],NaN,NaN,NaN,NaN,NaN,NaN,2300000,1400000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.161797861,NaN,2.76334E+11,NaN,NaN,NaN,NaN,NaN,NaN,1766259000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,353251800,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,493000,NaN,3510047,748685,NaN,NaN,NaN,NaN,900000,27560,NaN,NaN,NaN,NaN,NaN,8.067333273,218582000,-27823480.2,NaN,NaN,1.025032108,6.300888105,NaN,NaN,9.693255632,NaN,NaN,NaN,NaN,176.2,30759,4258732,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85.50766867,NaN,NaN,34000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1966 [YR1966],NaN,NaN,NaN,NaN,NaN,NaN,800000,2200000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.5757868,NaN,2.74743E+11,NaN,NaN,NaN,NaN,NaN,NaN,1844743000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,368948600,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,497000,NaN,3559837,781481,NaN,NaN,NaN,NaN,900000,27560,NaN,NaN,NaN,NaN,NaN,7.698470735,222993000,-34262310.2,NaN,NaN,1.110128591,5.04837058,NaN,NaN,8.746909461,NaN,NaN,NaN,NaN,173.3,30439,4341318,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85.44653563,NaN,NaN,38000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1967 [YR1967],NaN,NaN,NaN,NaN,NaN,NaN,1160000,1900000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-2.117686202,NaN,2.68925E+11,NaN,NaN,NaN,NaN,NaN,NaN,1845621000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,369124200,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,511000,NaN,3609764,815539,NaN,NaN,NaN,NaN,900000,27560,NaN,NaN,NaN,NaN,NaN,8.595535053,249811000,-41083138.3,NaN,NaN,1.077542864,2.212126812,NaN,NaN,9.683028097,NaN,NaN,NaN,NaN,170.2,30025,4425303,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88.48402363,NaN,NaN,36000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1968 [YR1968],NaN,NaN,NaN,NaN,NaN,NaN,3580000,2500000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.181617322,NaN,2.77481E+11,NaN,NaN,NaN,NaN,NaN,NaN,1839844000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,367968800,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,486000,NaN,3658992,850821,NaN,NaN,NaN,NaN,900000,27560,NaN,NaN,NaN,NaN,NaN,9.576137977,264626000,-37885918.6,NaN,NaN,1.091725611,-3.386871217,NaN,NaN,10.91358833,NaN,NaN,NaN,NaN,167.1,29575,4509813,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90.22198584,NaN,NaN,38000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1969 [YR1969],NaN,NaN,NaN,NaN,NaN,NaN,1080000,3500000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.811943286,NaN,2.88058E+11,NaN,NaN,NaN,NaN,NaN,NaN,1959102000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,391820400,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,534000,NaN,3706632,887037,NaN,NaN,NaN,NaN,900000,27560,NaN,NaN,NaN,NaN,NaN,9.271492755,283188000,-25810428.5,NaN,NaN,1.107153673,2.57197701,NaN,NaN,11.45555464,NaN,NaN,NaN,NaN,163.9,29103,4593669,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89.62638788,NaN,NaN,39000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
