NaN,"Foreign direct investment, net (BoP, current US$)","Net capital account (BoP, current US$)","Net trade in goods and services (BoP, current US$)","Exports of goods and services (BoP, current US$)","Charges for the use of intellectual property, payments (BoP, current US$)","Net secondary income (BoP, current US$)","Grants, excluding technical cooperation (BoP, current US$)","Total reserves (includes gold, current US$)","External debt stocks, long-term (DOD, current US$)",Total debt service (% of GNI),"Debt service on external debt, total (TDS, current US$)","Net financial flows, bilateral (NFL, current US$)","Commercial banks and other lending (PPG + PNG) (NFL, current US$)",Adjusted net national income (current US$),"GNI, Atlas method (current US$)",Exports of goods and services (annual % growth),GDP growth (annual %),GNI growth (annual %),GDP (constant LCU),GNI (constant LCU),Gross national expenditure (constant LCU),Gross domestic income (constant LCU),"Industry (including construction), value added (constant LCU)","Manufacturing, value added (constant LCU)","Services, value added (constant LCU)",GDP (current LCU),GNI (current LCU),Exports of goods and services (current LCU),"Industry (including construction), value added (current LCU)","Services, value added (current LCU)",Gross savings (% of GDP),Gross savings (% of GNI),Exports of goods and services (% of GDP),Trade (% of GDP),Imports of goods and services (constant 2010 US$),Exports of goods and services (constant 2010 US$),GDP (current US$),GNI (current US$),Exports of goods and services (current US$),Imports of goods and services (current US$),"Services, value added (current US$)","Net ODA provided, total (% of GNI)",Net ODA received (% of central government expense),Net ODA received (% of GNI),Net official aid received (current US$),"GDP per capita, PPP (current international $)","GDP per capita, PPP (current international $)","GNI, PPP (current international $)","Households and NPISHs Final consumption expenditure, PPP (current international $)","Gross intake ratio in first grade of primary education, total (% of relevant age group)","Over-age students, primary (% of enrollment)","Persistence to grade 5, total (% of cohort)","Government expenditure on education, total (% of government expenditure)","Compulsory education, duration (years)","Adjusted net enrollment rate, primary (% of primary school age children)","Primary education, pupils",Aquaculture production (metric tons),Cereal production (metric tons),"Plant species (higher), threatened",Rural population,Urban population,Electricity production from coal sources (% of total),Access to electricity (% of population),GDP per unit of energy use (PPP $ per kg of oil equivalent),"Annual freshwater withdrawals, total (% of internal resources)",Arable land (hectares),Land area (sq. km),Urban land area (sq. km),Rural land area (sq. km),Total natural resources rents (% of GDP),"Depositors with commercial banks (per 1,000 adults)",Bank liquid reserves to bank assets ratio (%),"Claims on central government, etc. (% GDP)",Net domestic credit (current LCU),Net foreign assets (current LCU),"Listed domestic companies, total","Stocks traded, total value (current US$)",Consumer price index (2010 = 100),"Inflation, GDP deflator (annual %)",Deposit interest rate (%),Real interest rate (%),Broad money (% of GDP),"Domestic general government health expenditure per capita, PPP (current international $)",Current health expenditure (% of GDP),Current health expenditure per capita (current US$),"External health expenditure per capita, PPP (current international $)","Mortality rate, infant (per 1,000 live births)",Number of infant deaths,"Population, total","ICT service exports (BoP, current US$)","Patent applications, residents","Trademark applications, total",Rail lines (total route-km),Gini index (World Bank estimate),Multidimensional poverty headcount ratio (% of total population),Poverty headcount ratio at national poverty lines (% of population),Start-up procedures to register a business (number),Cost of business start-up procedures (% of GNI per capita),Profit tax (% of commercial profits),Merchandise exports to high-income economies (% of total merchandise exports),Fuel exports (% of merchandise exports),Ores and metals exports (% of merchandise exports),Merchandise imports (current US$),Food imports (% of merchandise imports),Fuel imports (% of merchandise imports),Ores and metals imports (% of merchandise imports),"Bound rate, simple mean, all products (%)","Share of tariff lines with international peaks, all products (%)","Binding coverage, all products (%)",Export value index (2000 = 100),"Armed forces personnel, total","Armed forces personnel, total",Military expenditure (% of GDP),"Central government debt, total (% of GDP)",Expense (% of GDP),Tax revenue (% of GDP),Taxes on goods and services (% of revenue),"Revenue, excluding grants (% of GDP)",Social contributions (current LCU),IDA resource allocation index (1=low to 6=high),"Employers, total (% of total employment) (modeled ILO estimate)","Labor force participation rate for ages 15-24, female (%) (national estimate)",Benefit incidence of social protection and labor programs to poorest quintile (% of total SPL benefits),"Unemployment, total (% of total labor force) (modeled ILO estimate)",Increase in poverty gap at $3.20 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),Increase in poverty gap at $1.90 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),Number of people pushed below the $3.20 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure
1960 [YR1960],NaN,NaN,NaN,NaN,NaN,NaN,5010000,13320360,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22545598500,23131111803,23499610400,20413101498,5539698700,3725662200,9117140000,671300000,688300000,143600000,114600000,265200000,NaN,NaN,21.39133025,44.42127216,1143181228,1064040919,335650000,344150000,71800000,77300000,132600000,NaN,NaN,1.5661775,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1574904,463728,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.979293907,87200000,19400000,NaN,NaN,1.561930288,NaN,NaN,NaN,15.10502011,NaN,NaN,NaN,NaN,139.5,13740,2038632,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,77.7258567,NaN,NaN,72000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.168405365,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1961 [YR1961],NaN,NaN,NaN,NaN,NaN,NaN,6000000,12328965,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.187878522,1.855659321,-1.015478646,22963968000,22896220302,24036883200,21951030418,5401398300,3698467600,9252299800,712400000,710400000,159000000,118700000,277500000,NaN,NaN,22.31892195,44.24480629,1167484342,1076680433,356200000,355200000,79500000,78100000,138750000,NaN,NaN,2.066441484,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,318005,NaN,1607568,488841,NaN,NaN,NaN,NaN,1295000,111890,NaN,NaN,NaN,NaN,NaN,3.621560921,105000000,12900000,NaN,NaN,1.586343139,4.189055068,NaN,NaN,14.90735542,NaN,NaN,NaN,NaN,135.1,13611,2096409,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80.41543027,NaN,NaN,72000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.075842697,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1962 [YR1962],NaN,NaN,NaN,NaN,NaN,NaN,5000000,13298717,NaN,NaN,NaN,NaN,NaN,NaN,377579727.4,3.258269758,5.764846041,4.82570577,24287805400,24001124526,25744309800,24006618879,6140278800,3832348700,9628597200,775500000,766900000,174400000,138400000,295300000,NaN,NaN,22.48871696,44.56479691,1279340986,1111761586,387750000,383450000,87200000,85600000,147650000,NaN,NaN,1.533446372,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,343680,NaN,1640447,515200,NaN,NaN,NaN,NaN,1305000,111890,NaN,NaN,NaN,NaN,NaN,0.322372663,88600000,14000000,NaN,NaN,1.603668389,2.923974806,NaN,NaN,15.42230819,NaN,NaN,NaN,NaN,131,13500,2155647,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,78.57142857,NaN,NaN,80000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.988387097,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1963 [YR1963],NaN,NaN,NaN,NaN,NaN,NaN,6010000,12449272,NaN,NaN,NaN,NaN,NaN,NaN,401186694.5,3.82830776,3.580436708,3.17247389,25157414900,24762553935,27706077700,25062452249,6246369800,3955770400,10112407600,820400000,808400000,181200000,147600000,320900000,NaN,NaN,22.08678693,46.80643588,1536393229,1154323241,410200000,404200000,90600000,101400000,160450000,NaN,NaN,1.810984704,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,347221,NaN,1673811,542893,NaN,NaN,NaN,NaN,1310000,111890,NaN,NaN,NaN,NaN,NaN,0.268161872,116100000,13700000,NaN,NaN,1.653084725,2.133005408,NaN,NaN,15.91906387,NaN,NaN,NaN,NaN,126.9,13402,2216704,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,81.52173913,1.22E-06,7.736161743,95000000,12.03165956,7.572020158,1.04527497,NaN,NaN,NaN,NaN,NaN,NaN,0.931707317,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1964 [YR1964],NaN,NaN,NaN,NaN,NaN,NaN,7890000,19699408,NaN,NaN,NaN,NaN,NaN,NaN,437497473.6,8.960891133,5.416645571,5.312687356,26520102900,26078111007,29512430100,27105249930,6396043300,4125213700,10628472800,914000000,900000000,205400000,162800000,354600000,NaN,NaN,22.4726477,47.22100656,1722717107,1257760890,457000000,450000000,102700000,113100000,177300000,NaN,NaN,2.380000008,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,396321,NaN,1707893,572155,NaN,NaN,NaN,NaN,1313000,111890,NaN,NaN,NaN,NaN,NaN,-0.754923414,128400000,20800000,NaN,NaN,1.727012351,5.684513241,NaN,NaN,15.97374179,NaN,NaN,NaN,NaN,122.9,13319,2280048,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,78.48898216,NaN,6.100517331,102000000,12.0997648,6.691453337,1.154340929,NaN,NaN,NaN,NaN,NaN,NaN,1.280087527,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1965 [YR1965],NaN,NaN,NaN,NaN,NaN,NaN,4020000,23388872,NaN,NaN,NaN,NaN,NaN,NaN,491160324.4,36.64885776,9.037156489,7.837727386,28916766100,28122042255,30718199900,28857542571,6587380400,4273733600,11275116300,1017300000,991100000,277400000,177300000,378000000,NaN,NaN,27.26825912,54.0843409,2018094676,1718715889,508650000,495550000,138700000,136400000,189000000,NaN,NaN,2.354959152,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,398168,NaN,1742995,603020,NaN,NaN,NaN,NaN,1318000,111890,NaN,NaN,NaN,NaN,NaN,-2.496805269,148800000,31000000,NaN,NaN,1.782039705,2.077101925,NaN,NaN,16.83869065,NaN,NaN,NaN,NaN,119.1,13247,2346015,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,79.70102282,NaN,6.069159109,122000000,11.95755719,5.62404846,0.549094772,NaN,NaN,NaN,NaN,NaN,NaN,1.229105211,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1966 [YR1966],NaN,NaN,NaN,NaN,NaN,NaN,1310000,27389089,NaN,NaN,NaN,NaN,NaN,NaN,537855941.6,16.41902012,5.373842271,5.155799452,30470707500,29571958356,32352070000,28967933952,6704843000,4445268600,11895623500,1099900000,1068900000,314800000,188500000,418700000,NaN,NaN,28.62078371,58.69624511,2360519688,2000912197,549950000,534450000,157400000,165400000,209350000,NaN,NaN,1.82056311,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,394355,NaN,1779106,635697,NaN,NaN,NaN,NaN,1324000,111890,NaN,NaN,NaN,NaN,NaN,-3.900354578,160400000,33300000,NaN,NaN,1.813835475,2.605665472,NaN,NaN,17.41976543,NaN,NaN,NaN,NaN,115.4,13188,2414803,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,82.06707734,NaN,4.718712024,149000000,11.76444057,5.247741965,0.607246123,NaN,NaN,NaN,NaN,NaN,NaN,1.181818182,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1967 [YR1967],NaN,NaN,NaN,NaN,NaN,NaN,1170000,25089680,NaN,NaN,NaN,NaN,NaN,NaN,580228708.9,7.528684191,5.977542858,5.133519925,32292107100,31090040730,34599099000,31043919464,7943884400,4694203700,12222772800,1196200000,1153800000,341200000,226200000,445900000,NaN,NaN,28.52365825,59.07038957,2625984673,2151554557,598100000,576900000,170600000,182700000,222950000,NaN,NaN,1.52366094,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,389439,NaN,1816202,670213,NaN,NaN,NaN,NaN,1330000,111890,NaN,NaN,NaN,NaN,NaN,0.827620799,228000000,-6280000.007,NaN,NaN,1.851778029,2.621119967,NaN,NaN,16.40193948,NaN,NaN,NaN,NaN,111.7,13104,2486415,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,82.31511254,0.021272598,5.131545049,165000000,12.11621403,5.014611811,0.836439415,NaN,NaN,NaN,NaN,NaN,NaN,1.137123746,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1968 [YR1968],NaN,NaN,NaN,NaN,NaN,NaN,7090000,31572460,NaN,NaN,NaN,NaN,NaN,NaN,638909097.8,12.61239707,6.598183245,6.571575478,34422799500,33133146223,36545759100,33120071753,8472466300,4941046800,12844814900,1293600000,1247400000,393400000,253500000,478900000,NaN,NaN,30.41125541,62.02844774,2881479154,2422917161,646800000,623700000,196700000,204500000,239450000,NaN,NaN,2.600609157,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,392849,NaN,1854069,706658,NaN,NaN,NaN,NaN,1332000,111890,NaN,NaN,NaN,NaN,NaN,0.425170068,251600000,7719999.993,NaN,NaN,1.886243775,1.44868121,NaN,NaN,17.26963513,NaN,NaN,NaN,NaN,108.1,13003,2560727,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,72.53927989,1.17153492,6.731623759,186000000,12.60214055,6.765725738,0.758089191,NaN,NaN,NaN,NaN,NaN,NaN,1.085450346,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1969 [YR1969],NaN,NaN,NaN,NaN,NaN,NaN,0,30929680,NaN,NaN,NaN,NaN,NaN,NaN,666668061.5,-5.983172387,0.655438847,1.538945457,34648419900,33643047271,37150140200,32528041765,8525513900,5089571100,13497576700,1336000100,1298800100,373800000,268100000,513500000,NaN,NaN,27.97903982,58.84730098,2776477252,2277949850,668000050,649400050,186900000,206200000,256750000,NaN,NaN,1.909454676,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,396423,NaN,1892574,744939,NaN,NaN,NaN,NaN,1328000,111890,NaN,NaN,NaN,NaN,NaN,1.429640612,322400000,-3000000.014,NaN,NaN,1.909976767,2.605168305,NaN,NaN,19.89520809,NaN,NaN,NaN,NaN,104.5,12882,2637513,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,77.06453455,2.888320658,5.703494599,184000000,11.46778014,6.919329296,0.697934304,NaN,NaN,NaN,NaN,NaN,NaN,1.068249258,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
