NaN,"Foreign direct investment, net (BoP, current US$)","Net capital account (BoP, current US$)","Net trade in goods and services (BoP, current US$)","Exports of goods and services (BoP, current US$)","Charges for the use of intellectual property, payments (BoP, current US$)","Net secondary income (BoP, current US$)","Grants, excluding technical cooperation (BoP, current US$)","Total reserves (includes gold, current US$)","External debt stocks, long-term (DOD, current US$)",Total debt service (% of GNI),"Debt service on external debt, total (TDS, current US$)","Net financial flows, bilateral (NFL, current US$)","Commercial banks and other lending (PPG + PNG) (NFL, current US$)",Adjusted net national income (current US$),"GNI, Atlas method (current US$)",Exports of goods and services (annual % growth),GDP growth (annual %),GNI growth (annual %),GDP (constant LCU),GNI (constant LCU),Gross national expenditure (constant LCU),Gross domestic income (constant LCU),"Industry (including construction), value added (constant LCU)","Manufacturing, value added (constant LCU)","Services, value added (constant LCU)",GDP (current LCU),GNI (current LCU),Exports of goods and services (current LCU),"Industry (including construction), value added (current LCU)","Services, value added (current LCU)",Gross savings (% of GDP),Gross savings (% of GNI),Exports of goods and services (% of GDP),Trade (% of GDP),Imports of goods and services (constant 2010 US$),Exports of goods and services (constant 2010 US$),GDP (current US$),GNI (current US$),Exports of goods and services (current US$),Imports of goods and services (current US$),"Services, value added (current US$)","Net ODA provided, total (% of GNI)",Net ODA received (% of central government expense),Net ODA received (% of GNI),Net official aid received (current US$),"GDP per capita, PPP (current international $)","GDP per capita, PPP (current international $)","GNI, PPP (current international $)","Households and NPISHs Final consumption expenditure, PPP (current international $)","Gross intake ratio in first grade of primary education, total (% of relevant age group)","Over-age students, primary (% of enrollment)","Persistence to grade 5, total (% of cohort)","Government expenditure on education, total (% of government expenditure)","Compulsory education, duration (years)","Adjusted net enrollment rate, primary (% of primary school age children)","Primary education, pupils",Aquaculture production (metric tons),Cereal production (metric tons),"Plant species (higher), threatened",Rural population,Urban population,Electricity production from coal sources (% of total),Access to electricity (% of population),GDP per unit of energy use (PPP $ per kg of oil equivalent),"Annual freshwater withdrawals, total (% of internal resources)",Arable land (hectares),Land area (sq. km),Urban land area (sq. km),Rural land area (sq. km),Total natural resources rents (% of GDP),"Depositors with commercial banks (per 1,000 adults)",Bank liquid reserves to bank assets ratio (%),"Claims on central government, etc. (% GDP)",Net domestic credit (current LCU),Net foreign assets (current LCU),"Listed domestic companies, total","Stocks traded, total value (current US$)",Consumer price index (2010 = 100),"Inflation, GDP deflator (annual %)",Deposit interest rate (%),Real interest rate (%),Broad money (% of GDP),"Domestic general government health expenditure per capita, PPP (current international $)",Current health expenditure (% of GDP),Current health expenditure per capita (current US$),"External health expenditure per capita, PPP (current international $)","Mortality rate, infant (per 1,000 live births)",Number of infant deaths,"Population, total","ICT service exports (BoP, current US$)","Patent applications, residents","Trademark applications, total",Rail lines (total route-km),Gini index (World Bank estimate),Multidimensional poverty headcount ratio (% of total population),Poverty headcount ratio at national poverty lines (% of population),Start-up procedures to register a business (number),Cost of business start-up procedures (% of GNI per capita),Profit tax (% of commercial profits),Merchandise exports to high-income economies (% of total merchandise exports),Fuel exports (% of merchandise exports),Ores and metals exports (% of merchandise exports),Merchandise imports (current US$),Food imports (% of merchandise imports),Fuel imports (% of merchandise imports),Ores and metals imports (% of merchandise imports),"Bound rate, simple mean, all products (%)","Share of tariff lines with international peaks, all products (%)","Binding coverage, all products (%)",Export value index (2000 = 100),"Armed forces personnel, total","Armed forces personnel, total",Military expenditure (% of GDP),"Central government debt, total (% of GDP)",Expense (% of GDP),Tax revenue (% of GDP),Taxes on goods and services (% of revenue),"Revenue, excluding grants (% of GDP)",Social contributions (current LCU),IDA resource allocation index (1=low to 6=high),"Employers, total (% of total employment) (modeled ILO estimate)","Labor force participation rate for ages 15-24, female (%) (national estimate)",Benefit incidence of social protection and labor programs to poorest quintile (% of total SPL benefits),"Unemployment, total (% of total labor force) (modeled ILO estimate)",Increase in poverty gap at $3.20 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),Increase in poverty gap at $1.90 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),Number of people pushed below the $3.20 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure
1960 [YR1960],NaN,NaN,NaN,NaN,NaN,NaN,519920000,674536630.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.37044E+12,7.34234E+12,7.54604E+12,7.40015E+12,1.54424E+12,7.90006E+11,1.91776E+12,1.76333E+11,1.75613E+11,7870000000,36737740346,68386124719,NaN,NaN,4.463156456,11.29683311,9884316980,5941441197,37029883875,36878683724,1652701653,2530502531,11350817414,NaN,NaN,1.978459997,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,44843,NaN,NaN,369791513,80756166,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.00006204,40280000000,2401571727,NaN,NaN,2.527486591,NaN,NaN,NaN,22.07192494,NaN,NaN,NaN,NaN,161,2949344,450547679,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,71.13818043,NaN,NaN,2303000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.004012346,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1961 [YR1961],NaN,NaN,NaN,NaN,NaN,NaN,335760000,666357094.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.185873214,3.722742533,3.612172204,7.64482E+12,7.60755E+12,7.667E+12,7.67447E+12,1.64789E+12,8.57469E+11,2.01176E+12,1.86821E+11,1.85841E+11,8040000000,40044776134,71600758756,NaN,NaN,4.30358619,10.26116259,8920012791,5930397649,39232435784,39026635578,1688401688,2337302337,11999928024,NaN,NaN,1.57992104,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,49359,87376496,NaN,376759490,82882675,NaN,NaN,NaN,NaN,155806000,2973190,NaN,NaN,NaN,NaN,NaN,14.72533036,43420000000,1783238992,NaN,NaN,2.570333392,2.14542765,NaN,NaN,21.50187279,NaN,NaN,NaN,NaN,158.8,2950691,459642165,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,70.84056713,NaN,NaN,2286000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.074359721,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1962 [YR1962],NaN,NaN,NaN,NaN,NaN,NaN,410010000,512791844,NaN,NaN,NaN,NaN,NaN,NaN,41173872255,-0.57983124,2.931127737,2.915547854,7.8689E+12,7.82936E+12,7.99287E+12,7.89838E+12,1.76443E+12,9.19888E+11,2.12021E+12,2.00769E+11,1.99689E+11,8370000000,44274731943,80178700930,NaN,NaN,4.168975283,10.20079018,9268715304,5896011351,42161481859,41934681632,1757701758,2543102543,13279599264,NaN,NaN,1.615059405,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,54368,87257552,NaN,383620708,85456482,NaN,NaN,NaN,NaN,156700000,2973190,NaN,NaN,NaN,NaN,NaN,15.18662561,48520000000,1114667702,NaN,NaN,2.66369325,4.40561673,NaN,NaN,21.93070271,NaN,NaN,NaN,NaN,156.6,2952642,469077190,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,69.41845401,0.978182032,6.763693042,2362000000,17.08001257,8.473512602,6.069707518,NaN,NaN,NaN,NaN,NaN,NaN,2.745400433,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1963 [YR1963],NaN,NaN,NaN,NaN,NaN,NaN,432940000,607862500.4,NaN,NaN,NaN,NaN,NaN,NaN,45729179877,8.404077898,5.994353261,6.036537004,8.34059E+12,8.30198E+12,8.43534E+12,8.37255E+12,1.93113E+12,1.0069E+12,2.23716E+12,2.3058E+11,2.2946E+11,9870000000,50449773556,87840002856,NaN,NaN,4.280503385,10.18733784,9583109091,6391516738,48421923459,48186723224,2072702073,2860202860,14662081603,NaN,NaN,2.028442561,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,59927,90373008,NaN,390697755,88127853,NaN,NaN,NaN,NaN,157470000,2973190,NaN,NaN,NaN,NaN,NaN,14.64131654,54760000000,1288334275,NaN,NaN,2.742169746,8.353623886,NaN,NaN,21.11628266,NaN,NaN,NaN,NaN,154.6,2954326,478825608,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,71.09052845,1.016112754,7.902005457,2477000000,15.19791207,9.147487238,6.321639262,NaN,NaN,NaN,NaN,NaN,NaN,4.025306026,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1964 [YR1964],NaN,NaN,NaN,NaN,NaN,NaN,589550000,499145125.8,NaN,NaN,NaN,NaN,NaN,NaN,52536801655,-6.512049663,7.452950122,7.40400809,8.96221E+12,8.91666E+12,8.99046E+12,8.99209E+12,2.05625E+12,1.07652E+12,2.35689E+12,2.68953E+11,2.67503E+11,10020000000,56359980439,97739908578,NaN,NaN,3.725551173,9.41054892,9906993528,5975297993,56480289941,56175789636,2104202104,3210903211,16674483077,NaN,NaN,2.164651387,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,66096,93706000,NaN,397946824,90901311,NaN,NaN,NaN,NaN,157732000,2973190,NaN,NaN,NaN,NaN,NaN,13.44842175,59130000000,1398000732,NaN,NaN,3.108393438,8.551676966,NaN,NaN,19.8063983,NaN,NaN,NaN,NaN,152.6,2957630,488848135,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,67.03907312,1.353886564,8.726658654,2876000000,16.86303837,6.9365625,6.325997178,NaN,NaN,NaN,NaN,NaN,NaN,3.81923698,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1965 [YR1965],NaN,NaN,NaN,NaN,NaN,NaN,554450000,600850886.2,NaN,NaN,NaN,NaN,NaN,NaN,55857844003,-13.86417647,-2.63577011,-2.685853536,8.72598E+12,8.67717E+12,9.21711E+12,8.75172E+12,2.1493E+12,1.08652E+12,2.42501E+12,2.836E+11,2.8196E+11,9380000000,61413925087,1.0621E+11,NaN,NaN,3.307472781,8.51903437,8811655738,5146872135,59554854575,59210461463,1969760605,3103737925,18098286309,NaN,NaN,2.168873404,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,72947,79699504,NaN,405363008,93760316,NaN,NaN,NaN,NaN,158216000,2973190,NaN,NaN,NaN,NaN,NaN,14.09378327,66260000000,823525176.3,NaN,NaN,3.402905998,8.300369406,NaN,NaN,20.8286159,NaN,NaN,NaN,NaN,150.9,2962867,499123324,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,64.01453224,1.193326706,8.93538747,2838000000,22.00813199,5.035746656,7.062249131,NaN,NaN,NaN,NaN,NaN,NaN,3.871414914,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1966 [YR1966],NaN,NaN,NaN,NaN,NaN,NaN,618500000,609694584.5,NaN,NaN,NaN,NaN,NaN,NaN,53934009903,25.84036221,-0.05532877,-0.18720132,8.72116E+12,8.66092E+12,9.39736E+12,8.75354E+12,2.22599E+12,1.09507E+12,2.50104E+12,3.21058E+11,3.18758E+11,13300000000,68663495454,1.17057E+11,NaN,NaN,4.14255066,10.81423751,11333752144,6476842537,45865462034,45536890605,1900000000,3060000000,13807531875,NaN,NaN,2.744368213,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80561,80137608,NaN,412918730,96712770,NaN,NaN,NaN,NaN,158590000,2973190,NaN,NaN,NaN,NaN,NaN,13.76697287,74750000000,493025000.4,NaN,NaN,3.770483145,13.27070656,NaN,NaN,20.46046262,NaN,NaN,NaN,NaN,149.2,2969781,509631500,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,64.73052395,1.170544125,10.19462393,3440000000,34.14901954,3.851331806,5.118442191,NaN,NaN,NaN,NaN,NaN,NaN,3.572370646,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1967 [YR1967],NaN,NaN,NaN,NaN,NaN,NaN,536910000,663764119.8,NaN,NaN,NaN,NaN,NaN,NaN,55004484963,4.956135516,7.82596303,7.87617123,9.40367E+12,9.34307E+12,9.73583E+12,9.43766E+12,2.30037E+12,1.09931E+12,2.59294E+12,3.76012E+11,3.73432E+11,15170000000,75538729323,1.30136E+11,NaN,NaN,4.034444995,9.981062668,10886792248,6797843631,50134942203,49790942203,2022666667,2981333333,14552694182,NaN,NaN,2.775846236,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89022,95453504,NaN,420634582,99765994,NaN,NaN,NaN,NaN,159780000,2973190,NaN,NaN,NaN,NaN,NaN,12.49959887,81280000000,337975000.5,NaN,NaN,4.262991255,8.616204711,NaN,NaN,19.10576984,NaN,NaN,NaN,NaN,147.6,2979988,520400576,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,67.40999128,0.835056662,9.957806738,2773000000,32.08561913,3.710270701,8.008187483,NaN,NaN,NaN,NaN,NaN,NaN,3.223923721,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1968 [YR1968],NaN,NaN,NaN,NaN,NaN,NaN,128140000,730352744.9,NaN,NaN,NaN,NaN,NaN,NaN,53910366534,3.138040777,3.387929176,3.406408785,9.72226E+12,9.66134E+12,9.93274E+12,9.75732E+12,2.40909E+12,1.1602E+12,2.70747E+12,3.98141E+11,3.95591E+11,16080000000,82124987875,1.39565E+11,NaN,NaN,4.038771006,8.981744476,9323342612,7011162736,53085455871,52745455871,2144000000,2624000000,15521825109,NaN,NaN,1.752586944,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,98471,102443708,NaN,428580857,102932967,NaN,NaN,NaN,NaN,160069000,2973190,NaN,NaN,NaN,NaN,NaN,12.27454845,87970000000,1228225000,NaN,NaN,4.401002157,2.415383587,NaN,NaN,19.76184719,NaN,NaN,NaN,NaN,146,2989392,531513824,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,66.44921316,0.902340645,10.75090073,2570000000,25.04454366,4.322261255,6.839310548,NaN,NaN,NaN,NaN,NaN,NaN,3.245568585,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1969 [YR1969],NaN,NaN,NaN,NaN,NaN,NaN,140610000,927764119.8,NaN,NaN,NaN,NaN,NaN,NaN,59167585312,-1.938004311,6.539700296,6.572754219,1.03581E+13,1.02964E+13,1.04673E+13,1.03924E+13,2.58481E+12,1.28467E+12,2.84179E+12,4.3836E+11,4.3565E+11,16280000000,93885677640,1.50383E+11,NaN,NaN,3.713842821,7.744776644,8108032309,6875286100,58447995017,58086661684,2170666667,2356000000,16713664199,NaN,NaN,1.558464514,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,109321,106291244,NaN,436846178,106238158,NaN,NaN,NaN,NaN,159976000,2973190,NaN,NaN,NaN,NaN,NaN,11.58573532,96584225000,4931775000,NaN,NaN,4.375294022,3.34336434,NaN,NaN,20.37480783,NaN,NaN,NaN,NaN,144.3,2999821,543084336,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,62.24792846,0.777187343,10.91784181,2212000000,23.30304345,4.066053533,6.782552938,NaN,NaN,NaN,NaN,NaN,NaN,3.140814558,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
