NaN,"Foreign direct investment, net (BoP, current US$)","Net capital account (BoP, current US$)","Net trade in goods and services (BoP, current US$)","Exports of goods and services (BoP, current US$)","Charges for the use of intellectual property, payments (BoP, current US$)","Net secondary income (BoP, current US$)","Grants, excluding technical cooperation (BoP, current US$)","Total reserves (includes gold, current US$)","External debt stocks, long-term (DOD, current US$)",Total debt service (% of GNI),"Debt service on external debt, total (TDS, current US$)","Net financial flows, bilateral (NFL, current US$)","Commercial banks and other lending (PPG + PNG) (NFL, current US$)",Adjusted net national income (current US$),"GNI, Atlas method (current US$)",Exports of goods and services (annual % growth),GDP growth (annual %),GNI growth (annual %),GDP (constant LCU),GNI (constant LCU),Gross national expenditure (constant LCU),Gross domestic income (constant LCU),"Industry (including construction), value added (constant LCU)","Manufacturing, value added (constant LCU)","Services, value added (constant LCU)",GDP (current LCU),GNI (current LCU),Exports of goods and services (current LCU),"Industry (including construction), value added (current LCU)","Services, value added (current LCU)",Gross savings (% of GDP),Gross savings (% of GNI),Exports of goods and services (% of GDP),Trade (% of GDP),Imports of goods and services (constant 2010 US$),Exports of goods and services (constant 2010 US$),GDP (current US$),GNI (current US$),Exports of goods and services (current US$),Imports of goods and services (current US$),"Services, value added (current US$)","Net ODA provided, total (% of GNI)",Net ODA received (% of central government expense),Net ODA received (% of GNI),Net official aid received (current US$),"GDP per capita, PPP (current international $)","GDP per capita, PPP (current international $)","GNI, PPP (current international $)","Households and NPISHs Final consumption expenditure, PPP (current international $)","Gross intake ratio in first grade of primary education, total (% of relevant age group)","Over-age students, primary (% of enrollment)","Persistence to grade 5, total (% of cohort)","Government expenditure on education, total (% of government expenditure)","Compulsory education, duration (years)","Adjusted net enrollment rate, primary (% of primary school age children)","Primary education, pupils",Aquaculture production (metric tons),Cereal production (metric tons),"Plant species (higher), threatened",Rural population,Urban population,Electricity production from coal sources (% of total),Access to electricity (% of population),GDP per unit of energy use (PPP $ per kg of oil equivalent),"Annual freshwater withdrawals, total (% of internal resources)",Arable land (hectares),Land area (sq. km),Urban land area (sq. km),Rural land area (sq. km),Total natural resources rents (% of GDP),"Depositors with commercial banks (per 1,000 adults)",Bank liquid reserves to bank assets ratio (%),"Claims on central government, etc. (% GDP)",Net domestic credit (current LCU),Net foreign assets (current LCU),"Listed domestic companies, total","Stocks traded, total value (current US$)",Consumer price index (2010 = 100),"Inflation, GDP deflator (annual %)",Deposit interest rate (%),Real interest rate (%),Broad money (% of GDP),"Domestic general government health expenditure per capita, PPP (current international $)",Current health expenditure (% of GDP),Current health expenditure per capita (current US$),"External health expenditure per capita, PPP (current international $)","Mortality rate, infant (per 1,000 live births)",Number of infant deaths,"Population, total","ICT service exports (BoP, current US$)","Patent applications, residents","Trademark applications, total",Rail lines (total route-km),Gini index (World Bank estimate),Multidimensional poverty headcount ratio (% of total population),Poverty headcount ratio at national poverty lines (% of population),Start-up procedures to register a business (number),Cost of business start-up procedures (% of GNI per capita),Profit tax (% of commercial profits),Merchandise exports to high-income economies (% of total merchandise exports),Fuel exports (% of merchandise exports),Ores and metals exports (% of merchandise exports),Merchandise imports (current US$),Food imports (% of merchandise imports),Fuel imports (% of merchandise imports),Ores and metals imports (% of merchandise imports),"Bound rate, simple mean, all products (%)","Share of tariff lines with international peaks, all products (%)","Binding coverage, all products (%)",Export value index (2000 = 100),"Armed forces personnel, total","Armed forces personnel, total",Military expenditure (% of GDP),"Central government debt, total (% of GDP)",Expense (% of GDP),Tax revenue (% of GDP),Taxes on goods and services (% of revenue),"Revenue, excluding grants (% of GDP)",Social contributions (current LCU),IDA resource allocation index (1=low to 6=high),"Employers, total (% of total employment) (modeled ILO estimate)","Labor force participation rate for ages 15-24, female (%) (national estimate)",Benefit incidence of social protection and labor programs to poorest quintile (% of total SPL benefits),"Unemployment, total (% of total labor force) (modeled ILO estimate)",Increase in poverty gap at $3.20 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),Increase in poverty gap at $1.90 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),Number of people pushed below the $3.20 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure
1960 [YR1960],NaN,NaN,NaN,NaN,NaN,NaN,83330000,352739200,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.50704E+14,NaN,3.84824E+14,4.77058E+14,1.40106E+14,3.9777E+13,1.34686E+14,3.902E+11,3.87E+11,45000000000,NaN,NaN,NaN,NaN,11.53254741,24.09021015,3454026145,11273500796,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80639,NaN,NaN,74951697,12799371,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000277684,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,148.9,562239,87751068,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86.69299451,NaN,NaN,574000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1961 [YR1961],NaN,NaN,NaN,NaN,NaN,NaN,101350000,133183550,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.038461538,5.740645823,NaN,5.82318E+14,NaN,4.26035E+14,5.04936E+14,1.56619E+14,4.46576E+13,1.48068E+14,4.701E+11,4.651E+11,52000000000,NaN,NaN,NaN,NaN,11.06147628,24.67560094,4652361747,12292451829,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86172,14367100,NaN,76744911,13353483,NaN,NaN,NaN,NaN,18000000,1811570,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000315704,13.93601551,NaN,NaN,NaN,NaN,NaN,NaN,NaN,145.2,560228,90098394,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,74.31168831,NaN,NaN,794000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28.90999985,NaN,NaN,NaN,NaN,NaN
1962 [YR1962],NaN,NaN,NaN,NaN,NaN,NaN,133540000,108100020,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-8.641975309,1.841977702,NaN,5.93044E+14,NaN,4.32241E+14,5.30689E+14,1.56118E+14,4.52676E+13,1.48938E+14,1.3351E+12,1.3261E+12,69000000000,NaN,NaN,NaN,NaN,5.168152198,10.56100667,4560724319,11230141177,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89263,16246900,NaN,78586960,13931417,NaN,NaN,NaN,NaN,18000000,1811570,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000730532,178.8667404,NaN,NaN,NaN,NaN,NaN,NaN,NaN,141.7,557694,92518377,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,69.95206711,31.71176541,5.62025991,647000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1963 [YR1963],NaN,NaN,NaN,NaN,NaN,NaN,93570000,58079560,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.984555985,-2.237029986,NaN,5.79777E+14,NaN,4.03665E+14,5.13324E+14,1.48362E+14,4.44135E+13,1.51005E+14,3.2088E+12,3.1681E+12,2.91E+11,NaN,NaN,NaN,NaN,9.06881077,18.41810022,3348290651,10558067091,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88224,13952800,NaN,80478907,14536390,NaN,NaN,NaN,NaN,18000000,1811570,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001796458,145.8410863,NaN,NaN,NaN,NaN,NaN,NaN,NaN,138.2,554634,95015297,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,71.81898325,NaN,NaN,521000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1964 [YR1964],NaN,NaN,NaN,NaN,NaN,NaN,54640000,25003680,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.90965092,3.52969815,NaN,6.00242E+14,NaN,4.19545E+14,5.23901E+14,1.49363E+14,4.38035E+13,1.54486E+14,7.1335E+12,7.0135E+12,8.74E+11,NaN,NaN,NaN,NaN,12.25205019,25.31716549,3644350035,11815496026,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,93148,16074600,NaN,82427273,15169460,NaN,NaN,NaN,NaN,18000000,1811570,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.003754502,114.7311593,NaN,NaN,NaN,NaN,NaN,NaN,NaN,134.8,550746,97596733,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,74.61234846,NaN,NaN,680000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1965 [YR1965],NaN,NaN,NaN,NaN,NaN,NaN,34100000,21003680,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.119266055,1.081589466,NaN,6.06734E+14,NaN,4.17818E+14,5.23974E+14,1.51865E+14,4.34374E+13,1.56553E+14,2.371E+13,2.3537E+13,1.251E+12,NaN,NaN,NaN,NaN,5.276254745,11.01223113,3348290651,12184052783,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,93898,15339500,NaN,84435896,15831166,NaN,NaN,NaN,NaN,18000000,1811570,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.01527193,228.8189408,NaN,NaN,NaN,NaN,NaN,NaN,NaN,131.2,545884,100267062,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,73.85036759,NaN,NaN,695000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1966 [YR1966],NaN,NaN,NaN,NaN,NaN,NaN,30690000,23011660,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1.067615658,2.791346825,NaN,6.2367E+14,NaN,4.32578E+14,5.30928E+14,1.54617E+14,4.42915E+13,1.56662E+14,3.159E+11,3.11E+11,40300000000,NaN,NaN,NaN,NaN,12.75720165,34.85280152,3207309992,12053973928,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,104339,17367400,NaN,86501178,16524248,NaN,NaN,NaN,NaN,18000000,1811570,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.188799863,-98.70383134,NaN,NaN,NaN,NaN,NaN,NaN,NaN,127.6,540170,103025426,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84.80592056,NaN,NaN,527000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1967 [YR1967],NaN,NaN,NaN,NaN,NaN,NaN,44780000,6012800,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.179856115,1.380402806,NaN,6.32279E+14,NaN,4.43815E+14,5.42337E+14,1.59371E+14,4.57557E+13,1.65583E+14,8.478E+11,8.382E+11,74400000000,NaN,NaN,NaN,NaN,8.775654636,25.64284029,4109586210,12032294119,5667756645,5603578226,497382748.7,955991035.9,NaN,NaN,NaN,4.139140976,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,112101,15591101,NaN,88616894,17248677,NaN,NaN,NaN,NaN,18000000,1811570,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.388927719,164.7218407,NaN,NaN,NaN,NaN,NaN,NaN,NaN,123.9,533296,105865571,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89.43586608,36.0096995,8.199679393,649000000,9.259123961,2.160895019,1.131171918,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1968 [YR1968],NaN,NaN,NaN,NaN,NaN,NaN,60520000,87276600,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.45045045,10.91517857,NaN,7.01294E+14,NaN,4.93061E+14,6.08341E+14,1.87892E+14,4.97822E+13,1.81249E+14,2.0967E+12,2.0679E+12,2.279E+11,NaN,NaN,NaN,NaN,10.86946153,26.44632041,4391547528,13289723053,7076465295,6979263883,769173673.3,1102291012,NaN,NaN,NaN,4.671409539,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,104175,20328850,NaN,90777934,18001990,NaN,NaN,NaN,NaN,18000000,1811570,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5564219979,NaN,NaN,0.890034023,122.9728065,NaN,NaN,NaN,NaN,NaN,NaN,NaN,120.3,525300,108779924,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,79.26372155,40.70809308,5.961562031,716000000,24.98611056,0.87657415,1.157318904,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1969 [YR1969],NaN,NaN,NaN,NaN,NaN,NaN,51250000,121712800,NaN,NaN,NaN,NaN,NaN,NaN,7769866585,14.02936378,6.822298249,NaN,7.49138E+14,NaN,5.3529E+14,6.40441E+14,2.22669E+14,5.68591E+13,1.97677E+14,2.718E+12,2.683E+12,2.45E+11,NaN,NaN,NaN,NaN,9.013980868,23.8410596,5258578581,15154186647,8337423313,8230061350,751533742.3,1236196319,NaN,NaN,NaN,3.992801164,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,105690,20313080,NaN,92973066,18785497,NaN,NaN,NaN,NaN,18000000,1811570,NaN,NaN,NaN,NaN,NaN,NaN,2.90495E+11,-38854599963,NaN,NaN,1.027810134,21.35320193,NaN,NaN,8.462104489,NaN,NaN,NaN,NaN,116.8,517070,111758563,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85.73113208,47.34641535,5.545059853,781000000,15.56243369,2.307318188,1.694779357,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
