NaN,"Foreign direct investment, net (BoP, current US$)","Net capital account (BoP, current US$)","Net trade in goods and services (BoP, current US$)","Exports of goods and services (BoP, current US$)","Charges for the use of intellectual property, payments (BoP, current US$)","Net secondary income (BoP, current US$)","Grants, excluding technical cooperation (BoP, current US$)","Total reserves (includes gold, current US$)","External debt stocks, long-term (DOD, current US$)",Total debt service (% of GNI),"Debt service on external debt, total (TDS, current US$)","Net financial flows, bilateral (NFL, current US$)","Commercial banks and other lending (PPG + PNG) (NFL, current US$)",Adjusted net national income (current US$),"GNI, Atlas method (current US$)",Exports of goods and services (annual % growth),GDP growth (annual %),GNI growth (annual %),GDP (constant LCU),GNI (constant LCU),Gross national expenditure (constant LCU),Gross domestic income (constant LCU),"Industry (including construction), value added (constant LCU)","Manufacturing, value added (constant LCU)","Services, value added (constant LCU)",GDP (current LCU),GNI (current LCU),Exports of goods and services (current LCU),"Industry (including construction), value added (current LCU)","Services, value added (current LCU)",Gross savings (% of GDP),Gross savings (% of GNI),Exports of goods and services (% of GDP),Trade (% of GDP),Imports of goods and services (constant 2010 US$),Exports of goods and services (constant 2010 US$),GDP (current US$),GNI (current US$),Exports of goods and services (current US$),Imports of goods and services (current US$),"Services, value added (current US$)","Net ODA provided, total (% of GNI)",Net ODA received (% of central government expense),Net ODA received (% of GNI),Net official aid received (current US$),"GDP per capita, PPP (current international $)","GDP per capita, PPP (current international $)","GNI, PPP (current international $)","Households and NPISHs Final consumption expenditure, PPP (current international $)","Gross intake ratio in first grade of primary education, total (% of relevant age group)","Over-age students, primary (% of enrollment)","Persistence to grade 5, total (% of cohort)","Government expenditure on education, total (% of government expenditure)","Compulsory education, duration (years)","Adjusted net enrollment rate, primary (% of primary school age children)","Primary education, pupils",Aquaculture production (metric tons),Cereal production (metric tons),"Plant species (higher), threatened",Rural population,Urban population,Electricity production from coal sources (% of total),Access to electricity (% of population),GDP per unit of energy use (PPP $ per kg of oil equivalent),"Annual freshwater withdrawals, total (% of internal resources)",Arable land (hectares),Land area (sq. km),Urban land area (sq. km),Rural land area (sq. km),Total natural resources rents (% of GDP),"Depositors with commercial banks (per 1,000 adults)",Bank liquid reserves to bank assets ratio (%),"Claims on central government, etc. (% GDP)",Net domestic credit (current LCU),Net foreign assets (current LCU),"Listed domestic companies, total","Stocks traded, total value (current US$)",Consumer price index (2010 = 100),"Inflation, GDP deflator (annual %)",Deposit interest rate (%),Real interest rate (%),Broad money (% of GDP),"Domestic general government health expenditure per capita, PPP (current international $)",Current health expenditure (% of GDP),Current health expenditure per capita (current US$),"External health expenditure per capita, PPP (current international $)","Mortality rate, infant (per 1,000 live births)",Number of infant deaths,"Population, total","ICT service exports (BoP, current US$)","Patent applications, residents","Trademark applications, total",Rail lines (total route-km),Gini index (World Bank estimate),Multidimensional poverty headcount ratio (% of total population),Poverty headcount ratio at national poverty lines (% of population),Start-up procedures to register a business (number),Cost of business start-up procedures (% of GNI per capita),Profit tax (% of commercial profits),Merchandise exports to high-income economies (% of total merchandise exports),Fuel exports (% of merchandise exports),Ores and metals exports (% of merchandise exports),Merchandise imports (current US$),Food imports (% of merchandise imports),Fuel imports (% of merchandise imports),Ores and metals imports (% of merchandise imports),"Bound rate, simple mean, all products (%)","Share of tariff lines with international peaks, all products (%)","Binding coverage, all products (%)",Export value index (2000 = 100),"Armed forces personnel, total","Armed forces personnel, total",Military expenditure (% of GDP),"Central government debt, total (% of GDP)",Expense (% of GDP),Tax revenue (% of GDP),Taxes on goods and services (% of revenue),"Revenue, excluding grants (% of GDP)",Social contributions (current LCU),IDA resource allocation index (1=low to 6=high),"Employers, total (% of total employment) (modeled ILO estimate)","Labor force participation rate for ages 15-24, female (%) (national estimate)",Benefit incidence of social protection and labor programs to poorest quintile (% of total SPL benefits),"Unemployment, total (% of total labor force) (modeled ILO estimate)",Increase in poverty gap at $3.20 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),Increase in poverty gap at $1.90 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),Number of people pushed below the $3.20 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure
1960 [YR1960],NaN,NaN,NaN,NaN,NaN,NaN,12450000,185218400,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.35373E+14,NaN,4.78091E+14,5.00954E+14,5.5572E+14,1.40957E+13,2.20951E+14,3.18084E+11,NaN,44051762300,81899027862,1.38403E+11,NaN,NaN,13.84907846,31.23754168,8183859324,30265172493,4199134390,NaN,581541416.5,730164938.6,1827098011,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,14516617,7390297,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.721220431,61150000000,11400000000,NaN,NaN,0.141434222,NaN,NaN,NaN,16.36986758,NaN,NaN,NaN,NaN,NaN,NaN,21906914,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,560000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.294908833,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1961 [YR1961],NaN,NaN,NaN,NaN,NaN,NaN,87270000,209547100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.12089738,11.47760109,NaN,9.31254E+14,NaN,4.90153E+14,5.48954E+14,6.48922E+14,1.52234E+13,2.23636E+14,3.35341E+11,NaN,46049574600,93319523105,1.4393E+11,NaN,NaN,13.73214743,29.5952435,7795901921,33933582993,4426949095,NaN,607915176.2,702251188.1,1900068945,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,4303119,NaN,14749597,7730775,NaN,NaN,NaN,NaN,14980000,1628760,NaN,NaN,NaN,NaN,NaN,3.44723324,59240000000,15880000000,NaN,NaN,0.145907171,-5.429183314,NaN,NaN,17.03935185,NaN,NaN,NaN,NaN,NaN,NaN,22480372,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,605000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.346642182,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1962 [YR1962],NaN,NaN,NaN,NaN,NaN,NaN,17390000,210768020,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.18202872,8.590432965,NaN,1.01125E+15,NaN,4.88781E+14,5.78457E+14,7.18627E+14,1.77188E+13,2.33646E+14,3.55538E+11,NaN,51543558600,1.05043E+11,1.51156E+11,NaN,NaN,14.49735569,28.17599995,7199672649,38406717648,4693566416,NaN,680443017.8,642016253.5,1995453037,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,4402740,NaN,14984588,8086727,NaN,NaN,NaN,NaN,14990000,1628760,NaN,NaN,NaN,NaN,NaN,4.10926937,68820000000,18025625000,NaN,NaN,0.146959629,-2.364697774,NaN,NaN,20.19757929,NaN,NaN,NaN,NaN,NaN,NaN,23071315,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,531000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.307410877,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1963 [YR1963],NaN,NaN,NaN,NaN,NaN,NaN,31210000,241829560,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.1407759,7.274456069,NaN,1.08482E+15,NaN,5.0886E+14,6.07828E+14,7.76873E+14,1.94103E+13,2.47772E+14,3.73344E+11,NaN,57237323800,1.15225E+11,1.59294E+11,NaN,NaN,15.33100555,27.7909133,6811715246,42301456817,4928628018,NaN,755608235,614102504.3,2102890966,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,4101140,NaN,15222143,8458115,NaN,NaN,NaN,NaN,15000000,1628760,NaN,NaN,NaN,NaN,NaN,4.848081322,80620000000,19666382500,NaN,NaN,0.147506098,-2.112609149,NaN,NaN,22.95472759,NaN,NaN,NaN,NaN,NaN,NaN,23680258,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86.58671154,0.590484055,524000000,12.80363974,0.608612873,1.720554799,NaN,NaN,NaN,NaN,NaN,NaN,2.590356964,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1964 [YR1964],NaN,NaN,NaN,NaN,NaN,NaN,14890000,191508480,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.41732927,9.193938555,NaN,1.18455E+15,NaN,5.57087E+14,6.50617E+14,8.49241E+14,2.05066E+13,2.76832E+14,4.07523E+11,NaN,66826823100,1.27971E+11,1.7945E+11,NaN,NaN,16.39828246,32.72864983,9556003402,47554167996,5379845647,NaN,882202285.1,878548558.4,2368970670,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,4299578,NaN,15461987,8845873,NaN,NaN,NaN,NaN,15010000,1628760,NaN,NaN,NaN,NaN,NaN,6.657287935,1.0141E+11,14680757500,NaN,NaN,0.153132703,-0.03562778,NaN,NaN,24.40105832,NaN,NaN,NaN,NaN,NaN,NaN,24307860,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,65.048943,87.99886738,0.736075803,673000000,16.19099954,0.347105568,1.683145107,NaN,NaN,NaN,NaN,NaN,NaN,2.881826748,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1965 [YR1965],NaN,NaN,NaN,NaN,NaN,NaN,6740000,251965520,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.38683236,17.2176732,NaN,1.38851E+15,NaN,6.23345E+14,7.62033E+14,9.90811E+14,2.29186E+13,3.32998E+14,4.69447E+11,NaN,75816978600,1.54106E+11,2.09324E+11,NaN,NaN,16.15027491,32.62603557,11001655199,55346789788,6197319930,NaN,1000884206,1021055599,2763355374,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,5642713,NaN,15704601,9250272,NaN,NaN,NaN,NaN,15020000,1628760,NaN,NaN,NaN,NaN,NaN,7.091322575,1.1345E+11,20693610000,NaN,NaN,0.156431755,-1.725463351,NaN,NaN,24.34992741,NaN,NaN,NaN,NaN,NaN,NaN,24954873,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,69.26771654,86.72392674,0.784798065,859000000,16.10872726,0.231071153,1.190507591,NaN,NaN,NaN,NaN,NaN,NaN,3.249524904,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1966 [YR1966],NaN,NaN,NaN,NaN,NaN,NaN,-190000,268925660,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.48935083,11.23994792,NaN,1.54457E+15,NaN,6.92493E+14,8.3257E+14,1.1133E+15,2.64373E+13,3.59212E+14,5.14338E+11,NaN,83808228000,1.72628E+11,2.27711E+11,NaN,NaN,16.29439235,33.90697886,12512647190,62259244536,6789938673,NaN,1106379248,1195883823,3006081734,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,6588982,NaN,15950660,9673713,NaN,NaN,NaN,NaN,15030000,1628760,NaN,NaN,NaN,NaN,NaN,6.989569149,1.3068E+11,20585172500,NaN,NaN,0.155824567,-1.507954242,NaN,NaN,25.39381437,NaN,NaN,NaN,NaN,NaN,NaN,25624373,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,73.42913928,87.27069375,0.855173282,931000000,9.912765529,0.179667229,1.696503367,NaN,NaN,NaN,NaN,NaN,NaN,3.818995368,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.89999962,NaN,NaN,NaN,NaN,NaN
1967 [YR1967],NaN,NaN,NaN,NaN,NaN,NaN,1420000,325062800,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.21730789,11.6328634,NaN,1.72425E+15,NaN,7.76367E+14,8.99737E+14,1.24836E+15,2.99664E+13,3.99844E+14,5.7232E+11,NaN,98991601900,2.01374E+11,2.51074E+11,NaN,NaN,17.29653821,36.95543839,15546882458,72356017910,7555383690,NaN,1306819827,1485305337,3314510052,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,5833000,NaN,16170435,10147348,NaN,NaN,NaN,NaN,15050000,1628760,NaN,NaN,NaN,NaN,NaN,8.351966336,1.5745E+11,22207187500,NaN,NaN,0.158314036,-0.322162388,NaN,NaN,27.19106697,NaN,NaN,NaN,NaN,NaN,NaN,26317783,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,76.33484399,90.37252785,0.48337288,1119000000,7.457608621,0.319279111,2.177930776,NaN,NaN,NaN,NaN,NaN,NaN,4.457991761,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1968 [YR1968],NaN,NaN,NaN,NaN,NaN,NaN,5090000,322136600,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.22799548,14.80807671,NaN,1.97958E+15,NaN,9.14844E+14,1.04163E+15,1.44921E+15,3.41951E+13,4.48167E+14,6.53205E+11,NaN,1.14175E+11,2.37133E+11,2.8392E+11,NaN,NaN,17.47918559,37.99193979,18683211780,82650828869,8623172960,NaN,1507260405,1768850273,3748125161,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,6594000,NaN,16371736,10660835,NaN,NaN,NaN,NaN,15100000,1628760,NaN,NaN,NaN,NaN,NaN,8.167416244,1.9144E+11,14450000000,NaN,NaN,0.159406974,-0.588155645,NaN,NaN,27.52120746,NaN,NaN,NaN,NaN,NaN,NaN,27032571,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,75.22999572,89.25440946,0.509224756,1384000000,8.041031519,0.486760214,1.869415356,NaN,NaN,NaN,NaN,NaN,NaN,5.176363591,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1969 [YR1969],NaN,NaN,NaN,NaN,NaN,NaN,220000,310902800,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18.31666223,16.33385741,NaN,2.30292E+15,NaN,9.75057E+14,1.18042E+15,1.71959E+15,3.83508E+13,5.00016E+14,7.38039E+11,NaN,1.33054E+11,2.84433E+11,3.15811E+11,NaN,NaN,18.02808464,39.07814317,20859856999,97789702023,9743089606,NaN,1756492441,2050926065,4169127575,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,6310000,NaN,16569829,11195095,NaN,NaN,NaN,NaN,15120000,1628760,NaN,NaN,NaN,NaN,NaN,10.74062427,2.356E+11,7640757500,NaN,NaN,0.165134777,-2.87669089,NaN,NaN,28.6786998,NaN,NaN,NaN,NaN,NaN,NaN,27764924,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88.89596689,0.645347245,1527000000,4.918989072,0.327133182,2.128986302,NaN,NaN,NaN,NaN,NaN,NaN,5.969054196,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
