NaN,"Foreign direct investment, net (BoP, current US$)","Net capital account (BoP, current US$)","Net trade in goods and services (BoP, current US$)","Exports of goods and services (BoP, current US$)","Charges for the use of intellectual property, payments (BoP, current US$)","Net secondary income (BoP, current US$)","Grants, excluding technical cooperation (BoP, current US$)","Total reserves (includes gold, current US$)","External debt stocks, long-term (DOD, current US$)",Total debt service (% of GNI),"Debt service on external debt, total (TDS, current US$)","Net financial flows, bilateral (NFL, current US$)","Commercial banks and other lending (PPG + PNG) (NFL, current US$)",Adjusted net national income (current US$),"GNI, Atlas method (current US$)",Exports of goods and services (annual % growth),GDP growth (annual %),GNI growth (annual %),GDP (constant LCU),GNI (constant LCU),Gross national expenditure (constant LCU),Gross domestic income (constant LCU),"Industry (including construction), value added (constant LCU)","Manufacturing, value added (constant LCU)","Services, value added (constant LCU)",GDP (current LCU),GNI (current LCU),Exports of goods and services (current LCU),"Industry (including construction), value added (current LCU)","Services, value added (current LCU)",Gross savings (% of GDP),Gross savings (% of GNI),Exports of goods and services (% of GDP),Trade (% of GDP),Imports of goods and services (constant 2010 US$),Exports of goods and services (constant 2010 US$),GDP (current US$),GNI (current US$),Exports of goods and services (current US$),Imports of goods and services (current US$),"Services, value added (current US$)","Net ODA provided, total (% of GNI)",Net ODA received (% of central government expense),Net ODA received (% of GNI),Net official aid received (current US$),"GDP per capita, PPP (current international $)","GDP per capita, PPP (current international $)","GNI, PPP (current international $)","Households and NPISHs Final consumption expenditure, PPP (current international $)","Gross intake ratio in first grade of primary education, total (% of relevant age group)","Over-age students, primary (% of enrollment)","Persistence to grade 5, total (% of cohort)","Government expenditure on education, total (% of government expenditure)","Compulsory education, duration (years)","Adjusted net enrollment rate, primary (% of primary school age children)","Primary education, pupils",Aquaculture production (metric tons),Cereal production (metric tons),"Plant species (higher), threatened",Rural population,Urban population,Electricity production from coal sources (% of total),Access to electricity (% of population),GDP per unit of energy use (PPP $ per kg of oil equivalent),"Annual freshwater withdrawals, total (% of internal resources)",Arable land (hectares),Land area (sq. km),Urban land area (sq. km),Rural land area (sq. km),Total natural resources rents (% of GDP),"Depositors with commercial banks (per 1,000 adults)",Bank liquid reserves to bank assets ratio (%),"Claims on central government, etc. (% GDP)",Net domestic credit (current LCU),Net foreign assets (current LCU),"Listed domestic companies, total","Stocks traded, total value (current US$)",Consumer price index (2010 = 100),"Inflation, GDP deflator (annual %)",Deposit interest rate (%),Real interest rate (%),Broad money (% of GDP),"Domestic general government health expenditure per capita, PPP (current international $)",Current health expenditure (% of GDP),Current health expenditure per capita (current US$),"External health expenditure per capita, PPP (current international $)","Mortality rate, infant (per 1,000 live births)",Number of infant deaths,"Population, total","ICT service exports (BoP, current US$)","Patent applications, residents","Trademark applications, total",Rail lines (total route-km),Gini index (World Bank estimate),Multidimensional poverty headcount ratio (% of total population),Poverty headcount ratio at national poverty lines (% of population),Start-up procedures to register a business (number),Cost of business start-up procedures (% of GNI per capita),Profit tax (% of commercial profits),Merchandise exports to high-income economies (% of total merchandise exports),Fuel exports (% of merchandise exports),Ores and metals exports (% of merchandise exports),Merchandise imports (current US$),Food imports (% of merchandise imports),Fuel imports (% of merchandise imports),Ores and metals imports (% of merchandise imports),"Bound rate, simple mean, all products (%)","Share of tariff lines with international peaks, all products (%)","Binding coverage, all products (%)",Export value index (2000 = 100),"Armed forces personnel, total","Armed forces personnel, total",Military expenditure (% of GDP),"Central government debt, total (% of GDP)",Expense (% of GDP),Tax revenue (% of GDP),Taxes on goods and services (% of revenue),"Revenue, excluding grants (% of GDP)",Social contributions (current LCU),IDA resource allocation index (1=low to 6=high),"Employers, total (% of total employment) (modeled ILO estimate)","Labor force participation rate for ages 15-24, female (%) (national estimate)",Benefit incidence of social protection and labor programs to poorest quintile (% of total SPL benefits),"Unemployment, total (% of total labor force) (modeled ILO estimate)",Increase in poverty gap at $3.20 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),Increase in poverty gap at $1.90 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),Number of people pushed below the $3.20 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure
1960 [YR1960],NaN,NaN,NaN,NaN,NaN,NaN,1080000,259340000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,601399800,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1684121535,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,4162526,3127234,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.133022991,50500000,106200000,NaN,NaN,59.05985099,NaN,NaN,NaN,21.96542134,NaN,NaN,NaN,NaN,129.4,38620,7289760,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86.11713666,NaN,NaN,389000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.050631859,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1961 [YR1961],NaN,NaN,NaN,NaN,NaN,NaN,20000,217949700,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,654100200,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1831700364,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,1847205,NaN,4153902,3321448,NaN,NaN,NaN,NaN,4600000,437370,NaN,NaN,NaN,NaN,NaN,2.981194624,79300000,86500000,NaN,NaN,59.60099304,NaN,NaN,NaN,20.85307419,NaN,NaN,NaN,NaN,122.5,37800,7475350,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85.1689138,NaN,NaN,408000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.851398869,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1962 [YR1962],NaN,NaN,NaN,NaN,NaN,NaN,1150000,193445580,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,698000100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1954634836,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,2332325,NaN,4145767,3528453,NaN,NaN,NaN,NaN,4650000,437370,NaN,NaN,NaN,NaN,NaN,5.601718395,102200000,77200000,NaN,NaN,60.37125372,NaN,NaN,NaN,21.20343536,NaN,NaN,NaN,NaN,116.3,37379,7674220,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84.69786987,NaN,NaN,361000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.910816619,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1963 [YR1963],NaN,NaN,NaN,NaN,NaN,NaN,1110000,295073520,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,706500100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1978437693,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,1432038,NaN,4139155,3749758,NaN,NaN,NaN,NaN,4700000,437370,NaN,NaN,NaN,NaN,NaN,2.675158857,83800000,113800000,NaN,NaN,62.75891111,NaN,NaN,NaN,23.15640153,NaN,NaN,NaN,NaN,110.7,37219,7888913,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,82.31652264,93.97647448,0.000431511,319000000,21.43883317,0.197608117,1.034456048,NaN,NaN,NaN,NaN,NaN,NaN,8.250884643,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1964 [YR1964],NaN,NaN,NaN,NaN,NaN,NaN,4360000,251168400,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,835800100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2340521143,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1629550,NaN,4134767,3987430,NaN,NaN,NaN,NaN,4750000,437370,NaN,NaN,NaN,NaN,NaN,4.905479193,109700000,93400000,NaN,NaN,62.70234241,NaN,NaN,NaN,19.93299594,NaN,NaN,NaN,NaN,105.4,37168,8122197,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,78.89842632,NaN,NaN,413000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.956513894,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1965 [YR1965],NaN,NaN,NaN,NaN,NaN,NaN,1700000,235056320,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2006634,NaN,4133369,4242421,NaN,NaN,NaN,NaN,4800000,437370,NaN,NaN,NaN,NaN,NaN,NaN,185140000,89521430.84,NaN,NaN,62.41668254,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,100.5,37168,8375790,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,79.37407869,NaN,NaN,455000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.873266564,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1966 [YR1966],NaN,NaN,NaN,NaN,NaN,NaN,1090000,324963040,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1858708,NaN,4163977,4487185,NaN,NaN,NaN,NaN,4800000,437370,NaN,NaN,NaN,NaN,NaN,NaN,192400000,113703574.3,NaN,NaN,63.65454199,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,96,37093,8651162,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,78.48507543,NaN,NaN,493000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.520558376,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1967 [YR1967],NaN,NaN,NaN,NaN,NaN,NaN,460000,369156000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2051724,NaN,4210201,4737203,NaN,NaN,NaN,NaN,4850000,437370,NaN,NaN,NaN,NaN,NaN,NaN,191440000,122857854.3,NaN,NaN,65.74938107,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,91.7,36908,8947404,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,76.1716409,NaN,NaN,424000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.427062374,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1968 [YR1968],NaN,NaN,NaN,NaN,NaN,NaN,2590000,490617600,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.29035E+13,NaN,NaN,NaN,5.86392E+12,82764963600,NaN,1034500000,NaN,NaN,482900000,383700000,NaN,NaN,NaN,NaN,NaN,NaN,2896947634,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2899566,NaN,4258062,5002620,NaN,NaN,NaN,NaN,4850000,437370,NaN,NaN,NaN,NaN,NaN,5.419043016,196910000,156272860,NaN,NaN,67.19355043,NaN,NaN,NaN,24.01159981,NaN,NaN,NaN,NaN,87.7,36575,9260682,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,76.28408981,NaN,NaN,404000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.220854004,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1969 [YR1969],NaN,NaN,NaN,NaN,NaN,NaN,1580000,477546400,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.244189014,NaN,1.33221E+13,NaN,NaN,NaN,6.08128E+12,94426563200,NaN,1074200000,NaN,NaN,495600000,417200000,NaN,NaN,NaN,NaN,NaN,NaN,3008120975,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,2473690,NaN,4304978,5280598,NaN,NaN,NaN,NaN,4850000,437370,NaN,NaN,NaN,NaN,NaN,8.072053621,232990000,162442860,NaN,NaN,71.04995874,0.57476716,NaN,NaN,26.47365481,NaN,NaN,NaN,NaN,83.9,36095,9585576,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,75.9504526,NaN,NaN,440000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.38008475,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
