NaN,"Foreign direct investment, net (BoP, current US$)","Net capital account (BoP, current US$)","Net trade in goods and services (BoP, current US$)","Exports of goods and services (BoP, current US$)","Charges for the use of intellectual property, payments (BoP, current US$)","Net secondary income (BoP, current US$)","Grants, excluding technical cooperation (BoP, current US$)","Total reserves (includes gold, current US$)","External debt stocks, long-term (DOD, current US$)",Total debt service (% of GNI),"Debt service on external debt, total (TDS, current US$)","Net financial flows, bilateral (NFL, current US$)","Commercial banks and other lending (PPG + PNG) (NFL, current US$)",Adjusted net national income (current US$),"GNI, Atlas method (current US$)",Exports of goods and services (annual % growth),GDP growth (annual %),GNI growth (annual %),GDP (constant LCU),GNI (constant LCU),Gross national expenditure (constant LCU),Gross domestic income (constant LCU),"Industry (including construction), value added (constant LCU)","Manufacturing, value added (constant LCU)","Services, value added (constant LCU)",GDP (current LCU),GNI (current LCU),Exports of goods and services (current LCU),"Industry (including construction), value added (current LCU)","Services, value added (current LCU)",Gross savings (% of GDP),Gross savings (% of GNI),Exports of goods and services (% of GDP),Trade (% of GDP),Imports of goods and services (constant 2010 US$),Exports of goods and services (constant 2010 US$),GDP (current US$),GNI (current US$),Exports of goods and services (current US$),Imports of goods and services (current US$),"Services, value added (current US$)","Net ODA provided, total (% of GNI)",Net ODA received (% of central government expense),Net ODA received (% of GNI),Net official aid received (current US$),"GDP per capita, PPP (current international $)","GDP per capita, PPP (current international $)","GNI, PPP (current international $)","Households and NPISHs Final consumption expenditure, PPP (current international $)","Gross intake ratio in first grade of primary education, total (% of relevant age group)","Over-age students, primary (% of enrollment)","Persistence to grade 5, total (% of cohort)","Government expenditure on education, total (% of government expenditure)","Compulsory education, duration (years)","Adjusted net enrollment rate, primary (% of primary school age children)","Primary education, pupils",Aquaculture production (metric tons),Cereal production (metric tons),"Plant species (higher), threatened",Rural population,Urban population,Electricity production from coal sources (% of total),Access to electricity (% of population),GDP per unit of energy use (PPP $ per kg of oil equivalent),"Annual freshwater withdrawals, total (% of internal resources)",Arable land (hectares),Land area (sq. km),Urban land area (sq. km),Rural land area (sq. km),Total natural resources rents (% of GDP),"Depositors with commercial banks (per 1,000 adults)",Bank liquid reserves to bank assets ratio (%),"Claims on central government, etc. (% GDP)",Net domestic credit (current LCU),Net foreign assets (current LCU),"Listed domestic companies, total","Stocks traded, total value (current US$)",Consumer price index (2010 = 100),"Inflation, GDP deflator (annual %)",Deposit interest rate (%),Real interest rate (%),Broad money (% of GDP),"Domestic general government health expenditure per capita, PPP (current international $)",Current health expenditure (% of GDP),Current health expenditure per capita (current US$),"External health expenditure per capita, PPP (current international $)","Mortality rate, infant (per 1,000 live births)",Number of infant deaths,"Population, total","ICT service exports (BoP, current US$)","Patent applications, residents","Trademark applications, total",Rail lines (total route-km),Gini index (World Bank estimate),Multidimensional poverty headcount ratio (% of total population),Poverty headcount ratio at national poverty lines (% of population),Start-up procedures to register a business (number),Cost of business start-up procedures (% of GNI per capita),Profit tax (% of commercial profits),Merchandise exports to high-income economies (% of total merchandise exports),Fuel exports (% of merchandise exports),Ores and metals exports (% of merchandise exports),Merchandise imports (current US$),Food imports (% of merchandise imports),Fuel imports (% of merchandise imports),Ores and metals imports (% of merchandise imports),"Bound rate, simple mean, all products (%)","Share of tariff lines with international peaks, all products (%)","Binding coverage, all products (%)",Export value index (2000 = 100),"Armed forces personnel, total","Armed forces personnel, total",Military expenditure (% of GDP),"Central government debt, total (% of GDP)",Expense (% of GDP),Tax revenue (% of GDP),Taxes on goods and services (% of revenue),"Revenue, excluding grants (% of GDP)",Social contributions (current LCU),IDA resource allocation index (1=low to 6=high),"Employers, total (% of total employment) (modeled ILO estimate)","Labor force participation rate for ages 15-24, female (%) (national estimate)",Benefit incidence of social protection and labor programs to poorest quintile (% of total SPL benefits),"Unemployment, total (% of total labor force) (modeled ILO estimate)",Increase in poverty gap at $3.20 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),Increase in poverty gap at $1.90 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),Number of people pushed below the $3.20 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure
1960 [YR1960],NaN,NaN,NaN,NaN,NaN,NaN,NaN,324568724,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,879443520,932624512,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1939329775,2056603346,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2100,NaN,NaN,1550525,1278075,53.31564987,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.073265379,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30.4,1800,2828600,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90.61838702,NaN,NaN,634000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.330386743,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1961 [YR1961],NaN,NaN,NaN,NaN,NaN,NaN,NaN,342337293.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,946867776,1005118976,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2088012282,2216466565,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,900,1367919,NaN,1542320,1282080,48.47125968,NaN,NaN,NaN,1590000,68890,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.213135273,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.2,1736,2824400,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90.49980167,NaN,NaN,732000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.320142085,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,63.06999969,NaN,NaN,NaN,NaN,NaN
1962 [YR1962],NaN,NaN,NaN,NaN,NaN,NaN,NaN,359296150.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1025019008,1086260608,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2260349684,2395398332,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,500,1439216,NaN,1542726,1293324,45.15653775,NaN,NaN,NaN,1567000,68890,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.435409136,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28.1,1679,2836050,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89.82737361,NaN,NaN,766000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.290219976,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1963 [YR1963],NaN,NaN,NaN,NaN,NaN,NaN,NaN,406071293.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1102334336,1166105088,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2430843768,2571469648,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1100,1258816,NaN,1545765,1306885,39.96563574,NaN,NaN,NaN,1561000,68890,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.568773453,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27.1,1622,2852650,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90.11309741,1.682070829,0.927559215,858000000,19.02544337,8.93559919,2.779482916,NaN,NaN,NaN,NaN,NaN,NaN,1.242817134,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1964 [YR1964],NaN,NaN,NaN,NaN,NaN,NaN,NaN,446065243.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1254596480,1324641024,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2766608946,2921069655,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1000,1136399,NaN,1547278,1319272,33.55010346,NaN,NaN,NaN,1526000,68890,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.9428441,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26,1560,2866550,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90.13835264,1.138149334,1.534335729,974000000,17.87639576,8.515592116,2.946105298,NaN,NaN,NaN,NaN,NaN,NaN,1.303207865,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1965 [YR1965],NaN,NaN,NaN,NaN,NaN,NaN,NaN,409042000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1335812224,1418754176,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2945704143,3128605937,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1100,1173711,NaN,1547038,1330262,29.04361962,NaN,NaN,NaN,1492000,68890,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.239280504,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24.7,1491,2877300,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,91.46692234,1.5085,1.803627559,1041000000,19.09480026,8.449403795,2.830512569,NaN,NaN,NaN,NaN,NaN,NaN,1.326908055,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1966 [YR1966],NaN,NaN,NaN,NaN,NaN,NaN,NaN,494124756.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1407611520,1489748992,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3104034393,3285162165,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,900,1107600,NaN,1541550,1347250,28.16479401,NaN,NaN,NaN,1429000,68890,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.429846764,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.4,1417,2888800,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90.71532847,0.72826638,3.756078891,1043000000,18.39188347,8.648975194,3.542045283,NaN,NaN,NaN,NaN,NaN,NaN,1.234360458,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,62.27999878,NaN,NaN,NaN,NaN,NaN
1967 [YR1967],NaN,NaN,NaN,NaN,NaN,NaN,NaN,439183008,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1537325184,1626056448,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3343636773,3536624646,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1300,1269300,NaN,1515224,1387226,27.90750916,NaN,NaN,NaN,1424000,68890,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.634529043,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22,1343,2902450,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,92.68510259,2.300051685,3.322006854,1086000000,17.60362678,9.614449784,3.419516616,NaN,NaN,NaN,NaN,NaN,NaN,1.187126848,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1968 [YR1968],NaN,NaN,NaN,NaN,NaN,NaN,NaN,560314166,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1734561280,1840387584,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3278584478,3478612279,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2600,1450800,NaN,1488213,1427337,37.1375694,NaN,NaN,NaN,1394000,68890,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.945081466,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.7,1284,2915550,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,91.99698946,1.072352636,4.475609858,1175000000,16.87073014,8.361389488,3.609475979,NaN,NaN,NaN,NaN,NaN,NaN,1.132851299,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1969 [YR1969],NaN,NaN,NaN,NaN,NaN,NaN,NaN,691353008,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2003583488,2113977344,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3787077344,3995738512,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3000,1403200,NaN,1462952,1469698,39.24026591,NaN,NaN,NaN,1381000,68890,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.460316168,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.7,1247,2932650,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,92.45276661,1.404127096,6.638282997,1416000000,14.55406304,7.578996945,3.255645987,NaN,NaN,NaN,NaN,NaN,NaN,1.099280371,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
