NaN,"Foreign direct investment, net (BoP, current US$)","Net capital account (BoP, current US$)","Net trade in goods and services (BoP, current US$)","Exports of goods and services (BoP, current US$)","Charges for the use of intellectual property, payments (BoP, current US$)","Net secondary income (BoP, current US$)","Grants, excluding technical cooperation (BoP, current US$)","Total reserves (includes gold, current US$)","External debt stocks, long-term (DOD, current US$)",Total debt service (% of GNI),"Debt service on external debt, total (TDS, current US$)","Net financial flows, bilateral (NFL, current US$)","Commercial banks and other lending (PPG + PNG) (NFL, current US$)",Adjusted net national income (current US$),"GNI, Atlas method (current US$)",Exports of goods and services (annual % growth),GDP growth (annual %),GNI growth (annual %),GDP (constant LCU),GNI (constant LCU),Gross national expenditure (constant LCU),Gross domestic income (constant LCU),"Industry (including construction), value added (constant LCU)","Manufacturing, value added (constant LCU)","Services, value added (constant LCU)",GDP (current LCU),GNI (current LCU),Exports of goods and services (current LCU),"Industry (including construction), value added (current LCU)","Services, value added (current LCU)",Gross savings (% of GDP),Gross savings (% of GNI),Exports of goods and services (% of GDP),Trade (% of GDP),Imports of goods and services (constant 2010 US$),Exports of goods and services (constant 2010 US$),GDP (current US$),GNI (current US$),Exports of goods and services (current US$),Imports of goods and services (current US$),"Services, value added (current US$)","Net ODA provided, total (% of GNI)",Net ODA received (% of central government expense),Net ODA received (% of GNI),Net official aid received (current US$),"GDP per capita, PPP (current international $)","GDP per capita, PPP (current international $)","GNI, PPP (current international $)","Households and NPISHs Final consumption expenditure, PPP (current international $)","Gross intake ratio in first grade of primary education, total (% of relevant age group)","Over-age students, primary (% of enrollment)","Persistence to grade 5, total (% of cohort)","Government expenditure on education, total (% of government expenditure)","Compulsory education, duration (years)","Adjusted net enrollment rate, primary (% of primary school age children)","Primary education, pupils",Aquaculture production (metric tons),Cereal production (metric tons),"Plant species (higher), threatened",Rural population,Urban population,Electricity production from coal sources (% of total),Access to electricity (% of population),GDP per unit of energy use (PPP $ per kg of oil equivalent),"Annual freshwater withdrawals, total (% of internal resources)",Arable land (hectares),Land area (sq. km),Urban land area (sq. km),Rural land area (sq. km),Total natural resources rents (% of GDP),"Depositors with commercial banks (per 1,000 adults)",Bank liquid reserves to bank assets ratio (%),"Claims on central government, etc. (% GDP)",Net domestic credit (current LCU),Net foreign assets (current LCU),"Listed domestic companies, total","Stocks traded, total value (current US$)",Consumer price index (2010 = 100),"Inflation, GDP deflator (annual %)",Deposit interest rate (%),Real interest rate (%),Broad money (% of GDP),"Domestic general government health expenditure per capita, PPP (current international $)",Current health expenditure (% of GDP),Current health expenditure per capita (current US$),"External health expenditure per capita, PPP (current international $)","Mortality rate, infant (per 1,000 live births)",Number of infant deaths,"Population, total","ICT service exports (BoP, current US$)","Patent applications, residents","Trademark applications, total",Rail lines (total route-km),Gini index (World Bank estimate),Multidimensional poverty headcount ratio (% of total population),Poverty headcount ratio at national poverty lines (% of population),Start-up procedures to register a business (number),Cost of business start-up procedures (% of GNI per capita),Profit tax (% of commercial profits),Merchandise exports to high-income economies (% of total merchandise exports),Fuel exports (% of merchandise exports),Ores and metals exports (% of merchandise exports),Merchandise imports (current US$),Food imports (% of merchandise imports),Fuel imports (% of merchandise imports),Ores and metals imports (% of merchandise imports),"Bound rate, simple mean, all products (%)","Share of tariff lines with international peaks, all products (%)","Binding coverage, all products (%)",Export value index (2000 = 100),"Armed forces personnel, total","Armed forces personnel, total",Military expenditure (% of GDP),"Central government debt, total (% of GDP)",Expense (% of GDP),Tax revenue (% of GDP),Taxes on goods and services (% of revenue),"Revenue, excluding grants (% of GDP)",Social contributions (current LCU),IDA resource allocation index (1=low to 6=high),"Employers, total (% of total employment) (modeled ILO estimate)","Labor force participation rate for ages 15-24, female (%) (national estimate)",Benefit incidence of social protection and labor programs to poorest quintile (% of total SPL benefits),"Unemployment, total (% of total labor force) (modeled ILO estimate)",Increase in poverty gap at $3.20 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),Increase in poverty gap at $1.90 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),Number of people pushed below the $3.20 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure
1960 [YR1960],NaN,NaN,NaN,NaN,NaN,NaN,NaN,12332400,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.99721E+11,NaN,NaN,NaN,NaN,NaN,NaN,89909544,89524144,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,248434097,247369176.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,34588,140986,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.311424113,42410000,-1460000,NaN,NaN,0.04161162,NaN,NaN,NaN,36.62570016,NaN,NaN,NaN,NaN,17.3,83,175574,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,69.05487805,NaN,NaN,97000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50.61000061,NaN,NaN,NaN,NaN,NaN
1961 [YR1961],NaN,NaN,NaN,NaN,NaN,NaN,NaN,23919350,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.084661946,NaN,2.99467E+11,NaN,NaN,NaN,NaN,NaN,NaN,101765752,101427856,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,253885656.3,253042671.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,34368,144661,0,NaN,NaN,NaN,120000,100250,NaN,NaN,NaN,NaN,NaN,2.820202223,48550000,2800000,NaN,NaN,0.043572196,13.28272544,NaN,NaN,40.77992761,NaN,NaN,NaN,NaN,17,81,179029,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,81.58640227,NaN,NaN,81000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1962 [YR1962],NaN,NaN,NaN,NaN,NaN,NaN,NaN,31917030,NaN,NaN,NaN,NaN,NaN,NaN,280481087.6,NaN,8.313712744,NaN,3.24364E+11,NaN,NaN,NaN,NaN,NaN,NaN,122514104,122259360,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,284916516.2,284324088.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,34110,148268,0,NaN,NaN,NaN,120000,100250,NaN,NaN,NaN,NaN,NaN,2.718054405,54840000,9640000,NaN,NaN,0.04837224,11.14783286,NaN,NaN,42.36246955,NaN,NaN,NaN,NaN,16.7,79,182378,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,78.63961814,NaN,0.119949064,89000000,13.25589032,12.73113639,2.206946665,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1963 [YR1963],NaN,NaN,NaN,NaN,NaN,NaN,NaN,34507320,NaN,NaN,NaN,NaN,NaN,NaN,323479574.9,NaN,10.28338287,NaN,3.57719E+11,NaN,NaN,NaN,NaN,NaN,NaN,146226512,146066800,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,340061650.1,339690226.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,33824,151829,0,NaN,NaN,NaN,120000,100250,NaN,NaN,NaN,NaN,NaN,1.374579734,61130000,11210000,NaN,NaN,0.054625811,8.225587784,NaN,NaN,40.57403763,NaN,NaN,NaN,NaN,16.3,77,185653,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80.89647812,NaN,0.095836077,110000000,11.88969752,11.34501435,1.827118905,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1964 [YR1964],NaN,NaN,NaN,NaN,NaN,NaN,NaN,43818480,NaN,NaN,NaN,NaN,NaN,NaN,387567639.7,NaN,9.916544014,NaN,3.93193E+11,NaN,NaN,NaN,NaN,NaN,NaN,186735216,186737840,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,434267936.9,434274039.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,33533,155450,0,NaN,NaN,NaN,120000,100250,NaN,NaN,NaN,NaN,NaN,2.0322894,62210000,31792680,NaN,NaN,0.065138576,16.18151698,NaN,NaN,33.00341592,NaN,NaN,NaN,NaN,15.9,74,188983,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,82.34234234,NaN,0.129576181,131000000,12.32743957,9.350950787,1.572464753,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1965 [YR1965],NaN,NaN,NaN,NaN,NaN,NaN,NaN,53918480,NaN,NaN,NaN,NaN,NaN,NaN,469103340.1,NaN,7.371729299,NaN,4.22178E+11,NaN,NaN,NaN,NaN,NaN,NaN,225188832,224772176,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,523694949.4,522725981.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,33227,159059,0,NaN,NaN,NaN,120000,100250,NaN,NaN,NaN,NaN,NaN,0.85483813,76104000,39297680,NaN,NaN,0.069904813,12.31316663,NaN,NaN,34.26946146,NaN,NaN,NaN,NaN,15.4,71,192286,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85.05034857,NaN,0.102082863,137000000,12.62761863,9.056159204,1.644502786,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1966 [YR1966],NaN,NaN,NaN,NaN,NaN,NaN,NaN,58050510,NaN,NaN,NaN,NaN,NaN,NaN,581826188.6,NaN,8.735933476,NaN,4.59059E+11,NaN,NaN,NaN,NaN,NaN,NaN,270424128,270103552,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,628893310.4,628147784.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,32905,162665,0,NaN,NaN,NaN,120000,100250,NaN,NaN,NaN,NaN,NaN,-0.462236861,85851000,40483038,NaN,NaN,0.077375294,10.43977228,NaN,NaN,31.92947339,NaN,NaN,NaN,NaN,14.9,67,195570,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85.09272468,NaN,0.135282834,159000000,11.19634298,7.69895842,1.470518928,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1967 [YR1967],NaN,NaN,NaN,NaN,NaN,NaN,NaN,35260800,NaN,NaN,NaN,NaN,NaN,NaN,618271495.3,NaN,-1.267261863,NaN,4.53241E+11,NaN,NaN,NaN,NaN,NaN,NaN,274374816,273674528,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,621225962.2,619640404.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,32553,166198,0,NaN,NaN,NaN,120000,100250,NaN,NaN,NaN,NaN,NaN,2.291026593,113158000,25711718,NaN,NaN,0.079944325,2.76320176,NaN,NaN,37.91893203,NaN,NaN,NaN,NaN,14.4,64,198751,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80.45738046,NaN,0.215934501,162000000,12.24003113,7.979278918,1.418845197,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1968 [YR1968],NaN,NaN,NaN,NaN,NaN,NaN,NaN,27955100,NaN,NaN,NaN,NaN,NaN,NaN,562064166.2,NaN,-5.474906346,NaN,4.28427E+11,NaN,NaN,NaN,NaN,NaN,NaN,294918368,293116416,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,474399471.6,471500889.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,32123,169365,0,NaN,NaN,NaN,120000,100250,NaN,NaN,NaN,NaN,NaN,2.870285787,134717000,-1611800.003,NaN,NaN,NaN,13.71308954,NaN,NaN,38.33535387,NaN,NaN,NaN,NaN,13.8,61,201488,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84.73748474,NaN,0.557896501,134000000,13.4878417,11.11462735,1.885552144,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1969 [YR1969],NaN,NaN,NaN,NaN,NaN,NaN,NaN,38520800,NaN,NaN,NaN,NaN,NaN,NaN,505794508.2,NaN,2.374588027,NaN,4.386E+11,NaN,NaN,NaN,NaN,NaN,NaN,364944192,361956608,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,414709311.4,411314329.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,31557,171812,0,NaN,NaN,NaN,120000,100250,NaN,NaN,NaN,NaN,NaN,2.091278658,144622000,17712200.01,NaN,NaN,NaN,20.87388119,NaN,NaN,38.21186994,NaN,NaN,NaN,NaN,13.3,59,203369,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84.52072479,NaN,6.56698675,123000000,14.68252567,9.934665889,6.282892509,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
