NaN,"Foreign direct investment, net (BoP, current US$)","Net capital account (BoP, current US$)","Net trade in goods and services (BoP, current US$)","Exports of goods and services (BoP, current US$)","Charges for the use of intellectual property, payments (BoP, current US$)","Net secondary income (BoP, current US$)","Grants, excluding technical cooperation (BoP, current US$)","Total reserves (includes gold, current US$)","External debt stocks, long-term (DOD, current US$)",Total debt service (% of GNI),"Debt service on external debt, total (TDS, current US$)","Net financial flows, bilateral (NFL, current US$)","Commercial banks and other lending (PPG + PNG) (NFL, current US$)",Adjusted net national income (current US$),"GNI, Atlas method (current US$)",Exports of goods and services (annual % growth),GDP growth (annual %),GNI growth (annual %),GDP (constant LCU),GNI (constant LCU),Gross national expenditure (constant LCU),Gross domestic income (constant LCU),"Industry (including construction), value added (constant LCU)","Manufacturing, value added (constant LCU)","Services, value added (constant LCU)",GDP (current LCU),GNI (current LCU),Exports of goods and services (current LCU),"Industry (including construction), value added (current LCU)","Services, value added (current LCU)",Gross savings (% of GDP),Gross savings (% of GNI),Exports of goods and services (% of GDP),Trade (% of GDP),Imports of goods and services (constant 2010 US$),Exports of goods and services (constant 2010 US$),GDP (current US$),GNI (current US$),Exports of goods and services (current US$),Imports of goods and services (current US$),"Services, value added (current US$)","Net ODA provided, total (% of GNI)",Net ODA received (% of central government expense),Net ODA received (% of GNI),Net official aid received (current US$),"GDP per capita, PPP (current international $)","GDP per capita, PPP (current international $)","GNI, PPP (current international $)","Households and NPISHs Final consumption expenditure, PPP (current international $)","Gross intake ratio in first grade of primary education, total (% of relevant age group)","Over-age students, primary (% of enrollment)","Persistence to grade 5, total (% of cohort)","Government expenditure on education, total (% of government expenditure)","Compulsory education, duration (years)","Adjusted net enrollment rate, primary (% of primary school age children)","Primary education, pupils",Aquaculture production (metric tons),Cereal production (metric tons),"Plant species (higher), threatened",Rural population,Urban population,Electricity production from coal sources (% of total),Access to electricity (% of population),GDP per unit of energy use (PPP $ per kg of oil equivalent),"Annual freshwater withdrawals, total (% of internal resources)",Arable land (hectares),Land area (sq. km),Urban land area (sq. km),Rural land area (sq. km),Total natural resources rents (% of GDP),"Depositors with commercial banks (per 1,000 adults)",Bank liquid reserves to bank assets ratio (%),"Claims on central government, etc. (% GDP)",Net domestic credit (current LCU),Net foreign assets (current LCU),"Listed domestic companies, total","Stocks traded, total value (current US$)",Consumer price index (2010 = 100),"Inflation, GDP deflator (annual %)",Deposit interest rate (%),Real interest rate (%),Broad money (% of GDP),"Domestic general government health expenditure per capita, PPP (current international $)",Current health expenditure (% of GDP),Current health expenditure per capita (current US$),"External health expenditure per capita, PPP (current international $)","Mortality rate, infant (per 1,000 live births)",Number of infant deaths,"Population, total","ICT service exports (BoP, current US$)","Patent applications, residents","Trademark applications, total",Rail lines (total route-km),Gini index (World Bank estimate),Multidimensional poverty headcount ratio (% of total population),Poverty headcount ratio at national poverty lines (% of population),Start-up procedures to register a business (number),Cost of business start-up procedures (% of GNI per capita),Profit tax (% of commercial profits),Merchandise exports to high-income economies (% of total merchandise exports),Fuel exports (% of merchandise exports),Ores and metals exports (% of merchandise exports),Merchandise imports (current US$),Food imports (% of merchandise imports),Fuel imports (% of merchandise imports),Ores and metals imports (% of merchandise imports),"Bound rate, simple mean, all products (%)","Share of tariff lines with international peaks, all products (%)","Binding coverage, all products (%)",Export value index (2000 = 100),"Armed forces personnel, total","Armed forces personnel, total",Military expenditure (% of GDP),"Central government debt, total (% of GDP)",Expense (% of GDP),Tax revenue (% of GDP),Taxes on goods and services (% of revenue),"Revenue, excluding grants (% of GDP)",Social contributions (current LCU),IDA resource allocation index (1=low to 6=high),"Employers, total (% of total employment) (modeled ILO estimate)","Labor force participation rate for ages 15-24, female (%) (national estimate)",Benefit incidence of social protection and labor programs to poorest quintile (% of total SPL benefits),"Unemployment, total (% of total labor force) (modeled ILO estimate)",Increase in poverty gap at $3.20 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),Increase in poverty gap at $1.90 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),Number of people pushed below the $3.20 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure
1960 [YR1960],-54000000,0,-305000000,308000000,1000000,305000000,108680000,213156800,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,78125736440,NaN,NaN,NaN,NaN,NaN,NaN,519700,517000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2598500000,2585000000,NaN,NaN,NaN,NaN,NaN,4.071953661,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9271,NaN,NaN,489438,1624582,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.696748124,110000,40000,NaN,NaN,0.000885738,NaN,NaN,NaN,26.93861843,NaN,NaN,NaN,NaN,34.5,1833,2114020,2000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,75.58247903,NaN,NaN,496000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.460248312,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1961 [YR1961],-59000000,0,-396000000,361000000,2000000,340000000,106810000,279512900,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.20388562,NaN,86878854589,NaN,NaN,NaN,NaN,NaN,NaN,627700,624500,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3138500000,3122500000,NaN,NaN,NaN,NaN,NaN,3.437950311,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10054,171600,NaN,481028,1703972,NaN,NaN,NaN,NaN,318000,21640,NaN,NaN,NaN,NaN,NaN,5.57591206,120000,60000,NaN,NaN,0.000945878,8.612409777,NaN,NaN,27.08300143,NaN,NaN,NaN,NaN,32.7,1781,2185000,2000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,76.95136902,NaN,NaN,580000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.865016263,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1962 [YR1962],0,NaN,0,0,NaN,0,94500000,419626970,NaN,NaN,NaN,NaN,NaN,NaN,3027338320,NaN,10.15611716,NaN,95702372846,NaN,NaN,NaN,NaN,NaN,NaN,753000,749200,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2510000000,2497333333,NaN,NaN,NaN,NaN,NaN,4.260544642,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9985,152700,NaN,487171,1805829,NaN,NaN,NaN,NaN,309000,21640,NaN,NaN,NaN,NaN,NaN,0.929614874,110000,120000,NaN,NaN,0.001034868,8.901591913,NaN,NaN,30.54448871,NaN,NaN,NaN,NaN,31,1734,2293000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,76.06191505,1.350251292,2.463966382,635000000,16.93836782,6.454334599,3.340086865,NaN,NaN,NaN,NaN,NaN,NaN,9.16079196,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1963 [YR1963],0,NaN,0,0,NaN,0,88510000,515211720,NaN,NaN,NaN,NaN,NaN,NaN,3170012296,NaN,10.69571298,NaN,1.05938E+11,NaN,NaN,NaN,NaN,NaN,NaN,897700,893100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2992333333,2977000000,NaN,NaN,NaN,NaN,NaN,3.817265683,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11282,139200,NaN,487647,1891353,NaN,NaN,NaN,NaN,320000,21640,NaN,NaN,NaN,NaN,NaN,2.562103153,150000,148877.9959,NaN,NaN,0.001102974,7.697456622,NaN,NaN,30.07686309,NaN,NaN,NaN,NaN,29.5,1694,2379000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,79.79363715,2.196043481,3.993356369,674000000,18.22418129,6.745819613,3.283213465,NaN,NaN,NaN,NaN,NaN,NaN,9.753574116,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1964 [YR1964],0,NaN,0,0,NaN,0,89510000,545175920,NaN,NaN,NaN,NaN,NaN,NaN,3239348470,NaN,7.937191975,NaN,1.14347E+11,NaN,NaN,NaN,NaN,NaN,NaN,1021600,1016400,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3405333333,3388000000,NaN,NaN,NaN,NaN,NaN,2.832349442,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11812,329400,NaN,489258,1985742,NaN,NaN,NaN,NaN,322000,21640,NaN,NaN,NaN,NaN,NaN,2.838684417,211000,153749.9918,NaN,NaN,0.001160028,5.433480531,NaN,NaN,32.59592796,NaN,NaN,NaN,NaN,28.2,1663,2475000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,79.07926995,2.526244139,3.533844173,839000000,15.78927056,5.728499941,3.217478145,NaN,NaN,NaN,NaN,NaN,NaN,8.984626962,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1965 [YR1965],-1000000,0,-456000000,672000000,2000000,321000000,111230000,643181280,NaN,NaN,NaN,NaN,NaN,NaN,3699445025,NaN,9.093965599,NaN,1.24746E+11,NaN,NaN,NaN,NaN,NaN,NaN,1099000,1093400,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3663333333,3644666667,NaN,NaN,NaN,NaN,NaN,3.37012992,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11673,288000,NaN,488508,2074492,NaN,NaN,NaN,NaN,312000,21640,NaN,NaN,NaN,NaN,NaN,3.093721565,250000,175749.9918,NaN,NaN,0.001249447,-1.391107903,NaN,NaN,35.21383076,NaN,NaN,NaN,NaN,27.1,1646,2563000,2000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,79.41660786,2.36312446,4.019464031,838000000,16.47771388,6.444068111,3.651027183,NaN,NaN,NaN,NaN,NaN,NaN,8.569153776,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1966 [YR1966],-36000000,0,-389000000,781000000,2000000,292000000,22210000,621344090,NaN,NaN,NaN,NaN,NaN,NaN,3871782085,NaN,-0.079644772,NaN,1.24646E+11,NaN,NaN,NaN,NaN,NaN,NaN,1194000,1186200,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3980000000,3954000000,NaN,NaN,NaN,NaN,NaN,2.809812809,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10526,137100,NaN,482947,2146053,NaN,NaN,NaN,NaN,322000,21640,NaN,NaN,NaN,NaN,NaN,4.103852596,324000,168752.9852,NaN,NaN,0.001348533,8.730820435,NaN,NaN,37.93969849,NaN,NaN,NaN,NaN,26.3,1648,2629000,2000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,79.31241255,0.035678872,4.799112117,833000000,19.99727044,7.073226715,4.232775564,NaN,NaN,NaN,NaN,NaN,NaN,9.434673367,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1967 [YR1967],2000000,0,-465000000,852000000,2000000,516000000,2830000,714857200,NaN,NaN,NaN,NaN,NaN,NaN,4050013879,NaN,2.995020166,NaN,1.28379E+11,NaN,NaN,NaN,NaN,NaN,NaN,1209000,1197200,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4030000000,3990666667,NaN,NaN,NaN,NaN,NaN,1.770882012,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9637,304650,NaN,485865,2259135,NaN,NaN,NaN,NaN,323000,21640,NaN,NaN,NaN,NaN,NaN,6.120760959,384000,236878.4827,NaN,NaN,0.00137154,-1.688177502,NaN,NaN,47.39454094,NaN,NaN,NaN,NaN,25.7,1668,2745000,4000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,79.11095049,0.0836719,3.571687808,774000000,18.99445451,6.091243852,4.24592917,NaN,NaN,NaN,NaN,NaN,NaN,15.44251447,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1968 [YR1968],-11000000,0,-525000000,1082000000,3000000,408000000,5620000,672002300,NaN,NaN,NaN,NaN,NaN,NaN,4843054899,NaN,16.24195681,NaN,1.49231E+11,NaN,NaN,NaN,NaN,NaN,NaN,1385700,1373100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4619000000,4577000000,NaN,NaN,NaN,NaN,NaN,1.354380635,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10827,223150,NaN,477855,2325145,NaN,NaN,NaN,NaN,322000,21640,NaN,NaN,NaN,NaN,NaN,11.11351663,529000,220881.9827,NaN,NaN,0.001400057,-1.399298706,NaN,NaN,50.22732193,NaN,NaN,NaN,NaN,25.2,1702,2803000,4000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,76.421875,0.043533077,3.732820745,1307000000,14.81277162,5.856736706,3.938717904,NaN,NaN,NaN,NaN,NaN,NaN,17.42801472,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1969 [YR1969],-33000000,0,-738000000,1213000000,3000000,421000000,4210000,412671200,NaN,NaN,NaN,NaN,NaN,NaN,5491940542,NaN,13.56570351,NaN,1.69475E+11,NaN,NaN,NaN,NaN,NaN,NaN,1598800,1580100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5329333333,5267000000,NaN,NaN,NaN,NaN,NaN,1.047085656,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11180,196750,NaN,472346,2404654,NaN,NaN,NaN,NaN,321000,21640,NaN,NaN,NaN,NaN,NaN,17.95096322,741000,134132.0173,NaN,NaN,0.001434471,1.596261454,NaN,NaN,50.3502627,NaN,NaN,NaN,NaN,24.8,1746,2877000,5000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,78.09041482,0.023923681,4.095497108,1653000000,12.91726142,5.365864537,3.612771491,NaN,NaN,NaN,NaN,NaN,NaN,19.08931699,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
