NaN,"Foreign direct investment, net (BoP, current US$)","Net capital account (BoP, current US$)","Net trade in goods and services (BoP, current US$)","Exports of goods and services (BoP, current US$)","Charges for the use of intellectual property, payments (BoP, current US$)","Net secondary income (BoP, current US$)","Grants, excluding technical cooperation (BoP, current US$)","Total reserves (includes gold, current US$)","External debt stocks, long-term (DOD, current US$)",Total debt service (% of GNI),"Debt service on external debt, total (TDS, current US$)","Net financial flows, bilateral (NFL, current US$)","Commercial banks and other lending (PPG + PNG) (NFL, current US$)",Adjusted net national income (current US$),"GNI, Atlas method (current US$)",Exports of goods and services (annual % growth),GDP growth (annual %),GNI growth (annual %),GDP (constant LCU),GNI (constant LCU),Gross national expenditure (constant LCU),Gross domestic income (constant LCU),"Industry (including construction), value added (constant LCU)","Manufacturing, value added (constant LCU)","Services, value added (constant LCU)",GDP (current LCU),GNI (current LCU),Exports of goods and services (current LCU),"Industry (including construction), value added (current LCU)","Services, value added (current LCU)",Gross savings (% of GDP),Gross savings (% of GNI),Exports of goods and services (% of GDP),Trade (% of GDP),Imports of goods and services (constant 2010 US$),Exports of goods and services (constant 2010 US$),GDP (current US$),GNI (current US$),Exports of goods and services (current US$),Imports of goods and services (current US$),"Services, value added (current US$)","Net ODA provided, total (% of GNI)",Net ODA received (% of central government expense),Net ODA received (% of GNI),Net official aid received (current US$),"GDP per capita, PPP (current international $)","GDP per capita, PPP (current international $)","GNI, PPP (current international $)","Households and NPISHs Final consumption expenditure, PPP (current international $)","Gross intake ratio in first grade of primary education, total (% of relevant age group)","Over-age students, primary (% of enrollment)","Persistence to grade 5, total (% of cohort)","Government expenditure on education, total (% of government expenditure)","Compulsory education, duration (years)","Adjusted net enrollment rate, primary (% of primary school age children)","Primary education, pupils",Aquaculture production (metric tons),Cereal production (metric tons),"Plant species (higher), threatened",Rural population,Urban population,Electricity production from coal sources (% of total),Access to electricity (% of population),GDP per unit of energy use (PPP $ per kg of oil equivalent),"Annual freshwater withdrawals, total (% of internal resources)",Arable land (hectares),Land area (sq. km),Urban land area (sq. km),Rural land area (sq. km),Total natural resources rents (% of GDP),"Depositors with commercial banks (per 1,000 adults)",Bank liquid reserves to bank assets ratio (%),"Claims on central government, etc. (% GDP)",Net domestic credit (current LCU),Net foreign assets (current LCU),"Listed domestic companies, total","Stocks traded, total value (current US$)",Consumer price index (2010 = 100),"Inflation, GDP deflator (annual %)",Deposit interest rate (%),Real interest rate (%),Broad money (% of GDP),"Domestic general government health expenditure per capita, PPP (current international $)",Current health expenditure (% of GDP),Current health expenditure per capita (current US$),"External health expenditure per capita, PPP (current international $)","Mortality rate, infant (per 1,000 live births)",Number of infant deaths,"Population, total","ICT service exports (BoP, current US$)","Patent applications, residents","Trademark applications, total",Rail lines (total route-km),Gini index (World Bank estimate),Multidimensional poverty headcount ratio (% of total population),Poverty headcount ratio at national poverty lines (% of population),Start-up procedures to register a business (number),Cost of business start-up procedures (% of GNI per capita),Profit tax (% of commercial profits),Merchandise exports to high-income economies (% of total merchandise exports),Fuel exports (% of merchandise exports),Ores and metals exports (% of merchandise exports),Merchandise imports (current US$),Food imports (% of merchandise imports),Fuel imports (% of merchandise imports),Ores and metals imports (% of merchandise imports),"Bound rate, simple mean, all products (%)","Share of tariff lines with international peaks, all products (%)","Binding coverage, all products (%)",Export value index (2000 = 100),"Armed forces personnel, total","Armed forces personnel, total",Military expenditure (% of GDP),"Central government debt, total (% of GDP)",Expense (% of GDP),Tax revenue (% of GDP),Taxes on goods and services (% of revenue),"Revenue, excluding grants (% of GDP)",Social contributions (current LCU),IDA resource allocation index (1=low to 6=high),"Employers, total (% of total employment) (modeled ILO estimate)","Labor force participation rate for ages 15-24, female (%) (national estimate)",Benefit incidence of social protection and labor programs to poorest quintile (% of total SPL benefits),"Unemployment, total (% of total labor force) (modeled ILO estimate)",Increase in poverty gap at $3.20 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),Increase in poverty gap at $1.90 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),Number of people pushed below the $3.20 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure
1960 [YR1960],NaN,NaN,NaN,NaN,NaN,NaN,NaN,3288591200,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.38316E+11,NaN,NaN,NaN,NaN,NaN,NaN,13014645760,13050289152,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,40385288344,40495892097,NaN,NaN,NaN,0.219,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2794,NaN,NaN,20400656,29799044,3.818539025,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.147835617,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,44.1,39159,50199700,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,68.31596028,NaN,NaN,4734000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.713825988,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1961 [YR1961],NaN,NaN,NaN,NaN,NaN,NaN,NaN,3809235500,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.207245914,NaN,4.74289E+11,NaN,NaN,NaN,NaN,NaN,NaN,14474595328,14506570752,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,44842760293,44941821182,NaN,NaN,NaN,0.153,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4776,13933400,NaN,20287312,30249038,7.154107602,NaN,NaN,NaN,12862000,294110,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.23289517,2.782158882,NaN,NaN,NaN,NaN,NaN,NaN,NaN,42.6,38419,50536350,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,69.05844622,NaN,NaN,5221000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.573869075,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,39.93000031,NaN,NaN,NaN,NaN,NaN
1962 [YR1962],NaN,NaN,NaN,NaN,NaN,NaN,NaN,4072606720,NaN,NaN,NaN,NaN,NaN,NaN,49039522314,NaN,6.203650458,NaN,5.03713E+11,NaN,NaN,NaN,NaN,NaN,NaN,16263192576,16291352576,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50383891899,50471132482,NaN,NaN,NaN,0.183,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6531,14433210,NaN,20171158,30708292,7.90904444,NaN,NaN,NaN,12795000,294110,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.431466362,5.793729916,NaN,NaN,NaN,NaN,NaN,NaN,NaN,40.9,37504,50879450,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,72.72259061,5.589753854,1.550927775,6069000000,16.92643157,13.35212159,9.751443727,NaN,NaN,NaN,NaN,NaN,NaN,2.633838357,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1963 [YR1963],NaN,NaN,NaN,NaN,NaN,NaN,NaN,3624125520,NaN,NaN,NaN,NaN,NaN,NaN,54567043544,NaN,5.609727978,NaN,5.3197E+11,NaN,NaN,NaN,NaN,NaN,NaN,18628194304,18657593344,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,57710743060,57801822228,NaN,NaN,NaN,0.141,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8001,13324660,NaN,20063620,31188380,4.851744432,NaN,NaN,NaN,12674000,294110,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.761819692,8.4578599,NaN,NaN,NaN,NaN,NaN,NaN,NaN,39.1,36390,51252000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,71.7271356,5.513221466,1.445417574,7589000000,20.83276882,12.23376169,7.817881273,NaN,NaN,NaN,NaN,NaN,NaN,2.753437954,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1964 [YR1964],NaN,NaN,NaN,NaN,NaN,NaN,NaN,3831167440,NaN,NaN,NaN,NaN,NaN,NaN,59972791169,NaN,2.797702279,NaN,5.46852E+11,NaN,NaN,NaN,NaN,NaN,NaN,20392112128,20435560448,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,63175417019,63310021307,NaN,NaN,NaN,0.087,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9893,14007520,NaN,19972523,31702827,4.892465367,NaN,NaN,NaN,12598000,294110,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.043353831,6.489807937,NaN,NaN,NaN,NaN,NaN,NaN,NaN,37.4,35117,51675350,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,72.36902243,5.051432147,2.142081927,7254000000,20.9654551,14.07474865,7.811977272,NaN,NaN,NaN,NaN,NaN,NaN,2.727355898,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1965 [YR1965],NaN,NaN,NaN,NaN,NaN,NaN,NaN,4808141120,NaN,NaN,NaN,NaN,NaN,NaN,66533106006,NaN,3.26802372,NaN,5.64724E+11,NaN,NaN,NaN,NaN,NaN,NaN,21942366208,22026698752,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,67978153851,68239418775,NaN,NaN,NaN,0.102,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11813,14531270,NaN,19884509,32227841,5.227982662,NaN,NaN,NaN,12524000,294110,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.271276522,4.197040196,NaN,NaN,NaN,NaN,NaN,NaN,NaN,35.8,33762,52112350,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,73.86047552,5.445189912,2.319780102,7378000000,24.45263818,15.72969473,9.887284602,NaN,NaN,NaN,NaN,NaN,NaN,2.747580162,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1966 [YR1966],NaN,NaN,NaN,NaN,NaN,NaN,NaN,4923709110,NaN,NaN,NaN,NaN,NaN,NaN,74148050788,NaN,5.984794225,NaN,5.98521E+11,NaN,NaN,NaN,NaN,NaN,NaN,23774728192,23887888384,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,73654870011,74005443913,NaN,NaN,NaN,0.123,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13573,14377630,NaN,19781807,32737193,5.680597816,NaN,NaN,NaN,12444000,294110,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.394971714,2.232396286,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.4,32448,52519000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,73.38408253,5.854116254,1.861196402,8590000000,23.56529576,14.81566946,10.17737039,NaN,NaN,NaN,NaN,NaN,NaN,2.988719981,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1967 [YR1967],NaN,NaN,NaN,NaN,NaN,NaN,NaN,5476253200,NaN,NaN,NaN,NaN,NaN,NaN,81930085970,NaN,7.178612466,NaN,6.41487E+11,NaN,NaN,NaN,NaN,NaN,NaN,26188599296,26288648192,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,81133120065,81443074752,NaN,NaN,NaN,0.221,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16711,15165050,NaN,19667348,33233152,8.568904594,NaN,NaN,NaN,12389000,294110,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.59638426,2.775258981,NaN,NaN,NaN,NaN,NaN,NaN,NaN,33.1,31230,52900500,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,72.22906191,6.118575959,1.506598621,9829000000,21.46633931,16.40462814,10.1565984,NaN,NaN,NaN,NaN,NaN,NaN,2.76774694,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1968 [YR1968],NaN,NaN,NaN,NaN,NaN,NaN,NaN,5918045600,NaN,NaN,NaN,NaN,NaN,NaN,90268418454,NaN,6.544554655,NaN,6.83469E+11,NaN,NaN,NaN,NaN,NaN,NaN,28386482176,28510566400,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87942231678,88326648582,NaN,NaN,NaN,0.193,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20473,15047330,NaN,19532729,33703021,6.822916162,NaN,NaN,NaN,12346000,294110,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.667867623,1.734451129,NaN,NaN,NaN,NaN,NaN,NaN,NaN,32,30035,53235750,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,72.91588675,5.9692111,1.83742614,10285000000,21.3518117,16.32945823,9.915866003,NaN,NaN,NaN,NaN,NaN,NaN,2.648961592,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1969 [YR1969],NaN,NaN,NaN,NaN,NaN,NaN,NaN,5061676400,NaN,NaN,NaN,NaN,NaN,NaN,99159428098,NaN,6.098059996,NaN,7.25148E+11,NaN,NaN,NaN,NaN,NaN,NaN,31337662464,31496042496,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,97085082807,97575749223,NaN,NaN,NaN,0.155,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22748,15848360,NaN,19385021,34152929,6.834105755,NaN,NaN,NaN,12221000,294110,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.818477191,4.05131666,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30.9,28759,53537950,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,73.87346692,5.112583718,1.670974494,12470000000,20.07019161,14.58261689,9.929566517,NaN,NaN,NaN,NaN,NaN,NaN,2.422400827,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
