NaN,"Foreign direct investment, net (BoP, current US$)","Net capital account (BoP, current US$)","Net trade in goods and services (BoP, current US$)","Exports of goods and services (BoP, current US$)","Charges for the use of intellectual property, payments (BoP, current US$)","Net secondary income (BoP, current US$)","Grants, excluding technical cooperation (BoP, current US$)","Total reserves (includes gold, current US$)","External debt stocks, long-term (DOD, current US$)",Total debt service (% of GNI),"Debt service on external debt, total (TDS, current US$)","Net financial flows, bilateral (NFL, current US$)","Commercial banks and other lending (PPG + PNG) (NFL, current US$)",Adjusted net national income (current US$),"GNI, Atlas method (current US$)",Exports of goods and services (annual % growth),GDP growth (annual %),GNI growth (annual %),GDP (constant LCU),GNI (constant LCU),Gross national expenditure (constant LCU),Gross domestic income (constant LCU),"Industry (including construction), value added (constant LCU)","Manufacturing, value added (constant LCU)","Services, value added (constant LCU)",GDP (current LCU),GNI (current LCU),Exports of goods and services (current LCU),"Industry (including construction), value added (current LCU)","Services, value added (current LCU)",Gross savings (% of GDP),Gross savings (% of GNI),Exports of goods and services (% of GDP),Trade (% of GDP),Imports of goods and services (constant 2010 US$),Exports of goods and services (constant 2010 US$),GDP (current US$),GNI (current US$),Exports of goods and services (current US$),Imports of goods and services (current US$),"Services, value added (current US$)","Net ODA provided, total (% of GNI)",Net ODA received (% of central government expense),Net ODA received (% of GNI),Net official aid received (current US$),"GDP per capita, PPP (current international $)","GDP per capita, PPP (current international $)","GNI, PPP (current international $)","Households and NPISHs Final consumption expenditure, PPP (current international $)","Gross intake ratio in first grade of primary education, total (% of relevant age group)","Over-age students, primary (% of enrollment)","Persistence to grade 5, total (% of cohort)","Government expenditure on education, total (% of government expenditure)","Compulsory education, duration (years)","Adjusted net enrollment rate, primary (% of primary school age children)","Primary education, pupils",Aquaculture production (metric tons),Cereal production (metric tons),"Plant species (higher), threatened",Rural population,Urban population,Electricity production from coal sources (% of total),Access to electricity (% of population),GDP per unit of energy use (PPP $ per kg of oil equivalent),"Annual freshwater withdrawals, total (% of internal resources)",Arable land (hectares),Land area (sq. km),Urban land area (sq. km),Rural land area (sq. km),Total natural resources rents (% of GDP),"Depositors with commercial banks (per 1,000 adults)",Bank liquid reserves to bank assets ratio (%),"Claims on central government, etc. (% GDP)",Net domestic credit (current LCU),Net foreign assets (current LCU),"Listed domestic companies, total","Stocks traded, total value (current US$)",Consumer price index (2010 = 100),"Inflation, GDP deflator (annual %)",Deposit interest rate (%),Real interest rate (%),Broad money (% of GDP),"Domestic general government health expenditure per capita, PPP (current international $)",Current health expenditure (% of GDP),Current health expenditure per capita (current US$),"External health expenditure per capita, PPP (current international $)","Mortality rate, infant (per 1,000 live births)",Number of infant deaths,"Population, total","ICT service exports (BoP, current US$)","Patent applications, residents","Trademark applications, total",Rail lines (total route-km),Gini index (World Bank estimate),Multidimensional poverty headcount ratio (% of total population),Poverty headcount ratio at national poverty lines (% of population),Start-up procedures to register a business (number),Cost of business start-up procedures (% of GNI per capita),Profit tax (% of commercial profits),Merchandise exports to high-income economies (% of total merchandise exports),Fuel exports (% of merchandise exports),Ores and metals exports (% of merchandise exports),Merchandise imports (current US$),Food imports (% of merchandise imports),Fuel imports (% of merchandise imports),Ores and metals imports (% of merchandise imports),"Bound rate, simple mean, all products (%)","Share of tariff lines with international peaks, all products (%)","Binding coverage, all products (%)",Export value index (2000 = 100),"Armed forces personnel, total","Armed forces personnel, total",Military expenditure (% of GDP),"Central government debt, total (% of GDP)",Expense (% of GDP),Tax revenue (% of GDP),Taxes on goods and services (% of revenue),"Revenue, excluding grants (% of GDP)",Social contributions (current LCU),IDA resource allocation index (1=low to 6=high),"Employers, total (% of total employment) (modeled ILO estimate)","Labor force participation rate for ages 15-24, female (%) (national estimate)",Benefit incidence of social protection and labor programs to poorest quintile (% of total SPL benefits),"Unemployment, total (% of total labor force) (modeled ILO estimate)",Increase in poverty gap at $3.20 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),Increase in poverty gap at $1.90 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),Number of people pushed below the $3.20 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure
1960 [YR1960],NaN,NaN,NaN,NaN,NaN,NaN,NaN,69200000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,499331900,488071600,165988500,NaN,NaN,NaN,NaN,33.24211812,71.29296166,NaN,NaN,699050679,683286574.3,232379252.4,265994680.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,1078585,549935,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-6.288402564,47200000,45600000,NaN,NaN,0.11289895,NaN,NaN,NaN,20.34718791,NaN,NaN,NaN,NaN,61.1,3977,1628520,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,96.6540404,NaN,NaN,217000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,58.91999817,NaN,NaN,NaN,NaN,NaN
1961 [YR1961],NaN,NaN,NaN,NaN,NaN,NaN,3630000,76100000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,534317000,520682200,177910300,NaN,NaN,NaN,NaN,33.29676952,68.29472018,NaN,NaN,748028839.4,728940501.2,249069438.6,261794764.1,NaN,NaN,NaN,1.384200787,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,8433,NaN,1081453,569620,NaN,NaN,NaN,NaN,166000,10830,NaN,NaN,NaN,NaN,NaN,0.349605197,88982000,-304000,NaN,NaN,0.120461431,NaN,NaN,NaN,17.7273042,NaN,NaN,NaN,NaN,58.8,3908,1651073,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,96.1338719,NaN,NaN,211000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1962 [YR1962],NaN,NaN,NaN,NaN,NaN,NaN,7780000,74200000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,555520000,531552400,183412700,NaN,NaN,NaN,NaN,33.01639905,67.93863407,NaN,NaN,777712445.8,744158476.8,256772644.5,271594568.1,NaN,NaN,NaN,1.693187778,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,8941,NaN,1085719,590782,NaN,NaN,NaN,NaN,166000,10830,NaN,NaN,NaN,NaN,NaN,3.41031826,102072000,17432000,NaN,NaN,0.122156934,NaN,NaN,NaN,22.81790035,NaN,NaN,NaN,NaN,56.8,3833,1676501,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,95.24073049,0,49.18098461,223000000,23.04278773,9.248439991,1.246007553,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1963 [YR1963],NaN,NaN,NaN,NaN,NaN,NaN,3970000,89900000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,590505000,577207200,201754000,NaN,NaN,NaN,NaN,34.16634914,68.20501097,NaN,NaN,826690466.2,808073918.5,282449951,281394372.1,NaN,NaN,NaN,0.426941146,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,9530,NaN,1090592,613059,NaN,NaN,NaN,NaN,166000,10830,NaN,NaN,NaN,NaN,NaN,3.469403307,97416000,41759521.56,NaN,NaN,0.124309953,NaN,NaN,NaN,24.44043658,NaN,NaN,NaN,NaN,54.9,3752,1703651,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,97.68244576,4.12E-05,42.4272815,226000000,23.85092883,9.021734465,1.351937559,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1964 [YR1964],NaN,NaN,NaN,NaN,NaN,NaN,4350000,96950000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,641392400,626123100,214592900,NaN,NaN,NaN,NaN,33.45734998,72.43504912,NaN,NaN,897931401.4,876554808.9,300424051.5,349993000.1,NaN,NaN,NaN,0.45633199,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,7315,NaN,1094865,635873,NaN,NaN,NaN,NaN,166000,10830,NaN,NaN,NaN,NaN,NaN,3.694306325,130390000,26411574.42,NaN,NaN,0.126812838,NaN,NaN,NaN,24.79293487,NaN,NaN,NaN,NaN,53.2,3665,1730738,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,96.73563218,NaN,NaN,289000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1965 [YR1965],NaN,NaN,NaN,NaN,NaN,NaN,4630000,95840000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,694400000,678300000,231100000,NaN,NaN,NaN,NaN,33.28052995,70.1468894,NaN,NaN,972140557.2,949601008,323533529.3,358392832.1,NaN,NaN,NaN,1.039383889,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,5995,NaN,1097837,658674,NaN,NaN,NaN,NaN,150000,10830,NaN,NaN,NaN,NaN,NaN,3.415178571,153040000,18386685.72,NaN,NaN,0.130150018,NaN,NaN,NaN,24.63968894,NaN,NaN,NaN,NaN,51.6,3569,1756511,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,95.55243446,NaN,NaN,289000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1966 [YR1966],NaN,NaN,NaN,NaN,NaN,NaN,2000000,87640000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.23344E+11,NaN,NaN,NaN,1.56833E+11,73465120200,NaN,783400000,730500000,293400000,NaN,NaN,NaN,NaN,37.45213173,73.32141945,NaN,NaN,1096738065,1022679546,410751785,393392132.2,NaN,NaN,NaN,0.99933555,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,6379,NaN,1099203,681315,NaN,NaN,NaN,NaN,150000,10830,NaN,NaN,NaN,NaN,NaN,2.200663773,152640000,43371266.33,NaN,NaN,0.13262599,NaN,NaN,NaN,25.14258361,NaN,NaN,NaN,NaN,50.1,3462,1780518,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,94.58091331,NaN,NaN,327000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1967 [YR1967],NaN,NaN,NaN,NaN,NaN,NaN,2010000,85040000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.808638519,NaN,4.31E+11,NaN,NaN,NaN,1.55862E+11,75383263100,NaN,831400000,776200000,299700000,NaN,NaN,NaN,NaN,36.0476305,72.853019,NaN,NaN,1148025407,1071803369,413835956.9,422535211.3,NaN,NaN,NaN,0.910614811,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,4384,NaN,1099375,703944,NaN,NaN,NaN,NaN,155000,10830,NaN,NaN,NaN,NaN,NaN,3.083473659,172346000,55972646.36,NaN,NaN,0.136635988,4.24178111,NaN,NaN,26.48123647,NaN,NaN,NaN,NaN,48.7,3344,1803319,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,95.13732553,NaN,NaN,349000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1968 [YR1968],NaN,NaN,NaN,NaN,NaN,NaN,3780000,120240000,NaN,NaN,NaN,NaN,NaN,NaN,1139689810,NaN,5.744132216,NaN,4.55758E+11,NaN,NaN,NaN,1.67465E+11,77303856200,NaN,903200000,854400000,332700000,NaN,NaN,NaN,NaN,36.83569531,78.90832595,NaN,NaN,1083883355,1025321013,399255970.2,456018240.7,NaN,NaN,NaN,1.566338665,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,3713,NaN,1098905,726974,NaN,NaN,NaN,NaN,155000,10830,NaN,NaN,NaN,NaN,NaN,3.637621789,206355000,83924678.97,NaN,NaN,0.144736724,2.734812161,NaN,NaN,31.72065988,NaN,NaN,NaN,NaN,47.2,3216,1825879,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,93.93248175,NaN,NaN,384000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1969 [YR1969],NaN,NaN,NaN,NaN,NaN,NaN,1690000,117940000,NaN,NaN,NaN,NaN,NaN,NaN,1195417744,NaN,5.574673871,NaN,4.81165E+11,NaN,NaN,NaN,1.66543E+11,77659070600,NaN,992700000,941500000,364900000,NaN,NaN,NaN,NaN,36.75833585,80.21557369,NaN,NaN,1191287652,1129845194,437897515.9,517700708,NaN,NaN,NaN,1.174497226,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,4587,NaN,1098773,750889,NaN,NaN,NaN,NaN,155000,10830,NaN,NaN,NaN,NaN,NaN,2.347436285,268603000,72778056.08,NaN,NaN,0.153860143,4.105660631,NaN,NaN,34.15845673,NaN,NaN,NaN,NaN,45.8,3079,1849662,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,83.7517543,NaN,NaN,436000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
