NaN,"Foreign direct investment, net (BoP, current US$)","Net capital account (BoP, current US$)","Net trade in goods and services (BoP, current US$)","Exports of goods and services (BoP, current US$)","Charges for the use of intellectual property, payments (BoP, current US$)","Net secondary income (BoP, current US$)","Grants, excluding technical cooperation (BoP, current US$)","Total reserves (includes gold, current US$)","External debt stocks, long-term (DOD, current US$)",Total debt service (% of GNI),"Debt service on external debt, total (TDS, current US$)","Net financial flows, bilateral (NFL, current US$)","Commercial banks and other lending (PPG + PNG) (NFL, current US$)",Adjusted net national income (current US$),"GNI, Atlas method (current US$)",Exports of goods and services (annual % growth),GDP growth (annual %),GNI growth (annual %),GDP (constant LCU),GNI (constant LCU),Gross national expenditure (constant LCU),Gross domestic income (constant LCU),"Industry (including construction), value added (constant LCU)","Manufacturing, value added (constant LCU)","Services, value added (constant LCU)",GDP (current LCU),GNI (current LCU),Exports of goods and services (current LCU),"Industry (including construction), value added (current LCU)","Services, value added (current LCU)",Gross savings (% of GDP),Gross savings (% of GNI),Exports of goods and services (% of GDP),Trade (% of GDP),Imports of goods and services (constant 2010 US$),Exports of goods and services (constant 2010 US$),GDP (current US$),GNI (current US$),Exports of goods and services (current US$),Imports of goods and services (current US$),"Services, value added (current US$)","Net ODA provided, total (% of GNI)",Net ODA received (% of central government expense),Net ODA received (% of GNI),Net official aid received (current US$),"GDP per capita, PPP (current international $)","GDP per capita, PPP (current international $)","GNI, PPP (current international $)","Households and NPISHs Final consumption expenditure, PPP (current international $)","Gross intake ratio in first grade of primary education, total (% of relevant age group)","Over-age students, primary (% of enrollment)","Persistence to grade 5, total (% of cohort)","Government expenditure on education, total (% of government expenditure)","Compulsory education, duration (years)","Adjusted net enrollment rate, primary (% of primary school age children)","Primary education, pupils",Aquaculture production (metric tons),Cereal production (metric tons),"Plant species (higher), threatened",Rural population,Urban population,Electricity production from coal sources (% of total),Access to electricity (% of population),GDP per unit of energy use (PPP $ per kg of oil equivalent),"Annual freshwater withdrawals, total (% of internal resources)",Arable land (hectares),Land area (sq. km),Urban land area (sq. km),Rural land area (sq. km),Total natural resources rents (% of GDP),"Depositors with commercial banks (per 1,000 adults)",Bank liquid reserves to bank assets ratio (%),"Claims on central government, etc. (% GDP)",Net domestic credit (current LCU),Net foreign assets (current LCU),"Listed domestic companies, total","Stocks traded, total value (current US$)",Consumer price index (2010 = 100),"Inflation, GDP deflator (annual %)",Deposit interest rate (%),Real interest rate (%),Broad money (% of GDP),"Domestic general government health expenditure per capita, PPP (current international $)",Current health expenditure (% of GDP),Current health expenditure per capita (current US$),"External health expenditure per capita, PPP (current international $)","Mortality rate, infant (per 1,000 live births)",Number of infant deaths,"Population, total","ICT service exports (BoP, current US$)","Patent applications, residents","Trademark applications, total",Rail lines (total route-km),Gini index (World Bank estimate),Multidimensional poverty headcount ratio (% of total population),Poverty headcount ratio at national poverty lines (% of population),Start-up procedures to register a business (number),Cost of business start-up procedures (% of GNI per capita),Profit tax (% of commercial profits),Merchandise exports to high-income economies (% of total merchandise exports),Fuel exports (% of merchandise exports),Ores and metals exports (% of merchandise exports),Merchandise imports (current US$),Food imports (% of merchandise imports),Fuel imports (% of merchandise imports),Ores and metals imports (% of merchandise imports),"Bound rate, simple mean, all products (%)","Share of tariff lines with international peaks, all products (%)","Binding coverage, all products (%)",Export value index (2000 = 100),"Armed forces personnel, total","Armed forces personnel, total",Military expenditure (% of GDP),"Central government debt, total (% of GDP)",Expense (% of GDP),Tax revenue (% of GDP),Taxes on goods and services (% of revenue),"Revenue, excluding grants (% of GDP)",Social contributions (current LCU),IDA resource allocation index (1=low to 6=high),"Employers, total (% of total employment) (modeled ILO estimate)","Labor force participation rate for ages 15-24, female (%) (national estimate)",Benefit incidence of social protection and labor programs to poorest quintile (% of total SPL benefits),"Unemployment, total (% of total labor force) (modeled ILO estimate)",Increase in poverty gap at $3.20 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),Increase in poverty gap at $1.90 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),Number of people pushed below the $3.20 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure
1960 [YR1960],NaN,NaN,NaN,NaN,NaN,NaN,NaN,1953371600,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.06407E+13,NaN,NaN,NaN,NaN,NaN,NaN,1.59506E+13,1.58746E+13,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,44307342950,44096113141,NaN,NaN,NaN,0.244,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,308044,NaN,NaN,33973610,58526962,32.20779221,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.993569297,9.619E+12,6.8E+11,NaN,NaN,18.97098938,NaN,6.718584615,NaN,50.66253295,NaN,NaN,NaN,NaN,30.4,49414,92500572,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,61.42050247,NaN,NaN,4491000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.080594889,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1961 [YR1961],NaN,NaN,NaN,NaN,NaN,NaN,NaN,1667124550,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.04353641,NaN,7.91483E+13,NaN,NaN,NaN,NaN,NaN,NaN,1.92631E+13,1.91581E+13,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,53508617739,53216886420,NaN,NaN,NaN,0.203,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,347634,20318660,NaN,33977251,60965749,28.53898562,NaN,NaN,NaN,5660000,366700,NaN,NaN,NaN,NaN,NaN,2.891538387,1.1516E+13,4.27E+11,NaN,NaN,19.9894397,7.785717616,6.367030769,NaN,48.54877378,NaN,NaN,NaN,NaN,27.9,45479,94943000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,59.0627915,NaN,NaN,5810000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.916660202,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1962 [YR1962],NaN,NaN,NaN,NaN,NaN,NaN,NaN,2021337500,NaN,NaN,NaN,NaN,NaN,NaN,58263336691,NaN,8.908972996,NaN,8.61997E+13,NaN,NaN,NaN,NaN,NaN,NaN,2.18603E+13,2.17321E+13,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60723018684,60366887322,NaN,NaN,NaN,0.145,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,389701,20635150,NaN,33403202,62428798,33.04843305,NaN,NaN,NaN,5620000,366700,NaN,NaN,NaN,NaN,NaN,1.756610079,1.663E+13,3.74E+11,NaN,NaN,21.35580592,4.19957757,6.249846154,NaN,68.88747704,NaN,NaN,NaN,NaN,25.5,41800,95832000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,63.5091428,0.396572158,0.796393048,5636000000,17.33521414,18.47430408,16.31661596,NaN,NaN,NaN,NaN,NaN,NaN,0.882981584,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1963 [YR1963],NaN,NaN,NaN,NaN,NaN,NaN,NaN,2059016360,NaN,NaN,NaN,NaN,NaN,NaN,66780643407,NaN,8.473642383,NaN,9.35039E+13,NaN,NaN,NaN,NaN,NaN,NaN,2.50193E+13,2.48617E+13,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,69498131797,69060415397,NaN,NaN,NaN,0.202,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,419315,19470310,NaN,32854120,63957880,33.44377071,NaN,NaN,NaN,5570000,366700,NaN,NaN,NaN,NaN,NaN,1.211063729,2.0741E+13,2.73E+11,NaN,NaN,22.78811966,5.510469059,6.249846154,NaN,74.61031892,NaN,NaN,NaN,NaN,23.1,38393,96812000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,63.08432631,0.312482702,0.87291861,6736000000,20.76434756,17.97435339,14.92780615,NaN,NaN,NaN,NaN,NaN,NaN,0.902911616,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1964 [YR1964],NaN,NaN,NaN,NaN,NaN,NaN,NaN,2020624000,NaN,NaN,NaN,NaN,NaN,NaN,78212137590,NaN,11.6767082,NaN,1.04422E+14,NaN,NaN,NaN,NaN,NaN,NaN,2.94296E+13,2.92189E+13,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,81749006382,81163510670,NaN,NaN,NaN,0.144,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,399167,19079380,NaN,32309971,65516029,29.32485923,NaN,NaN,NaN,5530000,366700,NaN,NaN,NaN,NaN,NaN,1.576641657,2.4714E+13,3.01E+11,NaN,NaN,23.65415695,5.328705884,6.249846154,NaN,73.13034859,NaN,NaN,NaN,NaN,21,35367,97826000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,61.6014745,0.353070485,0.92929158,7938000000,21.63847973,17.73106266,17.32051023,NaN,NaN,NaN,NaN,NaN,NaN,0.875046122,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1965 [YR1965],NaN,NaN,NaN,NaN,NaN,NaN,NaN,2153610240,NaN,NaN,NaN,NaN,NaN,NaN,87873945269,NaN,5.819707873,NaN,1.10499E+14,NaN,NaN,NaN,NaN,NaN,NaN,3.27421E+13,3.25202E+13,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90950278258,90333954412,NaN,NaN,NaN,0.275,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,412523,18925506,NaN,31775063,67107937,27.84585702,NaN,NaN,NaN,5478000,366700,NaN,NaN,NaN,NaN,NaN,2.021861751,2.8838E+13,4.49E+11,NaN,NaN,25.2285755,5.136857285,6.249846154,NaN,77.55763945,NaN,NaN,NaN,NaN,19.1,32801,98883000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,62.8370936,0.355348188,1.591896433,8169000000,22.69665523,19.87979217,17.32286126,NaN,NaN,NaN,NaN,NaN,NaN,0.89971399,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1966 [YR1966],NaN,NaN,NaN,NaN,NaN,NaN,NaN,2121519420,NaN,NaN,NaN,NaN,NaN,NaN,1.02988E+11,NaN,10.63856156,NaN,1.22255E+14,NaN,NaN,NaN,NaN,NaN,NaN,3.80261E+13,3.77793E+13,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.05628E+11,1.04943E+11,NaN,NaN,NaN,0.279,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,442172,18915600,NaN,31230278,68559722,28.85734233,NaN,NaN,NaN,5453000,366700,NaN,NaN,NaN,NaN,NaN,3.150467264,3.4215E+13,5.76E+11,NaN,NaN,26.50030562,4.970869147,6.249846154,NaN,77.63876881,NaN,NaN,NaN,NaN,17.6,30731,99790000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,65.32212415,0.324276026,1.310961582,9523000000,22.55060728,18.94100423,18.10533434,NaN,NaN,NaN,NaN,NaN,NaN,0.879421011,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1967 [YR1967],NaN,NaN,NaN,NaN,NaN,NaN,NaN,2032436400,NaN,NaN,NaN,NaN,NaN,NaN,1.20525E+11,NaN,11.08214232,NaN,1.35803E+14,NaN,NaN,NaN,NaN,NaN,NaN,4.45615E+13,4.42818E+13,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.23782E+11,1.23005E+11,NaN,NaN,NaN,0.318,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,513304,21023600,NaN,30705009,70019991,32.82051282,NaN,NaN,NaN,5377000,366700,NaN,NaN,NaN,NaN,NaN,3.927158888,4.0251E+13,3.61E+11,NaN,NaN,27.55762756,5.495390076,6.249846154,NaN,76.51900787,NaN,NaN,NaN,NaN,16.3,29119,100725000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,65.45935267,0.316350438,1.084006303,11663000000,19.46601064,19.20145349,20.43994964,NaN,NaN,NaN,NaN,NaN,NaN,0.836230313,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1968 [YR1968],NaN,NaN,NaN,NaN,NaN,NaN,NaN,2976246800,NaN,NaN,NaN,NaN,NaN,NaN,1.44525E+11,NaN,12.88246814,NaN,1.53298E+14,NaN,NaN,NaN,NaN,NaN,NaN,5.27764E+13,5.24176E+13,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.46601E+11,1.45604E+11,NaN,NaN,NaN,0.248,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,574487,20998210,NaN,29998947,71062053,29.38040081,NaN,NaN,NaN,5320000,366700,NaN,NaN,NaN,NaN,NaN,4.107897788,4.6104E+13,7.62E+11,NaN,NaN,29.02904861,4.918863182,6.249846154,NaN,74.18848247,NaN,NaN,NaN,NaN,15.1,27882,101061000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,68.07735778,0.241101834,1.350722794,12988000000,18.07593608,20.59702356,19.49830921,NaN,NaN,NaN,NaN,NaN,NaN,0.793866529,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,53.40000153,NaN,NaN,NaN,NaN,NaN
1969 [YR1969],NaN,NaN,NaN,NaN,NaN,NaN,NaN,3656226000,NaN,NaN,NaN,NaN,NaN,NaN,1.7168E+11,NaN,12.47789451,NaN,1.72426E+14,NaN,NaN,NaN,NaN,NaN,NaN,6.19935E+13,6.15873E+13,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.72204E+11,1.71076E+11,NaN,NaN,NaN,0.26,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,526565,19912510,NaN,29814645,73357355,22.03147353,NaN,NaN,NaN,5162000,366700,NaN,NaN,NaN,NaN,NaN,4.356907555,5.394E+13,1.565E+12,NaN,NaN,30.55302167,4.433398705,6.249846154,NaN,74.84492916,NaN,NaN,NaN,NaN,14.2,26891,103172000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,68.87462843,0.312492591,1.282711973,15023000000,17.48606365,20.26114551,20.87496337,NaN,NaN,NaN,NaN,NaN,NaN,0.772551017,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,52.79999924,NaN,NaN,NaN,NaN,NaN
