NaN,"Foreign direct investment, net (BoP, current US$)","Net capital account (BoP, current US$)","Net trade in goods and services (BoP, current US$)","Exports of goods and services (BoP, current US$)","Charges for the use of intellectual property, payments (BoP, current US$)","Net secondary income (BoP, current US$)","Grants, excluding technical cooperation (BoP, current US$)","Total reserves (includes gold, current US$)","External debt stocks, long-term (DOD, current US$)",Total debt service (% of GNI),"Debt service on external debt, total (TDS, current US$)","Net financial flows, bilateral (NFL, current US$)","Commercial banks and other lending (PPG + PNG) (NFL, current US$)",Adjusted net national income (current US$),"GNI, Atlas method (current US$)",Exports of goods and services (annual % growth),GDP growth (annual %),GNI growth (annual %),GDP (constant LCU),GNI (constant LCU),Gross national expenditure (constant LCU),Gross domestic income (constant LCU),"Industry (including construction), value added (constant LCU)","Manufacturing, value added (constant LCU)","Services, value added (constant LCU)",GDP (current LCU),GNI (current LCU),Exports of goods and services (current LCU),"Industry (including construction), value added (current LCU)","Services, value added (current LCU)",Gross savings (% of GDP),Gross savings (% of GNI),Exports of goods and services (% of GDP),Trade (% of GDP),Imports of goods and services (constant 2010 US$),Exports of goods and services (constant 2010 US$),GDP (current US$),GNI (current US$),Exports of goods and services (current US$),Imports of goods and services (current US$),"Services, value added (current US$)","Net ODA provided, total (% of GNI)",Net ODA received (% of central government expense),Net ODA received (% of GNI),Net official aid received (current US$),"GDP per capita, PPP (current international $)","GDP per capita, PPP (current international $)","GNI, PPP (current international $)","Households and NPISHs Final consumption expenditure, PPP (current international $)","Gross intake ratio in first grade of primary education, total (% of relevant age group)","Over-age students, primary (% of enrollment)","Persistence to grade 5, total (% of cohort)","Government expenditure on education, total (% of government expenditure)","Compulsory education, duration (years)","Adjusted net enrollment rate, primary (% of primary school age children)","Primary education, pupils",Aquaculture production (metric tons),Cereal production (metric tons),"Plant species (higher), threatened",Rural population,Urban population,Electricity production from coal sources (% of total),Access to electricity (% of population),GDP per unit of energy use (PPP $ per kg of oil equivalent),"Annual freshwater withdrawals, total (% of internal resources)",Arable land (hectares),Land area (sq. km),Urban land area (sq. km),Rural land area (sq. km),Total natural resources rents (% of GDP),"Depositors with commercial banks (per 1,000 adults)",Bank liquid reserves to bank assets ratio (%),"Claims on central government, etc. (% GDP)",Net domestic credit (current LCU),Net foreign assets (current LCU),"Listed domestic companies, total","Stocks traded, total value (current US$)",Consumer price index (2010 = 100),"Inflation, GDP deflator (annual %)",Deposit interest rate (%),Real interest rate (%),Broad money (% of GDP),"Domestic general government health expenditure per capita, PPP (current international $)",Current health expenditure (% of GDP),Current health expenditure per capita (current US$),"External health expenditure per capita, PPP (current international $)","Mortality rate, infant (per 1,000 live births)",Number of infant deaths,"Population, total","ICT service exports (BoP, current US$)","Patent applications, residents","Trademark applications, total",Rail lines (total route-km),Gini index (World Bank estimate),Multidimensional poverty headcount ratio (% of total population),Poverty headcount ratio at national poverty lines (% of population),Start-up procedures to register a business (number),Cost of business start-up procedures (% of GNI per capita),Profit tax (% of commercial profits),Merchandise exports to high-income economies (% of total merchandise exports),Fuel exports (% of merchandise exports),Ores and metals exports (% of merchandise exports),Merchandise imports (current US$),Food imports (% of merchandise imports),Fuel imports (% of merchandise imports),Ores and metals imports (% of merchandise imports),"Bound rate, simple mean, all products (%)","Share of tariff lines with international peaks, all products (%)","Binding coverage, all products (%)",Export value index (2000 = 100),"Armed forces personnel, total","Armed forces personnel, total",Military expenditure (% of GDP),"Central government debt, total (% of GDP)",Expense (% of GDP),Tax revenue (% of GDP),Taxes on goods and services (% of revenue),"Revenue, excluding grants (% of GDP)",Social contributions (current LCU),IDA resource allocation index (1=low to 6=high),"Employers, total (% of total employment) (modeled ILO estimate)","Labor force participation rate for ages 15-24, female (%) (national estimate)",Benefit incidence of social protection and labor programs to poorest quintile (% of total SPL benefits),"Unemployment, total (% of total labor force) (modeled ILO estimate)",Increase in poverty gap at $3.20 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),Increase in poverty gap at $1.90 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),Number of people pushed below the $3.20 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure
1960 [YR1960],NaN,NaN,NaN,NaN,NaN,NaN,67940000,46380000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,458349,474753,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4520000,30840000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,107,4828,933102,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.59183673,NaN,NaN,120000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.39674466,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1961 [YR1961],NaN,NaN,NaN,NaN,NaN,NaN,69220000,51230000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,208006,NaN,463501,510487,NaN,NaN,NaN,NaN,270000,88240,NaN,NaN,NaN,NaN,NaN,NaN,6360000,34380000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,101.4,4912,973988,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24.57627119,NaN,NaN,117000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.50707744,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.730000019,NaN,NaN,NaN,NaN,NaN
1962 [YR1962],NaN,NaN,NaN,NaN,NaN,NaN,58270000,58050000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,152901,NaN,472836,537822,NaN,NaN,NaN,NaN,272000,88240,NaN,NaN,NaN,NaN,NaN,NaN,5970000,41030000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,96.2,4990,1010658,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.27737226,NaN,NaN,128000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18.14550042,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1963 [YR1963],NaN,NaN,NaN,NaN,NaN,NaN,59320000,62660000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,102164,NaN,487666,562547,NaN,NaN,NaN,NaN,273000,88240,NaN,NaN,NaN,NaN,NaN,NaN,19150000,34420000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,91.2,5059,1050213,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.41176471,NaN,NaN,143000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17.11851278,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1964 [YR1964],NaN,NaN,NaN,NaN,NaN,NaN,51490000,77080000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,400558,NaN,508052,594347,NaN,NaN,NaN,NaN,275000,88240,NaN,NaN,NaN,NaN,NaN,NaN,12031000,49542714.29,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86.6,5126,1102399,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30.69306931,0.017719492,35.00860203,150000000,29.42933961,5.149706833,0.843177725,NaN,NaN,NaN,NaN,NaN,NaN,14.84217596,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1965 [YR1965],NaN,NaN,NaN,NaN,NaN,NaN,44230000,139846640,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,214200000,217200000,NaN,37900000,128100000,NaN,NaN,NaN,NaN,NaN,NaN,599831979.8,608232988,NaN,NaN,358723046.8,NaN,NaN,11.33611598,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,380963,NaN,536784,636822,NaN,NaN,NaN,NaN,276000,88240,NaN,NaN,NaN,NaN,NaN,-6.89449113,18938000,56062571.43,NaN,NaN,NaN,NaN,NaN,NaN,30.02287582,NaN,NaN,NaN,NaN,82.4,5189,1173606,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.77570093,0.009609884,33.2605605,157000000,29.7482206,5.834706359,1.082661364,NaN,NaN,NaN,NaN,NaN,NaN,13.40990453,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1966 [YR1966],NaN,NaN,NaN,NaN,NaN,NaN,46140000,167673430,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,235000000,239200000,NaN,43300000,147300000,NaN,NaN,NaN,NaN,NaN,NaN,658078969.5,669840380.8,NaN,NaN,412489498.7,NaN,NaN,11.4833325,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,126550,NaN,575119,691943,NaN,NaN,NaN,NaN,278000,88240,NaN,NaN,NaN,NaN,NaN,-6.438297872,24645000,64207142.86,NaN,NaN,NaN,NaN,NaN,NaN,32.3506383,NaN,NaN,NaN,NaN,78.4,5246,1267062,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.183391,0.034266232,33.08872663,191000000,30.00373869,5.055777318,1.310463957,NaN,NaN,NaN,NaN,NaN,NaN,19.49426112,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1967 [YR1967],NaN,NaN,NaN,NaN,NaN,NaN,21430000,244064400,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,225600000,229900000,NaN,34400000,139800000,NaN,NaN,NaN,NaN,NaN,NaN,631755810.7,643797255.7,NaN,NaN,391486978.4,NaN,NaN,8.310069595,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,216113,NaN,621142,757856,NaN,NaN,NaN,NaN,279000,88240,NaN,NaN,NaN,NaN,NaN,-12.0695922,12569000,89754000,NaN,NaN,NaN,NaN,NaN,NaN,41.72783688,NaN,NaN,NaN,NaN,74.8,5300,1378998,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.94888179,0.13233918,32.37576671,154000000,29.93257472,5.499238927,1.341951372,NaN,NaN,NaN,NaN,NaN,NaN,23.49246231,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1968 [YR1968],NaN,NaN,NaN,NaN,NaN,NaN,32750000,290247400,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,200400000,205700000,NaN,43200000,120900000,NaN,NaN,NaN,NaN,NaN,NaN,561187342.5,576029123.5,NaN,NaN,338560627.3,NaN,NaN,7.938834631,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,115119,NaN,670633,829530,NaN,NaN,NaN,NaN,281000,88240,NaN,NaN,NaN,NaN,NaN,-14.28842315,13369000,105258571.4,NaN,NaN,NaN,NaN,NaN,NaN,54.30838323,NaN,NaN,NaN,NaN,71.4,5341,1500163,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30,0.159136,35.54768135,159000000,31.2042596,5.597726877,0.648593511,NaN,NaN,NaN,NaN,NaN,NaN,24.06381857,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1969 [YR1969],NaN,NaN,NaN,NaN,NaN,NaN,12330000,262689200,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,249600000,256300000,NaN,46900000,151200000,NaN,NaN,NaN,NaN,NaN,NaN,698963875.7,717726127.1,NaN,NaN,423410809.3,NaN,NaN,6.761631902,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,202093,NaN,717604,899824,NaN,NaN,NaN,NaN,282000,88240,NaN,NaN,NaN,NaN,NaN,-4.119391026,36122000,95181142.86,NaN,NaN,7.663902273,NaN,NaN,NaN,47.61258013,NaN,NaN,NaN,NaN,68.2,5374,1617428,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.58922559,0.109773998,30.67633585,190000000,29.41575694,5.604644426,0.689755219,NaN,NaN,NaN,NaN,NaN,NaN,20.17504488,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
