NaN,"Foreign direct investment, net (BoP, current US$)","Net capital account (BoP, current US$)","Net trade in goods and services (BoP, current US$)","Exports of goods and services (BoP, current US$)","Charges for the use of intellectual property, payments (BoP, current US$)","Net secondary income (BoP, current US$)","Grants, excluding technical cooperation (BoP, current US$)","Total reserves (includes gold, current US$)","External debt stocks, long-term (DOD, current US$)",Total debt service (% of GNI),"Debt service on external debt, total (TDS, current US$)","Net financial flows, bilateral (NFL, current US$)","Commercial banks and other lending (PPG + PNG) (NFL, current US$)",Adjusted net national income (current US$),"GNI, Atlas method (current US$)",Exports of goods and services (annual % growth),GDP growth (annual %),GNI growth (annual %),GDP (constant LCU),GNI (constant LCU),Gross national expenditure (constant LCU),Gross domestic income (constant LCU),"Industry (including construction), value added (constant LCU)","Manufacturing, value added (constant LCU)","Services, value added (constant LCU)",GDP (current LCU),GNI (current LCU),Exports of goods and services (current LCU),"Industry (including construction), value added (current LCU)","Services, value added (current LCU)",Gross savings (% of GDP),Gross savings (% of GNI),Exports of goods and services (% of GDP),Trade (% of GDP),Imports of goods and services (constant 2010 US$),Exports of goods and services (constant 2010 US$),GDP (current US$),GNI (current US$),Exports of goods and services (current US$),Imports of goods and services (current US$),"Services, value added (current US$)","Net ODA provided, total (% of GNI)",Net ODA received (% of central government expense),Net ODA received (% of GNI),Net official aid received (current US$),"GDP per capita, PPP (current international $)","GDP per capita, PPP (current international $)","GNI, PPP (current international $)","Households and NPISHs Final consumption expenditure, PPP (current international $)","Gross intake ratio in first grade of primary education, total (% of relevant age group)","Over-age students, primary (% of enrollment)","Persistence to grade 5, total (% of cohort)","Government expenditure on education, total (% of government expenditure)","Compulsory education, duration (years)","Adjusted net enrollment rate, primary (% of primary school age children)","Primary education, pupils",Aquaculture production (metric tons),Cereal production (metric tons),"Plant species (higher), threatened",Rural population,Urban population,Electricity production from coal sources (% of total),Access to electricity (% of population),GDP per unit of energy use (PPP $ per kg of oil equivalent),"Annual freshwater withdrawals, total (% of internal resources)",Arable land (hectares),Land area (sq. km),Urban land area (sq. km),Rural land area (sq. km),Total natural resources rents (% of GDP),"Depositors with commercial banks (per 1,000 adults)",Bank liquid reserves to bank assets ratio (%),"Claims on central government, etc. (% GDP)",Net domestic credit (current LCU),Net foreign assets (current LCU),"Listed domestic companies, total","Stocks traded, total value (current US$)",Consumer price index (2010 = 100),"Inflation, GDP deflator (annual %)",Deposit interest rate (%),Real interest rate (%),Broad money (% of GDP),"Domestic general government health expenditure per capita, PPP (current international $)",Current health expenditure (% of GDP),Current health expenditure per capita (current US$),"External health expenditure per capita, PPP (current international $)","Mortality rate, infant (per 1,000 live births)",Number of infant deaths,"Population, total","ICT service exports (BoP, current US$)","Patent applications, residents","Trademark applications, total",Rail lines (total route-km),Gini index (World Bank estimate),Multidimensional poverty headcount ratio (% of total population),Poverty headcount ratio at national poverty lines (% of population),Start-up procedures to register a business (number),Cost of business start-up procedures (% of GNI per capita),Profit tax (% of commercial profits),Merchandise exports to high-income economies (% of total merchandise exports),Fuel exports (% of merchandise exports),Ores and metals exports (% of merchandise exports),Merchandise imports (current US$),Food imports (% of merchandise imports),Fuel imports (% of merchandise imports),Ores and metals imports (% of merchandise imports),"Bound rate, simple mean, all products (%)","Share of tariff lines with international peaks, all products (%)","Binding coverage, all products (%)",Export value index (2000 = 100),"Armed forces personnel, total","Armed forces personnel, total",Military expenditure (% of GDP),"Central government debt, total (% of GDP)",Expense (% of GDP),Tax revenue (% of GDP),Taxes on goods and services (% of revenue),"Revenue, excluding grants (% of GDP)",Social contributions (current LCU),IDA resource allocation index (1=low to 6=high),"Employers, total (% of total employment) (modeled ILO estimate)","Labor force participation rate for ages 15-24, female (%) (national estimate)",Benefit incidence of social protection and labor programs to poorest quintile (% of total SPL benefits),"Unemployment, total (% of total labor force) (modeled ILO estimate)",Increase in poverty gap at $3.20 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),Increase in poverty gap at $1.90 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),Number of people pushed below the $3.20 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure
1960 [YR1960],NaN,NaN,NaN,NaN,NaN,NaN,3950000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.38707E+11,NaN,3.89948E+11,3.38345E+11,NaN,NaN,NaN,5651898400,5463999000,1757500000,954600000,NaN,NaN,NaN,31.09574652,64.76585106,1460431973,1274722036,791265458.8,764959553.4,246049901.4,266419907.2,319003676.1,NaN,NaN,2.759623109,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,380,NaN,NaN,7522280,597800,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.741244284,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,118.1,47501,8120080,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,75.38742024,NaN,NaN,196000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1961 [YR1961],NaN,NaN,NaN,NaN,NaN,NaN,33610000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.54625364,-7.774634904,NaN,3.12374E+11,NaN,3.68072E+11,3.17217E+11,NaN,NaN,NaN,5663998500,5502199300,1853100000,970700000,NaN,NaN,NaN,32.71716968,63.84712143,1488866098,1409157455,792959472.1,770307593.2,259433896,246847901.1,327809616.6,NaN,NaN,8.208409225,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,410,1376218,NaN,7743923,633773,NaN,NaN,NaN,NaN,3500000,569140,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.759456674,8.662176641,NaN,NaN,NaN,NaN,NaN,NaN,NaN,113.7,47148,8377696,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,73.5371179,NaN,NaN,193000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1962 [YR1962],NaN,NaN,NaN,NaN,NaN,NaN,35240000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,836050920.5,9.757071297,9.457358742,NaN,3.41916E+11,NaN,3.87459E+11,3.39846E+11,NaN,NaN,NaN,6200798200,6035898900,1986599900,956700000,NaN,NaN,NaN,32.03780926,62.16296315,1517224314,1546649952,868111400,845025507.3,278123874.5,261519895.2,343335624.4,NaN,NaN,5.812842158,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,360,1520717,NaN,7974792,672219,NaN,NaN,NaN,NaN,3500000,569140,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.783132781,0.018308135,NaN,NaN,NaN,NaN,NaN,NaN,NaN,109.8,46936,8647011,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,75.43138866,NaN,NaN,195000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1963 [YR1963],NaN,NaN,NaN,NaN,NaN,NaN,32320000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,924938645.2,2.901797858,8.778340216,NaN,3.71931E+11,NaN,3.9888E+11,3.67438E+11,NaN,NaN,NaN,6618498000,6420799000,2120100000,925200000,NaN,NaN,NaN,32.03294766,60.99571232,1471188573,1591530607,926589348.6,898911499.7,296813881,268365892.4,371769627,NaN,NaN,6.184146067,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,380,1711045,NaN,8210837,717674,NaN,NaN,NaN,NaN,3500000,569140,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.788596499,-1.877316659,NaN,NaN,NaN,NaN,NaN,NaN,NaN,106.5,46959,8928511,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,71.88841202,NaN,NaN,232000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.206489676,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1964 [YR1964],NaN,NaN,NaN,NaN,NaN,NaN,27350000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,973334015.7,11.12492418,4.964467288,NaN,3.90395E+11,3.77257E+11,4.2285E+11,3.86896E+11,62031323200,34793488900,NaN,7133998100,6921599000,2382000100,1103800100,NaN,NaN,NaN,33.38941315,62.60164409,1600333518,1768587181,998759333.6,969023471.6,333479880.3,291759883,401883530.9,NaN,NaN,5.852283329,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,430,1718408,NaN,8455548,767144,NaN,NaN,NaN,NaN,3500000,569140,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.787813384,2.690730055,NaN,NaN,NaN,NaN,NaN,NaN,NaN,103.8,47196,9222692,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,73.63387978,NaN,NaN,246000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.58988764,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1965 [YR1965],NaN,NaN,NaN,NaN,NaN,NaN,36780000,19950000,NaN,NaN,NaN,NaN,NaN,NaN,999617813.7,-7.089412726,2.009094171,2.445116091,3.98238E+11,3.86481E+11,4.47408E+11,3.92831E+11,64262080100,36351989900,NaN,7127998000,6941998000,2238000000,1188000000,NaN,NaN,NaN,31.39731521,62.09317118,1631872210,1643204736,997919320,971879330.4,313319874.4,306319877.2,427111548.8,NaN,NaN,7.421702983,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,399,1794258,NaN,8710102,820071,NaN,NaN,NaN,NaN,3500000,569140,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.816005513,-2.051973798,NaN,NaN,NaN,NaN,NaN,NaN,NaN,101.6,47698,9530173,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,70.62986553,NaN,NaN,282000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.990334781,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1966 [YR1966],NaN,NaN,NaN,NaN,NaN,NaN,8580000,52400000,NaN,NaN,NaN,NaN,NaN,NaN,1159379221,20.46447263,14.7285664,14.31459744,4.56893E+11,4.41804E+11,5.02348E+11,4.5038E+11,69410274800,38598125900,NaN,8318001000,8072001000,2696000000,1354200000,NaN,NaN,NaN,32.41163352,63.28443577,1915292602,1979477920,1164519673,1130079687,377439848.7,359519855.9,473339950.3,NaN,NaN,4.903194039,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,370,1617546,NaN,8974468,876976,NaN,NaN,NaN,NaN,3500000,569140,NaN,NaN,NaN,NaN,NaN,-0.949747421,1000000000,775000000,NaN,NaN,0.856923256,1.713788867,NaN,NaN,22.6616948,NaN,NaN,NaN,NaN,99.8,48400,9851444,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,72.07678883,NaN,NaN,346000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.133268482,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1967 [YR1967],NaN,NaN,NaN,NaN,NaN,NaN,4350000,75830000,NaN,NaN,NaN,NaN,NaN,NaN,1206136254,-5.203825864,3.361232032,3.171305576,4.7225E+11,4.55815E+11,5.30944E+11,4.64726E+11,73413980000,40086628300,NaN,8804000000,8528999900,2506000000,1537800000,NaN,NaN,NaN,28.46433439,57.83734666,1947372377,1876469336,1232559506,1194059507,350839859.4,362039854.9,506127657.1,NaN,NaN,3.074386064,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,360,2005760,NaN,9249313,938165,NaN,NaN,NaN,NaN,3500000,569140,NaN,NaN,NaN,NaN,NaN,-0.522376193,1293000000,594000000,NaN,NaN,0.871998214,2.400809139,3.5,NaN,23.69377556,NaN,NaN,NaN,NaN,98,49203,10187478,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,67.39261948,NaN,NaN,337000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.304993715,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1968 [YR1968],NaN,NaN,NaN,NaN,NaN,NaN,6130000,100050000,NaN,NaN,NaN,NaN,NaN,NaN,1344671405,12.45149966,7.98268997,8.338672416,5.09949E+11,4.93824E+11,5.5047E+11,4.99882E+11,83077888500,45375650500,NaN,9666400000,9383542700,2842000000,1707200000,NaN,NaN,NaN,29.40081106,58.69817098,2092134852,2110117909,1353295458,1313695451,397879840.5,396479841.1,572039910.7,NaN,NaN,4.621314554,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,317,2330767,NaN,9535969,1003925,NaN,NaN,NaN,NaN,3500000,569140,NaN,NaN,NaN,NaN,NaN,0.340974923,1341000000,789000000,NaN,NaN,0.875195932,1.678840849,3.5,NaN,23.96962675,NaN,NaN,NaN,NaN,96.3,50049,10539894,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,45.61289091,NaN,NaN,356000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.218342887,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1969 [YR1969],NaN,NaN,NaN,NaN,NaN,NaN,3540000,169660000,NaN,NaN,NaN,NaN,NaN,NaN,1495590298,9.153707255,7.959224456,9.33889185,5.50537E+11,5.39942E+11,5.74666E+11,5.36656E+11,89292265500,50036742500,NaN,10417000000,10227714200,3076000000,1879600000,NaN,NaN,NaN,29.52865508,57.61735624,2141246622,2303271925,1458379415,1431879414,430639827.4,409639835.8,619975751.5,NaN,NaN,3.89767468,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,293,2324274,NaN,9835974,1074701,NaN,NaN,NaN,NaN,3500000,569140,NaN,NaN,NaN,NaN,NaN,0.673936834,1440254000,1255945730,NaN,NaN,0.873694962,-0.17986667,3.5,NaN,26.37601997,NaN,NaN,NaN,NaN,94.5,50911,10910675,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,45.30153452,NaN,NaN,361000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.080069124,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
