NaN,"Foreign direct investment, net (BoP, current US$)","Net capital account (BoP, current US$)","Net trade in goods and services (BoP, current US$)","Exports of goods and services (BoP, current US$)","Charges for the use of intellectual property, payments (BoP, current US$)","Net secondary income (BoP, current US$)","Grants, excluding technical cooperation (BoP, current US$)","Total reserves (includes gold, current US$)","External debt stocks, long-term (DOD, current US$)",Total debt service (% of GNI),"Debt service on external debt, total (TDS, current US$)","Net financial flows, bilateral (NFL, current US$)","Commercial banks and other lending (PPG + PNG) (NFL, current US$)",Adjusted net national income (current US$),"GNI, Atlas method (current US$)",Exports of goods and services (annual % growth),GDP growth (annual %),GNI growth (annual %),GDP (constant LCU),GNI (constant LCU),Gross national expenditure (constant LCU),Gross domestic income (constant LCU),"Industry (including construction), value added (constant LCU)","Manufacturing, value added (constant LCU)","Services, value added (constant LCU)",GDP (current LCU),GNI (current LCU),Exports of goods and services (current LCU),"Industry (including construction), value added (current LCU)","Services, value added (current LCU)",Gross savings (% of GDP),Gross savings (% of GNI),Exports of goods and services (% of GDP),Trade (% of GDP),Imports of goods and services (constant 2010 US$),Exports of goods and services (constant 2010 US$),GDP (current US$),GNI (current US$),Exports of goods and services (current US$),Imports of goods and services (current US$),"Services, value added (current US$)","Net ODA provided, total (% of GNI)",Net ODA received (% of central government expense),Net ODA received (% of GNI),Net official aid received (current US$),"GDP per capita, PPP (current international $)","GDP per capita, PPP (current international $)","GNI, PPP (current international $)","Households and NPISHs Final consumption expenditure, PPP (current international $)","Gross intake ratio in first grade of primary education, total (% of relevant age group)","Over-age students, primary (% of enrollment)","Persistence to grade 5, total (% of cohort)","Government expenditure on education, total (% of government expenditure)","Compulsory education, duration (years)","Adjusted net enrollment rate, primary (% of primary school age children)","Primary education, pupils",Aquaculture production (metric tons),Cereal production (metric tons),"Plant species (higher), threatened",Rural population,Urban population,Electricity production from coal sources (% of total),Access to electricity (% of population),GDP per unit of energy use (PPP $ per kg of oil equivalent),"Annual freshwater withdrawals, total (% of internal resources)",Arable land (hectares),Land area (sq. km),Urban land area (sq. km),Rural land area (sq. km),Total natural resources rents (% of GDP),"Depositors with commercial banks (per 1,000 adults)",Bank liquid reserves to bank assets ratio (%),"Claims on central government, etc. (% GDP)",Net domestic credit (current LCU),Net foreign assets (current LCU),"Listed domestic companies, total","Stocks traded, total value (current US$)",Consumer price index (2010 = 100),"Inflation, GDP deflator (annual %)",Deposit interest rate (%),Real interest rate (%),Broad money (% of GDP),"Domestic general government health expenditure per capita, PPP (current international $)",Current health expenditure (% of GDP),Current health expenditure per capita (current US$),"External health expenditure per capita, PPP (current international $)","Mortality rate, infant (per 1,000 live births)",Number of infant deaths,"Population, total","ICT service exports (BoP, current US$)","Patent applications, residents","Trademark applications, total",Rail lines (total route-km),Gini index (World Bank estimate),Multidimensional poverty headcount ratio (% of total population),Poverty headcount ratio at national poverty lines (% of population),Start-up procedures to register a business (number),Cost of business start-up procedures (% of GNI per capita),Profit tax (% of commercial profits),Merchandise exports to high-income economies (% of total merchandise exports),Fuel exports (% of merchandise exports),Ores and metals exports (% of merchandise exports),Merchandise imports (current US$),Food imports (% of merchandise imports),Fuel imports (% of merchandise imports),Ores and metals imports (% of merchandise imports),"Bound rate, simple mean, all products (%)","Share of tariff lines with international peaks, all products (%)","Binding coverage, all products (%)",Export value index (2000 = 100),"Armed forces personnel, total","Armed forces personnel, total",Military expenditure (% of GDP),"Central government debt, total (% of GDP)",Expense (% of GDP),Tax revenue (% of GDP),Taxes on goods and services (% of revenue),"Revenue, excluding grants (% of GDP)",Social contributions (current LCU),IDA resource allocation index (1=low to 6=high),"Employers, total (% of total employment) (modeled ILO estimate)","Labor force participation rate for ages 15-24, female (%) (national estimate)",Benefit incidence of social protection and labor programs to poorest quintile (% of total SPL benefits),"Unemployment, total (% of total labor force) (modeled ILO estimate)",Increase in poverty gap at $3.20 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),Increase in poverty gap at $1.90 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),Number of people pushed below the $3.20 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure
1960 [YR1960],NaN,NaN,NaN,NaN,NaN,NaN,249460000,157015600,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.90701E+13,2.9419E+13,4.22059E+13,2.9206E+13,NaN,1.2939E+12,1.73381E+13,2.4986E+11,2.5213E+11,6550000000,43300000000,97620000000,NaN,NaN,2.621468022,14.6001761,1484944670,172035259.8,3958190759,3994151269,103762705,474140116.1,1568797050,NaN,NaN,6.276928185,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18637,NaN,NaN,18081445,6930929,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.733530777,21180000000,5707000000,NaN,NaN,1.476945768,NaN,NaN,NaN,11.30713199,NaN,NaN,NaN,NaN,79.7,83463,25012374,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,94.63722397,NaN,NaN,344000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.157548334,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27.93000031,NaN,NaN,NaN,NaN,NaN
1961 [YR1961],NaN,NaN,NaN,NaN,NaN,NaN,229520000,207046580,NaN,NaN,NaN,NaN,NaN,NaN,NaN,35.4618016,6.935992652,7.347404905,3.10864E+13,3.15806E+13,4.36625E+13,3.12249E+13,NaN,1.3639E+12,1.75107E+13,3.0169E+11,3.0544E+11,12190000000,53960000000,1.1309E+11,NaN,NaN,4.040571448,18.0019225,1356649626,233042062.3,2417558289,2447608485,97683169.97,337523799.8,920177063.8,NaN,NaN,9.362199685,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17404,6629757,NaN,18414469,7351204,NaN,NaN,NaN,NaN,2033000,96460,NaN,NaN,NaN,NaN,NaN,0.849216083,38872000000,17130000000,NaN,NaN,1.597991058,12.91204526,NaN,NaN,13.66402599,NaN,NaN,NaN,NaN,76.2,79913,25765673,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,98.95287958,NaN,NaN,316000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.726149623,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1962 [YR1962],NaN,NaN,NaN,NaN,NaN,NaN,228730000,168650269.9,NaN,NaN,NaN,NaN,NaN,NaN,3142933790,15.61447811,3.895272531,3.811460666,3.22973E+13,3.27842E+13,4.72051E+13,3.24588E+13,NaN,1.5714E+12,1.88355E+13,3.6586E+11,3.7005E+11,14170000000,65430000000,1.4029E+11,NaN,NaN,3.8730662,19.46919587,1833710937,269430364.1,2814318517,2846549410,109000419.2,438924765.1,1096158062,NaN,NaN,8.298117219,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23901,5902917,NaN,18702026,7811004,NaN,NaN,NaN,NaN,1998000,96460,NaN,NaN,NaN,NaN,NaN,2.237194555,54705000000,9399000000,NaN,NaN,1.703751184,16.72348033,NaN,NaN,14.11933526,NaN,NaN,NaN,NaN,73,76284,26513030,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86.93284936,4.854420516,24.40670162,422000000,13.91348595,8.021119668,2.601663974,NaN,NaN,NaN,NaN,NaN,NaN,6.867196368,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1963 [YR1963],NaN,NaN,NaN,NaN,NaN,NaN,228930000,131455308.9,NaN,NaN,NaN,NaN,NaN,NaN,3272992999,14.59774299,9.020568283,8.670488251,3.52107E+13,3.56268E+13,5.07793E+13,3.54871E+13,NaN,1.8234E+12,1.98987E+13,5.1854E+11,5.2321E+11,20460000000,93710000000,1.7242E+11,NaN,NaN,3.945693678,18.60030084,2292086476,308761116.2,3988784572,4024707787,157385220.7,584540709.8,1345851330,NaN,NaN,6.514758985,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80479,6377585,NaN,18972268,8289479,NaN,NaN,NaN,NaN,2010000,96460,NaN,NaN,NaN,NaN,NaN,1.609904733,63028000000,2461000000,NaN,NaN,2.056285059,30.00465161,NaN,NaN,10.68866433,NaN,NaN,NaN,NaN,69.9,72411,27261747,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,77.48267898,2.975833936,15.92806175,560000000,22.5409769,6.135828687,3.028540672,NaN,NaN,NaN,NaN,NaN,NaN,4.823859087,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1964 [YR1964],NaN,NaN,NaN,NaN,NaN,NaN,154180000,136361055.5,NaN,NaN,NaN,NaN,NaN,NaN,3776249918,28.9707751,9.473824718,9.715025677,3.85465E+13,3.90879E+13,5.37334E+13,3.88019E+13,NaN,2.001E+12,2.01658E+13,7.3968E+11,7.4761E+11,36710000000,1.4307E+11,2.2079E+11,NaN,NaN,4.962956954,17.34263465,1722327038,398211604.7,3458939358,3496022136,171665671.4,428205544.3,1047810596,NaN,NaN,4.911010165,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,72557,7380506,NaN,19204966,8779189,NaN,NaN,NaN,NaN,2091000,96460,NaN,NaN,NaN,NaN,NaN,0.53780013,69278000000,10329003599,NaN,NaN,2.662124536,30.30207189,NaN,NaN,8.602233398,NaN,NaN,NaN,NaN,66.9,68433,27984155,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87.88659794,2.097272366,17.31684886,404000000,18.16059838,7.041095326,3.076609654,NaN,NaN,NaN,NaN,NaN,NaN,4.134439601,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1965 [YR1965],NaN,NaN,NaN,NaN,NaN,NaN,169680000,146287069.5,NaN,NaN,NaN,NaN,NaN,NaN,3865403578,36.55172414,7.31843358,7.76137999,4.13675E+13,4.21217E+13,5.73823E+13,4.17444E+13,NaN,2.4501E+12,2.15529E+13,8.3139E+11,8.431E+11,59270000000,1.9356E+11,2.8096E+11,NaN,NaN,7.129024886,21.45924295,1954176747,543764811.9,3120833333,3164789790,222484985,447222222.2,1068881381,NaN,NaN,6.966971589,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,73350,7212458,NaN,19418425,9286249,NaN,NaN,NaN,NaN,2163000,96460,NaN,NaN,NaN,NaN,NaN,0.314413212,87694000000,15065648199,NaN,NaN,3.02279458,4.733735904,NaN,NaN,11.67983738,NaN,NaN,NaN,NaN,63.7,64295,28704674,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,81.97199533,1.084372199,14.2858468,463000000,15.0646059,6.949443831,4.177483048,NaN,NaN,NaN,NaN,NaN,NaN,4.410474878,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1966 [YR1966],NaN,NaN,NaN,NaN,NaN,NaN,135860000,245208677.3,NaN,NaN,NaN,NaN,NaN,NaN,4041134426,42.89321789,11.99395661,12.95100224,4.63291E+13,4.75769E+13,6.3714E+13,4.68341E+13,NaN,2.902E+12,2.39536E+13,1.06607E+12,1.08902E+12,90000000000,2.4583E+11,3.8484E+11,NaN,NaN,8.442222368,26.65960021,2922078819,777003037.6,3928908381,4013488612,331687182.1,715744084.9,1436647748,NaN,NaN,5.746372475,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,91626,8041079,NaN,19619691,9815880,NaN,NaN,NaN,NaN,2187000,96460,NaN,NaN,NaN,NaN,NaN,-0.638513418,1.12003E+11,46417791798,NaN,NaN,3.363203141,14.49495155,NaN,NaN,14.72492425,NaN,NaN,NaN,NaN,60.4,60135,29435571,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85.5479727,0.603301748,11.30341145,716000000,13.52409507,5.762898958,4.004969936,NaN,NaN,NaN,NaN,NaN,NaN,4.688873693,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,33.33000183,NaN,NaN,NaN,NaN,NaN
1967 [YR1967],NaN,NaN,NaN,NaN,NaN,NaN,145300000,356582296.8,NaN,NaN,NaN,NaN,NaN,NaN,4558593756,29.99242616,9.079606554,10.27084193,5.05356E+13,5.24634E+13,7.00175E+13,5.11929E+13,NaN,3.5844E+12,2.70445E+13,1.31362E+12,1.35384E+12,1.1971E+11,3.0666E+11,5.1471E+11,NaN,NaN,9.11298549,28.79219257,3803232981,1010045100,4855907142,5004583765,442518113.3,955604021.9,1924811474,NaN,NaN,5.177053848,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,96450,7453095,NaN,19593877,10537106,NaN,NaN,NaN,NaN,2196000,96460,NaN,NaN,NaN,NaN,NaN,-0.65749608,2.12323E+11,80557091998,NaN,NaN,3.729201777,12.96410533,NaN,NaN,19.3284207,NaN,NaN,NaN,NaN,57,56056,30130983,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89.63681904,0.553410298,9.089153205,996000000,10.65960567,6.184615011,4.574858755,NaN,NaN,NaN,NaN,NaN,NaN,4.68514254,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1968 [YR1968],NaN,NaN,NaN,NaN,NaN,NaN,128720000,391778858.3,NaN,NaN,NaN,NaN,NaN,NaN,5846263438,37.9782482,13.16576829,12.73334903,5.7189E+13,5.91438E+13,7.97331E+13,5.80905E+13,NaN,4.3943E+12,3.13657E+13,1.6929E+12,1.73967E+12,1.717E+11,4.075E+11,6.6436E+11,NaN,NaN,10.14235927,32.77748243,5410626867,1393642535,6119284294,6288342671,620639797.6,1385107537,2428447497,NaN,NaN,3.810702079,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,105769,7156833,NaN,19475621,11362681,NaN,NaN,NaN,NaN,2174000,96460,NaN,NaN,NaN,NaN,NaN,-1.696497135,4.0302E+11,85473630000,NaN,NaN,4.130904664,13.87974258,NaN,NaN,25.85279698,NaN,NaN,NaN,NaN,53.6,52147,30838302,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,92.54781271,0.504549857,7.369213254,1463000000,12.18909996,5.146397135,4.069586595,NaN,NaN,NaN,NaN,NaN,NaN,4.730641797,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1969 [YR1969],NaN,NaN,NaN,NaN,NaN,NaN,89170000,552934355.3,NaN,NaN,NaN,NaN,NaN,NaN,7500443679,36.53318319,14.5613667,14.29001545,6.55165E+13,6.75954E+13,9.01679E+13,6.66651E+13,NaN,5.1618E+12,3.58494E+13,2.21266E+12,2.26982E+12,2.3477E+11,5.4422E+11,8.6961E+11,NaN,NaN,10.61030615,33.06066002,6821976740,1902784515,7678581344,7876943365,814720988.3,1723868684,3049868129,NaN,NaN,4.294813002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80605,8375894,NaN,19318970,12225296,NaN,NaN,NaN,NaN,2156000,96460,NaN,NaN,NaN,NaN,NaN,-2.359512984,6.54062E+11,1.07938E+11,NaN,NaN,4.642705894,14.08937311,NaN,NaN,31.84262381,NaN,NaN,NaN,NaN,50.3,48499,31544266,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,91.85672984,0.78408174,6.262444021,1824000000,17.58276854,6.082936845,4.898695371,NaN,NaN,NaN,NaN,NaN,NaN,4.694394892,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
