,"Foreign direct investment, net (BoP, current US$)","Net capital account (BoP, current US$)","Net trade in goods and services (BoP, current US$)","Exports of goods and services (BoP, current US$)","Charges for the use of intellectual property, payments (BoP, current US$)","Net secondary income (BoP, current US$)","Grants, excluding technical cooperation (BoP, current US$)","Total reserves (includes gold, current US$)","External debt stocks, long-term (DOD, current US$)",Total debt service (% of GNI),"Debt service on external debt, total (TDS, current US$)","Net financial flows, bilateral (NFL, current US$)","Commercial banks and other lending (PPG + PNG) (NFL, current US$)",Adjusted net national income (current US$),"GNI, Atlas method (current US$)",Exports of goods and services (annual % growth),GDP growth (annual %),GNI growth (annual %),GDP (constant LCU),GNI (constant LCU),Gross national expenditure (constant LCU),Gross domestic income (constant LCU),"Industry (including construction), value added (constant LCU)","Manufacturing, value added (constant LCU)","Services, value added (constant LCU)",GDP (current LCU),GNI (current LCU),Exports of goods and services (current LCU),"Industry (including construction), value added (current LCU)","Services, value added (current LCU)",Gross savings (% of GDP),Gross savings (% of GNI),Exports of goods and services (% of GDP),Trade (% of GDP),Imports of goods and services (constant 2010 US$),Exports of goods and services (constant 2010 US$),GDP (current US$),GNI (current US$),Exports of goods and services (current US$),Imports of goods and services (current US$),"Services, value added (current US$)","Net ODA provided, total (% of GNI)",Net ODA received (% of central government expense),Net ODA received (% of GNI),Net official aid received (current US$),"GDP per capita, PPP (current international $)","GDP per capita, PPP (current international $)","GNI, PPP (current international $)","Households and NPISHs Final consumption expenditure, PPP (current international $)","Gross intake ratio in first grade of primary education, total (% of relevant age group)","Over-age students, primary (% of enrollment)","Persistence to grade 5, total (% of cohort)","Government expenditure on education, total (% of government expenditure)","Compulsory education, duration (years)","Adjusted net enrollment rate, primary (% of primary school age children)","Primary education, pupils",Aquaculture production (metric tons),Cereal production (metric tons),"Plant species (higher), threatened",Rural population,Urban population,Electricity production from coal sources (% of total),Access to electricity (% of population),GDP per unit of energy use (PPP $ per kg of oil equivalent),"Annual freshwater withdrawals, total (% of internal resources)",Arable land (hectares),Land area (sq. km),Urban land area (sq. km),Rural land area (sq. km),Total natural resources rents (% of GDP),"Depositors with commercial banks (per 1,000 adults)",Bank liquid reserves to bank assets ratio (%),"Claims on central government, etc. (% GDP)",Net domestic credit (current LCU),Net foreign assets (current LCU),"Listed domestic companies, total","Stocks traded, total value (current US$)",Consumer price index (2010 = 100),"Inflation, GDP deflator (annual %)",Deposit interest rate (%),Real interest rate (%),Broad money (% of GDP),"Domestic general government health expenditure per capita, PPP (current international $)",Current health expenditure (% of GDP),Current health expenditure per capita (current US$),"External health expenditure per capita, PPP (current international $)","Mortality rate, infant (per 1,000 live births)",Number of infant deaths,"Population, total","ICT service exports (BoP, current US$)","Patent applications, residents","Trademark applications, total",Rail lines (total route-km),Gini index (World Bank estimate),Multidimensional poverty headcount ratio (% of total population),Poverty headcount ratio at national poverty lines (% of population),Start-up procedures to register a business (number),Cost of business start-up procedures (% of GNI per capita),Profit tax (% of commercial profits),Merchandise exports to high-income economies (% of total merchandise exports),Fuel exports (% of merchandise exports),Ores and metals exports (% of merchandise exports),Merchandise imports (current US$),Food imports (% of merchandise imports),Fuel imports (% of merchandise imports),Ores and metals imports (% of merchandise imports),"Bound rate, simple mean, all products (%)","Share of tariff lines with international peaks, all products (%)","Binding coverage, all products (%)",Export value index (2000 = 100),"Armed forces personnel, total","Armed forces personnel, total",Military expenditure (% of GDP),"Central government debt, total (% of GDP)",Expense (% of GDP),Tax revenue (% of GDP),Taxes on goods and services (% of revenue),"Revenue, excluding grants (% of GDP)",Social contributions (current LCU),IDA resource allocation index (1=low to 6=high),"Employers, total (% of total employment) (modeled ILO estimate)","Labor force participation rate for ages 15-24, female (%) (national estimate)",Benefit incidence of social protection and labor programs to poorest quintile (% of total SPL benefits),"Unemployment, total (% of total labor force) (modeled ILO estimate)",Increase in poverty gap at $3.20 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),Increase in poverty gap at $1.90 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),Number of people pushed below the $3.20 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure
1960 [YR1960],NaN,NaN,NaN,NaN,NaN,NaN,4170000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.31337E+11,NaN,NaN,NaN,NaN,NaN,62962816374,116400000,114800000,25700000,11600000,44600000,NaN,NaN,22.0790378,60.48109966,NaN,NaN,162956740.9,160716785.7,35979280.41,62578748.43,62438751.22,NaN,NaN,2.588404086,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3499311,160673,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3659984,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,40000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1961 [YR1961],NaN,NaN,NaN,NaN,NaN,NaN,6270000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.639597855,NaN,1.41371E+11,NaN,NaN,NaN,NaN,NaN,67772922343,124700000,122500000,25700000,12600000,47300000,NaN,NaN,20.60946271,56.77626303,NaN,NaN,174576508.5,171496570.1,35979280.41,63138737.23,66218675.63,NaN,NaN,4.798929529,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,864554,NaN,3579516,168237,NaN,NaN,NaN,NaN,1300000,94280,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.472886998,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3747753,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,40000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1962 [YR1962],NaN,NaN,NaN,NaN,NaN,NaN,5610000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,179667233.9,NaN,0.668364743,NaN,1.42316E+11,NaN,NaN,NaN,NaN,NaN,68225892662,130800000,129400000,28000000,12700000,50100000,NaN,NaN,21.40672783,56.42201835,NaN,NaN,183116337.7,181156376.9,39199216.02,64118717.63,70138597.23,NaN,NaN,6.408827477,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,899751,NaN,3662831,176212,NaN,NaN,NaN,NaN,1400000,94280,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.195335291,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3839043,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,40000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1963 [YR1963],NaN,NaN,NaN,NaN,NaN,NaN,14180000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,182161232.4,NaN,-1.391078517,NaN,1.40336E+11,NaN,NaN,NaN,NaN,NaN,67276816926,136300000,134700000,29800000,12100000,52500000,NaN,NaN,21.86353632,59.35436537,NaN,NaN,190816183.7,188576228.5,41719165.62,71538569.23,73498530.03,NaN,NaN,8.728565216,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,780781,NaN,3749250,184658,NaN,NaN,NaN,NaN,1450000,94280,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.674913993,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3933908,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,40000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1964 [YR1964],NaN,NaN,NaN,NaN,NaN,NaN,24360000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,186443429.3,NaN,2.661103268,NaN,1.4407E+11,NaN,NaN,NaN,NaN,NaN,69067122499,139100000,133000000,27100000,17200000,50300000,NaN,NaN,19.48238677,47.73544213,NaN,NaN,194736105.3,186196276.1,37939241.22,55018899.62,70418591.63,NaN,NaN,17.48692405,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,967017,NaN,3838817,193554,NaN,NaN,NaN,NaN,1500000,94280,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.591081963,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4032371,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,62.0498615,NaN,NaN,57000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1965 [YR1965],NaN,NaN,NaN,NaN,NaN,NaN,30670000,25227000,NaN,NaN,NaN,NaN,NaN,NaN,223668338.4,NaN,13.61649342,NaN,1.63688E+11,NaN,NaN,NaN,NaN,NaN,78471642690,163900000,159600000,31900000,20900000,57900000,NaN,NaN,19.46308725,52.71507016,NaN,NaN,229455410.9,223435531.3,44659106.82,76298474.03,81058378.83,NaN,NaN,15.17663715,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,950943,NaN,3931541,202919,NaN,NaN,NaN,NaN,1700000,94280,NaN,NaN,NaN,NaN,NaN,0,11270000,17824571.43,NaN,NaN,NaN,3.707566151,NaN,NaN,15.41732764,NaN,NaN,NaN,NaN,211.6,NaN,4134460,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,76000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.70199778,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1966 [YR1966],NaN,NaN,NaN,NaN,NaN,NaN,12980000,21410000,NaN,NaN,NaN,NaN,NaN,NaN,256968949.7,NaN,13.24903632,NaN,1.85375E+11,NaN,NaN,NaN,NaN,NaN,88868379133,186000000,180500000,40000000,26300000,68800000,NaN,NaN,21.50537634,58.8172043,NaN,NaN,260394792.1,252694946.1,55998880.02,97158056.84,96318073.64,NaN,NaN,12.54872706,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1021611,NaN,4027644,212785,NaN,NaN,NaN,NaN,1750000,94280,NaN,NaN,NaN,NaN,NaN,0,18602000,13007714.29,NaN,NaN,NaN,0.207326517,NaN,NaN,15.82043011,NaN,NaN,NaN,NaN,210.5,44470,4240429,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60.30927835,0,0.203366555,70000000,19.42352864,4.821508894,1.449106973,NaN,NaN,NaN,NaN,NaN,NaN,0.645792564,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1967 [YR1967],NaN,NaN,NaN,NaN,NaN,NaN,12510000,22500000,NaN,NaN,NaN,NaN,NaN,NaN,273213334.3,NaN,7.281549943,NaN,1.98873E+11,NaN,NaN,NaN,26304199700,NaN,95339374543,195400000,187600000,47000000,28800000,70400000,NaN,NaN,24.05322416,58.95598772,NaN,NaN,269814968.2,259044462.9,64899199.12,94172880.42,97210715.27,NaN,NaN,11.59646517,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1342764,NaN,4122097,228355,NaN,NaN,NaN,NaN,1700000,94280,NaN,NaN,NaN,NaN,NaN,0,23893000,12610000,NaN,NaN,NaN,-2.076579341,NaN,NaN,16.94268168,NaN,NaN,NaN,NaN,209.3,45414,4350452,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,70.01934236,0,0.111341672,70000000,16.91240154,5.206466393,1.326760907,NaN,NaN,NaN,NaN,NaN,NaN,0.716937355,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1968 [YR1968],NaN,NaN,NaN,NaN,NaN,NaN,9960000,22510000,NaN,NaN,NaN,NaN,NaN,NaN,262143982.4,NaN,-1.923079168,NaN,1.95049E+11,NaN,NaN,NaN,27576380600,NaN,93505922892,204300000,197300000,48700000,32100000,75200000,NaN,NaN,23.83749388,62.99559471,NaN,NaN,245169806.8,236769470.8,58442337.69,96003840.15,90243609.74,NaN,NaN,19.82096769,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1168730,NaN,4218657,245766,NaN,NaN,NaN,NaN,1800000,94280,NaN,NaN,NaN,NaN,NaN,0,23836000,14077333.33,NaN,NaN,NaN,6.604855231,NaN,NaN,17.36857562,NaN,NaN,NaN,NaN,208.1,46334,4464423,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,69.37799043,0.012252133,0.261595697,74000000,13.6010353,5.850426745,1.145258976,NaN,NaN,NaN,NaN,NaN,NaN,0.695430346,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1969 [YR1969],NaN,NaN,NaN,NaN,NaN,NaN,6840000,21010000,NaN,NaN,NaN,NaN,NaN,NaN,273765308.3,NaN,5.882359893,NaN,2.06522E+11,NaN,NaN,NaN,29222729800,NaN,99006277797,221500000,215700000,52000000,34800000,81500000,NaN,NaN,23.47629797,63.06997743,NaN,NaN,265810632.4,258850354,62402496.1,105244209.8,97803912.16,NaN,NaN,10.62389893,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1145565,NaN,4317668,264530,NaN,NaN,NaN,NaN,1850000,94280,NaN,NaN,NaN,NaN,NaN,0,28692000,14018666.67,NaN,NaN,NaN,2.395707641,NaN,NaN,18.37607223,NaN,NaN,NaN,NaN,206.3,47127,4582198,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,54.1352386,0.049499375,0.22184024,86000000,12.2939407,5.822543111,1.317743854,NaN,NaN,NaN,NaN,NaN,NaN,0.667962357,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
