NaN,"Foreign direct investment, net (BoP, current US$)","Net capital account (BoP, current US$)","Net trade in goods and services (BoP, current US$)","Exports of goods and services (BoP, current US$)","Charges for the use of intellectual property, payments (BoP, current US$)","Net secondary income (BoP, current US$)","Grants, excluding technical cooperation (BoP, current US$)","Total reserves (includes gold, current US$)","External debt stocks, long-term (DOD, current US$)",Total debt service (% of GNI),"Debt service on external debt, total (TDS, current US$)","Net financial flows, bilateral (NFL, current US$)","Commercial banks and other lending (PPG + PNG) (NFL, current US$)",Adjusted net national income (current US$),"GNI, Atlas method (current US$)",Exports of goods and services (annual % growth),GDP growth (annual %),GNI growth (annual %),GDP (constant LCU),GNI (constant LCU),Gross national expenditure (constant LCU),Gross domestic income (constant LCU),"Industry (including construction), value added (constant LCU)","Manufacturing, value added (constant LCU)","Services, value added (constant LCU)",GDP (current LCU),GNI (current LCU),Exports of goods and services (current LCU),"Industry (including construction), value added (current LCU)","Services, value added (current LCU)",Gross savings (% of GDP),Gross savings (% of GNI),Exports of goods and services (% of GDP),Trade (% of GDP),Imports of goods and services (constant 2010 US$),Exports of goods and services (constant 2010 US$),GDP (current US$),GNI (current US$),Exports of goods and services (current US$),Imports of goods and services (current US$),"Services, value added (current US$)","Net ODA provided, total (% of GNI)",Net ODA received (% of central government expense),Net ODA received (% of GNI),Net official aid received (current US$),"GDP per capita, PPP (current international $)","GDP per capita, PPP (current international $)","GNI, PPP (current international $)","Households and NPISHs Final consumption expenditure, PPP (current international $)","Gross intake ratio in first grade of primary education, total (% of relevant age group)","Over-age students, primary (% of enrollment)","Persistence to grade 5, total (% of cohort)","Government expenditure on education, total (% of government expenditure)","Compulsory education, duration (years)","Adjusted net enrollment rate, primary (% of primary school age children)","Primary education, pupils",Aquaculture production (metric tons),Cereal production (metric tons),"Plant species (higher), threatened",Rural population,Urban population,Electricity production from coal sources (% of total),Access to electricity (% of population),GDP per unit of energy use (PPP $ per kg of oil equivalent),"Annual freshwater withdrawals, total (% of internal resources)",Arable land (hectares),Land area (sq. km),Urban land area (sq. km),Rural land area (sq. km),Total natural resources rents (% of GDP),"Depositors with commercial banks (per 1,000 adults)",Bank liquid reserves to bank assets ratio (%),"Claims on central government, etc. (% GDP)",Net domestic credit (current LCU),Net foreign assets (current LCU),"Listed domestic companies, total","Stocks traded, total value (current US$)",Consumer price index (2010 = 100),"Inflation, GDP deflator (annual %)",Deposit interest rate (%),Real interest rate (%),Broad money (% of GDP),"Domestic general government health expenditure per capita, PPP (current international $)",Current health expenditure (% of GDP),Current health expenditure per capita (current US$),"External health expenditure per capita, PPP (current international $)","Mortality rate, infant (per 1,000 live births)",Number of infant deaths,"Population, total","ICT service exports (BoP, current US$)","Patent applications, residents","Trademark applications, total",Rail lines (total route-km),Gini index (World Bank estimate),Multidimensional poverty headcount ratio (% of total population),Poverty headcount ratio at national poverty lines (% of population),Start-up procedures to register a business (number),Cost of business start-up procedures (% of GNI per capita),Profit tax (% of commercial profits),Merchandise exports to high-income economies (% of total merchandise exports),Fuel exports (% of merchandise exports),Ores and metals exports (% of merchandise exports),Merchandise imports (current US$),Food imports (% of merchandise imports),Fuel imports (% of merchandise imports),Ores and metals imports (% of merchandise imports),"Bound rate, simple mean, all products (%)","Share of tariff lines with international peaks, all products (%)","Binding coverage, all products (%)",Export value index (2000 = 100),"Armed forces personnel, total","Armed forces personnel, total",Military expenditure (% of GDP),"Central government debt, total (% of GDP)",Expense (% of GDP),Tax revenue (% of GDP),Taxes on goods and services (% of revenue),"Revenue, excluding grants (% of GDP)",Social contributions (current LCU),IDA resource allocation index (1=low to 6=high),"Employers, total (% of total employment) (modeled ILO estimate)","Labor force participation rate for ages 15-24, female (%) (national estimate)",Benefit incidence of social protection and labor programs to poorest quintile (% of total SPL benefits),"Unemployment, total (% of total labor force) (modeled ILO estimate)",Increase in poverty gap at $3.20 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),Increase in poverty gap at $1.90 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),Number of people pushed below the $3.20 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure
1960 [YR1960],NaN,NaN,NaN,NaN,NaN,NaN,10000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.88873E+12,6.63856E+12,8.0528E+12,7.30803E+12,NaN,NaN,NaN,33230448600,32130060300,3333075200,NaN,NaN,NaN,NaN,10.03018418,26.65470908,1453577286,650920448,673081724.1,650793392.6,67511336.64,111896638.8,NaN,NaN,NaN,0.407195298,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4556698,542675,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5099373,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,83.45120226,NaN,NaN,112000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1961 [YR1961],NaN,NaN,NaN,NaN,NaN,NaN,50000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,74.31839887,2.048632751,2.117372139,7.02986E+12,6.77913E+12,7.96117E+12,7.40955E+12,NaN,NaN,NaN,34518044700,33377701900,5041273900,NaN,NaN,NaN,NaN,14.60474932,34.10808985,1785592026,1134674103,699161943.9,676064335.2,102110849.3,136359934.7,NaN,NaN,NaN,0.220393228,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1584920,NaN,4650490,573078,NaN,NaN,NaN,NaN,1925000,581540,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.789455744,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5223568,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,79.8102981,NaN,NaN,103000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.50215208,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1962 [YR1962],NaN,NaN,NaN,NaN,NaN,NaN,1030000,48000000,NaN,NaN,NaN,NaN,NaN,NaN,707049620,-1.562602585,2.271069702,2.226651025,7.18951E+12,6.93007E+12,8.11746E+12,7.58846E+12,NaN,NaN,NaN,36499038200,35278557200,5020453400,NaN,NaN,NaN,NaN,13.7550293,32.13855811,1777491824,1116943656,739286906.9,714566101.4,101689130.7,135907021.5,NaN,NaN,NaN,0.698325846,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1657700,NaN,4747188,605315,NaN,NaN,NaN,NaN,1940000,581540,NaN,NaN,NaN,NaN,NaN,-6.471403403,2416000000,2932000000,NaN,NaN,NaN,3.390928395,NaN,NaN,14.54284897,NaN,NaN,NaN,NaN,NaN,NaN,5352503,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,81.43176734,0.0177857,4.240464015,122000000,13.97739141,5.039054619,0.672480507,NaN,NaN,NaN,NaN,NaN,NaN,1.537313433,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1963 [YR1963],NaN,NaN,NaN,NaN,NaN,NaN,1100000,42800000,NaN,NaN,NaN,NaN,NaN,NaN,720347992.2,-7.936333745,-0.929401624,-1.005448918,7.12269E+12,6.8604E+12,8.49398E+12,7.58762E+12,NaN,NaN,NaN,37489360900,36248989700,4791308300,NaN,NaN,NaN,NaN,12.78044807,32.70676241,1992088776,1028299280,759345863,734222182.1,97047803.66,151309643.6,NaN,NaN,NaN,1.129086013,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1670300,NaN,4846779,639540,NaN,NaN,NaN,NaN,1955000,581540,NaN,NaN,NaN,NaN,NaN,-5.35085142,3246000000,2580000000,NaN,NaN,NaN,3.676858783,NaN,NaN,14.71884254,NaN,NaN,NaN,NaN,NaN,NaN,5486319,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88.34196891,0.012796277,4.17100032,128000000,13.52213275,5.291608808,0.566796886,NaN,NaN,NaN,NaN,NaN,NaN,1.460369881,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1964 [YR1964],NaN,NaN,NaN,NaN,NaN,NaN,33750000,51080000,NaN,NaN,NaN,NaN,NaN,NaN,770646823.8,8.374494675,3.962518848,4.008071594,7.40493E+12,7.13536E+12,8.75547E+12,7.88747E+12,NaN,NaN,NaN,39619026900,38318456800,5270438900,NaN,NaN,NaN,NaN,13.30279745,33.23064101,2056870953,1114414148,802482182.9,776139175.2,106752579.4,159917394,NaN,NaN,NaN,6.131632274,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1784510,NaN,4949357,675807,NaN,NaN,NaN,NaN,1970000,581540,NaN,NaN,NaN,NaN,NaN,-5.618512554,3674000000,2640000000,NaN,NaN,0.566257492,1.652713091,NaN,NaN,15.31082531,NaN,NaN,NaN,NaN,NaN,NaN,5625164,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87.84722222,0.004438782,3.67450564,136000000,13.3990037,5.16400687,0.651820811,NaN,NaN,NaN,NaN,NaN,NaN,1.45875,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1965 [YR1965],NaN,NaN,NaN,NaN,NaN,NaN,32350000,49882000,NaN,NaN,NaN,NaN,NaN,NaN,797619224.2,11.36335339,-0.452253864,-0.42475413,7.37144E+12,7.10506E+12,8.60636E+12,7.66036E+12,NaN,NaN,NaN,41153528800,39793298500,5437082600,NaN,NaN,NaN,NaN,13.21170446,33.21170334,2109506613,1241048966,833563472.2,806012048.9,110127942.4,166712685.1,NaN,NaN,NaN,6.305116625,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1714600,NaN,5055047,714171,NaN,NaN,NaN,NaN,1985000,581540,NaN,NaN,NaN,NaN,NaN,-4.845271009,3594000000,2974000000,NaN,NaN,0.590050842,4.345048353,NaN,NaN,15.75077567,NaN,NaN,NaN,NaN,NaN,NaN,5769218,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,92.66589057,0.009371439,4.208099,138000000,19.66216445,5.439392083,0.709864582,NaN,NaN,NaN,NaN,NaN,NaN,1.590854392,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1966 [YR1966],NaN,NaN,NaN,NaN,NaN,NaN,6860000,51482000,NaN,NaN,NaN,NaN,NaN,NaN,880989588.1,3.265615822,2.064552407,5.891123537,7.52362E+12,7.52362E+12,8.77698E+12,8.13886E+12,NaN,NaN,NaN,44446602700,44446602800,7686913400,NaN,24509112800,NaN,NaN,17.29471531,40.49278214,2162142272,1281576857,900264583.7,900264585.7,155698196.7,208843979.8,496431333.1,NaN,NaN,5.298442427,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1746795,NaN,5164152,754443,NaN,NaN,NaN,NaN,2000000,581540,NaN,NaN,NaN,NaN,NaN,-4.585277335,4208000000,3088000000,NaN,NaN,0.609000761,5.817270514,NaN,NaN,15.82573149,NaN,NaN,NaN,NaN,NaN,NaN,5918595,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,91.77001127,0.690170148,3.684520869,146000000,14.64104269,6.794948755,0.765286966,NaN,NaN,NaN,NaN,NaN,NaN,1.542274855,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1967 [YR1967],NaN,NaN,NaN,NaN,NaN,NaN,28530000,42882000,NaN,NaN,NaN,NaN,NaN,NaN,964308715.4,3.754782294,5.52856561,5.528371147,7.93957E+12,7.93956E+12,8.95613E+12,8.53468E+12,NaN,NaN,NaN,47219865200,47219785300,8270206600,NaN,25939005200,NaN,NaN,17.51425288,39.0183149,2024477797,1329697278,956436931.1,956435312.8,167512782.7,205672790.9,525393760.1,NaN,NaN,4.562775841,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1855015,NaN,5279473,794053,NaN,NaN,NaN,NaN,2015000,581540,NaN,NaN,NaN,NaN,NaN,-4.605265159,5172600000,2896234309,NaN,NaN,0.613965277,0.673724706,NaN,NaN,17.23257778,NaN,NaN,NaN,NaN,NaN,NaN,6073526,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80.79399142,3.824030291,3.310099251,145000000,11.43195903,5.842854347,0.840260711,NaN,NaN,NaN,NaN,NaN,NaN,1.55002592,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1968 [YR1968],NaN,NaN,NaN,NaN,NaN,NaN,24140000,30582000,NaN,NaN,NaN,NaN,NaN,NaN,1066751409,11.04753382,6.828786099,6.828890149,8.48175E+12,8.48174E+12,9.82419E+12,9.2026E+12,NaN,NaN,NaN,50934149000,50934109100,9040984000,NaN,27978211200,NaN,NaN,17.75033878,40.54051418,2392935817,1476596035,1031669636,1031668828,183124855.5,235119319.8,566697815.5,NaN,NaN,4.712752543,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1940490,NaN,5398423,836042,NaN,NaN,NaN,NaN,2030000,581540,NaN,NaN,NaN,NaN,NaN,-3.309371086,6131000000,2367634309,NaN,NaN,0.619837935,0.970851321,NaN,NaN,17.13938521,NaN,NaN,NaN,NaN,89.9,NaN,6234465,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,78.52941176,3.443541879,2.932477089,170000000,11.23700082,6.208821962,1.056456224,NaN,NaN,NaN,NaN,NaN,NaN,1.546218487,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1969 [YR1969],NaN,NaN,NaN,NaN,NaN,NaN,18410000,19382000,NaN,NaN,NaN,NaN,NaN,NaN,1108568111,3.602028539,3.721222168,3.177420693,8.79737E+12,8.75124E+12,1.0237E+13,9.61037E+12,NaN,NaN,NaN,54871037800,54611402000,9936744200,NaN,29866873700,NaN,NaN,18.10926966,41.22081741,2510353605,1529783445,1056391055,1051392481,191304704.7,244148323,575004582.9,NaN,NaN,4.334252007,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1989965,NaN,5521593,880328,NaN,NaN,NaN,NaN,2050000,581540,NaN,NaN,NaN,NaN,NaN,-1.493319669,7432200000,2000288516,NaN,NaN,0.643570741,3.864346837,NaN,NaN,17.38877262,NaN,NaN,NaN,NaN,91,27315,6401921,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,83.19758886,3.578801113,4.209790024,182000000,13.4672224,6.589930719,1.314931754,NaN,NaN,NaN,NaN,NaN,NaN,1.507246377,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
