NaN,"Foreign direct investment, net (BoP, current US$)","Net capital account (BoP, current US$)","Net trade in goods and services (BoP, current US$)","Exports of goods and services (BoP, current US$)","Charges for the use of intellectual property, payments (BoP, current US$)","Net secondary income (BoP, current US$)","Grants, excluding technical cooperation (BoP, current US$)","Total reserves (includes gold, current US$)","External debt stocks, long-term (DOD, current US$)",Total debt service (% of GNI),"Debt service on external debt, total (TDS, current US$)","Net financial flows, bilateral (NFL, current US$)","Commercial banks and other lending (PPG + PNG) (NFL, current US$)",Adjusted net national income (current US$),"GNI, Atlas method (current US$)",Exports of goods and services (annual % growth),GDP growth (annual %),GNI growth (annual %),GDP (constant LCU),GNI (constant LCU),Gross national expenditure (constant LCU),Gross domestic income (constant LCU),"Industry (including construction), value added (constant LCU)","Manufacturing, value added (constant LCU)","Services, value added (constant LCU)",GDP (current LCU),GNI (current LCU),Exports of goods and services (current LCU),"Industry (including construction), value added (current LCU)","Services, value added (current LCU)",Gross savings (% of GDP),Gross savings (% of GNI),Exports of goods and services (% of GDP),Trade (% of GDP),Imports of goods and services (constant 2010 US$),Exports of goods and services (constant 2010 US$),GDP (current US$),GNI (current US$),Exports of goods and services (current US$),Imports of goods and services (current US$),"Services, value added (current US$)","Net ODA provided, total (% of GNI)",Net ODA received (% of central government expense),Net ODA received (% of GNI),Net official aid received (current US$),"GDP per capita, PPP (current international $)","GDP per capita, PPP (current international $)","GNI, PPP (current international $)","Households and NPISHs Final consumption expenditure, PPP (current international $)","Gross intake ratio in first grade of primary education, total (% of relevant age group)","Over-age students, primary (% of enrollment)","Persistence to grade 5, total (% of cohort)","Government expenditure on education, total (% of government expenditure)","Compulsory education, duration (years)","Adjusted net enrollment rate, primary (% of primary school age children)","Primary education, pupils",Aquaculture production (metric tons),Cereal production (metric tons),"Plant species (higher), threatened",Rural population,Urban population,Electricity production from coal sources (% of total),Access to electricity (% of population),GDP per unit of energy use (PPP $ per kg of oil equivalent),"Annual freshwater withdrawals, total (% of internal resources)",Arable land (hectares),Land area (sq. km),Urban land area (sq. km),Rural land area (sq. km),Total natural resources rents (% of GDP),"Depositors with commercial banks (per 1,000 adults)",Bank liquid reserves to bank assets ratio (%),"Claims on central government, etc. (% GDP)",Net domestic credit (current LCU),Net foreign assets (current LCU),"Listed domestic companies, total","Stocks traded, total value (current US$)",Consumer price index (2010 = 100),"Inflation, GDP deflator (annual %)",Deposit interest rate (%),Real interest rate (%),Broad money (% of GDP),"Domestic general government health expenditure per capita, PPP (current international $)",Current health expenditure (% of GDP),Current health expenditure per capita (current US$),"External health expenditure per capita, PPP (current international $)","Mortality rate, infant (per 1,000 live births)",Number of infant deaths,"Population, total","ICT service exports (BoP, current US$)","Patent applications, residents","Trademark applications, total",Rail lines (total route-km),Gini index (World Bank estimate),Multidimensional poverty headcount ratio (% of total population),Poverty headcount ratio at national poverty lines (% of population),Start-up procedures to register a business (number),Cost of business start-up procedures (% of GNI per capita),Profit tax (% of commercial profits),Merchandise exports to high-income economies (% of total merchandise exports),Fuel exports (% of merchandise exports),Ores and metals exports (% of merchandise exports),Merchandise imports (current US$),Food imports (% of merchandise imports),Fuel imports (% of merchandise imports),Ores and metals imports (% of merchandise imports),"Bound rate, simple mean, all products (%)","Share of tariff lines with international peaks, all products (%)","Binding coverage, all products (%)",Export value index (2000 = 100),"Armed forces personnel, total","Armed forces personnel, total",Military expenditure (% of GDP),"Central government debt, total (% of GDP)",Expense (% of GDP),Tax revenue (% of GDP),Taxes on goods and services (% of revenue),"Revenue, excluding grants (% of GDP)",Social contributions (current LCU),IDA resource allocation index (1=low to 6=high),"Employers, total (% of total employment) (modeled ILO estimate)","Labor force participation rate for ages 15-24, female (%) (national estimate)",Benefit incidence of social protection and labor programs to poorest quintile (% of total SPL benefits),"Unemployment, total (% of total labor force) (modeled ILO estimate)",Increase in poverty gap at $3.20 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),Increase in poverty gap at $1.90 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),Number of people pushed below the $3.20 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure
1960 [YR1960],NaN,NaN,NaN,NaN,NaN,NaN,13600000,471000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,39348061579,37493605719,37504515318,42267644416,NaN,NaN,NaN,5866000000,5616000000,3113000000,1449580300,NaN,NaN,NaN,53.06853051,92.32867371,4083873552,4725812983,1916241997,1834574677,1016921469,752319351.9,NaN,NaN,NaN,0.72387349,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7841,NaN,NaN,5986922,2169425,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1.79849983,417500000,1439800000,NaN,NaN,21.30924128,NaN,NaN,NaN,28.20490965,NaN,NaN,NaN,NaN,67.2,23021,8156347,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,910000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.676440505,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1961 [YR1961],NaN,NaN,NaN,NaN,NaN,NaN,13010000,472000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.534501379,7.597993999,9.187368123,42337724937,40938281299,40139597679,42496681227,NaN,NaN,NaN,5822000000,5633000000,2822000000,1577744400,NaN,NaN,NaN,48.4713157,90.05496393,4271157679,4987363168,1901868548,1840128054,921860708.2,790866326.9,NaN,NaN,NaN,1.027645864,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7911,1097075,NaN,6124725,2293099,NaN,NaN,NaN,NaN,754740,328550,NaN,NaN,NaN,NaN,NaN,-0.573686019,625600000,1341300000,NaN,NaN,21.27079776,-7.758582596,NaN,NaN,30.34180694,NaN,NaN,NaN,NaN,63.3,22171,8417824,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,920000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.232909653,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1962 [YR1962],NaN,NaN,NaN,NaN,NaN,NaN,9660000,531546300,NaN,NaN,NaN,NaN,NaN,NaN,2056609239,4.807247624,6.421029609,7.54396709,45056242791,44026651768,43134063374,44100072401,NaN,NaN,NaN,6127000000,5985000000,2821000000,1886001200,NaN,NaN,NaN,46.0421087,89.17904358,4583747105,5227118065,2001502679,1955115641,921534038.9,863386907.1,NaN,NaN,NaN,1.116046501,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9968,1133343,NaN,6267613,2424729,NaN,NaN,NaN,NaN,777950,328550,NaN,NaN,NaN,NaN,NaN,-1.669658887,671700000,1400677536,NaN,NaN,21.29386387,-1.110945875,NaN,NaN,30.60225233,NaN,NaN,NaN,NaN,59.6,21271,8692342,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,998000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.187040966,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1963 [YR1963],NaN,NaN,NaN,NaN,NaN,NaN,12120000,555268400,NaN,NaN,NaN,NaN,NaN,NaN,2252861267,5.852565797,7.338803527,7.526232621,48362831926,47340199995,45157273181,46070043707,NaN,NaN,NaN,7684000000,7513000000,3513000000,2073827800,NaN,NaN,NaN,45.71837585,89.70588235,4625515445,5533038589,2510126748,2454266301,1147589181,1104142166,NaN,NaN,NaN,0.518688601,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21941,1205214,NaN,6411054,2562734,NaN,NaN,NaN,NaN,800870,328550,NaN,NaN,NaN,NaN,NaN,-0.583029672,874200000,1380740784,NaN,NaN,21.95509236,16.83762648,NaN,NaN,26.73217074,NaN,NaN,NaN,NaN,56.2,20333,8973788,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1043000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.420614263,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1964 [YR1964],NaN,NaN,NaN,NaN,NaN,NaN,15660000,593424000,NaN,NaN,NaN,NaN,NaN,NaN,2484367732,-3.474958741,5.358962909,4.779442052,50954578151,49602797421,47907823671,48917645937,NaN,NaN,NaN,8187000000,7960000000,3609000000,2408601300,NaN,NaN,NaN,44.08208135,86.42970563,4506947161,5340767781,2674441396,2600287469,1178949432,1132562394,NaN,NaN,NaN,0.660696193,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21302,1121782,NaN,6548759,2705083,NaN,NaN,NaN,NaN,811020,328550,NaN,NaN,NaN,NaN,NaN,-1.144497374,950400000,1425853028,NaN,NaN,21.86667227,1.126726017,NaN,NaN,26.25381703,NaN,NaN,NaN,NaN,53.3,19384,9253842,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.896504321,27.8811837,1047000000,29.92176239,11.37791902,4.798587254,NaN,NaN,NaN,NaN,NaN,NaN,3.163551973,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1965 [YR1965],NaN,NaN,NaN,NaN,NaN,NaN,19900000,469857200,NaN,NaN,NaN,NaN,NaN,NaN,2873129766,8.293254669,7.684863475,7.350016295,54870367916,53248611114,51168202741,53555502844,NaN,NaN,NaN,9050000000,8776000000,4063000000,2681502500,NaN,NaN,NaN,44.89502762,85.31491713,4806736643,5783691254,2956356984,2866849601,1327257285,1194956226,NaN,NaN,NaN,0.773671569,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21508,1265608,NaN,6676879,2849679,NaN,NaN,NaN,NaN,773340,328550,NaN,NaN,NaN,NaN,NaN,-1.175690608,1012600000,1633091775,NaN,NaN,21.84360616,2.6524046,NaN,NaN,30.28950276,NaN,NaN,NaN,NaN,50.6,18453,9526558,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.672468571,28.8561845,1096000000,27.18970987,11.6404741,4.421671234,NaN,NaN,NaN,NaN,NaN,NaN,4.011049724,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1966 [YR1966],NaN,NaN,NaN,NaN,NaN,NaN,16000000,494285700,NaN,NaN,NaN,NaN,NaN,NaN,3147398126,6.244947926,7.816711026,8.048200102,59159426015,57534165888,53843295169,56651194696,NaN,NaN,NaN,9623000000,9344000000,4091000000,2852756200,NaN,NaN,NaN,42.51272992,81.07658734,4853221074,6144879761,3143538482,3052397753,1336404025,1212269698,NaN,NaN,NaN,0.987748061,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26709,1236617,NaN,6793927,2996157,NaN,NaN,NaN,NaN,777130,328550,NaN,NaN,NaN,NaN,NaN,1.617998545,1425700000,1658228481,NaN,NaN,22.0550455,-1.377540921,5,NaN,28.6958329,NaN,NaN,NaN,NaN,48.3,17594,9790084,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.177497951,25.92515787,1104000000,25.75524928,12.98992547,2.583009112,NaN,NaN,NaN,NaN,NaN,NaN,4.728255222,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1967 [YR1967],NaN,NaN,NaN,NaN,NaN,NaN,11250000,457018000,NaN,NaN,NaN,NaN,NaN,NaN,3316370624,5.358502067,3.857146492,5.637563235,61441291740,60777690872,54957692790,57473608386,NaN,NaN,NaN,9762000000,9647000000,3999000000,2861595100,NaN,NaN,NaN,40.9649662,79.4919074,4940126354,6474153270,3188945512,3151378544,1306350451,1228603162,NaN,NaN,NaN,0.733012555,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29211,1217718,NaN,6901423,3144902,NaN,NaN,NaN,NaN,788680,328550,NaN,NaN,NaN,NaN,NaN,2.604998976,1659300000,1435510062,NaN,NaN,23.06418781,-2.323085683,5.083333333,NaN,28.94488834,NaN,NaN,NaN,NaN,46.3,16802,10046325,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84.81562179,5.626544185,26.53173184,1086000000,26.63519973,13.42552831,2.960188611,NaN,NaN,NaN,NaN,NaN,NaN,4.497029297,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1968 [YR1968],NaN,NaN,NaN,NaN,NaN,NaN,13720000,529201000,NaN,NaN,NaN,NaN,NaN,NaN,3532862552,15.85908572,7.977994642,8.023436572,66343074703,65654150349,56002148302,59930423218,NaN,NaN,NaN,10195000000,10074000000,4407000000,2845022200,NaN,NaN,NaN,43.22707209,82.9328102,5106526187,7500894787,3330393310,3290866327,1439631517,1322357246,NaN,NaN,NaN,0.780037763,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29408,1448255,NaN,7001290,3296693,NaN,NaN,NaN,NaN,865300,328550,NaN,NaN,NaN,NaN,NaN,4.111819519,2109200000,1545550872,NaN,NaN,23.02766647,-3.280694526,5.5,NaN,34.38155959,NaN,NaN,NaN,NaN,44.6,16135,10297983,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84.51164691,8.797276845,23.71196501,1160000000,25.01896889,14.2282125,6.064415558,NaN,NaN,NaN,NaN,NaN,NaN,4.453163315,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1969 [YR1969],NaN,NaN,NaN,NaN,NaN,NaN,9330000,619980000,NaN,NaN,NaN,NaN,NaN,NaN,3670886713,5.375673993,4.888533653,3.544870511,69586278236,67981504965,57944394048,65449682824,NaN,NaN,NaN,11218000000,10939000000,5297000000,3275918600,NaN,NaN,NaN,47.21875557,84.2396149,5188715718,7904118437,3664575983,3573435254,1730367176,1356657520,NaN,NaN,NaN,0.862475391,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30802,1607152,NaN,7096686,3452713,NaN,NaN,NaN,NaN,868940,328550,NaN,NaN,NaN,NaN,NaN,3.025494741,2400400000,1996740656,NaN,NaN,22.93347986,4.905967051,5.5,4.036026804,38.24032804,NaN,NaN,NaN,NaN,43.1,15595,10549399,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,83.57395904,6.99215983,21.75952535,1178000000,23.79645196,13.55328207,5.59451131,NaN,NaN,NaN,NaN,NaN,NaN,3.922267784,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
