NaN,"Foreign direct investment, net (BoP, current US$)","Net capital account (BoP, current US$)","Net trade in goods and services (BoP, current US$)","Exports of goods and services (BoP, current US$)","Charges for the use of intellectual property, payments (BoP, current US$)","Net secondary income (BoP, current US$)","Grants, excluding technical cooperation (BoP, current US$)","Total reserves (includes gold, current US$)","External debt stocks, long-term (DOD, current US$)",Total debt service (% of GNI),"Debt service on external debt, total (TDS, current US$)","Net financial flows, bilateral (NFL, current US$)","Commercial banks and other lending (PPG + PNG) (NFL, current US$)",Adjusted net national income (current US$),"GNI, Atlas method (current US$)",Exports of goods and services (annual % growth),GDP growth (annual %),GNI growth (annual %),GDP (constant LCU),GNI (constant LCU),Gross national expenditure (constant LCU),Gross domestic income (constant LCU),"Industry (including construction), value added (constant LCU)","Manufacturing, value added (constant LCU)","Services, value added (constant LCU)",GDP (current LCU),GNI (current LCU),Exports of goods and services (current LCU),"Industry (including construction), value added (current LCU)","Services, value added (current LCU)",Gross savings (% of GDP),Gross savings (% of GNI),Exports of goods and services (% of GDP),Trade (% of GDP),Imports of goods and services (constant 2010 US$),Exports of goods and services (constant 2010 US$),GDP (current US$),GNI (current US$),Exports of goods and services (current US$),Imports of goods and services (current US$),"Services, value added (current US$)","Net ODA provided, total (% of GNI)",Net ODA received (% of central government expense),Net ODA received (% of GNI),Net official aid received (current US$),"GDP per capita, PPP (current international $)","GDP per capita, PPP (current international $)","GNI, PPP (current international $)","Households and NPISHs Final consumption expenditure, PPP (current international $)","Gross intake ratio in first grade of primary education, total (% of relevant age group)","Over-age students, primary (% of enrollment)","Persistence to grade 5, total (% of cohort)","Government expenditure on education, total (% of government expenditure)","Compulsory education, duration (years)","Adjusted net enrollment rate, primary (% of primary school age children)","Primary education, pupils",Aquaculture production (metric tons),Cereal production (metric tons),"Plant species (higher), threatened",Rural population,Urban population,Electricity production from coal sources (% of total),Access to electricity (% of population),GDP per unit of energy use (PPP $ per kg of oil equivalent),"Annual freshwater withdrawals, total (% of internal resources)",Arable land (hectares),Land area (sq. km),Urban land area (sq. km),Rural land area (sq. km),Total natural resources rents (% of GDP),"Depositors with commercial banks (per 1,000 adults)",Bank liquid reserves to bank assets ratio (%),"Claims on central government, etc. (% GDP)",Net domestic credit (current LCU),Net foreign assets (current LCU),"Listed domestic companies, total","Stocks traded, total value (current US$)",Consumer price index (2010 = 100),"Inflation, GDP deflator (annual %)",Deposit interest rate (%),Real interest rate (%),Broad money (% of GDP),"Domestic general government health expenditure per capita, PPP (current international $)",Current health expenditure (% of GDP),Current health expenditure per capita (current US$),"External health expenditure per capita, PPP (current international $)","Mortality rate, infant (per 1,000 live births)",Number of infant deaths,"Population, total","ICT service exports (BoP, current US$)","Patent applications, residents","Trademark applications, total",Rail lines (total route-km),Gini index (World Bank estimate),Multidimensional poverty headcount ratio (% of total population),Poverty headcount ratio at national poverty lines (% of population),Start-up procedures to register a business (number),Cost of business start-up procedures (% of GNI per capita),Profit tax (% of commercial profits),Merchandise exports to high-income economies (% of total merchandise exports),Fuel exports (% of merchandise exports),Ores and metals exports (% of merchandise exports),Merchandise imports (current US$),Food imports (% of merchandise imports),Fuel imports (% of merchandise imports),Ores and metals imports (% of merchandise imports),"Bound rate, simple mean, all products (%)","Share of tariff lines with international peaks, all products (%)","Binding coverage, all products (%)",Export value index (2000 = 100),"Armed forces personnel, total","Armed forces personnel, total",Military expenditure (% of GDP),"Central government debt, total (% of GDP)",Expense (% of GDP),Tax revenue (% of GDP),Taxes on goods and services (% of revenue),"Revenue, excluding grants (% of GDP)",Social contributions (current LCU),IDA resource allocation index (1=low to 6=high),"Employers, total (% of total employment) (modeled ILO estimate)","Labor force participation rate for ages 15-24, female (%) (national estimate)",Benefit incidence of social protection and labor programs to poorest quintile (% of total SPL benefits),"Unemployment, total (% of total labor force) (modeled ILO estimate)",Increase in poverty gap at $3.20 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),Increase in poverty gap at $1.90 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),Number of people pushed below the $3.20 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure
1960 [YR1960],NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4681248,582485,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5263733,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,33000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1961 [YR1961],NaN,NaN,NaN,NaN,NaN,NaN,2000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1106550,NaN,4717603,604663,NaN,NaN,NaN,NaN,1638000,1220190,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5322266,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17.85714286,NaN,NaN,36000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.702247191,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1962 [YR1962],NaN,NaN,NaN,NaN,NaN,NaN,2040000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1168200,NaN,4753793,627575,NaN,NaN,NaN,NaN,1643000,1220190,NaN,NaN,NaN,NaN,NaN,NaN,7030000000,565000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5381368,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17.82178218,9.97E-05,0.771371773,46000000,19.53473661,5.074896809,1.178470192,NaN,NaN,NaN,NaN,NaN,NaN,2.891304348,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1963 [YR1963],NaN,NaN,NaN,NaN,NaN,NaN,2110000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1058200,NaN,4790252,651361,NaN,NaN,NaN,NaN,1648000,1220190,NaN,NaN,NaN,NaN,NaN,NaN,9315000000,-1055000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,203.9,NaN,5441613,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.91758484,0.060404191,0.669486097,34000000,21.27158331,6.499076336,1.381163464,NaN,NaN,NaN,NaN,NaN,NaN,2.64691358,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1964 [YR1964],NaN,NaN,NaN,NaN,NaN,NaN,7340000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,947700,NaN,4827561,676191,NaN,NaN,NaN,NaN,1653000,1220190,NaN,NaN,NaN,NaN,NaN,NaN,12970000000,-2175000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,200.7,53220,5503752,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.87804878,1.186893983,0.204921664,37000000,17.39933131,6.2858508,1.417948017,NaN,NaN,NaN,NaN,NaN,NaN,2.868778281,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1965 [YR1965],NaN,NaN,NaN,NaN,NaN,NaN,8790000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,991700,NaN,4866410,702074,NaN,NaN,NaN,NaN,1658000,1220190,NaN,NaN,NaN,NaN,NaN,NaN,14660000000,-1855000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,197.5,53056,5568484,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.096774194,0.350828358,0.899686087,43000000,20.7322272,5.96978953,1.001257022,NaN,NaN,NaN,NaN,NaN,NaN,2.519911504,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1966 [YR1966],NaN,NaN,NaN,NaN,NaN,NaN,2910000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1053013,NaN,4906692,729167,NaN,NaN,NaN,NaN,1662000,1220190,NaN,NaN,NaN,NaN,NaN,NaN,18940000000,-2720000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,194.6,52971,5635859,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.384615385,0.036237168,1.121630252,36000000,21.47731337,6.403400977,2.173569107,NaN,NaN,NaN,NaN,NaN,NaN,2.408033827,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1967 [YR1967],NaN,NaN,NaN,NaN,NaN,NaN,8450000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.77661E+11,6.76116E+11,7.36665E+11,6.75612E+11,1.30621E+11,NaN,NaN,67771899900,67612799000,7699999700,5975000100,12763597800,NaN,NaN,11.36164061,35.26535221,416351880.6,280963421.4,275494520.1,274847770.9,31300697.27,65853415.58,51884354.08,NaN,NaN,6.258009919,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1153900,NaN,4948758,757441,NaN,NaN,NaN,NaN,1668000,1220190,NaN,NaN,NaN,NaN,NaN,28.80249783,27085000000,-6740000000,NaN,NaN,NaN,NaN,NaN,NaN,18.21330082,NaN,NaN,NaN,NaN,191.6,52917,5706199,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.80487805,0.185821177,0.936215093,34000000,18.38611535,7.625285193,1.852896296,NaN,NaN,NaN,NaN,NaN,NaN,2.403846154,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1968 [YR1968],NaN,NaN,NaN,NaN,NaN,NaN,23850000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-6.796398694,3.708410196,3.34049466,7.02791E+11,6.98702E+11,7.60175E+11,7.14747E+11,1.31842E+11,NaN,2.67425E+11,85105803300,84615299100,8700000300,8804100100,17776601100,NaN,NaN,10.22256998,28.31769264,392896199.9,261868027.1,343771964.7,341790647.5,35142329.66,62205958.68,71805879.84,NaN,NaN,8.159965639,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1013900,NaN,4993543,787292,NaN,NaN,NaN,NaN,1668000,1220190,NaN,NaN,NaN,NaN,NaN,21.54964678,24835000000,-13145664450,NaN,NaN,NaN,21.0864475,NaN,NaN,13.83571924,NaN,NaN,NaN,NaN,188.9,52935,5780835,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,35.41501976,0.142732764,0.404990243,34000000,22.24296336,7.761315033,2.266172938,NaN,NaN,NaN,NaN,NaN,NaN,1.990811639,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1969 [YR1969],NaN,NaN,NaN,NaN,NaN,NaN,14610000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,335278095,13.54463112,0.23099942,0.006016232,7.04415E+11,6.98744E+11,7.61364E+11,7.16802E+11,1.35506E+11,NaN,2.77342E+11,88364204000,87659102200,9900000300,8878100500,18782601200,NaN,NaN,11.20363207,30.21585562,422222246.5,297337085.4,339913833.1,337201492.1,38082695.22,64625177.82,72251722.76,NaN,NaN,6.886090323,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1179058,NaN,5042514,818898,NaN,NaN,NaN,NaN,1668000,1220190,NaN,NaN,NaN,NaN,NaN,22.92670457,30940000000,-15085632200,NaN,NaN,NaN,3.589356089,NaN,NaN,13.81102239,NaN,NaN,NaN,NaN,186.2,53003,5861412,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24.88734835,1.056223953,0.796294178,39000000,15.68717801,8.828462058,1.814877984,NaN,NaN,NaN,NaN,NaN,NaN,2.175516224,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
