NaN,"Foreign direct investment, net (BoP, current US$)","Net capital account (BoP, current US$)","Net trade in goods and services (BoP, current US$)","Exports of goods and services (BoP, current US$)","Charges for the use of intellectual property, payments (BoP, current US$)","Net secondary income (BoP, current US$)","Grants, excluding technical cooperation (BoP, current US$)","Total reserves (includes gold, current US$)","External debt stocks, long-term (DOD, current US$)",Total debt service (% of GNI),"Debt service on external debt, total (TDS, current US$)","Net financial flows, bilateral (NFL, current US$)","Commercial banks and other lending (PPG + PNG) (NFL, current US$)",Adjusted net national income (current US$),"GNI, Atlas method (current US$)",Exports of goods and services (annual % growth),GDP growth (annual %),GNI growth (annual %),GDP (constant LCU),GNI (constant LCU),Gross national expenditure (constant LCU),Gross domestic income (constant LCU),"Industry (including construction), value added (constant LCU)","Manufacturing, value added (constant LCU)","Services, value added (constant LCU)",GDP (current LCU),GNI (current LCU),Exports of goods and services (current LCU),"Industry (including construction), value added (current LCU)","Services, value added (current LCU)",Gross savings (% of GDP),Gross savings (% of GNI),Exports of goods and services (% of GDP),Trade (% of GDP),Imports of goods and services (constant 2010 US$),Exports of goods and services (constant 2010 US$),GDP (current US$),GNI (current US$),Exports of goods and services (current US$),Imports of goods and services (current US$),"Services, value added (current US$)","Net ODA provided, total (% of GNI)",Net ODA received (% of central government expense),Net ODA received (% of GNI),Net official aid received (current US$),"GDP per capita, PPP (current international $)","GDP per capita, PPP (current international $)","GNI, PPP (current international $)","Households and NPISHs Final consumption expenditure, PPP (current international $)","Gross intake ratio in first grade of primary education, total (% of relevant age group)","Over-age students, primary (% of enrollment)","Persistence to grade 5, total (% of cohort)","Government expenditure on education, total (% of government expenditure)","Compulsory education, duration (years)","Adjusted net enrollment rate, primary (% of primary school age children)","Primary education, pupils",Aquaculture production (metric tons),Cereal production (metric tons),"Plant species (higher), threatened",Rural population,Urban population,Electricity production from coal sources (% of total),Access to electricity (% of population),GDP per unit of energy use (PPP $ per kg of oil equivalent),"Annual freshwater withdrawals, total (% of internal resources)",Arable land (hectares),Land area (sq. km),Urban land area (sq. km),Rural land area (sq. km),Total natural resources rents (% of GDP),"Depositors with commercial banks (per 1,000 adults)",Bank liquid reserves to bank assets ratio (%),"Claims on central government, etc. (% GDP)",Net domestic credit (current LCU),Net foreign assets (current LCU),"Listed domestic companies, total","Stocks traded, total value (current US$)",Consumer price index (2010 = 100),"Inflation, GDP deflator (annual %)",Deposit interest rate (%),Real interest rate (%),Broad money (% of GDP),"Domestic general government health expenditure per capita, PPP (current international $)",Current health expenditure (% of GDP),Current health expenditure per capita (current US$),"External health expenditure per capita, PPP (current international $)","Mortality rate, infant (per 1,000 live births)",Number of infant deaths,"Population, total","ICT service exports (BoP, current US$)","Patent applications, residents","Trademark applications, total",Rail lines (total route-km),Gini index (World Bank estimate),Multidimensional poverty headcount ratio (% of total population),Poverty headcount ratio at national poverty lines (% of population),Start-up procedures to register a business (number),Cost of business start-up procedures (% of GNI per capita),Profit tax (% of commercial profits),Merchandise exports to high-income economies (% of total merchandise exports),Fuel exports (% of merchandise exports),Ores and metals exports (% of merchandise exports),Merchandise imports (current US$),Food imports (% of merchandise imports),Fuel imports (% of merchandise imports),Ores and metals imports (% of merchandise imports),"Bound rate, simple mean, all products (%)","Share of tariff lines with international peaks, all products (%)","Binding coverage, all products (%)",Export value index (2000 = 100),"Armed forces personnel, total","Armed forces personnel, total",Military expenditure (% of GDP),"Central government debt, total (% of GDP)",Expense (% of GDP),Tax revenue (% of GDP),Taxes on goods and services (% of revenue),"Revenue, excluding grants (% of GDP)",Social contributions (current LCU),IDA resource allocation index (1=low to 6=high),"Employers, total (% of total employment) (modeled ILO estimate)","Labor force participation rate for ages 15-24, female (%) (national estimate)",Benefit incidence of social protection and labor programs to poorest quintile (% of total SPL benefits),"Unemployment, total (% of total labor force) (modeled ILO estimate)",Increase in poverty gap at $3.20 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),Increase in poverty gap at $1.90 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),Number of people pushed below the $3.20 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure
1960 [YR1960],NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29720760.37,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,791878,58506,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,129.8,5275,850384,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1961 [YR1961],NaN,NaN,NaN,NaN,NaN,NaN,20000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,36309209714,NaN,NaN,35416970472,20169160806,NaN,NaN,786035272.2,786035272.2,89351448.97,234620323,252504454.1,NaN,NaN,11.36735871,30.04761473,192235165.9,182019020.2,159213462.5,159213462.5,18098365.39,29741482.41,28304756.2,NaN,NaN,0.63436846,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,91000,NaN,810482,65099,NaN,NaN,NaN,NaN,267000,1030700,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,126.9,5286,875581,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1962 [YR1962],NaN,NaN,NaN,NaN,NaN,NaN,0,7900000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.546103784,0.726608377,NaN,36573035474,NaN,NaN,35631838363,15880775831,NaN,NaN,811007201.2,811007201.2,93439415.79,205292782.6,295542613.4,NaN,NaN,11.52140396,32.99215825,224759134.4,188473603.6,164271590.8,164271590.8,18926393.57,35270349.64,33234742.79,NaN,NaN,1.363595493,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,93200,NaN,829272,72414,NaN,NaN,NaN,NaN,267000,1030700,NaN,NaN,NaN,NaN,NaN,-4.253969625,-8300000,64000000,NaN,NaN,NaN,2.432663329,NaN,NaN,6.880333481,NaN,NaN,NaN,NaN,124,5289,901686,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,48.14814815,5.582889206,0.012714997,36000000,5.981326503,2.633578614,0.356909338,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1963 [YR1963],NaN,NaN,NaN,NaN,NaN,NaN,10000,10100000,NaN,NaN,NaN,NaN,NaN,NaN,164696751.1,88.35616325,-1.983767575,NaN,35847511455,NaN,NaN,33508933140,11360103449,NaN,NaN,830334235.6,830334235.6,165854965.4,177791937.3,327543099.5,NaN,NaN,19.97448235,40.37869453,214711074.7,355001648.4,168186331.3,168186331.3,33594349.06,34317095.89,36657307.18,NaN,NaN,0.963217399,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,94595,NaN,848203,80531,NaN,NaN,NaN,NaN,267000,1030700,NaN,NaN,NaN,NaN,NaN,-3.733436328,-11700000,65400000,NaN,NaN,NaN,4.455239526,NaN,NaN,6.587708618,NaN,NaN,NaN,NaN,121.3,5295,928734,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86.36363636,1.077443194,68.21509043,30000000,4.974370098,2.813558471,0.191142881,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1964 [YR1964],NaN,NaN,NaN,NaN,NaN,NaN,9030000,10450000,NaN,NaN,NaN,NaN,NaN,NaN,218199569.2,130.9090826,27.69088635,NaN,45774005112,NaN,37575600204,40042578974,16356844817,NaN,2495938295,1108333467,1108333467,382517628.9,335171906.5,421726186.9,NaN,NaN,34.51286462,50.13885766,215239935.3,819731049.6,224495789.3,224495789.3,77479927.83,35079696.41,50942001.7,NaN,NaN,5.380947217,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,95000,NaN,867271,89528,NaN,NaN,NaN,NaN,266000,1030700,NaN,NaN,NaN,NaN,NaN,-2.05714261,2500000,53100000,NaN,NaN,NaN,4.534007655,NaN,NaN,4.628570872,NaN,NaN,NaN,NaN,118.5,5296,956799,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,93.68191721,0.304044224,94.33336031,16000000,8.267787736,6.839365718,0.29395976,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1965 [YR1965],NaN,NaN,NaN,NaN,NaN,NaN,7470000,9850000,NaN,NaN,NaN,NaN,NaN,NaN,261104689.8,6.141734303,16.1383305,NaN,53161165341,NaN,41762905715,47413642114,22470851477,NaN,5275075175,1260613627,1260613627,421645376.6,469240662.4,421544150.8,NaN,NaN,33.4476296,48.38067108,229783168.7,870076752.7,255340526.7,255340526.7,85405353.59,38130106.77,52226154.26,NaN,NaN,3.642195115,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,104750,NaN,886432,99478,NaN,NaN,NaN,NaN,265000,1030700,NaN,NaN,NaN,NaN,NaN,-2.411523987,400000,49400000,NaN,NaN,NaN,-2.065441092,NaN,NaN,3.656949204,NaN,NaN,NaN,NaN,115.8,5298,985910,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.185156624,93.70595601,24000000,8.698145871,4.437240455,0.814972086,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1966 [YR1966],NaN,NaN,NaN,NaN,NaN,NaN,1440000,7770000,NaN,NaN,NaN,NaN,NaN,NaN,269225105.8,6.692315241,0.230961965,NaN,53283947414,NaN,40498350096,46849630376,24522674709,NaN,5025016281,1315874010,1315874010,448506318.5,529713354.1,414719007,NaN,NaN,34.08429037,48.62504556,230392318,928305031.8,266533659.2,266533659.2,90846106.32,38756006.87,52422632.27,NaN,NaN,8.141561119,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,95100,NaN,905609,110491,NaN,NaN,NaN,NaN,266000,1030700,NaN,NaN,NaN,NaN,NaN,-1.21592188,12700000,54300000,NaN,NaN,NaN,4.143078923,NaN,NaN,4.726896308,NaN,NaN,NaN,NaN,113,5297,1016100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86.89956332,0.262863215,92.78157828,23000000,14.28446657,5.720233907,0.498744802,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1967 [YR1967],NaN,NaN,NaN,NaN,NaN,NaN,7540000,8800000,NaN,NaN,NaN,NaN,NaN,NaN,283282744.2,6.22863211,3.567132897,NaN,55184656631,NaN,42798378065,48670495680,26125885157,NaN,4264516616,1395269243,1395269243,460185519.1,543364263.9,448168721.7,NaN,NaN,32.98184357,49.07292671,284589816.1,986125737.1,282615367.5,282615367.5,93211758.39,45475873.75,55991606.51,NaN,NaN,4.419434047,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,96530,NaN,924679,122665,NaN,NaN,NaN,NaN,267000,1030700,NaN,NaN,NaN,NaN,NaN,-1.605424911,29800000,51500000,NaN,NaN,NaN,2.38156363,NaN,NaN,5.368139545,NaN,NaN,NaN,NaN,110.4,5298,1047344,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,81.31991206,0.348602612,89.0629537,37000000,17.1442931,3.65503981,0.652017488,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1968 [YR1968],NaN,NaN,NaN,NaN,NaN,NaN,2910000,7420000,NaN,NaN,NaN,NaN,NaN,NaN,311938197.4,3.426881001,10.19644263,NaN,60811528482,58919050358,46650700936,53578847057,29430406617,NaN,4005129346,1537358940,1487989040,463114103,617306496.6,464055597.6,NaN,NaN,30.12400624,45.27987376,296056225.5,1019919093,311396000.3,301396000.3,93804950.58,47194765.26,56797769.78,NaN,NaN,6.964259562,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,99964,NaN,943488,136092,NaN,NaN,NaN,NaN,268000,1030700,NaN,NaN,NaN,NaN,NaN,-1.154577473,62950000,31000000,NaN,NaN,NaN,-0.011585492,NaN,NaN,5.715646342,NaN,NaN,NaN,NaN,107.9,5306,1079580,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,79.90467962,0.291013356,89.69510315,35000000,25.69810929,7.410246269,1.07829667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1969 [YR1969],NaN,NaN,NaN,NaN,NaN,NaN,6020000,3570000,NaN,NaN,NaN,NaN,NaN,NaN,306315749.3,2.342066395,1.248532088,-0.567174328,61570779929,58584876630,47190753063,52595797975,29729666129,NaN,8670187283,1532599955,1453648725,471864696.2,622681133.7,467229873.3,NaN,NaN,30.78851038,47.02312331,292654989.5,1043806275,295062138.1,279862138.5,90845237.01,47902196.01,53781551.92,NaN,NaN,4.22350796,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,114957,NaN,961924,150821,NaN,NaN,NaN,NaN,278000,1030700,NaN,NaN,NaN,NaN,NaN,-0.555918064,93080000,6500000,NaN,NaN,NaN,-1.538874597,NaN,NaN,6.177084874,NaN,NaN,NaN,NaN,105.8,5332,1112745,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80.25399111,NaN,NaN,42000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
