NaN,"Foreign direct investment, net (BoP, current US$)","Net capital account (BoP, current US$)","Net trade in goods and services (BoP, current US$)","Exports of goods and services (BoP, current US$)","Charges for the use of intellectual property, payments (BoP, current US$)","Net secondary income (BoP, current US$)","Grants, excluding technical cooperation (BoP, current US$)","Total reserves (includes gold, current US$)","External debt stocks, long-term (DOD, current US$)",Total debt service (% of GNI),"Debt service on external debt, total (TDS, current US$)","Net financial flows, bilateral (NFL, current US$)","Commercial banks and other lending (PPG + PNG) (NFL, current US$)",Adjusted net national income (current US$),"GNI, Atlas method (current US$)",Exports of goods and services (annual % growth),GDP growth (annual %),GNI growth (annual %),GDP (constant LCU),GNI (constant LCU),Gross national expenditure (constant LCU),Gross domestic income (constant LCU),"Industry (including construction), value added (constant LCU)","Manufacturing, value added (constant LCU)","Services, value added (constant LCU)",GDP (current LCU),GNI (current LCU),Exports of goods and services (current LCU),"Industry (including construction), value added (current LCU)","Services, value added (current LCU)",Gross savings (% of GDP),Gross savings (% of GNI),Exports of goods and services (% of GDP),Trade (% of GDP),Imports of goods and services (constant 2010 US$),Exports of goods and services (constant 2010 US$),GDP (current US$),GNI (current US$),Exports of goods and services (current US$),Imports of goods and services (current US$),"Services, value added (current US$)","Net ODA provided, total (% of GNI)",Net ODA received (% of central government expense),Net ODA received (% of GNI),Net official aid received (current US$),"GDP per capita, PPP (current international $)","GDP per capita, PPP (current international $)","GNI, PPP (current international $)","Households and NPISHs Final consumption expenditure, PPP (current international $)","Gross intake ratio in first grade of primary education, total (% of relevant age group)","Over-age students, primary (% of enrollment)","Persistence to grade 5, total (% of cohort)","Government expenditure on education, total (% of government expenditure)","Compulsory education, duration (years)","Adjusted net enrollment rate, primary (% of primary school age children)","Primary education, pupils",Aquaculture production (metric tons),Cereal production (metric tons),"Plant species (higher), threatened",Rural population,Urban population,Electricity production from coal sources (% of total),Access to electricity (% of population),GDP per unit of energy use (PPP $ per kg of oil equivalent),"Annual freshwater withdrawals, total (% of internal resources)",Arable land (hectares),Land area (sq. km),Urban land area (sq. km),Rural land area (sq. km),Total natural resources rents (% of GDP),"Depositors with commercial banks (per 1,000 adults)",Bank liquid reserves to bank assets ratio (%),"Claims on central government, etc. (% GDP)",Net domestic credit (current LCU),Net foreign assets (current LCU),"Listed domestic companies, total","Stocks traded, total value (current US$)",Consumer price index (2010 = 100),"Inflation, GDP deflator (annual %)",Deposit interest rate (%),Real interest rate (%),Broad money (% of GDP),"Domestic general government health expenditure per capita, PPP (current international $)",Current health expenditure (% of GDP),Current health expenditure per capita (current US$),"External health expenditure per capita, PPP (current international $)","Mortality rate, infant (per 1,000 live births)",Number of infant deaths,"Population, total","ICT service exports (BoP, current US$)","Patent applications, residents","Trademark applications, total",Rail lines (total route-km),Gini index (World Bank estimate),Multidimensional poverty headcount ratio (% of total population),Poverty headcount ratio at national poverty lines (% of population),Start-up procedures to register a business (number),Cost of business start-up procedures (% of GNI per capita),Profit tax (% of commercial profits),Merchandise exports to high-income economies (% of total merchandise exports),Fuel exports (% of merchandise exports),Ores and metals exports (% of merchandise exports),Merchandise imports (current US$),Food imports (% of merchandise imports),Fuel imports (% of merchandise imports),Ores and metals imports (% of merchandise imports),"Bound rate, simple mean, all products (%)","Share of tariff lines with international peaks, all products (%)","Binding coverage, all products (%)",Export value index (2000 = 100),"Armed forces personnel, total","Armed forces personnel, total",Military expenditure (% of GDP),"Central government debt, total (% of GDP)",Expense (% of GDP),Tax revenue (% of GDP),Taxes on goods and services (% of revenue),"Revenue, excluding grants (% of GDP)",Social contributions (current LCU),IDA resource allocation index (1=low to 6=high),"Employers, total (% of total employment) (modeled ILO estimate)","Labor force participation rate for ages 15-24, female (%) (national estimate)",Benefit incidence of social protection and labor programs to poorest quintile (% of total SPL benefits),"Unemployment, total (% of total labor force) (modeled ILO estimate)",Increase in poverty gap at $3.20 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),Increase in poverty gap at $1.90 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),Number of people pushed below the $3.20 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure
1960 [YR1960],NaN,NaN,NaN,NaN,NaN,NaN,33890000,121690000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.51691E+12,NaN,NaN,NaN,NaN,NaN,NaN,6121001500,6106052100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80,NaN,NaN,17557798,4179144,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.06632558,NaN,NaN,NaN,NaN,0.155438057,NaN,NaN,NaN,26.40090841,NaN,NaN,NaN,NaN,NaN,NaN,21736942,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28.12064965,NaN,NaN,262000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1961 [YR1961],NaN,NaN,NaN,NaN,NaN,NaN,19710000,94990000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.47156108,NaN,3.5335E+12,NaN,NaN,NaN,NaN,NaN,NaN,6239004200,6225046000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,110,6936974,NaN,17865698,4345926,NaN,NaN,NaN,NaN,9900000,653540,NaN,NaN,NaN,NaN,NaN,14.76197115,NaN,NaN,NaN,NaN,0.155210476,1.449437153,NaN,NaN,26.51064091,NaN,NaN,NaN,NaN,NaN,NaN,22211624,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.148835,NaN,NaN,216000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.123460499,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1962 [YR1962],NaN,NaN,NaN,NaN,NaN,NaN,28470000,154184000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.08687253,NaN,3.67791E+12,NaN,NaN,NaN,NaN,NaN,NaN,6533003300,6531008500,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,140,7803006,NaN,18178562,4519105,NaN,NaN,NaN,NaN,9910000,653540,NaN,NaN,NaN,NaN,NaN,11.93937863,NaN,NaN,NaN,NaN,0.152707081,0.600847632,NaN,NaN,28.44021218,NaN,NaN,NaN,NaN,NaN,NaN,22697667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,33.47929936,0.548012712,3.559341601,219000000,13.42689379,4.907250768,1.563566562,NaN,NaN,NaN,NaN,NaN,NaN,5.690711462,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1963 [YR1963],NaN,NaN,NaN,NaN,NaN,NaN,37320000,184796000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.34929493,NaN,4.16888E+12,NaN,NaN,NaN,NaN,NaN,NaN,7475001300,7473010700,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,180,7952501,NaN,18498509,4699732,NaN,NaN,NaN,NaN,9920000,653540,NaN,NaN,NaN,NaN,NaN,19.31772239,NaN,NaN,NaN,NaN,0.148610617,0.943781956,NaN,NaN,33.39129854,NaN,NaN,NaN,NaN,NaN,NaN,23198241,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.20132141,0.53359313,3.679134619,234000000,12.32268077,3.363161948,0.973360033,NaN,NaN,NaN,NaN,NaN,NaN,6.847140605,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1964 [YR1964],NaN,NaN,NaN,NaN,NaN,NaN,20980000,214887632,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.89401884,NaN,3.92317E+12,NaN,NaN,NaN,NaN,NaN,NaN,6773000200,6788954600,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,230,8664696,NaN,18828840,4888948,NaN,NaN,NaN,NaN,9930000,653540,NaN,NaN,NaN,NaN,NaN,29.8243015,NaN,NaN,NaN,NaN,0.147927873,-3.716340394,NaN,NaN,34.00265661,NaN,NaN,NaN,NaN,NaN,NaN,23717788,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30.39785427,0.308641702,5.0049666,271000000,29.38494476,4.105090921,1.37228068,NaN,NaN,NaN,NaN,NaN,NaN,6.022345647,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1965 [YR1965],NaN,NaN,NaN,NaN,NaN,NaN,16860000,180797632,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.69264951,NaN,4.34266E+12,NaN,NaN,NaN,NaN,NaN,NaN,7623999000,7628000800,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,290,8227347,NaN,19171929,5087430,NaN,NaN,NaN,NaN,9930000,653540,NaN,NaN,NaN,NaN,NaN,24.29171357,NaN,NaN,NaN,NaN,0.174099727,1.691103361,NaN,NaN,27.76757972,NaN,NaN,NaN,NaN,NaN,NaN,24259359,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30.72573044,0.196843699,5.270858381,247000000,14.69712668,3.812593506,1.745603089,NaN,NaN,NaN,NaN,NaN,NaN,6.695620821,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1966 [YR1966],NaN,NaN,NaN,NaN,NaN,NaN,12970000,184364834,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-4.851778704,NaN,4.13196E+12,NaN,NaN,NaN,NaN,NaN,NaN,7511998000,7510000100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,350,6833424,NaN,19528001,5295939,NaN,NaN,NaN,NaN,9940000,653540,NaN,NaN,NaN,NaN,NaN,23.45581029,NaN,NaN,NaN,NaN,0.218478089,3.555211257,NaN,NaN,30.40469393,NaN,NaN,NaN,NaN,NaN,NaN,24823940,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,38.04112554,0.380723933,5.057060395,158000000,13.23090393,7.133217055,1.224172696,NaN,NaN,NaN,NaN,NaN,NaN,6.12557941,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1967 [YR1967],NaN,NaN,NaN,NaN,NaN,NaN,7840000,155498720,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.925258883,NaN,3.88713E+12,NaN,NaN,NaN,NaN,NaN,NaN,8197001200,8203001900,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,430,7957755,NaN,19895823,5514237,NaN,NaN,NaN,NaN,9940000,653540,NaN,NaN,NaN,NaN,NaN,22.93521684,NaN,NaN,NaN,NaN,0.220298739,15.99159038,NaN,NaN,28.73001897,NaN,NaN,NaN,NaN,NaN,NaN,25410060,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,40.09397024,0.36428366,4.016405233,124000000,14.49216399,9.2081975,1.063262741,NaN,NaN,NaN,NaN,NaN,NaN,5.201798523,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1968 [YR1968],NaN,NaN,NaN,NaN,NaN,NaN,12220000,169002340,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.05934018,NaN,4.3559E+12,NaN,NaN,NaN,NaN,NaN,NaN,9341001700,9350000600,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,520,8200906,NaN,20272902,5742346,NaN,NaN,NaN,NaN,9940000,653540,NaN,NaN,NaN,NaN,NaN,23.0489199,NaN,NaN,NaN,NaN,0.22553311,1.692843591,NaN,NaN,25.42553868,NaN,NaN,NaN,NaN,122.1,NaN,26015248,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,55.20072993,0.691683308,4.732851655,114000000,5.138164311,4.531002381,1.811135772,NaN,NaN,NaN,NaN,NaN,NaN,5.023197176,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1969 [YR1969],NaN,NaN,NaN,NaN,NaN,NaN,17200000,129698720,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.291741121,NaN,4.49928E+12,NaN,NaN,NaN,NaN,NaN,NaN,9914998800,9926000600,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,620,8127052,NaN,20656367,5979482,NaN,NaN,NaN,NaN,9950000,653540,NaN,NaN,NaN,NaN,NaN,24.20575179,NaN,NaN,NaN,NaN,0.215747113,2.762252862,NaN,NaN,24.17549461,NaN,NaN,NaN,NaN,120,125736,26635849,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,53.06871273,0.740251051,7.307809438,165000000,5.569287107,4.796785732,1.09768119,NaN,NaN,NaN,NaN,NaN,NaN,5.31042885,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
