NaN,"Foreign direct investment, net (BoP, current US$)","Net capital account (BoP, current US$)","Net trade in goods and services (BoP, current US$)","Exports of goods and services (BoP, current US$)","Charges for the use of intellectual property, payments (BoP, current US$)","Net secondary income (BoP, current US$)","Grants, excluding technical cooperation (BoP, current US$)","Total reserves (includes gold, current US$)","External debt stocks, long-term (DOD, current US$)",Total debt service (% of GNI),"Debt service on external debt, total (TDS, current US$)","Net financial flows, bilateral (NFL, current US$)","Commercial banks and other lending (PPG + PNG) (NFL, current US$)",Adjusted net national income (current US$),"GNI, Atlas method (current US$)",Exports of goods and services (annual % growth),GDP growth (annual %),GNI growth (annual %),GDP (constant LCU),GNI (constant LCU),Gross national expenditure (constant LCU),Gross domestic income (constant LCU),"Industry (including construction), value added (constant LCU)","Manufacturing, value added (constant LCU)","Services, value added (constant LCU)",GDP (current LCU),GNI (current LCU),Exports of goods and services (current LCU),"Industry (including construction), value added (current LCU)","Services, value added (current LCU)",Gross savings (% of GDP),Gross savings (% of GNI),Exports of goods and services (% of GDP),Trade (% of GDP),Imports of goods and services (constant 2010 US$),Exports of goods and services (constant 2010 US$),GDP (current US$),GNI (current US$),Exports of goods and services (current US$),Imports of goods and services (current US$),"Services, value added (current US$)","Net ODA provided, total (% of GNI)",Net ODA received (% of central government expense),Net ODA received (% of GNI),Net official aid received (current US$),"GDP per capita, PPP (current international $)","GDP per capita, PPP (current international $)","GNI, PPP (current international $)","Households and NPISHs Final consumption expenditure, PPP (current international $)","Gross intake ratio in first grade of primary education, total (% of relevant age group)","Over-age students, primary (% of enrollment)","Persistence to grade 5, total (% of cohort)","Government expenditure on education, total (% of government expenditure)","Compulsory education, duration (years)","Adjusted net enrollment rate, primary (% of primary school age children)","Primary education, pupils",Aquaculture production (metric tons),Cereal production (metric tons),"Plant species (higher), threatened",Rural population,Urban population,Electricity production from coal sources (% of total),Access to electricity (% of population),GDP per unit of energy use (PPP $ per kg of oil equivalent),"Annual freshwater withdrawals, total (% of internal resources)",Arable land (hectares),Land area (sq. km),Urban land area (sq. km),Rural land area (sq. km),Total natural resources rents (% of GDP),"Depositors with commercial banks (per 1,000 adults)",Bank liquid reserves to bank assets ratio (%),"Claims on central government, etc. (% GDP)",Net domestic credit (current LCU),Net foreign assets (current LCU),"Listed domestic companies, total","Stocks traded, total value (current US$)",Consumer price index (2010 = 100),"Inflation, GDP deflator (annual %)",Deposit interest rate (%),Real interest rate (%),Broad money (% of GDP),"Domestic general government health expenditure per capita, PPP (current international $)",Current health expenditure (% of GDP),Current health expenditure per capita (current US$),"External health expenditure per capita, PPP (current international $)","Mortality rate, infant (per 1,000 live births)",Number of infant deaths,"Population, total","ICT service exports (BoP, current US$)","Patent applications, residents","Trademark applications, total",Rail lines (total route-km),Gini index (World Bank estimate),Multidimensional poverty headcount ratio (% of total population),Poverty headcount ratio at national poverty lines (% of population),Start-up procedures to register a business (number),Cost of business start-up procedures (% of GNI per capita),Profit tax (% of commercial profits),Merchandise exports to high-income economies (% of total merchandise exports),Fuel exports (% of merchandise exports),Ores and metals exports (% of merchandise exports),Merchandise imports (current US$),Food imports (% of merchandise imports),Fuel imports (% of merchandise imports),Ores and metals imports (% of merchandise imports),"Bound rate, simple mean, all products (%)","Share of tariff lines with international peaks, all products (%)","Binding coverage, all products (%)",Export value index (2000 = 100),"Armed forces personnel, total","Armed forces personnel, total",Military expenditure (% of GDP),"Central government debt, total (% of GDP)",Expense (% of GDP),Tax revenue (% of GDP),Taxes on goods and services (% of revenue),"Revenue, excluding grants (% of GDP)",Social contributions (current LCU),IDA resource allocation index (1=low to 6=high),"Employers, total (% of total employment) (modeled ILO estimate)","Labor force participation rate for ages 15-24, female (%) (national estimate)",Benefit incidence of social protection and labor programs to poorest quintile (% of total SPL benefits),"Unemployment, total (% of total labor force) (modeled ILO estimate)",Increase in poverty gap at $3.20 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),Increase in poverty gap at $1.90 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),Number of people pushed below the $3.20 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure
1960 [YR1960],NaN,NaN,NaN,NaN,NaN,NaN,3010000,11736000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,39751752572,NaN,42426289536,41492081290,6997402702,3102021300,20873431311,0.4700948,0.458093345,0.111191385,NaN,NaN,NaN,NaN,23.65297053,49.82198605,401900491.5,280908180.6,223854666.7,218139688.2,52948278.33,58580562.48,NaN,NaN,NaN,3.814069674,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1071307,701822,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.446516745,0.07906,0.01058,NaN,NaN,NaN,NaN,NaN,NaN,12.64000368,NaN,NaN,NaN,NaN,133,11869,1773129,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89.31419458,NaN,NaN,72000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1961 [YR1961],NaN,NaN,NaN,NaN,NaN,NaN,4000000,13526650,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.174437213,7.497743398,NaN,42732236975,NaN,45898143275,45102282778,7754748361,3443629329,21925736339,0.505101919,0.491444796,0.118203424,NaN,NaN,NaN,NaN,23.40189562,47.9552224,436306389.9,295443598,240524723.4,234021331.6,56287344.71,59056821.33,NaN,NaN,NaN,4.008181669,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,228822,NaN,1097318,732460,NaN,NaN,NaN,NaN,1030000,120340,NaN,NaN,NaN,NaN,NaN,1.322505369,0.08212,0.00774,NaN,NaN,NaN,-0.047370486,NaN,NaN,12.06489179,NaN,NaN,NaN,NaN,131.8,11914,1829778,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,91.94729136,NaN,NaN,71000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1962 [YR1962],NaN,NaN,NaN,NaN,NaN,NaN,6020000,17241260,NaN,NaN,NaN,NaN,NaN,NaN,263372104.3,20.94745384,10.89079833,NaN,47386118727,NaN,52095823126,50513716985,9656157151,4025761623,22843635160,0.557112336,0.541472197,0.147253469,NaN,NaN,NaN,NaN,26.4315577,55.33508066,567869050.1,357331509.4,265291588.7,257843903.1,70120699.33,76678615.24,NaN,NaN,NaN,2.89322336,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,235838,NaN,1123376,764049,NaN,NaN,NaN,NaN,1030000,120340,NaN,NaN,NaN,NaN,NaN,2.502188355,0.09652,0.0155,NaN,NaN,NaN,-0.535467334,NaN,NaN,13.79973032,NaN,NaN,NaN,NaN,130.4,11942,1887425,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,92.80973451,NaN,NaN,93000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1963 [YR1963],NaN,NaN,NaN,NaN,NaN,NaN,9030000,31835560,NaN,NaN,NaN,NaN,NaN,NaN,291333211.2,25.78210182,10.86547925,NaN,52534847623,NaN,56485656651,55710762124,10773213267,4794591605,25374001687,0.615124106,0.599346876,0.177305162,NaN,NaN,NaN,NaN,28.82429093,59.06679898,635529269.6,449459083,292916241.1,285403274.3,84431029.52,88585217.81,NaN,NaN,NaN,2.725967398,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,230178,NaN,1148181,798053,NaN,NaN,NaN,NaN,1030000,120340,NaN,NaN,NaN,NaN,NaN,1.59642581,0.10028,0.02558,NaN,NaN,NaN,-0.408188198,NaN,NaN,14.58892589,NaN,NaN,NaN,NaN,129,11970,1946234,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90.61913696,NaN,NaN,111000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.80999947,NaN,NaN,NaN,NaN,NaN
1964 [YR1964],NaN,NaN,NaN,NaN,NaN,NaN,10060000,38926080,NaN,NaN,NaN,NaN,NaN,NaN,327605848,18.72374475,11.69847903,NaN,58680625755,NaN,64298743050,62682400847,11882224740,5380962211,28017563189,0.718144894,0.696458817,0.207356915,NaN,NaN,NaN,NaN,28.87396635,59.37395215,774930737,533614654.4,341973758.9,331647055.5,98741388.05,104301947.9,NaN,NaN,NaN,2.798155322,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,253631,NaN,1166668,839813,NaN,NaN,NaN,NaN,1030000,120340,NaN,NaN,NaN,NaN,NaN,0.696238328,0.1169,0.02966,NaN,NaN,NaN,4.520642361,NaN,NaN,15.18356546,NaN,NaN,NaN,NaN,127.6,12006,2006481,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90.92356688,NaN,NaN,137000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1965 [YR1965],NaN,NaN,NaN,NaN,NaN,NaN,7820000,57326320,NaN,NaN,NaN,NaN,NaN,NaN,410217958.8,10.58691379,9.525155827,NaN,64270046798,NaN,71478625234,68666608194,13182871098,6029636019,30739314540,0.793160021,0.763162017,0.2324,NaN,NaN,NaN,NaN,29.30051867,61.70759758,895300873.7,590107977.8,566542872.4,545115726.4,166000000.1,183599995.7,NaN,NaN,NaN,1.696887386,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,271200,NaN,1185038,883343,NaN,NaN,NaN,NaN,1030000,120340,NaN,NaN,NaN,NaN,NaN,-0.302587112,0.14016,0.02678,NaN,NaN,NaN,0.840469556,NaN,NaN,16.95748605,NaN,NaN,NaN,NaN,125.8,12035,2068381,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87.38255034,0.008427899,4.437148114,160000000,12.62362003,4.747391009,0.981813706,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1966 [YR1966],NaN,NaN,NaN,NaN,NaN,NaN,2940000,58109750,NaN,NaN,NaN,NaN,NaN,NaN,495602914.4,-1.518537329,3.301136398,NaN,66391688705,NaN,75057605757,69712226110,14373765542,6329920497,31970804634,0.849340022,0.805342019,0.230299994,NaN,NaN,NaN,NaN,27.11517043,61.23577948,923625635.6,581146967.9,606671444,575244299,164499996,206999991.6,NaN,NaN,NaN,2.195588924,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,288100,NaN,1203181,928795,NaN,NaN,NaN,NaN,1040000,120340,NaN,NaN,NaN,NaN,NaN,0.171898175,0.17858,0.0049,NaN,NaN,NaN,3.661066805,NaN,NaN,17.68196437,NaN,NaN,NaN,NaN,124.1,12092,2131976,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85.44303797,NaN,5.71648351,182000000,10.64828819,4.267904827,1.073692747,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1967 [YR1967],NaN,NaN,NaN,NaN,NaN,NaN,2730000,32089600,NaN,NaN,NaN,NaN,NaN,NaN,627000221.1,10.37852612,6.969513825,NaN,71018866629,NaN,81179652195,74821674194,15614364387,7213184930,33408473909,0.920040011,0.868040025,0.24346,NaN,NaN,NaN,NaN,26.46189259,61.50602078,1084341385,641461457.8,657171436.7,620028589.4,173899999.7,230300000.7,NaN,NaN,NaN,1.819270905,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,322000,NaN,1221104,976194,NaN,NaN,NaN,NaN,1040000,120340,NaN,NaN,NaN,NaN,NaN,1.095604525,0.2115,-0.03296,NaN,NaN,NaN,1.266337669,NaN,NaN,16.52102062,NaN,NaN,NaN,NaN,122.2,12170,2197298,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85.42216359,NaN,5.723661825,204000000,9.595417725,4.730466424,1.21530685,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1968 [YR1968],NaN,NaN,NaN,NaN,NaN,NaN,4190000,48613700,NaN,NaN,NaN,NaN,NaN,NaN,653136061.3,-0.39713131,1.342960053,NaN,71972621638,NaN,78318469404,75667058822,15755432945,7564117248,35311093526,0.974259973,0.906260014,0.259979993,NaN,NaN,NaN,NaN,26.68486856,57.07716619,922191214.7,638914013.5,695899980.4,647328581.1,185699995.1,211499993.3,NaN,NaN,NaN,1.748725458,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,358400,NaN,1238907,1025716,NaN,NaN,NaN,NaN,1040000,120340,NaN,NaN,NaN,NaN,NaN,1.471886396,0.23478,0.00384,NaN,NaN,NaN,4.48995933,NaN,NaN,14.0003699,NaN,NaN,NaN,NaN,120.2,12265,2264623,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80.83126551,0.007340579,4.133761758,185000000,11.15965897,5.47113909,1.28130726,NaN,NaN,NaN,NaN,NaN,NaN,1.45964543,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1969 [YR1969],NaN,NaN,NaN,NaN,NaN,NaN,-1000000,44212800,NaN,NaN,NaN,NaN,NaN,NaN,716266472.4,1.594858925,6.237703907,NaN,76462060670,NaN,81973177153,79257613195,16352173056,8122303073,36349901497,1.047160029,0.977159977,0.255360007,NaN,NaN,NaN,NaN,24.38595822,51.56613881,850025701.4,649103790.6,747971449.6,697971412.1,182400005.2,203299990.7,NaN,NaN,NaN,2.31957932,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,359483,NaN,1256776,1077503,NaN,NaN,NaN,NaN,1040000,120340,NaN,NaN,NaN,NaN,NaN,2.311012579,0.25818,-0.00338,NaN,NaN,NaN,1.171810259,NaN,NaN,13.77057909,NaN,NaN,NaN,NaN,118.1,12370,2334279,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,76.58664416,0.02135443,3.920054026,177000000,9.335929082,5.965227643,1.924507637,NaN,NaN,NaN,NaN,NaN,NaN,1.377015319,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
