NaN,"Foreign direct investment, net (BoP, current US$)","Net capital account (BoP, current US$)","Net trade in goods and services (BoP, current US$)","Exports of goods and services (BoP, current US$)","Charges for the use of intellectual property, payments (BoP, current US$)","Net secondary income (BoP, current US$)","Grants, excluding technical cooperation (BoP, current US$)","Total reserves (includes gold, current US$)","External debt stocks, long-term (DOD, current US$)",Total debt service (% of GNI),"Debt service on external debt, total (TDS, current US$)","Net financial flows, bilateral (NFL, current US$)","Commercial banks and other lending (PPG + PNG) (NFL, current US$)",Adjusted net national income (current US$),"GNI, Atlas method (current US$)",Exports of goods and services (annual % growth),GDP growth (annual %),GNI growth (annual %),GDP (constant LCU),GNI (constant LCU),Gross national expenditure (constant LCU),Gross domestic income (constant LCU),"Industry (including construction), value added (constant LCU)","Manufacturing, value added (constant LCU)","Services, value added (constant LCU)",GDP (current LCU),GNI (current LCU),Exports of goods and services (current LCU),"Industry (including construction), value added (current LCU)","Services, value added (current LCU)",Gross savings (% of GDP),Gross savings (% of GNI),Exports of goods and services (% of GDP),Trade (% of GDP),Imports of goods and services (constant 2010 US$),Exports of goods and services (constant 2010 US$),GDP (current US$),GNI (current US$),Exports of goods and services (current US$),Imports of goods and services (current US$),"Services, value added (current US$)","Net ODA provided, total (% of GNI)",Net ODA received (% of central government expense),Net ODA received (% of GNI),Net official aid received (current US$),"GDP per capita, PPP (current international $)","GDP per capita, PPP (current international $)","GNI, PPP (current international $)","Households and NPISHs Final consumption expenditure, PPP (current international $)","Gross intake ratio in first grade of primary education, total (% of relevant age group)","Over-age students, primary (% of enrollment)","Persistence to grade 5, total (% of cohort)","Government expenditure on education, total (% of government expenditure)","Compulsory education, duration (years)","Adjusted net enrollment rate, primary (% of primary school age children)","Primary education, pupils",Aquaculture production (metric tons),Cereal production (metric tons),"Plant species (higher), threatened",Rural population,Urban population,Electricity production from coal sources (% of total),Access to electricity (% of population),GDP per unit of energy use (PPP $ per kg of oil equivalent),"Annual freshwater withdrawals, total (% of internal resources)",Arable land (hectares),Land area (sq. km),Urban land area (sq. km),Rural land area (sq. km),Total natural resources rents (% of GDP),"Depositors with commercial banks (per 1,000 adults)",Bank liquid reserves to bank assets ratio (%),"Claims on central government, etc. (% GDP)",Net domestic credit (current LCU),Net foreign assets (current LCU),"Listed domestic companies, total","Stocks traded, total value (current US$)",Consumer price index (2010 = 100),"Inflation, GDP deflator (annual %)",Deposit interest rate (%),Real interest rate (%),Broad money (% of GDP),"Domestic general government health expenditure per capita, PPP (current international $)",Current health expenditure (% of GDP),Current health expenditure per capita (current US$),"External health expenditure per capita, PPP (current international $)","Mortality rate, infant (per 1,000 live births)",Number of infant deaths,"Population, total","ICT service exports (BoP, current US$)","Patent applications, residents","Trademark applications, total",Rail lines (total route-km),Gini index (World Bank estimate),Multidimensional poverty headcount ratio (% of total population),Poverty headcount ratio at national poverty lines (% of population),Start-up procedures to register a business (number),Cost of business start-up procedures (% of GNI per capita),Profit tax (% of commercial profits),Merchandise exports to high-income economies (% of total merchandise exports),Fuel exports (% of merchandise exports),Ores and metals exports (% of merchandise exports),Merchandise imports (current US$),Food imports (% of merchandise imports),Fuel imports (% of merchandise imports),Ores and metals imports (% of merchandise imports),"Bound rate, simple mean, all products (%)","Share of tariff lines with international peaks, all products (%)","Binding coverage, all products (%)",Export value index (2000 = 100),"Armed forces personnel, total","Armed forces personnel, total",Military expenditure (% of GDP),"Central government debt, total (% of GDP)",Expense (% of GDP),Tax revenue (% of GDP),Taxes on goods and services (% of revenue),"Revenue, excluding grants (% of GDP)",Social contributions (current LCU),IDA resource allocation index (1=low to 6=high),"Employers, total (% of total employment) (modeled ILO estimate)","Labor force participation rate for ages 15-24, female (%) (national estimate)",Benefit incidence of social protection and labor programs to poorest quintile (% of total SPL benefits),"Unemployment, total (% of total labor force) (modeled ILO estimate)",Increase in poverty gap at $3.20 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),Increase in poverty gap at $1.90 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),Number of people pushed below the $3.20 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure
1960 [YR1960],NaN,NaN,NaN,NaN,NaN,NaN,8180000,19273663.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.03879E+11,NaN,NaN,NaN,NaN,NaN,NaN,3872999900,3872999900,NaN,NaN,3818999800,NaN,NaN,NaN,NaN,NaN,NaN,508334414,508334414,NaN,NaN,501246856.5,NaN,NaN,1.695734078,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,9753394,351656,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002581978,40600000,168800000,NaN,NaN,NaN,NaN,NaN,NaN,5.411825598,NaN,NaN,NaN,NaN,216.4,94161,10105050,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,38000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1961 [YR1961],NaN,NaN,NaN,NaN,NaN,NaN,10250000,24149979.65,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.908265969,NaN,1.05861E+11,NaN,NaN,NaN,NaN,NaN,NaN,4052999900,4052999900,NaN,NaN,3996999900,NaN,NaN,NaN,NaN,NaN,NaN,531959561.6,531959561.6,NaN,NaN,524609515.7,NaN,NaN,2.017070529,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,3167000,NaN,9900620,366644,NaN,NaN,NaN,NaN,1806000,143000,NaN,NaN,NaN,NaN,NaN,-0.157907727,44500000,212800000,NaN,NaN,NaN,2.687999993,NaN,NaN,6.323710988,NaN,NaN,NaN,NaN,213.7,93759,10267264,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,73.29000092,NaN,NaN,NaN,NaN,NaN
1962 [YR1962],NaN,NaN,NaN,NaN,NaN,NaN,8320000,24045769.17,NaN,NaN,NaN,NaN,NaN,NaN,557304587.8,NaN,1.910320034,NaN,1.07883E+11,NaN,NaN,NaN,NaN,NaN,NaN,4374000100,4374000100,NaN,NaN,4312999900,NaN,NaN,NaN,NaN,NaN,NaN,574091101.2,574091101.2,NaN,NaN,566084774.9,NaN,NaN,1.574662966,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,3177026,NaN,10056300,376845,NaN,NaN,NaN,NaN,1806000,143000,NaN,NaN,NaN,NaN,NaN,-0.038866026,54000000,210100000,NaN,NaN,NaN,5.897091001,NaN,NaN,6.097393551,NaN,NaN,NaN,NaN,210.4,93211,10433145,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1963 [YR1963],NaN,NaN,NaN,NaN,NaN,NaN,15030000,36256169.6,NaN,NaN,NaN,NaN,NaN,NaN,550796922.7,NaN,1.895111643,NaN,1.09928E+11,NaN,NaN,NaN,NaN,NaN,NaN,4616000000,4616000000,NaN,NaN,4552000000,NaN,NaN,NaN,NaN,NaN,NaN,496947904.4,496947904.4,NaN,NaN,490057812.2,NaN,NaN,3.263923475,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,3181578,NaN,10217234,387387,NaN,NaN,NaN,NaN,1816000,143000,NaN,NaN,NaN,NaN,NaN,-0.353119584,40700000,305200000,NaN,NaN,NaN,3.569925065,NaN,NaN,7.259532062,NaN,NaN,NaN,NaN,206.6,92471,10604621,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,79000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1964 [YR1964],NaN,NaN,NaN,NaN,NaN,NaN,18170000,49119654.4,NaN,NaN,NaN,NaN,NaN,NaN,555852297.5,NaN,7.532448553,NaN,1.18208E+11,NaN,NaN,NaN,NaN,NaN,NaN,5023000100,5023000100,NaN,NaN,4952999900,NaN,NaN,NaN,NaN,NaN,NaN,496098775.3,496098775.3,NaN,NaN,489185175.3,NaN,NaN,3.928653071,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,3280500,NaN,10385499,398468,NaN,NaN,NaN,NaN,1806000,143000,NaN,NaN,NaN,NaN,NaN,-0.806291045,34900000,408200000,NaN,NaN,2.969465233,1.19471968,NaN,NaN,8.333664974,NaN,NaN,NaN,NaN,202.5,91659,10783967,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,98000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1965 [YR1965],NaN,NaN,NaN,NaN,NaN,NaN,16380000,59519654.4,NaN,NaN,NaN,NaN,NaN,NaN,581373471.4,NaN,-1.203189017,NaN,1.16786E+11,NaN,NaN,NaN,NaN,NaN,56282398534,5601999900,5601999900,435000000,608000000,1298000000,NaN,NaN,7.765084037,21.688683,NaN,NaN,735267082.3,735267082.3,57094106.84,102375639.8,170363564.8,NaN,NaN,2.431769297,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,3335000,NaN,10562854,410058,NaN,NaN,NaN,NaN,1806000,143000,NaN,NaN,NaN,NaN,NaN,-0.403427355,83500000,483700000,NaN,NaN,3.221034447,12.88519396,NaN,NaN,9.378793456,NaN,NaN,NaN,NaN,198,90810,10972912,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,108000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1966 [YR1966],NaN,NaN,NaN,NaN,NaN,NaN,8200000,44983566.82,NaN,NaN,NaN,NaN,NaN,NaN,726360995.3,NaN,7.040643143,NaN,1.25008E+11,NaN,NaN,NaN,NaN,NaN,56950244601,6909000200,6909000200,390000000,624000000,1361000300,NaN,NaN,5.644810953,14.40150487,NaN,NaN,906811943.8,906811943.8,51187819.92,79406746.29,178632405.8,NaN,NaN,1.698257254,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3,3126325,NaN,10750207,422322,NaN,NaN,NaN,NaN,1806000,143000,NaN,NaN,NaN,NaN,NaN,0.406715866,160700000,361500000,NaN,NaN,3.68450815,15.21881351,NaN,NaN,8.046026688,NaN,NaN,NaN,NaN,193.7,90073,11172529,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,75000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1967 [YR1967],NaN,NaN,NaN,NaN,NaN,NaN,7810000,46384505.6,NaN,NaN,NaN,NaN,NaN,NaN,860826499.9,NaN,-1.571497498,NaN,1.23044E+11,NaN,NaN,NaN,NaN,NaN,58081801213,6415000100,6415000100,441000000,630000000,1445000200,NaN,NaN,6.874512753,13.82696783,NaN,NaN,841974025.5,841974025.5,57881611.76,58537865.86,189657461.6,NaN,NaN,1.685325099,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9,3165429,NaN,10947796,435171,NaN,NaN,NaN,NaN,1819000,143000,NaN,NaN,NaN,NaN,NaN,0.5674201,169300000,498300000,NaN,NaN,3.581034951,-5.667665037,NaN,NaN,9.378020119,NaN,NaN,NaN,NaN,189.1,89269,11382967,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,61000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1968 [YR1968],NaN,NaN,NaN,NaN,NaN,NaN,5930000,65316279.5,NaN,NaN,NaN,NaN,NaN,NaN,870241429.5,NaN,0.675483464,NaN,1.23875E+11,NaN,NaN,NaN,NaN,NaN,58456183330,7173000200,7173000200,491000000,723000000,1508000300,NaN,NaN,6.84511343,14.34546175,NaN,NaN,772228643.4,772228643.4,52859926.58,57919838.08,162347831.2,NaN,NaN,1.411499005,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18,3291912,NaN,11155204,448724,NaN,NaN,NaN,NaN,1819000,143000,NaN,NaN,NaN,NaN,NaN,-2.371392657,-4000000,688400000,NaN,NaN,3.623286507,11.0658262,NaN,NaN,10.00975854,NaN,NaN,NaN,NaN,184.7,88610,11603928,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,56000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1969 [YR1969],NaN,NaN,NaN,NaN,NaN,NaN,7650000,83753427.2,NaN,NaN,NaN,NaN,NaN,NaN,863564491.1,NaN,4.463421601,NaN,1.29404E+11,NaN,NaN,NaN,NaN,NaN,61420656468,7984999900,7984999900,560000000,827000000,1692999900,NaN,NaN,7.013149743,17.2323108,NaN,NaN,788641965.4,788641965.4,55308641.98,80592592.59,167209866.7,NaN,NaN,1.374514752,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26,3416913,NaN,11371801,462853,NaN,NaN,NaN,NaN,1819000,143000,NaN,NaN,NaN,NaN,NaN,-2.623669413,-5900000,922600000,NaN,NaN,3.770304677,6.563831082,NaN,NaN,11.55165951,NaN,NaN,NaN,NaN,180.4,88042,11834654,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
