NaN,"Foreign direct investment, net (BoP, current US$)","Net capital account (BoP, current US$)","Net trade in goods and services (BoP, current US$)","Exports of goods and services (BoP, current US$)","Charges for the use of intellectual property, payments (BoP, current US$)","Net secondary income (BoP, current US$)","Grants, excluding technical cooperation (BoP, current US$)","Total reserves (includes gold, current US$)","External debt stocks, long-term (DOD, current US$)",Total debt service (% of GNI),"Debt service on external debt, total (TDS, current US$)","Net financial flows, bilateral (NFL, current US$)","Commercial banks and other lending (PPG + PNG) (NFL, current US$)",Adjusted net national income (current US$),"GNI, Atlas method (current US$)",Exports of goods and services (annual % growth),GDP growth (annual %),GNI growth (annual %),GDP (constant LCU),GNI (constant LCU),Gross national expenditure (constant LCU),Gross domestic income (constant LCU),"Industry (including construction), value added (constant LCU)","Manufacturing, value added (constant LCU)","Services, value added (constant LCU)",GDP (current LCU),GNI (current LCU),Exports of goods and services (current LCU),"Industry (including construction), value added (current LCU)","Services, value added (current LCU)",Gross savings (% of GDP),Gross savings (% of GNI),Exports of goods and services (% of GDP),Trade (% of GDP),Imports of goods and services (constant 2010 US$),Exports of goods and services (constant 2010 US$),GDP (current US$),GNI (current US$),Exports of goods and services (current US$),Imports of goods and services (current US$),"Services, value added (current US$)","Net ODA provided, total (% of GNI)",Net ODA received (% of central government expense),Net ODA received (% of GNI),Net official aid received (current US$),"GDP per capita, PPP (current international $)","GDP per capita, PPP (current international $)","GNI, PPP (current international $)","Households and NPISHs Final consumption expenditure, PPP (current international $)","Gross intake ratio in first grade of primary education, total (% of relevant age group)","Over-age students, primary (% of enrollment)","Persistence to grade 5, total (% of cohort)","Government expenditure on education, total (% of government expenditure)","Compulsory education, duration (years)","Adjusted net enrollment rate, primary (% of primary school age children)","Primary education, pupils",Aquaculture production (metric tons),Cereal production (metric tons),"Plant species (higher), threatened",Rural population,Urban population,Electricity production from coal sources (% of total),Access to electricity (% of population),GDP per unit of energy use (PPP $ per kg of oil equivalent),"Annual freshwater withdrawals, total (% of internal resources)",Arable land (hectares),Land area (sq. km),Urban land area (sq. km),Rural land area (sq. km),Total natural resources rents (% of GDP),"Depositors with commercial banks (per 1,000 adults)",Bank liquid reserves to bank assets ratio (%),"Claims on central government, etc. (% GDP)",Net domestic credit (current LCU),Net foreign assets (current LCU),"Listed domestic companies, total","Stocks traded, total value (current US$)",Consumer price index (2010 = 100),"Inflation, GDP deflator (annual %)",Deposit interest rate (%),Real interest rate (%),Broad money (% of GDP),"Domestic general government health expenditure per capita, PPP (current international $)",Current health expenditure (% of GDP),Current health expenditure per capita (current US$),"External health expenditure per capita, PPP (current international $)","Mortality rate, infant (per 1,000 live births)",Number of infant deaths,"Population, total","ICT service exports (BoP, current US$)","Patent applications, residents","Trademark applications, total",Rail lines (total route-km),Gini index (World Bank estimate),Multidimensional poverty headcount ratio (% of total population),Poverty headcount ratio at national poverty lines (% of population),Start-up procedures to register a business (number),Cost of business start-up procedures (% of GNI per capita),Profit tax (% of commercial profits),Merchandise exports to high-income economies (% of total merchandise exports),Fuel exports (% of merchandise exports),Ores and metals exports (% of merchandise exports),Merchandise imports (current US$),Food imports (% of merchandise imports),Fuel imports (% of merchandise imports),Ores and metals imports (% of merchandise imports),"Bound rate, simple mean, all products (%)","Share of tariff lines with international peaks, all products (%)","Binding coverage, all products (%)",Export value index (2000 = 100),"Armed forces personnel, total","Armed forces personnel, total",Military expenditure (% of GDP),"Central government debt, total (% of GDP)",Expense (% of GDP),Tax revenue (% of GDP),Taxes on goods and services (% of revenue),"Revenue, excluding grants (% of GDP)",Social contributions (current LCU),IDA resource allocation index (1=low to 6=high),"Employers, total (% of total employment) (modeled ILO estimate)","Labor force participation rate for ages 15-24, female (%) (national estimate)",Benefit incidence of social protection and labor programs to poorest quintile (% of total SPL benefits),"Unemployment, total (% of total labor force) (modeled ILO estimate)",Increase in poverty gap at $3.20 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),Increase in poverty gap at $1.90 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),Number of people pushed below the $3.20 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure
1960 [YR1960],NaN,NaN,NaN,NaN,NaN,NaN,NaN,1885730632,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.47806E+11,NaN,NaN,NaN,NaN,NaN,NaN,21169567744,21279516672,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12276734172,12340496162,NaN,NaN,NaN,0.314,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,77600,NaN,NaN,4623139,6863492,79.69241947,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.815969,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.5,3989,11486631,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,69.19696364,NaN,NaN,5361000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.703901797,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,56.27999878,NaN,NaN,NaN,NaN,NaN
1961 [YR1961],NaN,NaN,NaN,NaN,NaN,NaN,NaN,1962252519,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.295546673,NaN,1.48243E+11,NaN,NaN,NaN,NaN,NaN,NaN,22349805568,22344574976,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13493833740,13490675738,NaN,NaN,NaN,0.451,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85400,1926025,NaN,4653157,6985555,79.20449387,NaN,NaN,NaN,992000,33760,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17.03586123,5.264058181,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16,3924,11638712,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,69.31874222,NaN,NaN,6085000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.087283879,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1962 [YR1962],NaN,NaN,NaN,NaN,NaN,NaN,NaN,1946625625,NaN,NaN,NaN,NaN,NaN,NaN,14408058404,NaN,6.843507321,NaN,1.58388E+11,NaN,NaN,NaN,NaN,NaN,NaN,24060491776,24246530048,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14647057370,14760309970,NaN,NaN,NaN,0.485,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,96500,2178426,NaN,4698192,7107497,76.33341989,NaN,NaN,NaN,966000,33760,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17.45002775,0.758713636,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.6,3860,11805689,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,70.44955659,23.58410998,4.501228978,6398000000,29.7344071,25.78745526,8.17098865,NaN,NaN,NaN,NaN,NaN,NaN,4.12277525,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1963 [YR1963],NaN,NaN,NaN,NaN,NaN,NaN,NaN,2103079422,NaN,NaN,NaN,NaN,NaN,NaN,15619276783,NaN,3.62462153,NaN,1.64129E+11,NaN,NaN,NaN,NaN,NaN,NaN,26104293376,26169886720,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15891241386,15931171970,NaN,NaN,NaN,0.259,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89700,1947084,NaN,4740078,7225888,69.1717499,NaN,NaN,NaN,949000,33760,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18.0160472,4.699470325,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.2,3791,11965966,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,71.66686935,10.30517321,2.388985733,7117000000,16.61848946,12.41323928,4.224750431,NaN,NaN,NaN,NaN,NaN,NaN,4.010834482,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1964 [YR1964],NaN,NaN,NaN,NaN,NaN,NaN,NaN,2351701688,NaN,NaN,NaN,NaN,NaN,NaN,17737823955,NaN,8.274903931,NaN,1.77711E+11,NaN,NaN,NaN,NaN,NaN,NaN,30717179904,30806808576,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18699380731,18753943053,NaN,NaN,NaN,0.287,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,115800,2115764,NaN,4781723,7345397,59.7257889,NaN,NaN,NaN,937000,33760,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.06525972,8.677988753,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.9,3714,12127120,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,71.69830949,9.219921426,3.44108002,8414000000,16.41230411,11.21926541,5.428979403,NaN,NaN,NaN,NaN,NaN,NaN,3.932652684,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1965 [YR1965],NaN,NaN,NaN,NaN,NaN,NaN,NaN,2419709454,NaN,NaN,NaN,NaN,NaN,NaN,20879346988,NaN,8.643094936,NaN,1.93071E+11,NaN,NaN,NaN,NaN,NaN,NaN,34497335296,35237310464,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21000586933,21451053983,NaN,NaN,NaN,0.363,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,110500,1779071,NaN,4825313,7469419,53.17473011,NaN,NaN,NaN,928000,33760,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.8103351,3.371800224,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.5,3623,12294732,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,71.79717122,8.826346018,3.697261523,8925000000,16.18261633,10.35261777,5.899154144,NaN,NaN,NaN,NaN,NaN,NaN,3.571290331,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1966 [YR1966],NaN,NaN,NaN,NaN,NaN,NaN,NaN,2458087678,NaN,NaN,NaN,NaN,NaN,NaN,22886496013,NaN,2.741104335,NaN,1.98363E+11,NaN,NaN,NaN,NaN,NaN,NaN,37563596800,38336565248,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22867203317,23337755346,NaN,NaN,NaN,0.451,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,92400,1623393,NaN,4865910,7590341,49.72550145,NaN,NaN,NaN,897000,33760,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.95183564,5.98328851,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.2,3514,12456251,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,71.22279747,7.082576243,3.982715844,9540000000,15.82863735,9.638061469,5.780844124,NaN,NaN,NaN,NaN,NaN,NaN,3.370284285,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1967 [YR1967],736187844.8,8287292.812,-230662983.3,8787292811,65193370.12,-87016574.52,NaN,2629210308,NaN,NaN,NaN,NaN,NaN,NaN,25230102768,NaN,5.280014747,NaN,2.08836E+11,NaN,NaN,NaN,NaN,NaN,NaN,41210945536,42087137280,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25087562181,25620952391,NaN,NaN,NaN,0.495,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85600,1840765,NaN,4898433,7699768,51.9197498,NaN,NaN,NaN,873000,33760,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.67578862,4.207618676,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.8,3388,12598201,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,71.45958423,7.921237621,3.988897854,9875000000,16.2090988,10.47901789,5.704586853,NaN,NaN,NaN,NaN,NaN,NaN,3.523335806,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1968 [YR1968],709668507.8,1657458.562,-48618784.5,9899999993,73480662.93,-68232044.15,NaN,2798136289,NaN,NaN,NaN,NaN,NaN,NaN,28413648370,NaN,6.41613404,NaN,2.22236E+11,NaN,NaN,NaN,NaN,NaN,NaN,45695545344,46613921792,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27817605743,28376676300,NaN,NaN,NaN,0.487,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,113600,1653767,NaN,4926402,7803319,46.63731818,NaN,NaN,NaN,864000,33760,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.48229958,4.196662444,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.4,3241,12729721,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,73.13937997,7.742177668,3.858368133,10963000000,16.1204705,10.20953505,5.819602562,NaN,NaN,NaN,NaN,NaN,NaN,3.25633492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1969 [YR1969],823204419.3,2762430.937,-118232044.1,11641712699,101933701.6,-55248618.74,NaN,2540014732,NaN,NaN,NaN,NaN,NaN,NaN,32827993929,NaN,6.429449078,NaN,2.36524E+11,2.43459E+11,2.3957E+11,2.39668E+11,81453987600,29120931300,1.2615E+11,55910316500,57206295400,22951724100,18947602200,29396739400,31.4965968,30.78305777,41.05096436,80.93886948,75263061289,73474664295,34035946604,34824886310,13972084310,13576226090,NaN,0.499,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,105900,1617120,NaN,4960471,7917513,32.20170149,NaN,NaN,NaN,845000,33760,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24.1508903,14.96251919,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13,3078,12877984,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,74.05468938,8.314144856,3.865516757,12983000000,16.02608096,9.748584857,5.936046021,NaN,NaN,NaN,NaN,NaN,NaN,3.228928603,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
