,"Foreign direct investment, net (BoP, current US$)","Net capital account (BoP, current US$)","Net trade in goods and services (BoP, current US$)","Exports of goods and services (BoP, current US$)","Charges for the use of intellectual property, payments (BoP, current US$)","Net secondary income (BoP, current US$)","Grants, excluding technical cooperation (BoP, current US$)","Total reserves (includes gold, current US$)","External debt stocks, long-term (DOD, current US$)",Total debt service (% of GNI),"Debt service on external debt, total (TDS, current US$)","Net financial flows, bilateral (NFL, current US$)","Commercial banks and other lending (PPG + PNG) (NFL, current US$)",Adjusted net national income (current US$),"GNI, Atlas method (current US$)",Exports of goods and services (annual % growth),GDP growth (annual %),GNI growth (annual %),GDP (constant LCU),GNI (constant LCU),Gross national expenditure (constant LCU),Gross domestic income (constant LCU),"Industry (including construction), value added (constant LCU)","Manufacturing, value added (constant LCU)","Services, value added (constant LCU)",GDP (current LCU),GNI (current LCU),Exports of goods and services (current LCU),"Industry (including construction), value added (current LCU)","Services, value added (current LCU)",Gross savings (% of GDP),Gross savings (% of GNI),Exports of goods and services (% of GDP),Trade (% of GDP),Imports of goods and services (constant 2010 US$),Exports of goods and services (constant 2010 US$),GDP (current US$),GNI (current US$),Exports of goods and services (current US$),Imports of goods and services (current US$),"Services, value added (current US$)","Net ODA provided, total (% of GNI)",Net ODA received (% of central government expense),Net ODA received (% of GNI),Net official aid received (current US$),"GDP per capita, PPP (current international $)","GDP per capita, PPP (current international $)","GNI, PPP (current international $)","Households and NPISHs Final consumption expenditure, PPP (current international $)","Gross intake ratio in first grade of primary education, total (% of relevant age group)","Over-age students, primary (% of enrollment)","Persistence to grade 5, total (% of cohort)","Government expenditure on education, total (% of government expenditure)","Compulsory education, duration (years)","Adjusted net enrollment rate, primary (% of primary school age children)","Primary education, pupils",Aquaculture production (metric tons),Cereal production (metric tons),"Plant species (higher), threatened",Rural population,Urban population,Electricity production from coal sources (% of total),Access to electricity (% of population),GDP per unit of energy use (PPP $ per kg of oil equivalent),"Annual freshwater withdrawals, total (% of internal resources)",Arable land (hectares),Land area (sq. km),Urban land area (sq. km),Rural land area (sq. km),Total natural resources rents (% of GDP),"Depositors with commercial banks (per 1,000 adults)",Bank liquid reserves to bank assets ratio (%),"Claims on central government, etc. (% GDP)",Net domestic credit (current LCU),Net foreign assets (current LCU),"Listed domestic companies, total","Stocks traded, total value (current US$)",Consumer price index (2010 = 100),"Inflation, GDP deflator (annual %)",Deposit interest rate (%),Real interest rate (%),Broad money (% of GDP),"Domestic general government health expenditure per capita, PPP (current international $)",Current health expenditure (% of GDP),Current health expenditure per capita (current US$),"External health expenditure per capita, PPP (current international $)","Mortality rate, infant (per 1,000 live births)",Number of infant deaths,"Population, total","ICT service exports (BoP, current US$)","Patent applications, residents","Trademark applications, total",Rail lines (total route-km),Gini index (World Bank estimate),Multidimensional poverty headcount ratio (% of total population),Poverty headcount ratio at national poverty lines (% of population),Start-up procedures to register a business (number),Cost of business start-up procedures (% of GNI per capita),Profit tax (% of commercial profits),Merchandise exports to high-income economies (% of total merchandise exports),Fuel exports (% of merchandise exports),Ores and metals exports (% of merchandise exports),Merchandise imports (current US$),Food imports (% of merchandise imports),Fuel imports (% of merchandise imports),Ores and metals imports (% of merchandise imports),"Bound rate, simple mean, all products (%)","Share of tariff lines with international peaks, all products (%)","Binding coverage, all products (%)",Export value index (2000 = 100),"Armed forces personnel, total","Armed forces personnel, total",Military expenditure (% of GDP),"Central government debt, total (% of GDP)",Expense (% of GDP),Tax revenue (% of GDP),Taxes on goods and services (% of revenue),"Revenue, excluding grants (% of GDP)",Social contributions (current LCU),IDA resource allocation index (1=low to 6=high),"Employers, total (% of total employment) (modeled ILO estimate)","Labor force participation rate for ages 15-24, female (%) (national estimate)",Benefit incidence of social protection and labor programs to poorest quintile (% of total SPL benefits),"Unemployment, total (% of total labor force) (modeled ILO estimate)",Increase in poverty gap at $3.20 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),Increase in poverty gap at $1.90 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),Number of people pushed below the $3.20 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure
1960 [YR1960],NaN,NaN,NaN,NaN,NaN,NaN,NaN,287599928.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2818149376,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5485854792,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2800,NaN,NaN,569279,1802521,14.41673832,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.504268424,619300000,214800000,NaN,NaN,4.9921648,NaN,NaN,NaN,30.26099352,NaN,NaN,NaN,NaN,22.5,1368,2371800,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89.35968754,NaN,NaN,786000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.69073316,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1961 [YR1961],NaN,NaN,NaN,NaN,NaN,NaN,NaN,180797777.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2917775360,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5670064168,NaN,NaN,NaN,NaN,0.234,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1000,388705,NaN,568025,1851675,13.70839937,NaN,NaN,NaN,3000000,263310,NaN,NaN,NaN,NaN,NaN,5.956592902,661800000,150700000,NaN,NaN,5.081909161,NaN,NaN,NaN,28.61083864,NaN,NaN,NaN,NaN,21.7,1328,2419700,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,91.6614024,NaN,NaN,901000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.485627021,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1962 [YR1962],NaN,NaN,NaN,NaN,NaN,NaN,NaN,250806530.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3143524096,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6077496268,NaN,NaN,NaN,NaN,0.183,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2600,347057,NaN,567559,1914441,5.536374846,NaN,NaN,NaN,2990000,263310,NaN,NaN,NaN,NaN,NaN,5.204350118,613000000,204200000,NaN,NaN,5.218147725,NaN,NaN,NaN,26.54982035,NaN,NaN,NaN,NaN,20.9,1281,2482000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89.19709887,NaN,NaN,753000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.309936646,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1963 [YR1963],NaN,NaN,NaN,NaN,NaN,NaN,NaN,212806686.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3433923840,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6638937283,NaN,NaN,NaN,NaN,0.18,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1900,383614,NaN,563832,1967968,12.64078732,NaN,NaN,NaN,2985000,263310,NaN,NaN,NaN,NaN,NaN,5.203959328,650700000,193800000,NaN,NaN,5.320866885,NaN,NaN,NaN,24.89863025,NaN,NaN,NaN,NaN,20,1234,2531800,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90.32935455,NaN,NaN,903000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.198289031,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1964 [YR1964],NaN,NaN,NaN,NaN,NaN,NaN,NaN,257817310.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3762478336,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7274144351,NaN,NaN,NaN,NaN,0.185,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1900,456916,NaN,560592,2024808,8.107835218,NaN,NaN,NaN,2980000,263310,NaN,NaN,NaN,NaN,NaN,4.579428361,656700000,217100000,NaN,NaN,5.505761979,NaN,NaN,NaN,24.26060481,NaN,NaN,NaN,NaN,19.3,1191,2585400,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88.34551246,0.18348603,0.238675065,961000000,8.886493547,8.437081897,5.859334142,NaN,NaN,NaN,NaN,NaN,NaN,2.472833658,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1965 [YR1965],NaN,NaN,NaN,NaN,NaN,NaN,NaN,173296693.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4066656256,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5654463586,NaN,NaN,NaN,NaN,0.179,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2400,430035,NaN,554829,2073571,7.133592737,NaN,NaN,NaN,2980000,263310,NaN,NaN,NaN,NaN,NaN,4.517962386,731760000,135490000,NaN,NaN,5.692819679,NaN,NaN,NaN,22.37415564,NaN,NaN,NaN,NaN,18.7,1155,2628400,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86.7503767,0.417442966,0.268393946,1052000000,7.656661826,6.770589258,5.789991791,NaN,NaN,NaN,NaN,NaN,NaN,2.355558421,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1966 [YR1966],NaN,NaN,NaN,NaN,NaN,NaN,NaN,179191433.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4217161728,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5863733231,NaN,NaN,NaN,NaN,0.167,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2300,478741,NaN,550673,2125227,6.394593189,NaN,NaN,NaN,2975000,263310,NaN,NaN,NaN,NaN,NaN,4.406755348,770760000,105060000,NaN,NaN,5.849684231,NaN,NaN,NaN,22.54241268,NaN,NaN,NaN,NaN,18.3,1128,2675900,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85.4993033,0.658618555,0.547514033,1095000000,6.615026669,7.486316571,6.80764939,NaN,NaN,NaN,NaN,NaN,NaN,2.639267145,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1967 [YR1967],NaN,NaN,NaN,NaN,NaN,NaN,NaN,218554188.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4373687296,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5961418094,NaN,NaN,NaN,NaN,0.167,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1800,538443,NaN,548852,2175248,2.993301111,NaN,NaN,NaN,2975000,263310,NaN,NaN,NaN,NaN,NaN,5.423626947,827412482.8,38910000,NaN,NaN,6.203994928,NaN,NaN,NaN,21.15011745,NaN,NaN,NaN,NaN,17.9,1108,2724100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87.36274908,0.60576867,0.487980277,955000000,7.022832202,7.785471875,6.770431224,NaN,NaN,NaN,NaN,NaN,NaN,2.623715037,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1968 [YR1968],NaN,NaN,NaN,NaN,NaN,NaN,NaN,161709283.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4625532928,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5180597621,NaN,NaN,NaN,NaN,0.208,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1800,752326,NaN,542008,2206092,3.623890234,NaN,NaN,NaN,2970000,263310,NaN,NaN,NaN,NaN,NaN,2.914876417,797238568.5,132860000,NaN,NaN,6.471506534,NaN,NaN,NaN,20.57903413,NaN,NaN,NaN,NaN,17.5,1090,2748100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86.26290986,0.602278337,0.609715811,895000000,7.429147918,9.164692703,6.774118561,NaN,NaN,NaN,NaN,NaN,NaN,2.727682597,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1969 [YR1969],NaN,NaN,NaN,NaN,NaN,NaN,NaN,209849305.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5144274944,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5761588762,NaN,NaN,NaN,NaN,0.218,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1300,804506,NaN,535289,2237511,7.868405094,NaN,NaN,NaN,2970000,263310,NaN,NaN,NaN,NaN,NaN,2.827414973,877440000,231760000,NaN,NaN,6.79024392,NaN,NaN,NaN,20.80332042,NaN,NaN,NaN,NaN,17.2,1073,2772800,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85.98655833,0.612036716,0.609385702,1003000000,6.522278764,8.112001114,7.396655065,NaN,NaN,NaN,NaN,NaN,NaN,2.566225166,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
