NaN,"Foreign direct investment, net (BoP, current US$)","Net capital account (BoP, current US$)","Net trade in goods and services (BoP, current US$)","Exports of goods and services (BoP, current US$)","Charges for the use of intellectual property, payments (BoP, current US$)","Net secondary income (BoP, current US$)","Grants, excluding technical cooperation (BoP, current US$)","Total reserves (includes gold, current US$)","External debt stocks, long-term (DOD, current US$)",Total debt service (% of GNI),"Debt service on external debt, total (TDS, current US$)","Net financial flows, bilateral (NFL, current US$)","Commercial banks and other lending (PPG + PNG) (NFL, current US$)",Adjusted net national income (current US$),"GNI, Atlas method (current US$)",Exports of goods and services (annual % growth),GDP growth (annual %),GNI growth (annual %),GDP (constant LCU),GNI (constant LCU),Gross national expenditure (constant LCU),Gross domestic income (constant LCU),"Industry (including construction), value added (constant LCU)","Manufacturing, value added (constant LCU)","Services, value added (constant LCU)",GDP (current LCU),GNI (current LCU),Exports of goods and services (current LCU),"Industry (including construction), value added (current LCU)","Services, value added (current LCU)",Gross savings (% of GDP),Gross savings (% of GNI),Exports of goods and services (% of GDP),Trade (% of GDP),Imports of goods and services (constant 2010 US$),Exports of goods and services (constant 2010 US$),GDP (current US$),GNI (current US$),Exports of goods and services (current US$),Imports of goods and services (current US$),"Services, value added (current US$)","Net ODA provided, total (% of GNI)",Net ODA received (% of central government expense),Net ODA received (% of GNI),Net official aid received (current US$),"GDP per capita, PPP (current international $)","GDP per capita, PPP (current international $)","GNI, PPP (current international $)","Households and NPISHs Final consumption expenditure, PPP (current international $)","Gross intake ratio in first grade of primary education, total (% of relevant age group)","Over-age students, primary (% of enrollment)","Persistence to grade 5, total (% of cohort)","Government expenditure on education, total (% of government expenditure)","Compulsory education, duration (years)","Adjusted net enrollment rate, primary (% of primary school age children)","Primary education, pupils",Aquaculture production (metric tons),Cereal production (metric tons),"Plant species (higher), threatened",Rural population,Urban population,Electricity production from coal sources (% of total),Access to electricity (% of population),GDP per unit of energy use (PPP $ per kg of oil equivalent),"Annual freshwater withdrawals, total (% of internal resources)",Arable land (hectares),Land area (sq. km),Urban land area (sq. km),Rural land area (sq. km),Total natural resources rents (% of GDP),"Depositors with commercial banks (per 1,000 adults)",Bank liquid reserves to bank assets ratio (%),"Claims on central government, etc. (% GDP)",Net domestic credit (current LCU),Net foreign assets (current LCU),"Listed domestic companies, total","Stocks traded, total value (current US$)",Consumer price index (2010 = 100),"Inflation, GDP deflator (annual %)",Deposit interest rate (%),Real interest rate (%),Broad money (% of GDP),"Domestic general government health expenditure per capita, PPP (current international $)",Current health expenditure (% of GDP),Current health expenditure per capita (current US$),"External health expenditure per capita, PPP (current international $)","Mortality rate, infant (per 1,000 live births)",Number of infant deaths,"Population, total","ICT service exports (BoP, current US$)","Patent applications, residents","Trademark applications, total",Rail lines (total route-km),Gini index (World Bank estimate),Multidimensional poverty headcount ratio (% of total population),Poverty headcount ratio at national poverty lines (% of population),Start-up procedures to register a business (number),Cost of business start-up procedures (% of GNI per capita),Profit tax (% of commercial profits),Merchandise exports to high-income economies (% of total merchandise exports),Fuel exports (% of merchandise exports),Ores and metals exports (% of merchandise exports),Merchandise imports (current US$),Food imports (% of merchandise imports),Fuel imports (% of merchandise imports),Ores and metals imports (% of merchandise imports),"Bound rate, simple mean, all products (%)","Share of tariff lines with international peaks, all products (%)","Binding coverage, all products (%)",Export value index (2000 = 100),"Armed forces personnel, total","Armed forces personnel, total",Military expenditure (% of GDP),"Central government debt, total (% of GDP)",Expense (% of GDP),Tax revenue (% of GDP),Taxes on goods and services (% of revenue),"Revenue, excluding grants (% of GDP)",Social contributions (current LCU),IDA resource allocation index (1=low to 6=high),"Employers, total (% of total employment) (modeled ILO estimate)","Labor force participation rate for ages 15-24, female (%) (national estimate)",Benefit incidence of social protection and labor programs to poorest quintile (% of total SPL benefits),"Unemployment, total (% of total labor force) (modeled ILO estimate)",Increase in poverty gap at $3.20 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),Increase in poverty gap at $1.90 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),Number of people pushed below the $3.20 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure
1960 [YR1960],NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.53871E+12,NaN,NaN,NaN,NaN,NaN,NaN,1.10222E+11,1.10522E+11,7826199600,4283095300,22915155700,NaN,NaN,7.100410732,14.50575374,NaN,NaN,449526872.6,450750752.2,31918254.3,33289006.81,93456825.07,NaN,NaN,0.008874084,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3192453,196311,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3388764,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,74.4,NaN,NaN,13000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1961 [YR1961],NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.546393036,NaN,1.60867E+12,NaN,NaN,NaN,NaN,NaN,NaN,1.19144E+11,1.19544E+11,9675942900,4106120200,27005686800,NaN,NaN,8.121235141,17.826578,NaN,NaN,485785234.9,487417354.9,39451761.21,47147122.59,110110396.3,NaN,NaN,0.408274344,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1064534,NaN,3280772,205554,NaN,NaN,NaN,NaN,11499000,1266700,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.393850587,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3486326,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,100,NaN,NaN,19000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1962 [YR1962],NaN,NaN,NaN,NaN,NaN,NaN,1010000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,539522252.6,NaN,10.27871349,NaN,1.77402E+12,NaN,NaN,NaN,NaN,NaN,NaN,1.30283E+11,1.30684E+11,12094904300,4585553900,26685440000,NaN,NaN,9.283574914,22.23136708,NaN,NaN,531736492.9,533373629.8,49364155.67,68848135.96,108913984.1,NaN,NaN,0.821187976,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1269397,NaN,3372934,215294,NaN,NaN,NaN,NaN,11499000,1266700,NaN,NaN,NaN,NaN,NaN,-0.729182799,3920000000,1580000000,NaN,NaN,NaN,-0.842792521,NaN,NaN,3.807101771,NaN,NaN,NaN,NaN,NaN,NaN,3588228,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,57.63888889,0.790350918,0.145013963,27000000,24.25256952,4.226298262,1.379628804,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1963 [YR1963],NaN,NaN,NaN,NaN,NaN,NaN,2110000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,591801818,NaN,9.428229321,NaN,1.94128E+12,NaN,NaN,NaN,NaN,NaN,NaN,1.43652E+11,1.43052E+11,13375637500,5191066100,33669692900,NaN,NaN,9.311149974,19.63342023,NaN,NaN,586294761.5,583845617.7,54590784.54,60518929.75,137418119.4,NaN,NaN,0.772464517,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1336449,NaN,3462774,231206,NaN,NaN,NaN,NaN,11499000,1266700,NaN,NaN,NaN,NaN,NaN,-0.661321188,4710000000,1713000000,NaN,NaN,11.66688483,0.761495903,NaN,NaN,4.093230087,NaN,NaN,NaN,NaN,NaN,NaN,3693980,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,71.93877551,0.001702636,0.301478355,23000000,20.05263531,12.01817969,1.295839128,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1964 [YR1964],NaN,NaN,NaN,NaN,NaN,NaN,12640000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,590993858.7,NaN,0.13103989,NaN,1.94382E+12,NaN,NaN,NaN,NaN,NaN,NaN,1.42806E+11,1.42206E+11,13233334300,5140074000,31526703600,NaN,NaN,9.26666053,23.36530126,NaN,NaN,582816358.3,580367055.2,54007613.44,82169184.48,128666138.3,NaN,NaN,2.560448517,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1345929,NaN,3554518,248285,NaN,NaN,NaN,NaN,11499000,1266700,NaN,NaN,NaN,NaN,NaN,-1.043374548,5080000000,882000000,NaN,NaN,11.78402223,-0.719001722,NaN,NaN,4.019442888,NaN,NaN,NaN,NaN,NaN,NaN,3802803,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,65.56603774,0.003834509,0.235763646,34000000,15.00048633,8.07091243,1.498719654,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1965 [YR1965],NaN,NaN,NaN,NaN,NaN,NaN,14090000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,654043486.7,NaN,6.919761819,NaN,2.07833E+12,NaN,NaN,NaN,NaN,NaN,NaN,1.6502E+11,1.6452E+11,15651900400,5729202200,47565787100,NaN,NaN,9.484851018,23.5004195,NaN,NaN,673383604.2,671343376.7,63869431.64,94378540.19,194097822.6,NaN,NaN,2.253690234,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1070392,NaN,3647605,266512,NaN,NaN,NaN,NaN,11498000,1266700,NaN,NaN,NaN,NaN,NaN,-0.624166798,7610000000,-384000000,NaN,NaN,12.29942678,8.076817873,NaN,NaN,4.072233864,NaN,NaN,NaN,NaN,NaN,NaN,3914117,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60.71428571,0.123897291,0.348906209,38000000,13.36963033,6.327457124,1.319451114,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1966 [YR1966],NaN,NaN,NaN,NaN,NaN,NaN,5890000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,682375985.1,NaN,-0.382497198,NaN,2.07038E+12,NaN,NaN,NaN,NaN,NaN,NaN,1.72539E+11,1.72138E+11,21485789200,6419501100,50734501900,NaN,NaN,12.45271437,28.53846804,NaN,NaN,702296184.4,700663887.8,87454937.84,112969634.3,206507783.8,NaN,NaN,3.149869728,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1142666,NaN,3741978,285985,NaN,NaN,NaN,NaN,11498000,1266700,NaN,NaN,NaN,NaN,NaN,0.69549492,11040000000,-134000000,NaN,NaN,13.5996519,4.957885137,NaN,NaN,4.248314802,NaN,NaN,NaN,NaN,NaN,NaN,4027963,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,71.83908046,0.618895694,0.15792863,45000000,14.17678761,8.534466416,2.036412225,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1967 [YR1967],NaN,NaN,NaN,NaN,NaN,NaN,11530000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,694819598.1,NaN,0.12286867,NaN,2.07292E+12,NaN,NaN,NaN,NaN,NaN,NaN,1.63735E+11,1.62235E+11,13802099700,7259598800,40704397300,NaN,NaN,8.429535609,22.8043547,NaN,NaN,665586975.1,659489477.1,56105891.08,95676923.54,165464424.3,NaN,NaN,3.338946446,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1378187,NaN,3834038,310554,NaN,NaN,NaN,NaN,11498000,1266700,NaN,NaN,NaN,NaN,NaN,3.49955732,14860000000,122000000,NaN,NaN,13.6582206,-5.219075094,NaN,NaN,4.824869604,NaN,NaN,NaN,NaN,127.3,NaN,4144592,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,70.86614173,0.172804723,0.21299615,46000000,16.21274718,5.943186366,1.169759781,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1968 [YR1968],NaN,NaN,NaN,NaN,NaN,NaN,10440000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,697444522.5,NaN,0.383494662,NaN,2.08087E+12,NaN,NaN,NaN,NaN,NaN,NaN,1.58742E+11,1.58494E+11,12663799800,7706902000,41236103700,NaN,NaN,7.977598559,22.29032529,NaN,NaN,641214210.7,640214211.1,51153495.63,91775237.75,166566977,NaN,NaN,4.787460055,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,989433,NaN,3926821,337106,NaN,NaN,NaN,NaN,12175000,1266700,NaN,NaN,NaN,NaN,NaN,3.946151525,16760200000,-101600000,NaN,NaN,13.2589773,-3.419814221,NaN,NaN,5.02135529,NaN,NaN,NaN,NaN,128.8,30534,4263927,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,68.9527308,0.059052445,0.362089467,41000000,13.63187242,5.594740787,1.760822785,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1969 [YR1969],NaN,NaN,NaN,NaN,NaN,NaN,11480000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,648673952.3,NaN,-5.485945812,NaN,1.96672E+12,NaN,NaN,NaN,NaN,NaN,NaN,1.62701E+11,1.62077E+11,15224999900,8532900900,46103102400,NaN,NaN,9.357655967,25.83069491,NaN,NaN,625867922.7,623467923.6,58566567.01,103099466.6,177346499.4,NaN,NaN,5.353924365,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1424953,NaN,4020185,365742,NaN,NaN,NaN,NaN,12173000,1266700,NaN,NaN,NaN,NaN,NaN,4.281227509,17029600000,1733700000,NaN,NaN,14.67048294,8.443112383,NaN,NaN,5.663148942,NaN,NaN,NaN,NaN,130.2,31619,4385927,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,70.31718026,0.212027047,0.252018825,48000000,13.4447432,4.243637263,1.419395869,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1970 [YR1970],NaN,NaN,NaN,NaN,NaN,NaN,14590000,NaN,31677128.3,0.370001477,2399151.4,9209495.4,NaN,NaN,671218507.8,NaN,3.055778922,NaN,2.02681E+12,NaN,NaN,NaN,NaN,NaN,NaN,1.79639E+11,1.79224E+11,19351400400,12469600300,50628395000,NaN,NaN,10.77238304,28.87307425,NaN,NaN,649916708.2,648416708.8,70011517.24,117639416.5,183168694.6,NaN,NaN,4.864156103,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1140650,NaN,4113978,396666,NaN,NaN,NaN,NaN,11197000,1266700,NaN,NaN,2.156426494,NaN,NaN,-0.91438945,8404400000,4474051960,NaN,NaN,14.8344753,7.1366438,NaN,NaN,5.341824648,NaN,NaN,NaN,NaN,131.8,32763,4510644,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,64.8874009,0.01569127,0.164840556,58000000,14.17980023,3.971958162,1.879562426,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1971 [YR1971],NaN,NaN,NaN,NaN,NaN,NaN,19130000,NaN,41560136.9,0.316539613,2191304.4,6493484.4,NaN,NaN,724353881.5,NaN,5.679320644,NaN,2.14192E+12,NaN,NaN,NaN,NaN,NaN,NaN,1.9098E+11,1.90621E+11,23620100100,14127599600,51835400200,NaN,NaN,12.36783977,27.968903,NaN,NaN,693573595.3,692268616.9,85780070.93,108204855.2,188248326.1,NaN,NaN,5.906666631,NaN,NaN,NaN,NaN,NaN,13.39787,NaN,54.84016037,NaN,NaN,NaN,88594,NaN,1255710,NaN,4208000,429988,NaN,NaN,NaN,NaN,11226000,1266700,NaN,NaN,1.798095555,NaN,NaN,-1.216881363,7414000000,8619426830,NaN,NaN,15.45627966,0.599832907,NaN,NaN,6.354068565,NaN,NaN,NaN,NaN,133.4,33961,4637988,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,59.26533375,0.03728444,18.73721743,54000000,13.00111175,8.456515417,1.226349781,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1972 [YR1972],NaN,NaN,NaN,NaN,NaN,NaN,24180000,NaN,54794401.3,0.318189684,2359993.9,4697739.5,NaN,NaN,733501262.1,NaN,-5.166272306,NaN,2.03127E+12,NaN,NaN,NaN,NaN,NaN,NaN,1.87201E+11,1.86927E+11,26608199700,15166300200,55108698000,NaN,NaN,14.21370632,34.70831407,NaN,NaN,742779740.4,741694033.9,105576530.9,152229794.3,218661360.9,NaN,NaN,5.829897465,NaN,NaN,NaN,NaN,NaN,13.71577,NaN,60.82204819,NaN,NaN,NaN,94509,NaN,1162245,NaN,4302276,465951,NaN,NaN,NaN,NaN,11173000,1266700,NaN,NaN,2.000097798,NaN,NaN,-1.7895204,7327000000,10994665940,NaN,NaN,16.96344751,3.361177372,NaN,NaN,6.889386448,NaN,NaN,NaN,NaN,134.7,35148,4768227,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,59.33195465,0.013692964,17.37154593,66000000,15.90580888,8.857887279,1.803268503,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1973 [YR1973],NaN,NaN,NaN,NaN,NaN,NaN,48380000,NaN,64940664.6,0.277510962,2627314.7,5793364,NaN,NaN,768021638.4,NaN,-17.04758357,NaN,1.68498E+12,NaN,NaN,NaN,NaN,NaN,NaN,2.10939E+11,2.11019E+11,32726700000,19781400600,64021604300,NaN,NaN,15.51476946,39.24978802,NaN,NaN,946385033,946742673.9,146829456.1,224624663.3,287235111.9,NaN,NaN,7.483553919,NaN,NaN,NaN,NaN,NaN,14.66681,9.65686,58.73368073,NaN,NaN,10.60855,100892,NaN,803477,NaN,4397426,504725,NaN,NaN,NaN,NaN,10810000,1266700,NaN,NaN,2.761242739,NaN,NaN,-1.559692591,9174000000,11911917055,NaN,NaN,18.96259243,35.83750425,NaN,NaN,7.349992077,NaN,NaN,NaN,NaN,135.6,36299,4902151,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,65.05405666,0.00977654,39.38228513,86000000,20.00008921,9.512236749,1.533274888,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
