,"Foreign direct investment, net (BoP, current US$)","Net capital account (BoP, current US$)","Net trade in goods and services (BoP, current US$)","Exports of goods and services (BoP, current US$)","Charges for the use of intellectual property, payments (BoP, current US$)","Net secondary income (BoP, current US$)","Grants, excluding technical cooperation (BoP, current US$)","Total reserves (includes gold, current US$)","External debt stocks, long-term (DOD, current US$)",Total debt service (% of GNI),"Debt service on external debt, total (TDS, current US$)","Net financial flows, bilateral (NFL, current US$)","Commercial banks and other lending (PPG + PNG) (NFL, current US$)",Adjusted net national income (current US$),"GNI, Atlas method (current US$)",Exports of goods and services (annual % growth),GDP growth (annual %),GNI growth (annual %),GDP (constant LCU),GNI (constant LCU),Gross national expenditure (constant LCU),Gross domestic income (constant LCU),"Industry (including construction), value added (constant LCU)","Manufacturing, value added (constant LCU)","Services, value added (constant LCU)",GDP (current LCU),GNI (current LCU),Exports of goods and services (current LCU),"Industry (including construction), value added (current LCU)","Services, value added (current LCU)",Gross savings (% of GDP),Gross savings (% of GNI),Exports of goods and services (% of GDP),Trade (% of GDP),Imports of goods and services (constant 2010 US$),Exports of goods and services (constant 2010 US$),GDP (current US$),GNI (current US$),Exports of goods and services (current US$),Imports of goods and services (current US$),"Services, value added (current US$)","Net ODA provided, total (% of GNI)",Net ODA received (% of central government expense),Net ODA received (% of GNI),Net official aid received (current US$),"GDP per capita, PPP (current international $)","GDP per capita, PPP (current international $)","GNI, PPP (current international $)","Households and NPISHs Final consumption expenditure, PPP (current international $)","Gross intake ratio in first grade of primary education, total (% of relevant age group)","Over-age students, primary (% of enrollment)","Persistence to grade 5, total (% of cohort)","Government expenditure on education, total (% of government expenditure)","Compulsory education, duration (years)","Adjusted net enrollment rate, primary (% of primary school age children)","Primary education, pupils",Aquaculture production (metric tons),Cereal production (metric tons),"Plant species (higher), threatened",Rural population,Urban population,Electricity production from coal sources (% of total),Access to electricity (% of population),GDP per unit of energy use (PPP $ per kg of oil equivalent),"Annual freshwater withdrawals, total (% of internal resources)",Arable land (hectares),Land area (sq. km),Urban land area (sq. km),Rural land area (sq. km),Total natural resources rents (% of GDP),"Depositors with commercial banks (per 1,000 adults)",Bank liquid reserves to bank assets ratio (%),"Claims on central government, etc. (% GDP)",Net domestic credit (current LCU),Net foreign assets (current LCU),"Listed domestic companies, total","Stocks traded, total value (current US$)",Consumer price index (2010 = 100),"Inflation, GDP deflator (annual %)",Deposit interest rate (%),Real interest rate (%),Broad money (% of GDP),"Domestic general government health expenditure per capita, PPP (current international $)",Current health expenditure (% of GDP),Current health expenditure per capita (current US$),"External health expenditure per capita, PPP (current international $)","Mortality rate, infant (per 1,000 live births)",Number of infant deaths,"Population, total","ICT service exports (BoP, current US$)","Patent applications, residents","Trademark applications, total",Rail lines (total route-km),Gini index (World Bank estimate),Multidimensional poverty headcount ratio (% of total population),Poverty headcount ratio at national poverty lines (% of population),Start-up procedures to register a business (number),Cost of business start-up procedures (% of GNI per capita),Profit tax (% of commercial profits),Merchandise exports to high-income economies (% of total merchandise exports),Fuel exports (% of merchandise exports),Ores and metals exports (% of merchandise exports),Merchandise imports (current US$),Food imports (% of merchandise imports),Fuel imports (% of merchandise imports),Ores and metals imports (% of merchandise imports),"Bound rate, simple mean, all products (%)","Share of tariff lines with international peaks, all products (%)","Binding coverage, all products (%)",Export value index (2000 = 100),"Armed forces personnel, total","Armed forces personnel, total",Military expenditure (% of GDP),"Central government debt, total (% of GDP)",Expense (% of GDP),Tax revenue (% of GDP),Taxes on goods and services (% of revenue),"Revenue, excluding grants (% of GDP)",Social contributions (current LCU),IDA resource allocation index (1=low to 6=high),"Employers, total (% of total employment) (modeled ILO estimate)","Labor force participation rate for ages 15-24, female (%) (national estimate)",Benefit incidence of social protection and labor programs to poorest quintile (% of total SPL benefits),"Unemployment, total (% of total labor force) (modeled ILO estimate)",Increase in poverty gap at $3.20 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),Increase in poverty gap at $1.90 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),Number of people pushed below the $3.20 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure
1960 [YR1960],NaN,NaN,NaN,NaN,NaN,NaN,16310000,343000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.27798E+12,NaN,NaN,NaN,NaN,NaN,NaN,2997268700,2981276900,276993500,NaN,NaN,NaN,NaN,9.241530464,26.16651287,NaN,NaN,4196092258,4173704186,387783144.3,710187876.2,NaN,NaN,NaN,0.782039118,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2005,NaN,NaN,38182622,6955836,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1.911740512,53500000,221000000,NaN,NaN,0.065887434,NaN,NaN,NaN,9.208383619,NaN,NaN,NaN,NaN,NaN,NaN,45138458,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88.30662625,NaN,NaN,604000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.695833333,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1961 [YR1961],NaN,NaN,NaN,NaN,NaN,NaN,7460000,307070650,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.191795489,NaN,9.29577E+12,NaN,NaN,NaN,NaN,NaN,NaN,3190921200,3175821100,293090200,NaN,NaN,NaN,NaN,9.185128107,25.48501041,NaN,NaN,4467200336,4446060619,410318073.6,728148397,NaN,NaN,NaN,0.683526429,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2173,7891000,NaN,38862446,7201117,NaN,NaN,NaN,NaN,23676510,910770,NaN,NaN,NaN,NaN,NaN,-0.394870296,105600000,223600000,NaN,NaN,0.070024603,6.257169154,NaN,NaN,9.401673724,NaN,NaN,NaN,NaN,NaN,NaN,46063563,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88.35151266,NaN,NaN,623000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.849453322,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1962 [YR1962],NaN,NaN,NaN,NaN,NaN,NaN,14260000,289024970,NaN,NaN,NaN,NaN,NaN,NaN,4686373218,NaN,4.102992589,NaN,9.67718E+12,NaN,NaN,NaN,NaN,NaN,NaN,3506715100,3481725700,289975200,NaN,NaN,NaN,NaN,8.269140541,21.82950078,NaN,NaN,4909302954,4874318494,405957160.9,665719165.6,NaN,NaN,NaN,0.635576021,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2361,8324000,NaN,39571833,7457989,NaN,NaN,NaN,NaN,24400000,910770,NaN,NaN,NaN,NaN,NaN,0.057033433,197400000,203500000,NaN,NaN,0.073711841,5.5653009,NaN,NaN,9.490363218,NaN,NaN,NaN,NaN,NaN,NaN,47029822,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,91.66136219,10.29888257,1.085720003,569000000,14.12995054,7.015470985,2.13499955,NaN,NaN,NaN,NaN,NaN,NaN,1.096979332,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1963 [YR1963],NaN,NaN,NaN,NaN,NaN,NaN,18340000,210030680,NaN,NaN,NaN,NaN,NaN,NaN,5202052336,NaN,8.57861892,NaN,1.05073E+13,NaN,NaN,NaN,NaN,NaN,NaN,3689708800,3646126100,323925700,NaN,NaN,NaN,NaN,8.779167071,22.31646302,NaN,NaN,5165489010,5104474451,453486910.3,699267534.6,NaN,NaN,NaN,0.405918367,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2547,8203000,NaN,40305876,7727058,NaN,NaN,NaN,NaN,26516910,910770,NaN,NaN,NaN,NaN,NaN,0.723634342,264300000,153571430,NaN,NaN,0.071725561,-3.094752455,NaN,NaN,9.802941631,NaN,NaN,NaN,NaN,NaN,NaN,48032934,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,91.65567904,10.99046206,5.741796856,579000000,12.13926421,7.565160147,2.336251331,NaN,NaN,NaN,NaN,NaN,NaN,1.103190767,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.85000038,NaN,NaN,NaN,NaN,NaN
1964 [YR1964],NaN,NaN,NaN,NaN,NaN,NaN,27330000,228053520,NaN,NaN,NaN,NaN,NaN,NaN,5500940818,NaN,4.950488659,NaN,1.10275E+13,NaN,NaN,NaN,NaN,NaN,NaN,3966381100,3889420300,364991500,NaN,NaN,NaN,NaN,9.202128863,24.61532252,NaN,NaN,5552822484,5445079518,510977880.4,855867282.7,NaN,NaN,NaN,0.825883278,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2730,8105000,NaN,41060046,8006714,NaN,NaN,NaN,NaN,27471070,910770,NaN,NaN,NaN,NaN,NaN,2.153096181,337400000,132171430,NaN,NaN,0.072340101,2.427808991,NaN,NaN,10.86128612,NaN,NaN,NaN,NaN,192.7,NaN,49066760,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87.15687906,13.41365896,7.009789427,711000000,9.237442657,7.613317533,2.218942331,NaN,NaN,NaN,NaN,NaN,NaN,1.233704293,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1965 [YR1965],NaN,NaN,NaN,NaN,NaN,NaN,30310000,239053520,NaN,NaN,NaN,NaN,NaN,NaN,5708707893,NaN,4.884976838,NaN,1.15662E+13,NaN,NaN,NaN,NaN,NaN,NaN,4196100000,4038700000,457100000,NaN,NaN,NaN,NaN,10.89344868,26.9107028,NaN,NaN,5874422512,5654066919,639927201.5,940921181.6,NaN,NaN,NaN,1.331961553,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2904,8413000,NaN,41831249,8296672,NaN,NaN,NaN,NaN,29570130,910770,NaN,NaN,NaN,NaN,NaN,1.958961893,364300000,159671430,NaN,NaN,0.075308547,0.86444495,NaN,NaN,11.16512953,NaN,NaN,NaN,NaN,188.3,415959,50127921,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90.46539539,25.88165633,6.524862432,770000000,9.142000828,6.305473651,2.162736283,NaN,NaN,NaN,NaN,NaN,NaN,1.401452035,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1966 [YR1966],NaN,NaN,NaN,NaN,NaN,NaN,5190000,215353490,NaN,NaN,NaN,NaN,NaN,NaN,5783962838,NaN,-4.250514188,NaN,1.10746E+13,NaN,NaN,NaN,NaN,NaN,NaN,4547800000,4369000000,473600000,NaN,NaN,NaN,NaN,10.41382647,25.03628128,NaN,NaN,6366792664,6116477670,663026739.5,930981380.4,NaN,NaN,NaN,1.117636723,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3084,6140000,NaN,42619500,8598473,NaN,NaN,NaN,NaN,27105990,910770,NaN,NaN,NaN,NaN,NaN,2.814547693,457000000,137700002.4,NaN,NaN,0.082606206,13.19287149,NaN,NaN,11.42970227,NaN,NaN,NaN,NaN,183.9,414952,51217973,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90.65097839,33.41830842,6.441938251,718000000,11.01746824,1.486461764,2.627359747,NaN,NaN,NaN,NaN,NaN,NaN,1.101150952,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1967 [YR1967],NaN,NaN,NaN,NaN,NaN,NaN,5530000,112359200,NaN,NaN,NaN,NaN,NaN,NaN,5164457486,NaN,-15.74362821,NaN,9.33104E+12,NaN,NaN,NaN,NaN,NaN,NaN,3716600000,3652600000,411700000,NaN,NaN,NaN,NaN,11.07732874,28.48840338,NaN,NaN,5203135937,5113537729,576368472.6,905921881.6,NaN,NaN,NaN,1.423671965,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3265,7375000,NaN,43429921,8912312,NaN,NaN,NaN,NaN,29212870,910770,NaN,NaN,NaN,NaN,NaN,5.04224291,491200000,55200002.35,NaN,NaN,0.079528021,-3.006705397,NaN,NaN,12.21546575,NaN,NaN,NaN,NaN,179.7,414656,52342233,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,91.29408293,30.84418813,6.174158111,626000000,10.47026896,3.931010282,2.677624344,NaN,NaN,NaN,NaN,NaN,NaN,5.80820061,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1968 [YR1968],NaN,NaN,NaN,NaN,NaN,NaN,26050000,121194900,NaN,NaN,NaN,NaN,NaN,NaN,5267542721,NaN,-1.248360246,NaN,9.21455E+12,NaN,NaN,NaN,NaN,NaN,NaN,3715000000,3601600000,368800000,NaN,NaN,NaN,NaN,9.927321669,25.66352624,NaN,NaN,5200895982,5042139157,516309673.8,818423631.5,NaN,NaN,NaN,1.364500283,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3434,7408000,NaN,44266211,9239985,NaN,NaN,NaN,NaN,29171950,910770,NaN,NaN,NaN,NaN,NaN,8.69717362,620600000,79607145.21,NaN,NaN,0.07914942,1.22054697,NaN,NaN,14.0538358,NaN,NaN,NaN,NaN,175.6,415097,53506196,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87.41766593,18.13521092,7.155461423,540000000,8.102568129,7.532299978,2.685183382,NaN,NaN,NaN,NaN,NaN,NaN,9.15913829,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1969 [YR1969],NaN,NaN,NaN,NaN,NaN,NaN,44610000,132459200,NaN,NaN,NaN,NaN,NaN,NaN,6593383642,NaN,24.19738395,NaN,1.14442E+13,NaN,NaN,NaN,NaN,NaN,NaN,4738800000,4587300000,539800000,NaN,NaN,NaN,NaN,11.39106947,26.82113615,NaN,NaN,6634187316,6422091558,755704885.9,1023659527,NaN,NaN,NaN,1.325269187,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3613,8799000,NaN,45134444,9582595,NaN,NaN,NaN,NaN,34714030,910770,NaN,NaN,NaN,NaN,NaN,10.55963535,822500000,94214288.95,NaN,NaN,0.087187819,2.706306991,NaN,NaN,13.98244281,NaN,NaN,NaN,NaN,171.4,415731,54717039,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88.80655664,42.56831149,4.759451675,696000000,8.784484522,6.284966707,2.77130568,NaN,NaN,NaN,NaN,NaN,NaN,10.31695788,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
