NaN,"Foreign direct investment, net (BoP, current US$)","Net capital account (BoP, current US$)","Net trade in goods and services (BoP, current US$)","Exports of goods and services (BoP, current US$)","Charges for the use of intellectual property, payments (BoP, current US$)","Net secondary income (BoP, current US$)","Grants, excluding technical cooperation (BoP, current US$)","Total reserves (includes gold, current US$)","External debt stocks, long-term (DOD, current US$)",Total debt service (% of GNI),"Debt service on external debt, total (TDS, current US$)","Net financial flows, bilateral (NFL, current US$)","Commercial banks and other lending (PPG + PNG) (NFL, current US$)",Adjusted net national income (current US$),"GNI, Atlas method (current US$)",Exports of goods and services (annual % growth),GDP growth (annual %),GNI growth (annual %),GDP (constant LCU),GNI (constant LCU),Gross national expenditure (constant LCU),Gross domestic income (constant LCU),"Industry (including construction), value added (constant LCU)","Manufacturing, value added (constant LCU)","Services, value added (constant LCU)",GDP (current LCU),GNI (current LCU),Exports of goods and services (current LCU),"Industry (including construction), value added (current LCU)","Services, value added (current LCU)",Gross savings (% of GDP),Gross savings (% of GNI),Exports of goods and services (% of GDP),Trade (% of GDP),Imports of goods and services (constant 2010 US$),Exports of goods and services (constant 2010 US$),GDP (current US$),GNI (current US$),Exports of goods and services (current US$),Imports of goods and services (current US$),"Services, value added (current US$)","Net ODA provided, total (% of GNI)",Net ODA received (% of central government expense),Net ODA received (% of GNI),Net official aid received (current US$),"GDP per capita, PPP (current international $)","GDP per capita, PPP (current international $)","GNI, PPP (current international $)","Households and NPISHs Final consumption expenditure, PPP (current international $)","Gross intake ratio in first grade of primary education, total (% of relevant age group)","Over-age students, primary (% of enrollment)","Persistence to grade 5, total (% of cohort)","Government expenditure on education, total (% of government expenditure)","Compulsory education, duration (years)","Adjusted net enrollment rate, primary (% of primary school age children)","Primary education, pupils",Aquaculture production (metric tons),Cereal production (metric tons),"Plant species (higher), threatened",Rural population,Urban population,Electricity production from coal sources (% of total),Access to electricity (% of population),GDP per unit of energy use (PPP $ per kg of oil equivalent),"Annual freshwater withdrawals, total (% of internal resources)",Arable land (hectares),Land area (sq. km),Urban land area (sq. km),Rural land area (sq. km),Total natural resources rents (% of GDP),"Depositors with commercial banks (per 1,000 adults)",Bank liquid reserves to bank assets ratio (%),"Claims on central government, etc. (% GDP)",Net domestic credit (current LCU),Net foreign assets (current LCU),"Listed domestic companies, total","Stocks traded, total value (current US$)",Consumer price index (2010 = 100),"Inflation, GDP deflator (annual %)",Deposit interest rate (%),Real interest rate (%),Broad money (% of GDP),"Domestic general government health expenditure per capita, PPP (current international $)",Current health expenditure (% of GDP),Current health expenditure per capita (current US$),"External health expenditure per capita, PPP (current international $)","Mortality rate, infant (per 1,000 live births)",Number of infant deaths,"Population, total","ICT service exports (BoP, current US$)","Patent applications, residents","Trademark applications, total",Rail lines (total route-km),Gini index (World Bank estimate),Multidimensional poverty headcount ratio (% of total population),Poverty headcount ratio at national poverty lines (% of population),Start-up procedures to register a business (number),Cost of business start-up procedures (% of GNI per capita),Profit tax (% of commercial profits),Merchandise exports to high-income economies (% of total merchandise exports),Fuel exports (% of merchandise exports),Ores and metals exports (% of merchandise exports),Merchandise imports (current US$),Food imports (% of merchandise imports),Fuel imports (% of merchandise imports),Ores and metals imports (% of merchandise imports),"Bound rate, simple mean, all products (%)","Share of tariff lines with international peaks, all products (%)","Binding coverage, all products (%)",Export value index (2000 = 100),"Armed forces personnel, total","Armed forces personnel, total",Military expenditure (% of GDP),"Central government debt, total (% of GDP)",Expense (% of GDP),Tax revenue (% of GDP),Taxes on goods and services (% of revenue),"Revenue, excluding grants (% of GDP)",Social contributions (current LCU),IDA resource allocation index (1=low to 6=high),"Employers, total (% of total employment) (modeled ILO estimate)","Labor force participation rate for ages 15-24, female (%) (national estimate)",Benefit incidence of social protection and labor programs to poorest quintile (% of total SPL benefits),"Unemployment, total (% of total labor force) (modeled ILO estimate)",Increase in poverty gap at $3.20 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),Increase in poverty gap at $1.90 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),Number of people pushed below the $3.20 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure
1960 [YR1960],NaN,NaN,NaN,NaN,NaN,NaN,NaN,308178400,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.52586E+11,NaN,NaN,NaN,NaN,NaN,NaN,37633208320,37056917504,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5163271598,5084204568,NaN,NaN,NaN,0.115,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1900,NaN,NaN,1793484,1787755,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.90704686,18590000000,2220000000,NaN,NaN,9.027832051,NaN,NaN,NaN,51.1914898,NaN,NaN,NaN,NaN,18.4,1160,3581239,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,82.16480765,NaN,NaN,1462000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.200435598,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,44.75999832,NaN,NaN,NaN,NaN,NaN
1961 [YR1961],NaN,NaN,NaN,NaN,NaN,NaN,NaN,303430200,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.27333551,NaN,5.87252E+11,NaN,NaN,NaN,NaN,NaN,NaN,41052958720,40431190016,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5632460937,5547154346,NaN,NaN,NaN,0.138,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,900,636853,NaN,1768874,1840926,0,NaN,NaN,NaN,856000,365244,NaN,NaN,NaN,NaN,NaN,14.22552766,20210000000,1710000000,NaN,NaN,9.22239743,2.647625239,NaN,NaN,49.49704146,NaN,NaN,NaN,NaN,17.9,1134,3609800,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,83.21829163,NaN,NaN,1616000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.004204357,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1962 [YR1962],NaN,NaN,NaN,NaN,NaN,NaN,NaN,303975970,NaN,NaN,NaN,NaN,NaN,NaN,5841143099,NaN,2.813945138,NaN,6.03777E+11,NaN,NaN,NaN,NaN,NaN,NaN,44219985920,43533783040,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6066976683,5972829731,NaN,NaN,NaN,0.137,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,200,475400,NaN,1722919,1915999,0,NaN,NaN,NaN,854000,365244,NaN,NaN,NaN,NaN,NaN,14.06603795,21810000000,1540000000,NaN,NaN,9.708810605,4.766422313,NaN,NaN,49.0886633,NaN,NaN,NaN,NaN,17.5,1112,3638918,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86.18238022,3.26108421,21.31695655,1664000000,12.1354953,8.869571897,7.447584466,NaN,NaN,NaN,NaN,NaN,NaN,3.24151791,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1963 [YR1963],NaN,NaN,NaN,NaN,NaN,NaN,NaN,353954840,NaN,NaN,NaN,NaN,NaN,NaN,6264518207,NaN,3.785043084,NaN,6.2663E+11,NaN,NaN,NaN,NaN,NaN,NaN,47450767360,46662418432,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6510239503,6402078126,NaN,NaN,NaN,0.172,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,100,598736,NaN,1675534,1991003,0,NaN,NaN,NaN,852000,365244,NaN,NaN,NaN,NaN,NaN,13.57196176,23110000000,1930000000,NaN,NaN,9.948774591,3.392698463,NaN,NaN,48.89488894,NaN,NaN,NaN,NaN,17.1,1091,3666537,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85.66760037,4.803941517,20.39721259,1822000000,12.5474372,8.773559007,6.297169931,NaN,NaN,NaN,NaN,NaN,NaN,3.208427323,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1964 [YR1964],NaN,NaN,NaN,NaN,NaN,NaN,NaN,387005120,NaN,NaN,NaN,NaN,NaN,NaN,6855815078,NaN,5.009650987,NaN,6.58022E+11,NaN,NaN,NaN,NaN,NaN,NaN,52180824064,51294253056,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7159202706,7037565272,NaN,NaN,NaN,0.151,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,601,630051,NaN,1627578,2066761,0,NaN,NaN,NaN,850000,365244,NaN,NaN,NaN,NaN,NaN,12.7249811,24760000000,2200000000,NaN,NaN,10.53247073,4.722132717,NaN,NaN,47.90457117,NaN,NaN,NaN,NaN,16.6,1068,3694339,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86.77499611,4.660659577,21.87865223,1984000000,12.08412574,8.477951082,6.827807589,NaN,NaN,NaN,NaN,NaN,NaN,3.119163985,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1965 [YR1965],NaN,NaN,NaN,NaN,NaN,NaN,NaN,476020480,NaN,NaN,NaN,NaN,NaN,NaN,7635741598,NaN,5.285608801,NaN,6.92802E+11,NaN,NaN,NaN,NaN,NaN,NaN,57562030080,56595058688,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8058681060,7923305118,NaN,NaN,NaN,0.161,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,202,613599,NaN,1579815,2143353,0,NaN,NaN,NaN,848000,365244,NaN,NaN,NaN,NaN,NaN,12.14342161,26360000000,3330000000,NaN,NaN,10.97348892,4.774634855,NaN,NaN,47.83014074,NaN,NaN,NaN,NaN,16,1042,3723168,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85.62495658,2.085912047,18.39319373,2210000000,10.77525367,7.38836294,7.532559915,NaN,NaN,NaN,NaN,NaN,NaN,3.397936519,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1966 [YR1966],NaN,NaN,NaN,NaN,NaN,NaN,NaN,527729180,NaN,NaN,NaN,NaN,NaN,NaN,8394441278,NaN,3.786513255,NaN,7.19035E+11,NaN,NaN,NaN,NaN,NaN,NaN,62117597184,61057372160,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8696460205,8548028760,NaN,NaN,NaN,0.183,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,204,503539,NaN,1532017,2220995,0,NaN,NaN,NaN,846000,365244,NaN,NaN,NaN,NaN,NaN,12.07387333,29090000000,3400000000,NaN,NaN,11.33018912,3.977081718,NaN,NaN,48.05079616,NaN,NaN,NaN,NaN,15.4,1011,3753012,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86.51195589,1.610803394,21.1130216,2404000000,10.85530331,7.627915642,7.431457512,NaN,NaN,NaN,NaN,NaN,NaN,3.567959831,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1967 [YR1967],NaN,NaN,NaN,NaN,NaN,NaN,NaN,677214400,NaN,NaN,NaN,NaN,NaN,NaN,9342198979,NaN,6.256079006,NaN,7.64019E+11,NaN,NaN,NaN,NaN,NaN,NaN,67960717312,66789740544,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9514496703,9350560020,NaN,NaN,NaN,0.172,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,318,623516,NaN,1484675,2299864,0,NaN,NaN,NaN,843000,365244,NaN,NaN,NaN,NaN,NaN,10.63849866,30810000000,4570000000,NaN,NaN,11.84902905,2.964975426,NaN,NaN,48.23816066,NaN,NaN,NaN,NaN,14.8,978,3784539,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85.93731997,1.648468202,19.39724904,2748000000,9.46570066,7.191323187,6.195561842,NaN,NaN,NaN,NaN,NaN,NaN,3.512562814,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1968 [YR1968],NaN,NaN,NaN,NaN,NaN,NaN,NaN,707150100,NaN,NaN,NaN,NaN,NaN,NaN,10032039756,NaN,2.259875528,NaN,7.81285E+11,NaN,NaN,NaN,NaN,NaN,NaN,72570986496,71381868544,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10159934137,9993457689,NaN,NaN,NaN,0.293,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,365,820025,NaN,1437289,2379197,0,NaN,NaN,NaN,841000,365244,NaN,NaN,NaN,NaN,NaN,11.58865327,34090000000,5590000000,NaN,NaN,12.25761832,4.423876853,NaN,NaN,50.66211964,NaN,NaN,NaN,NaN,14.2,943,3816486,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86.24393267,1.965684698,22.4206916,2706000000,9.939156884,4.81816111,8.24246814,NaN,NaN,NaN,NaN,NaN,NaN,3.607843137,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1969 [YR1969],NaN,NaN,NaN,NaN,NaN,NaN,NaN,710409600,NaN,NaN,NaN,NaN,NaN,NaN,10980494865,NaN,4.504611456,NaN,8.16478E+11,NaN,NaN,NaN,NaN,NaN,NaN,79021924352,77915324416,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11063065083,10908141153,NaN,NaN,NaN,0.301,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,427,641797,NaN,1389753,2457954,0,NaN,NaN,NaN,825000,365244,NaN,NaN,NaN,NaN,NaN,12.04728951,38620000000,5210000000,NaN,NaN,12.62080536,4.195537622,NaN,NaN,51.37688095,NaN,NaN,NaN,NaN,13.7,907,3847707,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87.08734338,1.461456788,22.96894879,2942000000,9.014515153,4.621063421,8.324408887,NaN,NaN,NaN,NaN,NaN,NaN,3.604252499,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
